POS Awesome,POS Super
Sync Offline Cash Movements ({0}),Sinhronizacija gotovinskih premikov brez povezave ({0})
Sync Offline Sales,Sinhronizacija prodaje brez povezave
Synced {0} offline cash movement(s).,Št. sinhroniziranih premikov gotovine brez povezave: {0}.
Syncing items in background,Sinhronizacija elementov v ozadju
System / Diagnostics,Sistem / Diagnostika
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Sistemska dejanja so nizkofrekvenčne kontrole vzdrževanja, kot so informacije o aplikaciji, diagnostika podpore in kontrole seje."
System Information,Informacije o sistemu
System Status,Stanje sistema
Tables:,Tabele:
Tap the button below to redeem a gift card during checkout.,"Dotaknite se spodnjega gumba, da unovčite darilno kartico med zaključkom nakupa."
Target,Tarča
Target Ex. Rate:,Target Ex. Oceni:
Target Rate:,Ciljna stopnja:
Tax,davek
Tax / Charges Report,Poročilo o davkih / stroških
Tax Heads,Davčne glave
Taxable Amount,Davčna osnova
Tendered,Razpisano
Terminal,Terminal
Terminal & Devices,Terminal in naprave
Terminal locked,Terminal zaklenjen
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Orodja terminala vplivajo na to blagajno, zaslone, obrnjene k strankam, in prihodnje kontrole tiskalnika/naprave."
Territory not found,Ozemlja ni bilo mogoče najti
The amount paid is not complete,Plačani znesek ni popoln
The app stores data locally for offline use. This is called cache.,Aplikacija lokalno shranjuje podatke za uporabo brez povezave. To se imenuje predpomnilnik.
The invoice stayed in draft. Please review and submit it manually.,"Račun je ostal v osnutku. Prosimo, da ga pregledate in oddate ročno."
The maximum discount allowed is,Največji dovoljeni popust je
The quantity for {0} has been adjusted to the maximum available stock.,Količina za {0} je bila prilagojena največji razpoložljivi zalogi.
The system could not retrieve the item details. Please try again.,Sistem ni mogel pridobiti podrobnosti artikla. prosim poskusite znova
These invoices will be synced when connection is restored,"Ti računi bodo sinhronizirani, ko bo povezava ponovno vzpostavljena"
This action now opens inside the settings workspace.,To dejanje se zdaj odpre v delovnem prostoru z nastavitvami.
This coupon already used !,Ta kupon je že uporabljen!
This invoice does not need change-allocation repair,Ta račun ne potrebuje popravka sprememb in dodelitve
This invoice is already repaired,Ta račun je že popravljen
This is an item template. Please choose a variant.,To je predloga artikla. Prosimo izberite varianto.
this item,ta predmet
This POS page could not be opened offline because its code was not cached on this terminal yet.,"Te strani POS ni bilo mogoče odpreti brez povezave, ker njena koda še ni bila predpomnjena na tem terminalu."
This Serial Number {0} has already been added!,Ta serijska številka {0} je že dodana!
Threshold,Prag
Time,Čas
Tip: Clear cache regularly to free up space and keep the app fast.,"Nasvet: Redno čistite predpomnilnik, da sprostite prostor in poskrbite, da bo aplikacija hitra."
Tip: Close unused tabs or apps to reduce lag.,"Nasvet: zaprite neuporabljene zavihke ali aplikacije, da zmanjšate zakasnitev."
Tip: Monitor slow queries and table size for optimal performance.,Nasvet: Za optimalno delovanje spremljajte počasne poizvedbe in velikost tabele.
To Be Paid,Za plačilo
To Date,Do danes
Today,Danes
Today Profit,Danes dobiček
Today Sales,Današnja prodaja
Toggle navigation drawer,Preklopi predal za krmarjenje
Toggle Theme,Preklopi temo
Tools,Orodja
Tools for customer-facing screens and terminal-specific actions.,"Orodja za zaslone, obrnjene k strankam, in dejanja, specifična za terminal."
Top Brand,Najboljša blagovna znamka
Top Category,Najboljša kategorija
Top Charge Head,Top Charge Head
Top Customers,Vrhunske stranke
Top Discount,Vrhunski popust
Top Items by Location,Najboljši izdelki glede na lokacijo
Top Margin,Zgornji rob
Top Pending,Najbolj v teku
Top Profit Item,Najboljši dobiček
Top Return Items,Najboljši izdelki za vračilo
Top Sales by Cashier,Najboljša prodaja pri blagajni
Top Supplier,Vrhunski dobavitelj
Top Suppliers by Spend,Najboljši dobavitelji glede na porabo
Top Tables,Zgornje mize
Top Tax Head,Najvišji davčni vodja
Top Up Amount,Znesek dopolnitve
Top Up Card,Kartica za dopolnitev
Top Up Mode,Način dopolnjevanja
Top Variant,Vrhunska varianta
Total,Skupaj
Total Amount,Skupni znesek
Total Change,Popolna sprememba
Total Charges,Skupni stroški
Total In,Skupaj In
Total Invoices,Skupni računi
Total Items,Skupaj predmetov
Total Mpesa,Skupaj Mpesa
Total Out,Total Out
Total Payments,Skupna plačila
Total Purchase,Skupni nakup
Total Selected :,Skupaj izbrano:
Total Size,Skupna velikost
Total Stock Qty,Skupna količina zaloge
Total:,Skupaj:
Totals by Invoice Currency,Skupni zneski glede na valuto računa
Track how much cash was handed back to customers,"Spremljajte, koliko denarja je bilo vrnjenega strankam"
"Track recent sales, collect unpaid balances, and reopen saved work","Sledite nedavni prodaji, zberite neplačane zneske in znova odprite shranjeno delo"
Transaction ID,ID transakcije
Transfer,Prenos
Try a different search term or clear the cart search.,Poskusite z drugim iskalnim izrazom ali počistite iskanje košarice.
Try adjusting your search or filters,Poskusite prilagoditi iskanje ali filtre
Try another source or refresh the list.,Poskusite z drugim virom ali osvežite seznam.
Try changing the date range or status filter.,Poskusite spremeniti časovno obdobje ali filter stanja.
Type,Vrsta
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,Do kamere ni mogoče dostopati niti z osnovnimi nastavitvami. Preverite dovoljenja za kamero in združljivost naprave.
Unable to add offer item {0}. Please refresh and try again.,Ni mogoče dodati elementa ponudbe {0}. Osvežite in poskusite znova.
Unable to add offer item. Please refresh and try again.,Ni mogoče dodati elementa ponudbe. Osvežite in poskusite znova.
Unable to add scanned item.,Optično prebranega predmeta ni mogoče dodati.
Unable to create purchase order,Naročila ni mogoče ustvariti
Unable to delete draft invoice,Osnutka računa ni mogoče izbrisati
Unable to fetch documents,Ni mogoče pridobiti dokumentov
Unable to fetch draft orders,Osnutkov naročil ni mogoče pridobiti
Unable to fetch invoice history,Ni mogoče pridobiti zgodovine računov
Unable to fetch M-Pesa payments,Ni mogoče pridobiti plačil M-Pesa
Unable to fetch sales orders,Ni mogoče pridobiti prodajnih naročil
Unable to fetch unpaid invoices,Neplačanih računov ni mogoče pridobiti
Unable to generate scale barcode,Črtne kode tehtnice ni mogoče ustvariti
Unable to issue gift card.,Darilne kartice ni mogoče izdati.
Unable to load cashier PIN status.,Ni mogoče naložiti stanja PIN blagajne.
Unable to load document,Dokumenta ni mogoče naložiti
Unable to load draft invoice,Osnutka računa ni mogoče naložiti
Unable to load gift card balance.,Ni mogoče naložiti stanja darilne kartice.
Unable to load invoice details,Podatkov o računu ni mogoče naložiti
Unable to load parked order,Parkiranega naročila ni mogoče naložiti
Unable to load the selected sales order,Izbranega prodajnega naročila ni mogoče naložiti
Unable to prepare document,Dokumenta ni mogoče pripraviti
Unable to prepare return invoice,Računa za vračilo ni mogoče pripraviti
Unable to print draft invoice,Osnutka računa ni mogoče natisniti
Unable to print submitted invoice,Predloženega računa ni mogoče natisniti
Unable to process document action,Dejanja dokumenta ni mogoče obdelati
Unable to repair change allocation,Dodeljevanja sprememb ni mogoče popraviti
Unable to save cashier PIN.,PIN blagajne ni mogoče shraniti.
Unable to save the rate to the backend price list,Cene ni mogoče shraniti v zaledni cenik
Unable to submit invoice,Računa ni mogoče oddati
Unable to submit the selected payment,Izbranega plačila ni mogoče izvesti
Unable to top up gift card.,Darilne kartice ni mogoče napolniti.
Unable to verify cashier PIN.,PIN blagajne ni mogoče preveriti.
Unallocated,Nedodeljeno
Unallocated:,Nedodeljeno:
Unavailable,Ni na voljo
Unknown,Neznano
Unknown Item,Neznan predmet
Unknown Warehouse,Neznano skladišče
Unlock POS,Odkleni POS
Unpaid,Neplačano
"Unselected payments stay unallocated first, then auto reconcile after submit.","Neizbrana plačila najprej ostanejo nedodeljena, nato pa se samodejno uskladijo po predložitvi."
UOM,UOM
UOM not found,UOM ni bilo mogoče najti
Update available,Na voljo je posodobitev
Update Customer,Posodobite stranko
Update PIN,Posodobi PIN
Update Price List Rate,Posodobi tečaj cenika
Updated,Posodobljeno
Updates and app info that stay out of the cashier flow.,"Posodobitve in informacije o aplikacijah, ki ostanejo izven toka blagajne."
Updates automatically,Posodablja se samodejno
Usage,Uporaba
Usage Stats,Statistika uporabe
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Za zamenjavo blagajne in odklepanje terminala uporabite 4- do 8-mestno kodo PIN.
Use Cashier,Uporabite blagajno
Use date range to search for older invoices,Za iskanje starejših računov uporabite časovno obdobje
"Use one field for manual code entry, barcode scans, or QR scans.","Uporabite eno polje za ročni vnos kode, skeniranje črtne kode ali skeniranje QR."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Uporabite en potek dela za preverjanje stanja, novo izdajo in polnjenje, ne da bi zapustili POS."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Ta razdelek uporabite, ko je predpomnjene predpogojne podatke treba osvežiti, znova zgraditi ali pregledati diagnostiko."
Use Western numerals,Uporabite zahodne številke
Used:,Rabljeno:
Using basic camera settings due to device limitations,Uporaba osnovnih nastavitev kamere zaradi omejitev naprave
Using cached customer balance,Uporaba predpomnjenega stanja stranke
Valid until,Velja do
Variance %,% odstopanja
Variants,Različice
Variant-wise,Variantno
Verify closing amounts for each payment method,Preverite končne zneske za vsako plačilno sredstvo
View all,Prikaži vse
View app information and current build details,Oglejte si informacije o aplikaciji in podrobnosti o trenutni zgradbi
View Data Diagnostics,Ogled podatkovne diagnostike
View Details,Poglej podrobnosti
View invoice details,Oglejte si podrobnosti računa
View notifications,Ogled obvestil
View offline invoices,Oglejte si račune brez povezave
View restricted POS insights,Ogled omejenih vpogledov v POS
Void Amount,Znesek praznine
Void Count,Štetje praznin
Voids,Praznine
Waiting for cart items,Čakanje na artikle v košarici
Waiting for payment...,Čakanje na plačilo ...
Walk-in Customer,Vhodna stranka
Warehouse,Skladišče
Warning: High cache usage may affect performance.,Opozorilo: Velika poraba predpomnilnika lahko vpliva na zmogljivost.
Warning: High lag may indicate heavy processing or browser slowness.,Opozorilo: velik zamik lahko pomeni težko obdelavo ali počasnost brskalnika.
Week ?,teden?
Week-wise,Tedensko gledano
Weight (g),Teža (g)
Weight (grams),Teža (grami)
We'll let you know if an invoice fails to submit,V primeru neuspešne oddaje računa vas bomo obvestili
Workflow,Potek dela
Write off amount cannot exceed the POS profile maximum of {0},Znesek odpisa ne sme preseči največje vrednosti profila POS v višini {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,Znesek odpisa presega dovoljeno mejo ({0}). Dodajte plačilo za preostali znesek.
Yes,ja
"Yes, Cancel sale","Da, prekliči prodajo"
"Yes, Close","Da, Zapri"
You are not allowed to print draft invoices,Osnutkov računov ne smete tiskati
You are offline. Add Payment will work again when the connection is restored.,"Nisi povezan. Dodajanje plačila bo znova delovalo, ko bo povezava ponovno vzpostavljena."
You have no notifications right now,Trenutno nimate obvestil
Your Cart,Vaša košarica
