POS Awesome,POS অসাধারণ
Payment Request took too long to respond. Please try requesting for payment again,অর্থপ্রদানের অনুরোধে সাড়া দিতে অনেক সময় লেগেছে। আবার পেমেন্টের জন্য অনুরোধ করার চেষ্টা করুন
Payment saved offline,পেমেন্ট অফলাইনে সংরক্ষিত
Payment State,পেমেন্ট স্টেট
Payment Status,পেমেন্ট স্ট্যাটাস
Payment submitted but print function could not be executed. Payment name not found.,পেমেন্ট জমা দেওয়া হয়েছে কিন্তু প্রিন্ট ফাংশন কার্যকর করা যায়নি। পেমেন্ট নাম পাওয়া যায়নি.
Payment submitted.,পেমেন্ট জমা দেওয়া হয়েছে।
Payment Summary,পেমেন্ট সারাংশ
Payments,পেমেন্ট
Payments are not open. Do you want to open payments and submit?,পেমেন্ট খোলা হয় না. আপনি কি পেমেন্ট খুলতে এবং জমা দিতে চান?
Payments by Mode of Payment,পেমেন্ট মোড দ্বারা পেমেন্ট
PDF,পিডিএফ
Peak Hour,পিক আওয়ার
Peak Memory:,পিক মেমরি:
Peak Server:,পিক সার্ভার:
Peak:,শিখর:
Pending,মুলতুবি
Pending Amount,মুলতুবি থাকা পরিমাণ
Pending count updated from {0} to {1},মুলতুবি গণনা {0} থেকে {1} এ আপডেট করা হয়েছে
Pending Exposure,পেন্ডিং এক্সপোজার
Pending Invoices,মুলতুবি ইনভয়েস
Pending Ratio,মুলতুবি অনুপাত
Pending Sales,মুলতুবি বিক্রয়
Pending sales: {0} | Cache usage: {1}%,মুলতুবি বিক্রয়: {0} | ক্যাশে ব্যবহার: {1}%
Pending Sync,মুলতুবি সিঙ্ক
Pending: {0},মুলতুবি: {0}
Pending: {0} | Synced: {1} | Draft: {2},মুলতুবি: {0} | সিঙ্ক করা হয়েছে: {1} | খসড়া: {2}
Per Page,প্রতি পাতা
Personal,ব্যক্তিগত
Personal preferences adjust the current cashier experience without changing the active POS route.,ব্যক্তিগত পছন্দগুলি সক্রিয় POS রুট পরিবর্তন না করে বর্তমান ক্যাশিয়ারের অভিজ্ঞতা সামঞ্জস্য করে।
PIN confirmation does not match.,পিন নিশ্চিতকরণ মেলে না।
PIN must be 4 to 8 digits.,পিন অবশ্যই 4 থেকে 8 সংখ্যার হতে হবে।
Please add at least one item.,অন্তত একটি আইটেম যোগ করুন.
Please allow camera access to scan codes,কোড স্ক্যান করতে ক্যামেরা অ্যাক্সেসের অনুমতি দিন
Please enter payment amount,অনুগ্রহ করে অর্থপ্রদানের পরিমাণ লিখুন
Please fill all required fields,সমস্ত প্রয়োজনীয় ক্ষেত্র পূরণ করুন
Please make a payment or select a payment,একটি অর্থপ্রদান করুন বা একটি অর্থপ্রদান নির্বাচন করুন
Please request phone payment or use another payment method,অনুগ্রহ করে ফোন পেমেন্টের অনুরোধ করুন অথবা অন্য পেমেন্ট পদ্ধতি ব্যবহার করুন
Please select a customer first,অনুগ্রহ করে প্রথমে একজন গ্রাহক নির্বাচন করুন
Please select a party,একটি পার্টি নির্বাচন করুন
Please select a party before reconciling.,মিটমাট করার আগে একটি পক্ষ নির্বাচন করুন.
Please select a valid movement type.,একটি বৈধ আন্দোলনের ধরন নির্বাচন করুন.
Please select an invoice,একটি চালান নির্বাচন করুন
Please select company before reconciling.,মিটমাট করার আগে কোম্পানি নির্বাচন করুন.
Please set the customer's mobile number,গ্রাহকের মোবাইল নম্বর সেট করুন
Please try again or enter the item manually.,আবার চেষ্টা করুন বা ম্যানুয়ালি আইটেম লিখুন.
Please verify the barcode or check the item's availability.,অনুগ্রহ করে বারকোড যাচাই করুন বা আইটেমটির উপলব্ধতা পরীক্ষা করুন।
Points,পয়েন্ট
Popup blocked. Please allow popups.,পপআপ ব্লক করা হয়েছে। পপআপ অনুমতি দিন.
POS,POS
POS controls and maintenance,POS নিয়ন্ত্রণ এবং রক্ষণাবেক্ষণ
POS Expense is disabled for this POS Profile.,এই POS প্রোফাইলের জন্য POS খরচ নিষ্ক্রিয় করা হয়েছে।
POS is running with limited offline prerequisites.,POS সীমিত অফলাইন পূর্বশর্তের সাথে চলছে।
POS Profile,POS প্রোফাইল
Position the QR code or barcode within the scanning area,স্ক্যানিং এলাকার মধ্যে QR কোড বা বারকোড রাখুন
Posting,পোস্টিং
Posting and Price List,পোস্টিং এবং মূল্য তালিকা
Posting Date,পোস্টিং তারিখ
Preparing background sync,পটভূমি সিঙ্ক প্রস্তুত করা হচ্ছে
"Press OK to continue offline with a warning, or Cancel to retry.","একটি সতর্কতা সহ অফলাইনে চালিয়ে যেতে ওকে টিপুন, বা পুনরায় চেষ্টা করতে বাতিল করুন।"
Previous unit of measure,পরিমাপের পূর্ববর্তী একক
Price List,মূল্য তালিকা
Price List Rate,মূল্য তালিকা হার
Price list rate updated locally only,মূল্য তালিকা হার শুধুমাত্র স্থানীয়ভাবে আপডেট করা হয়েছে
Pricing & Discounts,মূল্য এবং ডিসকাউন্ট
Pricing Rule,মূল্য নির্ধারণের নিয়ম
Print,প্রিন্ট
Print Draft,প্রিন্ট ড্রাফ্ট
Print Format (Invoice),প্রিন্ট ফরম্যাট (চালান)
Print Format (Order),প্রিন্ট ফরম্যাট (অর্ডার)
Print invoice,চালান প্রিন্ট করুন
Print Purchase Invoice instead of PO,PO এর পরিবর্তে ক্রয় চালান প্রিন্ট করুন
Printer,প্রিন্টার
Processed returns impacting the shift totals,প্রসেসড রিটার্ন শিফটের মোটকে প্রভাবিত করে
Processing Payment,পেমেন্ট প্রক্রিয়াকরণ
Processing payment entries for Invoice {0},ইনভয়েস {0} এর জন্য অর্থপ্রদানের এন্ট্রি প্রক্রিয়া করা হচ্ছে
Profile,প্রোফাইল
Profiles,প্রোফাইল
Profit,লাভ
Profit: Invoice Item Estimate,লাভ: চালান আইটেম অনুমান
Profit: Stock Ledger (COGS),লাভ: স্টক লেজার (COGS)
Profitability Report,লাভজনকতা রিপোর্ট
Prorated return discount,আনুপাতিক রিটার্ন ডিসকাউন্ট
Purchase Amount,ক্রয়ের পরিমাণ
Purchase Invoices,চালান ক্রয়
Purchase Order created,ক্রয় আদেশ তৈরি করা হয়েছে
Qty,পরিমাণ
Qualified,যোগ্য
Quantity,পরিমাণ
Quantity exceeds available stock,পরিমাণ উপলব্ধ স্টক অতিক্রম
Quick Actions,দ্রুত অ্যাকশন
Quotation {0} is Submitted,উদ্ধৃতি {0} জমা দেওয়া হয়েছে৷
Quotation submitted,উদ্ধৃতি জমা দেওয়া হয়েছে
QZ Tray connected.,QZ ট্রে সংযুক্ত।
QZ Tray is manually disconnected. Press Connect to enable it again.,QZ ট্রে ম্যানুয়ালি সংযোগ বিচ্ছিন্ন করা হয়েছে৷ আবার চালু করতে কানেক্ট টিপুন।
QZ Tray is not connected.,QZ ট্রে সংযুক্ত নেই।
QZ Tray Setup,QZ ট্রে সেটআপ
Rate,হার
Rate adjusted to maximum allowed discount,হার সর্বোচ্চ অনুমোদিত ছাড়ের সাথে সামঞ্জস্য করা হয়েছে
Ready,প্রস্তুত
Ready to resume,পুনরায় শুরু করার জন্য প্রস্তুত
Ready!,প্রস্তুত!
Real-time POS insights for retail operations.,খুচরা ক্রিয়াকলাপের জন্য রিয়েল-টাইম POS অন্তর্দৃষ্টি।
Rebuild Offline Data,অফলাইন ডেটা পুনর্নির্মাণ করুন
Receive,গ্রহণ করুন
Receive now,এখন গ্রহণ করুন
Received,গৃহীত
Received:,প্রাপ্ত:
Recent Movement Entries,সাম্প্রতিক আন্দোলন এন্ট্রি
Recent updates about your invoices,আপনার চালান সম্পর্কে সাম্প্রতিক আপডেট
Recently Active Customers,সম্প্রতি সক্রিয় গ্রাহকরা
Rechecking connection,সংযোগ পুনরায় পরীক্ষা করা হচ্ছে
Reconcile payment methods and close shift,পেমেন্ট পদ্ধতি এবং বন্ধ শিফট পুনর্মিলন
Reconciling Payments,পেমেন্ট পুনর্মিলন
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","অনলাইনে থাকাকালীন একবার এই পৃষ্ঠাটি পুনরায় সংযোগ করুন এবং খুলুন, তারপর অফলাইন রিফ্রেশগুলি এটিকে পুনরুদ্ধার করতে সক্ষম হবে৷"
Reconnect online to refresh cached offline data from the server.,সার্ভার থেকে ক্যাশে অফলাইন ডেটা রিফ্রেশ করতে অনলাইনে পুনরায় সংযোগ করুন৷
Recreate local offline prerequisites from scratch,স্ক্র্যাচ থেকে স্থানীয় অফলাইন পূর্বশর্তগুলি পুনরায় তৈরি করুন
Recv:,Recv:
Redeem,খালাস
Redeem / Scan,রিডিম/স্ক্যান করুন
Redeem Amount,রিডিম পরিমাণ
Redeem Mode,রিডিম মোড
Redeemed Amount,রিডিম করা পরিমাণ
Redeemed credit cannot be greater than its total.,রিডিম করা ক্রেডিট তার মোটের চেয়ে বেশি হতে পারে না।
Redemption and Totals,খালাস এবং মোট
Reference,রেফারেন্স
Refresh,রিফ্রেশ
Refresh Exchange Rate,বিনিময় হার রিফ্রেশ করুন
Refresh Offline Data,অফলাইন ডেটা রিফ্রেশ করুন
Refresh Printers,প্রিন্টার রিফ্রেশ করুন
Refund,ফেরত
Release Notes,রিলিজ নোট
Reload,পুনরায় লোড করুন
Reload customers,গ্রাহকদের পুনরায় লোড করুন
Reload Items,আইটেমগুলি পুনরায় লোড করুন
Reload Now,এখনই পুনরায় লোড করুন
Reload to apply the latest changes. Your current session will be refreshed.,সর্বশেষ পরিবর্তনগুলি প্রয়োগ করতে পুনরায় লোড করুন৷ আপনার বর্তমান সেশন রিফ্রেশ করা হবে.
Reload Workflow,ওয়ার্কফ্লো পুনরায় লোড করুন
Remarks,মন্তব্য
Remarks are required.,মন্তব্য প্রয়োজন.
Remove,সরান
Remove barcode item,বারকোড আইটেম সরান
Remove cached data and reload the POS app,ক্যাশে করা ডেটা সরান এবং POS অ্যাপটি পুনরায় লোড করুন
Remove item,আইটেম সরান
Remove Offer,অফার সরান
Reorder / Purchase Suggestions,পুনর্বিন্যাস / ক্রয় প্রস্তাবনা
Repair Candidate,মেরামত প্রার্থী
Repair Change Allocation,মেরামত পরিবর্তন বরাদ্দ
Repair requires an online connection,মেরামত একটি অনলাইন সংযোগ প্রয়োজন
Repaired,মেরামত করা হয়েছে
Repairing change allocation,পরিবর্তন বরাদ্দ মেরামত
Repeat Customers,গ্রাহকদের পুনরাবৃত্তি করুন
Repeat Rate,পুনরাবৃত্তি হার
Request,অনুরোধ
Request ID: {0},অনুরোধ আইডি: {0}
Request Payment,অর্থপ্রদানের অনুরোধ করুন
Requested route: {0},অনুরোধ করা রুট: {0}
Required columns cannot be hidden,প্রয়োজনীয় কলাম লুকানো যাবে না
Reset,রিসেট করুন
Reset item name,আইটেমের নাম রিসেট করুন
Reset to Default,ডিফল্টে রিসেট করুন
Resource Health,সম্পদ স্বাস্থ্য
Restricted,সীমাবদ্ধ
Restricted operational controls for supervisors only.,শুধুমাত্র সুপারভাইজারদের জন্য সীমাবদ্ধ অপারেশনাল নিয়ন্ত্রণ।
Retry,আবার চেষ্টা করুন
Retry route,রুট আবার চেষ্টা করুন
Return,প্রত্যাবর্তন
Return Amount,রিটার্ন পরিমাণ
Return Count,রিটার্ন কাউন্ট
Return items must have negative quantities,রিটার্ন আইটেম নেতিবাচক পরিমাণ থাকতে হবে
Return total must be negative,মোট রিটার্ন নেতিবাচক হতে হবে
Return Valid Until,পর্যন্ত বৈধ রিটার্ন
Return window passed,রিটার্ন উইন্ডো পাস
Return without Invoice,চালান ছাড়াই ফেরত দিন
Returns,রিটার্নস
Returns / Voids / Discounts,রিটার্নস/ভয়েডস/ডিসকাউন্ট
Returns by Currency,মুদ্রা দ্বারা রিটার্ন
Revenue,রাজস্ব
Review shift totals before submitting the closing entry,সমাপনী এন্ট্রি জমা দেওয়ার আগে শিফটের মোট সংখ্যা পর্যালোচনা করুন
Round Off,রাউন্ড অফ
Rows,সারি
Rows:,সারি:
Rule,নিয়ম
Sale,বিক্রয়
Sales,বিক্রয়
Sales Order {0} is Submitted,বিক্রয় আদেশ {0} জমা দেওয়া হয়েছে৷
Sales Person and Print,বিক্রয় ব্যক্তি এবং মুদ্রণ
Sales Person not found,বিক্রয় ব্যক্তি পাওয়া যায়নি
Sales processed,বিক্রয় প্রক্রিয়া করা হয়েছে
Sales Return,বিক্রয় রিটার্ন
Sales Trend Report,বিক্রয় প্রবণতা রিপোর্ট
Save,সংরক্ষণ করুন
Save & Clear,সংরক্ষণ করুন এবং সাফ করুন
Save as POS Profile Default,POS প্রোফাইল ডিফল্ট হিসাবে সংরক্ষণ করুন
Save Settings,সেটিংস সংরক্ষণ করুন
Save the selected printer as the POS Profile default so it shows automatically on this setup.,নির্বাচিত প্রিন্টারটিকে POS প্রোফাইল ডিফল্ট হিসাবে সংরক্ষণ করুন যাতে এটি এই সেটআপে স্বয়ংক্রিয়ভাবে দেখায়।
Saved as draft because: {0},খসড়া হিসাবে সংরক্ষণ করা হয়েছে কারণ: {0}
Saving...,সংরক্ষণ করা হচ্ছে...
Scale barcode detected. Quantity here is the number of labels to print.,স্কেল বারকোড সনাক্ত করা হয়েছে. এখানে পরিমাণ হল প্রিন্ট করার জন্য লেবেলের সংখ্যা।
Scale barcode settings are not configured. Using item barcode only.,স্কেল বারকোড সেটিংস কনফিগার করা নেই। শুধুমাত্র আইটেম বারকোড ব্যবহার করে.
Scale template barcode is missing for this item/UOM. Using item barcode only.,এই আইটেম/UOM-এর জন্য স্কেল টেমপ্লেট বারকোড অনুপস্থিত। শুধুমাত্র আইটেম বারকোড ব্যবহার করে.
Scan an existing card and top it up without leaving the payment flow.,একটি বিদ্যমান কার্ড স্ক্যান করুন এবং পেমেন্ট ফ্লো না রেখে এটিকে টপ আপ করুন৷
Scan Error,স্ক্যান ত্রুটি৷
Scan or enter a gift card code to check balance or redeem.,ব্যালেন্স চেক করতে বা রিডিম করতে একটি উপহার কার্ড কোড স্ক্যান করুন বা লিখুন।
Scan or paste the card code below.,নীচে কার্ড কোড স্ক্যান বা পেস্ট করুন.
Scan QR Code/Barcode,QR কোড/বারকোড স্ক্যান করুন
Scan with camera,ক্যামেরা দিয়ে স্ক্যান করুন
Scan-First Flow,স্ক্যান-প্রথম প্রবাহ
Scanned Code:,স্ক্যান করা কোড:
Scanning for: {0},এর জন্য স্ক্যান করা হচ্ছে: {0}
Scanning items,আইটেম স্ক্যান করা হচ্ছে
Scan-Ready,স্ক্যান-রেডি
Scope,ব্যাপ্তি
Scope: All Profiles,সুযোগ: সমস্ত প্রোফাইল
Scope: Current Profile,সুযোগ: বর্তমান প্রোফাইল
Scope: Specific Profile,সুযোগ: নির্দিষ্ট প্রোফাইল
Search,অনুসন্ধান করুন
Search Account,অনুসন্ধান অ্যাকাউন্ট
Search an invoice and continue the return flow without extra steps.,একটি চালান অনুসন্ধান করুন এবং অতিরিক্ত পদক্ষেপ ছাড়াই ফেরত প্রবাহ চালিয়ে যান।
Search customer,গ্রাহক অনুসন্ধান করুন
Search invoices or customers,চালান বা গ্রাহকদের অনুসন্ধান করুন
Search item,অনুসন্ধান আইটেম
Search item / code,আইটেম / কোড অনুসন্ধান করুন
Search items or barcode,আইটেম বা বারকোড খুঁজুন
Search Mpesa Payments,Mpesa পেমেন্ট অনুসন্ধান করুন
Search return invoices or customers,রিটার্ন ইনভয়েস বা গ্রাহকদের অনুসন্ধান করুন
Search supplier,অনুসন্ধান সরবরাহকারী
Search unpaid invoices or customers,অবৈতনিক চালান বা গ্রাহকদের অনুসন্ধান করুন
Secure context (HTTPS or localhost) is required for camera access.,ক্যামেরা অ্যাক্সেসের জন্য সুরক্ষিত প্রসঙ্গ (HTTPS বা লোকালহোস্ট) প্রয়োজন।
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,ক্যামেরা অ্যাক্সেসের জন্য প্রয়োজন সুরক্ষিত প্রসঙ্গ (HTTPS)। ক্যামেরা অ্যাক্সেস করতে দয়া করে HTTPS ব্যবহার করুন৷
Select,নির্বাচন করুন
Select a cashier first.,প্রথমে একজন ক্যাশিয়ার নির্বাচন করুন।
Select a customer,একটি গ্রাহক নির্বাচন করুন
Select a customer to use coupon,কুপন ব্যবহার করার জন্য একটি গ্রাহক নির্বাচন করুন
Select a printer to use QZ silent printing.,QZ নীরব মুদ্রণ ব্যবহার করতে একটি প্রিন্টার নির্বাচন করুন৷
Select Batch,ব্যাচ নির্বাচন করুন
Select Columns to Display,প্রদর্শনের জন্য কলাম নির্বাচন করুন
Select items to sell,বিক্রি করতে আইটেম নির্বাচন করুন
Select Payment,পেমেন্ট নির্বাচন করুন
Select Payment Account,পেমেন্ট অ্যাকাউন্ট নির্বাচন করুন
Select printer,প্রিন্টার নির্বাচন করুন
Select Return Invoice,রিটার্ন ইনভয়েস নির্বাচন করুন
Select S.O,S.O নির্বাচন করুন
Select Sales Orders,বিক্রয় আদেশ নির্বাচন করুন
Select the cashier who is taking over this terminal.,ক্যাশিয়ার নির্বাচন করুন যিনি এই টার্মিনালটি গ্রহণ করছেন।
Selected,নির্বাচিত
Selected movement type is not allowed by POS Profile.,POS প্রোফাইল দ্বারা নির্বাচিত আন্দোলনের ধরন অনুমোদিত নয়৷
Selected Payments,নির্বাচিত অর্থপ্রদান
Sensitive actions kept away from quick taps.,সংবেদনশীল ক্রিয়াগুলি দ্রুত ট্যাপ থেকে দূরে রাখা হয়েছে৷
Serial,সিরিয়াল
Serial Numbers,ক্রমিক সংখ্যা
Server CPU Usage:,সার্ভার CPU ব্যবহার:
Server Health,সার্ভার স্বাস্থ্য
Server Memory Usage:,সার্ভার মেমরি ব্যবহার:
Server Metrics,সার্ভার মেট্রিক্স
Server Uptime:,সার্ভার আপটাইম:
Service Charges,সার্ভিস চার্জ
Session,অধিবেশন
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,ব্যবহারকারী ফর্মে প্রতিটি ক্যাশিয়ার পিন সেট করুন এবং POS প্রোফাইল ব্যবহারকারীর মধ্যে টার্মিনাল সদস্যদের বরাদ্দ রাখুন।
Settings,সেটিংস
Settings in this section update the POS workspace without changing the current route.,এই বিভাগে সেটিংস বর্তমান রুট পরিবর্তন না করেই POS ওয়ার্কস্পেস আপডেট করে।
Setup complete!,সেটআপ সম্পূর্ণ!
Share,শেয়ার করুন
Shared terminal,শেয়ার্ড টার্মিনাল
Shift Closed Snapshot,শিফট বন্ধ স্ন্যাপশট
Shift Overview,শিফট ওভারভিউ
Show,দেখান
Show cart on customer-facing screen,গ্রাহক-মুখী পর্দায় কার্ট দেখান
Show last invoice rate,শেষ চালানের হার দেখান
Show rate info,হার তথ্য দেখান
Show Repair Candidates,মেরামত প্রার্থীদের দেখান
Show search tools,সার্চ টুল দেখান
Show the active cart on a customer-facing screen,একটি গ্রাহক-মুখী পর্দায় সক্রিয় কার্ট দেখান
Showing {0}-{1} of {2},{2}-এর মধ্যে {0}-{1} দেখানো হচ্ছে
Showing 0 of 0,0 এর মধ্যে 0 দেখানো হচ্ছে
Shows the distribution of invoices per currency,মুদ্রা প্রতি চালানের বন্টন দেখায়
Sign out of the current POS session,বর্তমান POS সেশন থেকে সাইন আউট করুন
Size:,আকার:
Skipped Payments,এড়িয়ে যাওয়া পেমেন্ট
Skipping items without barcodes,বারকোড ছাড়া আইটেম এড়িয়ে যাওয়া
Slow Moving,স্লো মুভিং
Slow Moving Items,ধীর গতির আইটেম
Slow Queries:,ধীরগতির প্রশ্ন:
Sold,বিক্রি হয়েছে
Source,উৎস
Source Cash Account (Optional Override),উৎস নগদ অ্যাকাউন্ট (ঐচ্ছিক ওভাররাইড)
Source Ex. Rate:,উত্স প্রাক্তন. হার:
Source Rate:,উৎস হার:
Specific Profile,নির্দিষ্ট প্রোফাইল
Split Invoices,বিভক্ত চালান
Staff / Cashier Performance Report,স্টাফ/ক্যাশিয়ার পারফরমেন্স রিপোর্ট
Status,স্ট্যাটাস
Stock,স্টক
Stock Information,স্টক তথ্য
Stock is lower than requested,অনুরোধের তুলনায় স্টক কম
Stock is lower than requested:\n{0},স্টক অনুরোধের চেয়ে কম:\n{0}
Stock Movement Report,স্টক মুভমেন্ট রিপোর্ট
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,স্টক আপডেট: {0} আছে {1}টি উপলব্ধ৷ {2} যোগ করলে স্টক শূন্যের নিচে চলে আসবে।
Submit,জমা দিন
Submit & Print,জমা দিন এবং প্রিন্ট করুন
Submit Deposit,আমানত জমা দিন
Submit Expense,খরচ জমা দিন
Submitted,জমা দেওয়া হয়েছে
Submitted Cash Movements,জমা নগদ আন্দোলন
Submitted entries,জমা দেওয়া এন্ট্রি
Successfully scanned:,সফলভাবে স্ক্যান করা হয়েছে:
Suggested,প্রস্তাবিত
Suggested Qty,প্রস্তাবিত পরিমাণ
Supervisor Access,সুপারভাইজার অ্যাক্সেস
Supervisor permissions unlock issuance and reloads,সুপারভাইজার অনুমতি আনলক জারি এবং পুনরায় লোড
Supervisor Tools,সুপারভাইজার টুলস
Supplier,সরবরাহকারী
Supplier and dates are required.,সরবরাহকারী এবং তারিখ প্রয়োজন.
Supplier Invoices,সরবরাহকারী চালান
Supplier is required.,সরবরাহকারী প্রয়োজন.
Supplier name is required,সরবরাহকারীর নাম প্রয়োজন
Supplier Payments,সরবরাহকারী পেমেন্ট
Supplier Purchase Summary,সরবরাহকারী ক্রয় সারাংশ
Suppliers,সরবরাহকারী
Suppliers not found,সরবরাহকারী পাওয়া যায়নি
Switch Camera,ক্যামেরা স্যুইচ করুন
Switch Cashier,ক্যাশিয়ার পরিবর্তন করুন
Switch the POS appearance theme,POS চেহারা থিম পরিবর্তন করুন
Switched to:,এতে স্যুইচ করা হয়েছে:
Sync All Invoices,সমস্ত চালান সিঙ্ক করুন
Sync Offline Cash Movements ({0}),সিঙ্ক অফলাইন ক্যাশ মুভমেন্ট ({0})
Sync Offline Sales,অফলাইন বিক্রয় সিঙ্ক করুন
Synced {0} offline cash movement(s).,সিঙ্ক করা হয়েছে {0} অফলাইন ক্যাশ মুভমেন্ট(গুলি)।
Syncing items in background,পটভূমিতে আইটেম সিঙ্ক করা হচ্ছে
System / Diagnostics,সিস্টেম / ডায়াগনস্টিকস
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","সিস্টেম অ্যাকশন হল কম-ফ্রিকোয়েন্সি রক্ষণাবেক্ষণ নিয়ন্ত্রণ যেমন অ্যাপের তথ্য, সহায়তা ডায়াগনস্টিকস এবং সেশন নিয়ন্ত্রণ।"
System Information,সিস্টেম তথ্য
System Status,সিস্টেমের অবস্থা
Tables:,টেবিল:
Tap the button below to redeem a gift card during checkout.,চেকআউটের সময় একটি উপহার কার্ড রিডিম করতে নীচের বোতামে আলতো চাপুন৷
Target,টার্গেট
Target Ex. Rate:,লক্ষ্য প্রাক্তন. হার:
Target Rate:,লক্ষ্য হার:
Tax,ট্যাক্স
Tax / Charges Report,ট্যাক্স / চার্জ রিপোর্ট
Tax Heads,ট্যাক্স প্রধান
Taxable Amount,করযোগ্য পরিমাণ
Tendered,টেন্ডার করা হয়েছে
Terminal,টার্মিনাল
Terminal & Devices,টার্মিনাল এবং ডিভাইস
Terminal locked,টার্মিনাল লক
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","টার্মিনাল সরঞ্জামগুলি এই চেকআউট স্টেশন, গ্রাহক-মুখী প্রদর্শন এবং ভবিষ্যতের প্রিন্টার/ডিভাইস নিয়ন্ত্রণগুলিকে প্রভাবিত করে।"
Territory not found,অঞ্চল খুঁজে পাওয়া যায়নি
The amount paid is not complete,প্রদত্ত পরিমাণ সম্পূর্ণ নয়
The app stores data locally for offline use. This is called cache.,অ্যাপটি অফলাইন ব্যবহারের জন্য স্থানীয়ভাবে ডেটা সঞ্চয় করে। একে ক্যাশে বলে।
The invoice stayed in draft. Please review and submit it manually.,চালানটি খসড়ায় রয়ে গেছে। পর্যালোচনা করুন এবং ম্যানুয়ালি জমা দিন.
The maximum discount allowed is,অনুমোদিত সর্বোচ্চ ডিসকাউন্ট হয়
The quantity for {0} has been adjusted to the maximum available stock.,{0}-এর পরিমাণ সর্বাধিক উপলব্ধ স্টকের সাথে সামঞ্জস্য করা হয়েছে৷
The system could not retrieve the item details. Please try again.,সিস্টেম আইটেম বিবরণ পুনরুদ্ধার করতে পারেনি. আবার চেষ্টা করুন.
These invoices will be synced when connection is restored,সংযোগ পুনরুদ্ধার করা হলে এই চালানগুলি সিঙ্ক করা হবে৷
This action now opens inside the settings workspace.,এই ক্রিয়াটি এখন সেটিংস ওয়ার্কস্পেসের ভিতরে খোলে।
This coupon already used !,এই কুপন ইতিমধ্যে ব্যবহৃত!
This invoice does not need change-allocation repair,এই চালান পরিবর্তন-বরাদ্দ মেরামতের প্রয়োজন নেই
This invoice is already repaired,এই চালান ইতিমধ্যে মেরামত করা হয়েছে
This is an item template. Please choose a variant.,এটি একটি আইটেম টেমপ্লেট. একটি বৈকল্পিক চয়ন করুন.
this item,এই আইটেম
This POS page could not be opened offline because its code was not cached on this terminal yet.,এই POS পৃষ্ঠাটি অফলাইনে খোলা যাবে না কারণ এর কোডটি এখনও এই টার্মিনালে ক্যাশে করা হয়নি৷
This Serial Number {0} has already been added!,এই সিরিয়াল নম্বর {0} ইতিমধ্যেই যোগ করা হয়েছে!
Threshold,থ্রেশহোল্ড
Time,সময়
Tip: Clear cache regularly to free up space and keep the app fast.,টিপ: স্থান খালি করতে এবং অ্যাপটিকে দ্রুত রাখতে নিয়মিত ক্যাশে সাফ করুন।
Tip: Close unused tabs or apps to reduce lag.,টিপ: ল্যাগ কমাতে অব্যবহৃত ট্যাব বা অ্যাপ বন্ধ করুন।
Tip: Monitor slow queries and table size for optimal performance.,পরামর্শ: সর্বোত্তম কর্মক্ষমতার জন্য ধীরগতির প্রশ্ন এবং টেবিলের আকার নিরীক্ষণ করুন।
To Be Paid,দিতে হবে
To Date,তারিখ থেকে
Today,আজ
Today Profit,আজ লাভ
Today Sales,আজ বিক্রয়
Toggle navigation drawer,নেভিগেশন ড্রয়ার টগল করুন
Toggle Theme,থিম টগল করুন
Tools,টুলস
Tools for customer-facing screens and terminal-specific actions.,গ্রাহক-মুখী পর্দা এবং টার্মিনাল-নির্দিষ্ট কর্মের জন্য সরঞ্জাম।
Top Brand,শীর্ষ ব্র্যান্ড
Top Category,শীর্ষ বিভাগ
Top Charge Head,শীর্ষ চার্জ প্রধান
Top Customers,শীর্ষ গ্রাহকদের
Top Discount,শীর্ষ ডিসকাউন্ট
Top Items by Location,অবস্থান অনুযায়ী শীর্ষ আইটেম
Top Margin,শীর্ষ মার্জিন
Top Pending,শীর্ষ মুলতুবি
Top Profit Item,শীর্ষ লাভ আইটেম
Top Return Items,শীর্ষ রিটার্ন আইটেম
Top Sales by Cashier,ক্যাশিয়ার দ্বারা শীর্ষ বিক্রয়
Top Supplier,শীর্ষ সরবরাহকারী
Top Suppliers by Spend,খরচ দ্বারা শীর্ষ সরবরাহকারী
Top Tables,শীর্ষ টেবিল
Top Tax Head,শীর্ষ কর প্রধান
Top Up Amount,টপ আপ পরিমাণ
Top Up Card,টপ আপ কার্ড
Top Up Mode,টপ আপ মোড
Top Variant,শীর্ষ বৈকল্পিক
Total,মোট
Total Amount,মোট পরিমাণ
Total Change,মোট পরিবর্তন
Total Charges,মোট চার্জ
Total In,মোট ইন
Total Invoices,মোট চালান
Total Items,মোট আইটেম
Total Mpesa,মোট Mpesa
Total Out,মোট আউট
Total Payments,মোট পেমেন্ট
Total Purchase,মোট ক্রয়
Total Selected :,মোট নির্বাচিত:
Total Size,মোট আকার
Total Stock Qty,মোট স্টক পরিমাণ
Total:,মোট:
Totals by Invoice Currency,চালান মুদ্রা দ্বারা মোট
Track how much cash was handed back to customers,গ্রাহকদের কাছে কত নগদ ফেরত দেওয়া হয়েছিল তা ট্র্যাক করুন
