POS Awesome,POS Minunat
The app stores data locally for offline use. This is called cache.,Aplicația stochează date local pentru utilizare offline. Aceasta se numește cache.
The invoice stayed in draft. Please review and submit it manually.,Factura a ramas in draft. Vă rugăm să o examinați și să o trimiteți manual.
The maximum discount allowed is,Reducerea maximă permisă este
The quantity for {0} has been adjusted to the maximum available stock.,Cantitatea pentru {0} a fost ajustată la stocul maxim disponibil.
The system could not retrieve the item details. Please try again.,Sistemul nu a putut prelua detaliile articolului. Vă rugăm să încercați din nou.
These invoices will be synced when connection is restored,Aceste facturi vor fi sincronizate la restabilirea conexiunii
This action now opens inside the settings workspace.,Această acțiune se deschide acum în spațiul de lucru cu setări.
This coupon already used !,Acest cupon este deja folosit!
This invoice does not need change-allocation repair,Această factură nu necesită reparații de modificare-alocare
This invoice is already repaired,Această factură este deja reparată
This is an item template. Please choose a variant.,Acesta este un șablon de articol. Vă rugăm să alegeți o variantă.
this item,acest articol
This POS page could not be opened offline because its code was not cached on this terminal yet.,"Această pagină POS nu a putut fi deschisă offline, deoarece codul său nu a fost încă memorat în cache pe acest terminal."
This Serial Number {0} has already been added!,Acest număr de serie {0} a fost deja adăugat!
Threshold,Prag
Time,Timpul
Tip: Clear cache regularly to free up space and keep the app fast.,Sfat: goliți memoria cache în mod regulat pentru a elibera spațiu și pentru a menține rapid aplicația.
Tip: Close unused tabs or apps to reduce lag.,Sfat: închideți filele sau aplicațiile neutilizate pentru a reduce decalajul.
Tip: Monitor slow queries and table size for optimal performance.,Sfat: monitorizați interogările lente și dimensiunea tabelului pentru performanțe optime.
To Be Paid,De plătit
To Date,Până în prezent
Today,Astăzi
Today Profit,Azi Profit
Today Sales,Vânzări de azi
Toggle navigation drawer,Comutați sertarul de navigare
Toggle Theme,Comutați tema
Tools,Instrumente
Tools for customer-facing screens and terminal-specific actions.,Instrumente pentru ecrane orientate către clienți și acțiuni specifice terminalului.
Top Brand,Brand de top
Top Category,Categoria de top
Top Charge Head,Cap de încărcare superior
Top Customers,Clienți de top
Top Discount,Top Reducere
Top Items by Location,Articole de top după locație
Top Margin,Marja superioară
Top Pending,Top În așteptare
Top Profit Item,Articol cu profit de top
Top Return Items,Top articole returnate
Top Sales by Cashier,Top vânzări de la casierie
Top Supplier,Furnizor de top
Top Suppliers by Spend,Top furnizori în funcție de cheltuieli
Top Tables,Top Mese
Top Tax Head,Top Tax Head
Top Up Amount,Suma de reîncărcare
Top Up Card,Card de reîncărcare
Top Up Mode,Modul de reîncărcare
Top Variant,Varianta de top
Total,Total
Total Amount,Suma totală
Total Change,Schimbare totală
Total Charges,Taxe totale
Total In,Total In
Total Invoices,Total facturi
Total Items,Total articole
Total Mpesa,Total Mpesa
Total Out,Total Out
Total Payments,Plăți totale
Total Purchase,Cumpărare totală
Total Selected :,Total selectat:
Total Size,Dimensiunea totală
Total Stock Qty,Cantitate totală de stoc
Total:,Total:
Totals by Invoice Currency,Totaluri în funcție de moneda facturii
Track how much cash was handed back to customers,Urmăriți câți bani au fost returnați clienților
"Track recent sales, collect unpaid balances, and reopen saved work","Urmăriți vânzările recente, colectați soldurile neplătite și redeschideți munca salvată"
Transaction ID,ID tranzacție
Transfer,Transfer
Try a different search term or clear the cart search.,Încercați un alt termen de căutare sau ștergeți căutarea în coș.
Try adjusting your search or filters,Încercați să ajustați căutarea sau filtrele
Try another source or refresh the list.,Încercați altă sursă sau reîmprospătați lista.
Try changing the date range or status filter.,Încercați să schimbați intervalul de date sau filtrul de stare.
Type,Tip
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,Nu se poate accesa camera chiar și cu setările de bază. Vă rugăm să verificați permisiunile camerei și compatibilitatea dispozitivului.
Unable to add offer item {0}. Please refresh and try again.,Nu se poate adăuga elementul de ofertă {0}. Vă rugăm să actualizați și să încercați din nou.
Unable to add offer item. Please refresh and try again.,Nu se poate adăuga elementul oferit. Vă rugăm să actualizați și să încercați din nou.
Unable to add scanned item.,Nu se poate adăuga elementul scanat.
Unable to create purchase order,Nu se poate crea comanda de cumpărare
Unable to delete draft invoice,Imposibil de șters proiectul de factură
Unable to fetch documents,Nu se pot prelua documentele
Unable to fetch draft orders,Imposibil de preluat comenzile nefinalizate
Unable to fetch invoice history,Imposibil de preluat istoricul facturilor
Unable to fetch M-Pesa payments,Nu se pot prelua plățile M-Pesa
Unable to fetch sales orders,Nu se pot prelua comenzile de vânzare
Unable to fetch unpaid invoices,Imposibil de preluat facturile neplătite
Unable to generate scale barcode,Nu se poate genera codul de bare la scară
Unable to issue gift card.,Nu se poate emite cardul cadou.
Unable to load cashier PIN status.,Nu se poate încărca starea PIN-ului casierului.
Unable to load document,Nu se poate încărca documentul
Unable to load draft invoice,Imposibil de încărcat proiectul de factură
Unable to load gift card balance.,Nu se poate încărca soldul cardului cadou.
Unable to load invoice details,Nu se pot încărca detaliile facturii
Unable to load parked order,Nu se poate încărca comanda parcata
Unable to load the selected sales order,Nu se poate încărca comanda de vânzare selectată
Unable to prepare document,Nu se poate pregăti documentul
Unable to prepare return invoice,Imposibil de pregătit factura de retur
Unable to print draft invoice,Imposibil de imprimat proiectul de factură
Unable to print submitted invoice,Imposibil de imprimat factura trimisă
Unable to process document action,Imposibil de procesat acțiunea documentului
Unable to repair change allocation,Imposibil de reparat modificarea alocației
Unable to save cashier PIN.,Nu se poate salva PIN-ul casierului.
Unable to save the rate to the backend price list,Nu se poate salva rata în lista de prețuri backend
Unable to submit invoice,Imposibil de trimis factura
Unable to submit the selected payment,Nu se poate trimite plata selectată
Unable to top up gift card.,Nu se poate încărca cardul cadou.
Unable to verify cashier PIN.,Nu se poate verifica PIN-ul casierului.
Unallocated,Nealocate
Unallocated:,Nealocate:
Unavailable,Indisponibil
Unknown,Necunoscut
Unknown Item,Element necunoscut
Unknown Warehouse,Depozit necunoscut
Unlock POS,Deblocați POS
Unpaid,Neplătit
"Unselected payments stay unallocated first, then auto reconcile after submit.","Plățile neselectate rămân nealocate mai întâi, apoi reconcilierea automată după trimitere."
UOM,UOM
UOM not found,UOM nu a fost găsit
Update available,Actualizare disponibilă
Update Customer,Actualizați clientul
Update PIN,Actualizați codul PIN
Update Price List Rate,Actualizați tariful listei de prețuri
Updated,Actualizat
Updates and app info that stay out of the cashier flow.,Actualizări și informații despre aplicație care rămân în afara fluxului de casierie.
Updates automatically,Se actualizează automat
Usage,Utilizare
Usage Stats,Statistici de utilizare
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Utilizați un PIN din 4 până la 8 cifre pentru comutarea casieriei și deblocarea terminalului.
Use Cashier,Folosește Casier
Use date range to search for older invoices,Utilizați intervalul de date pentru a căuta facturi mai vechi
"Use one field for manual code entry, barcode scans, or QR scans.","Utilizați un câmp pentru introducerea manuală a codului, scanările codurilor de bare sau scanările QR."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Utilizați un singur flux de lucru pentru verificări de sold, emitere nouă și reîncărcări fără a părăsi POS."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Utilizați această secțiune atunci când datele prealabile stocate în cache necesită o reîmprospătare, reconstrucție sau o analiză de diagnosticare."
Use Western numerals,Folosiți cifre occidentale
Used:,Folosit:
Using basic camera settings due to device limitations,Utilizarea setărilor de bază ale camerei din cauza limitărilor dispozitivului
Using cached customer balance,Utilizarea soldului clientului stocat în cache
Valid until,Valabil până la
Variance %,Varianta %
Variants,Variante
Variant-wise,Din punct de vedere al variantelor
Verify closing amounts for each payment method,Verificați sumele de închidere pentru fiecare metodă de plată
View all,Vezi toate
View app information and current build details,Vizualizați informații despre aplicație și detalii despre versiunea curentă
View Data Diagnostics,Vedeți Diagnosticarea datelor
View Details,Vedeți detalii
View invoice details,Vedeți detaliile facturii
View notifications,Vizualizați notificările
View offline invoices,Vedeți facturile offline
View restricted POS insights,Vedeți statistici POS restricționate
Void Amount,Suma nulă
Void Count,Număr de goluri
Voids,Goluri
Waiting for cart items,În așteptarea articolelor din coș
Waiting for payment...,Se așteaptă plata...
Walk-in Customer,Client cu intrare
Warehouse,Depozit
Warning: High cache usage may affect performance.,Avertisment: utilizarea ridicată a memoriei cache poate afecta performanța.
Warning: High lag may indicate heavy processing or browser slowness.,Avertisment: întârzierea mare poate indica procesarea grea sau încetinirea browserului.
Week ?,Săptămâna?
Week-wise,Săptămânal
Weight (g),Greutate (g)
Weight (grams),Greutate (grame)
We'll let you know if an invoice fails to submit,Vă vom anunța dacă o factură nu se trimite
Workflow,Fluxul de lucru
Write off amount cannot exceed the POS profile maximum of {0},Suma anulată nu poate depăși valoarea maximă a profilului POS de {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,Suma anulată depășește limita permisă ({0}). Vă rugăm să adăugați plata pentru suma rămasă.
Yes,Da
"Yes, Cancel sale","Da, anulați vânzarea"
"Yes, Close","Da, aproape"
You are not allowed to print draft invoices,Nu aveți voie să tipăriți proiecte de facturi
You are offline. Add Payment will work again when the connection is restored.,Ești offline. Adăugarea plății va funcționa din nou când conexiunea este restabilită.
You have no notifications right now,Nu aveți notificări în acest moment
Your Cart,Coșul dvs
