POS Awesome,POS නියමයි
Offline restore is unavailable for this session.,මෙම සැසිය සඳහා නොබැඳි ප්‍රතිසාධනය නොමැත.
Offline selling is available with degraded capabilities.,පිරිහුණු හැකියාවන් සමඟ නොබැඳි විකිණීම ලබා ගත හැකිය.
Offline snapshot does not match the current POS state.,නොබැඳි ස්නැප්ෂොට් වත්මන් POS තත්වයට නොගැලපේ.
Offline Status,නොබැඳි තත්ත්වය
"Offline, terminal, and system controls","නොබැඳි, පර්යන්ත සහ පද්ධති පාලන"
OK,හරි
Online,ඔන්ලයින්
Open actions menu,ක්‍රියා මෙනුව විවෘත කරන්න
Open balance to collect,එකතු කිරීමට ශේෂය විවෘත කරන්න
Open Customer Display,පාරිභෝගික සංදර්ශකය විවෘත කරන්න
Open drawer,විවෘත ලාච්චුව
Open invoices,ඉන්වොයිසි විවෘත කරන්න
Open Payments?,ගෙවීම් විවෘත කරන්නද?
Open POS home,POS නිවස විවෘත කරන්න
Open this screen from POS Menu -> Open Customer Display.,POS මෙනුවෙන් මෙම තිරය විවෘත කරන්න -> පාරිභෝගික සංදර්ශකය විවෘත කරන්න.
OpenCV image processing enabled - Enhanced barcode detection,OpenCV රූප සැකසීම සබල කර ඇත - වැඩි දියුණු කළ තීරු කේත හඳුනාගැනීම
OpenCV image processing unavailable on this device,OpenCV රූප සැකසීම මෙම උපාංගයේ නොමැත
OpenCV Off,OpenCV අක්‍රියයි
OpenCV On,OpenCV ක්‍රියාත්මකයි
OpenCV processing disabled,OpenCV සැකසුම් අබල කර ඇත
Opening Amount,ආරම්භක මුදල
Opening Cash,මුදල් විවෘත කිරීම
options,විකල්ප
Order,ඇණවුම් කරන්න
Original,මුල්
Other,වෙනත්
Out,පිටතට
Out of Stock,තොග ඉවරයි
Out of Stock Items,තොග පිට අයිතම
Outstanding,කැපී පෙනෙන
Outstanding Credit by Currency,මුදල් මගින් කැපී පෙනෙන ණය
Overdue,කල් ඉකුත් වී ඇත
Overpayment Change,වැඩිපුර ගෙවීමේ වෙනසක්
Overpayment change deducted: {0},වැඩිපුර ගෙවීමේ වෙනසක් අඩු කරන ලදී: {0}
Packing List,ඇසුරුම් ලැයිස්තුව
Page Format,පිටු ආකෘතිය
Page unavailable offline,පිටුව නොබැඳිව නොමැත
Paid,ගෙවා ඇත
Paid (orig):,ගෙවූ (මුල):
Paid Amount,ගෙවූ මුදල
Paid change cannot be greater than total change!,ගෙවූ වෙනස සම්පූර්ණ වෙනසට වඩා වැඩි විය නොහැක!
Paid:,ගෙවූ:
Parent Item,මාපිය අයිතමය
Partial,අර්ධ
Partly Paid,අර්ධ වශයෙන් ගෙවනු ලැබේ
Party Account,පක්ෂ ගිණුම
Party Type,පක්ෂ වර්ගය
Pause terminal until next cashier,ඊළඟ අයකැමිය තෙක් පර්යන්තය විරාම කරන්න
PAY,ගෙවන්න
Payment,ගෙවීම
Payment Account,ගෙවීම් ගිණුම
Payment entries processed for Invoice {0},ඉන්වොයිසිය {0} සඳහා ගෙවීම් ඇතුළත් කිරීම් සකසන ලදී
Payment Entry Type,ගෙවීම් ඇතුළත් කිරීමේ වර්ගය
Payment History,ගෙවීම් ඉතිහාසය
Payment ID,ගෙවීම් හැඳුනුම්පත
Payment Method Report,ගෙවීම් ක්‍රම වාර්තාව
Payment Methods,ගෙවීම් ක්රම
Payment of {0} received successfully.,{0} ගෙවීම සාර්ථකව ලැබිණි.
Payment Progress,ගෙවීම් ප්‍රගතිය
Payment Reconciliation,ගෙවීම් ප්රතිසන්ධානය
Payment request status could not be retrieved. Please try again,ගෙවීම් ඉල්ලීම් තත්ත්වය ලබා ගැනීමට නොහැකි විය. කරුණාකර නැවත උත්සාහ කරන්න
Payment Request took too long to respond. Please try requesting for payment again,ගෙවීම් ඉල්ලීමට ප්‍රතිචාර දැක්වීමට වැඩි කාලයක් ගත විය. කරුණාකර නැවත ගෙවීම සඳහා ඉල්ලීමට උත්සාහ කරන්න
Payment saved offline,ගෙවීම නොබැඳිව සුරකින ලදී
Payment State,ගෙවීම් තත්ත්වය
Payment Status,ගෙවීම් තත්ත්වය
Payment submitted but print function could not be executed. Payment name not found.,ගෙවීම ඉදිරිපත් කළ නමුත් මුද්‍රණ කාර්යය ක්‍රියාත්මක කළ නොහැකි විය. ගෙවීමේ නම හමු නොවීය.
Payment submitted.,ගෙවීම ඉදිරිපත් කරන ලදී.
Payment Summary,ගෙවීම් සාරාංශය
Payments,ගෙවීම්
Payments are not open. Do you want to open payments and submit?,ගෙවීම් විවෘත නැත. ඔබට ගෙවීම් විවෘත කර ඉදිරිපත් කිරීමට අවශ්‍යද?
Payments by Mode of Payment,ගෙවීම් ක්‍රමය මගින් ගෙවීම්
PDF,PDF
Peak Hour,උපරිම පැය
Peak Memory:,උච්ච මතකය:
Peak Server:,උච්ච සේවාදායකය:
Peak:,උච්ච:
Pending,පොරොත්තුවෙන්
Pending Amount,පොරොත්තු මුදල
Pending count updated from {0} to {1},පොරොත්තු ගණන {0} සිට {1} දක්වා යාවත්කාලීන කරන ලදී
Pending Exposure,පොරොත්තු නිරාවරණය
Pending Invoices,පොරොත්තු ඉන්වොයිසි
Pending Ratio,පොරොත්තු අනුපාතය
Pending Sales,පොරොත්තු විකුණුම්
Pending sales: {0} | Cache usage: {1}%,අපේක්ෂිත විකුණුම්: {0} | හැඹිලි භාවිතය: {1}%
Pending Sync,පොරොත්තු සමමුහුර්ත කිරීම
Pending: {0},පොරොත්තුවෙන්: {0}
Pending: {0} | Synced: {1} | Draft: {2},පොරොත්තුවෙන්: {0} | සමමුහුර්ත: {1} | කෙටුම්පත: {2}
Per Page,පිටුවකට
Personal,පුද්ගලික
Personal preferences adjust the current cashier experience without changing the active POS route.,පුද්ගලික මනාපයන් සක්‍රිය POS මාර්ගය වෙනස් නොකර වත්මන් මුදල් අයකැමි අත්දැකීම සීරුමාරු කරයි.
PIN confirmation does not match.,PIN තහවුරු කිරීම නොගැලපේ.
PIN must be 4 to 8 digits.,PIN අංකය ඉලක්කම් 4 සිට 8 දක්වා විය යුතුය.
Please add at least one item.,කරුණාකර අවම වශයෙන් එක් අයිතමයක් වත් එක් කරන්න.
Please allow camera access to scan codes,කරුණාකර කේත ස්කෑන් කිරීමට කැමරා ප්‍රවේශයට ඉඩ දෙන්න
Please enter payment amount,කරුණාකර ගෙවීම් මුදල ඇතුළත් කරන්න
Please fill all required fields,කරුණාකර අවශ්‍ය සියලුම ක්ෂේත්‍ර පුරවන්න
Please make a payment or select a payment,කරුණාකර ගෙවීමක් කරන්න හෝ ගෙවීමක් තෝරන්න
Please request phone payment or use another payment method,කරුණාකර දුරකථන ගෙවීමක් ඉල්ලන්න හෝ වෙනත් ගෙවීමේ ක්‍රමයක් භාවිතා කරන්න
Please select a customer first,කරුණාකර පළමුව පාරිභෝගිකයෙකු තෝරන්න
Please select a party,කරුණාකර පක්ෂයක් තෝරන්න
Please select a party before reconciling.,කරුණාකර ප්‍රතිසන්ධානයට පෙර පාර්ශවයක් තෝරන්න.
Please select a valid movement type.,කරුණාකර වලංගු චලන වර්ගයක් තෝරන්න.
Please select an invoice,කරුණාකර ඉන්වොයිසියක් තෝරන්න
Please select company before reconciling.,ප්‍රතිසන්ධානයට පෙර කරුණාකර සමාගම තෝරන්න.
Please set the customer's mobile number,කරුණාකර පාරිභෝගිකයාගේ ජංගම දුරකථන අංකය සකසන්න
Please try again or enter the item manually.,කරුණාකර නැවත උත්සාහ කරන්න හෝ අයිතමය අතින් ඇතුල් කරන්න.
Please verify the barcode or check the item's availability.,කරුණාකර තීරු කේතය සත්‍යාපනය කරන්න හෝ අයිතමයේ තිබේදැයි පරීක්ෂා කරන්න.
Points,ලකුණු
Popup blocked. Please allow popups.,උත්පතන අවහිර කරන ලදී. කරුණාකර උත්පතන වලට ඉඩ දෙන්න.
POS,POS
POS controls and maintenance,POS පාලන සහ නඩත්තු
POS Expense is disabled for this POS Profile.,මෙම POS පැතිකඩ සඳහා POS වියදම් අක්‍රිය කර ඇත.
POS is running with limited offline prerequisites.,POS සීමිත නොබැඳි පූර්වාවශ්‍යතා සහිතව ධාවනය වේ.
POS Profile,POS පැතිකඩ
Position the QR code or barcode within the scanning area,ස්කෑන් කරන ප්‍රදේශය තුළ QR කේතය හෝ තීරු කේතය ස්ථානගත කරන්න
Posting,පළ කිරීම
Posting and Price List,පළ කිරීම සහ මිල ලැයිස්තුව
Posting Date,පළකිරීමේ දිනය
Preparing background sync,පසුබිම් සමමුහුර්තකරණය සූදානම් කරමින්
"Press OK to continue offline with a warning, or Cancel to retry.","අනතුරු ඇඟවීමක් සමඟ නොබැඳිව ඉදිරියට යාමට OK ඔබන්න, නැතහොත් නැවත උත්සාහ කිරීමට අවලංගු කරන්න."
Previous unit of measure,පෙර මිනුම් ඒකකය
Price List,මිල ලැයිස්තුව
Price List Rate,මිල ලැයිස්තු අනුපාතය
Price list rate updated locally only,මිල ලැයිස්තු ගාස්තු දේශීයව පමණක් යාවත්කාලීන වේ
Pricing & Discounts,මිල සහ වට්ටම්
Pricing Rule,මිල නියම කිරීමේ රීතිය
Print,මුද්‍රණය කරන්න
Print Draft,කෙටුම්පත මුද්රණය කරන්න
Print Format (Invoice),මුද්‍රණ ආකෘතිය (ඉන්වොයිසිය)
Print Format (Order),මුද්‍රණ ආකෘතිය (ඇණවුම)
Print invoice,ඉන්වොයිසිය මුද්‍රණය කරන්න
Print Purchase Invoice instead of PO,PO වෙනුවට මිලදී ගැනීමේ ඉන්වොයිසිය මුද්‍රණය කරන්න
Printer,මුද්‍රණ යන්ත්‍රය
Processed returns impacting the shift totals,මුර එකතුවට බලපාන සැකසූ ප්‍රතිලාභ
Processing Payment,ගෙවීම් සැකසීම
Processing payment entries for Invoice {0},ඉන්වොයිසිය {0} සඳහා ගෙවීම් ඇතුළත් කිරීම් සැකසීම
Profile,පැතිකඩ
Profiles,පැතිකඩ
Profit,ලාභය
Profit: Invoice Item Estimate,ලාභය: ඉන්වොයිස් අයිතම ඇස්තමේන්තුව
Profit: Stock Ledger (COGS),ලාභය: කොටස් ලෙජරය (COGS)
Profitability Report,ලාභදායිතා වාර්තාව
Prorated return discount,ප්‍රෝටඩ් ප්‍රතිලාභ වට්ටමක්
Purchase Amount,මිලදී ගැනීමේ මුදල
Purchase Invoices,ඉන්වොයිසි මිලදී ගන්න
Purchase Order created,මිලදී ගැනීමේ ඇණවුම සාදන ලදී
Qty,Qty
Qualified,සුදුසුකම් ලබා ඇත
Quantity,ප්රමාණය
Quantity exceeds available stock,ප්‍රමාණය පවතින තොග ඉක්මවයි
Quick Actions,ඉක්මන් ක්‍රියා
Quotation {0} is Submitted,උපුටා ගැනීම {0} ඉදිරිපත් කර ඇත
Quotation submitted,මිල ගණන් ඉදිරිපත් කරන ලදී
QZ Tray connected.,QZ තැටි සම්බන්ධ කර ඇත.
QZ Tray is manually disconnected. Press Connect to enable it again.,QZ තැටි අතින් විසන්ධි කර ඇත. එය නැවත සබල කිරීමට Connect ඔබන්න.
QZ Tray is not connected.,QZ තැටි සම්බන්ධ නොවේ.
QZ Tray Setup,QZ තැටි සැකසුම
Rate,අගය කරන්න
Rate adjusted to maximum allowed discount,අවසර ලත් උපරිම වට්ටම් වලට අනුපාත සකස් කරන ලදී
Ready,සූදානම්
Ready to resume,නැවත ආරම්භ කිරීමට සූදානම්
Ready!,සූදානම්!
Real-time POS insights for retail operations.,සිල්ලර මෙහෙයුම් සඳහා තත්‍ය කාලීන POS විදසුන්.
Rebuild Offline Data,නොබැඳි දත්ත නැවත ගොඩනඟන්න
Receive,ලබාගන්න
Receive now,දැන් ලබා ගන්න
Received,ලැබුනා
Received:,ලැබුණු:
Recent Movement Entries,මෑත චලනයන් ඇතුළත් කිරීම්
Recent updates about your invoices,ඔබගේ ඉන්වොයිසි පිළිබඳ මෑත යාවත්කාලීන
Recently Active Customers,මෑතකදී ක්රියාකාරී පාරිභෝගිකයින්
Rechecking connection,සම්බන්ධතාවය නැවත පරීක්ෂා කිරීම
Reconcile payment methods and close shift,ගෙවීම් ක්‍රම සමථයකට පත් කිරීම සහ මාරු කිරීම වසා දමන්න
Reconciling Payments,ගෙවීම් සමථයකට පත් කිරීම
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","සබැඳිව සිටියදී එක් වරක් මෙම පිටුව නැවත සම්බන්ධ කර විවෘත කරන්න, එවිට නොබැඳි නැවුම් කිරීම්වලට එය ප්‍රතිසාධන කිරීමට හැකි වනු ඇත."
Reconnect online to refresh cached offline data from the server.,සේවාදායකයෙන් හැඹිලිගත නොබැඳි දත්ත නැවුම් කිරීමට සබැඳිව නැවත සම්බන්ධ කරන්න.
Recreate local offline prerequisites from scratch,මුල සිටම දේශීය නොබැඳි පූර්ව අවශ්‍යතා ප්‍රතිනිර්මාණය කරන්න
Recv:,Recv:
Redeem,මුදවා ගන්න
Redeem / Scan,මුදා ගන්න / ස්කෑන් කරන්න
Redeem Amount,මුදල මුදා ගන්න
Redeem Mode,මුදාගැනීමේ මාදිලිය
Redeemed Amount,මුදාගත් මුදල
Redeemed credit cannot be greater than its total.,මුදාගත් ණය එහි එකතුවට වඩා වැඩි විය නොහැක.
Redemption and Totals,මිදීම සහ එකතුව
Reference,යොමුව
Refresh,නැවුම් කරන්න
Refresh Exchange Rate,Refresh Exchange Rate
Refresh Offline Data,නොබැඳි දත්ත නැවුම් කරන්න
Refresh Printers,මුද්‍රණ යන්ත්‍ර නැවුම් කරන්න
Refund,ආපසු ගෙවීම
Release Notes,නිකුත් කිරීමේ සටහන්
Reload,නැවත පූරණය කරන්න
Reload customers,පාරිභෝගිකයින් නැවත පූරණය කරන්න
Reload Items,අයිතම නැවත පූරණය කරන්න
Reload Now,දැන් නැවත පූරණය කරන්න
Reload to apply the latest changes. Your current session will be refreshed.,නවතම වෙනස්කම් යෙදීමට නැවත පූරණය කරන්න. ඔබගේ වත්මන් සැසිය නැවුම් වනු ඇත.
Reload Workflow,කාර්ය ප්‍රවාහය නැවත පූරණය කරන්න
Remarks,අදහස්
Remarks are required.,අදහස් දැක්වීම අවශ්ය වේ.
Remove,ඉවත් කරන්න
Remove barcode item,තීරු කේතය ඉවත් කරන්න
Remove cached data and reload the POS app,හැඹිලිගත දත්ත ඉවත් කර POS යෙදුම නැවත පූරණය කරන්න
Remove item,අයිතමය ඉවත් කරන්න
Remove Offer,පිරිනැමීම ඉවත් කරන්න
Reorder / Purchase Suggestions,නැවත ඇණවුම් කිරීම / මිලදී ගැනීමේ යෝජනා
Repair Candidate,අලුත්වැඩියා අපේක්ෂකයා
Repair Change Allocation,අලුත්වැඩියා වෙනස් කිරීම වෙන් කිරීම
Repair requires an online connection,අළුත්වැඩියා කිරීමට සබැඳි සම්බන්ධතාවයක් අවශ්‍ය වේ
Repaired,අලුත්වැඩියා කළා
Repairing change allocation,වෙනස් කිරීම් වෙන් කිරීම අලුත්වැඩියා කිරීම
Repeat Customers,නැවත නැවතත් පාරිභෝගිකයින්
Repeat Rate,Repeat Rate
Request,ඉල්ලීම
Request ID: {0},ඉල්ලීම් ID: {0}
Request Payment,ගෙවීම් ඉල්ලන්න
Requested route: {0},ඉල්ලූ මාර්ගය: {0}
Required columns cannot be hidden,අවශ්‍ය තීරු සැඟවිය නොහැක
Reset,යළි පිහිටුවන්න
Reset item name,අයිතමයේ නම නැවත සකසන්න
Reset to Default,පෙරනිමියට යළි පිහිටුවන්න
Resource Health,සම්පත් සෞඛ්ය
Restricted,සීමා කර ඇත
Restricted operational controls for supervisors only.,අධීක්ෂකවරුන් සඳහා පමණක් සීමා කර ඇති මෙහෙයුම් පාලනය.
Retry,නැවත උත්සාහ කරන්න
Retry route,මාර්ගය නැවත උත්සාහ කරන්න
Return,ආපසු
Return Amount,ආපසු පැමිණීමේ මුදල
Return Count,ආපසු ගණනය කිරීම
Return items must have negative quantities,ආපසු ලබා දෙන අයිතමවල සෘණ අගයන් තිබිය යුතුය
Return total must be negative,ප්‍රතිලාභ එකතුව ඍණ විය යුතුය
Return Valid Until,ආපසු යැවීම තෙක් වලංගු වේ
Return window passed,ආපසු එන කවුළුව සමත් විය
Return without Invoice,ඉන්වොයිසිය නොමැතිව ආපසු යන්න
Returns,ආපසු පැමිණේ
Returns / Voids / Discounts,ආපසු / හිස් / වට්ටම්
Returns by Currency,මුදල් මගින් ආපසු
Revenue,ආදායම
Review shift totals before submitting the closing entry,අවසන් ප්‍රවේශය ඉදිරිපත් කිරීමට පෙර මුර එකතුව සමාලෝචනය කරන්න
Round Off,රවුන්ඩ් ඕෆ්
Rows,පේළි
Rows:,පේළි:
Rule,රීතිය
Sale,විකිණීම
Sales,විකුණුම්
Sales Order {0} is Submitted,විකුණුම් ඇණවුම {0} ඉදිරිපත් කර ඇත
Sales Person and Print,විකුණුම් පුද්ගලයා සහ මුද්රණය
Sales Person not found,විකුණුම් පුද්ගලයා හමු නොවීය
Sales processed,විකුණුම් සකස් කර ඇත
Sales Return,විකුණුම් ප්රතිලාභය
Sales Trend Report,විකුණුම් ප්‍රවණතා වාර්තාව
Save,සුරකින්න
Save & Clear,සුරකින්න සහ හිස් කරන්න
Save as POS Profile Default,POS පැතිකඩ පෙරනිමිය ලෙස සුරකින්න
Save Settings,සැකසුම් සුරකින්න
Save the selected printer as the POS Profile default so it shows automatically on this setup.,"තෝරාගත් මුද්‍රණ යන්ත්‍රය POS පැතිකඩ පෙරනිමිය ලෙස සුරකින්න, එවිට එය මෙම සැකසුමේදී ස්වයංක්‍රීයව පෙන්වයි."
Saved as draft because: {0},කෙටුම්පතක් ලෙස සුරකින ලද්දේ මන්ද: {0}
Saving...,සුරකිමින්...
Scale barcode detected. Quantity here is the number of labels to print.,පරිමාණ තීරු කේතය අනාවරණය විය. මෙහි ප්‍රමාණය මුද්‍රණය කළ යුතු ලේබල් ගණනයි.
Scale barcode settings are not configured. Using item barcode only.,පරිමාණ තීරු කේත සැකසීම් වින්‍යාස කර නොමැත. අයිතම තීරු කේතය පමණක් භාවිතා කිරීම.
Scale template barcode is missing for this item/UOM. Using item barcode only.,මෙම අයිතමය/UOM සඳහා පරිමාණ අච්චු තීරු කේතය නොමැත. අයිතම තීරු කේතය පමණක් භාවිතා කිරීම.
Scan an existing card and top it up without leaving the payment flow.,පවතින කාඩ්පතක් පරිලෝකනය කර ගෙවීම් ප්‍රවාහයෙන් ඉවත් නොවී එය ඉහළට දමන්න.
Scan Error,ස්කෑන් දෝෂය
Scan or enter a gift card code to check balance or redeem.,ශේෂය පරීක්ෂා කිරීමට හෝ මුදා ගැනීමට තෑගි කාඩ්පත් කේතයක් පරිලෝකනය කරන්න හෝ ඇතුළත් කරන්න.
Scan or paste the card code below.,පහත කාඩ්පත් කේතය ස්කෑන් කරන්න හෝ අලවන්න.
Scan QR Code/Barcode,QR කේතය/තීරු කේතය පරිලෝකනය කරන්න
Scan with camera,කැමරාව සමඟ ස්කෑන් කරන්න
Scan-First Flow,ස්කෑන්-පළමු ප්රවාහය
Scanned Code:,ස්කෑන් කළ කේතය:
Scanning for: {0},ස්කෑන් කරමින්: {0}
Scanning items,අයිතම ස්කෑන් කිරීම
Scan-Ready,ස්කෑන්-සූදානම්
Scope,විෂය පථය
Scope: All Profiles,විෂය පථය: සියලුම පැතිකඩ
Scope: Current Profile,විෂය පථය: වත්මන් පැතිකඩ
Scope: Specific Profile,විෂය පථය: විශේෂිත පැතිකඩ
Search,සොයන්න
Search Account,ගිණුම සොයන්න
Search an invoice and continue the return flow without extra steps.,ඉන්වොයිසියක් සොයන්න සහ අමතර පියවරකින් තොරව ආපසු ප්‍රවාහය දිගටම කරගෙන යන්න.
Search customer,පාරිභෝගිකයා සොයන්න
Search invoices or customers,ඉන්වොයිසි හෝ පාරිභෝගිකයන් සොයන්න
Search item,අයිතමය සොයන්න
Search item / code,අයිතමය / කේතය සොයන්න
Search items or barcode,අයිතම හෝ තීරු කේතය සොයන්න
Search Mpesa Payments,Mpesa ගෙවීම් සොයන්න
Search return invoices or customers,ආපසු ඉන්වොයිසි හෝ පාරිභෝගිකයන් සොයන්න
Search supplier,සෙවුම් සැපයුම්කරු
Search unpaid invoices or customers,නොගෙවූ ඉන්වොයිසි හෝ පාරිභෝගිකයන් සොයන්න
Secure context (HTTPS or localhost) is required for camera access.,කැමරා ප්‍රවේශය සඳහා ආරක්ෂිත සන්දර්භය (HTTPS හෝ localhost) අවශ්‍ය වේ.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,කැමරා ප්‍රවේශය සඳහා ආරක්ෂිත සන්දර්භය (HTTPS) අවශ්‍ය වේ. කැමරාවට ප්‍රවේශ වීමට කරුණාකර HTTPS භාවිතා කරන්න.
Select,තෝරන්න
Select a cashier first.,මුලින්ම මුදල් අයකැමියෙකු තෝරන්න.
Select a customer,පාරිභෝගිකයෙකු තෝරන්න
Select a customer to use coupon,කූපනය භාවිතා කිරීමට පාරිභෝගිකයෙකු තෝරන්න
Select a printer to use QZ silent printing.,QZ නිහඬ මුද්‍රණය භාවිතා කිරීමට මුද්‍රණ යන්ත්‍රයක් තෝරන්න.
Select Batch,කණ්ඩායම තෝරන්න
Select Columns to Display,ප්රදර්ශනය කිරීමට තීරු තෝරන්න
Select items to sell,විකිණීමට අයිතම තෝරන්න
Select Payment,ගෙවීම් තෝරන්න
Select Payment Account,ගෙවීම් ගිණුම තෝරන්න
Select printer,මුද්රකය තෝරන්න
Select Return Invoice,ආපසු ඉන්වොයිසිය තෝරන්න
Select S.O,S.O තෝරන්න
Select Sales Orders,විකුණුම් ඇණවුම් තෝරන්න
Select the cashier who is taking over this terminal.,මෙම පර්යන්තය භාර ගන්නා අයකැමි තෝරන්න.
Selected,තෝරා ගන්නා ලදී
Selected movement type is not allowed by POS Profile.,තෝරාගත් චලන වර්ගය POS පැතිකඩ මඟින් ඉඩ නොදේ.
Selected Payments,තෝරාගත් ගෙවීම්
Sensitive actions kept away from quick taps.,සංවේදී ක්‍රියා ඉක්මන් තට්ටු කිරීම් වලින් ඈත් කර ඇත.
Serial,මාලාව
Serial Numbers,අනුක්රමික අංක
Server CPU Usage:,සේවාදායක CPU භාවිතය:
Server Health,සේවාදායක සෞඛ්‍යය
Server Memory Usage:,සේවාදායක මතක භාවිතය:
Server Metrics,සේවාදායක මෙට්රික්ස්
Server Uptime:,සේවාදායක මෙහෙයුම් කාලය:
Service Charges,සේවා ගාස්තු
Session,සැසිය
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,සෑම අයකැමි PIN එකක්ම පරිශීලක පෝරමයේ සකසන්න සහ POS පැතිකඩ පරිශීලකයා තුළ පවරා ඇති ටර්මිනල් සාමාජිකයින් තබා ගන්න.
Settings,සැකසීම්
Settings in this section update the POS workspace without changing the current route.,මෙම කොටසේ ඇති සැකසීම් වත්මන් මාර්ගය වෙනස් නොකර POS වැඩබිම යාවත්කාලීන කරයි.
Setup complete!,පිහිටුවීම සම්පූර්ණයි!
Share,බෙදාගන්න
Shared terminal,හවුල් පර්යන්තය
Shift Closed Snapshot,Shift Closed Snapshot
Shift Overview,මාරු දළ විශ්ලේෂණය
Show,පෙන්වන්න
Show cart on customer-facing screen,පාරිභෝගික මුහුණත තිරය මත කරත්තය පෙන්වන්න
Show last invoice rate,අවසාන ඉන්වොයිස් ගාස්තුව පෙන්වන්න
Show rate info,ගාස්තු තොරතුරු පෙන්වන්න
Show Repair Candidates,අලුත්වැඩියා අපේක්ෂකයින් පෙන්වන්න
Show search tools,සෙවුම් මෙවලම් පෙන්වන්න
Show the active cart on a customer-facing screen,සක්‍රිය කරත්තය පාරිභෝගිකයින්ට මුහුණ දෙන තිරයක් මත පෙන්වන්න
Showing {0}-{1} of {2},{2} න් {0}-{1} පෙන්වමින්
Showing 0 of 0,0 හි 0 පෙන්වයි
Shows the distribution of invoices per currency,මුදල් ඒකකයකට ඉන්වොයිසි බෙදා හැරීම පෙන්වයි
Sign out of the current POS session,වත්මන් POS සැසියෙන් වරන්න
Size:,ප්‍රමාණය:
Skipped Payments,මඟ හැරිය ගෙවීම්
Skipping items without barcodes,තීරු කේත නොමැතිව අයිතම මඟ හැරීම
Slow Moving,Slow Moving
Slow Moving Items,සෙමින් චලනය වන අයිතම
Slow Queries:,මන්දගාමී විමසුම්:
Sold,විකුණුවා
Source,මූලාශ්රය
Source Cash Account (Optional Override),මූලාශ්‍ර මුදල් ගිණුම (විකල්ප අභිබවා යාම)
Source Ex. Rate:,මූලාශ්රය Ex. අගය:
Source Rate:,මූලාශ්ර අනුපාතය:
Specific Profile,විශේෂිත පැතිකඩ
Split Invoices,ඉන්වොයිසි බෙදන්න
Staff / Cashier Performance Report,කාර්ය මණ්ඩලය / අයකැමි කාර්ය සාධන වාර්තාව
Status,තත්ත්වය
Stock,තොග
Stock Information,කොටස් තොරතුරු
Stock is lower than requested,තොග ඉල්ලුමට වඩා අඩුය
Stock is lower than requested:\n{0},තොගය ඉල්ලුවාට වඩා අඩුයි:\n{0}
Stock Movement Report,කොටස් චලන වාර්තාව
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,කොටස් යාවත්කාලීන: {0} සතුව {1} තිබේ. {2} එකතු කිරීමෙන් කොටස් බිංදුවට වඩා පහළට ගෙන එනු ඇත.
Submit,ඉදිරිපත් කරන්න
Submit & Print,ඉදිරිපත් කර මුද්‍රණය කරන්න
Submit Deposit,තැන්පතු ඉදිරිපත් කරන්න
Submit Expense,වියදම් ඉදිරිපත් කරන්න
Submitted,ඉදිරිපත් කළා
Submitted Cash Movements,ඉදිරිපත් කළ මුදල් චලනයන්
Submitted entries,ඉදිරිපත් කළ ඇතුළත් කිරීම්
Successfully scanned:,සාර්ථකව ස්කෑන් කරන ලදී:
Suggested,යෝජනා කර ඇත
Suggested Qty,යෝජිත Qty
Supervisor Access,අධීක්ෂක ප්රවේශය
Supervisor permissions unlock issuance and reloads,අධීක්ෂක අවසර නිකුත් කිරීම අගුළු හැරීම සහ නැවත පූරණය කිරීම
Supervisor Tools,අධීක්ෂක මෙවලම්
Supplier,සැපයුම්කරු
Supplier and dates are required.,සැපයුම්කරු සහ දිනයන් අවශ්ය වේ.
Supplier Invoices,සැපයුම්කරුගේ ඉන්වොයිසි
Supplier is required.,සැපයුම්කරු අවශ්ය වේ.
Supplier name is required,සැපයුම්කරුගේ නම අවශ්ය වේ
Supplier Payments,සැපයුම්කරුගේ ගෙවීම්
Supplier Purchase Summary,සැපයුම්කරු මිලදී ගැනීමේ සාරාංශය
Suppliers,සැපයුම්කරුවන්
Suppliers not found,සැපයුම්කරුවන් හමු නොවීය
Switch Camera,කැමරාව මාරු කරන්න
Switch Cashier,මුදල් අයකැමි මාරු කරන්න
Switch the POS appearance theme,POS පෙනුම තේමාව මාරු කරන්න
Switched to:,වෙත මාරු විය:
Sync All Invoices,සියලුම ඉන්වොයිසි සමමුහුර්ත කරන්න
Sync Offline Cash Movements ({0}),නොබැඳි මුදල් චලනයන් සමමුහුර්ත කරන්න ({0})
Sync Offline Sales,නොබැඳි විකුණුම් සමමුහුර්ත කරන්න
Synced {0} offline cash movement(s).,{0} නොබැඳි මුදල් චලනය(ය) සමමුහුර්ත කරන ලදී.
Syncing items in background,පසුබිමේ අයිතම සමමුහුර්ත කිරීම
System / Diagnostics,පද්ධතිය / රෝග විනිශ්චය
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","පද්ධති ක්‍රියා යනු යෙදුම් තොරතුරු, සහාය රෝග විනිශ්චය සහ සැසි පාලන වැනි අඩු සංඛ්‍යාත නඩත්තු පාලන වේ."
System Information,පද්ධති තොරතුරු
System Status,පද්ධති තත්ත්වය
Tables:,වගු:
