POS Awesome,POS Harika
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,Her kasiyer PIN'ini Kullanıcı formunda ayarlayın ve terminal üyelerini POS Profil Kullanıcısında atanmış halde tutun.
Settings,Ayarlar
Settings in this section update the POS workspace without changing the current route.,Bu bölümdeki ayarlar mevcut rotayı değiştirmeden POS çalışma alanını günceller.
Setup complete!,Kurulum tamamlandı!
Share,Paylaş
Shared terminal,Paylaşılan terminal
Shift Closed Snapshot,Shift Kapalı Anlık Görüntü
Shift Overview,Vardiyaya Genel Bakış
Show,Göster
Show cart on customer-facing screen,Sepeti müşteriye yönelik ekranda göster
Show last invoice rate,Son fatura ücretini göster
Show rate info,Ücret bilgilerini göster
Show Repair Candidates,Onarım Adaylarını Göster
Show search tools,Arama araçlarını göster
Show the active cart on a customer-facing screen,Aktif sepeti müşteriye yönelik bir ekranda gösterin
Showing {0}-{1} of {2},{0}-{1} / {2} gösteriliyor
Showing 0 of 0,0 / 0 gösteriliyor
Shows the distribution of invoices per currency,Faturaların para birimine göre dağılımını gösterir
Sign out of the current POS session,Mevcut POS oturumundan çıkış yapın
Size:,Boyut:
Skipped Payments,Atlanan Ödemeler
Skipping items without barcodes,Barkodsuz öğeleri atlama
Slow Moving,Yavaş Hareket Eden
Slow Moving Items,Yavaş Hareket Eden Öğeler
Slow Queries:,Yavaş Sorgular:
Sold,Satıldı
Source,Kaynak
Source Cash Account (Optional Override),Kaynak Nakit Hesabı (İsteğe Bağlı Geçersiz Kılma)
Source Ex. Rate:,Kaynak Örn. Oran:
Source Rate:,Kaynak Hızı:
Specific Profile,Özel Profil
Split Invoices,Faturaları Böl
Staff / Cashier Performance Report,Personel / Kasiyer Performans Raporu
Status,Durum
Stock,Stok
Stock Information,Stok Bilgileri
Stock is lower than requested,Stok istenilenden düşük
Stock is lower than requested:\n{0},Stok istenenden düşük:\n{0}
Stock Movement Report,Stok Hareket Raporu
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Stok güncellemesi: {0}'da {1} mevcut. {2} eklemek stoku sıfırın altına getirecektir.
Submit,Göndermek
Submit & Print,Gönder ve Yazdır
Submit Deposit,Depozito Gönder
Submit Expense,Gider Gönder
Submitted,Gönderildi
Submitted Cash Movements,Gönderilen Nakit Hareketleri
Submitted entries,Gönderilen girişler
Successfully scanned:,Başarıyla tarandı:
Suggested,Önerilen
Suggested Qty,Önerilen Adet
Supervisor Access,Yönetici Erişimi
Supervisor permissions unlock issuance and reloads,"Denetçi izinleri, düzenleme ve yeniden yüklemelerin kilidini açar"
Supervisor Tools,Denetleyici Araçları
Supplier,Tedarikçi
Supplier and dates are required.,Tedarikçi ve tarihler gereklidir.
Supplier Invoices,Tedarikçi Faturaları
Supplier is required.,Tedarikçi gereklidir.
Supplier name is required,Tedarikçi adı gerekli
Supplier Payments,Tedarikçi Ödemeleri
Supplier Purchase Summary,Tedarikçi Satın Alma Özeti
Suppliers,Tedarikçiler
Suppliers not found,Tedarikçi bulunamadı
Switch Camera,Kamerayı Değiştir
Switch Cashier,Kasiyeri Değiştir
Switch the POS appearance theme,POS görünüm temasını değiştirme
Switched to:,Şuraya geçildi:
Sync All Invoices,Tüm Faturaları Senkronize Et
Sync Offline Cash Movements ({0}),Çevrimdışı Nakit Hareketlerini Senkronize Et ({0})
Sync Offline Sales,Çevrimdışı Satışları Senkronize Et
Synced {0} offline cash movement(s).,{0} çevrimdışı nakit hareketi senkronize edildi.
Syncing items in background,Öğeler arka planda senkronize ediliyor
System / Diagnostics,Sistem / Teşhis
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Sistem eylemleri; uygulama bilgileri, destek tanılamaları ve oturum kontrolleri gibi düşük frekanslı bakım kontrolleridir."
System Information,Sistem Bilgileri
System Status,Sistem Durumu
Tables:,Tablolar:
Tap the button below to redeem a gift card during checkout.,Ödeme sırasında hediye kartını kullanmak için aşağıdaki düğmeye dokunun.
Target,Hedef
Target Ex. Rate:,Hedef Örn. Oran:
Target Rate:,Hedef Oran:
Tax,Vergi
Tax / Charges Report,Vergi/Harç Raporu
Tax Heads,Vergi Başkanları
Taxable Amount,Vergiye Tabi Tutar
Tendered,İhale edildi
Terminal,terminali
Terminal & Devices,Terminal ve Cihazlar
Terminal locked,Terminal kilitli
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Terminal araçları bu ödeme istasyonunu, müşteriye yönelik ekranları ve gelecekteki yazıcı/cihaz kontrollerini etkiler."
Territory not found,Bölge bulunamadı
The amount paid is not complete,Ödenen tutar tam değil
The app stores data locally for offline use. This is called cache.,"Uygulama, çevrimdışı kullanım için verileri yerel olarak depolar. Buna önbellek denir."
The invoice stayed in draft. Please review and submit it manually.,Fatura taslakta kaldı. Lütfen manuel olarak inceleyin ve gönderin.
The maximum discount allowed is,İzin verilen maksimum indirim:
The quantity for {0} has been adjusted to the maximum available stock.,"{0} miktarı, mevcut maksimum stoka göre ayarlandı."
The system could not retrieve the item details. Please try again.,Sistem öğe ayrıntılarını alamadı. Lütfen tekrar deneyin.
These invoices will be synced when connection is restored,Bağlantı yeniden kurulduğunda bu faturalar senkronize edilecek
This action now opens inside the settings workspace.,Bu eylem artık ayarlar çalışma alanında açılıyor.
This coupon already used !,Bu kupon zaten kullanıldı!
This invoice does not need change-allocation repair,Bu faturanın değişiklik tahsisi onarımına ihtiyacı yok
This invoice is already repaired,Bu fatura zaten onarılmış
This is an item template. Please choose a variant.,Bu bir öğe şablonudur. Lütfen bir varyant seçin.
this item,bu öğe
This POS page could not be opened offline because its code was not cached on this terminal yet.,"Bu POS sayfası, kodu henüz bu terminalde önbelleğe alınmadığından çevrimdışı olarak açılamadı."
This Serial Number {0} has already been added!,Bu Seri Numarası {0} zaten eklenmiş!
Threshold,Eşik
Time,Zaman
Tip: Clear cache regularly to free up space and keep the app fast.,İpucu: Yer açmak ve uygulamanın hızlı kalmasını sağlamak için önbelleği düzenli olarak temizleyin.
Tip: Close unused tabs or apps to reduce lag.,İpucu: Gecikmeyi azaltmak için kullanılmayan sekmeleri veya uygulamaları kapatın.
Tip: Monitor slow queries and table size for optimal performance.,İpucu: Optimum performans için yavaş sorguları ve tablo boyutunu izleyin.
To Be Paid,Ödenecek
To Date,Bugüne Kadar
Today,Bugün
Today Profit,Bugünkü Kâr
Today Sales,Bugünkü Satışlar
Toggle navigation drawer,Gezinme çekmecesini değiştir
Toggle Theme,Temayı Değiştir
Tools,Araçlar
Tools for customer-facing screens and terminal-specific actions.,Müşteriye yönelik ekranlar ve terminale özel eylemler için araçlar.
Top Brand,En İyi Marka
Top Category,Üst Kategori
Top Charge Head,Üst Şarj Başlığı
Top Customers,En İyi Müşteriler
Top Discount,En İyi İndirim
Top Items by Location,Konuma Göre En Popüler Öğeler
Top Margin,Üst Marj
Top Pending,En Çok Bekleyenler
Top Profit Item,En Çok Kazandıran Öğe
Top Return Items,En Çok İade Edilen Ürünler
Top Sales by Cashier,Kasiyer Bazında En Çok Satış
Top Supplier,En İyi Tedarikçi
Top Suppliers by Spend,Harcamaya Göre En İyi Tedarikçiler
Top Tables,En İyi Tablolar
Top Tax Head,En İyi Vergi Müdürü
Top Up Amount,Yükleme Tutarı
Top Up Card,Yükleme Kartı
Top Up Mode,Yükleme Modu
Top Variant,En İyi Varyant
Total,Toplam
Total Amount,Toplam Tutar
Total Change,Toplam Değişim
Total Charges,Toplam Ücretler
Total In,Toplam Giriş
Total Invoices,Toplam Faturalar
Total Items,Toplam Öğeler
Total Mpesa,Toplam Mpesa
Total Out,Toplam Çıkış
Total Payments,Toplam Ödemeler
Total Purchase,Toplam Satın Alma
Total Selected :,Toplam Seçilen :
Total Size,Toplam Boyut
Total Stock Qty,Toplam Stok Adeti
Total:,Toplam:
Totals by Invoice Currency,Fatura Para Birimine Göre Toplamlar
Track how much cash was handed back to customers,Müşterilere ne kadar nakit iade edildiğini takip edin
"Track recent sales, collect unpaid balances, and reopen saved work","Son satışları takip edin, ödenmemiş bakiyeleri toplayın ve kaydedilen çalışmaları yeniden açın"
Transaction ID,İşlem Kimliği
Transfer,Aktarım
Try a different search term or clear the cart search.,Farklı bir arama terimi deneyin veya sepet aramasını temizleyin.
Try adjusting your search or filters,Aramanızı veya filtrelerinizi ayarlamayı deneyin
Try another source or refresh the list.,Başka bir kaynağı deneyin veya listeyi yenileyin.
Try changing the date range or status filter.,Tarih aralığını veya durum filtresini değiştirmeyi deneyin.
Type,Tür
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,Temel ayarlarla bile kameraya erişilemiyor. Lütfen kamera izinlerinizi ve cihaz uyumluluğunuzu kontrol edin.
Unable to add offer item {0}. Please refresh and try again.,{0} teklif öğesi eklenemiyor. Lütfen yenileyin ve tekrar deneyin.
Unable to add offer item. Please refresh and try again.,Teklif öğesi eklenemiyor. Lütfen yenileyin ve tekrar deneyin.
Unable to add scanned item.,Taranan öğe eklenemiyor.
Unable to create purchase order,Satınalma siparişi oluşturulamıyor
Unable to delete draft invoice,Taslak fatura silinemiyor
Unable to fetch documents,Belgeler getirilemiyor
Unable to fetch draft orders,Taslak siparişler getirilemiyor
Unable to fetch invoice history,Fatura geçmişi getirilemiyor
Unable to fetch M-Pesa payments,M-Pesa ödemeleri alınamıyor
Unable to fetch sales orders,Satış siparişleri alınamıyor
Unable to fetch unpaid invoices,Ödenmemiş faturalar alınamıyor
Unable to generate scale barcode,Terazi barkodu oluşturulamıyor
Unable to issue gift card.,Hediye kartı düzenlenemiyor.
Unable to load cashier PIN status.,Kasiyer PIN durumu yüklenemiyor.
Unable to load document,Belge yüklenemiyor
Unable to load draft invoice,Taslak fatura yüklenemiyor
Unable to load gift card balance.,Hediye kartı bakiyesi yüklenemiyor.
Unable to load invoice details,Fatura ayrıntıları yüklenemiyor
Unable to load parked order,Bekletilmiş sipariş yüklenemiyor
Unable to load the selected sales order,Seçilen satış siparişi yüklenemiyor
Unable to prepare document,Belge hazırlanamadı
Unable to prepare return invoice,İade faturası düzenlenemiyor
Unable to print draft invoice,Taslak fatura yazdırılamıyor
Unable to print submitted invoice,Gönderilen fatura yazdırılamıyor
Unable to process document action,Belge eylemi işlenemiyor
Unable to repair change allocation,Değişiklik tahsisi onarılamadı
Unable to save cashier PIN.,Kasiyer PIN'i kaydedilemiyor.
Unable to save the rate to the backend price list,"Fiyat, arka uç fiyat listesine kaydedilemiyor"
Unable to submit invoice,Fatura gönderilemiyor
Unable to submit the selected payment,Seçilen ödeme gönderilemiyor
Unable to top up gift card.,Hediye kartına yükleme yapılamıyor.
Unable to verify cashier PIN.,Kasiyer PIN'i doğrulanamıyor.
Unallocated,Ayrılmamış
Unallocated:,Ayrılmamış:
Unavailable,Kullanılamıyor
Unknown,Bilinmiyor
Unknown Item,Bilinmeyen Öğe
Unknown Warehouse,Bilinmeyen Depo
Unlock POS,POS'un kilidini aç
Unpaid,ödenmemiş
"Unselected payments stay unallocated first, then auto reconcile after submit.","Seçilmeyen ödemeler önce ayrılmadan kalır, ardından gönderildikten sonra otomatik olarak mutabakata varılır."
UOM,UOM
UOM not found,UOM bulunamadı
Update available,Güncelleme mevcut
Update Customer,Müşteriyi Güncelle
Update PIN,PIN'i güncelle
Update Price List Rate,Fiyat Listesi Fiyatını Güncelle
Updated,Güncellendi
Updates and app info that stay out of the cashier flow.,Kasiyer akışının dışında kalan güncellemeler ve uygulama bilgileri.
Updates automatically,Otomatik olarak güncellenir
Usage,Kullanım
Usage Stats,Kullanım İstatistikleri
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Kasiyer geçişi ve terminal kilidini açmak için 4 ila 8 haneli bir PIN kullanın.
Use Cashier,Kasiyer Kullan
Use date range to search for older invoices,Daha eski faturaları aramak için tarih aralığını kullanın
"Use one field for manual code entry, barcode scans, or QR scans.","Manuel kod girişi, barkod taramaları veya QR taramaları için bir alan kullanın."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","POS'tan ayrılmadan bakiye kontrolleri, yeni düzenleme ve yüklemeler için tek bir iş akışı kullanın."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Önbelleğe alınan önkoşul verilerinin yenilenmesi, yeniden oluşturulması veya tanılama incelemesi gerektiğinde bu bölümü kullanın."
Use Western numerals,Batı rakamlarını kullanın
Used:,Kullanılan:
Using basic camera settings due to device limitations,Cihaz sınırlamaları nedeniyle temel kamera ayarlarının kullanılması
Using cached customer balance,Önbelleğe alınmış müşteri bakiyesini kullanma
Valid until,Şu tarihe kadar geçerlidir:
Variance %,Fark %'si
Variants,Varyantlar
Variant-wise,Varyant bazında
Verify closing amounts for each payment method,Her ödeme yöntemi için kapanış tutarlarını doğrulayın
View all,Tümünü görüntüle
View app information and current build details,Uygulama bilgilerini ve mevcut derleme ayrıntılarını görüntüleyin
View Data Diagnostics,Veri Teşhislerini Görüntüle
View Details,Ayrıntıları Görüntüle
View invoice details,Fatura ayrıntılarını görüntüle
View notifications,Bildirimleri görüntüle
View offline invoices,Çevrimdışı faturaları görüntüle
View restricted POS insights,Kısıtlanmış POS öngörülerini görüntüleyin
Void Amount,İptal Tutarı
Void Count,Geçersiz Sayım
Voids,Boşluklar
Waiting for cart items,Sepetteki ürünler bekleniyor
Waiting for payment...,Ödeme bekleniyor...
Walk-in Customer,Gelen Müşteri
Warehouse,Depo
Warning: High cache usage may affect performance.,Uyarı: Yüksek önbellek kullanımı performansı etkileyebilir.
Warning: High lag may indicate heavy processing or browser slowness.,"Uyarı: Yüksek gecikme, yoğun işlem veya tarayıcı yavaşlığının göstergesi olabilir."
Week ?,Hafta ?
Week-wise,Hafta bazında
Weight (g),Ağırlık (g)
Weight (grams),Ağırlık (gram)
We'll let you know if an invoice fails to submit,Fatura gönderilemezse size haber vereceğiz
Workflow,İş akışı
Write off amount cannot exceed the POS profile maximum of {0},"Silinme tutarı, POS profili maksimumu olan {0}'ı aşamaz"
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,Silinme tutarı izin verilen sınırı ({0}) aşıyor. Lütfen kalan tutar için ödeme ekleyin.
Yes,Evet
"Yes, Cancel sale","Evet, Satışı iptal et"
"Yes, Close",Evet Kapat
You are not allowed to print draft invoices,Taslak faturaları yazdırmanıza izin verilmiyor
You are offline. Add Payment will work again when the connection is restored.,Çevrimdışısınız. Bağlantı yeniden kurulduğunda Ödeme Ekle tekrar çalışacaktır.
You have no notifications right now,Şu anda hiçbir bildiriminiz yok
Your Cart,Sepetiniz
