POS Awesome,POS ഗംഭീരം
Low Stock Alerts,കുറഞ്ഞ സ്റ്റോക്ക് അലേർട്ടുകൾ
Low Stock Items,കുറഞ്ഞ സ്റ്റോക്ക് ഇനങ്ങൾ
Low Stock Threshold,കുറഞ്ഞ സ്റ്റോക്ക് ത്രെഷോൾഡ്
Low Stock Total,കുറഞ്ഞ സ്റ്റോക്ക് ആകെ
Lowest Margin,ഏറ്റവും കുറഞ്ഞ മാർജിൻ
Low-frequency maintenance and system details.,ലോ-ഫ്രീക്വൻസി അറ്റകുറ്റപ്പണികളും സിസ്റ്റം വിശദാംശങ്ങളും.
Loyalty Redeemed,ലോയൽറ്റി റിഡീം ചെയ്തു
Loyalty Redemption,ലോയൽറ്റി റിഡംപ്ഷൻ
Make New Payment,പുതിയ പേയ്‌മെൻ്റ് നടത്തുക
Manage all,എല്ലാം കൈകാര്യം ചെയ്യുക
Manage and synchronize your offline transactions,നിങ്ങളുടെ ഓഫ്‌ലൈൻ ഇടപാടുകൾ നിയന്ത്രിക്കുകയും സമന്വയിപ്പിക്കുകയും ചെയ്യുക
Manage Cashier PIN,കാഷ്യർ പിൻ കൈകാര്യം ചെയ്യുക
"Manage offline tools, terminal controls, and maintenance from one workspace.","ഒരു വർക്ക്‌സ്‌പെയ്‌സിൽ നിന്ന് ഓഫ്‌ലൈൻ ടൂളുകൾ, ടെർമിനൽ നിയന്ത്രണങ്ങൾ, മെയിൻ്റനൻസ് എന്നിവ കൈകാര്യം ചെയ്യുക."
manual,മാനുവൽ
"Manual codes, barcode scans, and QR scans work in the same field","മാനുവൽ കോഡുകൾ, ബാർകോഡ് സ്കാൻ, QR സ്കാൻ എന്നിവ ഒരേ ഫീൽഡിൽ പ്രവർത്തിക്കുന്നു"
Manual offline mode is enabled,മാനുവൽ ഓഫ്‌ലൈൻ മോഡ് പ്രവർത്തനക്ഷമമാക്കി
Margin,മാർജിൻ
Maximum available quantity is {0}. Quantity adjusted to match stock.,ലഭ്യമായ പരമാവധി അളവ് {0} ആണ്. മാച്ച് സ്റ്റോക്കിലേക്ക് അളവ് ക്രമീകരിച്ചു.
Maximum discount amount for this offer item is {0}.,ഈ ഓഫർ ഇനത്തിനുള്ള പരമാവധി കിഴിവ് തുക {0} ആണ്.
Maximum discount percentage for this offer item is {0}%.,ഈ ഓഫർ ഇനത്തിൻ്റെ പരമാവധി കിഴിവ് ശതമാനം {0}% ആണ്.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,പരമാവധി ഓഫർ അളവ് {0} ആണ്. അനുവദനീയമായ പരിധിയിലേക്ക് അളവ് ക്രമീകരിച്ചു.
Medium,ഇടത്തരം
Method-wise Collections,രീതി തിരിച്ചുള്ള ശേഖരങ്ങൾ
Minimum allowed rate for this offer item is {0}.,ഈ ഓഫർ ഇനത്തിന് അനുവദനീയമായ ഏറ്റവും കുറഞ്ഞ നിരക്ക് {0} ആണ്.
Minimum Qty,കുറഞ്ഞ അളവ്
Mobile No,മൊബൈൽ നമ്പർ
Mode,മോഡ്
Mode of Payment,പേയ്‌മെൻ്റ് രീതി
Month,മാസം
Month ?,മാസം ?
Monthly Profit,പ്രതിമാസ ലാഭം
Monthly Sales,പ്രതിമാസ വിൽപ്പന
Monthly Sales Summary,പ്രതിമാസ വിൽപ്പന സംഗ്രഹം
Month-wise,മാസാടിസ്ഥാനത്തിൽ
Most Active Cashiers,ഏറ്റവും സജീവമായ കാഷ്യർമാർ
Movement Type,ചലന തരം
Movements,ചലനങ്ങൾ
Multi Currency,മൾട്ടി കറൻസി
N/A,N/A
Name,പേര്
Negative Stock,നെഗറ്റീവ് സ്റ്റോക്ക്
Negative Stock Items,നെഗറ്റീവ് സ്റ്റോക്ക് ഇനങ്ങൾ
Negative values not allowed,നെഗറ്റീവ് മൂല്യങ്ങൾ അനുവദനീയമല്ല
Net,നെറ്റ്
Net Qty,നെറ്റ് ക്യൂട്ടി
Net Sales,അറ്റ വിൽപ്പന
Net Value,മൊത്തം മൂല്യം
Never,ഒരിക്കലും
New changes are ready to load,പുതിയ മാറ്റങ്ങൾ ലോഡ് ചെയ്യാൻ തയ്യാറാണ്
New Item,പുതിയ ഇനം
New Offer Available,പുതിയ ഓഫർ ലഭ്യമാണ്
New PIN,പുതിയ പിൻ
New rate,പുതിയ നിരക്ക്
Next unit of measure,അളവിൻ്റെ അടുത്ത യൂണിറ്റ്
No attribute data found.,ആട്രിബ്യൂട്ട് ഡാറ്റയൊന്നും കണ്ടെത്തിയില്ല.
No Barcode,ബാർകോഡ് ഇല്ല
No barcode found for UOM '{0}',UOM '{0}' എന്നതിനായി ബാർകോഡൊന്നും കണ്ടെത്തിയില്ല
No branch/location data found.,ബ്രാഞ്ച്/ലൊക്കേഷൻ ഡാറ്റയൊന്നും കണ്ടെത്തിയില്ല.
No brand data found.,ബ്രാൻഡ് ഡാറ്റയൊന്നും കണ്ടെത്തിയില്ല.
No cached gift card balance is available offline.,കാഷെ ചെയ്‌ത സമ്മാന കാർഡ് ബാലൻസ് ഓഫ്‌ലൈനിൽ ലഭ്യമല്ല.
No camera found on this device. Please ensure your device has a working camera.,ഈ ഉപകരണത്തിൽ ക്യാമറയൊന്നും കണ്ടെത്തിയില്ല. നിങ്ങളുടെ ഉപകരണത്തിൽ പ്രവർത്തിക്കുന്ന ക്യാമറ ഉണ്ടെന്ന് ഉറപ്പാക്കുക.
No capability warnings recorded yet.,ശേഷി മുന്നറിയിപ്പുകളൊന്നും ഇതുവരെ രേഖപ്പെടുത്തിയിട്ടില്ല.
No cash expected for this shift.,ഈ ഷിഫ്റ്റിന് പണമൊന്നും പ്രതീക്ഷിക്കുന്നില്ല.
No cash mode configured,ക്യാഷ് മോഡ് കോൺഫിഗർ ചെയ്തിട്ടില്ല
No cash movement type is allowed for this POS Profile.,ഈ POS പ്രൊഫൈലിനായി പണമിടപാട് തരങ്ങളൊന്നും അനുവദനീയമല്ല.
No cashier PIN is set yet. Create one now.,കാഷ്യർ പിൻ ഇതുവരെ സജ്ജീകരിച്ചിട്ടില്ല. ഇപ്പോൾ ഒരെണ്ണം സൃഷ്‌ടിക്കുക.
No cashier profiles are available for this POS profile yet.,ഈ POS പ്രൊഫൈലിനായി ഇതുവരെ കാഷ്യർ പ്രൊഫൈലുകളൊന്നും ലഭ്യമല്ല.
No cashier-wise discount/void/return activity.,കാഷ്യർ തിരിച്ചുള്ള കിഴിവ്/അസാധുത/റിട്ടേൺ ആക്റ്റിവിറ്റി ഇല്ല.
No category data found.,വിഭാഗ ഡാറ്റയൊന്നും കണ്ടെത്തിയില്ല.
No category profitability data found.,വിഭാഗത്തിലെ ലാഭക്ഷമത ഡാറ്റയൊന്നും കണ്ടെത്തിയില്ല.
No change returned recorded for this shift.,ഈ ഷിഫ്റ്റിൽ ഒരു മാറ്റവും രേഖപ്പെടുത്തിയിട്ടില്ല.
No change-allocation invoices match the current filters.,നിലവിലെ ഫിൽട്ടറുകളുമായി പൊരുത്തപ്പെടുന്ന മാറ്റ-അലോക്കേഷൻ ഇൻവോയ്സുകളൊന്നുമില്ല.
No charge head breakdown found.,ചാർജ് ഹെഡ് ബ്രേക്ക്‌ഡൗൺ കണ്ടെത്തിയില്ല.
No Company Selected,കമ്പനിയൊന്നും തിരഞ്ഞെടുത്തിട്ടില്ല
No customer sales data found.,ഉപഭോക്തൃ വിൽപ്പന വിവരങ്ങളൊന്നും കണ്ടെത്തിയില്ല.
No day-wise discount/void/return trend.,ദിവസം തിരിച്ചുള്ള കിഴിവ്/അസാധുത/റിട്ടേൺ ട്രെൻഡ് ഇല്ല.
No day-wise payment data found.,ദിവസം തിരിച്ചുള്ള പേയ്‌മെൻ്റ് ഡാറ്റയൊന്നും കണ്ടെത്തിയില്ല.
No day-wise profitability trend found.,ദിവസം തിരിച്ചുള്ള ലാഭ പ്രവണതയൊന്നും കണ്ടെത്തിയില്ല.
No day-wise purchase data found.,ദിവസം തിരിച്ചുള്ള വാങ്ങൽ വിവരങ്ങളൊന്നും കണ്ടെത്തിയില്ല.
No day-wise sales trend found.,ദിവസം തിരിച്ചുള്ള വിൽപ്പന ട്രെൻഡൊന്നും കണ്ടെത്തിയില്ല.
No day-wise tax/charges trend found.,ദിവസം തിരിച്ചുള്ള നികുതി/നിരക്കുകളുടെ ട്രെൻഡ് കണ്ടെത്തിയില്ല.
No dead stock items.,ഡെഡ് സ്റ്റോക്ക് ഇനങ്ങൾ ഇല്ല.
No due date,അവസാന തീയതി ഇല്ല
No exact repair match found for this invoice,ഈ ഇൻവോയ്‌സിന് കൃത്യമായ റിപ്പയർ പൊരുത്തം കണ്ടെത്തിയില്ല
No hourly sales trend found for today.,ഇന്നത്തെ മണിക്കൂർ വിൽപന ട്രെൻഡുകളൊന്നും കണ്ടെത്തിയില്ല.
No invoice activity found.,ഇൻവോയ്സ് പ്രവർത്തനമൊന്നും കണ്ടെത്തിയില്ല.
No invoices found,ഇൻവോയ്സുകളൊന്നും കണ്ടെത്തിയില്ല
No invoices found. Try different search criteria.,ഇൻവോയ്സുകളൊന്നും കണ്ടെത്തിയില്ല. വ്യത്യസ്ത തിരയൽ മാനദണ്ഡങ്ങൾ പരീക്ഷിക്കുക.
No invoices recorded for this shift.,ഈ ഷിഫ്റ്റിനായി ഇൻവോയ്സുകളൊന്നും രേഖപ്പെടുത്തിയിട്ടില്ല.
No item profitability data found.,ഇനത്തിൻ്റെ ലാഭക്ഷമത ഡാറ്റയൊന്നും കണ്ടെത്തിയില്ല.
No item sales data found for this period.,ഈ കാലയളവിൽ ഇനങ്ങളുടെ വിൽപ്പന ഡാറ്റയൊന്നും കണ്ടെത്തിയില്ല.
No items found,ഇനങ്ങളൊന്നും കണ്ടെത്തിയില്ല
No items in cart,വണ്ടിയിൽ സാധനങ്ങളൊന്നുമില്ല
No items with barcodes to print,പ്രിൻ്റ് ചെയ്യാൻ ബാർകോഡുകളുള്ള ഇനങ്ങളൊന്നുമില്ല
No location-wise top item data found.,ലൊക്കേഷൻ തിരിച്ചുള്ള മുൻനിര ഇന ഡാറ്റയൊന്നും കണ്ടെത്തിയില്ല.
No low stock alerts right now.,ഇപ്പോൾ കുറഞ്ഞ സ്റ്റോക്ക് അലേർട്ടുകളൊന്നുമില്ല.
No low stock items.,കുറഞ്ഞ സ്റ്റോക്ക് ഇനങ്ങൾ ഇല്ല.
No matching items in cart,കാർട്ടിൽ പൊരുത്തപ്പെടുന്ന ഇനങ്ങളൊന്നുമില്ല
No month-wise sales trend found.,മാസാടിസ്ഥാനത്തിലുള്ള വിൽപ്പന പ്രവണതകളൊന്നും കണ്ടെത്തിയില്ല.
No negative stock items.,നെഗറ്റീവ് സ്റ്റോക്ക് ഇനങ്ങൾ ഇല്ല.
No notifications yet,ഇതുവരെ അറിയിപ്പുകളൊന്നുമില്ല
No offline cash movement synced.,ഓഫ്‌ലൈൻ പണ നീക്കങ്ങളൊന്നും സമന്വയിപ്പിച്ചിട്ടില്ല.
No offline invoices pending synchronization,സമന്വയം തീർപ്പാക്കാത്ത ഓഫ്‌ലൈൻ ഇൻവോയ്സുകളൊന്നുമില്ല
No offline sync issues recorded yet.,ഓഫ്‌ലൈൻ സമന്വയ പ്രശ്‌നങ്ങളൊന്നും ഇതുവരെ രേഖപ്പെടുത്തിയിട്ടില്ല.
No out-of-stock items.,സ്റ്റോക്ക് ഇല്ലാത്ത ഇനങ്ങളില്ല.
No outstanding credit invoices for this shift.,ഈ ഷിഫ്റ്റിനായി കുടിശ്ശികയുള്ള ക്രെഡിറ്റ് ഇൻവോയ്സുകളൊന്നുമില്ല.
No payment collection data found.,പേയ്‌മെൻ്റ് ശേഖരണ ഡാറ്റയൊന്നും കണ്ടെത്തിയില്ല.
No payment rows available on this invoice.,ഈ ഇൻവോയ്‌സിൽ പേയ്‌മെൻ്റ് വരികളൊന്നും ലഭ്യമല്ല.
No payments registered for this shift.,ഈ ഷിഫ്റ്റിനായി പേയ്‌മെൻ്റുകളൊന്നും രജിസ്റ്റർ ചെയ്തിട്ടില്ല.
No pending balances in this period.,ഈ കാലയളവിൽ ശേഷിക്കുന്ന ബാലൻസുകളൊന്നുമില്ല.
No pending offline invoices,തീർപ്പാക്കാത്ത ഓഫ്‌ലൈൻ ഇൻവോയ്‌സുകളൊന്നുമില്ല
No Print Formats Found,പ്രിൻ്റ് ഫോർമാറ്റുകളൊന്നും കണ്ടെത്തിയില്ല
No profiles found for selected scope. Falling back to current profile failed.,തിരഞ്ഞെടുത്ത സ്കോപ്പിനായി പ്രൊഫൈലുകളൊന്നും കണ്ടെത്തിയില്ല. നിലവിലെ പ്രൊഫൈലിലേക്ക് മടങ്ങുന്നത് പരാജയപ്പെട്ടു.
No recent customer activity found.,സമീപകാല ഉപഭോക്തൃ പ്രവർത്തനങ്ങളൊന്നും കണ്ടെത്തിയില്ല.
No recent stock entries found.,സമീപകാല സ്റ്റോക്ക് എൻട്രികളൊന്നും കണ്ടെത്തിയില്ല.
No records found,രേഖകളൊന്നും കണ്ടെത്തിയില്ല
No reorder suggestions right now.,ഇപ്പോൾ പുനഃക്രമീകരിക്കാനുള്ള നിർദ്ദേശങ്ങളൊന്നുമില്ല.
No repeat customers in this period.,ഈ കാലയളവിൽ ആവർത്തിച്ചുള്ള ഉപഭോക്താക്കളില്ല.
No response from server,സെർവറിൽ നിന്ന് പ്രതികരണമൊന്നുമില്ല
No return invoices found,റിട്ടേൺ ഇൻവോയ്സുകളൊന്നും കണ്ടെത്തിയില്ല
No return item trend found.,റിട്ടേൺ ഇനത്തിൻ്റെ ട്രെൻഡൊന്നും കണ്ടെത്തിയില്ല.
No returnable items found for this invoice,ഈ ഇൻവോയ്‌സിനായി തിരികെ നൽകാവുന്ന ഇനങ്ങളൊന്നും കണ്ടെത്തിയില്ല
No returns were processed in this shift.,ഈ ഷിഫ്റ്റിൽ റിട്ടേണുകളൊന്നും പ്രോസസ്സ് ചെയ്തിട്ടില്ല.
No risk activity found.,അപകടകരമായ പ്രവർത്തനങ്ങളൊന്നും കണ്ടെത്തിയില്ല.
No sales activity found for this period.,ഈ കാലയളവിൽ വിൽപ്പന പ്രവർത്തനങ്ങളൊന്നും കണ്ടെത്തിയില്ല.
No slow moving items.,പതുക്കെ ചലിക്കുന്ന ഇനങ്ങളൊന്നുമില്ല.
No staff sales activity found.,ജീവനക്കാരുടെ വിൽപ്പന പ്രവർത്തനങ്ങളൊന്നും കണ്ടെത്തിയില്ല.
No stock movement for this period.,ഈ കാലയളവിൽ സ്റ്റോക്ക് ചലനമില്ല.
No submitted cash movements in this shift.,ഈ ഷിഫ്റ്റിൽ സമർപ്പിച്ച പണ നീക്കങ്ങളൊന്നുമില്ല.
No supplier purchases found in this month.,ഈ മാസം വിതരണക്കാരൻ്റെ പർച്ചേസുകളൊന്നും കണ്ടെത്തിയില്ല.
No suppliers found for this period.,ഈ കാലയളവിൽ വിതരണക്കാരെ കണ്ടെത്തിയില്ല.
No sync trigger has run yet in this session.,ഈ സെഷനിൽ ഇതുവരെ ഒരു സമന്വയ ട്രിഗറും പ്രവർത്തിച്ചിട്ടില്ല.
No tax head breakdown found.,നികുതി തല തകർച്ച കണ്ടെത്തിയില്ല.
No top items found for this location.,ഈ ലൊക്കേഷനായി മികച്ച ഇനങ്ങളൊന്നും കണ്ടെത്തിയില്ല.
No unpaid invoices,പണമടയ്ക്കാത്ത ഇൻവോയ്സുകളൊന്നുമില്ല
No variant data found.,വേരിയൻ്റ് ഡാറ്റയൊന്നും കണ്ടെത്തിയില്ല.
No week-wise sales trend found.,ആഴ്‌ച തിരിച്ചുള്ള വിൽപ്പന പ്രവണതകളൊന്നും കണ്ടെത്തിയില്ല.
No.,ഇല്ല.
Nobile Number,നോബൽ നമ്പർ
Not available,ലഭ്യമല്ല
Not checked,പരിശോധിച്ചിട്ടില്ല
Not selected,തിരഞ്ഞെടുത്തിട്ടില്ല
Not Set,സജ്ജമാക്കിയിട്ടില്ല
Notifications,അറിയിപ്പുകൾ
Offer,ഓഫർ
Offer Applied,ഓഫർ പ്രയോഗിച്ചു
Offer criteria exceeded,ഓഫർ മാനദണ്ഡം കവിഞ്ഞു
Offer Item,ഓഫർ ഇനം
Offer item unavailable,ഓഫർ ഇനം ലഭ്യമല്ല
Offer Removed,ഓഫർ നീക്കം ചെയ്തു
Offer UOM cannot be changed,ഓഫർ UOM മാറ്റാൻ കഴിയില്ല
Offer?,ഓഫർ?
Offers,ഓഫറുകൾ
Offline,ഓഫ്‌ലൈൻ
Offline & Sync,ഓഫ്‌ലൈനും സമന്വയവും
Offline Capabilities,ഓഫ്‌ലൈൻ കഴിവുകൾ
Offline data status refreshed,ഓഫ്‌ലൈൻ ഡാറ്റ നില പുതുക്കി
Offline diagnostics,ഓഫ്‌ലൈൻ ഡയഗ്നോസ്റ്റിക്സ്
Offline Invoices,ഓഫ്‌ലൈൻ ഇൻവോയ്‌സുകൾ
Offline invoices status,ഓഫ്‌ലൈൻ ഇൻവോയ്‌സ് നില
Offline invoices synced,ഓഫ്‌ലൈൻ ഇൻവോയ്‌സുകൾ സമന്വയിപ്പിച്ചു
Offline Queue: {0},ഓഫ്‌ലൈൻ ക്യൂ: {0}
Offline rebuild guidance,ഓഫ്‌ലൈൻ പുനർനിർമ്മാണ മാർഗ്ഗനിർദ്ദേശം
Offline restore is unavailable for this session.,ഈ സെഷനിൽ ഓഫ്‌ലൈൻ വീണ്ടെടുക്കൽ ലഭ്യമല്ല.
Offline selling is available with degraded capabilities.,തരംതാഴ്ന്ന കഴിവുകളോടെ ഓഫ്‌ലൈൻ വിൽപ്പന ലഭ്യമാണ്.
Offline snapshot does not match the current POS state.,ഓഫ്‌ലൈൻ സ്നാപ്പ്ഷോട്ട് നിലവിലെ POS അവസ്ഥയുമായി പൊരുത്തപ്പെടുന്നില്ല.
Offline Status,ഓഫ്‌ലൈൻ നില
"Offline, terminal, and system controls","ഓഫ്‌ലൈൻ, ടെർമിനൽ, സിസ്റ്റം നിയന്ത്രണങ്ങൾ"
OK,ശരി
Online,ഓൺലൈൻ
Open actions menu,പ്രവർത്തന മെനു തുറക്കുക
Open balance to collect,ശേഖരിക്കാൻ ബാലൻസ് തുറക്കുക
Open Customer Display,കസ്റ്റമർ ഡിസ്പ്ലേ തുറക്കുക
Open drawer,ഡ്രോയർ തുറക്കുക
Open invoices,ഇൻവോയ്സുകൾ തുറക്കുക
Open Payments?,പേയ്‌മെൻ്റുകൾ തുറക്കണോ?
Open POS home,POS ഹോം തുറക്കുക
Open this screen from POS Menu -> Open Customer Display.,POS മെനുവിൽ നിന്ന് ഈ സ്ക്രീൻ തുറക്കുക -> കസ്റ്റമർ ഡിസ്പ്ലേ തുറക്കുക.
OpenCV image processing enabled - Enhanced barcode detection,OpenCV ഇമേജ് പ്രോസസ്സിംഗ് പ്രവർത്തനക്ഷമമാക്കി - മെച്ചപ്പെടുത്തിയ ബാർകോഡ് കണ്ടെത്തൽ
OpenCV image processing unavailable on this device,ഈ ഉപകരണത്തിൽ OpenCV ഇമേജ് പ്രോസസ്സിംഗ് ലഭ്യമല്ല
OpenCV Off,OpenCV ഓഫാണ്
OpenCV On,OpenCV ഓൺ
OpenCV processing disabled,OpenCV പ്രോസസ്സിംഗ് പ്രവർത്തനരഹിതമാക്കി
Opening Amount,തുറക്കുന്ന തുക
Opening Cash,പണം തുറക്കുന്നു
options,ഓപ്ഷനുകൾ
Order,ഓർഡർ ചെയ്യുക
Original,ഒറിജിനൽ
Other,മറ്റുള്ളവ
Out,പുറത്ത്
Out of Stock,സ്റ്റോക്ക് തീർന്നു
Out of Stock Items,സ്റ്റോക്ക് തീർന്ന ഇനങ്ങൾ
Outstanding,മികച്ചത്
Outstanding Credit by Currency,കറൻസി പ്രകാരം മികച്ച ക്രെഡിറ്റ്
Overdue,കാലഹരണപ്പെട്ടു
Overpayment Change,ഓവർ പേയ്മെൻ്റ് മാറ്റം
Overpayment change deducted: {0},ഓവർപേയ്‌മെൻ്റ് മാറ്റം കുറച്ചു: {0}
Packing List,പാക്കിംഗ് ലിസ്റ്റ്
Page Format,പേജ് ഫോർമാറ്റ്
Page unavailable offline,പേജ് ഓഫ്‌ലൈനിൽ ലഭ്യമല്ല
Paid,പണം നൽകി
Paid (orig):,പണമടച്ചത് (ഒറിജിനൽ):
Paid Amount,അടച്ച തുക
Paid change cannot be greater than total change!,പണമടച്ചുള്ള മാറ്റം മൊത്തം മാറ്റത്തേക്കാൾ വലുതായിരിക്കരുത്!
Paid:,പണമടച്ചത്:
Parent Item,മാതൃ ഇനം
Partial,ഭാഗികം
Partly Paid,ഭാഗികമായി പണം നൽകി
Party Account,പാർട്ടി അക്കൗണ്ട്
Party Type,പാർട്ടി തരം
Pause terminal until next cashier,അടുത്ത കാഷ്യർ വരെ ടെർമിനൽ താൽക്കാലികമായി നിർത്തുക
PAY,പണം നൽകുക
Payment,പേയ്മെൻ്റ്
Payment Account,പേയ്മെൻ്റ് അക്കൗണ്ട്
Payment entries processed for Invoice {0},ഇൻവോയ്‌സിനായി പേയ്‌മെൻ്റ് എൻട്രികൾ പ്രോസസ്സ് ചെയ്തു {0}
Payment Entry Type,പേയ്മെൻ്റ് എൻട്രി തരം
Payment History,പേയ്മെൻ്റ് ചരിത്രം
Payment ID,പേയ്‌മെൻ്റ് ഐഡി
Payment Method Report,പേയ്മെൻ്റ് രീതി റിപ്പോർട്ട്
Payment Methods,പേയ്മെൻ്റ് രീതികൾ
Payment of {0} received successfully.,{0} പേയ്‌മെൻ്റ് വിജയകരമായി ലഭിച്ചു.
Payment Progress,പേയ്മെൻ്റ് പുരോഗതി
Payment Reconciliation,പേയ്മെൻ്റ് അനുരഞ്ജനം
Payment request status could not be retrieved. Please try again,പേയ്‌മെൻ്റ് അഭ്യർത്ഥന നില വീണ്ടെടുക്കാൻ കഴിഞ്ഞില്ല. ദയവായി വീണ്ടും ശ്രമിക്കുക
Payment Request took too long to respond. Please try requesting for payment again,പേയ്‌മെൻ്റ് അഭ്യർത്ഥന പ്രതികരിക്കാൻ വളരെയധികം സമയമെടുത്തു. പേയ്‌മെൻ്റിനായി വീണ്ടും അഭ്യർത്ഥിക്കാൻ ശ്രമിക്കുക
Payment saved offline,പേയ്‌മെൻ്റ് ഓഫ്‌ലൈനിൽ സംരക്ഷിച്ചു
Payment State,പേയ്മെൻ്റ് സ്റ്റേറ്റ്
Payment Status,പേയ്മെൻ്റ് നില
Payment submitted but print function could not be executed. Payment name not found.,പേയ്‌മെൻ്റ് സമർപ്പിച്ചെങ്കിലും പ്രിൻ്റ് ഫംഗ്‌ഷൻ എക്‌സിക്യൂട്ട് ചെയ്യാൻ കഴിഞ്ഞില്ല. പേയ്‌മെൻ്റ് പേര് കണ്ടെത്തിയില്ല.
Payment submitted.,പേയ്മെൻ്റ് സമർപ്പിച്ചു.
Payment Summary,പേയ്മെൻ്റ് സംഗ്രഹം
Payments,പേയ്മെൻ്റുകൾ
Payments are not open. Do you want to open payments and submit?,പേയ്‌മെൻ്റുകൾ തുറന്നിട്ടില്ല. പേയ്‌മെൻ്റുകൾ തുറന്ന് സമർപ്പിക്കണോ?
Payments by Mode of Payment,പേയ്‌മെൻ്റ് മോഡ് വഴിയുള്ള പേയ്‌മെൻ്റുകൾ
PDF,PDF
Peak Hour,പീക്ക് അവർ
Peak Memory:,പീക്ക് മെമ്മറി:
Peak Server:,പീക്ക് സെർവർ:
Peak:,കൊടുമുടി:
Pending,തീർപ്പാക്കാത്തത്
Pending Amount,കെട്ടിക്കിടക്കുന്ന തുക
Pending count updated from {0} to {1},ശേഷിക്കുന്ന എണ്ണം {0} മുതൽ {1} വരെ അപ്‌ഡേറ്റ് ചെയ്‌തു
Pending Exposure,ശേഷിക്കുന്ന എക്സ്പോഷർ
Pending Invoices,തീർച്ചപ്പെടുത്താത്ത ഇൻവോയ്‌സുകൾ
Pending Ratio,ശേഷിക്കുന്ന അനുപാതം
Pending Sales,ശേഷിക്കുന്ന വിൽപ്പന
Pending sales: {0} | Cache usage: {1}%,ശേഷിക്കുന്ന വിൽപ്പന: {0} | കാഷെ ഉപയോഗം: {1}%
Pending Sync,ശേഷിക്കുന്ന സമന്വയം
Pending: {0},തീർച്ചപ്പെടുത്താത്തത്: {0}
Pending: {0} | Synced: {1} | Draft: {2},തീർച്ചപ്പെടുത്താത്തത്: {0} | സമന്വയിപ്പിച്ചു: {1} | ഡ്രാഫ്റ്റ്: {2}
Per Page,ഓരോ പേജിനും
Personal,വ്യക്തിപരം
Personal preferences adjust the current cashier experience without changing the active POS route.,സജീവമായ POS റൂട്ട് മാറ്റാതെ തന്നെ വ്യക്തിഗത മുൻഗണനകൾ നിലവിലെ കാഷ്യർ അനുഭവം ക്രമീകരിക്കുന്നു.
PIN confirmation does not match.,പിൻ സ്ഥിരീകരണം പൊരുത്തപ്പെടുന്നില്ല.
PIN must be 4 to 8 digits.,പിൻ 4 മുതൽ 8 വരെ അക്കങ്ങൾ ആയിരിക്കണം.
Please add at least one item.,ദയവായി ഒരു ഇനമെങ്കിലും ചേർക്കുക.
Please allow camera access to scan codes,കോഡുകൾ സ്കാൻ ചെയ്യാൻ ക്യാമറ ആക്സസ് അനുവദിക്കുക
Please enter payment amount,പേയ്‌മെൻ്റ് തുക നൽകുക
Please fill all required fields,ആവശ്യമായ എല്ലാ ഫീൽഡുകളും പൂരിപ്പിക്കുക
Please make a payment or select a payment,ദയവായി ഒരു പേയ്‌മെൻ്റ് നടത്തുക അല്ലെങ്കിൽ ഒരു പേയ്‌മെൻ്റ് തിരഞ്ഞെടുക്കുക
Please request phone payment or use another payment method,ഫോൺ പേയ്‌മെൻ്റ് അഭ്യർത്ഥിക്കുക അല്ലെങ്കിൽ മറ്റൊരു പേയ്‌മെൻ്റ് രീതി ഉപയോഗിക്കുക
Please select a customer first,ആദ്യം ഒരു ഉപഭോക്താവിനെ തിരഞ്ഞെടുക്കുക
Please select a party,ദയവായി ഒരു പാർട്ടി തിരഞ്ഞെടുക്കുക
Please select a party before reconciling.,അനുരഞ്ജനത്തിന് മുമ്പ് ദയവായി ഒരു പാർട്ടി തിരഞ്ഞെടുക്കുക.
Please select a valid movement type.,സാധുവായ ഒരു ചലന തരം തിരഞ്ഞെടുക്കുക.
Please select an invoice,ദയവായി ഒരു ഇൻവോയ്സ് തിരഞ്ഞെടുക്കുക
Please select company before reconciling.,അനുരഞ്ജനത്തിന് മുമ്പ് ദയവായി കമ്പനി തിരഞ്ഞെടുക്കുക.
Please set the customer's mobile number,ഉപഭോക്താവിൻ്റെ മൊബൈൽ നമ്പർ സജ്ജീകരിക്കുക
Please try again or enter the item manually.,ദയവായി വീണ്ടും ശ്രമിക്കുക അല്ലെങ്കിൽ ഇനം നേരിട്ട് നൽകുക.
Please verify the barcode or check the item's availability.,ദയവായി ബാർകോഡ് പരിശോധിക്കുക അല്ലെങ്കിൽ ഇനത്തിൻ്റെ ലഭ്യത പരിശോധിക്കുക.
Points,പോയിൻ്റുകൾ
Popup blocked. Please allow popups.,പോപ്പ്അപ്പ് തടഞ്ഞു. ദയവായി പോപ്പ്അപ്പുകൾ അനുവദിക്കുക.
POS,POS
POS controls and maintenance,POS നിയന്ത്രണങ്ങളും പരിപാലനവും
POS Expense is disabled for this POS Profile.,ഈ POS പ്രൊഫൈലിനായി POS ചെലവ് പ്രവർത്തനരഹിതമാക്കിയിരിക്കുന്നു.
POS is running with limited offline prerequisites.,പരിമിതമായ ഓഫ്‌ലൈൻ മുൻവ്യവസ്ഥകളോടെയാണ് POS പ്രവർത്തിക്കുന്നത്.
POS Profile,POS പ്രൊഫൈൽ
Position the QR code or barcode within the scanning area,സ്കാനിംഗ് ഏരിയയിൽ QR കോഡോ ബാർകോഡോ സ്ഥാപിക്കുക
