POS Awesome,POS E mrekullueshme
Search unpaid invoices or customers,Kërkoni fatura të papaguara ose klientë
Secure context (HTTPS or localhost) is required for camera access.,Konteksti i sigurt (HTTPS ose hosti lokal) kërkohet për qasje në kamerë.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Kërkohet kontekst i sigurt (HTTPS) për qasje në kamerë. Ju lutemi përdorni HTTPS për të hyrë në kamerë.
Select,Zgjidhni
Select a cashier first.,Së pari zgjidhni një arkëtar.
Select a customer,Zgjidhni një klient
Select a customer to use coupon,Zgjidhni një klient për të përdorur kupon
Select a printer to use QZ silent printing.,Zgjidhni një printer për të përdorur printimin e heshtur QZ.
Select Batch,Zgjidhni Batch
Select Columns to Display,Zgjidhni Kolonat për të shfaqur
Select items to sell,Zgjidhni artikujt për të shitur
Select Payment,Zgjidhni Pagesa
Select Payment Account,Zgjidhni llogarinë e pagesës
Select printer,Zgjidhni printerin
Select Return Invoice,Zgjidhni Faturën e Kthimit
Select S.O,Zgjidhni S.O
Select Sales Orders,Zgjidhni porositë e shitjeve
Select the cashier who is taking over this terminal.,Zgjidhni arkëtarin që merr përsipër këtë terminal.
Selected,Zgjedhur
Selected movement type is not allowed by POS Profile.,Lloji i zgjedhur i lëvizjes nuk lejohet nga Profili POS.
Selected Payments,Pagesat e zgjedhura
Sensitive actions kept away from quick taps.,Veprimet e ndjeshme mbahen larg goditjeve të shpejta.
Serial,Seriali
Serial Numbers,Numrat Serial
Server CPU Usage:,Përdorimi i CPU-së së serverit:
Server Health,Shëndeti i serverit
Server Memory Usage:,Përdorimi i memories së serverit:
Server Metrics,Metrika e serverit
Server Uptime:,Koha e funksionimit të serverit:
Service Charges,Tarifat e Shërbimit
Session,Sesioni
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,Vendosni çdo PIN të arkëtarit në formularin e Përdoruesit dhe mbani anëtarët e terminalit të caktuar në Përdoruesin e Profilit POS.
Settings,Cilësimet
Settings in this section update the POS workspace without changing the current route.,Cilësimet në këtë seksion përditësojnë hapësirën e punës POS pa ndryshuar itinerarin aktual.
Setup complete!,Konfigurimi përfundoi!
Share,Shpërndaje
Shared terminal,Terminali i përbashkët
Shift Closed Snapshot,Shift fotografi e mbyllur
Shift Overview,Shift Pasqyrë
Show,Shfaq
Show cart on customer-facing screen,Shfaq karrocën në ekranin e drejtuar nga klienti
Show last invoice rate,Shfaq tarifën e faturës së fundit
Show rate info,Shfaq informacionin e tarifës
Show Repair Candidates,Trego kandidatët për riparim
Show search tools,Shfaq mjetet e kërkimit
Show the active cart on a customer-facing screen,Shfaq karrocën aktive në një ekran përballë klientit
Showing {0}-{1} of {2},Po shfaqen {0}-{1} nga {2}
Showing 0 of 0,Duke shfaqur 0 nga 0
Shows the distribution of invoices per currency,Tregon shpërndarjen e faturave për monedhë
Sign out of the current POS session,Dilni nga sesioni aktual i POS-it
Size:,Madhësia:
Skipped Payments,Pagesat e anashkaluara
Skipping items without barcodes,Kapërcimi i artikujve pa barkode
Slow Moving,Lëvizje e ngadaltë
Slow Moving Items,Artikuj që lëvizin ngadalë
Slow Queries:,Pyetje të ngadalta:
Sold,Shitur
Source,Burimi
Source Cash Account (Optional Override),Llogaria burimore e parave të gatshme (Zëvendësimi opsional)
Source Ex. Rate:,Burimi Shemb. Vlerësimi:
Source Rate:,Norma e burimit:
Specific Profile,Profili specifik
Split Invoices,Faturat e ndara
Staff / Cashier Performance Report,Raporti i Performancës së Stafit/Arkëtarit
Status,Statusi
Stock,Stoku
Stock Information,Informacioni i aksioneve
Stock is lower than requested,Stoku është më i ulët se sa kërkohet
Stock is lower than requested:\n{0},Stoku është më i ulët se sa kërkohet:\n{0}
Stock Movement Report,Raporti i Lëvizjes së Aksioneve
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Përditësimi i aksioneve: {0} ka {1} në dispozicion. Shtimi i {2} do ta sjellë stokun nën zero.
Submit,Paraqisni
Submit & Print,Dërgo & Printo
Submit Deposit,Paraqisni një depozitë
Submit Expense,Paraqisni shpenzimet
Submitted,dorëzuar
Submitted Cash Movements,Lëvizjet e parave të dorëzuara
Submitted entries,Regjistrimet e dorëzuara
Successfully scanned:,Skanuar me sukses:
Suggested,Sugjeruar
Suggested Qty,Sasia e sugjeruar
Supervisor Access,Qasja e Mbikëqyrësit
Supervisor permissions unlock issuance and reloads,Lejet e mbikëqyrësit zhbllokojnë lëshimin dhe ringarkojnë
Supervisor Tools,Mjetet e Mbikëqyrësit
Supplier,Furnizuesi
Supplier and dates are required.,Kërkohet furnizuesi dhe datat.
Supplier Invoices,Faturat e Furnizuesit
Supplier is required.,Kërkohet furnizuesi.
Supplier name is required,Kërkohet emri i furnizuesit
Supplier Payments,Pagesat e furnizuesit
Supplier Purchase Summary,Përmbledhja e blerjeve nga furnizuesi
Suppliers,Furnizuesit
Suppliers not found,Furnizuesit nuk u gjetën
Switch Camera,Ndërroni kamerën
Switch Cashier,Ndërroni arkë
Switch the POS appearance theme,Ndrysho temën e paraqitjes së POS-it
Switched to:,Kaloi në:
Sync All Invoices,Sinkronizoni të gjitha faturat
Sync Offline Cash Movements ({0}),Sinkronizoni lëvizjet e parave jashtë linje ({0})
Sync Offline Sales,Sinkronizoni shitjet jashtë linje
Synced {0} offline cash movement(s).,{0} lëvizje të parave jashtë linje të sinkronizuara.
Syncing items in background,Sinkronizimi i artikujve në sfond
System / Diagnostics,Sistemi / Diagnostifikimi
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Veprimet e sistemit janë kontrolle të mirëmbajtjes me frekuencë të ulët, si p.sh. informacioni i aplikacionit, diagnostikimi mbështetës dhe kontrollet e sesionit."
System Information,Informacioni i Sistemit
System Status,Statusi i Sistemit
Tables:,Tabelat:
Tap the button below to redeem a gift card during checkout.,Trokit butonin më poshtë për të përdorur një kartë dhuratë gjatë blerjes.
Target,Synimi
Target Ex. Rate:,Synimi Ex. Vlerësimi:
Target Rate:,Norma e synuar:
Tax,Taksa
Tax / Charges Report,Raporti i Tatimeve / Taksave
Tax Heads,Kryetarët e taksave
Taxable Amount,Shuma e tatueshme
Tendered,Tenderuar
Terminal,Terminali
Terminal & Devices,Terminali dhe pajisjet
Terminal locked,Terminali i kyçur
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Mjetet e terminalit ndikojnë në këtë stacion arkë, ekranet me pamje nga klientët dhe kontrollet e ardhshme të printerit/pajisjes."
Territory not found,Territori nuk u gjet
The amount paid is not complete,Shuma e paguar nuk është e plotë
The app stores data locally for offline use. This is called cache.,Aplikacioni ruan të dhënat në nivel lokal për përdorim jashtë linje. Kjo quhet cache.
The invoice stayed in draft. Please review and submit it manually.,Fatura qëndroi në draft. Ju lutemi rishikoni dhe dorëzojeni manualisht.
The maximum discount allowed is,Zbritja maksimale e lejuar është
The quantity for {0} has been adjusted to the maximum available stock.,Sasia për {0} është rregulluar në stokun maksimal të disponueshëm.
The system could not retrieve the item details. Please try again.,Sistemi nuk mund të merrte detajet e artikullit. Ju lutemi provoni përsëri.
These invoices will be synced when connection is restored,Këto fatura do të sinkronizohen kur të rikthehet lidhja
This action now opens inside the settings workspace.,Ky veprim tani hapet brenda hapësirës së punës së cilësimeve.
This coupon already used !,Ky kupon është përdorur tashmë!
This invoice does not need change-allocation repair,Kjo faturë nuk ka nevojë për riparim ndryshim-alokimi
This invoice is already repaired,Kjo faturë tashmë është riparuar
This is an item template. Please choose a variant.,Ky është një shabllon artikulli. Ju lutemi zgjidhni një variant.
this item,këtë artikull
This POS page could not be opened offline because its code was not cached on this terminal yet.,Kjo faqe POS nuk mund të hapej jashtë linje sepse kodi i saj nuk ishte ruajtur ende në memorien specifike në këtë terminal.
This Serial Number {0} has already been added!,Ky numër serial {0} është shtuar tashmë!
Threshold,Pragu
Time,Koha
Tip: Clear cache regularly to free up space and keep the app fast.,Këshillë: Pastro rregullisht cache-në për të liruar hapësirë dhe për ta mbajtur aplikacionin të shpejtë.
Tip: Close unused tabs or apps to reduce lag.,Këshillë: Mbyllni skedat ose aplikacionet e papërdorura për të zvogëluar vonesën.
Tip: Monitor slow queries and table size for optimal performance.,Këshillë: Monitoroni pyetjet e ngadalta dhe madhësinë e tabelës për performancë optimale.
To Be Paid,Për t'u paguar
To Date,Deri më sot
Today,Sot
Today Profit,Sot Fitimi
Today Sales,Sot Shitjet
Toggle navigation drawer,Ndrysho sirtarin e navigimit
Toggle Theme,Ndrysho temën
Tools,Mjetet
Tools for customer-facing screens and terminal-specific actions.,Mjete për ekranet e klientëve dhe veprimet specifike të terminalit.
Top Brand,Marka kryesore
Top Category,Kategoria kryesore
Top Charge Head,Kreu i ngarkimit të lartë
Top Customers,Klientët kryesorë
Top Discount,Zbritja kryesore
Top Items by Location,Artikujt kryesorë sipas vendndodhjes
Top Margin,Marzhi i lartë
Top Pending,Krye në pritje
Top Profit Item,Artikulli kryesor i fitimit
Top Return Items,Artikujt kryesorë të kthimit
Top Sales by Cashier,Shitjet kryesore nga Arkëtari
Top Supplier,Furnizuesi kryesor
Top Suppliers by Spend,Furnizuesit kryesorë sipas shpenzimeve
Top Tables,Tabelat kryesore
Top Tax Head,Kreu kryesor i taksave
Top Up Amount,Shuma e Mbushjes
Top Up Card,Kartë Mbushëse
Top Up Mode,Modaliteti i mbushjes
Top Variant,Top Variant
Total,Gjithsej
Total Amount,Shuma totale
Total Change,Ndryshimi total
Total Charges,Ngarkesat totale
Total In,Gjithsej në
Total Invoices,Totali i Faturave
Total Items,Totali i artikujve
Total Mpesa,Totali Mpesa
Total Out,Gjithsej jashtë
Total Payments,Totali i pagesave
Total Purchase,Blerja totale
Total Selected :,Totali i zgjedhur:
Total Size,Madhësia totale
Total Stock Qty,Sasia totale e aksioneve
Total:,Gjithsej:
Totals by Invoice Currency,Totalet sipas monedhës së faturës
Track how much cash was handed back to customers,Gjurmo sa para i janë dorëzuar klientëve
"Track recent sales, collect unpaid balances, and reopen saved work","Ndiqni shitjet e fundit, mblidhni bilancet e papaguara dhe rihapni punën e ruajtur"
Transaction ID,ID e transaksionit
Transfer,Transferimi
Try a different search term or clear the cart search.,Provoni një term tjetër kërkimi ose pastroni kërkimin e karrocës.
Try adjusting your search or filters,Provoni të rregulloni kërkimin ose filtrat tuaj
Try another source or refresh the list.,Provoni një burim tjetër ose rifreskoni listën.
Try changing the date range or status filter.,Provoni të ndryshoni diapazonin e datave ose filtrin e statusit.
Type,Lloji
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,Pamundësia për të hyrë në kamerë edhe me cilësimet bazë. Ju lutemi kontrolloni lejet e kamerës dhe përputhshmërinë e pajisjes.
Unable to add offer item {0}. Please refresh and try again.,Nuk mund të shtohet artikulli i ofertës {0}. Rifresko dhe provo sërish.
Unable to add offer item. Please refresh and try again.,Nuk mund të shtohet artikulli i ofertës. Rifresko dhe provo sërish.
Unable to add scanned item.,Nuk mund të shtohet artikulli i skanuar.
Unable to create purchase order,Nuk mund të krijohet porosia e blerjes
Unable to delete draft invoice,Projektfatura nuk mund të fshihet
Unable to fetch documents,Dokumentet nuk mund të merren
Unable to fetch draft orders,Nuk mund të merret draft-urdhrat
Unable to fetch invoice history,Historiku i faturave nuk mund të merret
Unable to fetch M-Pesa payments,Nuk mund të merren pagesat e M-Pesa
Unable to fetch sales orders,Nuk mund të merren porositë e shitjeve
Unable to fetch unpaid invoices,Faturat e papaguara nuk mund të merren
Unable to generate scale barcode,Nuk mund të gjenerohet barkodi në shkallë
Unable to issue gift card.,Karta dhuratë nuk mund të lëshohet.
Unable to load cashier PIN status.,Statusi PIN i arkëtarit nuk mund të ngarkohet.
Unable to load document,Dokumenti nuk mund të ngarkohet
Unable to load draft invoice,Nuk mund të ngarkohet draft-fatura
Unable to load gift card balance.,Bilanci i kartës së dhuratës nuk mund të ngarkohet.
Unable to load invoice details,Detajet e faturës nuk mund të ngarkohen
Unable to load parked order,Porosia e parkuar nuk mund të ngarkohet
Unable to load the selected sales order,Nuk mund të ngarkohet porosia e zgjedhur e shitjes
Unable to prepare document,Nuk mund të përgatitet dokumenti
Unable to prepare return invoice,Nuk mund të përgatitet fatura e kthimit
Unable to print draft invoice,Nuk mund të printohet draft-fatura
Unable to print submitted invoice,Fatura e dorëzuar nuk mund të printohet
Unable to process document action,Veprimi i dokumentit nuk mund të përpunohet
Unable to repair change allocation,Nuk mund të riparohet alokimi i ndryshimeve
Unable to save cashier PIN.,PIN-i i arkëtarit nuk mund të ruhet.
Unable to save the rate to the backend price list,Tarifa nuk mund të ruhet në listën e çmimeve të fundit
Unable to submit invoice,Fatura nuk mund të dorëzohet
Unable to submit the selected payment,Nuk mund të dorëzohet pagesa e zgjedhur
Unable to top up gift card.,Karta e dhuratës nuk mund të mbushet.
Unable to verify cashier PIN.,PIN-i i arkëtarit nuk mund të verifikohet.
Unallocated,Të pashpërndara
Unallocated:,Të pashpërndara:
Unavailable,I padisponueshëm
Unknown,E panjohur
Unknown Item,Artikull i panjohur
Unknown Warehouse,Magazina e panjohur
Unlock POS,Zhbllokoni POS
Unpaid,E papaguar
"Unselected payments stay unallocated first, then auto reconcile after submit.","Pagesat e pazgjedhura fillimisht mbeten të pashpërndara, më pas rakordohen automatikisht pas dorëzimit."
UOM,UOM
UOM not found,UOM nuk u gjet
Update available,Ofrohet përditësim
Update Customer,Përditëso klientin
Update PIN,Përditëso kodin PIN
Update Price List Rate,Përditëso normën e listës së çmimeve
Updated,Përditësuar
Updates and app info that stay out of the cashier flow.,Përditësimet dhe informacionet e aplikacioneve që qëndrojnë jashtë fluksit të arkëtarëve.
Updates automatically,Përditësohet automatikisht
Usage,Përdorimi
Usage Stats,Statistikat e Përdorimit
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Përdorni një PIN 4 deri në 8 shifra për ndërrimin e arkës dhe shkyçjen e terminalit.
Use Cashier,Përdorni arkë
Use date range to search for older invoices,Përdorni intervalin e datave për të kërkuar fatura më të vjetra
"Use one field for manual code entry, barcode scans, or QR scans.","Përdorni një fushë për futjen manuale të kodit, skanimet e barkodit ose skanimet QR."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Përdorni një rrjedhë pune për kontrolle balancash, lëshime të reja dhe rimbushje pa dalë nga POS."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Përdoreni këtë seksion kur të dhënat e parakushteve të ruajtura në memorie të fshehtë kanë nevojë për rifreskim, rindërtim ose rishikim diagnostikues."
Use Western numerals,Përdorni numra perëndimor
Used:,Përdorur:
Using basic camera settings due to device limitations,Përdorimi i cilësimeve bazë të kamerës për shkak të kufizimeve të pajisjes
Using cached customer balance,Përdorimi i bilancit të klientit të ruajtur në memorie
Valid until,E vlefshme deri në
Variance %,Varianca %
Variants,Variantet
Variant-wise,Në variant
Verify closing amounts for each payment method,Verifikoni shumat e mbylljes për secilën mënyrë pagese
View all,Shiko të gjitha
View app information and current build details,Shikoni informacionin e aplikacionit dhe detajet aktuale të ndërtimit
View Data Diagnostics,Shiko Diagnostifikimin e të Dhënave
View Details,Shiko Detajet
View invoice details,Shikoni detajet e faturës
View notifications,Shikoni njoftimet
View offline invoices,Shikoni faturat jashtë linje
View restricted POS insights,Shikoni njohuritë e kufizuara të POS
Void Amount,Shuma e pavlefshme
Void Count,Numërimi i zbrazët
Voids,Boshllëqe
Waiting for cart items,Në pritje të artikujve të karrocës
Waiting for payment...,Në pritje të pagesës...
Walk-in Customer,Klient i përhershëm
Warehouse,Magazina
Warning: High cache usage may affect performance.,Paralajmërim: Përdorimi i lartë i cache-it mund të ndikojë në performancën.
Warning: High lag may indicate heavy processing or browser slowness.,Paralajmërim: Vonesa e lartë mund të tregojë përpunim të rëndë ose ngadalësi të shfletuesit.
Week ?,Javë ?
Week-wise,Sipas javës
Weight (g),Pesha (g)
Weight (grams),Pesha (gram)
We'll let you know if an invoice fails to submit,Ne do t'ju njoftojmë nëse një faturë nuk dorëzohet
Workflow,Rrjedha e punës
Write off amount cannot exceed the POS profile maximum of {0},Shuma e fshirjes nuk mund të kalojë maksimumin e profilit POS prej {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,Shuma e fshirjes tejkalon kufirin e lejuar ({0}). Ju lutemi shtoni pagesën për shumën e mbetur.
Yes,po
"Yes, Cancel sale","Po, anuloni shitjen"
"Yes, Close","Po, Mbylle"
You are not allowed to print draft invoices,Nuk ju lejohet të printoni draft fatura
You are offline. Add Payment will work again when the connection is restored.,Ju jeni jashtë linje. Shto pagesën do të funksionojë përsëri kur lidhja të rikthehet.
You have no notifications right now,Nuk ke asnjë njoftim për momentin
Your Cart,Karroca juaj
