POS Awesome,POS అద్భుతం
No repeat customers in this period.,ఈ కాలంలో రిపీట్ కస్టమర్‌లు లేరు.
No response from server,సర్వర్ నుండి స్పందన లేదు
No return invoices found,రిటర్న్ ఇన్‌వాయిస్‌లు ఏవీ కనుగొనబడలేదు
No return item trend found.,వాపసు అంశం ట్రెండ్ కనుగొనబడలేదు.
No returnable items found for this invoice,ఈ ఇన్‌వాయిస్ కోసం వాపసు చేయదగిన అంశాలు ఏవీ కనుగొనబడలేదు
No returns were processed in this shift.,ఈ షిఫ్ట్‌లో రిటర్న్‌లు ఏవీ ప్రాసెస్ చేయబడలేదు.
No risk activity found.,ప్రమాదకర కార్యాచరణ ఏదీ కనుగొనబడలేదు.
No sales activity found for this period.,ఈ కాలానికి విక్రయ కార్యకలాపాలు ఏవీ కనుగొనబడలేదు.
No slow moving items.,నెమ్మదిగా కదిలే అంశాలు లేవు.
No staff sales activity found.,సిబ్బంది విక్రయ కార్యకలాపాలు ఏవీ కనుగొనబడలేదు.
No stock movement for this period.,ఈ కాలానికి స్టాక్ కదలిక లేదు.
No submitted cash movements in this shift.,ఈ షిఫ్ట్‌లో సమర్పించిన నగదు కదలికలు లేవు.
No supplier purchases found in this month.,ఈ నెలలో సరఫరాదారు కొనుగోళ్లు ఏవీ కనుగొనబడలేదు.
No suppliers found for this period.,ఈ కాలానికి సరఫరాదారులు ఎవరూ కనుగొనబడలేదు.
No sync trigger has run yet in this session.,ఈ సెషన్‌లో ఇంకా ఏ సింక్ ట్రిగ్గర్ అమలు కాలేదు.
No tax head breakdown found.,పన్ను హెడ్ బ్రేక్‌డౌన్ కనుగొనబడలేదు.
No top items found for this location.,ఈ స్థానం కోసం అగ్ర అంశాలు ఏవీ కనుగొనబడలేదు.
No unpaid invoices,చెల్లించని ఇన్‌వాయిస్‌లు లేవు
No variant data found.,వేరియంట్ డేటా ఏదీ కనుగొనబడలేదు.
No week-wise sales trend found.,వారం వారీగా అమ్మకాల ట్రెండ్ కనుగొనబడలేదు.
No.,నం.
Nobile Number,నోబుల్ నంబర్
Not available,అందుబాటులో లేదు
Not checked,తనిఖీ చేయలేదు
Not selected,ఎంపిక కాలేదు
Not Set,సెట్ చేయలేదు
Notifications,నోటిఫికేషన్‌లు
Offer,ఆఫర్
Offer Applied,ఆఫర్ వర్తింపజేయబడింది
Offer criteria exceeded,ఆఫర్ ప్రమాణాలు మించిపోయాయి
Offer Item,ఆఫర్ అంశం
Offer item unavailable,ఆఫర్ అంశం అందుబాటులో లేదు
Offer Removed,ఆఫర్ తీసివేయబడింది
Offer UOM cannot be changed,ఆఫర్ UOM మార్చబడదు
Offer?,ఆఫర్ చేస్తారా?
Offers,ఆఫర్లు
Offline,ఆఫ్‌లైన్
Offline & Sync,ఆఫ్‌లైన్ & సమకాలీకరణ
Offline Capabilities,ఆఫ్‌లైన్ సామర్థ్యాలు
Offline data status refreshed,ఆఫ్‌లైన్ డేటా స్థితి రిఫ్రెష్ చేయబడింది
Offline diagnostics,ఆఫ్‌లైన్ డయాగ్నస్టిక్స్
Offline Invoices,ఆఫ్‌లైన్ ఇన్‌వాయిస్‌లు
Offline invoices status,ఆఫ్‌లైన్ ఇన్‌వాయిస్‌ల స్థితి
Offline invoices synced,ఆఫ్‌లైన్ ఇన్‌వాయిస్‌లు సమకాలీకరించబడ్డాయి
Offline Queue: {0},ఆఫ్‌లైన్ క్యూ: {0}
Offline rebuild guidance,ఆఫ్‌లైన్ పునర్నిర్మాణ మార్గదర్శకత్వం
Offline restore is unavailable for this session.,ఈ సెషన్‌కు ఆఫ్‌లైన్ పునరుద్ధరణ అందుబాటులో లేదు.
Offline selling is available with degraded capabilities.,క్షీణించిన సామర్థ్యాలతో ఆఫ్‌లైన్ అమ్మకం అందుబాటులో ఉంది.
Offline snapshot does not match the current POS state.,ఆఫ్‌లైన్ స్నాప్‌షాట్ ప్రస్తుత POS స్థితికి సరిపోలడం లేదు.
Offline Status,ఆఫ్‌లైన్ స్థితి
"Offline, terminal, and system controls","ఆఫ్‌లైన్, టెర్మినల్ మరియు సిస్టమ్ నియంత్రణలు"
OK,సరే
Online,ఆన్‌లైన్
Open actions menu,చర్యల మెనుని తెరవండి
Open balance to collect,సేకరించడానికి బ్యాలెన్స్ తెరవండి
Open Customer Display,కస్టమర్ డిస్‌ప్లే తెరవండి
Open drawer,డ్రాయర్ తెరవండి
Open invoices,ఇన్‌వాయిస్‌లను తెరవండి
Open Payments?,చెల్లింపులను తెరవాలా?
Open POS home,POS హోమ్‌ని తెరవండి
Open this screen from POS Menu -> Open Customer Display.,POS మెను నుండి ఈ స్క్రీన్‌ని తెరవండి -> కస్టమర్ డిస్‌ప్లే తెరవండి.
OpenCV image processing enabled - Enhanced barcode detection,OpenCV ఇమేజ్ ప్రాసెసింగ్ ప్రారంభించబడింది - మెరుగైన బార్‌కోడ్ గుర్తింపు
OpenCV image processing unavailable on this device,ఈ పరికరంలో OpenCV ఇమేజ్ ప్రాసెసింగ్ అందుబాటులో లేదు
OpenCV Off,OpenCV ఆఫ్
OpenCV On,OpenCV ఆన్
OpenCV processing disabled,OpenCV ప్రాసెసింగ్ నిలిపివేయబడింది
Opening Amount,ప్రారంభ మొత్తం
Opening Cash,నగదు తెరవడం
options,ఎంపికలు
Order,ఆర్డర్ చేయండి
Original,అసలైనది
Other,ఇతర
Out,అవుట్
Out of Stock,స్టాక్ అయిపోయింది
Out of Stock Items,స్టాక్ వస్తువులు లేవు
Outstanding,అత్యుత్తమమైనది
Outstanding Credit by Currency,కరెన్సీ ద్వారా అత్యుత్తమ క్రెడిట్
Overdue,గడువు దాటిపోయింది
Overpayment Change,ఓవర్ పేమెంట్ మార్పు
Overpayment change deducted: {0},ఓవర్ పేమెంట్ మార్పు తీసివేయబడింది: {0}
Packing List,ప్యాకింగ్ జాబితా
Page Format,పేజీ ఫార్మాట్
Page unavailable offline,పేజీ ఆఫ్‌లైన్‌లో అందుబాటులో లేదు
Paid,చెల్లించారు
Paid (orig):,చెల్లించిన (మూలం):
Paid Amount,చెల్లించిన మొత్తం
Paid change cannot be greater than total change!,చెల్లింపు మార్పు మొత్తం మార్పు కంటే ఎక్కువగా ఉండకూడదు!
Paid:,చెల్లించినది:
Parent Item,మాతృ అంశం
Partial,పాక్షికం
Partly Paid,పాక్షికంగా చెల్లించబడింది
Party Account,పార్టీ ఖాతా
Party Type,పార్టీ రకం
Pause terminal until next cashier,తదుపరి క్యాషియర్ వరకు టెర్మినల్‌ను పాజ్ చేయండి
PAY,చెల్లించండి
Payment,చెల్లింపు
Payment Account,చెల్లింపు ఖాతా
Payment entries processed for Invoice {0},ఇన్‌వాయిస్ {0} కోసం చెల్లింపు నమోదులు ప్రాసెస్ చేయబడ్డాయి
Payment Entry Type,చెల్లింపు ఎంట్రీ రకం
Payment History,చెల్లింపు చరిత్ర
Payment ID,చెల్లింపు ID
Payment Method Report,చెల్లింపు పద్ధతి నివేదిక
Payment Methods,చెల్లింపు పద్ధతులు
Payment of {0} received successfully.,{0} చెల్లింపు విజయవంతంగా స్వీకరించబడింది.
Payment Progress,చెల్లింపు పురోగతి
Payment Reconciliation,చెల్లింపు సయోధ్య
Payment request status could not be retrieved. Please try again,చెల్లింపు అభ్యర్థన స్థితిని తిరిగి పొందడం సాధ్యపడలేదు. దయచేసి మళ్లీ ప్రయత్నించండి
Payment Request took too long to respond. Please try requesting for payment again,చెల్లింపు అభ్యర్థన ప్రతిస్పందించడానికి చాలా సమయం పట్టింది. దయచేసి చెల్లింపు కోసం మళ్లీ అభ్యర్థించడానికి ప్రయత్నించండి
Payment saved offline,చెల్లింపు ఆఫ్‌లైన్‌లో సేవ్ చేయబడింది
Payment State,చెల్లింపు స్థితి
Payment Status,చెల్లింపు స్థితి
Payment submitted but print function could not be executed. Payment name not found.,చెల్లింపు సమర్పించబడింది కానీ ప్రింట్ ఫంక్షన్‌ని అమలు చేయడం సాధ్యపడలేదు. చెల్లింపు పేరు కనుగొనబడలేదు.
Payment submitted.,చెల్లింపు సమర్పించబడింది.
Payment Summary,చెల్లింపు సారాంశం
Payments,చెల్లింపులు
Payments are not open. Do you want to open payments and submit?,చెల్లింపులు తెరవబడవు. మీరు చెల్లింపులను తెరిచి సమర్పించాలనుకుంటున్నారా?
Payments by Mode of Payment,చెల్లింపు విధానం ద్వారా చెల్లింపులు
PDF,PDF
Peak Hour,పీక్ అవర్
Peak Memory:,పీక్ మెమరీ:
Peak Server:,పీక్ సర్వర్:
Peak:,శిఖరం:
Pending,పెండింగ్‌లో ఉంది
Pending Amount,పెండింగ్ మొత్తం
Pending count updated from {0} to {1},పెండింగ్ కౌంట్ {0} నుండి {1}కి అప్‌డేట్ చేయబడింది
Pending Exposure,పెండింగ్‌లో ఉన్న ఎక్స్‌పోజర్
Pending Invoices,పెండింగ్ ఇన్‌వాయిస్‌లు
Pending Ratio,పెండింగ్ నిష్పత్తి
Pending Sales,పెండింగ్ సేల్స్
Pending sales: {0} | Cache usage: {1}%,పెండింగ్‌లో ఉన్న అమ్మకాలు: {0} | కాష్ వినియోగం: {1}%
Pending Sync,పెండింగ్ సమకాలీకరణ
Pending: {0},పెండింగ్‌లో ఉంది: {0}
Pending: {0} | Synced: {1} | Draft: {2},పెండింగ్‌లో ఉంది: {0} | సమకాలీకరించబడింది: {1} | డ్రాఫ్ట్: {2}
Per Page,ఒక్కో పేజీకి
Personal,వ్యక్తిగతం
Personal preferences adjust the current cashier experience without changing the active POS route.,వ్యక్తిగత ప్రాధాన్యతలు క్రియాశీల POS మార్గాన్ని మార్చకుండా ప్రస్తుత క్యాషియర్ అనుభవాన్ని సర్దుబాటు చేస్తాయి.
PIN confirmation does not match.,పిన్ నిర్ధారణ సరిపోలలేదు.
PIN must be 4 to 8 digits.,పిన్ తప్పనిసరిగా 4 నుండి 8 అంకెలు ఉండాలి.
Please add at least one item.,దయచేసి కనీసం ఒక అంశాన్ని జోడించండి.
Please allow camera access to scan codes,దయచేసి కోడ్‌లను స్కాన్ చేయడానికి కెమెరా యాక్సెస్‌ను అనుమతించండి
Please enter payment amount,దయచేసి చెల్లింపు మొత్తాన్ని నమోదు చేయండి
Please fill all required fields,దయచేసి అవసరమైన అన్ని ఫీల్డ్‌లను పూరించండి
Please make a payment or select a payment,దయచేసి చెల్లింపు చేయండి లేదా చెల్లింపును ఎంచుకోండి
Please request phone payment or use another payment method,దయచేసి ఫోన్ చెల్లింపును అభ్యర్థించండి లేదా మరొక చెల్లింపు పద్ధతిని ఉపయోగించండి
Please select a customer first,దయచేసి ముందుగా కస్టమర్‌ని ఎంచుకోండి
Please select a party,దయచేసి పార్టీని ఎంచుకోండి
Please select a party before reconciling.,దయచేసి సయోధ్యకు ముందు పార్టీని ఎంచుకోండి.
Please select a valid movement type.,దయచేసి చెల్లుబాటు అయ్యే కదలిక రకాన్ని ఎంచుకోండి.
Please select an invoice,దయచేసి ఇన్‌వాయిస్‌ను ఎంచుకోండి
Please select company before reconciling.,దయచేసి సయోధ్యకు ముందు కంపెనీని ఎంచుకోండి.
Please set the customer's mobile number,దయచేసి కస్టమర్ మొబైల్ నంబర్‌ను సెట్ చేయండి
Please try again or enter the item manually.,దయచేసి మళ్లీ ప్రయత్నించండి లేదా అంశాన్ని మాన్యువల్‌గా నమోదు చేయండి.
Please verify the barcode or check the item's availability.,దయచేసి బార్‌కోడ్‌ను ధృవీకరించండి లేదా అంశం లభ్యతను తనిఖీ చేయండి.
Points,పాయింట్లు
Popup blocked. Please allow popups.,పాప్అప్ బ్లాక్ చేయబడింది. దయచేసి పాపప్‌లను అనుమతించండి.
POS,POS
POS controls and maintenance,POS నియంత్రణలు మరియు నిర్వహణ
POS Expense is disabled for this POS Profile.,ఈ POS ప్రొఫైల్ కోసం POS ఖర్చు నిలిపివేయబడింది.
POS is running with limited offline prerequisites.,POS పరిమిత ఆఫ్‌లైన్ ముందస్తు అవసరాలతో అమలవుతోంది.
POS Profile,POS ప్రొఫైల్
Position the QR code or barcode within the scanning area,స్కానింగ్ ప్రాంతంలో QR కోడ్ లేదా బార్‌కోడ్‌ను ఉంచండి
Posting,పోస్టింగ్
Posting and Price List,పోస్టింగ్ మరియు ధర జాబితా
Posting Date,పోస్టింగ్ తేదీ
Preparing background sync,నేపథ్య సమకాలీకరణను సిద్ధం చేస్తోంది
"Press OK to continue offline with a warning, or Cancel to retry.",హెచ్చరికతో ఆఫ్‌లైన్‌లో కొనసాగడానికి సరే నొక్కండి లేదా మళ్లీ ప్రయత్నించడానికి రద్దు చేయండి.
Previous unit of measure,మునుపటి కొలత యూనిట్
Price List,ధర జాబితా
Price List Rate,ధర జాబితా రేటు
Price list rate updated locally only,ధర జాబితా రేటు స్థానికంగా మాత్రమే నవీకరించబడింది
Pricing & Discounts,ధర & తగ్గింపులు
Pricing Rule,ధర నియమం
Print,ముద్రించు
Print Draft,డ్రాఫ్ట్ ముద్రించండి
Print Format (Invoice),ప్రింట్ ఫార్మాట్ (ఇన్‌వాయిస్)
Print Format (Order),ప్రింట్ ఫార్మాట్ (ఆర్డర్)
Print invoice,ఇన్వాయిస్ ముద్రించండి
Print Purchase Invoice instead of PO,PO బదులుగా కొనుగోలు ఇన్‌వాయిస్‌ను ముద్రించండి
Printer,ప్రింటర్
Processed returns impacting the shift totals,షిఫ్ట్ మొత్తాలను ప్రభావితం చేసే ప్రాసెస్ చేయబడిన రిటర్న్‌లు
Processing Payment,చెల్లింపును ప్రాసెస్ చేస్తోంది
Processing payment entries for Invoice {0},ఇన్‌వాయిస్ {0} కోసం చెల్లింపు నమోదులను ప్రాసెస్ చేస్తోంది
Profile,ప్రొఫైల్
Profiles,ప్రొఫైల్స్
Profit,లాభం
Profit: Invoice Item Estimate,లాభం: ఇన్‌వాయిస్ అంశం అంచనా
Profit: Stock Ledger (COGS),లాభం: స్టాక్ లెడ్జర్ (COGS)
Profitability Report,లాభదాయకత నివేదిక
Prorated return discount,ప్రొరేటెడ్ రిటర్న్ డిస్కౌంట్
Purchase Amount,కొనుగోలు మొత్తం
Purchase Invoices,ఇన్‌వాయిస్‌లను కొనుగోలు చేయండి
Purchase Order created,కొనుగోలు ఆర్డర్ సృష్టించబడింది
Qty,క్యూటీ
Qualified,అర్హత సాధించారు
Quantity,పరిమాణం
Quantity exceeds available stock,అందుబాటులో ఉన్న స్టాక్‌ను మించిపోయింది
Quick Actions,త్వరిత చర్యలు
Quotation {0} is Submitted,కొటేషన్ {0} సమర్పించబడింది
Quotation submitted,కొటేషన్ సమర్పించబడింది
QZ Tray connected.,QZ ట్రే కనెక్ట్ చేయబడింది.
QZ Tray is manually disconnected. Press Connect to enable it again.,QZ ట్రే మాన్యువల్‌గా డిస్‌కనెక్ట్ చేయబడింది. దీన్ని మళ్లీ ఎనేబుల్ చేయడానికి కనెక్ట్ నొక్కండి.
QZ Tray is not connected.,QZ ట్రే కనెక్ట్ చేయబడలేదు.
QZ Tray Setup,QZ ట్రే సెటప్
Rate,రేట్ చేయండి
Rate adjusted to maximum allowed discount,గరిష్టంగా అనుమతించబడిన తగ్గింపుకు రేటు సర్దుబాటు చేయబడింది
Ready,సిద్ధంగా ఉంది
Ready to resume,పునఃప్రారంభించడానికి సిద్ధంగా ఉంది
Ready!,సిద్ధంగా ఉంది!
Real-time POS insights for retail operations.,రిటైల్ కార్యకలాపాల కోసం రియల్ టైమ్ POS అంతర్దృష్టులు.
Rebuild Offline Data,ఆఫ్‌లైన్ డేటాను పునర్నిర్మించండి
Receive,స్వీకరించండి
Receive now,ఇప్పుడే స్వీకరించండి
Received,అందుకుంది
Received:,స్వీకరించబడింది:
Recent Movement Entries,ఇటీవలి ఉద్యమ ఎంట్రీలు
Recent updates about your invoices,మీ ఇన్‌వాయిస్‌ల గురించి ఇటీవలి అప్‌డేట్‌లు
Recently Active Customers,ఇటీవల యాక్టివ్ కస్టమర్‌లు
Rechecking connection,కనెక్షన్‌ని మళ్లీ తనిఖీ చేస్తోంది
Reconcile payment methods and close shift,చెల్లింపు పద్ధతులను పునరుద్దరించండి మరియు షిఫ్ట్ మూసివేయండి
Reconciling Payments,చెల్లింపులను సరిదిద్దడం
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","ఆన్‌లైన్‌లో ఉన్నప్పుడు ఈ పేజీని మళ్లీ కనెక్ట్ చేసి, తెరవండి, ఆపై ఆఫ్‌లైన్ రిఫ్రెష్‌లు దీన్ని పునరుద్ధరించగలవు."
Reconnect online to refresh cached offline data from the server.,సర్వర్ నుండి కాష్ చేయబడిన ఆఫ్‌లైన్ డేటాను రిఫ్రెష్ చేయడానికి ఆన్‌లైన్‌కి మళ్లీ కనెక్ట్ చేయండి.
Recreate local offline prerequisites from scratch,మొదటి నుండి స్థానిక ఆఫ్‌లైన్ ముందస్తు అవసరాలను పునఃసృష్టించండి
Recv:,Recv:
Redeem,రీడీమ్ చేయండి
Redeem / Scan,రీడీమ్ / స్కాన్
Redeem Amount,మొత్తాన్ని రీడీమ్ చేయండి
Redeem Mode,రీడీమ్ మోడ్
Redeemed Amount,రీడీమ్ చేయబడిన మొత్తం
Redeemed credit cannot be greater than its total.,రీడీమ్ చేయబడిన క్రెడిట్ దాని మొత్తం కంటే ఎక్కువగా ఉండకూడదు.
Redemption and Totals,విముక్తి మరియు మొత్తాలు
Reference,సూచన
Refresh,రిఫ్రెష్ చేయండి
Refresh Exchange Rate,రిఫ్రెష్ మార్పిడి రేటు
Refresh Offline Data,ఆఫ్‌లైన్ డేటాను రిఫ్రెష్ చేయండి
Refresh Printers,ప్రింటర్‌లను రిఫ్రెష్ చేయండి
Refund,వాపసు
Release Notes,విడుదల గమనికలు
Reload,మళ్లీ లోడ్ చేయండి
Reload customers,కస్టమర్‌లను రీలోడ్ చేయండి
Reload Items,అంశాలను మళ్లీ లోడ్ చేయండి
Reload Now,ఇప్పుడు మళ్లీ లోడ్ చేయండి
Reload to apply the latest changes. Your current session will be refreshed.,తాజా మార్పులను వర్తింపజేయడానికి రీలోడ్ చేయండి. మీ ప్రస్తుత సెషన్ రిఫ్రెష్ చేయబడుతుంది.
Reload Workflow,వర్క్‌ఫ్లో రీలోడ్ చేయండి
Remarks,వ్యాఖ్యలు
Remarks are required.,రిమార్క్‌లు అవసరం.
Remove,తొలగించు
Remove barcode item,బార్‌కోడ్ అంశాన్ని తీసివేయండి
Remove cached data and reload the POS app,"కాష్ చేసిన డేటాను తీసివేసి, POS యాప్‌ని మళ్లీ లోడ్ చేయండి"
Remove item,అంశాన్ని తీసివేయండి
Remove Offer,ఆఫర్‌ని తీసివేయండి
Reorder / Purchase Suggestions,క్రమాన్ని మార్చండి / కొనుగోలు సలహాలు
Repair Candidate,రిపేర్ అభ్యర్థి
Repair Change Allocation,రిపేర్ మార్పు కేటాయింపు
Repair requires an online connection,మరమ్మతుకు ఆన్‌లైన్ కనెక్షన్ అవసరం
Repaired,మరమ్మతులు చేశారు
Repairing change allocation,మార్పు కేటాయింపును రిపేర్ చేస్తోంది
Repeat Customers,రిపీట్ కస్టమర్లు
Repeat Rate,రిపీట్ రేట్
Request,అభ్యర్థన
Request ID: {0},అభ్యర్థన ID: {0}
Request Payment,చెల్లింపును అభ్యర్థించండి
Requested route: {0},అభ్యర్థించిన మార్గం: {0}
Required columns cannot be hidden,అవసరమైన నిలువు వరుసలు దాచబడవు
Reset,రీసెట్ చేయండి
Reset item name,అంశం పేరును రీసెట్ చేయండి
Reset to Default,డిఫాల్ట్‌కి రీసెట్ చేయండి
Resource Health,వనరుల ఆరోగ్యం
Restricted,పరిమితం చేయబడింది
Restricted operational controls for supervisors only.,సూపర్‌వైజర్‌లకు మాత్రమే పరిమిత కార్యాచరణ నియంత్రణలు.
Retry,మళ్లీ ప్రయత్నించండి
Retry route,మార్గాన్ని మళ్లీ ప్రయత్నించండి
Return,తిరిగి
Return Amount,రిటర్న్ మొత్తం
Return Count,రిటర్న్ కౌంట్
Return items must have negative quantities,తిరిగి వచ్చే అంశాలు తప్పనిసరిగా ప్రతికూల పరిమాణాలను కలిగి ఉండాలి
Return total must be negative,రిటర్న్ మొత్తం తప్పనిసరిగా ప్రతికూలంగా ఉండాలి
Return Valid Until,వాపసు వరకు చెల్లుతుంది
Return window passed,రిటర్న్ విండో పాస్ అయింది
Return without Invoice,ఇన్వాయిస్ లేకుండా వాపసు
Returns,తిరిగి వస్తుంది
Returns / Voids / Discounts,రిటర్న్స్ / శూన్యాలు / తగ్గింపులు
Returns by Currency,కరెన్సీ ద్వారా తిరిగి వస్తుంది
Revenue,రాబడి
Review shift totals before submitting the closing entry,ముగింపు ఎంట్రీని సమర్పించే ముందు షిఫ్ట్ మొత్తాలను సమీక్షించండి
Round Off,రౌండ్ ఆఫ్
Rows,వరుసలు
Rows:,అడ్డు వరుసలు:
Rule,నియమం
Sale,అమ్మకం
Sales,అమ్మకాలు
Sales Order {0} is Submitted,సేల్స్ ఆర్డర్ {0} సమర్పించబడింది
Sales Person and Print,సేల్స్ పర్సన్ మరియు ప్రింట్
Sales Person not found,సేల్స్ పర్సన్ దొరకలేదు
Sales processed,విక్రయాలు ప్రాసెస్ చేయబడ్డాయి
Sales Return,సేల్స్ రిటర్న్
Sales Trend Report,సేల్స్ ట్రెండ్ రిపోర్ట్
Save,సేవ్ చేయండి
Save & Clear,సేవ్ & క్లియర్
Save as POS Profile Default,POS ప్రొఫైల్ డిఫాల్ట్‌గా సేవ్ చేయండి
Save Settings,సెట్టింగ్‌లను సేవ్ చేయండి
Save the selected printer as the POS Profile default so it shows automatically on this setup.,"ఎంచుకున్న ప్రింటర్‌ను POS ప్రొఫైల్ డిఫాల్ట్‌గా సేవ్ చేయండి, తద్వారా ఇది ఈ సెటప్‌లో స్వయంచాలకంగా చూపబడుతుంది."
Saved as draft because: {0},డ్రాఫ్ట్‌గా సేవ్ చేయబడింది ఎందుకంటే: {0}
Saving...,సేవ్ చేస్తోంది...
Scale barcode detected. Quantity here is the number of labels to print.,స్కేల్ బార్‌కోడ్ కనుగొనబడింది. ఇక్కడ పరిమాణం అనేది ప్రింట్ చేయాల్సిన లేబుల్‌ల సంఖ్య.
Scale barcode settings are not configured. Using item barcode only.,స్కేల్ బార్‌కోడ్ సెట్టింగ్‌లు కాన్ఫిగర్ చేయబడలేదు. అంశం బార్‌కోడ్‌ను మాత్రమే ఉపయోగిస్తోంది.
Scale template barcode is missing for this item/UOM. Using item barcode only.,ఈ అంశం/UOM కోసం స్కేల్ టెంప్లేట్ బార్‌కోడ్ లేదు. అంశం బార్‌కోడ్‌ను మాత్రమే ఉపయోగిస్తోంది.
Scan an existing card and top it up without leaving the payment flow.,"ఇప్పటికే ఉన్న కార్డ్‌ని స్కాన్ చేసి, చెల్లింపు ప్రక్రియను వదలకుండా టాప్ అప్ చేయండి."
Scan Error,స్కాన్ లోపం
Scan or enter a gift card code to check balance or redeem.,బ్యాలెన్స్ తనిఖీ చేయడానికి లేదా రీడీమ్ చేయడానికి బహుమతి కార్డ్ కోడ్‌ను స్కాన్ చేయండి లేదా నమోదు చేయండి.
Scan or paste the card code below.,దిగువ కార్డ్ కోడ్‌ను స్కాన్ చేయండి లేదా అతికించండి.
Scan QR Code/Barcode,QR కోడ్/బార్‌కోడ్‌ని స్కాన్ చేయండి
Scan with camera,కెమెరాతో స్కాన్ చేయండి
Scan-First Flow,స్కాన్-ఫస్ట్ ఫ్లో
Scanned Code:,స్కాన్ చేసిన కోడ్:
Scanning for: {0},దీని కోసం స్కాన్ చేస్తోంది: {0}
Scanning items,అంశాలను స్కాన్ చేస్తోంది
Scan-Ready,స్కాన్-సిద్ధంగా
Scope,పరిధి
Scope: All Profiles,పరిధి: అన్ని ప్రొఫైల్‌లు
Scope: Current Profile,పరిధి: ప్రస్తుత ప్రొఫైల్
Scope: Specific Profile,పరిధి: నిర్దిష్ట ప్రొఫైల్
Search,శోధించండి
Search Account,ఖాతాను శోధించండి
Search an invoice and continue the return flow without extra steps.,ఇన్‌వాయిస్‌ని శోధించండి మరియు అదనపు దశలు లేకుండా రిటర్న్ ఫ్లోను కొనసాగించండి.
Search customer,వినియోగదారుని శోధించండి
Search invoices or customers,ఇన్‌వాయిస్‌లు లేదా కస్టమర్‌లను శోధించండి
Search item,శోధన అంశం
Search item / code,శోధన అంశం / కోడ్
Search items or barcode,అంశాలను లేదా బార్‌కోడ్‌ను శోధించండి
Search Mpesa Payments,Mpesa చెల్లింపులను శోధించండి
Search return invoices or customers,రిటర్న్ ఇన్‌వాయిస్‌లు లేదా కస్టమర్‌లను శోధించండి
Search supplier,శోధన సరఫరాదారు
Search unpaid invoices or customers,చెల్లించని ఇన్‌వాయిస్‌లు లేదా కస్టమర్‌లను శోధించండి
Secure context (HTTPS or localhost) is required for camera access.,కెమెరా యాక్సెస్ కోసం సురక్షిత సందర్భం (HTTPS లేదా లోకల్ హోస్ట్) అవసరం.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,కెమెరా యాక్సెస్ కోసం సురక్షిత సందర్భం (HTTPS) అవసరం. కెమెరాను యాక్సెస్ చేయడానికి దయచేసి HTTPSని ఉపయోగించండి.
Select,ఎంచుకోండి
Select a cashier first.,ముందుగా క్యాషియర్‌ని ఎంచుకోండి.
Select a customer,కస్టమర్‌ని ఎంచుకోండి
Select a customer to use coupon,కూపన్‌ని ఉపయోగించడానికి కస్టమర్‌ని ఎంచుకోండి
Select a printer to use QZ silent printing.,QZ నిశ్శబ్ద ముద్రణను ఉపయోగించడానికి ప్రింటర్‌ను ఎంచుకోండి.
Select Batch,బ్యాచ్‌ని ఎంచుకోండి
Select Columns to Display,ప్రదర్శించడానికి నిలువు వరుసలను ఎంచుకోండి
Select items to sell,విక్రయించడానికి వస్తువులను ఎంచుకోండి
Select Payment,చెల్లింపును ఎంచుకోండి
Select Payment Account,చెల్లింపు ఖాతాను ఎంచుకోండి
Select printer,ప్రింటర్‌ని ఎంచుకోండి
Select Return Invoice,రిటర్న్ ఇన్‌వాయిస్‌ని ఎంచుకోండి
Select S.O,S.Oని ఎంచుకోండి
Select Sales Orders,సేల్స్ ఆర్డర్‌లను ఎంచుకోండి
Select the cashier who is taking over this terminal.,ఈ టెర్మినల్‌ను స్వాధీనం చేసుకునే క్యాషియర్‌ను ఎంచుకోండి.
Selected,ఎంపిక చేయబడింది
Selected movement type is not allowed by POS Profile.,ఎంచుకున్న కదలిక రకం POS ప్రొఫైల్ ద్వారా అనుమతించబడదు.
Selected Payments,ఎంచుకున్న చెల్లింపులు
Sensitive actions kept away from quick taps.,సున్నితమైన చర్యలు త్వరిత ట్యాప్‌ల నుండి దూరంగా ఉంటాయి.
Serial,సీరియల్
Serial Numbers,క్రమ సంఖ్యలు
Server CPU Usage:,సర్వర్ CPU వినియోగం:
Server Health,సర్వర్ ఆరోగ్యం
Server Memory Usage:,సర్వర్ మెమరీ వినియోగం:
Server Metrics,సర్వర్ కొలమానాలు
Server Uptime:,సర్వర్ అప్‌టైమ్:
Service Charges,సర్వీస్ ఛార్జీలు
Session,సెషన్
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,ప్రతి క్యాషియర్ పిన్‌ను వినియోగదారు ఫారమ్‌లో సెట్ చేయండి మరియు టెర్మినల్ సభ్యులను POS ప్రొఫైల్ వినియోగదారులో కేటాయించండి.
Settings,సెట్టింగ్‌లు
Settings in this section update the POS workspace without changing the current route.,ఈ విభాగంలోని సెట్టింగ్‌లు ప్రస్తుత రూట్‌ను మార్చకుండానే POS వర్క్‌స్పేస్‌ను అప్‌డేట్ చేస్తాయి.
Setup complete!,సెటప్ పూర్తయింది!
Share,షేర్ చేయండి
Shared terminal,షేర్డ్ టెర్మినల్
Shift Closed Snapshot,షిఫ్ట్ క్లోజ్డ్ స్నాప్‌షాట్
