POS Awesome,Ajoyib POS
Save,Saqlash
Save & Clear,Saqlash va tozalash
Save as POS Profile Default,Standart POS profili sifatida saqlang
Save Settings,Sozlamalarni saqlash
Save the selected printer as the POS Profile default so it shows automatically on this setup.,"Tanlangan printerni standart POS profili sifatida saqlang, shunda u ushbu sozlashda avtomatik ravishda ko'rinadi."
Saved as draft because: {0},"Qoralama sifatida saqlangan, chunki: {0}"
Saving...,Saqlanmoqda...
Scale barcode detected. Quantity here is the number of labels to print.,Shtrix kodi aniqlandi. Bu yerda miqdor chop etiladigan teglar soni.
Scale barcode settings are not configured. Using item barcode only.,Shtrix-kod sozlamalari sozlanmagan. Faqat shtrix-koddan foydalanish.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Ushbu element/UOM uchun masshtab shablonining shtrix-kodi yo‘q. Faqat shtrix-koddan foydalanish.
Scan an existing card and top it up without leaving the payment flow.,Mavjud kartani skanerlang va to'lov oqimidan chiqmasdan to'ldiring.
Scan Error,Skanerlash xatosi
Scan or enter a gift card code to check balance or redeem.,Balansni tekshirish yoki sotib olish uchun sovg'a kartasi kodini skanerlang yoki kiriting.
Scan or paste the card code below.,Quyidagi karta kodini skanerlang yoki joylashtiring.
Scan QR Code/Barcode,QR kod/shtrix kodini skanerlang
Scan with camera,Kamera bilan skanerlash
Scan-First Flow,Skanerlash-Birinchi oqim
Scanned Code:,Skanerlangan kod:
Scanning for: {0},{0} qidirilmoqda
Scanning items,Elementlarni skanerlash
Scan-Ready,Skanerlashga tayyor
Scope,Qo'llash doirasi
Scope: All Profiles,Qo'llanilish doirasi: Barcha profillar
Scope: Current Profile,Qo'llanilish doirasi: Joriy profil
Scope: Specific Profile,Qo'llash doirasi: Maxsus profil
Search,Qidiruv
Search Account,Hisobni qidirish
Search an invoice and continue the return flow without extra steps.,Hisob-fakturani qidiring va qo'shimcha qadamlarsiz qaytarish oqimini davom ettiring.
Search customer,Mijoz qidirish
Search invoices or customers,Hisob-fakturalarni yoki mijozlarni qidiring
Search item,Elementni qidirish
Search item / code,Element / kodni qidiring
Search items or barcode,Elementlarni yoki shtrix kodini qidiring
Search Mpesa Payments,Mpesa to'lovlarini qidiring
Search return invoices or customers,Qaytarilgan fakturalarni yoki mijozlarni qidiring
Search supplier,Yetkazib beruvchini qidiring
Search unpaid invoices or customers,To'lanmagan hisob-fakturalarni yoki mijozlarni qidiring
Secure context (HTTPS or localhost) is required for camera access.,Kameraga kirish uchun xavfsiz kontekst (HTTPS yoki localhost) talab qilinadi.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Kameraga kirish uchun xavfsiz kontekst (HTTPS) talab qilinadi. Kameraga kirish uchun HTTPS dan foydalaning.
Select,Tanlang
Select a cashier first.,Avval kassirni tanlang.
Select a customer,Mijozni tanlang
Select a customer to use coupon,Kupondan foydalanish uchun mijozni tanlang
Select a printer to use QZ silent printing.,QZ ovozsiz chop etishdan foydalanish uchun printerni tanlang.
Select Batch,To'plamni tanlang
Select Columns to Display,Ko'rsatish uchun ustunlarni tanlang
Select items to sell,Sotish uchun narsalarni tanlang
Select Payment,To'lovni tanlang
Select Payment Account,To'lov hisobini tanlang
Select printer,Printerni tanlang
Select Return Invoice,Hisob-fakturani qaytarish-ni tanlang
Select S.O,S.O.ni tanlang
Select Sales Orders,Savdo buyurtmalarini tanlang
Select the cashier who is taking over this terminal.,Ushbu terminalni qabul qiladigan kassirni tanlang.
Selected,Tanlangan
Selected movement type is not allowed by POS Profile.,Tanlangan harakat turiga POS profili ruxsat bermaydi.
Selected Payments,Tanlangan to'lovlar
Sensitive actions kept away from quick taps.,Nozik harakatlar tezkor teginishdan uzoqroq tutiladi.
Serial,Serial
Serial Numbers,Seriya raqamlari
Server CPU Usage:,Server protsessoridan foydalanish:
Server Health,Server salomatligi
Server Memory Usage:,Server xotirasidan foydalanish:
Server Metrics,Server ko'rsatkichlari
Server Uptime:,Serverning ish vaqti:
Service Charges,Xizmat to'lovlari
Session,Sessiya
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,Foydalanuvchi formasida har bir kassir PIN-kodini o'rnating va terminal a'zolarini POS profili foydalanuvchisida saqlang.
Settings,Sozlamalar
Settings in this section update the POS workspace without changing the current route.,Ushbu bo'limdagi sozlamalar joriy marshrutni o'zgartirmasdan POS ish maydonini yangilaydi.
Setup complete!,Sozlash tugallandi!
Share,Ulashish
Shared terminal,Umumiy terminal
Shift Closed Snapshot,Shift yopiq surat
Shift Overview,Shift umumiy ko'rinishi
Show,Ko'rsatish
Show cart on customer-facing screen,Savatni mijozga qaragan ekranda ko'rsatish
Show last invoice rate,Oxirgi hisob-faktura stavkasini ko'rsatish
Show rate info,Narx ma'lumotlarini ko'rsatish
Show Repair Candidates,Ta'mirlashga nomzodlarni ko'rsatish
Show search tools,Qidiruv vositalarini ko'rsatish
Show the active cart on a customer-facing screen,Mijozlarga qaragan ekranda faol savatni ko'rsating
Showing {0}-{1} of {2},{0}-{1}/{2} ko‘rsatilmoqda
Showing 0 of 0,0 dan 0 ko‘rsatilmoqda
Shows the distribution of invoices per currency,Valyuta bo'yicha hisob-fakturalarning taqsimlanishini ko'rsatadi
Sign out of the current POS session,Joriy POS seansidan chiqing
Size:,Hajmi:
Skipped Payments,Oʻtkazib yuborilgan toʻlovlar
Skipping items without barcodes,Shtrix-kodsiz elementlarni o'tkazib yuborish
Slow Moving,Sekin harakatlanish
Slow Moving Items,Sekin harakatlanuvchi elementlar
Slow Queries:,Sekin so'rovlar:
Sold,Sotilgan
Source,Manba
Source Cash Account (Optional Override),Naqd pul manbasi hisobi (ixtiyoriy bekor qilish)
Source Ex. Rate:,Manba Ex. Baho:
Source Rate:,Manba tezligi:
Specific Profile,Maxsus profil
Split Invoices,Hisob-fakturalarni taqsimlash
Staff / Cashier Performance Report,Xodimlar / Kassirning ishlashi to'g'risidagi hisobot
Status,Status
Stock,Zaxira
Stock Information,Birja ma'lumotlari
Stock is lower than requested,Zaxira talab qilinganidan past
Stock is lower than requested:\n{0},Qimmatli qog‘ozlar so‘ralgandan past:\n{0}
Stock Movement Report,Qimmatli qog'ozlar harakati to'g'risidagi hisobot
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Birja yangilanishi: {0}da {1} mavjud. {2} ni qoʻshish aksiyani noldan pastga tushiradi.
Submit,Yuborish
Submit & Print,Yuborish va chop etish
Submit Deposit,Depozitni topshirish
Submit Expense,Xarajatlarni topshirish
Submitted,Taqdim etilgan
Submitted Cash Movements,Taqdim etilgan naqd pul harakati
Submitted entries,Taqdim etilgan yozuvlar
Successfully scanned:,Muvaffaqiyatli skanerlash:
Suggested,Tavsiya etilgan
Suggested Qty,Tavsiya etilgan miqdor
Supervisor Access,Supervisorga kirish
Supervisor permissions unlock issuance and reloads,Nazoratchi ruxsatnomalari emissiya va qayta yuklashni blokdan chiqaradi
Supervisor Tools,Supervisor vositalari
Supplier,Yetkazib beruvchi
Supplier and dates are required.,Yetkazib beruvchi va sanalar talab qilinadi.
Supplier Invoices,Yetkazib beruvchi hisob-fakturalari
Supplier is required.,Yetkazib beruvchi talab qilinadi.
Supplier name is required,Yetkazib beruvchi nomi talab qilinadi
Supplier Payments,Yetkazib beruvchi to'lovlari
Supplier Purchase Summary,Yetkazib beruvchining xaridlari bo'yicha xulosa
Suppliers,Yetkazib beruvchilar
Suppliers not found,Yetkazib beruvchilar topilmadi
Switch Camera,Kamerani almashtirish
Switch Cashier,Kassirni almashtirish
Switch the POS appearance theme,POS ko'rinishi mavzusini o'zgartiring
Switched to:,Quyidagiga almashtirildi:
Sync All Invoices,Barcha hisob-fakturalarni sinxronlash
Sync Offline Cash Movements ({0}),Oflayn pul oʻtkazmalarini sinxronlash ({0})
Sync Offline Sales,Oflayn savdolarni sinxronlash
Synced {0} offline cash movement(s).,Sinxronlashtirilgan {0} oflayn naqd pul harakati(lar).
Syncing items in background,Elementlarni fonda sinxronlash
System / Diagnostics,Tizim / Diagnostika
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Tizim harakatlari past chastotali texnik xizmat ko'rsatish boshqaruvlari, masalan, ilovalar haqida ma'lumot, qo'llab-quvvatlash diagnostikasi va seans boshqaruvlari."
System Information,Tizim ma'lumotlari
System Status,Tizim holati
Tables:,Jadvallar:
Tap the button below to redeem a gift card during checkout.,Toʻlov vaqtida sovgʻa kartasini olish uchun quyidagi tugmani bosing.
Target,Maqsad
Target Ex. Rate:,Maqsad Ex. Baho:
Target Rate:,Maqsadli stavka:
Tax,Soliq
Tax / Charges Report,Soliq / to'lovlar hisoboti
Tax Heads,Soliq rahbarlari
Taxable Amount,Soliq solinadigan miqdor
Tendered,Tenderda
Terminal,Terminal
Terminal & Devices,Terminal va qurilmalar
Terminal locked,Terminal qulflangan
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Terminal vositalari ushbu to'lov stantsiyasiga, mijozlarga mo'ljallangan displeylarga va kelajakdagi printer/qurilma boshqaruvlariga ta'sir qiladi."
Territory not found,Hudud topilmadi
The amount paid is not complete,To'langan summa to'liq emas
The app stores data locally for offline use. This is called cache.,Ilova ma'lumotlarni oflayn foydalanish uchun mahalliy sifatida saqlaydi. Bu kesh deb ataladi.
The invoice stayed in draft. Please review and submit it manually.,"Hisob-faktura qoralamada qoldi. Iltimos, uni ko'rib chiqing va qo'lda yuboring."
The maximum discount allowed is,Ruxsat etilgan maksimal chegirma
The quantity for {0} has been adjusted to the maximum available stock.,{0} uchun miqdor maksimal mavjud zaxiraga moslashtirildi.
The system could not retrieve the item details. Please try again.,"Tizim element tafsilotlarini ololmadi. Iltimos, qayta urinib koʻring."
These invoices will be synced when connection is restored,"Ulanish tiklangach, bu hisob-fakturalar sinxronlanadi"
This action now opens inside the settings workspace.,Bu amal endi sozlamalar ish maydonida ochiladi.
This coupon already used !,Bu kupon allaqachon ishlatilgan!
This invoice does not need change-allocation repair,Bu hisob-fakturani o'zgartirish-ajratish ta'mirlash kerak emas
This invoice is already repaired,Bu faktura allaqachon tuzatilgan
This is an item template. Please choose a variant.,Bu element shablonidir. Variantni tanlang.
this item,ushbu element
This POS page could not be opened offline because its code was not cached on this terminal yet.,"Ushbu POS sahifani oflayn rejimda ochib bo‘lmadi, chunki uning kodi hali bu terminalda keshlanmagan."
This Serial Number {0} has already been added!,Bu {0} seriya raqami allaqachon qoʻshilgan!
Threshold,Eshik
Time,Vaqt
Tip: Clear cache regularly to free up space and keep the app fast.,Maslahat: Joyni boʻshatish va ilovani tez ishlatish uchun keshni muntazam tozalab turing.
Tip: Close unused tabs or apps to reduce lag.,Maslahat: Kechikishni kamaytirish uchun foydalanilmagan yorliqlar yoki ilovalarni yoping.
Tip: Monitor slow queries and table size for optimal performance.,Maslahat: Optimal ishlash uchun sekin so'rovlar va jadval hajmini kuzatib boring.
To Be Paid,To'lanishi
To Date,Hozirgacha
Today,Bugun
Today Profit,Bugun foyda
Today Sales,Bugun Sotish
Toggle navigation drawer,Navigatsiya tortmasini almashtirish
Toggle Theme,Mavzuni almashtirish
Tools,Asboblar
Tools for customer-facing screens and terminal-specific actions.,Mijozlarga mo'ljallangan ekranlar va terminalga xos harakatlar uchun asboblar.
Top Brand,Top Brend
Top Category,Yuqori toifa
Top Charge Head,Yuqori zaryadlovchi bosh
Top Customers,Eng yaxshi mijozlar
Top Discount,Eng yaxshi chegirma
Top Items by Location,Joylashuv bo'yicha eng yaxshi elementlar
Top Margin,Yuqori chegara
Top Pending,Yuqori kutilmoqda
Top Profit Item,Yuqori daromadli element
Top Return Items,Eng yaxshi qaytariladigan buyumlar
Top Sales by Cashier,Kassir tomonidan eng yaxshi sotuvlar
Top Supplier,Eng yaxshi yetkazib beruvchi
Top Suppliers by Spend,Sarflar bo'yicha eng yaxshi etkazib beruvchilar
Top Tables,Yuqori jadvallar
Top Tax Head,Yuqori soliq boshlig'i
Top Up Amount,To'ldirish miqdori
Top Up Card,Kartani to'ldirish
Top Up Mode,To'ldirish rejimi
Top Variant,Yuqori variant
Total,Jami
Total Amount,Jami miqdor
Total Change,Umumiy o'zgarish
Total Charges,Jami to'lovlar
Total In,Jami In
Total Invoices,Jami hisob-fakturalar
Total Items,Jami elementlar
Total Mpesa,Jami Mpesa
Total Out,Jami Chiqib ketish
Total Payments,Jami to'lovlar
Total Purchase,Jami xarid
Total Selected :,Jami tanlanganlar:
Total Size,Umumiy hajmi
Total Stock Qty,Jami zaxira miqdori
Total:,Jami:
Totals by Invoice Currency,Hisob-faktura valyutasi bo'yicha jami
Track how much cash was handed back to customers,Mijozlarga qancha naqd pul qaytarilganligini kuzatib boring
"Track recent sales, collect unpaid balances, and reopen saved work","Oxirgi sotuvlarni kuzatib boring, to'lanmagan qoldiqlarni yig'ing va saqlangan ishni qayta oching"
Transaction ID,Tranzaksiya identifikatori
Transfer,Transfer
Try a different search term or clear the cart search.,Boshqa qidiruv soʻzini sinab koʻring yoki savatdagi qidiruvni tozalang.
Try adjusting your search or filters,Qidiruv yoki filtrlarni sozlashga harakat qiling
Try another source or refresh the list.,Boshqa manbani sinab ko'ring yoki ro'yxatni yangilang.
Try changing the date range or status filter.,Sana oraligʻi yoki holat filtrini oʻzgartirib koʻring.
Type,Turi
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,Hatto asosiy sozlamalar bilan ham kameraga kirish imkoni yo‘q. Kamera ruxsati va qurilma mosligini tekshiring.
Unable to add offer item {0}. Please refresh and try again.,"{0} taklif elementini qoʻshib boʻlmadi. Iltimos, yangilang va qayta urinib ko'ring."
Unable to add offer item. Please refresh and try again.,"Taklif elementini qo‘shib bo‘lmadi. Iltimos, yangilang va qayta urinib ko'ring."
Unable to add scanned item.,Skanerlangan elementni qo‘shib bo‘lmadi.
Unable to create purchase order,Xarid buyurtmasini yaratib bo‘lmadi
Unable to delete draft invoice,Hisob-faktura qoralamasini o‘chirib bo‘lmadi
Unable to fetch documents,Hujjatlarni olib bo‘lmadi
Unable to fetch draft orders,Buyurtma qoralamalarini olib bo‘lmadi
Unable to fetch invoice history,Hisob-fakturalar tarixini olib bo‘lmadi
Unable to fetch M-Pesa payments,M-Pesa toʻlovlarini olib boʻlmadi
Unable to fetch sales orders,Savdo buyurtmalarini olib bo'lmadi
Unable to fetch unpaid invoices,Toʻlanmagan invoyslarni olib boʻlmadi
Unable to generate scale barcode,Shtrix-kodni yaratish imkonsiz
Unable to issue gift card.,Sovg‘a kartasini chiqarish imkonsiz.
Unable to load cashier PIN status.,Kassir PIN-kod holatini yuklab bo‘lmadi.
Unable to load document,Hujjatni yuklab bo‘lmadi
Unable to load draft invoice,Hisob-faktura loyihasini yuklab bo‘lmadi
Unable to load gift card balance.,Sovg‘a kartasi balansini yuklab bo‘lmadi.
Unable to load invoice details,Hisob-faktura tafsilotlarini yuklab bo‘lmadi
Unable to load parked order,Toʻxtatilgan buyurtmani yuklab boʻlmadi
Unable to load the selected sales order,Tanlangan savdo buyurtmasini yuklab bo‘lmadi
Unable to prepare document,Hujjatni tayyorlash imkonsiz
Unable to prepare return invoice,Qaytarilish fakturasini tayyorlash imkonsiz
Unable to print draft invoice,Hisob-faktura qoralamasini chop qilib bo‘lmadi
Unable to print submitted invoice,Taqdim etilgan hisob-fakturani chop etib bo‘lmadi
Unable to process document action,Hujjat harakatini qayta ishlash imkonsiz
Unable to repair change allocation,Oʻzgarishlar taqsimotini tuzatib boʻlmadi
Unable to save cashier PIN.,Kassir PIN-kodini saqlab bo'lmadi.
Unable to save the rate to the backend price list,Narxlar roʻyxatiga tarifni saqlab boʻlmadi
Unable to submit invoice,Hisob-fakturani yuborib bo‘lmadi
Unable to submit the selected payment,Tanlangan toʻlovni yuborib boʻlmadi
Unable to top up gift card.,Sovg‘a kartasini to‘ldirib bo‘lmadi.
Unable to verify cashier PIN.,Kassir PIN-kodini tasdiqlab bo‘lmadi.
Unallocated,Taqsimlanmagan
Unallocated:,Taqsimlanmagan:
Unavailable,Mavjud emas
Unknown,Noma'lum
Unknown Item,Noma'lum element
Unknown Warehouse,Noma'lum ombor
Unlock POS,POS qulfini ochish
Unpaid,To'lanmagan
"Unselected payments stay unallocated first, then auto reconcile after submit.","Tanlanmagan toʻlovlar avval taqsimlanmagan boʻlib qoladi, soʻngra yuborilgandan soʻng avtomatik tarzda solishtiriladi."
UOM,UOM
UOM not found,UOM topilmadi
Update available,Yangilanish mavjud
Update Customer,Xaridorni yangilash
Update PIN,PIN-kodni yangilang
Update Price List Rate,Narxlar roʻyxatini yangilash
Updated,Yangilangan
Updates and app info that stay out of the cashier flow.,Kassir oqimidan chetda qoladigan yangilanishlar va ilova ma'lumotlari.
Updates automatically,Avtomatik yangilanadi
Usage,Foydalanish
Usage Stats,Foydalanish statistikasi
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Kassirni almashtirish va terminal qulfini ochish uchun 4 dan 8 gacha bo'lgan PIN-koddan foydalaning.
Use Cashier,Kassirdan foydalaning
Use date range to search for older invoices,Eski hisob-fakturalarni qidirish uchun sana oralig'idan foydalaning
"Use one field for manual code entry, barcode scans, or QR scans.","Qo'lda kod kiritish, shtrix-kod skanerlash yoki QR skanerlash uchun bitta maydondan foydalaning."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","POS-dan chiqmasdan balansni tekshirish, yangi emissiya va to'ldirish uchun bitta ish jarayonidan foydalaning."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Keshlangan zaruriy maʼlumotlarni yangilash, qayta qurish yoki diagnostika tekshiruvi kerak boʻlganda ushbu boʻlimdan foydalaning."
Use Western numerals,G'arbiy raqamlardan foydalaning
Used:,Ishlatilgan:
Using basic camera settings due to device limitations,Qurilma cheklovlari tufayli asosiy kamera sozlamalaridan foydalanish
Using cached customer balance,Keshlangan mijoz balansidan foydalanish
Valid until,gacha amal qiladi
Variance %,Farq %
Variants,Variantlar
Variant-wise,Variant bo'yicha
Verify closing amounts for each payment method,Har bir toʻlov usuli uchun yopilish summalarini tekshiring
View all,Hammasini ko'rish
View app information and current build details,Ilova ma'lumotlarini va joriy tuzilish tafsilotlarini ko'ring
View Data Diagnostics,Ma'lumotlar diagnostikasini ko'rish
View Details,Tafsilotlarni ko'rish
View invoice details,Hisob-faktura tafsilotlarini ko'rish
View notifications,Bildirishnomalarni ko'rish
View offline invoices,Oflayn hisob-fakturalarni ko'rish
View restricted POS insights,Cheklangan POS maʼlumotlarini koʻrish
Void Amount,Bekor miqdori
Void Count,Bo'sh soni
Voids,Bo'shliqlar
Waiting for cart items,Savatga buyumlar kutilmoqda
Waiting for payment...,Toʻlov kutilmoqda...
Walk-in Customer,Kirish mijozi
Warehouse,Ombor
Warning: High cache usage may affect performance.,Ogohlantirish: Yuqori keshdan foydalanish ishlashga ta'sir qilishi mumkin.
Warning: High lag may indicate heavy processing or browser slowness.,Ogohlantirish: Yuqori kechikish og'ir ishlov berish yoki brauzer sekinligini ko'rsatishi mumkin.
Week ?,Hafta?
Week-wise,Hafta bo'yicha
Weight (g),Og'irligi (g)
Weight (grams),Og'irligi (gramm)
We'll let you know if an invoice fails to submit,"Hisob-faktura topshirilmasa, sizga xabar beramiz"
Workflow,Ish jarayoni
Write off amount cannot exceed the POS profile maximum of {0},Hisobdan chiqarish summasi POS profilining maksimal qiymatidan oshmasligi kerak: {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,Hisobdan chiqarish miqdori ruxsat etilgan chegaradan oshib ketdi ({0}). Qolgan miqdor uchun toʻlovni qoʻshing.
Yes,Ha
"Yes, Cancel sale","Ha, sotuvni bekor qilish"
"Yes, Close","Ha, yoping"
You are not allowed to print draft invoices,Hisob-faktura qoralamalarini chop etishga ruxsat berilmagan
You are offline. Add Payment will work again when the connection is restored.,Siz oflaynsiz. Toʻlovni qoʻshish ulanish tiklangandan keyin yana ishlaydi.
You have no notifications right now,Sizda hozir hech qanday bildirishnoma yo‘q
Your Cart,Sizning savatingiz
