POS Awesome,POS په زړه پوری
Remove item,توکي لرې کړئ
Remove Offer,وړاندیز لرې کړئ
Reorder / Purchase Suggestions,بیا ترتیب / پیرود وړاندیزونه
Repair Candidate,د ترمیم کاندید
Repair Change Allocation,د ترمیم د بدلون تخصیص
Repair requires an online connection,ترمیم آنلاین پیوستون ته اړتیا لري
Repaired,ترمیم شوی
Repairing change allocation,د بدلون تخصیص ترمیم کول
Repeat Customers,پیرودونکي تکرار کړئ
Repeat Rate,د تکرار نرخ
Request,غوښتنه
Request ID: {0},د غوښتنې ID: {0}
Request Payment,د تادیې غوښتنه وکړئ
Requested route: {0},غوښتنه شوې لار: {0}
Required columns cannot be hidden,اړین کالمونه نشي پټیدلی
Reset,بیا تنظیم کړئ
Reset item name,د توکي نوم بیا تنظیم کړئ
Reset to Default,ډیفالټ ته بیا تنظیم کړئ
Resource Health,سرچینې روغتیا
Restricted,بندیز
Restricted operational controls for supervisors only.,یوازې د څارونکو لپاره محدود عملیاتي کنټرولونه.
Retry,بیا هڅه وکړئ
Retry route,د لارې بیا هڅه وکړئ
Return,بیرته راګرځي
Return Amount,د بیرته راستنیدو مقدار
Return Count,د راستنیدو شمیره
Return items must have negative quantities,بیرته راستنیدونکي توکي باید منفي مقدار ولري
Return total must be negative,د بیرته راستنیدنې مجموعه باید منفي وي
Return Valid Until,بیرته راستنیدنه تر هغه پورې اعتبار لري
Return window passed,د راستنیدو کړکۍ تیره شوه
Return without Invoice,د رسید پرته بیرته راستنیدل
Returns,بیرته راګرځي
Returns / Voids / Discounts,بیرته راګرځیدل / باطل / تخفیف
Returns by Currency,د اسعارو له مخې بیرته راګرځي
Revenue,عواید
Review shift totals before submitting the closing entry,د تړلو ننوتلو وړاندې کولو دمخه د شفټ مجموعي بیاکتنه وکړئ
Round Off,راؤنڈ آف
Rows,قطارونه
Rows:,قطارونه:
Rule,قاعده
Sale,خرڅلاو
Sales,خرڅلاو
Sales Order {0} is Submitted,د پلور امر {0} سپارل شوی
Sales Person and Print,د خرڅلاو شخص او چاپ
Sales Person not found,د خرڅلاو سړی ونه موندل شو
Sales processed,پلور پروسس شوی
Sales Return,د پلور بیرته راګرځیدل
Sales Trend Report,د پلور رجحان راپور
Save,خوندي کړئ
Save & Clear,خوندي او پاک کړئ
Save as POS Profile Default,د POS پروفایل ډیفالټ په توګه خوندي کړئ
Save Settings,ترتیبات خوندي کړئ
Save the selected printer as the POS Profile default so it shows automatically on this setup.,ټاکل شوی پرنټر د POS پروفایل ډیفالټ په توګه خوندي کړئ نو دا په اتوماتيک ډول پدې ترتیب کې ښیې.
Saved as draft because: {0},د مسودې په توګه خوندي شوی ځکه چې: {0}
Saving...,خوندي کول...
Scale barcode detected. Quantity here is the number of labels to print.,د پیمانه بارکوډ کشف شو. مقدار دلته د چاپ لپاره د لیبلونو شمیر دی.
Scale barcode settings are not configured. Using item barcode only.,د پیمانه بارکوډ ترتیبات ندي تنظیم شوي. یوازې د توکي بارکوډ کارول.
Scale template barcode is missing for this item/UOM. Using item barcode only.,د دې توکی/UOM لپاره د سکیل ټیمپلیټ بار کوډ ورک دی. یوازې د توکي بارکوډ کارول.
Scan an existing card and top it up without leaving the payment flow.,موجوده کارت سکین کړئ او د تادیې جریان پریښودلو پرته یې پورته کړئ.
Scan Error,د سکین تېروتنه
Scan or enter a gift card code to check balance or redeem.,د بیلانس چیک کولو یا خلاصولو لپاره د ډالۍ کارت کوډ سکین یا دننه کړئ.
Scan or paste the card code below.,لاندې د کارت کوډ سکین یا پیسټ کړئ.
Scan QR Code/Barcode,د QR کوډ/بارکوډ سکین کړئ
Scan with camera,د کیمرې سره سکین کړئ
Scan-First Flow,سکین - لومړی جریان
Scanned Code:,سکین شوی کوډ:
Scanning for: {0},د دې لپاره سکین کول: {0}
Scanning items,د توکو سکین کول
Scan-Ready,سکین ته چمتو دی
Scope,ساحه
Scope: All Profiles,ساحه: ټول پروفایلونه
Scope: Current Profile,ساحه: اوسنی پروفایل
Scope: Specific Profile,ساحه: ځانګړی پروفایل
Search,لټون
Search Account,د حساب لټون
Search an invoice and continue the return flow without extra steps.,انوائس وپلټئ او د اضافي ګامونو پرته د راستنیدو جریان ته دوام ورکړئ.
Search customer,د پیرودونکي لټون
Search invoices or customers,رسیدونه یا پیرودونکي وپلټئ
Search item,توکي وپلټئ
Search item / code,لټون توکي / کوډ
Search items or barcode,توکي او بارکوډ وپلټئ
Search Mpesa Payments,د Mpesa تادیاتو لټون
Search return invoices or customers,د بیرته راستنیدو رسیدونه یا پیرودونکي وپلټئ
Search supplier,د عرضه کوونکي لټون
Search unpaid invoices or customers,د نه تادیه شوي رسیدونو یا پیرودونکو لټون وکړئ
Secure context (HTTPS or localhost) is required for camera access.,د کیمرې لاسرسي لپاره خوندي شرایط (HTTPS یا لوکل هوسټ) ته اړتیا ده.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,د کیمرې لاسرسي لپاره خوندي شرایط (HTTPS) اړین دي. مهرباني وکړئ کیمرې ته د لاسرسي لپاره HTTPS وکاروئ.
Select,وټاکئ
Select a cashier first.,لومړی یو کیشیر غوره کړئ.
Select a customer,یو پیرودونکی وټاکئ
Select a customer to use coupon,د کوپن کارولو لپاره یو پیرودونکی وټاکئ
Select a printer to use QZ silent printing.,د QZ خاموش چاپ کولو کارولو لپاره یو پرنټر غوره کړئ.
Select Batch,بیچ غوره کړئ
Select Columns to Display,د ښودلو لپاره کالمونه غوره کړئ
Select items to sell,د پلور لپاره توکي غوره کړئ
Select Payment,تادیه غوره کړئ
Select Payment Account,د تادیې حساب غوره کړئ
Select printer,پرنټر غوره کړئ
Select Return Invoice,د راستنیدو رسید وټاکئ
Select S.O,S.O وټاکئ
Select Sales Orders,د پلور امرونه غوره کړئ
Select the cashier who is taking over this terminal.,کیشیر غوره کړئ څوک چې دا ټرمینل اخلي.
Selected,ټاکل شوی
Selected movement type is not allowed by POS Profile.,د POS پروفایل لخوا ټاکل شوي حرکت ډول اجازه نلري.
Selected Payments,ټاکل شوي تادیات
Sensitive actions kept away from quick taps.,حساس کړنې د چټکو نلونو څخه لرې ساتل.
Serial,سریال
Serial Numbers,سیریل نمبرونه
Server CPU Usage:,د سرور CPU کارول:
Server Health,د سرور روغتیا
Server Memory Usage:,د سرور حافظې کارول:
Server Metrics,د سرور میټریکونه
Server Uptime:,د سرور وخت:
Service Charges,د خدماتو لګښتونه
Session,غونډه
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,د هر کیشیر PIN د کارونکي فورمه کې تنظیم کړئ او د POS پروفایل کارونکي کې ګمارل شوي ټرمینل غړي وساتئ.
Settings,ترتیبات
Settings in this section update the POS workspace without changing the current route.,پدې برخه کې ترتیبات د اوسني لارې بدلولو پرته د POS کاري ځای تازه کوي.
Setup complete!,تنظیم بشپړ شو!
Share,شریکول
Shared terminal,شریک ټرمینل
Shift Closed Snapshot,تړل شوی سنیپ شاټ شفټ کړئ
Shift Overview,شفټ کتنه
Show,ښودل
Show cart on customer-facing screen,د پیرودونکي په مخ سکرین کې کارټ وښایاست
Show last invoice rate,د وروستي رسید نرخ وښایاست
Show rate info,د نرخ معلومات ښکاره کړئ
Show Repair Candidates,د ترمیم کاندیدان وښایاست
Show search tools,د لټون وسیلې وښایاست
Show the active cart on a customer-facing screen,فعال کارټ د پیرودونکي مخ په سکرین کې وښایاست
Showing {0}-{1} of {2},د {2} څخه {0}-{1} ښودل
Showing 0 of 0,د 0 څخه 0 ښودل
Shows the distribution of invoices per currency,په هر اسعارو د رسیدونو ویش ښیې
Sign out of the current POS session,د اوسني POS ناستې څخه لاسلیک وکړئ
Size:,اندازه:
Skipped Payments,پریښودل شوي تادیات
Skipping items without barcodes,د بارکوډونو پرته د توکو پریښودل
Slow Moving,ورو حرکت
Slow Moving Items,ورو خوځنده توکي
Slow Queries:,ورو پوښتنې:
Sold,پلورل شوي
Source,سرچینه
Source Cash Account (Optional Override),د منبع نغدي حساب (اختیاري زیرمه)
Source Ex. Rate:,سرچینه Ex. نرخ:
Source Rate:,د منبع نرخ:
Specific Profile,ځانګړی پروفایل
Split Invoices,د رسیدو ویش
Staff / Cashier Performance Report,د کارمندانو / کیشیر د فعالیت راپور
Status,حالت
Stock,ذخیره
Stock Information,د ذخیره کولو معلومات
Stock is lower than requested,سټاک د غوښتل شوي څخه ټیټ دی
Stock is lower than requested:\n{0},سټاک د غوښتل شوي څخه ټیټ دی:\n{0}
Stock Movement Report,د سټاک حرکت راپور
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,د ذخیره تازه کول: {0} لري {1} شتون لري. د {2} اضافه کول به سټاک له صفر څخه ښکته راولي.
Submit,سپارل
Submit & Print,سپارل او چاپ کول
Submit Deposit,جمع جمع کول
Submit Expense,لګښت وسپاري
Submitted,سپارل شوی
Submitted Cash Movements,سپارل شوي نغدي حرکتونه
Submitted entries,سپارل شوي ننوتل
Successfully scanned:,په بریالیتوب سره سکین شوی:
Suggested,وړاندیز شوی
Suggested Qty,وړاندیز شوی مقدار
Supervisor Access,څارونکي لاسرسی
Supervisor permissions unlock issuance and reloads,د نظارت کونکي اجازې خلاصول او بیا بار کول
Supervisor Tools,د څارونکي وسیلې
Supplier,عرضه کوونکی
Supplier and dates are required.,عرضه کوونکي او نیټې اړین دي.
Supplier Invoices,د عرضه کوونکي رسیدونه
Supplier is required.,عرضه کوونکي ته اړتیا ده.
Supplier name is required,د عرضه کوونکي نوم اړین دی
Supplier Payments,د عرضه کوونکي تادیات
Supplier Purchase Summary,د عرضه کوونکي پیرود لنډیز
Suppliers,عرضه کوونکي
Suppliers not found,عرضه کوونکي ونه موندل شول
Switch Camera,کیمره بدل کړئ
Switch Cashier,کیشیر بدل کړئ
Switch the POS appearance theme,د POS ظاهري موضوع بدل کړئ
Switched to:,بدل شو:
Sync All Invoices,ټول رسیدونه همغږي کړئ
Sync Offline Cash Movements ({0}),د آف لائن نغدو حرکتونو همغږي کول ({0})
Sync Offline Sales,د آفلاین خرڅلاو همغږي کړئ
Synced {0} offline cash movement(s).,همغږي شوي {0} آفلاین نغدي حرکتونه.
Syncing items in background,په شاليد کې توکي همغږي کول
System / Diagnostics,سیسټم / تشخیص
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.",د سیسټم کړنې د ټیټ فریکونسۍ ساتنې کنټرولونه دي لکه د ایپ معلومات ، ملاتړ تشخیص ، او د ناستې کنټرولونه.
System Information,د سیسټم معلومات
System Status,د سیسټم حالت
Tables:,جدولونه:
Tap the button below to redeem a gift card during checkout.,د چیک آوټ پرمهال د ډالۍ کارت بیرته ترلاسه کولو لپاره لاندې تڼۍ باندې کلیک وکړئ.
Target,هدف
Target Ex. Rate:,هدف Ex. نرخ:
Target Rate:,د هدف کچه:
Tax,مالیه
Tax / Charges Report,د مالیاتو / لګښتونو راپور
Tax Heads,د مالیاتو مشران
Taxable Amount,د مالیې وړ مقدار
Tendered,داوطلبۍ
Terminal,ترمینل
Terminal & Devices,ټرمینل او وسایل
Terminal locked,ټرمینل تړل شوی
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.",د ټرمینل وسیلې د دې چیک آوټ سټیشن، د پیرودونکي سره مخامخ نندارې، او راتلونکي پرنټر/آلې کنټرول اغیزه کوي.
Territory not found,سیمه ونه موندل شوه
The amount paid is not complete,تادیه شوی مقدار بشپړ ندی
The app stores data locally for offline use. This is called cache.,ایپ د آفلاین کارونې لپاره په محلي توګه ډاټا ذخیره کوي. دې ته کیچ ویل کیږي.
The invoice stayed in draft. Please review and submit it manually.,رسید په مسوده کې پاتې شو. مهرباني وکړئ بیاکتنه وکړئ او په لاسي ډول یې وسپارئ.
The maximum discount allowed is,اعظمي تخفیف اجازه لري
The quantity for {0} has been adjusted to the maximum available stock.,د {0} لپاره مقدار د اعظمي موجود ذخیره سره تنظیم شوی.
The system could not retrieve the item details. Please try again.,سیسټم نشي کولی د توکي توضیحات ترلاسه کړي. مهرباني وکړئ بیا هڅه وکړئ.
These invoices will be synced when connection is restored,دا رسیدونه به همغږي شي کله چې پیوستون بحال شي
This action now opens inside the settings workspace.,دا عمل اوس د تنظیماتو کاري ځای کې خلاصیږي.
This coupon already used !,دا کوپن لا دمخه کارول شوی!
This invoice does not need change-allocation repair,دا رسید د بدلون تخصیص ترمیم ته اړتیا نلري
This invoice is already repaired,دا رسید لا دمخه ترمیم شوی
This is an item template. Please choose a variant.,دا د توکي کينډۍ ده. مهرباني وکړئ یو ډول انتخاب کړئ.
this item,دا توکي
This POS page could not be opened offline because its code was not cached on this terminal yet.,دا POS پاڼه په آفلاین نشي پرانیستل کیدی ځکه چې د دې کوډ تر اوسه په دې ټرمینل کې ساتل شوی نه و.
This Serial Number {0} has already been added!,دا سریال نمبر {0} لا دمخه اضافه شوی!
Threshold,تخته
Time,وخت
Tip: Clear cache regularly to free up space and keep the app fast.,لارښوونه: د ځای خالي کولو او اپلیکیشن ګړندی ساتلو لپاره په منظم ډول کیچ پاک کړئ.
Tip: Close unused tabs or apps to reduce lag.,لارښوونه: د ځنډ کمولو لپاره نه کارول شوي ټبونه یا ایپس بند کړئ.
Tip: Monitor slow queries and table size for optimal performance.,لارښوونه: د غوره فعالیت لپاره ورو پوښتنو او د میز اندازه وڅارئ.
To Be Paid,تادیه کول
To Date,تر نیټې پورې
Today,نن
Today Profit,نن ورځ ګټه
Today Sales,نن ورځ خرڅلاو
Toggle navigation drawer,د نیویګیشن دراز ټګل کړئ
Toggle Theme,موضوع بدلول
Tools,وسیلې
Tools for customer-facing screens and terminal-specific actions.,د پیرودونکي سره مخ سکرینونو او د ټرمینل ځانګړي کړنو لپاره وسیلې.
Top Brand,غوره برانډ
Top Category,غوره کټګوري
Top Charge Head,د لوړ چارج سر
Top Customers,غوره پیرودونکي
Top Discount,لوړ تخفیف
Top Items by Location,د موقعیت له مخې غوره توکي
Top Margin,پورته مارجن
Top Pending,پورته پاتې
Top Profit Item,د لوړ ګټې توکي
Top Return Items,د لوړ بیرته راستنیدونکي توکي
Top Sales by Cashier,د کیشیر لخوا غوره پلور
Top Supplier,لوړ عرضه کونکی
Top Suppliers by Spend,د لګښت له مخې غوره عرضه کوونکي
Top Tables,پورته میزونه
Top Tax Head,د مالیاتو لوړ سر
Top Up Amount,پورته اندازه
Top Up Card,ټاپ اپ کارت
Top Up Mode,پورته پورته حالت
Top Variant,د لوړ ډول
Total,ټول
Total Amount,ټول رقم
Total Change,ټول بدلون
Total Charges,ټول لګښتونه
Total In,په ټوله کې
Total Invoices,ټول رسیدونه
Total Items,ټول توکي
Total Mpesa,ټول Mpesa
Total Out,ټولټال بهر
Total Payments,ټول تادیات
Total Purchase,ټول پیرود
Total Selected :,ټول ټاکل شوي:
Total Size,ټوله اندازه
Total Stock Qty,د ټولو سټاک مقدار
Total:,ټول:
Totals by Invoice Currency,د انوائس اسعارو مجموعه
Track how much cash was handed back to customers,تعقیب کړئ چې پیرودونکو ته څومره پیسې بیرته سپارل شوي
"Track recent sales, collect unpaid balances, and reopen saved work",وروستي پلور تعقیب کړئ ، نه تادیه شوي بیلانسونه راټول کړئ ، او خوندي شوي کار بیرته خلاص کړئ
Transaction ID,د راکړې ورکړې ID
Transfer,لیږد
Try a different search term or clear the cart search.,د لټون مختلف اصطلاح هڅه وکړئ یا د کارټ لټون پاک کړئ.
Try adjusting your search or filters,هڅه وکړئ خپل لټون یا فلټرونه تنظیم کړئ
Try another source or refresh the list.,بله سرچینه هڅه وکړئ یا لیست تازه کړئ.
Try changing the date range or status filter.,د نیټې حد یا د وضعیت فلټر بدلولو هڅه وکړئ.
Type,ډول
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,حتی د لومړني ترتیباتو سره کیمرې ته لاسرسی نلري. مهرباني وکړئ د خپلې کیمرې اجازې او د وسیلې مطابقت وګورئ.
Unable to add offer item {0}. Please refresh and try again.,د وړاندیز توکي {0} اضافه کولو توان نلري. مهرباني وکړئ تازه کړئ او بیا هڅه وکړئ.
Unable to add offer item. Please refresh and try again.,د وړاندیز توکي اضافه کولو توان نلري. مهرباني وکړئ تازه کړئ او بیا هڅه وکړئ.
Unable to add scanned item.,د سکین شوي توکي اضافه کولو توان نلري.
Unable to create purchase order,د پیرود امر رامینځته کولو توان نلري
Unable to delete draft invoice,د مسودې رسید حذف کولو توان نلري
Unable to fetch documents,د اسنادو ترلاسه کولو توان نلري
Unable to fetch draft orders,د مسودې امرونو ترلاسه کولو توان نلري
Unable to fetch invoice history,د رسید تاریخ ترلاسه کولو توان نلري
Unable to fetch M-Pesa payments,د M-Pesa تادیاتو ترلاسه کولو توان نلري
Unable to fetch sales orders,د پلور امرونو ترلاسه کولو توان نلري
Unable to fetch unpaid invoices,د نه تادیه شوي رسیدونو ترلاسه کولو توان نلري
Unable to generate scale barcode,د پیمانه بارکوډ پیدا کولو توان نلري
Unable to issue gift card.,د ډالۍ کارت جاري کولو توان نلري.
Unable to load cashier PIN status.,د کیشیر PIN حالت پورته کولو توان نلري.
Unable to load document,د سند د پورته کولو توان نلري
Unable to load draft invoice,د مسودې رسید پورته کولو توان نلري
Unable to load gift card balance.,د ډالۍ کارت بیلانس پورته کولو توان نلري.
Unable to load invoice details,د رسید توضیحاتو بارولو توان نلري
Unable to load parked order,د پارک شوي امر پورته کولو توان نلري
Unable to load the selected sales order,د ټاکل شوي پلور امر پورته کولو توان نلري
Unable to prepare document,د سند چمتو کولو توان نلري
Unable to prepare return invoice,د بیرته راستنیدو رسید چمتو کولو توان نلري
Unable to print draft invoice,د مسودې رسید چاپ کولو توان نلري
Unable to print submitted invoice,د سپارل شوي رسید چاپ کولو توان نلري
Unable to process document action,د اسنادو عمل پروسس کولو توان نلري
Unable to repair change allocation,د بدلون تخصیص ترمیم کولو توان نلري
Unable to save cashier PIN.,د کیشیر PIN خوندي کولو توان نلري.
Unable to save the rate to the backend price list,د شاته قیمت لیست کې نرخ خوندي کولو توان نلري
Unable to submit invoice,د رسید سپارلو توان نلري
Unable to submit the selected payment,د ټاکل شوي تادیې سپارلو توان نلري
Unable to top up gift card.,د ډالۍ کارت پورته کولو توان نلري.
Unable to verify cashier PIN.,د کیشیر PIN تصدیق کولو توان نلري.
Unallocated,نه تخصیص شوی
Unallocated:,نه تخصیص شوی:
Unavailable,نه شته
Unknown,نامعلوم
Unknown Item,نامعلوم توکي
Unknown Warehouse,نامعلوم ګودام
Unlock POS,POS خلاص کړئ
Unpaid,بې معاشه
"Unselected payments stay unallocated first, then auto reconcile after submit.",غیر انتخاب شوي تادیات لومړی غیر تخصیص پاتې کیږي ، بیا د سپارلو وروسته پخپله پخلا کیږي.
UOM,UOM
UOM not found,UOM ونه موندل شو
Update available,اوسمهال شتون لري
Update Customer,د پیرودونکي تازه کول
Update PIN,PIN تازه کړئ
Update Price List Rate,د نرخ لیست تازه کول
Updated,تازه شوی
Updates and app info that stay out of the cashier flow.,تازه معلومات او د اپلیکیشن معلومات چې د کیشیر جریان څخه بهر پاتې کیږي.
Updates automatically,په اوتومات ډول تازه کیږي
Usage,کارول
Usage Stats,د کارولو احصایې
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,د کیشیر بدلولو او ترمینل انلاک کولو لپاره له 4 څخه تر 8 عددي PIN وکاروئ.
Use Cashier,کیشیر وکاروئ
Use date range to search for older invoices,د زړو رسیدونو لټون لپاره د نیټې حد وکاروئ
"Use one field for manual code entry, barcode scans, or QR scans.",د لاسي کوډ داخلولو، بارکوډ سکینونو، یا QR سکینونو لپاره یوه ساحه وکاروئ.
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.",د POS پریښودو پرته د توازن چکونو، نوي جاري کولو، او ټاپ اپونو لپاره یو کاري فلو وکاروئ.
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.",دا برخه وکاروئ کله چې زیرمه شوي لومړني معلومات تازه کولو، بیا جوړونې، یا تشخیص بیاکتنې ته اړتیا ولري.
Use Western numerals,غربي شمېرې وکاروئ
Used:,کارول شوي:
Using basic camera settings due to device limitations,د وسیلې محدودیتونو له امله د لومړني کیمرې تنظیماتو کارول
Using cached customer balance,د ذخیره شوي پیرودونکي بیلانس کارول
Valid until,تر هغه پورې اعتبار لري
Variance %,توپیر٪
Variants,متغیرات
Variant-wise,د ډول ډول
Verify closing amounts for each payment method,د هرې تادیې میتود لپاره د بند مقدار تایید کړئ
View all,ټول وګورئ
View app information and current build details,د اپلیکیشن معلومات او د اوسني جوړونې توضیحات وګورئ
View Data Diagnostics,د ډیټا تشخیص وګورئ
View Details,تفصيلات وګورئ
View invoice details,د رسید توضیحات وګورئ
View notifications,خبرتیاوې وګورئ
View offline invoices,آفلاین رسیدونه وګورئ
View restricted POS insights,د POS محدودیتونه وګورئ
Void Amount,د باطل مقدار
Void Count,باطل شمیرل
Voids,voids
Waiting for cart items,د کارټ توکو ته انتظار کول
Waiting for payment...,د تادیې په انتظار...
Walk-in Customer,د پیرودونکی پیرود
Warehouse,ګودام
Warning: High cache usage may affect performance.,خبرداری: د لوړې زیرمې کارول ممکن فعالیت اغیزه وکړي.
Warning: High lag may indicate heavy processing or browser slowness.,خبرتیا: لوړ ځنډ ممکن درانه پروسس یا د براوزر سستوالی په ګوته کړي.
Week ?,اونۍ؟
Week-wise,د هفتې وار
Weight (g),وزن (g)
Weight (grams),وزن (ګرام)
We'll let you know if an invoice fails to submit,موږ به تاسو ته خبر درکړو که چیرې رسید په سپارلو کې پاتې راشي
Workflow,کاري جریان
Write off amount cannot exceed the POS profile maximum of {0},د لیکلو مقدار نشي کولی د POS پروفایل اعظمي حد څخه زیات شي {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,د لیکلو مقدار د اجازه ورکړل شوي حد څخه ډیر دی ({0}). مهرباني وکړئ د پاتې پیسو لپاره تادیه اضافه کړئ.
Yes,هو
"Yes, Cancel sale",هو، پلور لغوه کړئ
"Yes, Close",هو، تړل
You are not allowed to print draft invoices,تاسو اجازه نلرئ چې د مسودې رسیدونه چاپ کړئ
You are offline. Add Payment will work again when the connection is restored.,تاسو آفلاین یاست. د تادیې اضافه کول به بیا کار وکړي کله چې پیوستون بحال شي.
You have no notifications right now,تاسو اوس هیڅ خبرتیا نلرئ
Your Cart,ستاسو کارټ
