POS Awesome,PDV incrível
Top Items by Location,Principais itens por local
Top Margin,Margem superior
Top Pending,Principais pendentes
Top Profit Item,Item de maior lucro
Top Return Items,Principais itens devolvidos
Top Sales by Cashier,Principais vendas por caixa
Top Supplier,Fornecedor principal
Top Suppliers by Spend,Principais fornecedores por gastos
Top Tables,Tabelas principais
Top Tax Head,Chefe Fiscal Superior
Top Up Amount,Valor de recarga
Top Up Card,Cartão de recarga
Top Up Mode,Modo de recarga
Top Variant,Variante principal
Total,Total
Total Amount,Valor total
Total Change,Mudança total
Total Charges,Cobranças totais
Total In,Entrada total
Total Invoices,Total de faturas
Total Items,Total de itens
Total Mpesa,Peso total
Total Out,Total de saída
Total Payments,Total de pagamentos
Total Purchase,Compra total
Total Selected :,Total Selecionado:
Total Size,Tamanho total
Total Stock Qty,Quantidade total de estoque
Total:,Total:
Totals by Invoice Currency,Totais por moeda da fatura
Track how much cash was handed back to customers,Acompanhe quanto dinheiro foi devolvido aos clientes
"Track recent sales, collect unpaid balances, and reopen saved work","Rastreie vendas recentes, colete saldos não pagos e reabra trabalhos salvos"
Transaction ID,ID da transação
Transfer,Transferência
Try a different search term or clear the cart search.,Experimente um termo de pesquisa diferente ou limpe a pesquisa do carrinho.
Try adjusting your search or filters,Tente ajustar sua pesquisa ou filtros
Try another source or refresh the list.,Tente outra fonte ou atualize a lista.
Try changing the date range or status filter.,Tente alterar o intervalo de datas ou o filtro de status.
Type,Tipo
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,Não é possível acessar a câmera mesmo com configurações básicas. Verifique as permissões da sua câmera e a compatibilidade do dispositivo.
Unable to add offer item {0}. Please refresh and try again.,Não foi possível adicionar o item de oferta {0}. Atualize e tente novamente.
Unable to add offer item. Please refresh and try again.,Não foi possível adicionar o item da oferta. Atualize e tente novamente.
Unable to add scanned item.,Não foi possível adicionar o item digitalizado.
Unable to create purchase order,Não foi possível criar o pedido de compra
Unable to delete draft invoice,Não foi possível excluir o rascunho da fatura
Unable to fetch documents,Não foi possível buscar documentos
Unable to fetch draft orders,Não foi possível buscar rascunhos de pedidos
Unable to fetch invoice history,Não foi possível buscar o histórico de faturas
Unable to fetch M-Pesa payments,Não foi possível obter pagamentos M-Pesa
Unable to fetch sales orders,Não foi possível buscar pedidos de vendas
Unable to fetch unpaid invoices,Não foi possível buscar faturas não pagas
Unable to generate scale barcode,Não foi possível gerar o código de barras da balança
Unable to issue gift card.,Não foi possível emitir o vale-presente.
Unable to load cashier PIN status.,Não foi possível carregar o status do PIN do caixa.
Unable to load document,Não foi possível carregar o documento
Unable to load draft invoice,Não foi possível carregar o rascunho da fatura
Unable to load gift card balance.,Não foi possível carregar o saldo do vale-presente.
Unable to load invoice details,Não foi possível carregar os detalhes da fatura
Unable to load parked order,Não foi possível carregar o pedido estacionado
Unable to load the selected sales order,Não foi possível carregar o pedido de venda selecionado
Unable to prepare document,Não foi possível preparar o documento
Unable to prepare return invoice,Não foi possível preparar a fatura de devolução
Unable to print draft invoice,Não é possível imprimir o rascunho da fatura
Unable to print submitted invoice,Não foi possível imprimir a fatura enviada
Unable to process document action,Não foi possível processar a ação do documento
Unable to repair change allocation,Não foi possível reparar a alocação de alterações
Unable to save cashier PIN.,Não foi possível salvar o PIN do caixa.
Unable to save the rate to the backend price list,Não foi possível salvar a tarifa na lista de preços de back-end
Unable to submit invoice,Não foi possível enviar a fatura
Unable to submit the selected payment,Não foi possível enviar o pagamento selecionado
Unable to top up gift card.,Não foi possível recarregar o vale-presente.
Unable to verify cashier PIN.,Não foi possível verificar o PIN do caixa.
Unallocated,Não alocado
Unallocated:,Não alocado:
Unavailable,Indisponível
Unknown,Desconhecido
Unknown Item,Item desconhecido
Unknown Warehouse,Armazém Desconhecido
Unlock POS,Desbloquear PDV
Unpaid,Não pago
"Unselected payments stay unallocated first, then auto reconcile after submit.",Os pagamentos não selecionados permanecem não alocados primeiro e depois são reconciliados automaticamente após o envio.
UOM,UM
UOM not found,UDM não encontrada
Update available,Atualização disponível
Update Customer,Atualizar cliente
Update PIN,Atualizar PIN
Update Price List Rate,Atualizar taxa da lista de preços
Updated,Atualizado
Updates and app info that stay out of the cashier flow.,Atualizações e informações do app que ficam fora do fluxo de caixa.
Updates automatically,Atualizações automaticamente
Usage,Uso
Usage Stats,Estatísticas de uso
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Use um PIN de 4 a 8 dígitos para troca de caixa e desbloqueio de terminal.
Use Cashier,Usar Caixa
Use date range to search for older invoices,Use o intervalo de datas para pesquisar faturas mais antigas
"Use one field for manual code entry, barcode scans, or QR scans.","Use um campo para entrada manual de código, leitura de código de barras ou leitura QR."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Use um fluxo de trabalho para verificações de saldo, novas emissões e recargas sem sair do PDV."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Use esta seção quando os dados de pré-requisito armazenados em cache precisarem de atualização, reconstrução ou revisão de diagnóstico."
Use Western numerals,Use algarismos ocidentais
Used:,Usado:
Using basic camera settings due to device limitations,Usando configurações básicas da câmera devido a limitações do dispositivo
Using cached customer balance,Usando o saldo do cliente em cache
Valid until,Válido até
Variance %,% de variação
Variants,Variantes
Variant-wise,Em termos de variante
Verify closing amounts for each payment method,Verifique os valores de fechamento de cada forma de pagamento
View all,Ver tudo
View app information and current build details,Veja informações do aplicativo e detalhes da versão atual
View Data Diagnostics,Ver diagnóstico de dados
View Details,Ver detalhes
View invoice details,Ver detalhes da fatura
View notifications,Ver notificações
View offline invoices,Ver faturas off-line
View restricted POS insights,Ver insights de PDV restritos
Void Amount,Valor anulado
Void Count,Contagem de vazios
Voids,Vazios
Waiting for cart items,Aguardando itens do carrinho
Waiting for payment...,Aguardando pagamento...
Walk-in Customer,Cliente visitante
Warehouse,Armazém
Warning: High cache usage may affect performance.,Aviso: o alto uso do cache pode afetar o desempenho.
Warning: High lag may indicate heavy processing or browser slowness.,Aviso: um atraso elevado pode indicar processamento pesado ou lentidão do navegador.
Week ?,Semana ?
Week-wise,Semanalmente
Weight (g),Peso (g)
Weight (grams),Peso (gramas)
We'll let you know if an invoice fails to submit,Avisaremos você se uma fatura não for enviada
Workflow,Fluxo de trabalho
Write off amount cannot exceed the POS profile maximum of {0},O valor da baixa não pode exceder o máximo do perfil de PDV de {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,O valor da baixa excede o limite permitido ({0}). Adicione o pagamento do valor restante.
Yes,Sim
"Yes, Cancel sale","Sim, cancelar venda"
"Yes, Close","Sim, fechar"
You are not allowed to print draft invoices,Você não tem permissão para imprimir rascunhos de faturas
You are offline. Add Payment will work again when the connection is restored.,Você está off-line. Adicionar pagamento funcionará novamente quando a conexão for restaurada.
You have no notifications right now,Você não tem notificações no momento
Your Cart,Seu carrinho
