Account,الحساب
Scope,النطاق
Scope: All Profiles,النطاق: جميع الملفات الشخصية
Scope: Current Profile,النطاق: الملف الشخصي الحالي
Scope: Specific Profile,نطاق محدد
Search customer,بحث عميل
Search drafts or customers,بحث مسودات أو عملاء
Search invoices or customers,بحث فواتير أو عملاء
Search item,بحث صنف
Search item / code,بحث صنف/كود
Search items or barcode,بحث أصناف أو باركود
Search return invoices or customers,بحث فواتير إرجاع أو عملاء
Search supplier,بحث مورد
Search unpaid invoices or customers,بحث فواتير غير مدفوعة أو عملاء
Select Batch,تحديد الدفعة
Select a printer to use QZ silent printing.,حدد طابعة لاستخدام طباعة QZ الصامتة.
Select printer,تحديد الطابعة
Selected expense account is not allowed for this POS Profile.,حساب المصروفات المحدد غير مسموح به لهذا الملف الشخصي.
Selected movement type is not allowed by POS Profile.,نوع الحركة المحدد غير مسموح به في ملف نقاط البيع.
Selected source account is not allowed for this POS Profile.,حساب المصدر المحدد غير مسموح به لهذا الملف الشخصي.
Serial,تسلسلي
Server CPU Usage:,استخدام المعالج للخادم:
Server Memory Usage:,استخدام ذاكرة الخادم:
Server Uptime:,وقت تشغيل الخادم:
Service Charges,رسوم الخدمة
Share,مشاركة
Shift Closed Snapshot,لقطة الوردية المغلقة
Shift Overview,نظرة عامة على الوردية
Show cart on customer-facing screen,عرض السلة على شاشة العميل
Show last invoice rate,عرض سعر آخر فاتورة
Showing 0 of 0,عرض 0 من 0
Shows the distribution of invoices per currency,يوضح توزيع الفواتير لكل عملة
Size:,الحجم:
Skipped Payments,المدفوعات المتخطاة
Skipping items without barcodes,تخطي الأصناف بدون باركود
Slow Moving,بطيء الحركة
Slow Moving Items,أصناف بطيئة الحركة
Slow Queries:,الاستعلامات البطيئة:
Sold,تم البيع
Sorry,{0} have used this coupon before
Source,المصدر
Source Cash Account (Optional Override),حساب النقد المصدر (تجاوز اختياري)
Source account,حساب المصدر
Source account must be a Cash account.,حساب المصدر يجب أن يكون حساب نقدي.
Source account must belong to the selected company.,حساب المصدر يجب أن ينتمي للشركة المحددة.
Source account override is disabled for this POS Profile.,تجاوز حساب المصدر معطل لهذا الملف الشخصي.
Source and target accounts are required.,حسابا المصدر والهدف مطلوبان.
Source and target accounts cannot be the same for cash deposit.,لا يمكن أن يكون حسابا المصدر والهدف متماثلين لإيداع النقد.
Specific Profile,ملف شخصي محدد
Split Invoices,تقسيم الفواتير
Staff,الموظفين
Staff / Cashier Performance Report,تقرير أداء الموظفين/أمين الصندوق
Stock,المخزون
Stock Movement Report,تقرير حركة المخزون
Stock UOM is required.,وحدة قياس المخزون مطلوبة.
Submit Deposit,إرسال الإيداع
Submit Expense,إرسال المصروف
Submitted,مقدم
Submitted Cash Movements,حركات النقد المقدمة
Submitted entries,إدخالات مقدمه
Successfully scanned:,تم المسح بنجاح:
Suggested,مقترح
Suggested Qty,الكمية المقترحة
Supplier,المورد
Supplier Purchase Summary,ملخص مشتريات المورد
Supplier and dates are required.,المورد والتاريخ مطلوبان.
Supplier is required.,المورد مطلوب.
Supplier name is required,اسم المورد مطلوب
Supplier name is required.,اسم المورد مطلوب.
Supplier {0} was not found.,لم يتم العثور على المورد {0}.
Suppliers,الموردون
Suppliers not found,لم يتم العثور على موردين
Switched to:,تم التبديل إلى:
Sync All Invoices,مزامنة جميع الفواتير
Syncing offline catalog...,جارٍ مزامنة الكتالوج في وضع عدم الاتصال...
System Status,حالة النظام
Tables:,الجداول:
Target,الهدف
Target account,حساب الهدف
Target account must belong to the selected company.,حساب الهدف يجب أن ينتمي للشركة المحددة.
Tax,الضريبة
Tax / Charges Report,تقرير الضرائب/الرسوم
Tax Heads,رؤساء الضرائب
Taxable Amount,المبلغ الخاضع للضريبة
Tendered,مقدم
The amount paid is not complete,المبلغ المدفوع غير كامل
The invoice stayed in draft. Please review and submit it manually.,الفاتورة ظلت في مسودة. يرجى مراجعتها وإرسالها يدوياً.
The maximum discount allowed is,الحد الأقصى للخصم المسموح به هو
This Referral Code {0} not exists,كود الإحالة هذا {0} غير موجود
Threshold,الحد
Tip: Clear cache regularly to free up space and keep the app fast.,نصيحة: امسح ذاكرة التخزين المؤقت بانتظام لتوفير مساحة والحفاظ على سرعة التطبيق.
Tip: Close unused tabs or apps to reduce lag.,نصيحة: أغلق علامات التبويب أو التطبيقات غير المستخدمة لتقليل التأخير.
Tip: Monitor slow queries and table size for optimal performance.,نصيحة: راقب الاستعلامات البطيئة وحجم الجداول للحصول على أداء مثالي.
To Be Paid,المطلوب دفعه
To Date,حتى تاريخ
Today,اليوم
Today Profit,ربح اليوم
Today Sales,مبيعات اليوم
Toggle navigation drawer,تبديل درج التنقل
Top Brand,أفضل علامة تجارية
Top Category,أفضل فئة
Top Charge Head,أفضل رئيس رسوم
Top Customers,أفضل العملاء
Top Discount,أفضل خصم
Top Items by Location,أفضل أصناف حسب الموقع
Top Margin,أفضل هامش
Top Pending,أفضل معلق
Top Profit Item,أفضل صنف ربح
Top Return Items,أفضل أصناف مرتجعة
Top Sales by Cashier,أفضل مبيعات حسب أمين الصندوق
Top Supplier,أفضل مورد
Top Suppliers by Spend,أفضل الموردين حسب الإنفاق
Top Tax Head,أفضل رئيس ضرائب
Top Variant,أفضل متغير
Total Change,إجمالي التغيير
Total Charges,إجمالي الرسوم
Total In,الإجمالي الداخل
Total Invoices:,إجمالي الفواتير:
Total Items,إجمالي الأصناف
Total Mpesa:,إجمالي Mpesa:
Total Out,الإجمالي الخارج
Total Payments:,إجمالي المدفوعات:
Total Purchase,إجمالي الشراء
Total Selected :,الإجمالي المحدد:
Total Stock Qty,إجمالي كمية المخزون
Totals by Invoice Currency,الإجماليات حسب عملة الفاتورة
Track how much cash was handed back to customers,تتبع مقدار النقد المردود للعملاء
Track recent sales,collect unpaid balances
Trans Amount is required,المبلغ مطلوب
Transfer,تحويل
Try adjusting your search or filters,حاول تعديل بحثك أو عوامل التصفية
Try changing the date range or status filter.,حاول تغيير نطاق التاريخ أو تصفية الحالة.
Unable to add offer item. Please refresh and try again.,تعذر إضافة صنف العرض. يرجى التحديث والمحاولة مرة أخرى.
Unable to add scanned item.,تعذر إضافة الصنف الممسوح.
Unable to create Journal Entry for customer credit.,تعذر إنشاء قيد يومي لائتمان العميل.
Unable to create purchase order,تعذر إنشاء أمر الشراء
Unable to delete draft invoice,تعذر حذف الفاتورة المسودة
Unable to determine cash account for change payment entry.,تعذر تحديد حساب النقد لإدخال دفع التغيير.
Unable to determine customer receivable account for change payment entry.,تعذر تحديد حساب الذمم المدينة للعميل لإدخال دفع التغيير.
Unable to fetch M-Pesa payments,تعذر جلب مدفوعات M-Pesa
Unable to fetch draft invoices,تعذر جلب فواتير المسودة
Unable to fetch draft orders,تعذر جلب أوامر المسودة
Unable to fetch invoice history,تعذر جلب سجل الفاتورة
Unable to fetch sales orders,تعذر جلب أوامر المبيعات
Unable to fetch unpaid invoices,تعذر جلب الفواتير غير المدفوعة
Unable to generate scale barcode,تعذر إنشاء باركود الميزان
Unable to load Credit Note {0}: {1},تعذر تحميل إشعار دائن {0}: {1}
Unable to load Payment Entry {0}: {1},تعذر تحميل قيد الدفع {0}: {1}
Unable to load draft invoice,تعذر تحميل الفاتورة المسودة
Unable to load invoice details,تعذر تحميل تفاصيل الفاتورة
Unable to load the selected sales order,تعذر تحميل أمر المبيعات المحدد
Unable to prepare return invoice,تعذر إعداد فاتورة الإرجاع
Unable to print draft invoice,تعذر طباعة الفاتورة المسودة
Unable to resolve POS Opening Shift.,تعذر حل وردية فتح نقاط البيع.
Unable to resolve POS cash account from POS Profile cash mode of payment.,تعذر حل حساب النقد من طريقة دفع ملف نقاط البيع.
Unable to submit the selected payment,تعذر تقديم الدفعة المحددة
Unbranded,بدون علامة تجارية
Uncategorized,غير مصنف
Unknown,غير معروف
Unknown Item,صنف غير معروف
Unknown Warehouse,مستودع غير معروف
Unlabeled Charge,رسوم بدون تسمية
Unpaid,غير مدفوع
Update Price List Rate,تحديث سعر قائمة الأسعار
Update available,تحديث متاح
Updated,محدث
Used:,المستخدم:
User must match the selected POS Opening Shift user.,المستخدم يجب أن يتطابق مع مستخدم وردية فتح نقاط البيع المحدد.
Using basic camera settings due to device limitations,استخدام إعدادات الكاميرا الأساسية بسبب قيود الجهاز
Variance %,نسبة الانحراف
Variant-wise,حسب المتغير
Variants,المتغيرات
View Details,عرض التفاصيل
View notifications,عرض الإشعارات
View offline invoices,عرض الفواتير في وضع عدم الاتصال
Void Amount,مبلغ الإلغاء
Void Count,عدد الإلغاء
Voids,الإلغاءات
Waiting for cart items,في انتظار عناصر السلة
Waiting for payment...,في انتظار الدفع...
Walk-in Customer,عميل بدون موعد
Warning: High cache usage may affect performance.,تحذير: الاستخدام العالي للذاكرة المؤقتة قد يؤثر على الأداء.
Warning: High lag may indicate heavy processing or browser slowness.,تحذير: التأخير العالي قد يشير إلى معالجة ثقيلة أو بطء المتصفح.
Week Δ,أسبوع Δ
Week-wise,أسبوعياً
Weight (g),الوزن (جم)
Weight (grams),الوزن (جرام)
You are not allowed to access this shift.,لا يُسمح لك بالوصول إلى هذه الوردية.
You are not allowed to manage this cash movement record.,لا يُسمح لك بإدارة سجل حركة النقد هذا.
You are not allowed to print draft invoices,لا يُسمح لك بطباعة فواتير المسودة
You are not permitted to access POS Profile {0}.,لا يُسمح لك بالوصول إلى ملف نقاط البيع {0}.
You are not permitted to view dashboard data for POS Profile {0}.,لا يُسمح لك بعرض بيانات لوحة المعلومات لملف نقاط البيع {0}.
You are offline. Add Payment will work again when the connection is restored.,أنت غير متصل. إضافة الدفع ستعمل مرة أخرى عند استعادة الاتصال.
You are trying to return more quantity for item {0} than was sold.,أنت تحاول إرجاع كمية أكبر للصنف {0} مما تم بيعه.
You have no notifications right now,ليس لديك إشعارات الآن
Your Cart,سلة التسوق
actual_qty,الفعلي_الكمية
cache used,ذاكرة التخزين المؤقت مستخدمة
commits,إيداعات
days,أيام
modified_after must be a valid ISO datetime,modified_after يجب أن يكون تاريخ ISO صالحاً
sales,المبيعات
this item,هذا الصنف
{0} Coupon used are {1}. Allowed quantity is exhausted,كوبون {0} المستخدم هو {1}. الكمية المسموح بها مستنفدة
{0} is disabled for this POS Profile.,{0} معطل لملف نقاط البيع هذا.
{0} is invalid.,{0} غير صالح.
{0} must belong to company {1}.,{0} يجب أن ينتمي إلى الشركة {1}.
{0} payment(s) were skipped.,تم تخطي {0} دفعة.
{0} {1} must be submitted before creating change payment entries.,{0} {1} يجب تقديمها قبل إنشاء إدخالات دفع التغيير.
Cost Center is not set in pos profile {},مركز التكلفة غير محدد في ملف نقاط البيع {}
Month-wise,شهرياً
No dead stock items.,لا توجد أصناف مخزون ميت.
Print Purchase Invoice instead of PO,طباعة فاتورة شراء بدلاً من أمر الشراء
Recent updates about your invoices,التحديثات الأخيرة حول فواتيرك
Use Western numerals,استخدام الأرقام الغربية
Total:,الإجمالي:
Cannot Save Offline Invoice:,لا يمكن حفظ الفاتورة في وضع عدم الاتصال
Cannot Save Offline Payment:,لا يمكن حفظ الدفع في وضع عدم الاتصال
Error submitting invoice:,خطأ في إرسال الفاتورة
Switched to:,تم التبديل إلى
"Sorry, this coupon code cannot be used by this company",عذراً، لا يمكن استخدام رمز الكوبون بهذه الشركة
"Sorry, this coupon code cannot be used by this customer",عذراً، لا يمكن استخدام رمز الكوبون بهذا العميل
"Sorry, this coupon code is no longer valid",عذراً، رمز الكوبون لم يعد صالحاً
"Sorry, this coupon code not exists",عذراً، رمز الكوبون غير موجود
"Sorry, {0} have used this coupon before",عذراً، {0} استخدم هذا الكوبون من قبل
"Track recent sales, collect unpaid balances, and reopen saved work",تتبع المبيعات الأخيرة، تحصيل الأرصدة غير المدفوعة وإعادة فتح العمل المحفوظ
Credit Sale?,بيع بالائتمان؟
Write Off Difference Amount,مبلغ الفرق المرتبط
Cashback?,استرداد نقدي؟
Credit Return?,إرجاع ائتمان؟
Days until due,الأيام حتى الاستحقاق
Write Off Amount,مبلغ الكتابة
This amount will be written off on submission.,سيتم كتابة هذا المبلغ عند الإرسال.
Customer Credit Enabled,تم تفعيل رصيد العميل
Credit redemption details are shown below in this section.,تفاصيل استرداد الائتمان موضحة أدناه في هذا القسم.
Credit Return Active,الإرجاع الائتماني نشط
This return will be settled as customer credit instead of cashback.,سيتم تسوية هذا الإرجاع كائتمان العميل بدلاً من الاسترداد النقدي.
Cashback Active,الاسترداد النقدي نشط
Return value will be settled back through payment methods.,سيتم تسوية قيمة الإرجاع مرة أخرى عبر طرق الدفع.
Select an option on the left to view its settings.,اختر خيارًا على اليمين لعرض إعداداته.
Edit,تعديل
Address,العنوان
Authorization Code,رمز التفويض
Sales Person,مندوب المبيعات
Print Format,تنسيق الطباعة
Redeem Loyalty Points,استرداد نقاط المكافأة
You can redeem up to,يمكنك استرداد حتى
Redeemed Customer Credit,الائتمان المسترد للعميل
You can redeem credit up to,يمكنك استرداد الائتمان حتى
Available Credit,الائتمان المتوفر
Redeem Credit,استرداد الائتمان
Purchase Order,أمر الشراء
Purchase Order Date,تاريخ أمر الشراء
Days,أيام
LOAD SALE,تحميل البيع
{0} (Qty: {1}),{0} (الكمية: {1})
{0} actions,{0} إجراءات
{0} offline invoice{1} pending,{0}فاتورة غير متصلة بالإنترنت{1} معلقة
{0} offline invoice{1} saved as draft,تم حفظ {0} الفاتورة دون اتصال بالإنترنت{1} كمسودة
{0} offline invoice{1} synced,تمت مزامنة {0} الفاتورة غير المتصلة بالإنترنت{1}.
{0}: {1} {2},{0}: {1} {2}
{0}d ago,{0}قبل يوم
{0}h ago,{0}قبل ساعة
{0}m ago,{0}قبل دقيقة
A POS supervisor is required for this action.,مطلوب مشرف POS لهذا الإجراء.
Access,وصول
Account is overdrawn,الحساب مكشوف
Acknowledge the error to resume scanning.,اعترف بالخطأ لاستئناف المسح.
Active sale,بيع نشط
Add items from the selector to start building this sale.,أضف عناصر من المحدد لبدء إنشاء هذا البيع.
Add more value to an existing gift card,أضف المزيد من القيمة إلى بطاقة الهدايا الموجودة
Add new customer,إضافة عميل جديد
Add payment to invoice,إضافة الدفع إلى الفاتورة
Additional Discount %,خصم إضافي %
Adjust the quantity or enable negative stock to continue.,اضبط الكمية أو قم بتمكين المخزون السلبي من الاستمرار.
Allowed UOM is {0},وحدة القياس المسموح بها هي {0}
Appearance and user-level preferences for the current session.,المظهر والتفضيلات على مستوى المستخدم للجلسة الحالية.
Apply Gift Card,تطبيق بطاقة الهدايا
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,قم بتطبيق المبلغ الذي تريد استرداده فقط على هذه الفاتورة. يبقى الرصيد المتبقي على البطاقة.
Apply Redemption,تطبيق الفداء
Applying,التقديم
Auto Allocate Payment Amount,تخصيص مبلغ الدفع تلقائيًا
Auto reconciliation completed after payment submit.,اكتملت التسوية التلقائية بعد إرسال الدفع.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,اكتملت التسوية التلقائية. المخصص: {0}{1}. المتبقي المعلق: {0}{2}.
Available Actions,الإجراءات المتاحة
Awesome Dashboard is disabled for the selected POS Profile.,تم تعطيل Awesome Dashboard لملف تعريف نقطة البيع المحدد.
Awesome Dashboard is unavailable for the selected scope.,لوحة المعلومات الرائعة غير متاحة للنطاق المحدد.
Awesome Dashboard is visible only to POS supervisors.,لوحة المعلومات الرائعة مرئية فقط لمشرفي نقاط البيع.
Back to {0},العودة إلى {0}
Background processing did not finish in time.,لم تنتهي معالجة الخلفية في الوقت المناسب.
Background processing failed for Invoice {0}: {1},فشلت المعالجة الخلفية للفاتورة {0}: {1}
Balance,توازن
Barcode / QR Ready,الباركود / QR جاهز
Base Paid:,القاعدة المدفوعة:
Base Recv:,قاعدة التسجيل:
Base:,قاعدة:
Browse,تصفح
Camera constraints not supported by your device. Trying fallback settings...,قيود الكاميرا غير مدعومة من قبل جهازك. جارٍ تجربة الإعدادات الاحتياطية...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,الكاميرا مشغولة أو محظورة بواسطة تطبيق/علامة تبويب أخرى. أغلق تطبيقات الكاميرا الأخرى وحاول مرة أخرى.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,تم رفض إذن الكاميرا. يرجى السماح بالوصول إلى الكاميرا في إعدادات المتصفح لديك وتحديث الصفحة.
Camera scanner is locked until the current error is acknowledged,يتم قفل الماسح الضوئي للكاميرا حتى يتم التعرف على الخطأ الحالي
Camera started but the video stream did not load in time. Please try again.,بدأت الكاميرا ولكن لم يتم تحميل دفق الفيديو في الوقت المناسب. يرجى المحاولة مرة أخرى.
Cancel cash movement {0}?,هل تريد إلغاء الحركة النقدية {0}؟
Cannot add an item with zero or negative quantity.,لا يمكن إضافة عنصر بكمية صفرية أو سالبة.
Cannot redeem gift cards more than invoice total,لا يمكن استرداد بطاقات الهدايا بأكثر من إجمالي الفاتورة
Card health after the last live lookup,صحة البطاقة بعد آخر بحث مباشر
Cart,عربة
Cash payment cannot be less than invoice total when partial payment is not allowed,لا يمكن أن يكون الدفع نقدًا أقل من إجمالي الفاتورة عندما لا يُسمح بالدفع الجزئي
Cashier Access,وصول أمين الصندوق
Cashier identity and appearance preferences.,هوية أمين الصندوق وتفضيلات المظهر.
Cashier PIN,رقم التعريف الشخصي لأمين الصندوق
Cashier PIN saved successfully.,تم حفظ رقم التعريف الشخصي لأمين الصندوق بنجاح.
Categories,فئات
Change allocation repaired,تم إصلاح تغيير التخصيص
Change terminal cashier,تغيير أمين الصندوق الطرفي
Check Balance,التحقق من الرصيد
Check balance for any card. Supervisors can issue and top up cards here.,التحقق من الرصيد لأي بطاقة. يمكن للمشرفين إصدار وتعبئة البطاقات هنا.
Check balance only,التحقق من الرصيد فقط
Check live balance before applying redemption,تحقق من الرصيد المباشر قبل تطبيق الاسترداد
Check live balance before redemption,التحقق من الرصيد المباشر قبل الاسترداد
Checking...,جارٍ التحقق...
Cheque/Reference Date,تاريخ الشيك/المرجع
Cheque/Reference No,رقم الشيك/المرجع
Choose the cashier currently operating this terminal.,اختر أمين الصندوق الذي يقوم حاليًا بتشغيل هذه المحطة.
Clear all barcode items,مسح جميع عناصر الباركود
Clear all purchase order items,مسح كافة بنود أمر الشراء
Close about dialog,إغلاق حول الحوار
Close cashier switcher,إغلاق تبديل أمين الصندوق
Close closing shift dialog,إغلاق مربع حوار التحول
Close column selector,إغلاق محدد العمود
Close drafts dialog,إغلاق مربع حوار المسودات
Close invoice details dialog,إغلاق مربع حوار تفاصيل الفاتورة
Close invoice management,إغلاق إدارة الفاتورة
Close offline invoices dialog,إغلاق مربع حوار الفواتير دون اتصال بالإنترنت
Close packing list dialog,إغلاق مربع حوار قائمة التعبئة
Close returns dialog,إغلاق مربع حوار الإرجاعات
Close sales orders dialog,إغلاق مربع حوار أوامر المبيعات
Close scanner dialog,إغلاق مربع حوار الماسح الضوئي
Collapse item details,طي تفاصيل العنصر
Confirm,يتأكد
Confirm PIN,تأكيد رقم التعريف الشخصي
Connection problem while submitting invoice,مشكلة في الاتصال أثناء تقديم الفاتورة
Connectivity and cached prerequisite status were rechecked.,تمت إعادة فحص حالة المتطلبات الأساسية الخاصة بالاتصال والتخزين المؤقت.
Create and load a new prepaid card,إنشاء وتحميل بطاقة مسبقة الدفع جديدة
Create and preload a new gift card,قم بإنشاء وتحميل بطاقة هدايا جديدة مسبقًا
Create or change your PIN,قم بإنشاء أو تغيير رقم التعريف الشخصي الخاص بك
Create PIN,إنشاء رقم التعريف الشخصي
Create return from invoice,إنشاء عائد من الفاتورة
Current PIN,رقم التعريف الشخصي الحالي
Current redeemable value on the gift card,القيمة الحالية القابلة للاسترداد على بطاقة الهدايا
Custom,مخصص
Customer display was blocked. Please allow pop-ups for this site.,تم حظر عرض العميل. يرجى السماح بالنوافذ المنبثقة لهذا الموقع.
Customer-facing tools and printer setup.,أدوات التعامل مع العملاء وإعداد الطابعة.
Daily cashier actions without scrolling.,إجراءات أمين الصندوق اليومية دون التمرير.
Day ?,يوم ؟
Default:,تقصير:
Delete cancelled cash movement {0}?,هل تريد حذف الحركة النقدية الملغاة {0}؟
Delete draft invoice,حذف مسودة الفاتورة
Delete draft invoice {0}?,هل تريد حذف مسودة الفاتورة {0}؟
Delete offline invoice,حذف الفاتورة دون اتصال
Delivered,تم التوصيل
Delivery Note {0} created,تم إنشاء مذكرة التسليم {0}.
Delivery note created,تم إنشاء مذكرة التسليم
Deployed Bundle:,الحزمة المنشورة:
Disable offline mode first to recheck live connectivity.,قم بتعطيل وضع عدم الاتصال أولاً لإعادة التحقق من الاتصال المباشر.
discount,تخفيض
Draft source,مصدر المسودة
Due {0},مستحق {0}
Edit customer,تحرير العميل
Edit Gift Application,تعديل تطبيق الهدية
Employee,موظف
Enter a PIN.,أدخل رقم التعريف الشخصي.
Enter the cashier PIN to continue.,أدخل رقم التعريف الشخصي لأمين الصندوق للمتابعة.
Enter the current PIN first.,أدخل رقم التعريف الشخصي الحالي أولاً.
"Enter the current PIN, then choose a new one.",أدخل رقم التعريف الشخصي الحالي، ثم اختر رقمًا جديدًا.
Error submitting invoice: {0},خطأ في إرسال الفاتورة: {0}
Error submitting invoice: No response from server,خطأ في إرسال الفاتورة: لا يوجد رد من الخادم
Expand item details,قم بتوسيع تفاصيل العنصر
Fast cashier actions for active shifts.,إجراءات أمين الصندوق سريعة للتحولات النشطة.
Fetch the latest offline prerequisite updates,جلب آخر التحديثات المطلوبة دون اتصال بالإنترنت
Find a sales order quickly and load it into the current sale.,ابحث عن أمر المبيعات بسرعة وقم بتحميله في عملية البيع الحالية.
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","بالنسبة لعناصر ""حزمة المنتج""، سيتم أخذ المستودع والرقم التسلسلي ورقم الدفعة في الاعتبار من جدول ""قائمة التعبئة"". إذا كان المستودع ورقم الدفعة متماثلين بالنسبة لجميع عناصر التعبئة لأي عنصر من عناصر ""حزمة المنتج""، فيمكن إدخال هذه القيم في جدول العناصر الرئيسي؛ سيتم نسخ القيم إلى جدول ""قائمة التعبئة""."
from,من
Gain,يكسب
Generate a fresh prepaid card and start it with an opening balance.,أنشئ بطاقة مسبقة الدفع جديدة وابدأ تشغيلها برصيد افتتاحي.
Generate and install the certificate to allow fully silent printing without trust prompts.,قم بإنشاء الشهادة وتثبيتها للسماح بالطباعة الصامتة تمامًا دون مطالبات الثقة.
Generated scale barcode: {0},الرمز الشريطي للمقياس الذي تم إنشاؤه: {0}
Gift Card,بطاقة هدية
Gift card amount must be greater than zero.,يجب أن يكون مبلغ بطاقة الهدايا أكبر من الصفر.
Gift Card Code,رمز بطاقة الهدايا
Gift card code is required for redemption,رمز بطاقة الهدايا مطلوب لاسترداد القيمة
Gift card code is required.,رمز بطاقة الهدايا مطلوب.
Gift card issued successfully.,تم إصدار بطاقة الهدايا بنجاح.
Gift card loaded successfully.,تم تحميل بطاقة الهدايا بنجاح.
Gift Card Management,إدارة بطاقات الهدايا
Gift card payment,الدفع ببطاقة الهدايا
Gift card redemption requires an online connection,يتطلب استرداد بطاقة الهدايا اتصالاً عبر الإنترنت
Gift card topped up successfully.,تمت تعبئة بطاقة الهدايا بنجاح.
Gift Cards,بطاقات الهدايا
"Grouped controls for terminal, UI, and session settings.",عناصر تحكم مجمعة لإعدادات المحطة وواجهة المستخدم والجلسة.
Hide,يخفي
Hide Gift Card,إخفاء بطاقة الهدايا
Hide search tools,إخفاء أدوات البحث
How this section works,كيف يعمل هذا القسم
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.",إذا ظلت البيانات قديمة، فافتح الإعدادات > دون اتصال والمزامنة وقم بتشغيل إعادة إنشاء البيانات دون اتصال مرة أخرى أثناء الاتصال بالإنترنت.
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.",إذا استمر التحذير، فافتح الإعدادات > دون اتصال والمزامنة، ثم قم بتشغيل تحديث البيانات دون اتصال أو إعادة إنشاء البيانات دون اتصال.
In stock: {0},متوفر في المخزون: {0}
Initial Amount,المبلغ الأولي
"Inspect cache, sync, and prerequisite status",فحص ذاكرة التخزين المؤقت والمزامنة وحالة المتطلبات الأساسية
Insufficient stock:\n{0},المخزون غير كافٍ:\n{0}
Invoice {0} is Submitted,تم إرسال الفاتورة {0}.
Invoice {0} processed successfully,تمت معالجة الفاتورة {0} بنجاح
Invoice {0} submission failed,فشل إرسال الفاتورة {0}.
Invoice {0} was already submitted,تم إرسال الفاتورة {0} بالفعل
"Invoice value settled by loyalty points, not cash collection",قيمة الفاتورة تتم تسويتها عن طريق نقاط الولاء، وليس التحصيل النقدي
Issue Mode,وضع الإصدار
Issue New Card,إصدار بطاقة جديدة
Issue Workflow,إصدار سير العمل
"Issue, top up, and check",إصدار، تعبئة، والتحقق
Item {0} added to invoice,تمت إضافة العنصر {0} إلى الفاتورة
Item '{0}' has no barcode,لا يحتوي العنصر '{0}' على رمز شريطي
json,json
Just now,الآن
Keep offline prerequisites healthy and recover stale data safely.,حافظ على سلامة المتطلبات الأساسية دون الاتصال بالإنترنت واستعد البيانات القديمة بأمان.
"Language, theme, terminal tools, and session controls.",اللغة والموضوع والأدوات الطرفية وعناصر التحكم في الجلسة.
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},آخر مزامنة: {0} | طيب: {1} | فشل: {2} | تم تخطي: {3}
lines,خطوط
Load a POS profile and cashier first.,قم بتحميل ملف تعريف نقطة البيع وأمين الصندوق أولاً.
Load Sale,تحميل بيع
Loading view...,جارٍ تحميل العرض...
Local storage is unavailable. Switching to online-only mode.,التخزين المحلي غير متوفر. التبديل إلى وضع الاتصال بالإنترنت فقط.
Lock Screen,قفل الشاشة
Lookup Workflow,بحث سير العمل
Loss,خسارة
Low-frequency maintenance and system details.,صيانة التردد المنخفض وتفاصيل النظام.
Loyalty Redeemed,تم استرداد الولاء
Loyalty Redemption,فداء الولاء
Make New Payment,إجراء دفعة جديدة
Manage all,إدارة الكل
Manage Cashier PIN,إدارة رقم التعريف الشخصي لأمين الصندوق
"Manage offline tools, terminal controls, and maintenance from one workspace.",إدارة الأدوات غير المتصلة بالإنترنت وعناصر التحكم الطرفية والصيانة من مساحة عمل واحدة.
manual,يدوي
"Manual codes, barcode scans, and QR scans work in the same field",تعمل الرموز اليدوية ومسح الباركود ومسح QR في نفس المجال
Manual offline mode is enabled,تم تمكين وضع عدم الاتصال اليدوي
Maximum available quantity is {0}. Quantity adjusted to match stock.,الحد الأقصى للكمية المتاحة هو {0}. تم تعديل الكمية لتتناسب مع المخزون.
Maximum discount amount for this offer item is {0}.,الحد الأقصى لمبلغ الخصم لعنصر العرض هذا هو {0}.
Maximum discount percentage for this offer item is {0}%.,الحد الأقصى لنسبة الخصم لعنصر العرض هذا هو {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,الحد الأقصى لكمية العرض هو {0}. تم تعديل الكمية إلى الحد المسموح به.
Minimum allowed rate for this offer item is {0}.,الحد الأدنى للسعر المسموح به لعنصر العرض هذا هو {0}.
Month ?,شهر ؟
New PIN,رقم التعريف الشخصي الجديد
No barcode found for UOM '{0}',لم يتم العثور على رمز شريطي لوحدة UOM '{0}'
No cached gift card balance is available offline.,لا يتوفر رصيد بطاقة الهدايا المخزنة مؤقتًا في وضع عدم الاتصال.
No camera found on this device. Please ensure your device has a working camera.,لم يتم العثور على كاميرا على هذا الجهاز. يرجى التأكد من أن جهازك يحتوي على كاميرا صالحة للعمل.
No capability warnings recorded yet.,لم يتم تسجيل أي تحذيرات بشأن القدرة حتى الآن.
