POS Awesome,POS ግሩም
Overpayment Change,የትርፍ ክፍያ ለውጥ
Overpayment change deducted: {0},የትርፍ ክፍያ ለውጥ ተቀንሷል፡ {0}
Packing List,የማሸጊያ ዝርዝር
Page Format,የገጽ ቅርጸት
Page unavailable offline,ገጽ ከመስመር ውጭ የለም።
Paid,የተከፈለ
Paid (orig):,የተከፈለ (ኦሪጅ)
Paid Amount,የተከፈለበት መጠን
Paid change cannot be greater than total change!,የተከፈለ ለውጥ ከጠቅላላ ለውጥ ሊበልጥ አይችልም!
Paid:,የሚከፈልበት፡
Parent Item,የወላጅ ንጥል
Partial,ከፊል
Partly Paid,በከፊል የሚከፈል
Party Account,የፓርቲ መለያ
Party Type,የድግስ አይነት
Pause terminal until next cashier,እስከሚቀጥለው ገንዘብ ተቀባይ ድረስ ተርሚናል ባለበት ያቁሙ
PAY,ይክፈሉ
Payment,ክፍያ
Payment Account,የክፍያ መለያ
Payment entries processed for Invoice {0},ለክፍያ መጠየቂያ {0} የክፍያ ግቤቶች ተካሂደዋል
Payment Entry Type,የክፍያ የመግቢያ ዓይነት
Payment History,የክፍያ ታሪክ
Payment ID,የክፍያ መታወቂያ
Payment Method Report,የክፍያ ስልት ሪፖርት
Payment Methods,የመክፈያ ዘዴዎች
Payment of {0} received successfully.,የ{0} ክፍያ በተሳካ ሁኔታ ደርሷል።
Payment Progress,የክፍያ ሂደት
Payment Reconciliation,የክፍያ ማስታረቅ
Payment request status could not be retrieved. Please try again,የክፍያ ጥያቄ ሁኔታን መልሶ ማግኘት አልተቻለም። እባክዎ እንደገና ይሞክሩ
Payment Request took too long to respond. Please try requesting for payment again,የክፍያ ጥያቄ ምላሽ ለመስጠት በጣም ረጅም ጊዜ ወስዷል። እባክዎ እንደገና ክፍያ ለመጠየቅ ይሞክሩ
Payment saved offline,ክፍያ ከመስመር ውጭ ተቀምጧል
Payment State,የክፍያ ሁኔታ
Payment Status,የክፍያ ሁኔታ
Payment submitted but print function could not be executed. Payment name not found.,ክፍያ ገብቷል ነገር ግን የህትመት ተግባር ሊፈጸም አልቻለም። የክፍያ ስም አልተገኘም።
Payment submitted.,ክፍያ ገብቷል።
Payment Summary,የክፍያ ማጠቃለያ
Payments,ክፍያዎች
Payments are not open. Do you want to open payments and submit?,ክፍያዎች ክፍት አይደሉም። ክፍያዎችን ከፍተው ማስገባት ይፈልጋሉ?
Payments by Mode of Payment,ክፍያዎች በክፍያ ዘዴ
PDF,ፒዲኤፍ
Peak Hour,ከፍተኛ ሰዓት
Peak Memory:,ከፍተኛ ማህደረ ትውስታ፡
Peak Server:,ከፍተኛ አገልጋይ፡
Peak:,ጫፍ፡
Pending,በመጠባበቅ ላይ
Pending Amount,በመጠባበቅ ላይ ያለ መጠን
Pending count updated from {0} to {1},በመጠባበቅ ላይ ያለ ቁጥር ከ{0} ወደ {1} ተዘምኗል
Pending Exposure,በመጠባበቅ ላይ ያለ ተጋላጭነት
Pending Invoices,በመጠባበቅ ላይ ያሉ ደረሰኞች
Pending Ratio,በመጠባበቅ ላይ ያለ ሬሾ
Pending Sales,በመጠባበቅ ላይ ያሉ ሽያጭዎች
Pending sales: {0} | Cache usage: {1}%,በመጠባበቅ ላይ ያሉ ሽያጮች፡ {0} | የመሸጎጫ አጠቃቀም፡ {1}%
Pending Sync,ማመሳሰልን በመጠባበቅ ላይ
Pending: {0},በመጠባበቅ ላይ፡ {0}
Pending: {0} | Synced: {1} | Draft: {2},በመጠባበቅ ላይ፡ {0} | የሰመረ፡ {1} | ረቂቅ፡ {2}
Per Page,በገጽ
Personal,ግላዊ
Personal preferences adjust the current cashier experience without changing the active POS route.,የግል ምርጫዎች የነቃውን የPOS መንገድ ሳይቀይሩ የአሁኑን የገንዘብ ተቀባይ ልምድ ያስተካክላሉ።
PIN confirmation does not match.,የፒን ማረጋገጫ አይዛመድም።
PIN must be 4 to 8 digits.,ፒን ከ4 እስከ 8 አሃዞች መሆን አለበት።
Please add at least one item.,እባክዎ ቢያንስ አንድ ንጥል ያክሉ።
Please allow camera access to scan codes,እባክህ የካሜራውን የቃኝ ኮዶች ፍቀድ
Please enter payment amount,እባክዎ የክፍያ መጠን ያስገቡ
Please fill all required fields,እባክዎ ሁሉንም አስፈላጊ መስኮች ይሙሉ
Please make a payment or select a payment,እባክዎ ክፍያ ይፈጽሙ ወይም ክፍያ ይምረጡ
Please request phone payment or use another payment method,እባክዎ የስልክ ክፍያ ይጠይቁ ወይም ሌላ የመክፈያ ዘዴ ይጠቀሙ
Please select a customer first,እባክዎ መጀመሪያ ደንበኛ ይምረጡ
Please select a party,እባክዎ ፓርቲ ይምረጡ
Please select a party before reconciling.,እባክዎን ከማስታረቅዎ በፊት ፓርቲ ይምረጡ።
Please select a valid movement type.,እባክዎ ትክክለኛ የእንቅስቃሴ አይነት ይምረጡ።
Please select an invoice,እባክዎ ደረሰኝ ይምረጡ
Please select company before reconciling.,እባክዎን ከማስታረቅዎ በፊት ኩባንያ ይምረጡ።
Please set the customer's mobile number,እባክዎ የደንበኛውን የሞባይል ቁጥር ያዘጋጁ
Please try again or enter the item manually.,እባክዎ እንደገና ይሞክሩ ወይም ንጥሉን በእጅ ያስገቡ።
Please verify the barcode or check the item's availability.,እባክዎን የአሞሌ ኮድ ያረጋግጡ ወይም የንጥሉን ተገኝነት ያረጋግጡ።
Points,ነጥቦች
Popup blocked. Please allow popups.,ብቅ ባይ ታግዷል። እባክህ ብቅ-ባዮችን ፍቀድ።
POS,POS
POS controls and maintenance,የ POS ቁጥጥር እና ጥገና
POS Expense is disabled for this POS Profile.,የPOS ወጪ ለዚህ የPOS መገለጫ ተሰናክሏል።
POS is running with limited offline prerequisites.,POS በተወሰኑ ከመስመር ውጭ ቅድመ ሁኔታዎች እያሄደ ነው።
POS Profile,የPOS መገለጫ
Position the QR code or barcode within the scanning area,የQR ኮድ ወይም ባርኮድ በፍተሻ ቦታ ውስጥ ያስቀምጡ
Posting,በመለጠፍ ላይ
Posting and Price List,መለጠፍ እና የዋጋ ዝርዝር
Posting Date,የመለጠፍ ቀን
Preparing background sync,የበስተጀርባ ማመሳሰልን በማዘጋጀት ላይ
"Press OK to continue offline with a warning, or Cancel to retry.",ከመስመር ውጭ በማስጠንቀቂያ ለመቀጠል እሺን ይጫኑ፣ ወይም እንደገና ለመሞከር ሰርዝ።
Previous unit of measure,የቀደመው የመለኪያ አሃድ
Price List,የዋጋ ዝርዝር
Price List Rate,የዋጋ ዝርዝር ተመን
Price list rate updated locally only,የዋጋ ዝርዝር ተመን በአገር ውስጥ ብቻ ተዘምኗል
Pricing & Discounts,የዋጋ አሰጣጥ እና ቅናሾች
Pricing Rule,የዋጋ አሰጣጥ ደንብ
Print,አትም
Print Draft,ረቂቅ ማተም
Print Format (Invoice),የህትመት ቅርጸት (ክፍያ መጠየቂያ)
Print Format (Order),የህትመት ቅርጸት (ትዕዛዝ)
Print invoice,ደረሰኝ አትም
Print Purchase Invoice instead of PO,የግዢ መጠየቂያ ደረሰኝን ከPO ይልቅ አትም።
Printer,አታሚ
Processed returns impacting the shift totals,በለውጥ ድምር ላይ ተጽእኖ የሚያሳድሩ የተካሄዱ ተመላሾች
Processing Payment,ክፍያን በማስኬድ ላይ
Processing payment entries for Invoice {0},ለክፍያ መጠየቂያ {0} የክፍያ ግቤቶችን በማስኬድ ላይ
Profile,መገለጫ
Profiles,መገለጫዎች
Profit,ትርፍ
Profit: Invoice Item Estimate,ትርፍ፡ የክፍያ መጠየቂያ ንጥል ግምት
Profit: Stock Ledger (COGS),ትርፍ፡ የአክሲዮን መዝገብ (COGS)
Profitability Report,ትርፋማነት ሪፖርት
Prorated return discount,የተመጣጠነ የመመለሻ ቅናሽ
Purchase Amount,የግዢ መጠን
Purchase Invoices,የግዢ ደረሰኞች
Purchase Order created,የግዢ ትዕዛዝ ተፈጥሯል።
Qty,ብዛት
Qualified,ብቁ
Quantity,ብዛት
Quantity exceeds available stock,ብዛት ካለው ክምችት አልፏል
Quick Actions,ፈጣን እርምጃዎች
Quotation {0} is Submitted,ጥቅስ {0} ገብቷል።
Quotation submitted,ጥቅስ ገብቷል።
QZ Tray connected.,QZ Tray ተገናኝቷል።
QZ Tray is manually disconnected. Press Connect to enable it again.,QZ Tray በእጅ ተቋርጧል። እንደገና ለማንቃት Connect የሚለውን ይጫኑ።
QZ Tray is not connected.,QZ Tray አልተገናኘም።
QZ Tray Setup,QZ Tray ማዋቀር
Rate,ደረጃ ይስጡ
Rate adjusted to maximum allowed discount,ከፍተኛው የሚፈቀደው ቅናሽ መጠን ተስተካክሏል።
Ready,ዝግጁ
Ready to resume,ከቆመበት ለመቀጠል ዝግጁ
Ready!,ዝግጁ!
Real-time POS insights for retail operations.,ለችርቻሮ ስራዎች የእውነተኛ ጊዜ POS ግንዛቤዎች።
Rebuild Offline Data,ከመስመር ውጭ ውሂብን እንደገና ገንባ
Receive,ተቀበል
Receive now,አሁን ተቀበል
Received,ተቀብሏል
Received:,ተቀብለዋል፡
Recent Movement Entries,የቅርብ ጊዜ እንቅስቃሴ ግቤቶች
Recent updates about your invoices,ስለ ደረሰኞችዎ የቅርብ ጊዜ ዝመናዎች
Recently Active Customers,በቅርብ ጊዜ ንቁ ደንበኞች
Rechecking connection,ግንኙነትን እንደገና በመፈተሽ ላይ
Reconcile payment methods and close shift,የክፍያ ዘዴዎችን ያስታርቁ እና ፈረቃን ይዝጉ
Reconciling Payments,ክፍያዎችን ማስታረቅ
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.",በመስመር ላይ እያለ ይህን ገጽ አንድ ጊዜ እንደገና ያገናኙት እና ይክፈቱት፣ ከዚያ ከመስመር ውጭ እድሳት ወደነበረበት መመለስ ይችላል።
Reconnect online to refresh cached offline data from the server.,የተሸጎጠ ከመስመር ውጭ ውሂብ ከአገልጋዩ ለማደስ በመስመር ላይ እንደገና ይገናኙ።
Recreate local offline prerequisites from scratch,የአካባቢ ከመስመር ውጭ ቅድመ ሁኔታዎችን ከባዶ ፍጠር
Recv:,ማጣቀሻ፡
Redeem,ይዋጁ
Redeem / Scan,ማስመለስ/መቃኘት
Redeem Amount,የማስመለስ መጠን
Redeem Mode,ማስመለስ ሁነታ
Redeemed Amount,የተወሰደ መጠን
Redeemed credit cannot be greater than its total.,የተወሰደ ክሬዲት ከጠቅላላው ሊበልጥ አይችልም።
Redemption and Totals,ቤዛ እና ድምር
Reference,ማጣቀሻ
Refresh,አድስ
Refresh Exchange Rate,የምንዛሬ ተመንን አድስ
Refresh Offline Data,ከመስመር ውጭ ውሂብን ያድሱ
Refresh Printers,አታሚዎችን አድስ
Refund,ተመላሽ ገንዘብ
Release Notes,የመልቀቂያ ማስታወሻዎች
Reload,ዳግም ጫን
Reload customers,ደንበኞችን እንደገና ይጫኑ
Reload Items,ንጥሎችን እንደገና ጫን
Reload Now,አሁን እንደገና ጫን
Reload to apply the latest changes. Your current session will be refreshed.,የቅርብ ጊዜ ለውጦችን ለመተግበር እንደገና ይጫኑ። የአሁኑ ክፍለ ጊዜዎ ይታደሳል።
Reload Workflow,የስራ ፍሰት እንደገና ጫን
Remarks,አስተያየቶች
Remarks are required.,አስተያየት ያስፈልጋል።
Remove,አስወግድ
Remove barcode item,የባርኮድ ንጥል ነገርን ያስወግዱ
Remove cached data and reload the POS app,የተሸጎጠ ውሂብን ያስወግዱ እና የPOS መተግበሪያን እንደገና ይጫኑ
Remove item,ንጥሉን ያስወግዱ
Remove Offer,ቅናሹን ያስወግዱ
Reorder / Purchase Suggestions,የጥቆማ አስተያየቶችን እንደገና ይዘዙ/ይግዙ
Repair Candidate,ጥገና እጩ
Repair Change Allocation,የጥገና ለውጥ ምደባ
Repair requires an online connection,ጥገና የመስመር ላይ ግንኙነት ያስፈልገዋል
Repaired,ተስተካክሏል
Repairing change allocation,የለውጥ ምደባን በመጠገን ላይ
Repeat Customers,ደንበኞችን መድገም
Repeat Rate,የድግግሞሽ መጠን
Request,ጥያቄ
Request ID: {0},የጥያቄ መታወቂያ፡ {0}
Request Payment,ክፍያ ይጠይቁ
Requested route: {0},የተጠየቀ መንገድ፡ {0}
Required columns cannot be hidden,የሚፈለጉ አምዶች ሊደበቁ አይችሉም
Reset,ዳግም አስጀምር
Reset item name,የንጥል ስም ዳግም ያስጀምሩ
Reset to Default,ወደ ነባሪ ዳግም አስጀምር
Resource Health,የመርጃ ጤና
Restricted,የተገደበ
Restricted operational controls for supervisors only.,ለተቆጣጣሪዎች ብቻ የተከለከሉ የአሠራር መቆጣጠሪያዎች።
Retry,እንደገና ይሞክሩ
Retry route,መንገድ እንደገና ይሞክሩ
Return,ተመለስ
Return Amount,የመመለሻ መጠን
Return Count,የመመለሻ ብዛት
Return items must have negative quantities,የተመለሱ ዕቃዎች አሉታዊ መጠን ሊኖራቸው ይገባል።
Return total must be negative,ጠቅላላ መመለስ አሉታዊ መሆን አለበት።
Return Valid Until,እስከተሰራ ድረስ መመለስ
Return window passed,የመመለሻ መስኮት አልፏል
Return without Invoice,ያለ ደረሰኝ ይመለሱ
Returns,ይመለሳል
Returns / Voids / Discounts,ተመላሾች / ባዶዎች / ቅናሾች
Returns by Currency,በገንዘብ ተመላሾች
Revenue,ገቢ
Review shift totals before submitting the closing entry,የመዝጊያ ግቤት ከማስገባትዎ በፊት የፈረቃ ድምርን ይገምግሙ
Round Off,ዙር ጠፍቷል
Rows,ረድፎች
Rows:,ረድፎች፡
Rule,ደንብ
Sale,ሽያጭ
Sales,ሽያጭ
Sales Order {0} is Submitted,የሽያጭ ትዕዛዝ {0} ገብቷል።
Sales Person and Print,የሽያጭ ሰው እና የህትመት
Sales Person not found,የሽያጭ ሰው አልተገኘም።
Sales processed,ሽያጭ ተሰራ
Sales Return,የሽያጭ መመለስ
Sales Trend Report,የሽያጭ አዝማሚያ ሪፖርት
Save,አስቀምጥ
Save & Clear,አስቀምጥ እና አጽዳ
Save as POS Profile Default,እንደ POS መገለጫ ነባሪ አስቀምጥ
Save Settings,ቅንብሮችን አስቀምጥ
Save the selected printer as the POS Profile default so it shows automatically on this setup.,የተመረጠውን አታሚ እንደ POS መገለጫ ነባሪ ያስቀምጡ ስለዚህ በዚህ ማዋቀር ላይ በራስ-ሰር ይታያል።
Saved as draft because: {0},እንደ ረቂቅ ተቀምጧል ምክንያቱም፡ {0}
Saving...,በማስቀመጥ ላይ...
Scale barcode detected. Quantity here is the number of labels to print.,የመጠን ባርኮድ ተገኝቷል። እዚህ ያለው ብዛት የሚታተም የመለያዎች ብዛት ነው።
Scale barcode settings are not configured. Using item barcode only.,የመጠን ባርኮድ ቅንጅቶች አልተዋቀሩም። የንጥል ባርኮድ ብቻ መጠቀም።
Scale template barcode is missing for this item/UOM. Using item barcode only.,ለዚህ ንጥል ነገር/UOM የመጠን አብነት ባር ኮድ ጠፍቷል። የንጥል ባርኮድ ብቻ መጠቀም።
Scan an existing card and top it up without leaving the payment flow.,ያለውን ካርድ ይቃኙ እና የክፍያውን ፍሰት ሳይለቁ ይሙሉት።
Scan Error,የፍተሻ ስህተት
Scan or enter a gift card code to check balance or redeem.,ቀሪ ሂሳብን ለመፈተሽ ወይም ለመውሰድ የስጦታ ካርድ ኮድ ይቃኙ ወይም ያስገቡ።
Scan or paste the card code below.,ከታች ያለውን የካርድ ኮድ ይቃኙ ወይም ይለጥፉ።
Scan QR Code/Barcode,QR ኮድ/ባርኮድ ይቃኙ
Scan with camera,በካሜራ ይቃኙ
Scan-First Flow,ቅኝት-የመጀመሪያው ፍሰት
Scanned Code:,የተቃኘ ኮድ፡-
Scanning for: {0},ለ፡ {0} በመቃኘት ላይ
Scanning items,ንጥሎችን በመቃኘት ላይ
Scan-Ready,ቅኝት-ዝግጁ
Scope,ወሰን
Scope: All Profiles,ወሰን፡ ሁሉም መገለጫዎች
Scope: Current Profile,ወሰን፡ የአሁን መገለጫ
Scope: Specific Profile,ወሰን፡ የተወሰነ መገለጫ
Search,ፈልግ
Search Account,መለያ ይፈልጉ
Search an invoice and continue the return flow without extra steps.,ደረሰኝ ይፈልጉ እና ያለ ተጨማሪ እርምጃዎች የመመለሻ ፍሰቱን ይቀጥሉ።
Search customer,ደንበኛን ይፈልጉ
Search invoices or customers,ደረሰኞችን ወይም ደንበኞችን ይፈልጉ
Search item,ንጥል ይፈልጉ
Search item / code,ንጥል / ኮድ ይፈልጉ
Search items or barcode,ንጥሎችን ወይም ባርኮድ ይፈልጉ
Search Mpesa Payments,የMpesa ክፍያዎችን ይፈልጉ
Search return invoices or customers,ተመላሽ ደረሰኞችን ወይም ደንበኞችን ይፈልጉ
Search supplier,አቅራቢ ይፈልጉ
Search unpaid invoices or customers,ያልተከፈሉ ደረሰኞችን ወይም ደንበኞችን ይፈልጉ
Secure context (HTTPS or localhost) is required for camera access.,ለካሜራ መዳረሻ ደህንነቱ የተጠበቀ አውድ (ኤችቲቲፒኤስ ወይም የአካባቢ አስተናጋጅ) ያስፈልጋል።
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,ለካሜራ መዳረሻ ደህንነቱ የተጠበቀ አውድ (ኤችቲቲፒኤስ) ያስፈልጋል። እባክዎ ካሜራውን ለመድረስ HTTPS ይጠቀሙ።
Select,ይምረጡ
Select a cashier first.,መጀመሪያ ገንዘብ ተቀባይ ይምረጡ።
Select a customer,ደንበኛ ይምረጡ
Select a customer to use coupon,ኩፖን ለመጠቀም ደንበኛን ይምረጡ
Select a printer to use QZ silent printing.,QZ ጸጥ ማተምን ለመጠቀም አታሚ ይምረጡ።
Select Batch,ባች ይምረጡ
Select Columns to Display,የሚታዩትን አምዶች ይምረጡ
Select items to sell,የሚሸጡ ዕቃዎችን ይምረጡ
Select Payment,ክፍያ ይምረጡ
Select Payment Account,የክፍያ መለያ ይምረጡ
Select printer,አታሚ ይምረጡ
Select Return Invoice,ተመላሽ ደረሰኝ ይምረጡ
Select S.O,ኤስ.ኦን ይምረጡ
Select Sales Orders,የሽያጭ ትዕዛዞችን ይምረጡ
Select the cashier who is taking over this terminal.,ይህንን ተርሚናል የሚረከበውን ገንዘብ ተቀባይ ይምረጡ።
Selected,ተመርጧል
Selected movement type is not allowed by POS Profile.,የተመረጠው የእንቅስቃሴ አይነት በPOS መገለጫ አይፈቀድም።
Selected Payments,የተመረጡ ክፍያዎች
Sensitive actions kept away from quick taps.,ሚስጥራዊነት ያላቸው ድርጊቶች ከፈጣን ቧንቧዎች ይርቃሉ።
Serial,ተከታታይ
Serial Numbers,ተከታታይ ቁጥሮች
Server CPU Usage:,የአገልጋይ ሲፒዩ አጠቃቀም፡-
Server Health,የአገልጋይ ጤና
Server Memory Usage:,የአገልጋይ ማህደረ ትውስታ አጠቃቀም፡-
Server Metrics,የአገልጋይ መለኪያዎች
Server Uptime:,የአገልጋይ ቆይታ፡
Service Charges,የአገልግሎት ክፍያዎች
Session,ክፍለ ጊዜ
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,እያንዳንዱን ገንዘብ ተቀባይ ፒን በተጠቃሚ ቅፅ ውስጥ ያዘጋጁ እና የተርሚናል አባላትን በPOS መገለጫ ተጠቃሚ ውስጥ ያስቀምጡ።
Settings,ቅንብሮች
Settings in this section update the POS workspace without changing the current route.,በዚህ ክፍል ውስጥ ያሉ ቅንብሮች የአሁኑን መንገድ ሳይቀይሩ የPOS የስራ ቦታን ያዘምኑ።
Setup complete!,ማዋቀሩ ተጠናቅቋል!
Share,አጋራ
Shared terminal,የተጋራ ተርሚናል
Shift Closed Snapshot,Shift ዝግ ቅጽበታዊ ገጽ እይታ
Shift Overview,Shift አጠቃላይ እይታ
Show,አሳይ
Show cart on customer-facing screen,ጋሪን ደንበኛን በሚመለከት ስክሪን ላይ አሳይ
Show last invoice rate,የመጨረሻውን የክፍያ መጠየቂያ መጠን አሳይ
Show rate info,የታሪፍ መረጃን አሳይ
Show Repair Candidates,የጥገና እጩዎችን አሳይ
Show search tools,የፍለጋ መሳሪያዎችን አሳይ
Show the active cart on a customer-facing screen,ገቢር ጋሪውን ደንበኛ በሚመለከት ስክሪን ላይ አሳይ
Showing {0}-{1} of {2},ከ{2} {0}-{1} በማሳየት ላይ
Showing 0 of 0,0 ከ 0 በማሳየት ላይ
Shows the distribution of invoices per currency,የክፍያ መጠየቂያዎችን በየምንዛሪ ስርጭት ያሳያል
Sign out of the current POS session,ከአሁኑ የPOS ክፍለ ጊዜ ዘግተህ ውጣ
Size:,መጠን፡
Skipped Payments,የተዘለሉ ክፍያዎች
Skipping items without barcodes,ያለ ባርኮድ ዕቃዎችን መዝለል
Slow Moving,ቀስ ብሎ መንቀሳቀስ
Slow Moving Items,ቀስ ብለው የሚንቀሳቀሱ ዕቃዎች
Slow Queries:,ቀርፋፋ ጥያቄዎች፡-
Sold,የተሸጠ
Source,ምንጭ
Source Cash Account (Optional Override),የምንጭ ጥሬ ገንዘብ ሂሳብ (አማራጭ መሻር)
Source Ex. Rate:,ምንጭ Ex. ደረጃ፡
Source Rate:,የምንጭ ዋጋ፡-
Specific Profile,የተወሰነ መገለጫ
Split Invoices,የተከፋፈሉ ደረሰኞች
Staff / Cashier Performance Report,ሠራተኞች / ገንዘብ ተቀባይ አፈጻጸም ሪፖርት
Status,ሁኔታ
Stock,አክሲዮን
Stock Information,የአክሲዮን መረጃ
Stock is lower than requested,አክሲዮን ከተጠየቀው ያነሰ ነው።
Stock is lower than requested:\n{0},አክሲዮን ከተጠየቀው ያነሰ ነው፡\n{0}
Stock Movement Report,የአክሲዮን እንቅስቃሴ ሪፖርት
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,የአክሲዮን ማዘመኛ፡ {0} {1} ይገኛል። {2} ማከል አክሲዮኑን ከዜሮ በታች ያደርገዋል።
Submit,አስገባ
Submit & Print,አስገባ እና አትም
Submit Deposit,ተቀማጭ ገንዘብ ያስገቡ
Submit Expense,ወጪ አስገባ
Submitted,ገብቷል።
Submitted Cash Movements,የቀረቡ የገንዘብ እንቅስቃሴዎች
Submitted entries,የገቡት ግቤቶች
Successfully scanned:,በተሳካ ሁኔታ ተቃኝቷል፡-
Suggested,የተጠቆመ
Suggested Qty,የተጠቆመ Qty
Supervisor Access,ተቆጣጣሪ መዳረሻ
Supervisor permissions unlock issuance and reloads,የተቆጣጣሪ ፈቃዶች መስጠትን እና ዳግም መጫንን ይከፍታሉ
Supervisor Tools,ተቆጣጣሪ መሳሪያዎች
Supplier,አቅራቢ
Supplier and dates are required.,አቅራቢ እና ቀናት ያስፈልጋል።
Supplier Invoices,የአቅራቢ ደረሰኞች
Supplier is required.,አቅራቢ ያስፈልጋል።
Supplier name is required,የአቅራቢ ስም ያስፈልጋል
Supplier Payments,የአቅራቢ ክፍያዎች
Supplier Purchase Summary,የአቅራቢ ግዢ ማጠቃለያ
Suppliers,አቅራቢዎች
Suppliers not found,አቅራቢዎች አልተገኙም።
Switch Camera,ካሜራ ቀይር
Switch Cashier,ገንዘብ ተቀባይ ቀይር
Switch the POS appearance theme,የPOS መልክ ገጽታን ይቀይሩ
Switched to:,ተቀይሯል ወደ፡
Sync All Invoices,ሁሉንም ደረሰኞች አመሳስል።
Sync Offline Cash Movements ({0}),ከመስመር ውጭ የገንዘብ እንቅስቃሴዎችን ያመሳስሉ ({0})
Sync Offline Sales,ከመስመር ውጭ ሽያጭ አመሳስል።
Synced {0} offline cash movement(s).,የሰመረ {0} ከመስመር ውጭ የገንዘብ እንቅስቃሴ(ዎች)።
Syncing items in background,ንጥሎችን ከበስተጀርባ በማመሳሰል ላይ
System / Diagnostics,ስርዓት / ምርመራ
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.",የስርዓት እርምጃዎች እንደ የመተግበሪያ መረጃ፣ የድጋፍ ምርመራዎች እና የክፍለ-ጊዜ መቆጣጠሪያዎች ያሉ ዝቅተኛ-ድግግሞሽ የጥገና ቁጥጥሮች ናቸው።
System Information,የስርዓት መረጃ
System Status,የስርዓት ሁኔታ
Tables:,ጠረጴዛዎች፡
Tap the button below to redeem a gift card during checkout.,በመውጣት ወቅት የስጦታ ካርድን ለመውሰድ ከታች ያለውን ቁልፍ ይንኩ።
Target,ዒላማ
Target Ex. Rate:,ኢላማ Ex. ደረጃ፡
Target Rate:,የዒላማ መጠን፡
Tax,ግብር
Tax / Charges Report,የግብር / ክፍያዎች ሪፖርት
Tax Heads,የግብር ኃላፊዎች
Taxable Amount,የሚከፈል መጠን
Tendered,በጨረታ ቀርቧል
Terminal,ተርሚናል
Terminal & Devices,ተርሚናል እና መሳሪያዎች
Terminal locked,ተርሚናል ተቆልፏል
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.",የተርሚናል መሳሪያዎች በዚህ የፍተሻ ጣቢያ፣ ደንበኛ ፊት ለፊት የሚታዩ ማሳያዎች እና የወደፊት የአታሚ/የመሳሪያ ቁጥጥሮች ላይ ተጽእኖ ያሳድራሉ።
Territory not found,ግዛት አልተገኘም።
The amount paid is not complete,የተከፈለው መጠን አልተጠናቀቀም
The app stores data locally for offline use. This is called cache.,መተግበሪያው ከመስመር ውጭ ለመጠቀም ውሂብን በአካባቢው ያከማቻል። ይህ መሸጎጫ ይባላል።
The invoice stayed in draft. Please review and submit it manually.,ደረሰኙ በረቂቅ ውስጥ ቆየ። እባክዎን ይገምግሙ እና በእጅ ያስገቡት።
The maximum discount allowed is,የሚፈቀደው ከፍተኛ ቅናሽ ነው።
The quantity for {0} has been adjusted to the maximum available stock.,የ{0} መጠን ወደ ከፍተኛው ክምችት ተስተካክሏል።
The system could not retrieve the item details. Please try again.,ስርዓቱ የንጥል ዝርዝሮችን ሰርስሮ ማውጣት አልቻለም። እባክዎ እንደገና ይሞክሩ።
These invoices will be synced when connection is restored,ግንኙነቱ ወደነበረበት ሲመለስ እነዚህ ደረሰኞች ይሰምራሉ።
This action now opens inside the settings workspace.,ይህ እርምጃ አሁን በቅንብሮች የስራ ቦታ ውስጥ ይከፈታል።
This coupon already used !,ይህ ኩፖን አስቀድሞ ጥቅም ላይ ውሏል!
This invoice does not need change-allocation repair,ይህ የክፍያ መጠየቂያ ለውጥ-ምደባ ጥገና አያስፈልገውም
This invoice is already repaired,ይህ ደረሰኝ አስቀድሞ ተስተካክሏል።
This is an item template. Please choose a variant.,ይህ የንጥል አብነት ነው። እባክዎ ተለዋጭ ይምረጡ።
this item,ይህ ንጥል
This POS page could not be opened offline because its code was not cached on this terminal yet.,ይህ የPOS ገጽ ከመስመር ውጭ ሊከፈት አልቻለም ምክንያቱም ኮዱ በዚህ ተርሚናል ላይ እስካሁን አልተሸጎጠም።
This Serial Number {0} has already been added!,ይህ መለያ ቁጥር {0} አስቀድሞ ታክሏል!
Threshold,ገደብ
Time,ጊዜ
Tip: Clear cache regularly to free up space and keep the app fast.,ጠቃሚ ምክር ቦታ ለማስለቀቅ እና መተግበሪያውን በፍጥነት ለማቆየት መሸጎጫውን በመደበኛነት ያጽዱ።
Tip: Close unused tabs or apps to reduce lag.,ጠቃሚ ምክር፡ መዘግየትን ለመቀነስ ጥቅም ላይ ያልዋሉ ትሮችን ወይም መተግበሪያዎችን ዝጋ።
Tip: Monitor slow queries and table size for optimal performance.,ጠቃሚ ምክር፡ ለተመቻቸ አፈጻጸም ዘገምተኛ መጠይቆችን እና የሰንጠረዡን መጠን ተቆጣጠር።
To Be Paid,የሚከፈልበት
To Date,እስከ ዛሬ
Today,ዛሬ
Today Profit,የዛሬ ትርፍ
Today Sales,የዛሬ ሽያጭ
Toggle navigation drawer,የአሰሳ መሳቢያን ቀይር
Toggle Theme,ገጽታ ቀያይር
Tools,መሳሪያዎች
