POS Awesome,POS Úžasné
Skipped Payments,Preskočené platby
Skipping items without barcodes,Preskakovanie položiek bez čiarových kódov
Slow Moving,Pomalý pohyb
Slow Moving Items,Pomaly sa pohybujúce položky
Slow Queries:,Pomalé dopyty:
Sold,Predané
Source,Zdroj
Source Cash Account (Optional Override),Zdrojový hotovostný účet (voliteľné prepísanie)
Source Ex. Rate:,Zdroj napr. sadzba:
Source Rate:,Zdrojová sadzba:
Specific Profile,Špecifický profil
Split Invoices,Rozdeliť faktúry
Staff / Cashier Performance Report,Správa o výkonnosti zamestnancov / pokladníka
Status,Stav
Stock,skladom
Stock Information,Informácie o sklade
Stock is lower than requested,Zásoby sú nižšie ako požadované
Stock is lower than requested:\n{0},Zásoby sú nižšie ako požadované:\n{0}
Stock Movement Report,Správa o pohybe zásob
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Aktualizácia zásob: {0} má k dispozícii {1}. Pridaním {2} sa zásoby znížia pod nulu.
Submit,Odoslať
Submit & Print,Odoslať a vytlačiť
Submit Deposit,Odoslať zálohu
Submit Expense,Odoslať výdavok
Submitted,Predložené
Submitted Cash Movements,Predložené peňažné pohyby
Submitted entries,Odoslané príspevky
Successfully scanned:,Úspešne naskenované:
Suggested,Navrhované
Suggested Qty,Navrhované množstvo
Supervisor Access,Prístup supervízora
Supervisor permissions unlock issuance and reloads,Povolenia nadriadeného odomknú vydávanie a opätovné načítanie
Supervisor Tools,Nástroje supervízora
Supplier,dodávateľa
Supplier and dates are required.,Dodávateľ a dátumy sú povinné.
Supplier Invoices,Dodávateľské faktúry
Supplier is required.,Vyžaduje sa dodávateľ.
Supplier name is required,Meno dodávateľa je povinné
Supplier Payments,Platby dodávateľa
Supplier Purchase Summary,Súhrn nákupu dodávateľa
Suppliers,Dodávatelia
Suppliers not found,Dodávatelia sa nenašli
Switch Camera,Prepnúť fotoaparát
Switch Cashier,Prepnúť pokladňu
Switch the POS appearance theme,Prepnite tému vzhľadu POS
Switched to:,Prepnuté na:
Sync All Invoices,Synchronizovať všetky faktúry
Sync Offline Cash Movements ({0}),Synchronizovať peňažné pohyby offline ({0})
Sync Offline Sales,Synchronizujte offline predaj
Synced {0} offline cash movement(s).,Synchronizované offline peňažné pohyby ({0}).
Syncing items in background,Synchronizácia položiek na pozadí
System / Diagnostics,Systém / Diagnostika
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Akcie systému sú nízkofrekvenčné ovládacie prvky údržby, ako sú informácie o aplikácii, diagnostika podpory a ovládacie prvky relácie."
System Information,Systémové informácie
System Status,Stav systému
Tables:,Tabuľky:
Tap the button below to redeem a gift card during checkout.,Klepnutím na tlačidlo nižšie uplatníte darčekovú kartu počas platby.
Target,Cieľ
Target Ex. Rate:,Cieľová napr. sadzba:
Target Rate:,Cieľová sadzba:
Tax,daň
Tax / Charges Report,Správa o dani/poplatkoch
Tax Heads,Daňové hlavy
Taxable Amount,Zdaniteľná suma
Tendered,Tenderované
Terminal,Terminál
Terminal & Devices,Terminály a zariadenia
Terminal locked,Terminál zamknutý
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Terminálové nástroje ovplyvňujú túto pokladňu, displeje orientované na zákazníka a budúce ovládacie prvky tlačiarne/zariadenia."
Territory not found,Územie nebolo nájdené
The amount paid is not complete,Zaplatená suma nie je úplná
The app stores data locally for offline use. This is called cache.,Aplikácia ukladá údaje lokálne na použitie v režime offline. Toto sa nazýva cache.
The invoice stayed in draft. Please review and submit it manually.,Faktúra zostala v návrhu. Skontrolujte ho a odošlite ho ručne.
The maximum discount allowed is,Maximálna povolená zľava je
The quantity for {0} has been adjusted to the maximum available stock.,Množstvo pre {0} bolo upravené na maximálne dostupné zásoby.
The system could not retrieve the item details. Please try again.,Systému sa nepodarilo získať podrobnosti o položke. Skúste to znova.
These invoices will be synced when connection is restored,Tieto faktúry budú synchronizované po obnovení pripojenia
This action now opens inside the settings workspace.,Táto akcia sa teraz otvorí v pracovnom priestore nastavení.
This coupon already used !,Tento kupón je už použitý!
This invoice does not need change-allocation repair,Táto faktúra nevyžaduje opravu zmeny
This invoice is already repaired,Táto faktúra je už opravená
This is an item template. Please choose a variant.,Toto je šablóna položky. Vyberte si variant.
this item,túto položku
This POS page could not be opened offline because its code was not cached on this terminal yet.,"Túto stránku POS nebolo možné otvoriť offline, pretože jej kód ešte nebol uložený vo vyrovnávacej pamäti tohto terminálu."
This Serial Number {0} has already been added!,Toto sériové číslo {0} už bolo pridané!
Threshold,Prahová hodnota
Time,Čas
Tip: Clear cache regularly to free up space and keep the app fast.,"Tip: Pravidelne vymazávajte vyrovnávaciu pamäť, aby ste uvoľnili miesto a udržali aplikáciu rýchlu."
Tip: Close unused tabs or apps to reduce lag.,"Tip: Zatvorte nepoužívané karty alebo aplikácie, aby ste znížili oneskorenie."
Tip: Monitor slow queries and table size for optimal performance.,Tip: Monitorujte pomalé dotazy a veľkosť tabuľky pre optimálny výkon.
To Be Paid,Byť zaplatený
To Date,K dnešnému dňu
Today,Dnes
Today Profit,Dnes Zisk
Today Sales,Dnes Predaj
Toggle navigation drawer,Prepnúť navigačný vysúvací panel
Toggle Theme,Prepnúť tému
Tools,Nástroje
Tools for customer-facing screens and terminal-specific actions.,Nástroje pre obrazovky orientované na zákazníka a akcie špecifické pre terminál.
Top Brand,Top Značka
Top Category,Najvyššia kategória
Top Charge Head,Horná nabíjacia hlava
Top Customers,Najlepší zákazníci
Top Discount,Top zľava
Top Items by Location,Najlepšie položky podľa miesta
Top Margin,Horný okraj
Top Pending,Hore čakajúce
Top Profit Item,Najvyššia zisková položka
Top Return Items,Najlepšie položky na vrátenie
Top Sales by Cashier,Najlepšie predaje podľa pokladníka
Top Supplier,Top Dodávateľ
Top Suppliers by Spend,Najlepší dodávatelia podľa výdavkov
Top Tables,Top tabuľky
Top Tax Head,Najvyšší daňový šéf
Top Up Amount,Suma doplnenia
Top Up Card,Karta dobíjania
Top Up Mode,Režim dobíjania
Top Variant,Top Variant
Total,Celkom
Total Amount,Celková suma
Total Change,Celková zmena
Total Charges,Celkové poplatky
Total In,Total In
Total Invoices,Celkové faktúry
Total Items,Celkový počet položiek
Total Mpesa,Celková Mpesa
Total Out,Total Out
Total Payments,Celkové platby
Total Purchase,Celkový nákup
Total Selected :,Celkovo vybraté:
Total Size,Celková veľkosť
Total Stock Qty,Celkové skladové množstvo
Total:,Celkom:
Totals by Invoice Currency,Súčty podľa meny faktúry
Track how much cash was handed back to customers,"Sledujte, koľko hotovosti bolo odovzdaných späť zákazníkom"
"Track recent sales, collect unpaid balances, and reopen saved work","Sledujte posledné predaje, zbierajte nezaplatené zostatky a znova otvorte uloženú prácu"
Transaction ID,ID transakcie
Transfer,Prestup
Try a different search term or clear the cart search.,Skúste iný hľadaný výraz alebo vymažte vyhľadávanie v košíku.
Try adjusting your search or filters,Skúste upraviť vyhľadávanie alebo filtre
Try another source or refresh the list.,Skúste iný zdroj alebo obnovte zoznam.
Try changing the date range or status filter.,Skúste zmeniť rozsah dátumov alebo filter stavu.
Type,Typ
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,Prístup k fotoaparátu nie je možný ani so základnými nastaveniami. Skontrolujte povolenia fotoaparátu a kompatibilitu zariadenia.
Unable to add offer item {0}. Please refresh and try again.,Nie je možné pridať položku ponuky {0}. Obnovte stránku a skúste to znova.
Unable to add offer item. Please refresh and try again.,Nie je možné pridať položku ponuky. Obnovte stránku a skúste to znova.
Unable to add scanned item.,Nie je možné pridať naskenovanú položku.
Unable to create purchase order,Nie je možné vytvoriť nákupnú objednávku
Unable to delete draft invoice,Koncept faktúry nie je možné odstrániť
Unable to fetch documents,Nie je možné načítať dokumenty
Unable to fetch draft orders,Nie je možné načítať koncepty objednávok
Unable to fetch invoice history,Nedá sa načítať história faktúr
Unable to fetch M-Pesa payments,Nemožno načítať platby M-Pesa
Unable to fetch sales orders,Nie je možné načítať predajné objednávky
Unable to fetch unpaid invoices,Nepodarilo sa načítať nezaplatené faktúry
Unable to generate scale barcode,Nedá sa vygenerovať čiarový kód váhy
Unable to issue gift card.,Darčekovú kartu sa nepodarilo vydať.
Unable to load cashier PIN status.,Nie je možné načítať stav PIN pokladníka.
Unable to load document,Dokument sa nedá načítať
Unable to load draft invoice,Nie je možné načítať návrh faktúry
Unable to load gift card balance.,Zostatok na darčekovej karte sa nepodarilo načítať.
Unable to load invoice details,Nedajú sa načítať podrobnosti faktúry
Unable to load parked order,Nie je možné načítať zaparkovanú objednávku
Unable to load the selected sales order,Nie je možné načítať vybratú zákazku odberateľa
Unable to prepare document,Nie je možné pripraviť dokument
Unable to prepare return invoice,Nedá sa pripraviť spätná faktúra
Unable to print draft invoice,Koncept faktúry nie je možné vytlačiť
Unable to print submitted invoice,Predložená faktúra sa nedá vytlačiť
Unable to process document action,Nie je možné spracovať akciu dokumentu
Unable to repair change allocation,Nie je možné opraviť pridelenie zmien
Unable to save cashier PIN.,Nepodarilo sa uložiť PIN pokladníka.
Unable to save the rate to the backend price list,Sadzbu nie je možné uložiť do cenníka
Unable to submit invoice,Nedá sa odoslať faktúra
Unable to submit the selected payment,Vybratú platbu nie je možné odoslať
Unable to top up gift card.,Darčekovú kartu nie je možné doplniť.
Unable to verify cashier PIN.,Nepodarilo sa overiť PIN pokladníka.
Unallocated,Nepridelené
Unallocated:,Nepridelené:
Unavailable,nedostupné
Unknown,Neznámy
Unknown Item,Neznáma položka
Unknown Warehouse,Neznámy sklad
Unlock POS,Odomknite POS
Unpaid,Nezaplatené
"Unselected payments stay unallocated first, then auto reconcile after submit.","Nevybrané platby zostanú najskôr nepridelené, potom sa po odoslaní automaticky odsúhlasia."
UOM,UOM
UOM not found,UOM sa nenašlo
Update available,K dispozícii je aktualizácia
Update Customer,Aktualizovať zákazníka
Update PIN,Aktualizujte PIN
Update Price List Rate,Aktualizovať sadzbu cenníka
Updated,Aktualizované
Updates and app info that stay out of the cashier flow.,"Aktualizácie a informácie o aplikáciách, ktoré zostávajú mimo toku pokladníkov."
Updates automatically,Aktualizuje sa automaticky
Usage,Použitie
Usage Stats,Štatistiky používania
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Na prepínanie pokladníka a odblokovanie terminálu použite 4 až 8-miestny PIN.
Use Cashier,Použite Pokladňu
Use date range to search for older invoices,Na vyhľadávanie starších faktúr použite rozsah dátumov
"Use one field for manual code entry, barcode scans, or QR scans.","Jedno pole použite na manuálne zadávanie kódu, skenovanie čiarových kódov alebo skenovanie QR kódov."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Použite jeden pracovný postup na kontrolu zostatkov, nové vydávanie a dopĺňanie bez opustenia POS."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Túto časť použite, keď údaje o nevyhnutných požiadavkách uložené vo vyrovnávacej pamäti vyžadujú obnovenie, prebudovanie alebo kontrolu diagnostiky."
Use Western numerals,Používajte západné číslice
Used:,Použité:
Using basic camera settings due to device limitations,Používanie základných nastavení fotoaparátu z dôvodu obmedzení zariadenia
Using cached customer balance,Používanie zostatku zákazníkov vo vyrovnávacej pamäti
Valid until,Platí do
Variance %,% rozptylu
Variants,Varianty
Variant-wise,Variantne
Verify closing amounts for each payment method,Overte konečné sumy pre každý spôsob platby
View all,Zobraziť všetky
View app information and current build details,Zobrazte informácie o aplikácii a podrobnosti o aktuálnej zostave
View Data Diagnostics,Zobraziť diagnostiku údajov
View Details,Zobraziť podrobnosti
View invoice details,Zobraziť podrobnosti faktúry
View notifications,Zobraziť upozornenia
View offline invoices,Pozrite si offline faktúry
View restricted POS insights,Zobraziť obmedzené štatistiky POS
Void Amount,Neplatná suma
Void Count,Void Count
Voids,Voids
Waiting for cart items,Čaká sa na položky košíka
Waiting for payment...,Čaká sa na platbu...
Walk-in Customer,Prichádzajúci zákazník
Warehouse,Sklad
Warning: High cache usage may affect performance.,Upozornenie: Vysoké využitie vyrovnávacej pamäte môže ovplyvniť výkon.
Warning: High lag may indicate heavy processing or browser slowness.,Upozornenie: Veľké oneskorenie môže naznačovať náročné spracovanie alebo pomalosť prehliadača.
Week ?,týždeň?
Week-wise,Týždenne
Weight (g),Hmotnosť (g)
Weight (grams),Hmotnosť (gramy)
We'll let you know if an invoice fails to submit,"Ak sa nepodarí odoslať faktúru, dáme vám vedieť"
Workflow,Pracovný postup
Write off amount cannot exceed the POS profile maximum of {0},Suma odpisu nemôže presiahnuť maximálnu hodnotu profilu POS {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,Suma odpisu presahuje povolený limit ({0}). Pridajte platbu za zostávajúcu sumu.
Yes,áno
"Yes, Cancel sale","Áno, zrušiť predaj"
"Yes, Close","Áno, zavrieť"
You are not allowed to print draft invoices,Nie je povolené tlačiť koncepty faktúr
You are offline. Add Payment will work again when the connection is restored.,Ste offline. Po obnovení pripojenia bude funkcia Pridať platbu znova fungovať.
You have no notifications right now,Momentálne nemáte žiadne upozornenia
Your Cart,Váš košík
