POS Awesome,พีเอส สุดเจ๋ง
Personal preferences adjust the current cashier experience without changing the active POS route.,การกำหนดลักษณะส่วนบุคคลจะปรับประสบการณ์แคชเชียร์ปัจจุบันโดยไม่ต้องเปลี่ยนเส้นทาง POS ที่ใช้งานอยู่
PIN confirmation does not match.,การยืนยัน PIN ไม่ตรงกัน
PIN must be 4 to 8 digits.,PIN ต้องเป็นตัวเลข 4 ถึง 8 หลัก
Please add at least one item.,โปรดเพิ่มอย่างน้อยหนึ่งรายการ
Please allow camera access to scan codes,โปรดอนุญาตให้กล้องเข้าถึงรหัสสแกน
Please enter payment amount,กรุณากรอกจำนวนเงินที่ชำระ
Please fill all required fields,กรุณากรอกข้อมูลในช่องที่ต้องกรอกทั้งหมด
Please make a payment or select a payment,กรุณาชำระเงินหรือเลือกการชำระเงิน
Please request phone payment or use another payment method,กรุณาขอชำระเงินทางโทรศัพท์หรือใช้วิธีการชำระเงินอื่น
Please select a customer first,กรุณาเลือกลูกค้าก่อน
Please select a party,กรุณาเลือกปาร์ตี้
Please select a party before reconciling.,โปรดเลือกฝ่ายก่อนที่จะกระทบยอด
Please select a valid movement type.,โปรดเลือกประเภทการเคลื่อนไหวที่ถูกต้อง
Please select an invoice,โปรดเลือกใบแจ้งหนี้
Please select company before reconciling.,กรุณาเลือกบริษัทก่อนที่จะกระทบยอด
Please set the customer's mobile number,กรุณากำหนดหมายเลขโทรศัพท์มือถือของลูกค้า
Please try again or enter the item manually.,โปรดลองอีกครั้งหรือป้อนรายการด้วยตนเอง
Please verify the barcode or check the item's availability.,กรุณาตรวจสอบบาร์โค้ดหรือตรวจสอบความพร้อมของสินค้า
Points,คะแนน
Popup blocked. Please allow popups.,ป๊อปอัปถูกบล็อก โปรดอนุญาตป๊อปอัป
POS,จุดขาย
POS controls and maintenance,การควบคุมและบำรุงรักษา POS
POS Expense is disabled for this POS Profile.,ค่าใช้จ่าย POS ถูกปิดใช้งานสำหรับโปรไฟล์ POS นี้
POS is running with limited offline prerequisites.,POS กำลังทำงานโดยมีข้อกำหนดเบื้องต้นแบบออฟไลน์ที่จำกัด
POS Profile,โปรไฟล์ POS
Position the QR code or barcode within the scanning area,วางตำแหน่งรหัส QR หรือบาร์โค้ดภายในพื้นที่การสแกน
Posting,กำลังโพสต์
Posting and Price List,การโพสต์และรายการราคา
Posting Date,วันที่โพสต์
Preparing background sync,กำลังเตรียมการซิงค์พื้นหลัง
"Press OK to continue offline with a warning, or Cancel to retry.",กดตกลงเพื่อดำเนินการต่อแบบออฟไลน์โดยมีคำเตือน หรือยกเลิกเพื่อลองอีกครั้ง
Previous unit of measure,หน่วยวัดก่อนหน้า
Price List,รายการราคา
Price List Rate,อัตรารายการราคา
Price list rate updated locally only,อัตรารายการราคาอัปเดตเฉพาะในพื้นที่เท่านั้น
Pricing & Discounts,ราคาและส่วนลด
Pricing Rule,กฎการกำหนดราคา
Print,พิมพ์
Print Draft,พิมพ์ร่าง
Print Format (Invoice),รูปแบบการพิมพ์ (ใบแจ้งหนี้)
Print Format (Order),รูปแบบการพิมพ์ (สั่งซื้อ)
Print invoice,พิมพ์ใบแจ้งหนี้
Print Purchase Invoice instead of PO,พิมพ์ใบกำกับสินค้าแทน PO
Printer,เครื่องพิมพ์
Processed returns impacting the shift totals,ผลตอบแทนที่ได้รับการประมวลผลส่งผลต่อผลรวมการเปลี่ยนแปลง
Processing Payment,กำลังประมวลผลการชำระเงิน
Processing payment entries for Invoice {0},กำลังประมวลผลรายการการชำระเงินสำหรับใบแจ้งหนี้ {0}
Profile,โปรไฟล์
Profiles,โปรไฟล์
Profit,กำไร
Profit: Invoice Item Estimate,กำไร: การประมาณรายการในใบแจ้งหนี้
Profit: Stock Ledger (COGS),กำไร: บัญชีแยกประเภทหุ้น (COGS)
Profitability Report,รายงานความสามารถในการทำกำไร
Prorated return discount,ส่วนลดการคืนสินค้าตามสัดส่วน
Purchase Amount,จำนวนการซื้อ
Purchase Invoices,ซื้อใบแจ้งหนี้
Purchase Order created,สร้างใบสั่งซื้อแล้ว
Qty,จำนวน
Qualified,ผ่านการรับรอง
Quantity,ปริมาณ
Quantity exceeds available stock,ปริมาณเกินสต็อกที่มีอยู่
Quick Actions,การดำเนินการด่วน
Quotation {0} is Submitted,ส่งใบเสนอราคา {0} แล้ว
Quotation submitted,ส่งใบเสนอราคาแล้ว
QZ Tray connected.,เชื่อมต่อถาด QZ แล้ว
QZ Tray is manually disconnected. Press Connect to enable it again.,QZ Tray ถูกยกเลิกการเชื่อมต่อด้วยตนเอง กดเชื่อมต่อเพื่อเปิดใช้งานอีกครั้ง
QZ Tray is not connected.,ไม่ได้เชื่อมต่อถาด QZ
QZ Tray Setup,การตั้งค่าถาด QZ
Rate,อัตรา
Rate adjusted to maximum allowed discount,อัตราปรับเป็นส่วนลดสูงสุดที่อนุญาต
Ready,พร้อม
Ready to resume,พร้อมดำเนินการต่อ
Ready!,พร้อม!
Real-time POS insights for retail operations.,ข้อมูลเชิงลึก POS แบบเรียลไทม์สำหรับการดำเนินธุรกิจค้าปลีก
Rebuild Offline Data,สร้างข้อมูลออฟไลน์ขึ้นมาใหม่
Receive,รับ
Receive now,รับเลย
Received,ได้รับแล้ว
Received:,ได้รับ:
Recent Movement Entries,รายการเคลื่อนไหวล่าสุด
Recent updates about your invoices,การอัปเดตล่าสุดเกี่ยวกับใบแจ้งหนี้ของคุณ
Recently Active Customers,ลูกค้าที่ใช้งานล่าสุด
Rechecking connection,กำลังตรวจสอบการเชื่อมต่ออีกครั้ง
Reconcile payment methods and close shift,กระทบยอดวิธีการชำระเงินและปิดกะ
Reconciling Payments,การกระทบยอดการชำระเงิน
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.",เชื่อมต่อใหม่และเปิดหน้านี้อีกครั้งในขณะที่ออนไลน์ จากนั้นการรีเฟรชแบบออฟไลน์จะสามารถกู้คืนได้
Reconnect online to refresh cached offline data from the server.,เชื่อมต่อออนไลน์อีกครั้งเพื่อรีเฟรชข้อมูลออฟไลน์ที่แคชไว้จากเซิร์ฟเวอร์
Recreate local offline prerequisites from scratch,สร้างข้อกำหนดเบื้องต้นแบบออฟไลน์ในเครื่องใหม่ตั้งแต่ต้น
Recv:,รับ:
Redeem,แลก
Redeem / Scan,แลก / สแกน
Redeem Amount,แลกจำนวนเงิน
Redeem Mode,แลกโหมด
Redeemed Amount,จำนวนเงินที่ไถ่ถอน
Redeemed credit cannot be greater than its total.,เครดิตที่แลกต้องไม่เกินยอดรวม
Redemption and Totals,การไถ่ถอนและยอดรวม
Reference,อ้างอิง
Refresh,รีเฟรช
Refresh Exchange Rate,รีเฟรชอัตราแลกเปลี่ยน
Refresh Offline Data,รีเฟรชข้อมูลออฟไลน์
Refresh Printers,รีเฟรชเครื่องพิมพ์
Refund,การคืนเงิน
Release Notes,บันทึกประจำรุ่น
Reload,โหลดซ้ำ
Reload customers,โหลดลูกค้าอีกครั้ง
Reload Items,โหลดรายการซ้ำ
Reload Now,โหลดใหม่ตอนนี้
Reload to apply the latest changes. Your current session will be refreshed.,โหลดซ้ำเพื่อใช้การเปลี่ยนแปลงล่าสุด เซสชั่นปัจจุบันของคุณจะถูกรีเฟรช
Reload Workflow,โหลดเวิร์กโฟลว์อีกครั้ง
Remarks,หมายเหตุ
Remarks are required.,จำเป็นต้องมีข้อสังเกต
Remove,ลบ
Remove barcode item,ลบรายการบาร์โค้ด
Remove cached data and reload the POS app,ลบข้อมูลที่แคชไว้และโหลดแอป POS อีกครั้ง
Remove item,ลบรายการ
Remove Offer,ลบข้อเสนอ
Reorder / Purchase Suggestions,สั่งซื้อใหม่/แนะนำการซื้อ
Repair Candidate,ผู้สมัครซ่อม
Repair Change Allocation,การซ่อมแซมการจัดสรรการเปลี่ยนแปลง
Repair requires an online connection,การซ่อมแซมต้องใช้การเชื่อมต่อออนไลน์
Repaired,ซ่อมแซมแล้ว
Repairing change allocation,กำลังซ่อมแซมการจัดสรรการเปลี่ยนแปลง
Repeat Customers,ลูกค้าทำซ้ำ
Repeat Rate,อัตราการทำซ้ำ
Request,คำขอ
Request ID: {0},รหัสคำขอ: {0}
Request Payment,ขอชำระเงิน
Requested route: {0},เส้นทางที่ร้องขอ: {0}
Required columns cannot be hidden,ไม่สามารถซ่อนคอลัมน์ที่จำเป็นได้
Reset,รีเซ็ต
Reset item name,รีเซ็ตชื่อรายการ
Reset to Default,รีเซ็ตเป็นค่าเริ่มต้น
Resource Health,สุขภาพของทรัพยากร
Restricted,ถูกจำกัด
Restricted operational controls for supervisors only.,การควบคุมการปฏิบัติงานแบบจำกัดสำหรับผู้บังคับบัญชาเท่านั้น
Retry,ลองอีกครั้ง
Retry route,ลองเส้นทางอีกครั้ง
Return,กลับ
Return Amount,จำนวนเงินส่งคืน
Return Count,จำนวนการส่งคืน
Return items must have negative quantities,สินค้าที่ส่งคืนต้องมีปริมาณเป็นลบ
Return total must be negative,ผลรวมผลตอบแทนต้องเป็นลบ
Return Valid Until,ส่งคืนได้จนถึง
Return window passed,ผ่านหน้าต่างการคืนสินค้าแล้ว
Return without Invoice,กลับโดยไม่มีใบแจ้งหนี้
Returns,การส่งคืน
Returns / Voids / Discounts,การคืนสินค้า / ถือเป็นโมฆะ / ส่วนลด
Returns by Currency,ส่งคืนตามสกุลเงิน
Revenue,รายได้
Review shift totals before submitting the closing entry,ตรวจสอบผลรวมกะก่อนที่จะส่งรายการปิดบัญชี
Round Off,ปิดรอบ
Rows,แถว
Rows:,แถว:
Rule,กฎ
Sale,ขาย
Sales,การขาย
Sales Order {0} is Submitted,ส่งใบสั่งขาย {0} แล้ว
Sales Person and Print,พนักงานขายและพิมพ์
Sales Person not found,ไม่พบพนักงานขาย
Sales processed,ดำเนินการขายแล้ว
Sales Return,ขายคืน
Sales Trend Report,รายงานแนวโน้มการขาย
Save,บันทึก
Save & Clear,บันทึกและล้าง
Save as POS Profile Default,บันทึกเป็นค่าเริ่มต้นโปรไฟล์ POS
Save Settings,บันทึกการตั้งค่า
Save the selected printer as the POS Profile default so it shows automatically on this setup.,บันทึกเครื่องพิมพ์ที่เลือกเป็นค่าเริ่มต้นของโปรไฟล์ POS เพื่อให้แสดงโดยอัตโนมัติในการตั้งค่านี้
Saved as draft because: {0},บันทึกเป็นฉบับร่างเนื่องจาก: {0}
Saving...,กำลังบันทึก...
Scale barcode detected. Quantity here is the number of labels to print.,ตรวจพบบาร์โค้ดขนาด ปริมาณในที่นี้คือจำนวนฉลากที่จะพิมพ์
Scale barcode settings are not configured. Using item barcode only.,การตั้งค่าบาร์โค้ดมาตราส่วนไม่ได้รับการกำหนดค่า ใช้บาร์โค้ดรายการเท่านั้น
Scale template barcode is missing for this item/UOM. Using item barcode only.,บาร์โค้ดเทมเพลตมาตราส่วนหายไปสำหรับสินค้า/หน่วยนี้ ใช้บาร์โค้ดรายการเท่านั้น
Scan an existing card and top it up without leaving the payment flow.,สแกนบัตรที่มีอยู่แล้วเติมเงินโดยไม่ต้องออกจากขั้นตอนการชำระเงิน
Scan Error,ข้อผิดพลาดในการสแกน
Scan or enter a gift card code to check balance or redeem.,สแกนหรือป้อนรหัสบัตรของขวัญเพื่อตรวจสอบยอดคงเหลือหรือแลก
Scan or paste the card code below.,สแกนหรือวางรหัสบัตรด้านล่าง
Scan QR Code/Barcode,สแกนรหัส QR/บาร์โค้ด
Scan with camera,สแกนด้วยกล้อง
Scan-First Flow,สแกนขั้นตอนแรก
Scanned Code:,รหัสที่สแกน:
Scanning for: {0},กำลังสแกนหา: {0}
Scanning items,กำลังสแกนรายการ
Scan-Ready,พร้อมสแกน
Scope,ขอบเขต
Scope: All Profiles,ขอบเขต: โปรไฟล์ทั้งหมด
Scope: Current Profile,ขอบเขต: โปรไฟล์ปัจจุบัน
Scope: Specific Profile,ขอบเขต: โปรไฟล์เฉพาะ
Search,ค้นหา
Search Account,ค้นหาบัญชี
Search an invoice and continue the return flow without extra steps.,ค้นหาใบแจ้งหนี้และดำเนินการขั้นตอนการคืนสินค้าต่อไปโดยไม่มีขั้นตอนเพิ่มเติม
Search customer,ค้นหาลูกค้า
Search invoices or customers,ค้นหาใบแจ้งหนี้หรือลูกค้า
Search item,ค้นหารายการ
Search item / code,ค้นหารายการ/รหัส
Search items or barcode,ค้นหารายการหรือบาร์โค้ด
Search Mpesa Payments,ค้นหาการชำระเงิน Mpesa
Search return invoices or customers,ค้นหาใบแจ้งหนี้การคืนสินค้าหรือลูกค้า
Search supplier,ค้นหาซัพพลายเออร์
Search unpaid invoices or customers,ค้นหาใบแจ้งหนี้หรือลูกค้าที่ค้างชำระ
Secure context (HTTPS or localhost) is required for camera access.,จำเป็นต้องมีบริบทที่ปลอดภัย (HTTPS หรือ localhost) สำหรับการเข้าถึงกล้อง
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,บริบทที่ปลอดภัย (HTTPS) ที่จำเป็นสำหรับการเข้าถึงกล้อง โปรดใช้ HTTPS เพื่อเข้าถึงกล้อง
Select,เลือก
Select a cashier first.,เลือกแคชเชียร์ก่อน
Select a customer,เลือกลูกค้า
Select a customer to use coupon,เลือกลูกค้าที่จะใช้คูปอง
Select a printer to use QZ silent printing.,เลือกเครื่องพิมพ์เพื่อใช้การพิมพ์แบบเงียบของ QZ
Select Batch,เลือกแบทช์
Select Columns to Display,เลือกคอลัมน์ที่จะแสดง
Select items to sell,เลือกสินค้าที่จะขาย
Select Payment,เลือกการชำระเงิน
Select Payment Account,เลือกบัญชีการชำระเงิน
Select printer,เลือกเครื่องพิมพ์
Select Return Invoice,เลือกใบกำกับสินค้าคืน
Select S.O,เลือกส.อ
Select Sales Orders,เลือกใบสั่งขาย
Select the cashier who is taking over this terminal.,เลือกแคชเชียร์ที่จะเข้าควบคุมเครื่องนี้
Selected,เลือกแล้ว
Selected movement type is not allowed by POS Profile.,ประเภทการเคลื่อนไหวที่เลือกไม่ได้รับอนุญาตจากโปรไฟล์ POS
Selected Payments,การชำระเงินที่เลือก
Sensitive actions kept away from quick taps.,การดำเนินการที่ละเอียดอ่อนอยู่ห่างจากการแตะอย่างรวดเร็ว
Serial,อนุกรม
Serial Numbers,หมายเลขซีเรียล
Server CPU Usage:,การใช้งาน CPU ของเซิร์ฟเวอร์:
Server Health,ความสมบูรณ์ของเซิร์ฟเวอร์
Server Memory Usage:,การใช้หน่วยความจำเซิร์ฟเวอร์:
Server Metrics,ตัวชี้วัดเซิร์ฟเวอร์
Server Uptime:,เวลาทำงานของเซิร์ฟเวอร์:
Service Charges,ค่าบริการ
Session,เซสชัน
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,ตั้งค่า PIN แคชเชียร์แต่ละรายการในแบบฟอร์มผู้ใช้ และกำหนดสมาชิกเครื่องปลายทางไว้ในผู้ใช้โปรไฟล์ POS
Settings,การตั้งค่า
Settings in this section update the POS workspace without changing the current route.,การตั้งค่าในส่วนนี้จะอัปเดตพื้นที่ทำงาน POS โดยไม่ต้องเปลี่ยนเส้นทางปัจจุบัน
Setup complete!,การตั้งค่าเสร็จสมบูรณ์!
Share,แบ่งปัน
Shared terminal,เทอร์มินัลที่ใช้ร่วมกัน
Shift Closed Snapshot,Shift สแนปชอตปิด
Shift Overview,ภาพรวมการเปลี่ยนแปลง
Show,แสดง
Show cart on customer-facing screen,แสดงตะกร้าสินค้าบนหน้าจอที่ติดต่อกับลูกค้า
Show last invoice rate,แสดงอัตราใบแจ้งหนี้ล่าสุด
Show rate info,แสดงข้อมูลอัตรา
Show Repair Candidates,แสดงผู้สมัครซ่อม
Show search tools,แสดงเครื่องมือค้นหา
Show the active cart on a customer-facing screen,แสดงรถเข็นที่ใช้งานอยู่บนหน้าจอที่ติดต่อกับลูกค้า
Showing {0}-{1} of {2},กำลังแสดง {0}-{1} จาก {2}
Showing 0 of 0,กำลังแสดง 0 จาก 0
Shows the distribution of invoices per currency,แสดงการกระจายใบแจ้งหนี้ตามสกุลเงิน
Sign out of the current POS session,ออกจากระบบเซสชัน POS ปัจจุบัน
Size:,ขนาด:
Skipped Payments,ข้ามการชำระเงิน
Skipping items without barcodes,ข้ามรายการที่ไม่มีบาร์โค้ด
Slow Moving,เคลื่อนไหวช้า
Slow Moving Items,รายการที่เคลื่อนไหวช้า
Slow Queries:,แบบสอบถามช้า:
Sold,ขายแล้ว
Source,แหล่งที่มา
Source Cash Account (Optional Override),บัญชีเงินสดต้นทาง (แทนที่หรือไม่ก็ได้)
Source Ex. Rate:,ที่มา เช่น อัตรา:
Source Rate:,อัตราแหล่งที่มา:
Specific Profile,โปรไฟล์เฉพาะ
Split Invoices,แยกใบแจ้งหนี้
Staff / Cashier Performance Report,รายงานผลการปฏิบัติงานของพนักงาน/แคชเชียร์
Status,สถานะ
Stock,หุ้น
Stock Information,ข้อมูลหุ้น
Stock is lower than requested,สต็อกต่ำกว่าที่ร้องขอ
Stock is lower than requested:\n{0},สต็อกต่ำกว่าที่ร้องขอ:\n{0}
Stock Movement Report,รายงานความเคลื่อนไหวของสต็อก
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,อัปเดตสต็อก: {0} มี {1} ว่าง การเพิ่ม {2} จะทำให้หุ้นต่ำกว่าศูนย์
Submit,ส่ง
Submit & Print,ส่งและพิมพ์
Submit Deposit,ฝากส่ง
Submit Expense,ส่งค่าใช้จ่าย
Submitted,ส่งแล้ว
Submitted Cash Movements,การเคลื่อนย้ายเงินสดที่ส่งแล้ว
Submitted entries,รายการที่ส่งแล้ว
Successfully scanned:,สแกนสำเร็จแล้ว:
Suggested,แนะนำ
Suggested Qty,ปริมาณที่แนะนำ
Supervisor Access,การเข้าถึงของหัวหน้างาน
Supervisor permissions unlock issuance and reloads,สิทธิ์ของหัวหน้างานจะปลดล็อกการออกและโหลดซ้ำ
Supervisor Tools,เครื่องมือหัวหน้างาน
Supplier,ซัพพลายเออร์
Supplier and dates are required.,ต้องระบุซัพพลายเออร์และวันที่
Supplier Invoices,ใบแจ้งหนี้ของซัพพลายเออร์
Supplier is required.,จำเป็นต้องมีซัพพลายเออร์
Supplier name is required,ต้องระบุชื่อซัพพลายเออร์
Supplier Payments,การชำระเงินของซัพพลายเออร์
Supplier Purchase Summary,สรุปการจัดซื้อของซัพพลายเออร์
Suppliers,ซัพพลายเออร์
Suppliers not found,ไม่พบซัพพลายเออร์
Switch Camera,สลับกล้อง
Switch Cashier,สลับแคชเชียร์
Switch the POS appearance theme,สลับธีมลักษณะที่ปรากฏของ POS
Switched to:,เปลี่ยนเป็น:
Sync All Invoices,ซิงค์ใบแจ้งหนี้ทั้งหมด
Sync Offline Cash Movements ({0}),ซิงค์การเคลื่อนย้ายเงินสดออฟไลน์ ({0})
Sync Offline Sales,ซิงค์การขายออฟไลน์
Synced {0} offline cash movement(s).,ซิงค์การเคลื่อนไหวของเงินสดออฟไลน์ {0} รายการ
Syncing items in background,กำลังซิงค์รายการในพื้นหลัง
System / Diagnostics,ระบบ / การวินิจฉัย
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.",การทำงานของระบบคือการควบคุมการบำรุงรักษาความถี่ต่ำ เช่น ข้อมูลแอป การวินิจฉัยการสนับสนุน และการควบคุมเซสชัน
System Information,ข้อมูลระบบ
System Status,สถานะของระบบ
Tables:,ตาราง:
Tap the button below to redeem a gift card during checkout.,แตะปุ่มด้านล่างเพื่อแลกบัตรของขวัญระหว่างชำระเงิน
Target,เป้าหมาย
Target Ex. Rate:,เป้าหมาย เช่น อัตรา:
Target Rate:,อัตราเป้าหมาย:
Tax,ภาษี
Tax / Charges Report,รายงานภาษี / ค่าธรรมเนียม
Tax Heads,หัวหน้าภาษี
Taxable Amount,จำนวนเงินที่ต้องเสียภาษี
Tendered,ประกวดราคาแล้ว
Terminal,เทอร์มินัล
Terminal & Devices,เทอร์มินัลและอุปกรณ์
Terminal locked,เทอร์มินัลถูกล็อค
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.",เครื่องมือเทอร์มินัลส่งผลต่อสถานีชำระเงิน จอแสดงผลที่ติดต่อกับลูกค้า และการควบคุมเครื่องพิมพ์/อุปกรณ์ในอนาคต
Territory not found,ไม่พบอาณาเขต
The amount paid is not complete,จำนวนเงินที่ชำระไม่ครบถ้วน
The app stores data locally for offline use. This is called cache.,แอปจัดเก็บข้อมูลไว้ในเครื่องเพื่อการใช้งานออฟไลน์ สิ่งนี้เรียกว่าแคช
The invoice stayed in draft. Please review and submit it manually.,ใบแจ้งหนี้ยังคงอยู่ในร่าง โปรดตรวจสอบและส่งด้วยตนเอง
The maximum discount allowed is,ส่วนลดสูงสุดที่อนุญาตคือ
The quantity for {0} has been adjusted to the maximum available stock.,ปริมาณสำหรับ {0} ได้รับการปรับให้เป็นสต็อกสูงสุดที่มีอยู่
The system could not retrieve the item details. Please try again.,ระบบไม่สามารถเรียกรายละเอียดของรายการได้ โปรดลองอีกครั้ง
These invoices will be synced when connection is restored,ใบแจ้งหนี้เหล่านี้จะถูกซิงค์เมื่อการเชื่อมต่อกลับคืนมา
This action now opens inside the settings workspace.,การดำเนินการนี้จะเปิดขึ้นภายในพื้นที่ทำงานการตั้งค่า
This coupon already used !,คูปองนี้ถูกใช้ไปแล้ว !
This invoice does not need change-allocation repair,ใบแจ้งหนี้นี้ไม่จำเป็นต้องซ่อมแซมการปันส่วนการเปลี่ยนแปลง
This invoice is already repaired,ใบแจ้งหนี้นี้ได้รับการซ่อมแซมแล้ว
This is an item template. Please choose a variant.,นี่คือเทมเพลตรายการ โปรดเลือกรุ่น
this item,รายการนี้
This POS page could not be opened offline because its code was not cached on this terminal yet.,ไม่สามารถเปิดหน้า POS นี้แบบออฟไลน์ได้ เนื่องจากรหัสของหน้ายังไม่ได้แคชบนเทอร์มินัลนี้
This Serial Number {0} has already been added!,เพิ่มหมายเลขซีเรียลนี้ {0} แล้ว!
Threshold,เกณฑ์
Time,เวลา
Tip: Clear cache regularly to free up space and keep the app fast.,เคล็ดลับ: ล้างแคชเป็นประจำเพื่อเพิ่มพื้นที่ว่างและทำให้แอปรวดเร็ว
Tip: Close unused tabs or apps to reduce lag.,เคล็ดลับ: ปิดแท็บหรือแอปที่ไม่ได้ใช้เพื่อลดความล่าช้า
Tip: Monitor slow queries and table size for optimal performance.,เคล็ดลับ: ตรวจสอบการสืบค้นที่ช้าและขนาดตารางเพื่อประสิทธิภาพสูงสุด
To Be Paid,ที่จะได้รับการชำระเงิน
To Date,จนถึงปัจจุบัน
Today,วันนี้
Today Profit,วันนี้กำไร.
Today Sales,วันนี้ขาย
Toggle navigation drawer,สลับลิ้นชักการนำทาง
Toggle Theme,สลับธีม
Tools,เครื่องมือ
Tools for customer-facing screens and terminal-specific actions.,เครื่องมือสำหรับหน้าจอที่ติดต่อกับลูกค้าและการดำเนินการเฉพาะเครื่อง
Top Brand,แบรนด์ชั้นนำ
Top Category,หมวดหมู่ยอดนิยม
Top Charge Head,หัวชาร์จสูงสุด
Top Customers,ลูกค้าชั้นนำ
Top Discount,ส่วนลดสูงสุด
Top Items by Location,รายการยอดนิยมตามสถานที่
Top Margin,ขอบบนสุด
Top Pending,สูงสุดที่รอดำเนินการ
Top Profit Item,รายการกำไรสูงสุด
Top Return Items,รายการส่งคืนยอดนิยม
Top Sales by Cashier,ยอดขายสูงสุดโดยแคชเชียร์
Top Supplier,ซัพพลายเออร์ชั้นนำ
Top Suppliers by Spend,ซัพพลายเออร์ยอดนิยมตามการใช้จ่าย
Top Tables,ตารางยอดนิยม
Top Tax Head,หัวหน้าภาษีชั้นนำ
Top Up Amount,จำนวนเงินที่เติม
Top Up Card,บัตรเติมเงิน
Top Up Mode,โหมดเติมเงิน
Top Variant,รุ่นยอดนิยม
Total,รวม
Total Amount,จำนวนเงินทั้งหมด
Total Change,การเปลี่ยนแปลงทั้งหมด
Total Charges,ค่าใช้จ่ายทั้งหมด
Total In,รวมเข้า
Total Invoices,ใบแจ้งหนี้ทั้งหมด
Total Items,รายการทั้งหมด
Total Mpesa,รวม Mpesa
Total Out,รวมออก
Total Payments,การชำระเงินทั้งหมด
Total Purchase,ยอดซื้อรวม
Total Selected :,รวมที่เลือก :
Total Size,ขนาดรวม
Total Stock Qty,จำนวนสต็อกทั้งหมด
Total:,รวม:
Totals by Invoice Currency,ยอดรวมตามสกุลเงินของใบแจ้งหนี้
Track how much cash was handed back to customers,ติดตามจำนวนเงินที่ส่งคืนให้กับลูกค้า
"Track recent sales, collect unpaid balances, and reopen saved work",ติดตามยอดขายล่าสุด รวบรวมยอดค้างชำระ และเปิดงานที่บันทึกไว้อีกครั้ง
Transaction ID,รหัสธุรกรรม
Transfer,โอน
Try a different search term or clear the cart search.,ลองใช้คำค้นหาอื่นหรือล้างการค้นหาในรถเข็น
Try adjusting your search or filters,ลองปรับการค้นหาหรือตัวกรองของคุณ
Try another source or refresh the list.,ลองแหล่งอื่นหรือรีเฟรชรายการ
Try changing the date range or status filter.,ลองเปลี่ยนช่วงวันที่หรือตัวกรองสถานะ
Type,ประเภท
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,ไม่สามารถเข้าถึงกล้องได้แม้จะมีการตั้งค่าพื้นฐานก็ตาม โปรดตรวจสอบการอนุญาตกล้องและความเข้ากันได้ของอุปกรณ์
Unable to add offer item {0}. Please refresh and try again.,ไม่สามารถเพิ่มรายการข้อเสนอ {0} โปรดรีเฟรชและลองอีกครั้ง
Unable to add offer item. Please refresh and try again.,ไม่สามารถเพิ่มรายการข้อเสนอได้ โปรดรีเฟรชและลองอีกครั้ง
Unable to add scanned item.,ไม่สามารถเพิ่มรายการที่สแกนได้
Unable to create purchase order,ไม่สามารถสร้างใบสั่งซื้อได้
Unable to delete draft invoice,ไม่สามารถลบใบแจ้งหนี้ฉบับร่างได้
Unable to fetch documents,ไม่สามารถดึงเอกสารได้
Unable to fetch draft orders,ไม่สามารถดึงคำสั่งซื้อฉบับร่างได้
Unable to fetch invoice history,ไม่สามารถดึงประวัติใบแจ้งหนี้ได้
Unable to fetch M-Pesa payments,ไม่สามารถรับการชำระเงิน M-Pesa
Unable to fetch sales orders,ไม่สามารถดึงข้อมูลใบสั่งขายได้
Unable to fetch unpaid invoices,ไม่สามารถดึงใบแจ้งหนี้ที่ค้างชำระได้
Unable to generate scale barcode,ไม่สามารถสร้างบาร์โค้ดขนาดได้
Unable to issue gift card.,ไม่สามารถออกบัตรของขวัญได้
Unable to load cashier PIN status.,ไม่สามารถโหลดสถานะ PIN แคชเชียร์ได้
Unable to load document,ไม่สามารถโหลดเอกสารได้
Unable to load draft invoice,ไม่สามารถโหลดใบแจ้งหนี้ฉบับร่างได้
Unable to load gift card balance.,ไม่สามารถโหลดยอดคงเหลือบัตรของขวัญได้
Unable to load invoice details,ไม่สามารถโหลดรายละเอียดใบแจ้งหนี้ได้
Unable to load parked order,ไม่สามารถโหลดคำสั่งซื้อที่จอดไว้ได้
Unable to load the selected sales order,ไม่สามารถโหลดใบสั่งขายที่เลือกได้
Unable to prepare document,ไม่สามารถเตรียมเอกสารได้
Unable to prepare return invoice,ไม่สามารถจัดทำใบกำกับสินค้าคืนได้
Unable to print draft invoice,ไม่สามารถพิมพ์ใบแจ้งหนี้ฉบับร่างได้
Unable to print submitted invoice,ไม่สามารถพิมพ์ใบแจ้งหนี้ที่ส่งมาได้
Unable to process document action,ไม่สามารถประมวลผลการดำเนินการของเอกสารได้
Unable to repair change allocation,ไม่สามารถซ่อมแซมการจัดสรรการเปลี่ยนแปลงได้
Unable to save cashier PIN.,ไม่สามารถบันทึก PIN แคชเชียร์ได้
Unable to save the rate to the backend price list,ไม่สามารถบันทึกอัตราลงในรายการราคาแบ็กเอนด์ได้
Unable to submit invoice,ไม่สามารถส่งใบแจ้งหนี้ได้
