POS Awesome,POS Прекрасно
This Serial Number {0} has already been added!,Овој сериски број {0} е веќе додаден!
Threshold,Праг
Time,Време
Tip: Clear cache regularly to free up space and keep the app fast.,Совет: редовно чистете го кешот за да ослободите простор и да ја одржувате апликацијата брза.
Tip: Close unused tabs or apps to reduce lag.,Совет: затворете ги неискористените јазичиња или апликации за да го намалите доцнењето.
Tip: Monitor slow queries and table size for optimal performance.,Совет: Следете ги бавните барања и големината на табелата за оптимални перформанси.
To Be Paid,Да се плати
To Date,До денес
Today,Денес
Today Profit,Денес профит
Today Sales,Денес продажба
Toggle navigation drawer,Вклучете ја фиоката за навигација
Toggle Theme,Вклучете ја темата
Tools,Алатки
Tools for customer-facing screens and terminal-specific actions.,Алатки за екрани свртени кон клиентите и дејства специфични за терминал.
Top Brand,Топ бренд
Top Category,Топ категорија
Top Charge Head,Врвна глава за полнење
Top Customers,Врвни клиенти
Top Discount,Врвен попуст
Top Items by Location,Топ ставки по локација
Top Margin,Врвна маржа
Top Pending,Топ Во очекување
Top Profit Item,Топ профитна ставка
Top Return Items,Врвни артикли за враќање
Top Sales by Cashier,Топ продажби по касиерка
Top Supplier,Врвен добавувач
Top Suppliers by Spend,Најдобри добавувачи по Spend
Top Tables,Топ табели
Top Tax Head,Врвен даночен раководител
Top Up Amount,Дополнителна сума
Top Up Card,Надополнување картичка
Top Up Mode,Режим на надополнување
Top Variant,Топ варијанта
Total,Вкупно
Total Amount,Вкупен износ
Total Change,Вкупна промена
Total Charges,Вкупни трошоци
Total In,Вкупно во
Total Invoices,Вкупно фактури
Total Items,Вкупно ставки
Total Mpesa,Вкупно Mpesa
Total Out,Вкупно надвор
Total Payments,Вкупно плаќања
Total Purchase,Вкупно купување
Total Selected :,Вкупно избрани:
Total Size,Вкупна големина
Total Stock Qty,Вкупно залихи Количина
Total:,Вкупно:
Totals by Invoice Currency,Вкупно по валута на фактура
Track how much cash was handed back to customers,Следете колку пари им биле вратени на клиентите
"Track recent sales, collect unpaid balances, and reopen saved work","Следете ги неодамнешните продажби, собирајте неплатени салда и повторно отворете ја зачуваната работа"
Transaction ID,ID на трансакција
Transfer,Трансфер
Try a different search term or clear the cart search.,Обидете се со друг термин за пребарување или исчистете го пребарувањето на количката.
Try adjusting your search or filters,Обидете се да го прилагодите вашето пребарување или филтри
Try another source or refresh the list.,Обидете се со друг извор или освежете ја листата.
Try changing the date range or status filter.,Обидете се да го промените опсегот на датуми или статусниот филтер.
Type,Тип
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,Не можам да пристапам до камерата дури и со основните поставки. Проверете ги дозволите за камерата и компатибилноста на уредот.
Unable to add offer item {0}. Please refresh and try again.,Не може да се додаде ставка од понудата {0}. Освежете се и обидете се повторно.
Unable to add offer item. Please refresh and try again.,Не може да се додаде ставка од понудата. Освежете се и обидете се повторно.
Unable to add scanned item.,Не може да се додаде скенирана ставка.
Unable to create purchase order,Не може да се создаде нарачка
Unable to delete draft invoice,Не може да се избрише нацрт-фактурата
Unable to fetch documents,Не може да се преземат документи
Unable to fetch draft orders,Не може да се преземат нацрт нарачките
Unable to fetch invoice history,Не може да се преземе историјата на фактури
Unable to fetch M-Pesa payments,Не може да се преземат плаќањата на M-Pesa
Unable to fetch sales orders,Не може да се преземат нарачките за продажба
Unable to fetch unpaid invoices,Не може да се преземат неплатени фактури
Unable to generate scale barcode,Не може да се генерира баркод за скала
Unable to issue gift card.,Не може да се издаде картичка за подарок.
Unable to load cashier PIN status.,Не може да се вчита PIN статусот на касиерот.
Unable to load document,Не може да се вчита документот
Unable to load draft invoice,Не може да се вчита нацрт-фактурата
Unable to load gift card balance.,Не може да се вчита салдото на картичката за подарок.
Unable to load invoice details,Не може да се вчитаат деталите за фактурата
Unable to load parked order,Не може да се вчита паркирана нарачка
Unable to load the selected sales order,Не може да се вчита избраната нарачка за продажба
Unable to prepare document,Не може да се подготви документ
Unable to prepare return invoice,Не може да се подготви повратна фактура
Unable to print draft invoice,Не може да се испечати нацрт-фактурата
Unable to print submitted invoice,Не може да се испечати поднесената фактура
Unable to process document action,Не може да се обработи дејството на документот
Unable to repair change allocation,Не може да се поправи распределбата на промените
Unable to save cashier PIN.,Не може да се зачува PIN-кодот на благајната.
Unable to save the rate to the backend price list,Не може да се зачува стапката на ценовникот на задниот дел
Unable to submit invoice,Не може да се поднесе фактура
Unable to submit the selected payment,Не може да се поднесе избраното плаќање
Unable to top up gift card.,Не може да се надополни картичката за подарок.
Unable to verify cashier PIN.,Не може да се потврди PIN-кодот на благајната.
Unallocated,Нераспределени
Unallocated:,Нераспределено:
Unavailable,Недостапно
Unknown,Непознат
Unknown Item,Непозната ставка
Unknown Warehouse,Непознат магацин
Unlock POS,Отклучете го ПОС
Unpaid,Неплатено
"Unselected payments stay unallocated first, then auto reconcile after submit.","Неизбраните плаќања прво остануваат нераспределени, а потоа автоматски се усогласуваат по поднесувањето."
UOM,УОМ
UOM not found,UOM не е пронајден
Update available,Достапно е ажурирање
Update Customer,Ажурирајте го клиентот
Update PIN,Ажурирајте го PIN-кодот
Update Price List Rate,Ажурирајте ја стапката на ценовникот
Updated,Ажурирано
Updates and app info that stay out of the cashier flow.,Ажурирања и информации за апликациите што остануваат надвор од протокот на каса.
Updates automatically,Ажурира автоматски
Usage,Употреба
Usage Stats,Статистика за користење
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Користете PIN од 4 до 8 цифри за префрлување каса и отклучување на терминалот.
Use Cashier,Користете Касиерка
Use date range to search for older invoices,Користете опсег на датуми за пребарување постари фактури
"Use one field for manual code entry, barcode scans, or QR scans.","Користете едно поле за рачно внесување код, скенирање на баркод или QR скенирање."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Користете еден работен тек за проверки на рамнотежа, ново издавање и дополнувања без напуштање на ПОС."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Користете го овој дел кога кешираните предусловни податоци бараат освежување, обнова или дијагностички преглед."
Use Western numerals,Користете западни броеви
Used:,Се користи:
Using basic camera settings due to device limitations,Користење на основните поставки на камерата поради ограничувањата на уредот
Using cached customer balance,Користење на кеширано салдо на клиентите
Valid until,Важи до
Variance %,Варијанса %
Variants,Варијанти
Variant-wise,Варијанта-мудар
Verify closing amounts for each payment method,Потврдете ги износите за затворање за секој начин на плаќање
View all,Прикажи ги сите
View app information and current build details,Погледнете ги информациите за апликацијата и тековните детали за изградбата
View Data Diagnostics,Прикажи дијагностика на податоци
View Details,Погледнете ги деталите
View invoice details,Погледнете ги деталите за фактурата
View notifications,Погледнете ги известувањата
View offline invoices,Прикажи офлајн фактури
View restricted POS insights,Прикажи ограничени POS увиди
Void Amount,Неважечка сума
Void Count,Број на празнини
Voids,Празнини
Waiting for cart items,Се чекаат ставки од количката
Waiting for payment...,Се чека плаќање...
Walk-in Customer,Вклучен клиент
Warehouse,Магацин
Warning: High cache usage may affect performance.,Предупредување: високата употреба на кешот може да влијае на перформансите.
Warning: High lag may indicate heavy processing or browser slowness.,Предупредување: големото доцнење може да укаже на тешка обработка или бавност на прелистувачот.
Week ?,Недела?
Week-wise,Неделно
Weight (g),Тежина (g)
Weight (grams),Тежина (грамови)
We'll let you know if an invoice fails to submit,Ќе ве известиме ако фактурата не се достави
Workflow,Работен тек
Write off amount cannot exceed the POS profile maximum of {0},Износот за отпис не може да го надмине максимумот на POS профилот од {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,Износот за отпис го надминува дозволеното ограничување ({0}). Додадете уплата за преостанатиот износ.
Yes,Да
"Yes, Cancel sale","Да, откажете ја продажбата"
"Yes, Close","Да, Затвори"
You are not allowed to print draft invoices,Не ви е дозволено да печатите нацрт-фактури
You are offline. Add Payment will work again when the connection is restored.,Вие сте офлајн. Додај плаќање ќе работи повторно кога ќе се врати врската.
You have no notifications right now,Немате известувања во моментов
Your Cart,Вашата кошничка
