POS Awesome,ПОС Авесоме
Totals by Invoice Currency,Укупно према валути фактуре
Track how much cash was handed back to customers,Пратите колико је готовине враћено купцима
"Track recent sales, collect unpaid balances, and reopen saved work","Пратите недавне продаје, прикупите неплаћена стања и поново отворите сачувани рад"
Transaction ID,ИД трансакције
Transfer,Трансфер
Try a different search term or clear the cart search.,Покушајте са другим термином за претрагу или обришите претрагу у корпи.
Try adjusting your search or filters,Покушајте да прилагодите претрагу или филтере
Try another source or refresh the list.,Покушајте са другим извором или освежите листу.
Try changing the date range or status filter.,Покушајте да промените период или филтер статуса.
Type,Тип
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,Није могуће приступити камери чак ни са основним подешавањима. Проверите дозволе за камеру и компатибилност уређаја.
Unable to add offer item {0}. Please refresh and try again.,Није могуће додати ставку понуде {0}. Освежите и покушајте поново.
Unable to add offer item. Please refresh and try again.,Није могуће додати ставку понуде. Освежите и покушајте поново.
Unable to add scanned item.,Није могуће додати скенирану ставку.
Unable to create purchase order,Није могуће креирати налог за куповину
Unable to delete draft invoice,Није могуће избрисати нацрт фактуре
Unable to fetch documents,Није могуће преузети документе
Unable to fetch draft orders,Није могуће преузети нацрте налога
Unable to fetch invoice history,Није могуће преузети историју фактура
Unable to fetch M-Pesa payments,Није могуће преузети М-Песа уплате
Unable to fetch sales orders,Није могуће преузети продајне налоге
Unable to fetch unpaid invoices,Није могуће преузети неплаћене фактуре
Unable to generate scale barcode,Није могуће генерисати скали бар код
Unable to issue gift card.,Није могуће издати поклон картицу.
Unable to load cashier PIN status.,Није могуће учитати ПИН статус благајника.
Unable to load document,Није могуће учитати документ
Unable to load draft invoice,Није могуће учитати нацрт фактуре
Unable to load gift card balance.,Није могуће учитати стање поклон картице.
Unable to load invoice details,Није могуће учитати детаље фактуре
Unable to load parked order,Није могуће учитати паркирани налог
Unable to load the selected sales order,Није могуће учитати изабрани продајни налог
Unable to prepare document,Није могуће припремити документ
Unable to prepare return invoice,Није могуће припремити повратну фактуру
Unable to print draft invoice,Није могуће одштампати нацрт фактуре
Unable to print submitted invoice,Није могуће штампати достављену фактуру
Unable to process document action,Није могуће обрадити радњу документа
Unable to repair change allocation,Није могуће поправити алокацију промена
Unable to save cashier PIN.,Није могуће сачувати ПИН благајне.
Unable to save the rate to the backend price list,Није могуће сачувати цену у позадинском ценовнику
Unable to submit invoice,Није могуће послати фактуру
Unable to submit the selected payment,Није могуће послати изабрану уплату
Unable to top up gift card.,Није могуће допунити поклон картицу.
Unable to verify cashier PIN.,Није могуће верификовати ПИН благајне.
Unallocated,Нераспоређено
Unallocated:,Нераспоређено:
Unavailable,Недоступно
Unknown,Непознато
Unknown Item,Непозната ставка
Unknown Warehouse,Непознато складиште
Unlock POS,Откључајте ПОС
Unpaid,Неплаћено
"Unselected payments stay unallocated first, then auto reconcile after submit.","Неизабрана плаћања прво остају нераспоређена, а затим се аутоматски усклађују након слања."
UOM,УОМ
UOM not found,УОМ није пронађен
Update available,Доступно је ажурирање
Update Customer,Ажурирајте купца
Update PIN,Ажурирајте ПИН
Update Price List Rate,Ажурирај цену по цени
Updated,Ажурирано
Updates and app info that stay out of the cashier flow.,Ажурирања и информације о апликацијама које остају ван тока благајне.
Updates automatically,Ажурира се аутоматски
Usage,Употреба
Usage Stats,Усаге Статс
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Користите ПИН од 4 до 8 цифара за пребацивање благајника и откључавање терминала.
Use Cashier,Користите благајник
Use date range to search for older invoices,Користите период за претрагу старијих фактура
"Use one field for manual code entry, barcode scans, or QR scans.","Користите једно поље за ручни унос кода, скенирање бар кодова или КР скенирање."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Користите један ток посла за проверу стања, ново издавање и допуне без напуштања ПОС-а."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Користите овај одељак када кеширани предуслови захтевају освежавање, реконструкцију или дијагностички преглед."
Use Western numerals,Користите западне бројеве
Used:,Користи се:
Using basic camera settings due to device limitations,Коришћење основних подешавања камере због ограничења уређаја
Using cached customer balance,Коришћење кешираног стања клијента
Valid until,Важи до
Variance %,варијанса %
Variants,Варианте
Variant-wise,Варијантно
Verify closing amounts for each payment method,Проверите закључне износе за сваки начин плаћања
View all,Погледај све
View app information and current build details,Прегледајте информације о апликацији и актуелне детаље о изради
View Data Diagnostics,Погледајте дијагностику података
View Details,Прикажи детаље
View invoice details,Погледајте детаље фактуре
View notifications,Прикажи обавештења
View offline invoices,Прегледајте офлајн фактуре
View restricted POS insights,Погледајте ограничене увиде у ПОС
Void Amount,Воид Амоунт
Void Count,Воид Цоунт
Voids,Воидс
Waiting for cart items,Чекају се артикли из корпе
Waiting for payment...,Чека се уплата...
Walk-in Customer,Валк-ин Цустомер
Warehouse,Складиште
Warning: High cache usage may affect performance.,Упозорење: Велика употреба кеша може утицати на перформансе.
Warning: High lag may indicate heavy processing or browser slowness.,Упозорење: Велико кашњење може указивати на тешку обраду или спорост претраживача.
Week ?,недеља ?
Week-wise,Седмично
Weight (g),Тежина (г)
Weight (grams),Тежина (грами)
We'll let you know if an invoice fails to submit,Обавестићемо вас ако фактура не буде послата
Workflow,Воркфлов
Write off amount cannot exceed the POS profile maximum of {0},Износ отписа не може премашити максимум ПОС профила од {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,Износ отписа премашује дозвољено ограничење ({0}). Додајте уплату за преостали износ.
Yes,Да
"Yes, Cancel sale","Да, откажи продају"
"Yes, Close","Да, Затвори"
You are not allowed to print draft invoices,Није вам дозвољено да штампате нацрте фактура
You are offline. Add Payment will work again when the connection is restored.,Ви сте ван мреже. Додај плаћање ће поново радити када се веза успостави.
You have no notifications right now,Тренутно немате обавештења
Your Cart,Ваша корпа
