POS Awesome,POS अप्रतिम
Rate adjusted to maximum allowed discount,कमाल अनुमत सवलतीनुसार दर समायोजित केला
Ready,तयार
Ready to resume,पुन्हा सुरू करण्यासाठी सज्ज
Ready!,तयार!
Real-time POS insights for retail operations.,रिटेल ऑपरेशन्ससाठी रिअल-टाइम POS अंतर्दृष्टी.
Rebuild Offline Data,ऑफलाइन डेटा पुन्हा तयार करा
Receive,प्राप्त करा
Receive now,आता प्राप्त करा
Received,प्राप्त झाले
Received:,प्राप्त:
Recent Movement Entries,अलीकडील चळवळ नोंदी
Recent updates about your invoices,तुमच्या इन्व्हॉइसबद्दल अलीकडील अपडेट
Recently Active Customers,अलीकडे सक्रिय ग्राहक
Rechecking connection,कनेक्शन पुन्हा तपासत आहे
Reconcile payment methods and close shift,पेमेंट पद्धती समेट करा आणि शिफ्ट बंद करा
Reconciling Payments,देयके जुळवणे
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","ऑनलाइन असताना एकदा हे पृष्ठ पुन्हा कनेक्ट करा आणि उघडा, नंतर ऑफलाइन रिफ्रेश ते पुनर्संचयित करण्यात सक्षम होतील."
Reconnect online to refresh cached offline data from the server.,सर्व्हरवरून कॅशे केलेला ऑफलाइन डेटा रिफ्रेश करण्यासाठी ऑनलाइन पुन्हा कनेक्ट करा.
Recreate local offline prerequisites from scratch,सुरवातीपासून स्थानिक ऑफलाइन पूर्वतयारी पुन्हा तयार करा
Recv:,Recv:
Redeem,पूर्तता करा
Redeem / Scan,रिडीम / स्कॅन करा
Redeem Amount,रक्कम रिडीम करा
Redeem Mode,रिडीम मोड
Redeemed Amount,रिडीम केलेली रक्कम
Redeemed credit cannot be greater than its total.,रिडीम केलेले क्रेडिट त्याच्या एकूण पेक्षा जास्त असू शकत नाही.
Redemption and Totals,विमोचन आणि एकूण
Reference,संदर्भ
Refresh,रिफ्रेश करा
Refresh Exchange Rate,विनिमय दर रीफ्रेश करा
Refresh Offline Data,ऑफलाइन डेटा रिफ्रेश करा
Refresh Printers,प्रिंटर रिफ्रेश करा
Refund,परतावा
Release Notes,रिलीझ नोट्स
Reload,रीलोड करा
Reload customers,ग्राहकांना रीलोड करा
Reload Items,आयटम रीलोड करा
Reload Now,आता रीलोड करा
Reload to apply the latest changes. Your current session will be refreshed.,नवीनतम बदल लागू करण्यासाठी रीलोड करा. तुमचे वर्तमान सत्र रीफ्रेश केले जाईल.
Reload Workflow,वर्कफ्लो रीलोड करा
Remarks,शेरा
Remarks are required.,टिप्पण्या आवश्यक आहेत.
Remove,काढा
Remove barcode item,बारकोड आयटम काढा
Remove cached data and reload the POS app,कॅशे केलेला डेटा काढा आणि POS ॲप रीलोड करा
Remove item,आयटम काढा
Remove Offer,ऑफर काढा
Reorder / Purchase Suggestions,पुनर्क्रमण / खरेदी सूचना
Repair Candidate,दुरुस्ती उमेदवार
Repair Change Allocation,दुरुस्ती बदल वाटप
Repair requires an online connection,दुरुस्तीसाठी ऑनलाइन कनेक्शन आवश्यक आहे
Repaired,दुरुस्ती केली
Repairing change allocation,बदल वाटप दुरुस्ती
Repeat Customers,ग्राहकांची पुनरावृत्ती करा
Repeat Rate,पुनरावृत्ती दर
Request,विनंती
Request ID: {0},विनंती आयडी: {0}
Request Payment,देयकाची विनंती करा
Requested route: {0},विनंती केलेला मार्ग: {0}
Required columns cannot be hidden,आवश्यक स्तंभ लपवले जाऊ शकत नाहीत
Reset,रीसेट करा
Reset item name,आयटमचे नाव रीसेट करा
Reset to Default,डीफॉल्टवर रीसेट करा
Resource Health,संसाधन आरोग्य
Restricted,प्रतिबंधित
Restricted operational controls for supervisors only.,केवळ पर्यवेक्षकांसाठी प्रतिबंधित ऑपरेशनल नियंत्रणे.
Retry,पुन्हा प्रयत्न करा
Retry route,मार्ग पुन्हा प्रयत्न करा
Return,परतावे
Return Amount,परतावा रक्कम
Return Count,रिटर्न काउंट
Return items must have negative quantities,रिटर्न आयटममध्ये नकारात्मक परिमाण असणे आवश्यक आहे
Return total must be negative,एकूण परतावा ऋणात्मक असणे आवश्यक आहे
Return Valid Until,पर्यंत वैध परतावा
Return window passed,रिटर्न विंडो पास झाली
Return without Invoice,इन्व्हॉइसशिवाय परत या
Returns,परतावा
Returns / Voids / Discounts,रिटर्न / व्हॉईड्स / सूट
Returns by Currency,चलनानुसार परतावा
Revenue,महसूल
Review shift totals before submitting the closing entry,क्लोजिंग एंट्री सबमिट करण्यापूर्वी शिफ्ट बेरीजचे पुनरावलोकन करा
Round Off,राउंड ऑफ
Rows,पंक्ती
Rows:,पंक्ती:
Rule,नियम
Sale,विक्री
Sales,विक्री
Sales Order {0} is Submitted,विक्री ऑर्डर {0} सबमिट केली आहे
Sales Person and Print,विक्री व्यक्ती आणि मुद्रण
Sales Person not found,विक्री व्यक्ती सापडली नाही
Sales processed,विक्री प्रक्रिया केली
Sales Return,विक्री परतावा
Sales Trend Report,विक्री ट्रेंड अहवाल
Save,जतन करा
Save & Clear,जतन करा आणि साफ करा
Save as POS Profile Default,POS प्रोफाइल डीफॉल्ट म्हणून जतन करा
Save Settings,सेटिंग्ज सेव्ह करा
Save the selected printer as the POS Profile default so it shows automatically on this setup.,निवडलेला प्रिंटर POS प्रोफाइल डीफॉल्ट म्हणून सेव्ह करा जेणेकरून ते या सेटअपवर स्वयंचलितपणे दिसून येईल.
Saved as draft because: {0},मसुदा म्हणून जतन केले कारण: {0}
Saving...,सेव्ह करत आहे...
Scale barcode detected. Quantity here is the number of labels to print.,स्केल बारकोड आढळला. येथे प्रमाण म्हणजे मुद्रित करण्यासाठी लेबलांची संख्या.
Scale barcode settings are not configured. Using item barcode only.,स्केल बारकोड सेटिंग्ज कॉन्फिगर केलेली नाहीत. फक्त आयटम बारकोड वापरणे.
Scale template barcode is missing for this item/UOM. Using item barcode only.,या आयटम/UOM साठी स्केल टेम्पलेट बारकोड गहाळ आहे. फक्त आयटम बारकोड वापरणे.
Scan an existing card and top it up without leaving the payment flow.,विद्यमान कार्ड स्कॅन करा आणि पेमेंट फ्लो न सोडता ते टॉप अप करा.
Scan Error,स्कॅन त्रुटी
Scan or enter a gift card code to check balance or redeem.,शिल्लक तपासण्यासाठी किंवा रिडीम करण्यासाठी गिफ्ट कार्ड कोड स्कॅन करा किंवा एंटर करा.
Scan or paste the card code below.,खालील कार्ड कोड स्कॅन किंवा पेस्ट करा.
Scan QR Code/Barcode,QR कोड/बारकोड स्कॅन करा
Scan with camera,कॅमेऱ्याने स्कॅन करा
Scan-First Flow,स्कॅन-प्रथम प्रवाह
Scanned Code:,स्कॅन केलेला कोड:
Scanning for: {0},यासाठी स्कॅन करत आहे: {0}
Scanning items,स्कॅनिंग आयटम
Scan-Ready,स्कॅन-तयार
Scope,व्याप्ती
Scope: All Profiles,व्याप्ती: सर्व प्रोफाइल
Scope: Current Profile,व्याप्ती: वर्तमान प्रोफाइल
Scope: Specific Profile,व्याप्ती: विशिष्ट प्रोफाइल
Search,शोधा
Search Account,खाते शोधा
Search an invoice and continue the return flow without extra steps.,इन्व्हॉइस शोधा आणि अतिरिक्त पायऱ्यांशिवाय रिटर्न फ्लो सुरू ठेवा.
Search customer,ग्राहक शोधा
Search invoices or customers,पावत्या किंवा ग्राहक शोधा
Search item,आयटम शोधा
Search item / code,आयटम / कोड शोधा
Search items or barcode,आयटम किंवा बारकोड शोधा
Search Mpesa Payments,Mpesa पेमेंट्स शोधा
Search return invoices or customers,रिटर्न इनव्हॉइस किंवा ग्राहक शोधा
Search supplier,पुरवठादार शोधा
Search unpaid invoices or customers,न भरलेले बीजक किंवा ग्राहक शोधा
Secure context (HTTPS or localhost) is required for camera access.,कॅमेरा प्रवेशासाठी सुरक्षित संदर्भ (HTTPS किंवा लोकलहोस्ट) आवश्यक आहे.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,कॅमेरा प्रवेशासाठी सुरक्षित संदर्भ (HTTPS) आवश्यक आहे. कॅमेरा ऍक्सेस करण्यासाठी कृपया HTTPS वापरा.
Select,निवडा
Select a cashier first.,प्रथम कॅशियर निवडा.
Select a customer,एक ग्राहक निवडा
Select a customer to use coupon,कूपन वापरण्यासाठी ग्राहक निवडा
Select a printer to use QZ silent printing.,QZ सायलेंट प्रिंटिंग वापरण्यासाठी प्रिंटर निवडा.
Select Batch,बॅच निवडा
Select Columns to Display,प्रदर्शित करण्यासाठी स्तंभ निवडा
Select items to sell,विक्रीसाठी आयटम निवडा
Select Payment,पेमेंट निवडा
Select Payment Account,पेमेंट खाते निवडा
Select printer,प्रिंटर निवडा
Select Return Invoice,रिटर्न इनव्हॉइस निवडा
Select S.O,S.O निवडा
Select Sales Orders,विक्री ऑर्डर निवडा
Select the cashier who is taking over this terminal.,या टर्मिनलचा ताबा घेणारा कॅशियर निवडा.
Selected,निवडले
Selected movement type is not allowed by POS Profile.,POS प्रोफाइलद्वारे निवडलेल्या हालचाली प्रकाराला परवानगी नाही.
Selected Payments,निवडलेली देयके
Sensitive actions kept away from quick taps.,संवेदनशील क्रिया द्रुत टॅपपासून दूर ठेवल्या.
Serial,मालिका
Serial Numbers,अनुक्रमांक
Server CPU Usage:,सर्व्हर CPU वापर:
Server Health,सर्व्हर आरोग्य
Server Memory Usage:,सर्व्हर मेमरी वापर:
Server Metrics,सर्व्हर मेट्रिक्स
Server Uptime:,सर्व्हर अपटाइम:
Service Charges,सेवा शुल्क
Session,सत्र
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,प्रत्येक कॅशियर पिन वापरकर्ता फॉर्ममध्ये सेट करा आणि टर्मिनल सदस्यांना POS प्रोफाइल वापरकर्त्यामध्ये नियुक्त करा.
Settings,सेटिंग्ज
Settings in this section update the POS workspace without changing the current route.,या विभागातील सेटिंग्ज सध्याचा मार्ग न बदलता POS वर्कस्पेस अपडेट करतात.
Setup complete!,सेटअप पूर्ण!
Share,शेअर करा
Shared terminal,सामायिक टर्मिनल
Shift Closed Snapshot,शिफ्ट बंद स्नॅपशॉट
Shift Overview,शिफ्ट विहंगावलोकन
Show,दाखवा
Show cart on customer-facing screen,ग्राहकाभिमुख स्क्रीनवर कार्ट दाखवा
Show last invoice rate,अंतिम बीजक दर दर्शवा
Show rate info,दर माहिती दर्शवा
Show Repair Candidates,दुरुस्तीचे उमेदवार दाखवा
Show search tools,शोध साधने दाखवा
Show the active cart on a customer-facing screen,ग्राहकासमोर असलेल्या स्क्रीनवर सक्रिय कार्ट दर्शवा
Showing {0}-{1} of {2},{2} पैकी {0}-{1} दाखवत आहे
Showing 0 of 0,0 पैकी 0 दाखवत आहे
Shows the distribution of invoices per currency,प्रति चलनाचे वितरण दाखवते
Sign out of the current POS session,चालू POS सत्रातून साइन आउट करा
Size:,आकार:
Skipped Payments,वगळलेली देयके
Skipping items without barcodes,बारकोडशिवाय आयटम वगळणे
Slow Moving,स्लो मूव्हिंग
Slow Moving Items,हळू हलणारे आयटम
Slow Queries:,हळूवार प्रश्न:
Sold,विकले
Source,स्त्रोत
Source Cash Account (Optional Override),स्रोत रोख खाते (पर्यायी ओव्हरराइड)
Source Ex. Rate:,स्रोत उदा. दर:
Source Rate:,स्रोत दर:
Specific Profile,विशिष्ट प्रोफाइल
Split Invoices,पावत्या विभाजित करा
Staff / Cashier Performance Report,कर्मचारी / रोखपाल कामगिरी अहवाल
Status,स्थिती
Stock,साठा
Stock Information,स्टॉक माहिती
Stock is lower than requested,स्टॉक विनंतीपेक्षा कमी आहे
Stock is lower than requested:\n{0},स्टॉक विनंतीपेक्षा कमी आहे:\n{0}
Stock Movement Report,स्टॉक हालचाली अहवाल
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,स्टॉक अपडेट: {0} मध्ये {1} उपलब्ध आहेत. {2} जोडल्याने स्टॉक शून्याच्या खाली येईल.
Submit,सबमिट करा
Submit & Print,सबमिट करा आणि प्रिंट करा
Submit Deposit,ठेव जमा करा
Submit Expense,खर्च सादर करा
Submitted,सादर केले
Submitted Cash Movements,जमा केलेल्या रोख हालचाली
Submitted entries,सादर केलेल्या नोंदी
Successfully scanned:,यशस्वीरित्या स्कॅन केले:
Suggested,सुचवले
Suggested Qty,सुचवलेले प्रमाण
Supervisor Access,पर्यवेक्षक प्रवेश
Supervisor permissions unlock issuance and reloads,पर्यवेक्षक परवानग्या जारी करणे आणि रीलोड करणे अनलॉक करते
Supervisor Tools,पर्यवेक्षक साधने
Supplier,पुरवठादार
Supplier and dates are required.,पुरवठादार आणि तारखा आवश्यक आहेत.
Supplier Invoices,पुरवठादार पावत्या
Supplier is required.,पुरवठादार आवश्यक आहे.
Supplier name is required,पुरवठादाराचे नाव आवश्यक आहे
Supplier Payments,पुरवठादार देयके
Supplier Purchase Summary,पुरवठादार खरेदी सारांश
Suppliers,पुरवठादार
Suppliers not found,पुरवठादार सापडले नाहीत
Switch Camera,कॅमेरा स्विच करा
Switch Cashier,कॅशियर स्विच करा
Switch the POS appearance theme,POS देखावा थीम स्विच करा
Switched to:,यावर स्विच केले:
Sync All Invoices,सर्व पावत्या समक्रमित करा
Sync Offline Cash Movements ({0}),ऑफलाइन रोख हालचाली समक्रमित करा ({0})
Sync Offline Sales,ऑफलाइन विक्री समक्रमित करा
Synced {0} offline cash movement(s).,सिंक केलेले {0} ऑफलाइन कॅश मूव्हमेंट
Syncing items in background,बॅकग्राउंडमध्ये आयटम सिंक करत आहे
System / Diagnostics,प्रणाली / निदान
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","सिस्टम क्रिया कमी-फ्रिक्वेंसी देखभाल नियंत्रणे आहेत जसे की ॲप माहिती, समर्थन निदान आणि सत्र नियंत्रणे."
System Information,सिस्टम माहिती
System Status,सिस्टम स्थिती
Tables:,सारण्या:
Tap the button below to redeem a gift card during checkout.,चेकआउट दरम्यान भेट कार्ड रिडीम करण्यासाठी खालील बटणावर टॅप करा.
Target,लक्ष्य
Target Ex. Rate:,लक्ष्य उदा. दर:
Target Rate:,लक्ष्य दर:
Tax,कर
Tax / Charges Report,कर / शुल्क अहवाल
Tax Heads,कर प्रमुख
Taxable Amount,करपात्र रक्कम
Tendered,टेंडर केले
Terminal,टर्मिनल
Terminal & Devices,टर्मिनल आणि उपकरणे
Terminal locked,टर्मिनल लॉक केले
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","टर्मिनल टूल्स हे चेकआउट स्टेशन, ग्राहकासमोरील डिस्प्ले आणि भविष्यातील प्रिंटर/डिव्हाइस नियंत्रणांवर परिणाम करतात."
Territory not found,प्रदेश सापडला नाही
The amount paid is not complete,भरलेली रक्कम पूर्ण झालेली नाही
The app stores data locally for offline use. This is called cache.,ॲप ऑफलाइन वापरासाठी स्थानिक पातळीवर डेटा संग्रहित करते. याला कॅशे म्हणतात.
The invoice stayed in draft. Please review and submit it manually.,चलन मसुद्यातच राहिले. कृपया पुनरावलोकन करा आणि व्यक्तिचलितपणे सबमिट करा.
The maximum discount allowed is,अनुमत कमाल सवलत आहे
The quantity for {0} has been adjusted to the maximum available stock.,{0} चे प्रमाण कमाल उपलब्ध स्टॉकमध्ये समायोजित केले गेले आहे.
The system could not retrieve the item details. Please try again.,सिस्टम आयटम तपशील पुनर्प्राप्त करू शकत नाही. कृपया पुन्हा प्रयत्न करा.
These invoices will be synced when connection is restored,कनेक्शन पुनर्संचयित केल्यावर या पावत्या समक्रमित केल्या जातील
This action now opens inside the settings workspace.,ही क्रिया आता सेटिंग्ज वर्कस्पेसमध्ये उघडते.
This coupon already used !,हे कूपन आधीच वापरलेले आहे!
This invoice does not need change-allocation repair,या इन्व्हॉइसला बदल-वाटप दुरुस्तीची आवश्यकता नाही
This invoice is already repaired,हे बीजक आधीच दुरुस्त केलेले आहे
This is an item template. Please choose a variant.,हे एक आयटम टेम्पलेट आहे. कृपया एक प्रकार निवडा.
this item,हा आयटम
This POS page could not be opened offline because its code was not cached on this terminal yet.,हे POS पृष्ठ ऑफलाइन उघडले जाऊ शकत नाही कारण त्याचा कोड अद्याप या टर्मिनलवर कॅश केलेला नाही.
This Serial Number {0} has already been added!,हा अनुक्रमांक {0} आधीच जोडला गेला आहे!
Threshold,उंबरठा
Time,वेळ
Tip: Clear cache regularly to free up space and keep the app fast.,टीप: जागा मोकळी करण्यासाठी आणि ॲप जलद ठेवण्यासाठी कॅशे नियमितपणे साफ करा.
Tip: Close unused tabs or apps to reduce lag.,टीप: लॅग कमी करण्यासाठी न वापरलेले टॅब किंवा ॲप्स बंद करा.
Tip: Monitor slow queries and table size for optimal performance.,टीप: इष्टतम कार्यप्रदर्शनासाठी धीमे क्वेरी आणि टेबल आकाराचे निरीक्षण करा.
To Be Paid,टू बी पेड
To Date,आजपर्यंत
Today,आज
Today Profit,आज नफा
Today Sales,आज विक्री
Toggle navigation drawer,नेव्हिगेशन ड्रॉवर टॉगल करा
Toggle Theme,थीम टॉगल करा
Tools,साधने
Tools for customer-facing screens and terminal-specific actions.,ग्राहकाभिमुख स्क्रीन आणि टर्मिनल-विशिष्ट क्रियांसाठी साधने.
Top Brand,शीर्ष ब्रँड
Top Category,शीर्ष श्रेणी
Top Charge Head,शीर्ष चार्ज हेड
Top Customers,शीर्ष ग्राहक
Top Discount,शीर्ष सवलत
Top Items by Location,स्थानानुसार शीर्ष आयटम
Top Margin,शीर्ष समास
Top Pending,शीर्ष प्रलंबित
Top Profit Item,शीर्ष नफा आयटम
Top Return Items,शीर्ष परतावा आयटम
Top Sales by Cashier,रोखपाल द्वारे शीर्ष विक्री
Top Supplier,शीर्ष पुरवठादार
Top Suppliers by Spend,खर्चानुसार शीर्ष पुरवठादार
Top Tables,शीर्ष सारण्या
Top Tax Head,शीर्ष कर प्रमुख
Top Up Amount,टॉप अप रक्कम
Top Up Card,टॉप अप कार्ड
Top Up Mode,टॉप अप मोड
Top Variant,शीर्ष प्रकार
Total,एकूण
Total Amount,एकूण रक्कम
Total Change,एकूण बदल
Total Charges,एकूण शुल्क
Total In,एकूण इन
Total Invoices,एकूण पावत्या
Total Items,एकूण आयटम
Total Mpesa,एकूण Mpesa
Total Out,एकूण बाहेर
Total Payments,एकूण देयके
Total Purchase,एकूण खरेदी
Total Selected :,एकूण निवडलेले:
Total Size,एकूण आकार
Total Stock Qty,एकूण स्टॉक प्रमाण
Total:,एकूण:
Totals by Invoice Currency,चलन चलनानुसार एकूण
Track how much cash was handed back to customers,ग्राहकांना किती रोकड परत देण्यात आली याचा मागोवा घ्या
"Track recent sales, collect unpaid balances, and reopen saved work","अलीकडील विक्रीचा मागोवा घ्या, न भरलेली शिल्लक गोळा करा आणि जतन केलेले कार्य पुन्हा उघडा"
Transaction ID,व्यवहार आयडी
Transfer,हस्तांतरण
Try a different search term or clear the cart search.,भिन्न शोध संज्ञा वापरून पहा किंवा कार्ट शोध साफ करा.
Try adjusting your search or filters,तुमचा शोध किंवा फिल्टर समायोजित करण्याचा प्रयत्न करा
Try another source or refresh the list.,दुसरा स्रोत वापरून पहा किंवा सूची रीफ्रेश करा.
Try changing the date range or status filter.,तारीख श्रेणी किंवा स्थिती फिल्टर बदलण्याचा प्रयत्न करा.
Type,प्रकार
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,मूलभूत सेटिंग्जसह देखील कॅमेरा ऍक्सेस करण्यात अक्षम. कृपया तुमच्या कॅमेरा परवानग्या आणि डिव्हाइस सुसंगतता तपासा.
Unable to add offer item {0}. Please refresh and try again.,ऑफर आयटम {0} जोडण्यात अक्षम. कृपया रिफ्रेश करा आणि पुन्हा प्रयत्न करा.
Unable to add offer item. Please refresh and try again.,ऑफर आयटम जोडण्यात अक्षम. कृपया रिफ्रेश करा आणि पुन्हा प्रयत्न करा.
Unable to add scanned item.,स्कॅन केलेला आयटम जोडण्यात अक्षम.
Unable to create purchase order,खरेदी ऑर्डर तयार करण्यात अक्षम
Unable to delete draft invoice,मसुदा बीजक हटविण्यात अक्षम
Unable to fetch documents,कागदपत्रे आणण्यात अक्षम
Unable to fetch draft orders,मसुदा ऑर्डर आणण्यात अक्षम
Unable to fetch invoice history,बीजक इतिहास आणण्यात अक्षम
Unable to fetch M-Pesa payments,M-Pesa पेमेंट मिळवण्यात अक्षम
Unable to fetch sales orders,विक्री ऑर्डर आणण्यात अक्षम
Unable to fetch unpaid invoices,न भरलेल्या पावत्या आणण्यात अक्षम
Unable to generate scale barcode,स्केल बारकोड व्युत्पन्न करण्यात अक्षम
Unable to issue gift card.,भेट कार्ड जारी करण्यात अक्षम.
Unable to load cashier PIN status.,रोखपाल पिन स्थिती लोड करण्यात अक्षम.
Unable to load document,दस्तऐवज लोड करण्यात अक्षम
Unable to load draft invoice,मसुदा बीजक लोड करण्यात अक्षम
Unable to load gift card balance.,भेट कार्ड शिल्लक लोड करण्यात अक्षम.
Unable to load invoice details,बीजक तपशील लोड करण्यात अक्षम
Unable to load parked order,पार्क केलेली ऑर्डर लोड करण्यात अक्षम
Unable to load the selected sales order,निवडलेली विक्री ऑर्डर लोड करण्यात अक्षम
Unable to prepare document,दस्तऐवज तयार करण्यात अक्षम
Unable to prepare return invoice,रिटर्न इनव्हॉइस तयार करण्यात अक्षम
Unable to print draft invoice,मसुदा बीजक मुद्रित करण्यात अक्षम
Unable to print submitted invoice,सबमिट केलेले बीजक मुद्रित करण्यात अक्षम
Unable to process document action,दस्तऐवज क्रिया प्रक्रिया करण्यात अक्षम
Unable to repair change allocation,बदल वाटप दुरुस्त करण्यात अक्षम
Unable to save cashier PIN.,रोखपाल पिन जतन करण्यात अक्षम.
Unable to save the rate to the backend price list,बॅकएंड किंमत सूचीमध्ये दर जतन करण्यात अक्षम
Unable to submit invoice,बीजक सबमिट करण्यात अक्षम
Unable to submit the selected payment,निवडलेले पेमेंट सबमिट करण्यात अक्षम
Unable to top up gift card.,भेट कार्ड टॉप अप करण्यात अक्षम.
Unable to verify cashier PIN.,रोखपाल पिन सत्यापित करण्यात अक्षम.
Unallocated,वाटप न केलेले
Unallocated:,वाटप न केलेले:
Unavailable,अनुपलब्ध
Unknown,अज्ञात
Unknown Item,अज्ञात आयटम
Unknown Warehouse,अज्ञात कोठार
Unlock POS,POS अनलॉक करा
Unpaid,न भरलेले
"Unselected payments stay unallocated first, then auto reconcile after submit.","न निवडलेली देयके आधी वाटप न केली जातात, नंतर सबमिट केल्यानंतर आपोआप समेट होतात."
UOM,UOM
UOM not found,UOM आढळले नाही
Update available,अपडेट उपलब्ध
Update Customer,ग्राहक अपडेट करा
Update PIN,पिन अपडेट करा
Update Price List Rate,किंमत सूची दर अद्यतनित करा
Updated,अपडेट केले
Updates and app info that stay out of the cashier flow.,कॅशियर प्रवाहापासून दूर राहणारी अद्यतने आणि ॲप माहिती.
Updates automatically,आपोआप अपडेट होतात
Usage,वापर
Usage Stats,वापर आकडेवारी
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,कॅशियर स्विचिंग आणि टर्मिनल अनलॉकसाठी 4 ते 8 अंकी पिन वापरा.
Use Cashier,कॅशियर वापरा
Use date range to search for older invoices,जुनी चलन शोधण्यासाठी तारीख श्रेणी वापरा
"Use one field for manual code entry, barcode scans, or QR scans.","मॅन्युअल कोड एंट्री, बारकोड स्कॅन किंवा QR स्कॅनसाठी एक फील्ड वापरा."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","POS न सोडता शिल्लक तपासणी, नवीन जारी करणे आणि टॉप अपसाठी एक कार्यप्रवाह वापरा."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","कॅशे केलेल्या पूर्व-आवश्यक डेटाला रीफ्रेश, पुनर्बांधणी किंवा निदान पुनरावलोकन आवश्यक असताना हा विभाग वापरा."
Use Western numerals,पाश्चात्य अंक वापरा
Used:,वापरलेले:
Using basic camera settings due to device limitations,डिव्हाइस मर्यादांमुळे मूलभूत कॅमेरा सेटिंग्ज वापरणे
Using cached customer balance,कॅश्ड ग्राहक शिल्लक वापरणे
Valid until,पर्यंत वैध
Variance %,फरक %
Variants,रूपे
Variant-wise,प्रकारानुसार
Verify closing amounts for each payment method,प्रत्येक पेमेंट पद्धतीसाठी बंद रकमेची पडताळणी करा
View all,सर्व पहा
View app information and current build details,ॲप माहिती आणि वर्तमान बिल्ड तपशील पहा
View Data Diagnostics,डेटा डायग्नोस्टिक्स पहा
View Details,तपशील पहा
View invoice details,बीजक तपशील पहा
View notifications,सूचना पहा
View offline invoices,ऑफलाइन पावत्या पहा
View restricted POS insights,प्रतिबंधित POS अंतर्दृष्टी पहा
Void Amount,शून्य रक्कम
Void Count,शून्य गणना
Voids,व्हॉईड्स
Waiting for cart items,कार्ट आयटमची वाट पाहत आहे
Waiting for payment...,पेमेंटची प्रतीक्षा करत आहे...
Walk-in Customer,वॉक-इन ग्राहक
Warehouse,कोठार
Warning: High cache usage may affect performance.,चेतावणी: उच्च कॅशे वापर कामगिरीवर परिणाम करू शकतो.
Warning: High lag may indicate heavy processing or browser slowness.,चेतावणी: उच्च अंतर जास्त प्रक्रिया किंवा ब्राउझर मंदपणा दर्शवू शकते.
Week ?,आठवडा?
Week-wise,आठवड्यानुसार
Weight (g),वजन (ग्रॅम)
Weight (grams),वजन (ग्रॅम)
We'll let you know if an invoice fails to submit,बीजक सबमिट करण्यात अयशस्वी झाल्यास आम्ही तुम्हाला कळवू
Workflow,कार्यप्रवाह
Write off amount cannot exceed the POS profile maximum of {0},राइट ऑफची रक्कम POS प्रोफाइल कमाल {0} पेक्षा जास्त असू शकत नाही
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,राइट ऑफ रक्कम अनुमत मर्यादेपेक्षा जास्त आहे ({0}). कृपया उर्वरित रकमेसाठी पेमेंट जोडा.
Yes,होय
"Yes, Cancel sale","होय, विक्री रद्द करा"
"Yes, Close","होय, बंद करा"
You are not allowed to print draft invoices,तुम्हाला ड्राफ्ट इनव्हॉइस प्रिंट करण्याची परवानगी नाही
You are offline. Add Payment will work again when the connection is restored.,तुम्ही ऑफलाइन आहात. कनेक्शन पुनर्संचयित केल्यावर पेमेंट जोडा पुन्हा कार्य करेल.
You have no notifications right now,तुमच्याकडे सध्या कोणत्याही सूचना नाहीत
Your Cart,तुमची कार्ट
