POS Awesome,POS ya Kushangaza
Save as POS Profile Default,Hifadhi kama Chaguomsingi la Wasifu wa POS
Save Settings,Hifadhi Mipangilio
Save the selected printer as the POS Profile default so it shows automatically on this setup.,Hifadhi printa iliyochaguliwa kama chaguomsingi ya Wasifu wa POS ili ionekane kiotomatiki kwenye usanidi huu.
Saved as draft because: {0},Imehifadhiwa kama rasimu kwa sababu: {0}
Saving...,Inahifadhi...
Scale barcode detected. Quantity here is the number of labels to print.,Misimbo pau ya kipimo imetambuliwa. Kiasi hapa ni idadi ya lebo za kuchapishwa.
Scale barcode settings are not configured. Using item barcode only.,Mipangilio ya msimbo pau wa kipimo haijasanidiwa. Kwa kutumia msimbopau wa kipengee pekee.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Misimbo pau ya kiolezo cha kipimo haipo kwa kipengee hiki/UOM. Kwa kutumia msimbopau wa kipengee pekee.
Scan an existing card and top it up without leaving the payment flow.,Changanua kadi iliyopo na uijaze bila kuacha mtiririko wa malipo.
Scan Error,Hitilafu ya Kuchanganua
Scan or enter a gift card code to check balance or redeem.,Changanua au uweke msimbo wa kadi ya zawadi ili kuangalia salio au ukomboe.
Scan or paste the card code below.,Changanua au ubandike msimbo wa kadi hapa chini.
Scan QR Code/Barcode,Changanua Msimbo wa QR/Msimbo Pau
Scan with camera,Changanua kwa kutumia kamera
Scan-First Flow,Mtiririko wa Scan-Kwanza
Scanned Code:,Msimbo Uliochanganuliwa:
Scanning for: {0},Inatafuta: {0}
Scanning items,Inachanganua vitu
Scan-Ready,Scan-Tayari
Scope,Upeo
Scope: All Profiles,Upeo: Wasifu Zote
Scope: Current Profile,Upeo: Wasifu wa Sasa
Scope: Specific Profile,Upeo: Wasifu Maalum
Search,Tafuta
Search Account,Tafuta Akaunti
Search an invoice and continue the return flow without extra steps.,Tafuta ankara na uendelee na mtiririko wa kurejesha bila hatua za ziada.
Search customer,Tafuta mteja
Search invoices or customers,Tafuta ankara au wateja
Search item,Tafuta kipengee
Search item / code,Tafuta bidhaa / msimbo
Search items or barcode,Tafuta vitu au msimbopau
Search Mpesa Payments,Tafuta Malipo ya Mpesa
Search return invoices or customers,Tafuta ankara za kurejesha au wateja
Search supplier,Tafuta mtoa huduma
Search unpaid invoices or customers,Tafuta ankara au wateja ambao hawajalipwa
Secure context (HTTPS or localhost) is required for camera access.,Muktadha salama (HTTPS au localhost) inahitajika kwa ufikiaji wa kamera.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Muktadha salama (HTTPS) unahitajika kwa ufikiaji wa kamera. Tafadhali tumia HTTPS kufikia kamera.
Select,Chagua
Select a cashier first.,Chagua mtunza fedha kwanza.
Select a customer,Chagua mteja
Select a customer to use coupon,Chagua mteja ili kutumia kuponi
Select a printer to use QZ silent printing.,Chagua kichapishi ili kutumia uchapishaji kimya wa QZ.
Select Batch,Chagua Kundi
Select Columns to Display,Chagua Safu wima za Kuonyesha
Select items to sell,Chagua bidhaa za kuuza
Select Payment,Chagua Malipo
Select Payment Account,Chagua Akaunti ya Malipo
Select printer,Chagua kichapishi
Select Return Invoice,Chagua Rejesha ankara
Select S.O,Chagua S.O
Select Sales Orders,Chagua Maagizo ya Mauzo
Select the cashier who is taking over this terminal.,Chagua mtunza fedha ambaye anachukua kituo hiki.
Selected,Imechaguliwa
Selected movement type is not allowed by POS Profile.,Aina ya harakati iliyochaguliwa hairuhusiwi na Wasifu wa POS.
Selected Payments,Malipo Uliyochaguliwa
Sensitive actions kept away from quick taps.,Vitendo nyeti vilivyowekwa mbali na kugonga haraka.
Serial,Msururu
Serial Numbers,Nambari za mfululizo
Server CPU Usage:,Matumizi ya CPU ya Seva:
Server Health,Afya ya Seva
Server Memory Usage:,Matumizi ya Kumbukumbu ya Seva:
Server Metrics,Vipimo vya Seva
Server Uptime:,Muda wa Seva:
Service Charges,Gharama za Huduma
Session,Kikao
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,Weka kila PIN ya keshia katika fomu ya Mtumiaji na uwaweke washiriki wa mwisho waliowekwa katika Mtumiaji wa Wasifu wa POS.
Settings,Mipangilio
Settings in this section update the POS workspace without changing the current route.,Mipangilio katika sehemu hii inasasisha nafasi ya kazi ya POS bila kubadilisha njia ya sasa.
Setup complete!,Usanidi umekamilika!
Share,Shiriki
Shared terminal,Terminal iliyoshirikiwa
Shift Closed Snapshot,Shift Iliyofungwa Picha
Shift Overview,Muhtasari wa Shift
Show,Onyesha
Show cart on customer-facing screen,Onyesha rukwama kwenye skrini inayowakabili mteja
Show last invoice rate,Onyesha kiwango cha mwisho cha ankara
Show rate info,Onyesha maelezo ya kiwango
Show Repair Candidates,Onyesha Wagombea Urekebishaji
Show search tools,Onyesha zana za utafutaji
Show the active cart on a customer-facing screen,Onyesha rukwama inayotumika kwenye skrini inayomkabili mteja
Showing {0}-{1} of {2},Inaonyesha {0}-{1} kati ya {2}
Showing 0 of 0,Inaonyesha 0 kati ya 0
Shows the distribution of invoices per currency,Inaonyesha usambazaji wa ankara kwa kila sarafu
Sign out of the current POS session,Ondoka kwenye kipindi cha sasa cha POS
Size:,Ukubwa:
Skipped Payments,Malipo Yameruka
Skipping items without barcodes,Kuruka vitu bila misimbopau
Slow Moving,Kusonga Polepole
Slow Moving Items,Vipengee Vinavyosonga Polepole
Slow Queries:,Maswali ya polepole:
Sold,Inauzwa
Source,Chanzo
Source Cash Account (Optional Override),Chanzo cha Akaunti ya Pesa (Hiari ya Batilisha)
Source Ex. Rate:,Chanzo Ex. Kadiria:
Source Rate:,Kiwango cha Chanzo:
Specific Profile,Wasifu Maalum
Split Invoices,Gawanya ankara
Staff / Cashier Performance Report,Ripoti ya Utendaji ya Wafanyakazi / Cashier
Status,Hali
Stock,Hisa
Stock Information,Taarifa za Hisa
Stock is lower than requested,Hisa ni ndogo kuliko ilivyoombwa
Stock is lower than requested:\n{0},Hisa iko chini kuliko ilivyoombwa:\n{0}
Stock Movement Report,Ripoti ya Harakati za Hisa
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Sasisho la hisa: {0} {1} linapatikana. Kuongeza {2} kutapunguza hisa.
Submit,Wasilisha
Submit & Print,Wasilisha na Uchapishe
Submit Deposit,Peana Amana
Submit Expense,Wasilisha Gharama
Submitted,Imewasilishwa
Submitted Cash Movements,Harakati za Fedha Zilizowasilishwa
Submitted entries,Maingizo yaliyowasilishwa
Successfully scanned:,Imechanganua kwa ufanisi:
Suggested,Imependekezwa
Suggested Qty,Iliyopendekezwa Qty
Supervisor Access,Ufikiaji wa Msimamizi
Supervisor permissions unlock issuance and reloads,Utoaji na upakiaji upya wa ruhusa za msimamizi
Supervisor Tools,Zana za Msimamizi
Supplier,Msambazaji
Supplier and dates are required.,Mtoa huduma na tarehe zinahitajika.
Supplier Invoices,Ankara za Wasambazaji
Supplier is required.,Mtoa huduma anahitajika.
Supplier name is required,Jina la mtoa huduma linahitajika
Supplier Payments,Malipo ya Wasambazaji
Supplier Purchase Summary,Muhtasari wa Ununuzi wa Wasambazaji
Suppliers,Wasambazaji
Suppliers not found,Wasambazaji hawakupatikana
Switch Camera,Badili Kamera
Switch Cashier,Badilisha Cashier
Switch the POS appearance theme,Badili mandhari ya mwonekano wa POS
Switched to:,Imebadilishwa hadi:
Sync All Invoices,Sawazisha Ankara Zote
Sync Offline Cash Movements ({0}),Sawazisha Mienendo ya Pesa Nje ya Mtandao ({0})
Sync Offline Sales,Sawazisha Mauzo ya Nje ya Mtandao
Synced {0} offline cash movement(s).,Imesawazishwa {0} harakati za pesa nje ya mtandao.
Syncing items in background,Inasawazisha vipengee chinichini
System / Diagnostics,Mfumo / Uchunguzi
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Vitendo vya mfumo ni vidhibiti vya urekebishaji wa masafa ya chini kama vile maelezo ya programu, uchunguzi wa usaidizi na vidhibiti vya kipindi."
System Information,Taarifa za Mfumo
System Status,Hali ya Mfumo
Tables:,Majedwali:
Tap the button below to redeem a gift card during checkout.,Gusa kitufe kilicho hapa chini ili kukomboa kadi ya zawadi wakati wa kulipa.
Target,Lengo
Target Ex. Rate:,Lengo Ex. Kadiria:
Target Rate:,Kiwango Lengwa:
Tax,Kodi
Tax / Charges Report,Ripoti ya Ushuru / Gharama
Tax Heads,Wakuu wa Kodi
Taxable Amount,Kiasi cha Ushuru
Tendered,Imetolewa zabuni
Terminal,Kituo
Terminal & Devices,Kituo na Vifaa
Terminal locked,Terminal imefungwa
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Zana za vituo huathiri kituo hiki cha kulipia, skrini zinazowakabili wateja na vidhibiti vya vichapishi/kifaa vya siku zijazo."
Territory not found,Eneo halijapatikana
The amount paid is not complete,Kiasi kilicholipwa hakijakamilika
The app stores data locally for offline use. This is called cache.,Programu huhifadhi data ndani ya nchi kwa matumizi ya nje ya mtandao. Hii inaitwa cache.
The invoice stayed in draft. Please review and submit it manually.,ankara ilikaa katika rasimu. Tafadhali kagua na uwasilishe mwenyewe.
The maximum discount allowed is,Punguzo la juu linaloruhusiwa ni
The quantity for {0} has been adjusted to the maximum available stock.,Kiasi cha {0} kimerekebishwa hadi kiwango cha juu cha hisa kinachopatikana.
The system could not retrieve the item details. Please try again.,Mfumo haukuweza kurejesha maelezo ya kipengee. Tafadhali jaribu tena.
These invoices will be synced when connection is restored,Ankara hizi zitasawazishwa wakati muunganisho ukirejeshwa
This action now opens inside the settings workspace.,Kitendo hiki sasa kinafungua ndani ya nafasi ya kazi ya mipangilio.
This coupon already used !,Kuponi hii tayari imetumika!
This invoice does not need change-allocation repair,Ankara hii haihitaji ukarabati wa mgao wa mabadiliko
This invoice is already repaired,ankara hii tayari imerekebishwa
This is an item template. Please choose a variant.,Hiki ni kiolezo cha kipengee. Tafadhali chagua lahaja.
this item,bidhaa hii
This POS page could not be opened offline because its code was not cached on this terminal yet.,Ukurasa huu wa POS haukuweza kufunguliwa nje ya mtandao kwa sababu msimbo wake bado haujaakibishwa kwenye terminal hii.
This Serial Number {0} has already been added!,Nambari hii ya Ufuatiliaji {0} tayari imeongezwa!
Threshold,Kizingiti
Time,Muda
Tip: Clear cache regularly to free up space and keep the app fast.,Kidokezo: Futa akiba mara kwa mara ili upate nafasi na uhifadhi programu haraka.
Tip: Close unused tabs or apps to reduce lag.,Kidokezo: Funga vichupo au programu ambazo hazijatumika ili kupunguza ucheleweshaji.
Tip: Monitor slow queries and table size for optimal performance.,Kidokezo: Fuatilia maswali ya polepole na ukubwa wa jedwali kwa utendakazi bora.
To Be Paid,Kulipwa
To Date,Hadi Sasa
Today,Leo
Today Profit,Leo Faida
Today Sales,Leo Mauzo
Toggle navigation drawer,Geuza droo ya kusogeza
Toggle Theme,Geuza Mandhari
Tools,Zana
Tools for customer-facing screens and terminal-specific actions.,Zana za skrini zinazowakabili wateja na vitendo mahususi vya mwisho.
Top Brand,Chapa ya Juu
Top Category,Aina ya Juu
Top Charge Head,Juu Chaji Mkuu
Top Customers,Wateja wa Juu
Top Discount,Punguzo la Juu
Top Items by Location,Vipengee vya Juu kulingana na Mahali
Top Margin,Pembezoni ya Juu
Top Pending,Inasubiri Juu
Top Profit Item,Bidhaa ya Faida ya Juu
Top Return Items,Vipengee vya Juu vya Kurudi
Top Sales by Cashier,Mauzo ya Juu na Cashier
Top Supplier,Muuzaji wa Juu
Top Suppliers by Spend,Wasambazaji wa Juu kwa Matumizi
Top Tables,Majedwali ya Juu
Top Tax Head,Mkuu wa Ushuru
Top Up Amount,Ongeza Kiasi
Top Up Card,Kadi ya Juu Juu
Top Up Mode,Hali ya Juu Juu
Top Variant,Lahaja ya Juu
Total,Jumla
Total Amount,Jumla ya Kiasi
Total Change,Jumla ya Mabadiliko
Total Charges,Jumla ya Gharama
Total In,Jumla ya Ndani
Total Invoices,Jumla ya ankara
Total Items,Jumla ya Vipengee
Total Mpesa,Jumla ya Mpesa
Total Out,Jumla ya nje
Total Payments,Jumla ya Malipo
Total Purchase,Jumla ya Ununuzi
Total Selected :,Jumla Iliyochaguliwa :
Total Size,Ukubwa Jumla
Total Stock Qty,Jumla ya Hisa Uzito
Total:,Jumla:
Totals by Invoice Currency,Jumla kwa Sarafu ya Ankara
Track how much cash was handed back to customers,Fuatilia ni pesa ngapi zilirejeshwa kwa wateja
"Track recent sales, collect unpaid balances, and reopen saved work","Fuatilia mauzo ya hivi majuzi, kukusanya salio ambalo hujalipia na ufungue kazi uliyohifadhi upya"
Transaction ID,Kitambulisho cha muamala
Transfer,Uhamisho
Try a different search term or clear the cart search.,Jaribu neno tofauti la utafutaji au ufute utafutaji wa rukwama.
Try adjusting your search or filters,Jaribu kurekebisha utafutaji wako au vichujio
Try another source or refresh the list.,Jaribu chanzo kingine au uonyeshe upya orodha.
Try changing the date range or status filter.,Jaribu kubadilisha kipindi au kichujio cha hali.
Type,Aina
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,Haiwezi kufikia kamera hata kwa mipangilio ya msingi. Tafadhali angalia ruhusa za kamera yako na uoanifu wa kifaa.
Unable to add offer item {0}. Please refresh and try again.,Imeshindwa kuongeza kipengee cha ofa {0}. Tafadhali onyesha upya na ujaribu tena.
Unable to add offer item. Please refresh and try again.,Imeshindwa kuongeza kipengee cha ofa. Tafadhali onyesha upya na ujaribu tena.
Unable to add scanned item.,Imeshindwa kuongeza kipengee kilichochanganuliwa.
Unable to create purchase order,Imeshindwa kuunda agizo la ununuzi
Unable to delete draft invoice,Imeshindwa kufuta rasimu ya ankara
Unable to fetch documents,Imeshindwa kuleta hati
Unable to fetch draft orders,Imeshindwa kuleta rasimu ya maagizo
Unable to fetch invoice history,Imeshindwa kuleta historia ya ankara
Unable to fetch M-Pesa payments,Imeshindwa kuleta malipo ya M-Pesa
Unable to fetch sales orders,Imeshindwa kuleta maagizo ya mauzo
Unable to fetch unpaid invoices,Imeshindwa kuleta ankara ambazo hazijalipwa
Unable to generate scale barcode,Imeshindwa kuzalisha msimbopau wa kiwango
Unable to issue gift card.,Imeshindwa kutoa kadi ya zawadi.
Unable to load cashier PIN status.,Imeshindwa kupakia hali ya PIN ya keshia.
Unable to load document,Imeshindwa kupakia hati
Unable to load draft invoice,Imeshindwa kupakia rasimu ya ankara
Unable to load gift card balance.,Imeshindwa kupakia salio la kadi ya zawadi.
Unable to load invoice details,Imeshindwa kupakia maelezo ya ankara
Unable to load parked order,Imeshindwa kupakia agizo lililoegeshwa
Unable to load the selected sales order,Imeshindwa kupakia agizo lililochaguliwa la mauzo
Unable to prepare document,Imeshindwa kuandaa hati
Unable to prepare return invoice,Imeshindwa kuandaa ankara ya kurejesha
Unable to print draft invoice,Imeshindwa kuchapisha rasimu ya ankara
Unable to print submitted invoice,Imeshindwa kuchapisha ankara iliyowasilishwa
Unable to process document action,Imeshindwa kuchakata kitendo cha hati
Unable to repair change allocation,Imeshindwa kurekebisha mgao wa mabadiliko
Unable to save cashier PIN.,Imeshindwa kuhifadhi PIN ya keshia.
Unable to save the rate to the backend price list,Imeshindwa kuhifadhi kiwango kwenye orodha ya bei ya nyuma
Unable to submit invoice,Imeshindwa kuwasilisha ankara
Unable to submit the selected payment,Imeshindwa kuwasilisha malipo uliyochagua
Unable to top up gift card.,Imeshindwa kujaza kadi ya zawadi.
Unable to verify cashier PIN.,Imeshindwa kuthibitisha PIN ya keshia.
Unallocated,Haijatengwa
Unallocated:,Haijatengwa:
Unavailable,Haipatikani
Unknown,Haijulikani
Unknown Item,Kipengee kisichojulikana
Unknown Warehouse,Ghala lisilojulikana
Unlock POS,Fungua POS
Unpaid,Haijalipwa
"Unselected payments stay unallocated first, then auto reconcile after submit.","Malipo ambayo hayajachaguliwa hukaa bila kugawanywa kwanza, kisha upatanishe kiotomatiki baada ya kuwasilisha."
UOM,UOM
UOM not found,UOM haijapatikana
Update available,Sasisho linapatikana
Update Customer,Sasisha Mteja
Update PIN,Sasisha PIN
Update Price List Rate,Sasisha Kiwango cha Orodha ya Bei
Updated,Imesasishwa
Updates and app info that stay out of the cashier flow.,Masasisho na maelezo ya programu ambayo hayatumiki kwenye mtiririko wa mtunza fedha.
Updates automatically,Inasasisha kiotomatiki
Usage,Matumizi
Usage Stats,Takwimu za Matumizi
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Tumia PIN ya tarakimu 4 hadi 8 kubadilisha keshia na kufungua terminal.
Use Cashier,Tumia Cashier
Use date range to search for older invoices,Tumia kipindi kutafuta ankara za zamani
"Use one field for manual code entry, barcode scans, or QR scans.","Tumia sehemu moja kuweka msimbo mwenyewe, uchanganuzi wa msimbo pau au uchanganuzi wa QR."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Tumia mtiririko mmoja wa kazi kukagua salio, utoaji mpya na nyongeza bila kuondoka kwenye POS."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Tumia sehemu hii wakati data ya sharti iliyoakibishwa inahitaji kusasishwa, kuunda upya au ukaguzi wa uchunguzi."
Use Western numerals,Tumia nambari za Magharibi
Used:,Imetumika:
Using basic camera settings due to device limitations,Kutumia mipangilio ya msingi ya kamera kwa sababu ya mapungufu ya kifaa
Using cached customer balance,Kwa kutumia salio la mteja lililoakibishwa
Valid until,Inatumika hadi
Variance %,Tofauti %
Variants,Lahaja
Variant-wise,Lahaja-busara
Verify closing amounts for each payment method,Thibitisha kiasi cha kufunga kwa kila njia ya malipo
View all,Tazama zote
View app information and current build details,Tazama maelezo ya programu na maelezo ya sasa ya muundo
View Data Diagnostics,Tazama Uchunguzi wa Data
View Details,Tazama Maelezo
View invoice details,Tazama maelezo ya ankara
View notifications,Tazama arifa
View offline invoices,Tazama ankara za nje ya mtandao
View restricted POS insights,Tazama maarifa ya POS yenye vikwazo
Void Amount,Kiasi Utupu
Void Count,Hesabu Utupu
Voids,Utupu
Waiting for cart items,Inasubiri vitu vya gari
Waiting for payment...,Inasubiri malipo...
Walk-in Customer,Mteja wa Kuingia
Warehouse,Ghala
Warning: High cache usage may affect performance.,Onyo: Matumizi ya akiba ya juu yanaweza kuathiri utendakazi.
Warning: High lag may indicate heavy processing or browser slowness.,Onyo: Kuchelewa sana kunaweza kuonyesha uchakataji mzito au ucheleweshaji wa kivinjari.
Week ?,Wiki?
Week-wise,Wiki-busara
Weight (g),Uzito (g)
Weight (grams),Uzito (gramu)
We'll let you know if an invoice fails to submit,Tutakujulisha ikiwa ankara itashindwa kuwasilisha
Workflow,Mtiririko wa kazi
Write off amount cannot exceed the POS profile maximum of {0},Kiasi cha kufuta hakiwezi kuzidi kiwango cha juu cha wasifu wa POS cha {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,Kiasi cha kufuta kinazidi kikomo kinachoruhusiwa ({0}). Tafadhali ongeza malipo kwa kiasi kilichosalia.
Yes,Ndiyo
"Yes, Cancel sale","Ndiyo, Ghairi uuzaji"
"Yes, Close","Ndiyo, Funga"
You are not allowed to print draft invoices,Huruhusiwi kuchapisha rasimu ya ankara
You are offline. Add Payment will work again when the connection is restored.,Hauko mtandaoni. Ongeza Malipo itafanya kazi tena muunganisho utakaporejeshwa.
You have no notifications right now,Huna arifa kwa sasa
Your Cart,Mkokoteni Wako
