POS Awesome,POS страхотно
Top Brand,Топ марка
Top Category,Топ категория
Top Charge Head,Горна глава за зареждане
Top Customers,Топ клиенти
Top Discount,Топ Намаление
Top Items by Location,Топ артикули по местоположение
Top Margin,Горен марж
Top Pending,Топ в очакване
Top Profit Item,Топ печалба
Top Return Items,Топ артикули за връщане
Top Sales by Cashier,Топ продажби от касиер
Top Supplier,Топ доставчик
Top Suppliers by Spend,Топ доставчици по разходи
Top Tables,Горни маси
Top Tax Head,Топ данъчен ръководител
Top Up Amount,Сума за допълване
Top Up Card,Карта за допълване
Top Up Mode,Режим на допълване
Top Variant,Топ Вариант
Total,Общо
Total Amount,Обща сума
Total Change,Пълна промяна
Total Charges,Общо такси
Total In,Общо в
Total Invoices,Общо фактури
Total Items,Общо елементи
Total Mpesa,Общо Mpesa
Total Out,Total Out
Total Payments,Общо плащания
Total Purchase,Пълна покупка
Total Selected :,Общо избрано:
Total Size,Общ размер
Total Stock Qty,Общо складово количество
Total:,Общо:
Totals by Invoice Currency,Общо по валута на фактурата
Track how much cash was handed back to customers,Проследете колко пари са върнати на клиентите
"Track recent sales, collect unpaid balances, and reopen saved work","Проследявайте последните продажби, събирайте неплатени салда и отваряйте отново запазена работа"
Transaction ID,ID на транзакцията
Transfer,Трансфер
Try a different search term or clear the cart search.,Опитайте с друга дума за търсене или изчистете търсенето на количката.
Try adjusting your search or filters,Опитайте да коригирате търсенето или филтрите си
Try another source or refresh the list.,Опитайте друг източник или обновете списъка.
Try changing the date range or status filter.,Опитайте да промените периода от време или филтъра за състояние.
Type,Тип
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,"Няма достъп до камерата дори с основни настройки. Моля, проверете разрешенията на вашата камера и съвместимостта на устройството."
Unable to add offer item {0}. Please refresh and try again.,"Не може да се добави оферта {0}. Моля, опреснете и опитайте отново."
Unable to add offer item. Please refresh and try again.,"Не може да се добави артикул от офертата. Моля, опреснете и опитайте отново."
Unable to add scanned item.,Не може да се добави сканиран елемент.
Unable to create purchase order,Не може да се създаде поръчка за покупка
Unable to delete draft invoice,Не може да се изтрие чернова на фактура
Unable to fetch documents,Не могат да се извлекат документи
Unable to fetch draft orders,Не може да се извлекат чернови на поръчки
Unable to fetch invoice history,Не може да се извлече история на фактурите
Unable to fetch M-Pesa payments,Не могат да се извлекат плащания от M-Pesa
Unable to fetch sales orders,Не могат да се извлекат поръчки за продажба
Unable to fetch unpaid invoices,Невъзможно извличане на неплатени фактури
Unable to generate scale barcode,Не може да се генерира баркод на везната
Unable to issue gift card.,Не може да се издаде подаръчна карта.
Unable to load cashier PIN status.,Не може да се зареди ПИН статус на касата.
Unable to load document,Не може да се зареди документ
Unable to load draft invoice,Не може да се зареди чернова на фактура
Unable to load gift card balance.,Не може да се зареди балансът на картата за подарък.
Unable to load invoice details,Не може да се заредят подробности за фактурата
Unable to load parked order,Не може да се зареди паркирана поръчка
Unable to load the selected sales order,Не може да се зареди избраната поръчка за продажба
Unable to prepare document,Не може да се подготви документ
Unable to prepare return invoice,Не може да се подготви фактура за връщане
Unable to print draft invoice,Не може да се отпечата чернова на фактура
Unable to print submitted invoice,Не може да се отпечата изпратената фактура
Unable to process document action,Не може да се обработи действието на документа
Unable to repair change allocation,Не може да се поправи промяната на разпределението
Unable to save cashier PIN.,ПИН кодът на касата не може да бъде запазен.
Unable to save the rate to the backend price list,Не може да се запише тарифата в ценовата листа на бекенда
Unable to submit invoice,Не може да се изпрати фактура
Unable to submit the selected payment,Избраното плащане не може да бъде изпратено
Unable to top up gift card.,Не може да се презареди подаръчна карта.
Unable to verify cashier PIN.,ПИН кодът на касата не може да бъде потвърден.
Unallocated,Неразпределени
Unallocated:,Неразпределени:
Unavailable,Недостъпен
Unknown,неизвестен
Unknown Item,Неизвестен елемент
Unknown Warehouse,Неизвестен склад
Unlock POS,Отключете POS
Unpaid,Неплатени
"Unselected payments stay unallocated first, then auto reconcile after submit.","Неизбраните плащания първо остават неразпределени, след което се съгласуват автоматично след изпращане."
UOM,UOM
UOM not found,UOM не е намерен
Update available,Налична актуализация
Update Customer,Актуализиране на клиента
Update PIN,Актуализиране на ПИН
Update Price List Rate,Актуализиране на цената на ценова листа
Updated,Актуализиран
Updates and app info that stay out of the cashier flow.,"Актуализации и информация за приложения, които остават извън потока на касата."
Updates automatically,Актуализира се автоматично
Usage,Използване
Usage Stats,Статистика за използване
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Използвайте ПИН от 4 до 8 цифри за смяна на касиер и отключване на терминала.
Use Cashier,Използвайте Каса
Use date range to search for older invoices,Използвайте диапазон от дати за търсене на по-стари фактури
"Use one field for manual code entry, barcode scans, or QR scans.","Използвайте едно поле за ръчно въвеждане на код, сканиране на баркод или QR сканиране."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Използвайте един работен процес за проверки на баланс, ново издаване и допълване, без да напускате POS."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Използвайте този раздел, когато кешираните предварителни данни се нуждаят от опресняване, повторно изграждане или диагностичен преглед."
Use Western numerals,Използвайте западни цифри
Used:,Използвано:
Using basic camera settings due to device limitations,Използване на основни настройки на камерата поради ограничения на устройството
Using cached customer balance,Използване на кеширан клиентски баланс
Valid until,Валидна до
Variance %,Дисперсия %
Variants,Варианти
Variant-wise,Вариантно
Verify closing amounts for each payment method,Проверете сумите за затваряне за всеки метод на плащане
View all,Вижте всички
View app information and current build details,Вижте информация за приложението и текущи подробности за компилация
View Data Diagnostics,Преглед на диагностика на данни
View Details,Вижте подробности
View invoice details,Вижте подробности за фактурата
View notifications,Преглед на известията
View offline invoices,Преглед на офлайн фактури
View restricted POS insights,Преглед на ограничена информация за POS
Void Amount,Невалидна сума
Void Count,Брой празноти
Voids,Празнини
Waiting for cart items,Изчакване на артикули от количката
Waiting for payment...,Очаква се плащане...
Walk-in Customer,Входен клиент
Warehouse,Склад
Warning: High cache usage may affect performance.,Предупреждение: Голямото използване на кеша може да повлияе на производителността.
Warning: High lag may indicate heavy processing or browser slowness.,Предупреждение: Голямото забавяне може да означава тежка обработка или бавност на браузъра.
Week ?,седмица?
Week-wise,Седмично
Weight (g),Тегло (g)
Weight (grams),Тегло (грамове)
We'll let you know if an invoice fails to submit,"Ще ви уведомим, ако не успеете да изпратите фактура"
Workflow,Работен процес
Write off amount cannot exceed the POS profile maximum of {0},Сумата за отписване не може да надвишава максимума на POS профила от {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,"Сумата за отписване надвишава разрешената граница ({0}). Моля, добавете плащане за оставащата сума."
Yes,да
"Yes, Cancel sale","Да, отмени продажбата"
"Yes, Close","Да, затвори"
You are not allowed to print draft invoices,Нямате право да отпечатвате чернови на фактури
You are offline. Add Payment will work again when the connection is restored.,"Вие сте офлайн. Добавянето на плащане ще работи отново, когато връзката бъде възстановена."
You have no notifications right now,В момента нямате известия
Your Cart,Вашата количка
