POS Awesome,POS Super
Search supplier,Anbieter suchen
Search unpaid invoices or customers,Suchen Sie nach unbezahlten Rechnungen oder Kunden
Secure context (HTTPS or localhost) is required for camera access.,Für den Kamerazugriff ist ein sicherer Kontext (HTTPS oder Localhost) erforderlich.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,"Für den Kamerazugriff ist ein sicherer Kontext (HTTPS) erforderlich. Bitte verwenden Sie HTTPS, um auf die Kamera zuzugreifen."
Select,Auswählen
Select a cashier first.,Wählen Sie zunächst einen Kassierer aus.
Select a customer,Wählen Sie einen Kunden aus
Select a customer to use coupon,"Wählen Sie einen Kunden aus, um den Gutschein zu verwenden"
Select a printer to use QZ silent printing.,"Wählen Sie einen Drucker aus, um das stille QZ-Drucken zu verwenden."
Select Batch,Wählen Sie Stapel aus
Select Columns to Display,Wählen Sie die anzuzeigenden Spalten aus
Select items to sell,Wählen Sie Artikel zum Verkauf aus
Select Payment,Wählen Sie Zahlung
Select Payment Account,Wählen Sie Zahlungskonto
Select printer,Drucker auswählen
Select Return Invoice,Wählen Sie „Rechnung zurücksenden“.
Select S.O,Wählen Sie S.O
Select Sales Orders,Wählen Sie Kundenaufträge aus
Select the cashier who is taking over this terminal.,"Wählen Sie den Kassierer aus, der dieses Terminal übernimmt."
Selected,Ausgewählt
Selected movement type is not allowed by POS Profile.,Der ausgewählte Bewegungstyp ist im POS-Profil nicht zulässig.
Selected Payments,Ausgewählte Zahlungen
Sensitive actions kept away from quick taps.,Sensible Aktionen werden von schnellem Tippen ferngehalten.
Serial,Seriell
Serial Numbers,Seriennummern
Server CPU Usage:,Server-CPU-Auslastung:
Server Health,Serverzustand
Server Memory Usage:,Serverspeichernutzung:
Server Metrics,Servermetriken
Server Uptime:,Serververfügbarkeit:
Service Charges,Servicegebühren
Session,Sitzung
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,Legen Sie jede Kassierer-PIN im Benutzerformular fest und behalten Sie die zugewiesenen Terminalmitglieder im POS-Profilbenutzer bei.
Settings,Einstellungen
Settings in this section update the POS workspace without changing the current route.,"Die Einstellungen in diesem Abschnitt aktualisieren den POS-Arbeitsbereich, ohne die aktuelle Route zu ändern."
Setup complete!,Einrichtung abgeschlossen!
Share,Teilen
Shared terminal,Gemeinsames Terminal
Shift Closed Snapshot,Geschlossenen Snapshot verschieben
Shift Overview,Schichtübersicht
Show,Zeigen
Show cart on customer-facing screen,Warenkorb auf dem Kundenbildschirm anzeigen
Show last invoice rate,Letzten Rechnungssatz anzeigen
Show rate info,Preisinformationen anzeigen
Show Repair Candidates,Reparaturkandidaten anzeigen
Show search tools,Suchwerkzeuge anzeigen
Show the active cart on a customer-facing screen,Zeigen Sie den aktiven Warenkorb auf einem kundenorientierten Bildschirm an
Showing {0}-{1} of {2},Angezeigt werden {0}-{1} von {2}
Showing 0 of 0,0 von 0 werden angezeigt
Shows the distribution of invoices per currency,Zeigt die Verteilung der Rechnungen pro Währung
Sign out of the current POS session,Melden Sie sich von der aktuellen POS-Sitzung ab
Size:,Größe:
Skipped Payments,Übersprungene Zahlungen
Skipping items without barcodes,Überspringen von Artikeln ohne Barcode
Slow Moving,Langsame Bewegung
Slow Moving Items,Langsam bewegliche Gegenstände
Slow Queries:,Langsame Abfragen:
Sold,Verkauft
Source,Quelle
Source Cash Account (Optional Override),Quellgeldkonto (optionale Überschreibung)
Source Ex. Rate:,Quelle Bsp. Bewerten:
Source Rate:,Quellrate:
Specific Profile,Spezifisches Profil
Split Invoices,Rechnungen aufteilen
Staff / Cashier Performance Report,Leistungsbericht für Mitarbeiter/Kassierer
Status,Status
Stock,Lager
Stock Information,Bestandsinformationen
Stock is lower than requested,Der Lagerbestand ist geringer als angefordert
Stock is lower than requested:\n{0},Der Lagerbestand ist geringer als angefordert:\n{0}
Stock Movement Report,Lagerbewegungsbericht
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Bestandsaktualisierung: {0} hat {1} verfügbar. Durch Hinzufügen von {2} wird der Bestand unter Null gesenkt.
Submit,Einreichen
Submit & Print,Senden und drucken
Submit Deposit,Anzahlung einreichen
Submit Expense,Spesen einreichen
Submitted,Eingereicht
Submitted Cash Movements,Eingereichte Bargeldbewegungen
Submitted entries,Eingereichte Einträge
Successfully scanned:,Erfolgreich gescannt:
Suggested,Vorgeschlagen
Suggested Qty,Empfohlene Menge
Supervisor Access,Supervisor-Zugriff
Supervisor permissions unlock issuance and reloads,Supervisor-Berechtigungen entsperren die Ausgabe und das erneute Laden
Supervisor Tools,Supervisor-Tools
Supplier,Lieferant
Supplier and dates are required.,Anbieter und Termine sind erforderlich.
Supplier Invoices,Lieferantenrechnungen
Supplier is required.,Lieferant ist erforderlich.
Supplier name is required,Der Name des Lieferanten ist erforderlich
Supplier Payments,Lieferantenzahlungen
Supplier Purchase Summary,Zusammenfassung des Lieferanteneinkaufs
Suppliers,Lieferanten
Suppliers not found,Lieferanten nicht gefunden
Switch Camera,Kamera wechseln
Switch Cashier,Kassierer wechseln
Switch the POS appearance theme,Wechseln Sie das POS-Erscheinungsbilddesign
Switched to:,Gewechselt zu:
Sync All Invoices,Alle Rechnungen synchronisieren
Sync Offline Cash Movements ({0}),Offline-Bargeldbewegungen synchronisieren ({0})
Sync Offline Sales,Offline-Verkäufe synchronisieren
Synced {0} offline cash movement(s).,Synchronisierte {0} Offline-Bargeldbewegung(en).
Syncing items in background,Elemente im Hintergrund synchronisieren
System / Diagnostics,System / Diagnose
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Bei Systemaktionen handelt es sich um Wartungskontrollen mit geringer Häufigkeit, z. B. App-Informationen, Supportdiagnosen und Sitzungskontrollen."
System Information,Systeminformationen
System Status,Systemstatus
Tables:,Tische:
Tap the button below to redeem a gift card during checkout.,"Tippen Sie auf die Schaltfläche unten, um beim Bezahlvorgang eine Geschenkkarte einzulösen."
Target,Ziel
Target Ex. Rate:,Ziel-Ex. Bewerten:
Target Rate:,Zielquote:
Tax,Steuer
Tax / Charges Report,Steuer-/Gebührenbericht
Tax Heads,Steuerchefs
Taxable Amount,Steuerpflichtiger Betrag
Tendered,Ausgeschrieben
Terminal,Terminal
Terminal & Devices,Terminal und Geräte
Terminal locked,Terminal gesperrt
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Terminal-Tools wirken sich auf diese Kassenstation, kundenorientierte Displays und zukünftige Drucker-/Gerätesteuerungen aus."
Territory not found,Gebiet nicht gefunden
The amount paid is not complete,Der gezahlte Betrag ist nicht vollständig
The app stores data locally for offline use. This is called cache.,Die App speichert Daten lokal für die Offline-Nutzung. Dies wird als Cache bezeichnet.
The invoice stayed in draft. Please review and submit it manually.,Die Rechnung blieb im Entwurf. Bitte überprüfen Sie es und reichen Sie es manuell ein.
The maximum discount allowed is,Der maximal zulässige Rabatt beträgt
The quantity for {0} has been adjusted to the maximum available stock.,Die Menge für {0} wurde an den maximal verfügbaren Bestand angepasst.
The system could not retrieve the item details. Please try again.,Das System konnte die Artikeldetails nicht abrufen. Bitte versuchen Sie es erneut.
These invoices will be synced when connection is restored,"Diese Rechnungen werden synchronisiert, sobald die Verbindung wiederhergestellt ist"
This action now opens inside the settings workspace.,Diese Aktion wird jetzt im Einstellungsarbeitsbereich geöffnet.
This coupon already used !,Dieser Gutschein wurde bereits verwendet!
This invoice does not need change-allocation repair,Für diese Rechnung ist keine Änderungszuordnungsreparatur erforderlich
This invoice is already repaired,Diese Rechnung ist bereits repariert
This is an item template. Please choose a variant.,Dies ist eine Artikelvorlage. Bitte wählen Sie eine Variante.
this item,diesen Artikel
This POS page could not be opened offline because its code was not cached on this terminal yet.,"Diese POS-Seite konnte nicht offline geöffnet werden, da ihr Code noch nicht auf diesem Terminal zwischengespeichert wurde."
This Serial Number {0} has already been added!,Diese Seriennummer {0} wurde bereits hinzugefügt!
Threshold,Schwelle
Time,Zeit
Tip: Clear cache regularly to free up space and keep the app fast.,"Tipp: Leeren Sie regelmäßig den Cache, um Speicherplatz freizugeben und die App schnell zu halten."
Tip: Close unused tabs or apps to reduce lag.,"Tipp: Schließen Sie nicht verwendete Tabs oder Apps, um Verzögerungen zu reduzieren."
Tip: Monitor slow queries and table size for optimal performance.,"Tipp: Überwachen Sie langsame Abfragen und die Tabellengröße, um eine optimale Leistung zu erzielen."
To Be Paid,Zu bezahlen
To Date,Bis heute
Today,Heute
Today Profit,Heute Gewinn
Today Sales,Heute Verkauf
Toggle navigation drawer,Navigationsleiste umschalten
Toggle Theme,Thema umschalten
Tools,Werkzeuge
Tools for customer-facing screens and terminal-specific actions.,Tools für kundenorientierte Bildschirme und terminalspezifische Aktionen.
Top Brand,Top-Marke
Top Category,Top-Kategorie
Top Charge Head,Oberer Ladekopf
Top Customers,Top-Kunden
Top Discount,Top-Rabatt
Top Items by Location,Top-Artikel nach Standort
Top Margin,Oberer Rand
Top Pending,Oben Ausstehend
Top Profit Item,Top-Gewinnelement
Top Return Items,Top-Retourenartikel
Top Sales by Cashier,Top-Verkäufe nach Kassierer
Top Supplier,Top-Lieferant
Top Suppliers by Spend,Top-Lieferanten nach Ausgaben
Top Tables,Top-Tische
Top Tax Head,Top-Steuerchef
Top Up Amount,Aufladebetrag
Top Up Card,Aufladekarte
Top Up Mode,Auflademodus
Top Variant,Top-Variante
Total,Insgesamt
Total Amount,Gesamtbetrag
Total Change,Totale Veränderung
Total Charges,Gesamtgebühren
Total In,Gesamteingang
Total Invoices,Gesamtrechnungen
Total Items,Gesamtzahl der Artikel
Total Mpesa,Gesamt-Mpesa
Total Out,Total aus
Total Payments,Gesamtzahlungen
Total Purchase,Gesamtkauf
Total Selected :,Insgesamt ausgewählt:
Total Size,Gesamtgröße
Total Stock Qty,Gesamtbestandsmenge
Total:,Gesamt:
Totals by Invoice Currency,Gesamtsummen nach Rechnungswährung
Track how much cash was handed back to customers,"Verfolgen Sie, wie viel Bargeld an Kunden zurückgegeben wurde"
"Track recent sales, collect unpaid balances, and reopen saved work","Verfolgen Sie aktuelle Verkäufe, sammeln Sie unbezahlte Beträge ein und öffnen Sie gespeicherte Arbeiten erneut"
Transaction ID,Transaktions-ID
Transfer,Übertragen
Try a different search term or clear the cart search.,Versuchen Sie es mit einem anderen Suchbegriff oder löschen Sie die Warenkorbsuche.
Try adjusting your search or filters,"Versuchen Sie, Ihre Suche oder Filter anzupassen"
Try another source or refresh the list.,Versuchen Sie es mit einer anderen Quelle oder aktualisieren Sie die Liste.
Try changing the date range or status filter.,"Versuchen Sie, den Datumsbereich oder den Statusfilter zu ändern."
Type,Typ
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,Trotz Grundeinstellungen ist kein Zugriff auf die Kamera möglich. Bitte überprüfen Sie Ihre Kameraberechtigungen und Gerätekompatibilität.
Unable to add offer item {0}. Please refresh and try again.,Angebotsartikel {0} konnte nicht hinzugefügt werden. Bitte aktualisieren Sie und versuchen Sie es erneut.
Unable to add offer item. Please refresh and try again.,Angebotsartikel konnte nicht hinzugefügt werden. Bitte aktualisieren Sie und versuchen Sie es erneut.
Unable to add scanned item.,Gescanntes Element konnte nicht hinzugefügt werden.
Unable to create purchase order,Bestellung kann nicht erstellt werden
Unable to delete draft invoice,Der Rechnungsentwurf konnte nicht gelöscht werden
Unable to fetch documents,Dokumente können nicht abgerufen werden
Unable to fetch draft orders,Bestellentwürfe können nicht abgerufen werden
Unable to fetch invoice history,Der Rechnungsverlauf konnte nicht abgerufen werden
Unable to fetch M-Pesa payments,M-Pesa-Zahlungen können nicht abgerufen werden
Unable to fetch sales orders,Kundenaufträge können nicht abgerufen werden
Unable to fetch unpaid invoices,Unbezahlte Rechnungen können nicht abgerufen werden
Unable to generate scale barcode,Waagen-Barcode kann nicht generiert werden
Unable to issue gift card.,Geschenkkarte kann nicht ausgestellt werden.
Unable to load cashier PIN status.,Der Kassierer-PIN-Status konnte nicht geladen werden.
Unable to load document,Dokument kann nicht geladen werden
Unable to load draft invoice,Der Rechnungsentwurf konnte nicht geladen werden
Unable to load gift card balance.,Das Guthaben der Geschenkkarte konnte nicht geladen werden.
Unable to load invoice details,Rechnungsdetails können nicht geladen werden
Unable to load parked order,Die geparkte Bestellung konnte nicht geladen werden
Unable to load the selected sales order,Der ausgewählte Kundenauftrag konnte nicht geladen werden
Unable to prepare document,Dokument kann nicht vorbereitet werden
Unable to prepare return invoice,Rücksenderechnung kann nicht erstellt werden
Unable to print draft invoice,Rechnungsentwurf kann nicht gedruckt werden
Unable to print submitted invoice,Die eingereichte Rechnung kann nicht gedruckt werden
Unable to process document action,Dokumentaktion kann nicht verarbeitet werden
Unable to repair change allocation,Änderungszuordnung kann nicht repariert werden
Unable to save cashier PIN.,Kassierer-PIN konnte nicht gespeichert werden.
Unable to save the rate to the backend price list,Der Preis kann nicht in der Backend-Preisliste gespeichert werden
Unable to submit invoice,Rechnung kann nicht übermittelt werden
Unable to submit the selected payment,Die ausgewählte Zahlung kann nicht übermittelt werden
Unable to top up gift card.,Geschenkkarte kann nicht aufgeladen werden.
Unable to verify cashier PIN.,Die Kassierer-PIN konnte nicht bestätigt werden.
Unallocated,Nicht zugeordnet
Unallocated:,Nicht zugeordnet:
Unavailable,Nicht verfügbar
Unknown,Unbekannt
Unknown Item,Unbekannter Artikel
Unknown Warehouse,Unbekanntes Lager
Unlock POS,POS entsperren
Unpaid,Unbezahlt
"Unselected payments stay unallocated first, then auto reconcile after submit.",Nicht ausgewählte Zahlungen bleiben zunächst unzugeordnet und werden nach der Übermittlung automatisch abgeglichen.
UOM,UOM
UOM not found,Maßeinheit nicht gefunden
Update available,Update verfügbar
Update Customer,Kunde aktualisieren
Update PIN,PIN aktualisieren
Update Price List Rate,Preislistenpreis aktualisieren
Updated,Aktualisiert
Updates and app info that stay out of the cashier flow.,"Updates und App-Informationen, die nicht in den Kassiererfluss gelangen."
Updates automatically,Automatische Aktualisierung
Usage,Nutzung
Usage Stats,Nutzungsstatistiken
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Verwenden Sie zum Wechseln der Kasse und zum Entsperren des Terminals eine 4- bis 8-stellige PIN.
Use Cashier,Benutzen Sie die Kasse
Use date range to search for older invoices,"Verwenden Sie den Datumsbereich, um nach älteren Rechnungen zu suchen"
"Use one field for manual code entry, barcode scans, or QR scans.","Verwenden Sie ein Feld für die manuelle Codeeingabe, Barcode-Scans oder QR-Scans."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Nutzen Sie einen einzigen Workflow für Kontostandsprüfungen, Neuausgaben und Aufladungen, ohne den POS zu verlassen."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Verwenden Sie diesen Abschnitt, wenn zwischengespeicherte Voraussetzungsdaten aktualisiert, neu erstellt oder einer Diagnoseüberprüfung unterzogen werden müssen."
Use Western numerals,Verwenden Sie westliche Ziffern
Used:,Verwendet:
Using basic camera settings due to device limitations,Aufgrund von Geräteeinschränkungen werden grundlegende Kameraeinstellungen verwendet
Using cached customer balance,Verwendung des zwischengespeicherten Kundenguthabens
Valid until,Gültig bis
Variance %,Abweichung %
Variants,Varianten
Variant-wise,Variantenmäßig
Verify closing amounts for each payment method,Überprüfen Sie die Abschlussbeträge für jede Zahlungsmethode
View all,Alle anzeigen
View app information and current build details,App-Informationen und aktuelle Build-Details anzeigen
View Data Diagnostics,Datendiagnose anzeigen
View Details,Details anzeigen
View invoice details,Rechnungsdetails anzeigen
View notifications,Benachrichtigungen anzeigen
View offline invoices,Offline-Rechnungen anzeigen
View restricted POS insights,Sehen Sie sich eingeschränkte POS-Einblicke an
Void Amount,Ungültiger Betrag
Void Count,Leerenanzahl
Voids,Leere
Waiting for cart items,Warten auf Artikel im Warenkorb
Waiting for payment...,Warten auf Zahlung...
Walk-in Customer,Laufkundschaft
Warehouse,Lager
Warning: High cache usage may affect performance.,Warnung: Eine hohe Cache-Nutzung kann die Leistung beeinträchtigen.
Warning: High lag may indicate heavy processing or browser slowness.,Warnung: Eine hohe Verzögerung kann auf eine starke Verarbeitung oder einen langsamen Browser hinweisen.
Week ?,Woche ?
Week-wise,Wöchentlich
Weight (g),Gewicht (g)
Weight (grams),Gewicht (Gramm)
We'll let you know if an invoice fails to submit,"Wir benachrichtigen Sie, wenn eine Rechnung nicht eingereicht werden kann"
Workflow,Arbeitsablauf
Write off amount cannot exceed the POS profile maximum of {0},Der Abschreibungsbetrag darf den POS-Profil-Maximum von {0} nicht überschreiten.
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,Der Abschreibungsbetrag überschreitet das zulässige Limit ({0}). Bitte zahlen Sie den Restbetrag ein.
Yes,Ja
"Yes, Cancel sale","Ja, Verkauf abbrechen"
"Yes, Close","Ja, schließen"
You are not allowed to print draft invoices,"Es ist Ihnen nicht gestattet, Rechnungsentwürfe auszudrucken"
You are offline. Add Payment will work again when the connection is restored.,"Du bist offline. „Zahlung hinzufügen“ funktioniert wieder, wenn die Verbindung wiederhergestellt ist."
You have no notifications right now,Sie haben im Moment keine Benachrichtigungen
Your Cart,Ihr Warenkorb
