POS Awesome,POS Impresionante
Tip: Monitor slow queries and table size for optimal performance.,Consejo: supervise las consultas lentas y el tamaño de la tabla para obtener un rendimiento óptimo.
To Be Paid,Para ser pagado
To Date,hasta la fecha
Today,hoy
Today Profit,Beneficio de hoy
Today Sales,Ventas de hoy
Toggle navigation drawer,Alternar cajón de navegación
Toggle Theme,Alternar tema
Tools,Herramientas
Tools for customer-facing screens and terminal-specific actions.,Herramientas para pantallas de cara al cliente y acciones específicas de terminales.
Top Brand,Marca superior
Top Category,Categoría superior
Top Charge Head,Cabezal de carga superior
Top Customers,Principales clientes
Top Discount,Descuento superior
Top Items by Location,Artículos principales por ubicación
Top Margin,Margen superior
Top Pending,Arriba Pendiente
Top Profit Item,Artículo de mayor beneficio
Top Return Items,Principales artículos devueltos
Top Sales by Cashier,Principales ventas por cajero
Top Supplier,Proveedor superior
Top Suppliers by Spend,Principales proveedores por gasto
Top Tables,Tablas superiores
Top Tax Head,Jefe superior de impuestos
Top Up Amount,Importe de recarga
Top Up Card,Tarjeta de recarga
Top Up Mode,Modo de recarga
Top Variant,Variante superior
Total,totales
Total Amount,Monto Total
Total Change,Cambio total
Total Charges,Cargos totales
Total In,Total en
Total Invoices,Facturas totales
Total Items,Artículos totales
Total Mpesa,Mpesa total
Total Out,Total fuera
Total Payments,Pagos totales
Total Purchase,Compra Total
Total Selected :,Total Seleccionado :
Total Size,Tamaño total
Total Stock Qty,Cantidad total de existencias
Total:,Totales:
Totals by Invoice Currency,Totales por moneda de factura
Track how much cash was handed back to customers,Realice un seguimiento de cuánto efectivo se devolvió a los clientes
"Track recent sales, collect unpaid balances, and reopen saved work","Realice un seguimiento de las ventas recientes, recopile saldos impagos y vuelva a abrir el trabajo guardado"
Transaction ID,ID de transacción
Transfer,Transferir
Try a different search term or clear the cart search.,Pruebe con un término de búsqueda diferente o borre la búsqueda del carrito.
Try adjusting your search or filters,Intente ajustar su búsqueda o filtros
Try another source or refresh the list.,Pruebe con otra fuente o actualice la lista.
Try changing the date range or status filter.,Intente cambiar el rango de fechas o el filtro de estado.
Type,Tipo
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,No se puede acceder a la cámara ni siquiera con la configuración básica. Verifique los permisos de su cámara y la compatibilidad del dispositivo.
Unable to add offer item {0}. Please refresh and try again.,No se puede agregar el artículo de oferta {0}. Actualice e inténtelo de nuevo.
Unable to add offer item. Please refresh and try again.,No se puede agregar el artículo de oferta. Actualice e inténtelo de nuevo.
Unable to add scanned item.,No se puede agregar el elemento escaneado.
Unable to create purchase order,No se puede crear la orden de compra
Unable to delete draft invoice,No se puede eliminar el borrador de la factura
Unable to fetch documents,No se pueden recuperar los documentos
Unable to fetch draft orders,No se pueden recuperar pedidos preliminares
Unable to fetch invoice history,No se puede recuperar el historial de facturas
Unable to fetch M-Pesa payments,No se pueden recuperar los pagos de M-Pesa
Unable to fetch sales orders,No se pueden recuperar los pedidos de ventas
Unable to fetch unpaid invoices,No se pueden recuperar las facturas impagas
Unable to generate scale barcode,No se puede generar el código de barras de la báscula
Unable to issue gift card.,No se puede emitir la tarjeta de regalo.
Unable to load cashier PIN status.,No se puede cargar el estado del PIN del cajero.
Unable to load document,No se puede cargar el documento
Unable to load draft invoice,No se puede cargar el borrador de la factura
Unable to load gift card balance.,No se puede cargar el saldo de la tarjeta de regalo.
Unable to load invoice details,No se pueden cargar los detalles de la factura
Unable to load parked order,No se puede cargar la orden estacionada
Unable to load the selected sales order,No se puede cargar el pedido de ventas seleccionado
Unable to prepare document,No se puede preparar el documento
Unable to prepare return invoice,No se puede preparar la factura de devolución
Unable to print draft invoice,No se puede imprimir el borrador de la factura
Unable to print submitted invoice,No se puede imprimir la factura enviada
Unable to process document action,No se puede procesar la acción del documento
Unable to repair change allocation,No se puede reparar la asignación de cambios
Unable to save cashier PIN.,No se puede guardar el PIN del cajero.
Unable to save the rate to the backend price list,No se puede guardar la tarifa en la lista de precios backend
Unable to submit invoice,No se puede enviar la factura
Unable to submit the selected payment,No se puede enviar el pago seleccionado
Unable to top up gift card.,No se puede recargar la tarjeta de regalo.
Unable to verify cashier PIN.,No se puede verificar el PIN del cajero.
Unallocated,No asignado
Unallocated:,No asignado:
Unavailable,No disponible
Unknown,Desconocido
Unknown Item,Artículo desconocido
Unknown Warehouse,Almacén desconocido
Unlock POS,Desbloquear punto de venta
Unpaid,No remunerado
"Unselected payments stay unallocated first, then auto reconcile after submit.",Los pagos no seleccionados primero permanecen sin asignar y luego se concilian automáticamente después del envío.
UOM,unidad de medida
UOM not found,UM no encontrada
Update available,Actualización disponible
Update Customer,Actualizar cliente
Update PIN,Actualizar PIN
Update Price List Rate,Actualizar tarifa de lista de precios
Updated,Actualizado
Updates and app info that stay out of the cashier flow.,Actualizaciones e información de aplicaciones que quedan fuera del flujo de caja.
Updates automatically,Se actualiza automáticamente
Usage,Uso
Usage Stats,Estadísticas de uso
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Utilice un PIN de 4 a 8 dígitos para cambiar de cajero y desbloquear terminal.
Use Cashier,Usar cajero
Use date range to search for older invoices,Utilice el rango de fechas para buscar facturas más antiguas
"Use one field for manual code entry, barcode scans, or QR scans.","Utilice un campo para la entrada manual de códigos, escaneos de códigos de barras o escaneos QR."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Utilice un flujo de trabajo para verificaciones de saldo, nuevas emisiones y recargas sin salir del POS."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Utilice esta sección cuando los datos de requisitos previos almacenados en caché necesiten una actualización, reconstrucción o revisión de diagnóstico."
Use Western numerals,Utilice números occidentales
Used:,Usado:
Using basic camera settings due to device limitations,Uso de la configuración básica de la cámara debido a limitaciones del dispositivo
Using cached customer balance,Usar el saldo del cliente en caché
Valid until,Válido hasta
Variance %,% de varianza
Variants,Variantes
Variant-wise,En cuanto a variantes
Verify closing amounts for each payment method,Verificar los montos de cierre para cada método de pago
View all,Ver todo
View app information and current build details,Ver información de la aplicación y detalles de compilación actuales
View Data Diagnostics,Ver diagnóstico de datos
View Details,Ver detalles
View invoice details,Ver detalles de la factura
View notifications,Ver notificaciones
View offline invoices,Ver facturas sin conexión
View restricted POS insights,Ver información restringida de POS
Void Amount,Monto anulado
Void Count,Conteo de vacíos
Voids,vacíos
Waiting for cart items,Esperando artículos del carrito
Waiting for payment...,Esperando pago...
Walk-in Customer,Cliente sin cita previa
Warehouse,almacén
Warning: High cache usage may affect performance.,Advertencia: el uso elevado de caché puede afectar el rendimiento.
Warning: High lag may indicate heavy processing or browser slowness.,Advertencia: un retraso alto puede indicar un procesamiento intenso o lentitud del navegador.
Week ?,Semana ?
Week-wise,Semanalmente
Weight (g),Peso (gramos)
Weight (grams),Peso (gramos)
We'll let you know if an invoice fails to submit,Le informaremos si una factura no se envía
Workflow,Flujo de trabajo
Write off amount cannot exceed the POS profile maximum of {0},El monto cancelado no puede exceder el máximo del perfil de POS de {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,El monto de cancelación excede el límite permitido ({0}). Por favor agregue el pago por el monto restante.
Yes,si
"Yes, Cancel sale","Sí, cancelar venta"
"Yes, Close","Sí, cerrar"
You are not allowed to print draft invoices,No está permitido imprimir borradores de facturas.
You are offline. Add Payment will work again when the connection is restored.,Estás desconectado. Agregar pago funcionará nuevamente cuando se restablezca la conexión.
You have no notifications right now,No tienes notificaciones en este momento
Your Cart,Tu carrito
