POS Awesome,POS 최고
This is an item template. Please choose a variant.,아이템 템플릿입니다. 변형을 선택하십시오.
this item,이 항목
This POS page could not be opened offline because its code was not cached on this terminal yet.,코드가 아직 이 터미널에 캐시되지 않았기 때문에 이 POS 페이지를 오프라인으로 열 수 없습니다.
This Serial Number {0} has already been added!,이 일련번호 {0}은(는) 이미 추가되었습니다!
Threshold,임계값
Time,시간
Tip: Clear cache regularly to free up space and keep the app fast.,팁: 정기적으로 캐시를 지워 공간을 확보하고 앱 속도를 빠르게 유지하세요.
Tip: Close unused tabs or apps to reduce lag.,팁: 지연을 줄이려면 사용하지 않는 탭이나 앱을 닫으세요.
Tip: Monitor slow queries and table size for optimal performance.,팁: 최적의 성능을 위해 느린 쿼리와 테이블 크기를 모니터링하세요.
To Be Paid,지불 예정
To Date,현재까지
Today,오늘
Today Profit,오늘의 이익
Today Sales,오늘의 매출
Toggle navigation drawer,탐색 창 전환
Toggle Theme,테마 전환
Tools,도구
Tools for customer-facing screens and terminal-specific actions.,고객 대면 화면 및 터미널별 작업을 위한 도구입니다.
Top Brand,최고의 브랜드
Top Category,상위 카테고리
Top Charge Head,탑 차지 헤드
Top Customers,상위 고객
Top Discount,최고 할인
Top Items by Location,위치별 상위 항목
Top Margin,상단 여백
Top Pending,상위 보류 중
Top Profit Item,최고 수익 항목
Top Return Items,인기 반품 품목
Top Sales by Cashier,계산원별 최고 매출
Top Supplier,최고 공급업체
Top Suppliers by Spend,지출 기준 상위 공급업체
Top Tables,상위 테이블
Top Tax Head,최고 세금 책임자
Top Up Amount,충전 금액
Top Up Card,충전 카드
Top Up Mode,충전 모드
Top Variant,상위 변형
Total,합계
Total Amount,총액
Total Change,총 변화
Total Charges,총 요금
Total In,총계
Total Invoices,총 송장
Total Items,총 품목
Total Mpesa,총 Mpesa
Total Out,총 아웃
Total Payments,총 결제금액
Total Purchase,총 구매액
Total Selected :,전체 선택 항목:
Total Size,전체 크기
Total Stock Qty,총재고수량
Total:,합계:
Totals by Invoice Currency,송장 통화별 합계
Track how much cash was handed back to customers,고객에게 돌려준 현금의 양을 추적하세요.
"Track recent sales, collect unpaid balances, and reopen saved work","최근 판매를 추적하고, 미지급 잔액을 수집하고, 저장된 작업을 다시 엽니다."
Transaction ID,거래 ID
Transfer,환승
Try a different search term or clear the cart search.,다른 검색어를 사용해 보거나 장바구니 검색을 삭제하세요.
Try adjusting your search or filters,검색 또는 필터를 조정해 보세요.
Try another source or refresh the list.,다른 소스를 시도하거나 목록을 새로 고치세요.
Try changing the date range or status filter.,기간이나 상태 필터를 변경해 보세요.
Type,유형
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,기본 설정으로도 카메라에 접근할 수 없습니다. 카메라 권한과 기기 호환성을 확인해주세요.
Unable to add offer item {0}. Please refresh and try again.,제안 항목 {0}을(를) 추가할 수 없습니다. 새로고침한 후 다시 시도해 주세요.
Unable to add offer item. Please refresh and try again.,쿠폰 항목을 추가할 수 없습니다. 새로고침한 후 다시 시도해 주세요.
Unable to add scanned item.,스캔한 항목을 추가할 수 없습니다.
Unable to create purchase order,구매 주문을 생성할 수 없습니다.
Unable to delete draft invoice,초안 송장을 삭제할 수 없습니다.
Unable to fetch documents,문서를 가져올 수 없습니다.
Unable to fetch draft orders,발주 주문을 가져올 수 없습니다.
Unable to fetch invoice history,인보이스 내역을 가져올 수 없습니다.
Unable to fetch M-Pesa payments,M-Pesa 결제를 가져올 수 없습니다.
Unable to fetch sales orders,판매 주문을 가져올 수 없습니다.
Unable to fetch unpaid invoices,미지급 송장을 가져올 수 없습니다.
Unable to generate scale barcode,체중계 바코드를 생성할 수 없습니다
Unable to issue gift card.,기프트 카드를 발행할 수 없습니다.
Unable to load cashier PIN status.,계산원 PIN 상태를 로드할 수 없습니다.
Unable to load document,문서를 로드할 수 없습니다.
Unable to load draft invoice,초안 송장을 로드할 수 없습니다.
Unable to load gift card balance.,기프트 카드 잔액을 로드할 수 없습니다.
Unable to load invoice details,송장 세부정보를 로드할 수 없습니다.
Unable to load parked order,주차 주문을 로드할 수 없습니다.
Unable to load the selected sales order,선택한 판매 주문을 로드할 수 없습니다.
Unable to prepare document,문서를 준비할 수 없습니다.
Unable to prepare return invoice,반품 송장을 준비할 수 없습니다.
Unable to print draft invoice,초안 송장을 인쇄할 수 없습니다.
Unable to print submitted invoice,제출된 청구서를 인쇄할 수 없습니다.
Unable to process document action,문서 작업을 처리할 수 없습니다.
Unable to repair change allocation,변경 할당을 복구할 수 없습니다.
Unable to save cashier PIN.,계산원 PIN을 저장할 수 없습니다.
Unable to save the rate to the backend price list,백엔드 가격표에 요금을 저장할 수 없습니다.
Unable to submit invoice,청구서를 제출할 수 없습니다
Unable to submit the selected payment,선택한 결제를 제출할 수 없습니다
Unable to top up gift card.,기프트 카드를 충전할 수 없습니다.
Unable to verify cashier PIN.,계산원 PIN을 확인할 수 없습니다.
Unallocated,할당되지 않음
Unallocated:,할당되지 않음:
Unavailable,이용 불가
Unknown,알 수 없음
Unknown Item,알 수 없는 항목
Unknown Warehouse,알 수 없는 창고
Unlock POS,POS 잠금 해제
Unpaid,미지급
"Unselected payments stay unallocated first, then auto reconcile after submit.",선택하지 않은 결제는 먼저 할당되지 않은 상태로 유지되며 제출 후 자동 조정됩니다.
UOM,어옴
UOM not found,UOM을 찾을 수 없습니다
Update available,업데이트 가능
Update Customer,고객 업데이트
Update PIN,PIN 업데이트
Update Price List Rate,가격표 비율 업데이트
Updated,업데이트됨
Updates and app info that stay out of the cashier flow.,계산원 흐름에서 벗어나는 업데이트 및 앱 정보.
Updates automatically,자동으로 업데이트
Usage,사용법
Usage Stats,사용 통계
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,계산원 전환 및 단말기 잠금 해제에는 4~8자리 PIN을 사용하세요.
Use Cashier,계산원 이용
Use date range to search for older invoices,날짜 범위를 사용하여 이전 인보이스 검색
"Use one field for manual code entry, barcode scans, or QR scans.","수동 코드 입력, 바코드 스캔 또는 QR 스캔에 하나의 필드를 사용하십시오."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","POS를 떠나지 않고도 잔고 확인, 신규 발행, 충전을 하나의 워크플로에서 사용하세요."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","캐시된 필수 구성 요소 데이터에 새로 고침, 재구축 또는 진단 검토가 필요한 경우 이 섹션을 사용하세요."
Use Western numerals,서양 숫자를 사용하세요
Used:,사용:
Using basic camera settings due to device limitations,기기 제한으로 인해 기본 카메라 설정 사용
Using cached customer balance,캐시된 고객 잔액 사용
Valid until,유효기간
Variance %,차이 %
Variants,변형
Variant-wise,변형별
Verify closing amounts for each payment method,결제수단별 마감금액 확인
View all,모두 보기
View app information and current build details,앱 정보 및 현재 빌드 세부정보 보기
View Data Diagnostics,데이터 진단 보기
View Details,세부정보 보기
View invoice details,송장 세부정보 보기
View notifications,알림 보기
View offline invoices,오프라인 송장 보기
View restricted POS insights,제한된 POS 통계 보기
Void Amount,무효 금액
Void Count,보이드 카운트
Voids,보이드
Waiting for cart items,장바구니 항목을 기다리는 중
Waiting for payment...,결제를 기다리는 중...
Walk-in Customer,방문 고객
Warehouse,창고
Warning: High cache usage may affect performance.,경고: 캐시 사용량이 높으면 성능에 영향을 미칠 수 있습니다.
Warning: High lag may indicate heavy processing or browser slowness.,경고: 지연 시간이 길면 처리량이 많거나 브라우저 속도가 느려질 수 있습니다.
Week ?,주 ?
Week-wise,주별
Weight (g),무게(g)
Weight (grams),무게(그램)
We'll let you know if an invoice fails to submit,청구서를 제출하지 못한 경우 알려드리겠습니다.
Workflow,작업 흐름
Write off amount cannot exceed the POS profile maximum of {0},상각 금액은 POS 프로필 최대값인 {0}을(를) 초과할 수 없습니다.
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,상각 금액이 허용 한도({0})를 초과했습니다. 남은 금액을 추가 결제해주세요.
Yes,예
"Yes, Cancel sale","예, 판매를 취소합니다"
"Yes, Close","예, 닫습니다"
You are not allowed to print draft invoices,초안 송장을 인쇄할 수 없습니다.
You are offline. Add Payment will work again when the connection is restored.,귀하는 오프라인 상태입니다. 연결이 복원되면 결제 추가가 다시 작동됩니다.
You have no notifications right now,지금은 알림이 없습니다.
Your Cart,장바구니
