POS Awesome,POS અદ્ભુત
Offline snapshot does not match the current POS state.,ઑફલાઇન સ્નેપશોટ વર્તમાન POS સ્થિતિ સાથે મેળ ખાતો નથી.
Offline Status,ઑફલાઇન સ્થિતિ
"Offline, terminal, and system controls","ઑફલાઇન, ટર્મિનલ અને સિસ્ટમ નિયંત્રણો"
OK,ઓકે
Online,ઓનલાઈન
Open actions menu,ક્રિયાઓ મેનૂ ખોલો
Open balance to collect,એકત્રિત કરવા માટે બેલેન્સ ખોલો
Open Customer Display,ગ્રાહક પ્રદર્શન ખોલો
Open drawer,ડ્રોઅર ખોલો
Open invoices,ઇન્વૉઇસ ખોલો
Open Payments?,ચુકવણીઓ ખોલો?
Open POS home,POS હોમ ખોલો
Open this screen from POS Menu -> Open Customer Display.,આ સ્ક્રીનને POS મેનુ -> ઓપન કસ્ટમર ડિસ્પ્લેમાંથી ખોલો.
OpenCV image processing enabled - Enhanced barcode detection,OpenCV ઇમેજ પ્રોસેસિંગ સક્ષમ - ઉન્નત બારકોડ શોધ
OpenCV image processing unavailable on this device,આ ઉપકરણ પર OpenCV ઇમેજ પ્રોસેસિંગ અનુપલબ્ધ છે
OpenCV Off,OpenCV બંધ
OpenCV On,OpenCV ચાલુ
OpenCV processing disabled,OpenCV પ્રોસેસિંગ અક્ષમ છે
Opening Amount,ઓપનિંગ રકમ
Opening Cash,કેશ ઓપનિંગ
options,વિકલ્પો
Order,ઓર્ડર
Original,મૂળ
Other,અન્ય
Out,બહાર
Out of Stock,સ્ટોક આઉટ
Out of Stock Items,આઉટ ઓફ સ્ટોક વસ્તુઓ
Outstanding,બાકી
Outstanding Credit by Currency,ચલણ દ્વારા બાકી ક્રેડિટ
Overdue,મુદતવીતી
Overpayment Change,ઓવરપેમેન્ટ ફેરફાર
Overpayment change deducted: {0},વધુ પડતી ચુકવણીમાં ફેરફાર કપાત: {0}
Packing List,પેકિંગ યાદી
Page Format,પૃષ્ઠ ફોર્મેટ
Page unavailable offline,પૃષ્ઠ ઑફલાઇન ઉપલબ્ધ નથી
Paid,ચૂકવેલ
Paid (orig):,ચૂકવેલ (મૂળ):
Paid Amount,ચૂકવેલ રકમ
Paid change cannot be greater than total change!,ચૂકવેલ ફેરફાર કુલ ફેરફાર કરતા વધારે હોઈ શકતો નથી!
Paid:,ચૂકવેલ:
Parent Item,પિતૃ આઇટમ
Partial,આંશિક
Partly Paid,અંશતઃ ચૂકવેલ
Party Account,પાર્ટી એકાઉન્ટ
Party Type,પાર્ટીનો પ્રકાર
Pause terminal until next cashier,આગામી કેશિયર સુધી ટર્મિનલ થોભાવો
PAY,પે
Payment,ચુકવણી
Payment Account,ચુકવણી ખાતું
Payment entries processed for Invoice {0},ઇન્વૉઇસ {0} માટે ચુકવણી એન્ટ્રીની પ્રક્રિયા કરવામાં આવી
Payment Entry Type,ચુકવણી એન્ટ્રીનો પ્રકાર
Payment History,ચુકવણી ઇતિહાસ
Payment ID,ચુકવણી ID
Payment Method Report,ચુકવણી પદ્ધતિ રિપોર્ટ
Payment Methods,ચુકવણી પદ્ધતિઓ
Payment of {0} received successfully.,{0} ની ચુકવણી સફળતાપૂર્વક પ્રાપ્ત થઈ.
Payment Progress,ચુકવણીની પ્રગતિ
Payment Reconciliation,ચુકવણી સમાધાન
Payment request status could not be retrieved. Please try again,ચુકવણી વિનંતી સ્થિતિ પુનઃપ્રાપ્ત કરી શકાઈ નથી. કૃપા કરીને ફરી પ્રયાસ કરો
Payment Request took too long to respond. Please try requesting for payment again,ચુકવણીની વિનંતીનો જવાબ આપવામાં ઘણો સમય લાગ્યો. કૃપા કરીને ફરીથી ચુકવણી માટે વિનંતી કરવાનો પ્રયાસ કરો
Payment saved offline,ચુકવણી ઑફલાઇન સાચવી
Payment State,ચુકવણી સ્થિતિ
Payment Status,ચુકવણી સ્થિતિ
Payment submitted but print function could not be executed. Payment name not found.,ચુકવણી સબમિટ કરી પરંતુ પ્રિન્ટ ફંક્શન એક્ઝિક્યુટ કરી શકાયું નથી. ચુકવણીનું નામ મળ્યું નથી.
Payment submitted.,ચુકવણી સબમિટ.
Payment Summary,ચુકવણી સારાંશ
Payments,ચુકવણીઓ
Payments are not open. Do you want to open payments and submit?,ચુકવણીઓ ખુલ્લી નથી. શું તમે પેમેન્ટ ખોલીને સબમિટ કરવા માંગો છો?
Payments by Mode of Payment,ચુકવણી પદ્ધતિ દ્વારા ચૂકવણી
PDF,પીડીએફ
Peak Hour,પીક અવર
Peak Memory:,પીક મેમરી:
Peak Server:,પીક સર્વર:
Peak:,ટોચ:
Pending,બાકી છે
Pending Amount,બાકી રકમ
Pending count updated from {0} to {1},બાકી ગણતરી {0} થી {1} સુધી અપડેટ કરી
Pending Exposure,બાકી એક્સપોઝર
Pending Invoices,બાકી ઇન્વૉઇસેસ
Pending Ratio,બાકી રેશિયો
Pending Sales,બાકી વેચાણ
Pending sales: {0} | Cache usage: {1}%,બાકી વેચાણ: {0} | કેશ વપરાશ: {1}%
Pending Sync,બાકી સમન્વયન
Pending: {0},બાકી: {0}
Pending: {0} | Synced: {1} | Draft: {2},બાકી: {0} | સમન્વયિત: {1} | ડ્રાફ્ટ: {2}
Per Page,પૃષ્ઠ દીઠ
Personal,અંગત
Personal preferences adjust the current cashier experience without changing the active POS route.,વ્યક્તિગત પસંદગીઓ સક્રિય POS રૂટ બદલ્યા વિના વર્તમાન કેશિયર અનુભવને સમાયોજિત કરે છે.
PIN confirmation does not match.,PIN પુષ્ટિકરણ મેળ ખાતું નથી.
PIN must be 4 to 8 digits.,પિન 4 થી 8 અંકોનો હોવો જોઈએ.
Please add at least one item.,કૃપા કરીને ઓછામાં ઓછી એક આઇટમ ઉમેરો.
Please allow camera access to scan codes,કૃપા કરીને કૅમેરાને કોડ સ્કૅન કરવાની મંજૂરી આપો
Please enter payment amount,કૃપા કરીને ચુકવણીની રકમ દાખલ કરો
Please fill all required fields,કૃપા કરીને તમામ જરૂરી ફીલ્ડ ભરો
Please make a payment or select a payment,કૃપા કરીને ચુકવણી કરો અથવા ચુકવણી પસંદ કરો
Please request phone payment or use another payment method,કૃપા કરીને ફોન ચુકવણીની વિનંતી કરો અથવા અન્ય ચુકવણી પદ્ધતિનો ઉપયોગ કરો
Please select a customer first,કૃપા કરીને પહેલા ગ્રાહક પસંદ કરો
Please select a party,કૃપા કરીને પાર્ટી પસંદ કરો
Please select a party before reconciling.,કૃપા કરીને સમાધાન કરતા પહેલા પક્ષ પસંદ કરો.
Please select a valid movement type.,કૃપા કરીને માન્ય ચળવળ પ્રકાર પસંદ કરો.
Please select an invoice,કૃપા કરીને એક ઇન્વૉઇસ પસંદ કરો
Please select company before reconciling.,કૃપા કરીને સમાધાન કરતા પહેલા કંપની પસંદ કરો.
Please set the customer's mobile number,કૃપા કરીને ગ્રાહકનો મોબાઈલ નંબર સેટ કરો
Please try again or enter the item manually.,કૃપા કરીને ફરી પ્રયાસ કરો અથવા મેન્યુઅલી આઇટમ દાખલ કરો.
Please verify the barcode or check the item's availability.,કૃપા કરીને બારકોડ ચકાસો અથવા આઇટમની ઉપલબ્ધતા તપાસો.
Points,પોઈન્ટ
Popup blocked. Please allow popups.,પોપઅપ અવરોધિત. કૃપા કરીને પૉપઅપ્સને મંજૂરી આપો.
POS,પી.ઓ.એસ
POS controls and maintenance,POS નિયંત્રણો અને જાળવણી
POS Expense is disabled for this POS Profile.,આ POS પ્રોફાઇલ માટે POS ખર્ચ અક્ષમ છે.
POS is running with limited offline prerequisites.,POS મર્યાદિત ઑફલાઇન પૂર્વજરૂરીયાતો સાથે ચાલી રહ્યું છે.
POS Profile,POS પ્રોફાઇલ
Position the QR code or barcode within the scanning area,સ્કેનીંગ એરિયામાં QR કોડ અથવા બારકોડ મૂકો
Posting,પોસ્ટિંગ
Posting and Price List,પોસ્ટિંગ અને ભાવ યાદી
Posting Date,પોસ્ટિંગ તારીખ
Preparing background sync,પૃષ્ઠભૂમિ સમન્વયન તૈયાર કરી રહ્યું છે
"Press OK to continue offline with a warning, or Cancel to retry.",ચેતવણી સાથે ઑફલાઇન ચાલુ રાખવા માટે ઓકે દબાવો અથવા ફરી પ્રયાસ કરવા માટે રદ કરો.
Previous unit of measure,માપનું પાછલું એકમ
Price List,ભાવ યાદી
Price List Rate,ભાવ યાદી દર
Price list rate updated locally only,ભાવ સૂચિ દર માત્ર સ્થાનિક રીતે અપડેટ કરવામાં આવે છે
Pricing & Discounts,કિંમત અને ડિસ્કાઉન્ટ
Pricing Rule,પ્રાઇસીંગ નિયમ
Print,છાપો
Print Draft,મુસદ્દો છાપો
Print Format (Invoice),પ્રિન્ટ ફોર્મેટ (ઇનવોઇસ)
Print Format (Order),પ્રિન્ટ ફોર્મેટ (ઓર્ડર)
Print invoice,ઇન્વોઇસ છાપો
Print Purchase Invoice instead of PO,PO ને બદલે પરચેઝ ઇન્વોઇસ પ્રિન્ટ કરો
Printer,પ્રિન્ટર
Processed returns impacting the shift totals,શિફ્ટ ટોટલને અસર કરતા પ્રોસેસ્ડ રિટર્ન
Processing Payment,પ્રક્રિયા ચુકવણી
Processing payment entries for Invoice {0},ઇન્વૉઇસ {0} માટે ચુકવણી એન્ટ્રીની પ્રક્રિયા કરી રહ્યાં છીએ
Profile,પ્રોફાઇલ
Profiles,પ્રોફાઇલ્સ
Profit,નફો
Profit: Invoice Item Estimate,નફો: ભરતિયું આઇટમ અંદાજ
Profit: Stock Ledger (COGS),નફો: સ્ટોક લેજર (COGS)
Profitability Report,નફાકારકતા અહેવાલ
Prorated return discount,પ્રમાણિત વળતર ડિસ્કાઉન્ટ
Purchase Amount,ખરીદીની રકમ
Purchase Invoices,ઇન્વૉઇસેસ ખરીદો
Purchase Order created,ખરીદ ઓર્ડર બનાવ્યો
Qty,જથ્થો
Qualified,લાયકાત ધરાવે છે
Quantity,જથ્થો
Quantity exceeds available stock,જથ્થો ઉપલબ્ધ સ્ટોક કરતાં વધી ગયો છે
Quick Actions,ઝડપી ક્રિયાઓ
Quotation {0} is Submitted,અવતરણ {0} સબમિટ કરવામાં આવ્યું છે
Quotation submitted,અવતરણ સબમિટ કર્યું
QZ Tray connected.,QZ ટ્રે જોડાયેલ છે.
QZ Tray is manually disconnected. Press Connect to enable it again.,QZ ટ્રે મેન્યુઅલી ડિસ્કનેક્ટ થયેલ છે. તેને ફરીથી સક્ષમ કરવા માટે કનેક્ટ દબાવો.
QZ Tray is not connected.,QZ ટ્રે જોડાયેલ નથી.
QZ Tray Setup,QZ ટ્રે સેટઅપ
Rate,દર
Rate adjusted to maximum allowed discount,મહત્તમ મંજૂર ડિસ્કાઉન્ટ માટે દર સમાયોજિત
Ready,તૈયાર છે
Ready to resume,ફરી શરૂ કરવા માટે તૈયાર
Ready!,તૈયાર!
Real-time POS insights for retail operations.,રિટેલ કામગીરી માટે રીઅલ-ટાઇમ POS આંતરદૃષ્ટિ.
Rebuild Offline Data,ઑફલાઇન ડેટા ફરીથી બનાવો
Receive,પ્રાપ્ત કરો
Receive now,હવે પ્રાપ્ત કરો
Received,પ્રાપ્ત
Received:,પ્રાપ્ત:
Recent Movement Entries,તાજેતરની ચળવળની એન્ટ્રીઓ
Recent updates about your invoices,તમારા ઇન્વૉઇસેસ વિશે તાજેતરના અપડેટ્સ
Recently Active Customers,તાજેતરમાં સક્રિય ગ્રાહકો
Rechecking connection,કનેક્શન ફરીથી તપાસી રહ્યું છે
Reconcile payment methods and close shift,ચુકવણી પદ્ધતિઓ અને બંધ પાળીનું સમાધાન કરો
Reconciling Payments,ચુકવણીઓનું સમાધાન
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","આ પેજને એકવાર ફરીથી કનેક્ટ કરો અને ઓનલાઈન હોવ ત્યારે ખોલો, પછી ઓફલાઈન રિફ્રેશ તેને પુનઃસ્થાપિત કરવામાં સમર્થ હશે."
Reconnect online to refresh cached offline data from the server.,સર્વરમાંથી કેશ્ડ ઑફલાઇન ડેટા રિફ્રેશ કરવા માટે ઑનલાઇન ફરીથી કનેક્ટ કરો.
Recreate local offline prerequisites from scratch,શરૂઆતથી સ્થાનિક ઑફલાઇન પૂર્વજરૂરીયાતો ફરીથી બનાવો
Recv:,Recv:
Redeem,રિડીમ કરો
Redeem / Scan,રીડીમ / સ્કેન કરો
Redeem Amount,રિડીમ રકમ
Redeem Mode,રિડીમ મોડ
Redeemed Amount,રિડીમ કરેલ રકમ
Redeemed credit cannot be greater than its total.,રિડીમ કરેલ ક્રેડિટ તેના કુલ કરતા વધારે હોઈ શકતી નથી.
Redemption and Totals,વિમોચન અને કુલ
Reference,સંદર્ભ
Refresh,તાજું કરો
Refresh Exchange Rate,વિનિમય દર તાજું કરો
Refresh Offline Data,ઑફલાઇન ડેટા રિફ્રેશ કરો
Refresh Printers,પ્રિન્ટર્સ રિફ્રેશ કરો
Refund,રિફંડ
Release Notes,પ્રકાશન નોંધો
Reload,ફરીથી લોડ કરો
Reload customers,ગ્રાહકોને ફરીથી લોડ કરો
Reload Items,આઇટમ્સ ફરીથી લોડ કરો
Reload Now,હવે ફરીથી લોડ કરો
Reload to apply the latest changes. Your current session will be refreshed.,નવીનતમ ફેરફારો લાગુ કરવા માટે ફરીથી લોડ કરો. તમારું વર્તમાન સત્ર તાજું કરવામાં આવશે.
Reload Workflow,વર્કફ્લો ફરીથી લોડ કરો
Remarks,ટીકા
Remarks are required.,ટિપ્પણીઓ જરૂરી છે.
Remove,દૂર કરો
Remove barcode item,બારકોડ આઇટમ દૂર કરો
Remove cached data and reload the POS app,કેશ્ડ ડેટા દૂર કરો અને POS એપ ફરીથી લોડ કરો
Remove item,આઇટમ દૂર કરો
Remove Offer,ઑફર દૂર કરો
Reorder / Purchase Suggestions,પુનઃક્રમાંકિત / ખરીદી સૂચનો
Repair Candidate,સમારકામ ઉમેદવાર
Repair Change Allocation,સમારકામ બદલો ફાળવણી
Repair requires an online connection,સમારકામ માટે ઑનલાઇન કનેક્શનની જરૂર છે
Repaired,સમારકામ
Repairing change allocation,ફેરફારની ફાળવણીનું સમારકામ
Repeat Customers,ગ્રાહકોને પુનરાવર્તિત કરો
Repeat Rate,પુનરાવર્તન દર
Request,વિનંતી
Request ID: {0},વિનંતી ID: {0}
Request Payment,ચુકવણીની વિનંતી કરો
Requested route: {0},વિનંતી કરેલ માર્ગ: {0}
Required columns cannot be hidden,જરૂરી કૉલમ છુપાવી શકાતી નથી
Reset,રીસેટ કરો
Reset item name,આઇટમનું નામ રીસેટ કરો
Reset to Default,ડિફૉલ્ટ પર ફરીથી સેટ કરો
Resource Health,સંસાધન આરોગ્ય
Restricted,પ્રતિબંધિત
Restricted operational controls for supervisors only.,માત્ર સુપરવાઈઝર માટે પ્રતિબંધિત ઓપરેશનલ કંટ્રોલ.
Retry,ફરી પ્રયાસ કરો
Retry route,માર્ગ ફરી પ્રયાસ કરો
Return,પરત
Return Amount,વળતરની રકમ
Return Count,રીટર્ન કાઉન્ટ
Return items must have negative quantities,રીટર્ન વસ્તુઓમાં નકારાત્મક માત્રા હોવી આવશ્યક છે
Return total must be negative,કુલ વળતર નકારાત્મક હોવું જોઈએ
Return Valid Until,સુધી માન્ય પરત કરો
Return window passed,રીટર્ન વિન્ડો પસાર થઈ
Return without Invoice,ઇન્વોઇસ વિના પરત કરો
Returns,પરત કરે છે
Returns / Voids / Discounts,વળતર / રદબાતલ / ડિસ્કાઉન્ટ
Returns by Currency,ચલણ દ્વારા વળતર
Revenue,આવક
Review shift totals before submitting the closing entry,ક્લોઝિંગ એન્ટ્રી સબમિટ કરતા પહેલા શિફ્ટ ટોટલની સમીક્ષા કરો
Round Off,રાઉન્ડ ઓફ
Rows,પંક્તિઓ
Rows:,પંક્તિઓ:
Rule,નિયમ
Sale,વેચાણ
Sales,વેચાણ
Sales Order {0} is Submitted,વેચાણ ઓર્ડર {0} સબમિટ કરવામાં આવ્યો છે
Sales Person and Print,વેચાણ વ્યક્તિ અને પ્રિન્ટ
Sales Person not found,વેચાણ વ્યક્તિ મળી નથી
Sales processed,વેચાણ પ્રક્રિયા
Sales Return,વેચાણ વળતર
Sales Trend Report,વેચાણ વલણ અહેવાલ
Save,સાચવો
Save & Clear,સાચવો અને સાફ કરો
Save as POS Profile Default,POS પ્રોફાઇલ ડિફોલ્ટ તરીકે સાચવો
Save Settings,સેટિંગ્સ સાચવો
Save the selected printer as the POS Profile default so it shows automatically on this setup.,પસંદ કરેલ પ્રિન્ટરને POS પ્રોફાઇલ ડિફોલ્ટ તરીકે સાચવો જેથી તે આ સેટઅપ પર આપમેળે દેખાય.
Saved as draft because: {0},ડ્રાફ્ટ તરીકે સાચવેલ કારણ કે: {0}
Saving...,સાચવી રહ્યું છે...
Scale barcode detected. Quantity here is the number of labels to print.,સ્કેલનો બારકોડ મળ્યો. અહીં જથ્થો છાપવા માટેના લેબલોની સંખ્યા છે.
Scale barcode settings are not configured. Using item barcode only.,સ્કેલ બારકોડ સેટિંગ્સ ગોઠવેલ નથી. ફક્ત આઇટમ બારકોડનો ઉપયોગ કરવો.
Scale template barcode is missing for this item/UOM. Using item barcode only.,આ આઇટમ/UOM માટે સ્કેલ ટેમ્પલેટ બારકોડ ખૂટે છે. ફક્ત આઇટમ બારકોડનો ઉપયોગ કરવો.
Scan an existing card and top it up without leaving the payment flow.,હાલના કાર્ડને સ્કેન કરો અને પેમેન્ટ ફ્લો છોડ્યા વિના તેને ટોપ અપ કરો.
Scan Error,સ્કેન ભૂલ
Scan or enter a gift card code to check balance or redeem.,બેલેન્સ તપાસવા અથવા રિડીમ કરવા માટે ગિફ્ટ કાર્ડ કોડ સ્કેન કરો અથવા દાખલ કરો.
Scan or paste the card code below.,નીચે આપેલ કાર્ડ કોડ સ્કેન અથવા પેસ્ટ કરો.
Scan QR Code/Barcode,QR કોડ/બારકોડ સ્કેન કરો
Scan with camera,કેમેરા વડે સ્કેન કરો
Scan-First Flow,સ્કેન-પ્રથમ પ્રવાહ
Scanned Code:,સ્કેન કરેલ કોડ:
Scanning for: {0},આ માટે સ્કેન કરી રહ્યું છે: {0}
Scanning items,સ્કેનિંગ વસ્તુઓ
Scan-Ready,સ્કેન-તૈયાર
Scope,અવકાશ
Scope: All Profiles,અવકાશ: બધી પ્રોફાઇલ્સ
Scope: Current Profile,અવકાશ: વર્તમાન પ્રોફાઇલ
Scope: Specific Profile,અવકાશ: ચોક્કસ પ્રોફાઇલ
Search,શોધો
Search Account,એકાઉન્ટ શોધો
Search an invoice and continue the return flow without extra steps.,ઇન્વોઇસ શોધો અને વધારાના પગલાં વિના વળતરનો પ્રવાહ ચાલુ રાખો.
Search customer,ગ્રાહક શોધો
Search invoices or customers,ઇન્વૉઇસ અથવા ગ્રાહકો શોધો
Search item,આઇટમ શોધો
Search item / code,આઇટમ / કોડ શોધો
Search items or barcode,વસ્તુઓ અથવા બારકોડ શોધો
Search Mpesa Payments,Mpesa ચુકવણીઓ શોધો
Search return invoices or customers,રિટર્ન ઇનવોઇસ અથવા ગ્રાહકો શોધો
Search supplier,સપ્લાયર શોધો
Search unpaid invoices or customers,અવેતન ઇન્વૉઇસ અથવા ગ્રાહકો શોધો
Secure context (HTTPS or localhost) is required for camera access.,કેમેરા એક્સેસ માટે સુરક્ષિત સંદર્ભ (HTTPS અથવા લોકલહોસ્ટ) જરૂરી છે.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,કૅમેરા ઍક્સેસ માટે સુરક્ષિત સંદર્ભ (HTTPS) જરૂરી છે. કૅમેરાને ઍક્સેસ કરવા માટે કૃપા કરીને HTTPS નો ઉપયોગ કરો.
Select,પસંદ કરો
Select a cashier first.,પહેલા કેશિયર પસંદ કરો.
Select a customer,ગ્રાહક પસંદ કરો
Select a customer to use coupon,કૂપનનો ઉપયોગ કરવા માટે ગ્રાહક પસંદ કરો
Select a printer to use QZ silent printing.,QZ સાયલન્ટ પ્રિન્ટિંગનો ઉપયોગ કરવા માટે પ્રિન્ટર પસંદ કરો.
Select Batch,બેચ પસંદ કરો
Select Columns to Display,પ્રદર્શિત કરવા માટે કૉલમ પસંદ કરો
Select items to sell,વેચવા માટે વસ્તુઓ પસંદ કરો
Select Payment,ચુકવણી પસંદ કરો
Select Payment Account,ચુકવણી ખાતું પસંદ કરો
Select printer,પ્રિન્ટર પસંદ કરો
Select Return Invoice,રિટર્ન ઇનવોઇસ પસંદ કરો
Select S.O,S.O પસંદ કરો
Select Sales Orders,સેલ્સ ઓર્ડર્સ પસંદ કરો
Select the cashier who is taking over this terminal.,આ ટર્મિનલ સંભાળનાર કેશિયરને પસંદ કરો.
Selected,પસંદ કરેલ
Selected movement type is not allowed by POS Profile.,POS પ્રોફાઇલ દ્વારા પસંદ કરેલ હિલચાલના પ્રકારને મંજૂરી નથી.
Selected Payments,પસંદ કરેલ ચુકવણીઓ
Sensitive actions kept away from quick taps.,સંવેદનશીલ ક્રિયાઓને ઝડપી નળથી દૂર રાખવામાં આવે છે.
Serial,સીરીયલ
Serial Numbers,સીરીયલ નંબર્સ
Server CPU Usage:,સર્વર CPU વપરાશ:
Server Health,સર્વર આરોગ્ય
Server Memory Usage:,સર્વર મેમરી વપરાશ:
Server Metrics,સર્વર મેટ્રિક્સ
Server Uptime:,સર્વર અપટાઇમ:
Service Charges,સર્વિસ ચાર્જીસ
Session,સત્ર
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,દરેક કેશિયર પિનને યુઝર ફોર્મમાં સેટ કરો અને ટર્મિનલ મેમ્બર્સને POS પ્રોફાઇલ યુઝરમાં સોંપેલ રાખો.
Settings,સેટિંગ્સ
Settings in this section update the POS workspace without changing the current route.,આ વિભાગમાં સેટિંગ્સ વર્તમાન રૂટ બદલ્યા વિના POS વર્કસ્પેસ અપડેટ કરે છે.
Setup complete!,સેટઅપ પૂર્ણ થયું!
Share,શેર કરો
Shared terminal,વહેંચાયેલ ટર્મિનલ
Shift Closed Snapshot,શિફ્ટ બંધ સ્નેપશોટ
Shift Overview,શિફ્ટ વિહંગાવલોકન
Show,બતાવો
Show cart on customer-facing screen,ગ્રાહક તરફની સ્ક્રીન પર કાર્ટ બતાવો
Show last invoice rate,છેલ્લો ઇન્વૉઇસ દર બતાવો
Show rate info,દર માહિતી બતાવો
Show Repair Candidates,સમારકામના ઉમેદવારો બતાવો
Show search tools,શોધ સાધનો બતાવો
Show the active cart on a customer-facing screen,સક્રિય કાર્ટ ગ્રાહક-સામનો સ્ક્રીન પર બતાવો
Showing {0}-{1} of {2},{2} માંથી {0}-{1} બતાવી રહ્યું છે
Showing 0 of 0,0 માંથી 0 બતાવી રહ્યું છે
Shows the distribution of invoices per currency,ચલણ દીઠ ઇન્વૉઇસનું વિતરણ બતાવે છે
Sign out of the current POS session,વર્તમાન POS સત્રમાંથી સાઇન આઉટ કરો
Size:,કદ:
Skipped Payments,ચૂકવણીઓ છોડી દીધી
Skipping items without barcodes,બારકોડ વિના વસ્તુઓ છોડવી
Slow Moving,ધીમી ગતિ
Slow Moving Items,ધીમી મૂવિંગ વસ્તુઓ
Slow Queries:,ધીમી ક્વેરીઝ:
Sold,વેચાય છે
Source,સ્ત્રોત
Source Cash Account (Optional Override),સોર્સ કેશ એકાઉન્ટ (વૈકલ્પિક ઓવરરાઇડ)
Source Ex. Rate:,સ્ત્રોત Ex. દર:
Source Rate:,સ્ત્રોત દર:
Specific Profile,ચોક્કસ પ્રોફાઇલ
Split Invoices,સ્પ્લિટ ઇન્વૉઇસેસ
Staff / Cashier Performance Report,સ્ટાફ / કેશિયર કામગીરી અહેવાલ
Status,સ્થિતિ
Stock,સ્ટોક
Stock Information,સ્ટોક માહિતી
Stock is lower than requested,સ્ટોક વિનંતી કરતા ઓછો છે
Stock is lower than requested:\n{0},સ્ટોક વિનંતી કરતા ઓછો છે:\n{0}
Stock Movement Report,સ્ટોક મૂવમેન્ટ રિપોર્ટ
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,સ્ટોક અપડેટ: {0} પાસે {1} ઉપલબ્ધ છે. {2} ઉમેરવાથી સ્ટોક શૂન્યથી નીચે આવશે.
Submit,સબમિટ કરો
Submit & Print,સબમિટ કરો અને પ્રિન્ટ કરો
Submit Deposit,ડિપોઝિટ સબમિટ કરો
Submit Expense,ખર્ચ સબમિટ કરો
Submitted,સબમિટ કર્યું
Submitted Cash Movements,સબમિટ કરેલ રોકડ હિલચાલ
Submitted entries,સબમિટ કરેલી એન્ટ્રીઓ
Successfully scanned:,સફળતાપૂર્વક સ્કેન કર્યું:
Suggested,સૂચવ્યું
Suggested Qty,સૂચિત જથ્થો
Supervisor Access,સુપરવાઇઝર એક્સેસ
Supervisor permissions unlock issuance and reloads,સુપરવાઇઝર પરવાનગીઓ અનલૉક ઇશ્યુ અને ફરીથી લોડ કરે છે
Supervisor Tools,સુપરવાઇઝર સાધનો
Supplier,સપ્લાયર
Supplier and dates are required.,સપ્લાયર અને તારીખો જરૂરી છે.
Supplier Invoices,સપ્લાયર ઇન્વૉઇસેસ
Supplier is required.,સપ્લાયર જરૂરી છે.
Supplier name is required,સપ્લાયરનું નામ જરૂરી છે
Supplier Payments,સપ્લાયર ચૂકવણી
Supplier Purchase Summary,સપ્લાયર ખરીદી સારાંશ
Suppliers,સપ્લાયર્સ
Suppliers not found,સપ્લાયર્સ મળ્યા નથી
Switch Camera,કેમેરા સ્વિચ કરો
Switch Cashier,કેશિયર સ્વિચ કરો
Switch the POS appearance theme,POS દેખાવ થીમ સ્વિચ કરો
Switched to:,આના પર સ્વિચ કર્યું:
Sync All Invoices,બધા ઇન્વૉઇસેસ સમન્વયિત કરો
Sync Offline Cash Movements ({0}),ઑફલાઇન રોકડ હિલચાલને સમન્વયિત કરો ({0})
Sync Offline Sales,ઑફલાઇન વેચાણને સમન્વયિત કરો
Synced {0} offline cash movement(s).,સમન્વયિત {0} ઑફલાઇન રોકડ હિલચાલ(ઓ).
Syncing items in background,પૃષ્ઠભૂમિમાં આઇટમ્સ સમન્વયિત કરી રહ્યાં છે
System / Diagnostics,સિસ્ટમ / ડાયગ્નોસ્ટિક્સ
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","સિસ્ટમ ક્રિયાઓ ઓછી-આવર્તન જાળવણી નિયંત્રણો છે જેમ કે એપ્લિકેશન માહિતી, સપોર્ટ ડાયગ્નોસ્ટિક્સ અને સત્ર નિયંત્રણો."
System Information,સિસ્ટમ માહિતી
System Status,સિસ્ટમ સ્થિતિ
Tables:,કોષ્ટકો:
Tap the button below to redeem a gift card during checkout.,ચેકઆઉટ દરમિયાન ભેટ કાર્ડ રિડીમ કરવા માટે નીચેના બટનને ટેપ કરો.
Target,લક્ષ્ય
Target Ex. Rate:,લક્ષ્ય Ex. દર:
Target Rate:,લક્ષ્ય દર:
Tax,કર
Tax / Charges Report,કર / શુલ્ક અહેવાલ
Tax Heads,ટેક્સ હેડ
Taxable Amount,કરપાત્ર રકમ
Tendered,ટેન્ડર કર્યું
Terminal,ટર્મિનલ
Terminal & Devices,ટર્મિનલ અને ઉપકરણો
Terminal locked,ટર્મિનલ લૉક
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","ટર્મિનલ ટૂલ્સ આ ચેકઆઉટ સ્ટેશન, ગ્રાહક-સામનો ડિસ્પ્લે અને ભાવિ પ્રિન્ટર/ઉપકરણ નિયંત્રણોને અસર કરે છે."
Territory not found,પ્રદેશ મળ્યો નથી
The amount paid is not complete,ચૂકવેલ રકમ પૂર્ણ નથી
The app stores data locally for offline use. This is called cache.,ઑફલાઇન ઉપયોગ માટે એપ સ્થાનિક રીતે ડેટા સ્ટોર કરે છે. આને કેશ કહેવામાં આવે છે.
