Type,Tipo
Camera access aborted.,Acceso a cámara abortado.
Camera access is required to scan barcodes.,Se requiere acceso a la cámara para escanear códigos de barras.
Camera permission denied. Please allow camera access in your browser settings.,Permiso de cámara denegado. Por favor permita el acceso a la cámara en la configuración del navegador.
Cannot Save Offline Invoice,No se puede guardar factura offline
Cannot Save Offline Invoice:,No se puede guardar factura offline:
Cannot Save Offline Payment,No se puede guardar pago offline
Cannot Save Offline Payment:,No se puede guardar pago offline:
Cash Mode of Payment,Modo de Pago en Efectivo
Cashier,Cajero
Client CPU Lag,Retraso de CPU del Cliente
Client Memory Usage,Uso de Memoria del Cliente
Closed,Cerrado
Closing,Cierre
Connected to Server,Conectado al Servidor
Connections,Conexiones
Cost Center is required,Se requiere Centro de Costos
Create Only Sales Order,Crear Solo Pedidos de Venta
Credit Change,Cambio de Crédito
Current Event Loop Lag,Retraso Actual del Bucle de Eventos
Customer ID,ID de Cliente
Decrease,Disminuir
Default Loyalty Program,Programa de Lealtad Predeterminado
Delivery Date,Fecha de Entrega
Details,Detalles
Detecting formats,Detectando formatos
Device Memory,Memoria del Dispositivo
Disable,Desactivar
Discount Type,Tipo de Descuento
Email Id,ID de Correo
Error accessing camera,Error al acceder a la cámara
Error adding offer to items,Error al agregar oferta a artículos
Error deleting offer from items,Error al eliminar oferta de artículos
Error loading currencies,Error al cargar monedas
Error removing price offer,Error al eliminar oferta de precio
Error submitting invoice,Error al enviar factura
Error submitting invoice No response from server,Error al enviar factura Sin respuesta del servidor
Error submitting invoice:,Error al enviar factura:
Error toggling item details,Error al alternar detalles del artículo
Failed to load items. Please try again.,Error al cargar artículos. Por favor intente de nuevo.
Fixing payment amounts for return invoice,Corregir montos de pago para factura de devolución
For POS Closing Shift Payment Reconciliation,Para Conciliación de Pagos al Cerrar Turno POS
Gender,Género
Give Item Row ID,ID de Fila del Artículo a Dar
Give Product,Producto a Dar
Given Quantity,Cantidad Dada
Go Online/Offline,Conectar/Desconectar
Hide Close Shift,Ocultar Cierre de Turno
Hide Unavailable Items,Ocultar Artículos No Disponibles
Hide Variants Items,Ocultar Variantes de Artículos
Increase,Aumentar
Invalid closing amount,Monto de cierre inválido
Is Offer,Es Oferta
Is Offer Replace For item Row ID,Es Oferta Reemplazo para ID de Fila de Artículo
It is best not to use more than four numbers,Es mejor no usar más de cuatro números
Item Price,Precio del Artículo
Item Rate Should Less Then,La Tarifa del Artículo Debe Ser Menor Que
Item price updated,Precio del artículo actualizado
LOAD SALE,CARGAR VENTA
Light/Dark Mode,Modo Claro/Oscuro
Linked Invoices,Facturas Vinculadas
List Rate,Lista de Tarifas
Loading,Cargando
Loading cache,Cargando caché
Loading database stats,Cargando estadísticas de base de datos
Loading server CPU/memory usage,Cargando uso de CPU/memoria del servidor
Loyalty Point,Punto de Lealtad
Loyalty Point Scheme,Programa de Puntos de Lealtad
MB,MEGABYTE
Manage your offline transactions,Administrar transacciones offline
Max Amount,Monto Máximo
Max Discount Percentage Allowed,Porcentaje Máximo de Descuento Permitido
Max Quantity,Cantidad Máxima
Min Amount,Monto Mínimo
Min Quantity,Cantidad Mínima
Modes of Payment,Modos de Pago
Multiple Items Found,Múltiples Artículos Encontrados
New Price List Rate,Nueva Tarifa de Lista de Precios
No Item has this barcode,Ningún artículo tiene este código de barras
No camera found on this device.,No se encontró cámara en este dispositivo.
Offer Name,Nombre de la Oferta
Open,Abierto
Opening Balance Details,Detalles de Saldo de Apertura
POS Awesome Advance Settings,Configuración Avanzada de POS Awesome
POS Awesome Settings,Configuración de POS Awesome
POS Closing Shift,Cierre de Turno POS
POS Closing Shift Detail,Detalle de Cierre de Turno POS
POS Closing Shift Taxes,Impuestos de Cierre de Turno POS
POS Closing Shift {} against {} between selected period,Cierre de Turno POS {} contra {} entre el período seleccionado
POS Offer,Oferta POS
POS Offer Detail,Detalle de Oferta POS
POS Offers Detail,Detalle de Ofertas POS
POS Opening Shift,Apertura de Turno POS
POS Opening Shift Detail,Detalle de Apertura de Turno POS
POS Profile {} does not belongs to company {},El Perfil POS {} no pertenece a la empresa {}
POS Shift,Turno POS
POS Transactions,Transacciones POS
Paid Change,Cambio Pagado
Payment Request took too long to respond. Please try requesting for payment again,La solicitud de pago tardó demasiado en responder. Por favor intente de nuevo.
Payment name not found. Cannot open print view.,Nombre de pago no encontrado. No se puede abrir vista de impresión.
Payment request failed,Solicitud de pago fallida
Payment submitted but print function could not be executed. Payment name not found.,Pago enviado pero función de impresión no pudo ejecutarse. Nombre de pago no encontrado.
Peak,Máximo
Peak Memory,Máximo de Memoria
Peak Server,Máximo de Servidor
Period End Date,Fecha de Fin de Período
Period Start Date,Fecha de Inicio de Período
Please configure a POS Profile first,Por favor configure un Perfil POS primero
Please request phone payment or use another payment method,Por favor solicite pago por teléfono o use otro método de pago
Please set the customer's mobile number,Por favor establezca el número de móvil del cliente
Price,Precio
Price Discount Scheme,Esquema de Descuento de Precio
Printed,Impreso
Product Discount Scheme,Esquema de Descuento de Producto
Promo Type,Tipo de Promoción
Qualifying Transaction / Item,Transacción / Artículo Calificador
Quantity and Amount Conditions,Condiciones de Cantidad y Monto
Quick Actions,Acciones Rápidas
Referral Code,Código de Referencia
Replace Cheapest Item,Reemplazar Artículo Más Barato
Replace Same Item,Reemplazar Mismo Artículo
Rounded Total,Total Redondeado
Row ID,ID de Fila
STOCK UOM,UdM de Stock
Sales Invoice,Factura de Venta
Sales Invoice Reference,Referencia de Factura de Venta
Sales Manager,Gerente de Ventas
Sales Master Manager,Gerente Maestro de Ventas
Sales User,Usuario de Ventas
Scale Barcode Start With,Código de Barras de Balanza Comienza Con
Search by Serial Number,Buscar por Número Serial
Secure context (HTTPS) required for camera access.,Se requiere contexto seguro (HTTPS) para acceso a cámara.
Send invoice to submit after printing,Enviar factura para enviar después de imprimir
Server CPU Usage,Uso de CPU del Servidor
Server Memory Usage,Uso de Memoria del Servidor
Server Uptime,Tiempo de Actividad del Servidor
Set Posting Date,Establecer Fecha de Publicación
Show Template Items,Mostrar Artículos de Plantilla
Size,Tamaño
Slow Queries,Consultas Lentas
Successfully scanned,Escaneado exitosamente
Switched to,Cambiado a
Switched to:,Cambiado a:
Sync All,Sincronizar Todo
Synced,Sincronizado
System Manager,Gerente del Sistema
Tables,Tablas
Taking longer than expected...,Tomando más tiempo de lo esperado...
Tax ID,ID de Impuesto
Title,Título
To Sync,Para Sincronizar
Total Mpesa,Mpesa total
Total Outstanding,Total Pendiente
Total Payments,Total Pagos
Total Selected,Total Seleccionado
Total Unallocated,Total Sin Asignar
Track recent sales,Rastrear ventas recientes
Transaction,Transacción
Update,Actualizar
Use Browser Local Storage,Usar Almacenamiento Local del Navegador
Use Cashback,Usar Efectivo de Vuelta
Used,Usado
User {} has been disabled. Please select valid user/cashier,El usuario {} ha sido deshabilitado. Por favor seleccione usuario/cajero válido
Valid From,Válido Desde
Valid Upto,Válido Hasta
Waiting for payment,Esperando pago
Warning High cache usage may affect performance.,Advertencia: Uso alto de caché puede afectar el rendimiento.
Warning High lag may indicate heavy processing or browser slowness.,Advertencia: Alto retraso puede indicar procesamiento pesado o lentitud del navegador.
his item,este artículo
ms,EM
Max Discount Percentage Allowed,Porcentaje Máximo de Descuento Permitido
Price Discount Scheme,Esquema de Descuento de Precio
Sorry,Lo siento
Tip Clear cache regularly to free up space and keep the app fast.,Consejo: Limpie la caché regularmente para liberar espacio y mantener la aplicación rápida.
Tip Close unused tabs or apps to reduce lag.,Consejo: Cierre pestañas o aplicaciónes no utilizadas para reducir el retraso.
Tip Monitor slow queries and table size for optimal performance.,Consejo: Monitoree consultas lentas y tamaño de tablas para un rendimiento óptimo.
Total Selected,Total Seleccionado
{0} (Qty: {1}),{0} (Cantidad: {1})
{0} actions,{0} acciones
{0} offline invoice{1} pending,{0} factura fuera de línea{1} pendiente
{0} offline invoice{1} saved as draft,{0} factura sin conexión{1} guardada como borrador
{0} offline invoice{1} synced,{0} factura sin conexión{1} sincronizada
{0}: {1} {2},{0}: {1} {2}
{0}d ago,Hace {0} días
{0}h ago,Hace {0}h
{0}m ago,Hace {0}m
A POS supervisor is required for this action.,Se requiere un supervisor de POS para esta acción.
Access,Acceso
Account is overdrawn,La cuenta está sobregirada
Acknowledge the error to resume scanning.,Reconozca el error para reanudar el escaneo.
Active sale,Venta activa
Add items from the selector to start building this sale.,Agregue artículos del selector para comenzar a construir esta venta.
Add more value to an existing gift card,Agregue más valor a una tarjeta de regalo existente
Add new customer,Agregar nuevo cliente
Add payment to invoice,Agregar pago a la factura
Additional Discount %,% de descuento adicional
Adjust the quantity or enable negative stock to continue.,Ajustar la cantidad o permitir que continúe el stock negativo.
Allowed UOM is {0},La UOM permitida es {0}
Appearance and user-level preferences for the current session.,Preferencias de apariencia y nivel de usuario para la sesión actual.
Apply Gift Card,Aplicar tarjeta de regalo
Apply only the amount you want to redeem on this invoice. The remaining balance stays on the card.,Aplica solo el monto que deseas canjear en esta factura. El saldo restante permanece en la tarjeta.
Apply Redemption,Aplicar canje
Applying,Aplicando
Auto Allocate Payment Amount,Asignar automáticamente el importe del pago
Auto reconciliation completed after payment submit.,La conciliación automática se completa después de enviar el pago.
Auto reconciliation completed. Allocated: {0}{1}. Remaining outstanding: {0}{2}.,Conciliación automática completada. Asignado: {0}{1}. Pendientes pendientes: {0}{2}.
Available Actions,Acciones disponibles
Awesome Dashboard is disabled for the selected POS Profile.,Awesome Dashboard está deshabilitado para el perfil de POS seleccionado.
Awesome Dashboard is unavailable for the selected scope.,Awesome Dashboard no está disponible para el alcance seleccionado.
Awesome Dashboard is visible only to POS supervisors.,Awesome Dashboard es visible solo para los supervisores de POS.
Back to {0},Volver a {0}
Background processing did not finish in time.,El procesamiento en segundo plano no finalizó a tiempo.
Background processing failed for Invoice {0}: {1},Error en el procesamiento en segundo plano para la factura {0}: {1}
Balance,Saldo
Barcode / QR Ready,Listo para código de barras/QR
Base Paid:,Base Pagada:
Base Recv:,Recepción base:
Base:,Base:
Browse,Navegar
Camera constraints not supported by your device. Trying fallback settings...,Restricciones de cámara no admitidas por su dispositivo. Probando configuraciones alternativas...
Camera is busy or blocked by another app/tab. Close other camera apps and try again.,La cámara está ocupada o bloqueada por otra aplicación/pestaña. Cierra otras aplicaciones de la cámara y vuelve a intentarlo.
Camera permission denied. Please allow camera access in your browser settings and refresh the page.,Permiso de cámara denegado. Permita el acceso a la cámara en la configuración de su navegador y actualice la página.
Camera scanner is locked until the current error is acknowledged,El escáner de la cámara se bloquea hasta que se reconoce el error actual
Camera started but the video stream did not load in time. Please try again.,La cámara se inició pero la transmisión de video no se cargó a tiempo. Por favor inténtalo de nuevo.
Cancel cash movement {0}?,¿Cancelar el movimiento de efectivo {0}?
Cannot add an item with zero or negative quantity.,No se puede agregar un artículo con cantidad cero o negativa.
Cannot redeem gift cards more than invoice total,No se pueden canjear tarjetas de regalo por más del total de la factura
Card health after the last live lookup,Estado de la tarjeta después de la última búsqueda en vivo
Cart,Carro
Cash payment cannot be less than invoice total when partial payment is not allowed,El pago en efectivo no puede ser menor que el total de la factura cuando no se permite el pago parcial
Cashier Access,Acceso al cajero
Cashier identity and appearance preferences.,Preferencias de identidad y apariencia del cajero.
Cashier PIN,PIN de cajero
Cashier PIN saved successfully.,PIN de cajero guardado exitosamente.
Categories,Categorías
Change allocation repaired,Asignación de cambios reparada
Change terminal cashier,Cambiar cajero terminal
Check Balance,Consultar saldo
Check balance for any card. Supervisors can issue and top up cards here.,Consultar saldo de cualquier tarjeta. Los supervisores pueden emitir y recargar tarjetas aquí.
Check balance only,Consultar saldo únicamente
Check live balance before applying redemption,Verifique el saldo activo antes de aplicar el canje
Check live balance before redemption,Verifique el saldo activo antes del canje
Checking...,De cheques...
Cheque/Reference Date,Cheque/Fecha de Referencia
Cheque/Reference No,Cheque/Nº de referencia
Choose the cashier currently operating this terminal.,Elija el cajero que actualmente opera esta terminal.
Clear all barcode items,Borrar todos los elementos del código de barras
Clear all purchase order items,Borrar todos los artículos de la orden de compra
Close about dialog,Cerrar sobre el diálogo
Close cashier switcher,Cerrar conmutador de cajero
Close closing shift dialog,Cerrar el cuadro de diálogo de cierre de turno
Close column selector,Cerrar selector de columnas
Close drafts dialog,Cerrar el cuadro de diálogo de borradores
Close invoice details dialog,Cerrar el cuadro de diálogo de detalles de la factura
Close invoice management,Cerrar gestión de facturas
Close offline invoices dialog,Cerrar el cuadro de diálogo de facturas sin conexión
Close packing list dialog,Cerrar el cuadro de diálogo de la lista de embalaje
Close returns dialog,Cerrar el diálogo de devoluciones
Close sales orders dialog,Cerrar el cuadro de diálogo de pedidos de ventas
Close scanner dialog,Cerrar el cuadro de diálogo del escáner
Collapse item details,Contraer detalles del elemento
Confirm,Confirmar
Confirm PIN,Confirmar PIN
Connection problem while submitting invoice,Problema de conexión al enviar la factura
Connectivity and cached prerequisite status were rechecked.,Se volvió a verificar la conectividad y el estado de los requisitos previos almacenados en caché.
Create and load a new prepaid card,Crear y cargar una nueva tarjeta prepago
Create and preload a new gift card,Crea y precarga una nueva tarjeta de regalo
Create or change your PIN,Crea o cambia tu PIN
Create PIN,Crear PIN
Create return from invoice,Crear devolución desde factura
Current PIN,PIN actual
Current redeemable value on the gift card,Valor canjeable actual en la tarjeta de regalo
Custom,Costumbre
Customer display was blocked. Please allow pop-ups for this site.,La visualización del cliente fue bloqueada. Permita ventanas emergentes para este sitio.
Customer-facing tools and printer setup.,Herramientas de atención al cliente y configuración de impresoras.
Daily cashier actions without scrolling.,Acciones diarias del cajero sin necesidad de desplazarse.
Day ?,Día ?
Default:,Por defecto:
Delete cancelled cash movement {0}?,¿Eliminar el movimiento de efectivo cancelado {0}?
Delete draft invoice,Eliminar borrador de factura
Delete draft invoice {0}?,¿Eliminar el borrador de factura {0}?
Delete offline invoice,Eliminar factura sin conexión
Delivered,Entregado
Delivery Note {0} created,Albarán de entrega {0} creado
Delivery note created,Albarán de entrega creado
Deployed Bundle:,Paquete implementado:
Disable offline mode first to recheck live connectivity.,Primero deshabilite el modo fuera de línea para volver a verificar la conectividad en vivo.
discount,descuento
Draft source,Borrador de fuente
Due {0},Vencimiento {0}
Edit customer,Editar cliente
Edit Gift Application,Editar solicitud de regalo
Employee,Empleado
Enter a PIN.,Ingrese un PIN.
Enter the cashier PIN to continue.,Ingrese el PIN del cajero para continuar.
Enter the current PIN first.,Ingrese primero el PIN actual.
"Enter the current PIN, then choose a new one.",Ingrese el PIN actual y luego elija uno nuevo.
Error submitting invoice: {0},Error al enviar la factura: {0}
Error submitting invoice: No response from server,Error al enviar la factura: no hay respuesta del servidor
Expand item details,Ampliar detalles del artículo
Fast cashier actions for active shifts.,Acciones rápidas de caja para turnos activos.
Fetch the latest offline prerequisite updates,Obtenga las últimas actualizaciones de requisitos previos sin conexión
Find a sales order quickly and load it into the current sale.,Encuentre un pedido de ventas rápidamente y cárguelo en la venta actual.
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","Para los artículos del 'Paquete de productos', el almacén, el número de serie y el número de lote se considerarán de la tabla 'Lista de empaque'. Si el almacén y el número de lote son los mismos para todos los artículos de embalaje de cualquier artículo del 'paquete de productos', esos valores se pueden ingresar en la tabla principal de artículos; Los valores se copiarán en la tabla 'Lista de embalaje'."
from,de
Gain,Ganar
Generate a fresh prepaid card and start it with an opening balance.,Genere una nueva tarjeta prepago y comience con un saldo inicial.
Generate and install the certificate to allow fully silent printing without trust prompts.,Genere e instale el certificado para permitir una impresión totalmente silenciosa sin mensajes de confianza.
Generated scale barcode: {0},Código de barras de báscula generado: {0}
Gift Card,Tarjeta de regalo
Gift card amount must be greater than zero.,El monto de la tarjeta de regalo debe ser mayor que cero.
Gift Card Code,Código de tarjeta de regalo
Gift card code is required for redemption,Se requiere el código de la tarjeta de regalo para el canje
Gift card code is required.,Se requiere el código de la tarjeta de regalo.
Gift card issued successfully.,Tarjeta regalo emitida correctamente.
Gift card loaded successfully.,Tarjeta de regalo cargada exitosamente.
Gift Card Management,Gestión de tarjetas de regalo
Gift card payment,Pago con tarjeta de regalo
Gift card redemption requires an online connection,El canje de la tarjeta de regalo requiere una conexión en línea
Gift card topped up successfully.,Tarjeta regalo recargada con éxito.
Gift Cards,Tarjetas de regalo
"Grouped controls for terminal, UI, and session settings.","Controles agrupados para configuración de terminal, UI y sesión."
Hide,Esconder
Hide Gift Card,Ocultar tarjeta de regalo
Hide search tools,Ocultar herramientas de búsqueda
How this section works,Cómo funciona esta sección
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","Si persisten datos obsoletos, abra Configuración > Sin conexión y sincronización y ejecute Reconstruir datos sin conexión nuevamente mientras está en línea."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","Si la advertencia persiste, abra Configuración > Sin conexión y sincronización, luego ejecute Actualizar datos sin conexión o Reconstruir datos sin conexión."
In stock: {0},En stock: {0}
Initial Amount,Monto inicial
"Inspect cache, sync, and prerequisite status","Inspeccionar el estado de la caché, la sincronización y los requisitos previos"
Insufficient stock:\n{0},Stock insuficiente:\n{0}
Invoice {0} is Submitted,Se envía la factura {0}
Invoice {0} processed successfully,Factura {0} procesada correctamente
Invoice {0} submission failed,Error al enviar la factura {0}
Invoice {0} was already submitted,La factura {0} ya fue enviada
"Invoice value settled by loyalty points, not cash collection","Valor de la factura liquidado mediante puntos de fidelidad, no mediante cobro en efectivo"
Issue Mode,Modo de emisión
Issue New Card,Emitir nueva tarjeta
Issue Workflow,Flujo de trabajo de problemas
"Issue, top up, and check","Emitir, recargar y comprobar"
Item {0} added to invoice,Artículo {0} agregado a la factura
Item '{0}' has no barcode,El artículo '{0}' no tiene código de barras
json,json
Just now,En este momento
Keep offline prerequisites healthy and recover stale data safely.,Mantenga los requisitos previos sin conexión en buen estado y recupere datos obsoletos de forma segura.
"Language, theme, terminal tools, and session controls.","Idioma, tema, herramientas de terminal y controles de sesión."
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},Última sincronización: {0} | bien: {1} | fallido: {2} | omitido: {3}
lines,pauta
Load a POS profile and cashier first.,Cargue primero un perfil de POS y un cajero.
Loading view...,Cargando vista...
Local storage is unavailable. Switching to online-only mode.,El almacenamiento local no está disponible. Cambiar al modo solo en línea.
Lock Screen,Pantalla de bloqueo
Lookup Workflow,Flujo de trabajo de búsqueda
Loss,Pérdida
Low-frequency maintenance and system details.,Mantenimiento de baja frecuencia y detalles del sistema.
Loyalty Redeemed,Lealtad canjeada
Loyalty Redemption,Redención de lealtad
Make New Payment,Realizar nuevo pago
Manage all,Administrar todo
Manage Cashier PIN,Administrar PIN de cajero
"Manage offline tools, terminal controls, and maintenance from one workspace.","Administre herramientas fuera de línea, controles de terminales y mantenimiento desde un solo espacio de trabajo."
manual,manuales
"Manual codes, barcode scans, and QR scans work in the same field","Los códigos manuales, los escaneos de códigos de barras y los escaneos QR funcionan en el mismo campo"
Manual offline mode is enabled,El modo sin conexión manual está habilitado
Maximum available quantity is {0}. Quantity adjusted to match stock.,La cantidad máxima disponible es {0}. Cantidad ajustada para igualar el stock.
Maximum discount amount for this offer item is {0}.,El importe máximo de descuento para este artículo de oferta es {0}.
Maximum discount percentage for this offer item is {0}%.,El porcentaje de descuento máximo para este artículo de oferta es del {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,La cantidad máxima de oferta es {0}. Cantidad ajustada al límite permitido.
Minimum allowed rate for this offer item is {0}.,La tarifa mínima permitida para este artículo de oferta es {0}.
Month ?,Mes ?
New PIN,Nuevo PIN
No barcode found for UOM '{0}',No se encontró ningún código de barras para la UOM '{0}'
No cached gift card balance is available offline.,No hay ningún saldo de tarjeta de regalo almacenado en caché disponible sin conexión.
No camera found on this device. Please ensure your device has a working camera.,No se encontró ninguna cámara en este dispositivo. Asegúrese de que su dispositivo tenga una cámara que funcione.
No capability warnings recorded yet.,Aún no se han registrado advertencias de capacidad.
No cashier PIN is set yet. Create one now.,Aún no se ha establecido ningún PIN de cajero. Crea uno ahora.
No cashier profiles are available for this POS profile yet.,Aún no hay perfiles de cajero disponibles para este perfil de POS.
No change-allocation invoices match the current filters.,Ninguna factura de asignación de cambios coincide con los filtros actuales.
No Company Selected,Ninguna empresa seleccionada
No exact repair match found for this invoice,No se encontró ninguna coincidencia de reparación exacta para esta factura
No matching items in cart,No hay artículos coincidentes en el carrito
No offline sync issues recorded yet.,Aún no se han registrado problemas de sincronización sin conexión.
No records found,No se encontraron registros
No sync trigger has run yet in this session.,Aún no se ha ejecutado ningún activador de sincronización en esta sesión.
Not available,No disponible
Not checked,No comprobado
Not selected,No seleccionado
Offline & Sync,Sin conexión y sincronización
Offline Capabilities,Capacidades sin conexión
Offline data status refreshed,Estado de datos sin conexión actualizado
Offline diagnostics,Diagnóstico fuera de línea
Offline Queue: {0},Cola sin conexión: {0}
Offline rebuild guidance,Guía de reconstrucción sin conexión
Offline restore is unavailable for this session.,La restauración sin conexión no está disponible para esta sesión.
Offline selling is available with degraded capabilities.,La venta fuera de línea está disponible con capacidades degradadas.
Offline snapshot does not match the current POS state.,La instantánea sin conexión no coincide con el estado actual del POS.
Offline Status,Estado sin conexión
"Offline, terminal, and system controls","Controles fuera de línea, de terminal y del sistema"
Open actions menu,Abrir menú de acciones
Open drawer,cajón abierto
Open POS home,Abrir inicio de POS
options,opciones
Overpayment change deducted: {0},Cambio de sobrepago deducido: {0}
Page unavailable offline,Página no disponible sin conexión
Paid (orig):,Pagado (origen):
Paid:,Pagado:
Party Account,Cuenta del partido
Party Type,Tipo de fiesta
Pause terminal until next cashier,Pausar terminal hasta el próximo cajero
Payment Account,Cuenta de pago
Payment entries processed for Invoice {0},Entradas de pago procesadas para la factura {0}
Payment Entry Type,Tipo de entrada de pago
Payment of {0} received successfully.,Pago de {0} recibido exitosamente.
Payment request status could not be retrieved. Please try again,No se pudo recuperar el estado de la solicitud de pago. Por favor inténtalo de nuevo
Payment submitted.,Pago enviado.
Pending count updated from {0} to {1},Recuento pendiente actualizado de {0} a {1}
Pending Sales,Ventas pendientes
Pending sales: {0} | Cache usage: {1}%,Ventas pendientes: {0} | Uso de caché: {1}%
Pending: {0},Pendiente: {0}
Pending: {0} | Synced: {1} | Draft: {2},Pendiente: {0} | Sincronizado: {1} | Borrador: {2}
Personal,personales
Personal preferences adjust the current cashier experience without changing the active POS route.,Las preferencias personales ajustan la experiencia actual del cajero sin cambiar la ruta activa del POS.
PIN confirmation does not match.,La confirmación del PIN no coincide.
PIN must be 4 to 8 digits.,El PIN debe tener de 4 a 8 dígitos.
Please make a payment or select a payment,Por favor realice un pago o seleccione un pago
Please select a party,Por favor seleccione una fiesta
Please select a party before reconciling.,Seleccione una parte antes de reconciliarse.
Please verify the barcode or check the item's availability.,Verifique el código de barras o verifique la disponibilidad del artículo.
Points,Agujas
POS controls and maintenance,Controles y mantenimiento de TPV
POS is running with limited offline prerequisites.,POS se ejecuta con requisitos previos sin conexión limitados.
Preparing background sync,Preparando sincronización en segundo plano
"Press OK to continue offline with a warning, or Cancel to retry.",Presione Aceptar para continuar sin conexión con una advertencia o Cancelar para volver a intentarlo.
Price List,Lista de precios
Price list rate updated locally only,Tarifa de lista de precios actualizada solo localmente
Print invoice,imprimir factura
Processing payment entries for Invoice {0},Procesando entradas de pago para la factura {0}
Quotation {0} is Submitted,Se ha enviado la cotización {0}
Quotation submitted,Cotización enviada
QZ Tray is manually disconnected. Press Connect to enable it again.,La bandeja QZ se desconecta manualmente. Presione Conectar para habilitarlo nuevamente.
Ready to resume,Listo para reanudar
Rebuild Offline Data,Reconstruir datos sin conexión
Receive,Recibir
Received:,Recibió:
Rechecking connection,Volviendo a comprobar la conexión
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Vuelva a conectarse y abra esta página una vez mientras esté en línea; luego, las actualizaciones sin conexión podrán restaurarla."
Reconnect online to refresh cached offline data from the server.,Vuelva a conectarse en línea para actualizar los datos almacenados en caché fuera de línea desde el servidor.
Recreate local offline prerequisites from scratch,Recrear los requisitos previos locales sin conexión desde cero
Recv:,Recepción:
Redeem,Canjear
Redeem / Scan,Canjear / Escanear
Redeem Amount,Canjear monto
Redeem Mode,Modo canjear
Redeemed Amount,Monto canjeado
Refresh Offline Data,Actualizar datos sin conexión
Refund,Reembolso
Release Notes,Notas de la versión
Reload,Recargar
Reload customers,Recargar clientes
Reload Workflow,Recargar flujo de trabajo
Remove barcode item,Eliminar elemento de código de barras
Remove cached data and reload the POS app,Elimine los datos almacenados en caché y vuelva a cargar la aplicación POS
Repair Candidate,Candidato de reparación
Repair Change Allocation,Asignación de cambios de reparación
Repair requires an online connection,La reparación requiere una conexión en línea
Repaired,reparado
Repairing change allocation,Reparar la asignación de cambios
Request ID: {0},ID de solicitud: {0}
Requested route: {0},Ruta solicitada: {0}
Reset to Default,Restablecer los valores predeterminados
Resource Health,Estado de los recursos
Restricted,Restringido
Restricted operational controls for supervisors only.,Controles operativos restringidos sólo para supervisores.
Retry route,Reintentar ruta
Return items must have negative quantities,Los artículos devueltos deben tener cantidades negativas.
Return total must be negative,El total de retorno debe ser negativo.
Sales Order {0} is Submitted,Se envía el pedido de ventas {0}
Save as POS Profile Default,Guardar como perfil de POS predeterminado
Save the selected printer as the POS Profile default so it shows automatically on this setup.,Guarde la impresora seleccionada como perfil POS predeterminado para que se muestre automáticamente en esta configuración.
Saved as draft because: {0},Guardado como borrador porque: {0}
Saving...,Ahorro...
Scale barcode settings are not configured. Using item barcode only.,Los ajustes del código de barras de la báscula no están configurados. Utilizando únicamente el código de barras del artículo.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Falta el código de barras de la plantilla de báscula para este artículo/UOM. Utilizando únicamente el código de barras del artículo.
Scan an existing card and top it up without leaving the payment flow.,Escanee una tarjeta existente y rellénela sin salir del flujo de pago.
Scan or enter a gift card code to check balance or redeem.,Escanee o ingrese el código de una tarjeta de regalo para verificar el saldo o canjearlo.
Scan or paste the card code below.,Escanee o pegue el código de la tarjeta a continuación.
Scan with camera,Escanear con cámara
Scan-First Flow,Flujo de escaneo primero
Scanning for: {0},Buscando: {0}
Scan-Ready,Listo para escanear
Search Account,Buscar cuenta
Search an invoice and continue the return flow without extra steps.,Busque una factura y continúe el flujo de devolución sin pasos adicionales.
Secure context (HTTPS or localhost) is required for camera access.,Se requiere un contexto seguro (HTTPS o localhost) para acceder a la cámara.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Se requiere contexto seguro (HTTPS) para acceder a la cámara. Utilice HTTPS para acceder a la cámara.
Select a cashier first.,Seleccione un cajero primero.
Select a customer,Seleccione un cliente
Select items to sell,Seleccionar artículos para vender
Select Payment Account,Seleccionar cuenta de pago
Select the cashier who is taking over this terminal.,Seleccione el cajero que se hará cargo de esta terminal.
Selected,Seleccionado
Selected Payments,Pagos seleccionados
Sensitive actions kept away from quick taps.,Las acciones sensibles se mantienen alejadas de toques rápidos.
Session,Sesión
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,Establezca cada PIN de cajero en el formulario de Usuario y mantenga los miembros del terminal asignados en el Perfil de Usuario del POS.
Settings in this section update the POS workspace without changing the current route.,Las configuraciones en esta sección actualizan el espacio de trabajo de POS sin cambiar la ruta actual.
Shared terminal,Terminal compartida
Show,Espectáculo
Show rate info,Mostrar información de tarifas
Show Repair Candidates,Mostrar candidatos a reparación
Show search tools,Mostrar herramientas de búsqueda
Show the active cart on a customer-facing screen,Mostrar el carrito activo en una pantalla orientada al cliente
Showing {0}-{1} of {2},Mostrando {0}-{1} de {2}
Sign out of the current POS session,Cerrar sesión en la sesión actual de POS
