POS Awesome,POS Félelmetes
Show the active cart on a customer-facing screen,Mutassa meg az aktív kosarat az ügyfél felé néző képernyőn
Showing {0}-{1} of {2},{2}/{0}-{1}. megjelenítése
Showing 0 of 0,0 a 0-ból
Shows the distribution of invoices per currency,A számlák pénznemenkénti megoszlását mutatja
Sign out of the current POS session,Jelentkezzen ki az aktuális POS munkamenetből
Size:,Méret:
Skipped Payments,Kihagyott fizetések
Skipping items without barcodes,Elemek kihagyása vonalkód nélkül
Slow Moving,Lassú mozgás
Slow Moving Items,Lassan mozgó elemek
Slow Queries:,Lassú lekérdezések:
Sold,Eladva
Source,Forrás
Source Cash Account (Optional Override),Forrás készpénzszámla (opcionális felülírás)
Source Ex. Rate:,Forrás Pl. Értékelés:
Source Rate:,Forrás aránya:
Specific Profile,Specifikus profil
Split Invoices,Felosztott számlák
Staff / Cashier Performance Report,Személyzeti / Pénztáros teljesítményjelentés
Status,Állapot
Stock,Stock
Stock Information,Stock információk
Stock is lower than requested,A készlet alacsonyabb a kértnél
Stock is lower than requested:\n{0},A készlet alacsonyabb a kértnél:\n{0}
Stock Movement Report,Készletmozgási jelentés
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Raktárfrissítés: {0} {1} elérhető. A(z) {2} hozzáadásával az állomány nulla alá kerül.
Submit,Beküld
Submit & Print,Beküldés és nyomtatás
Submit Deposit,Befizetés benyújtása
Submit Expense,Költség benyújtása
Submitted,Beküldve
Submitted Cash Movements,Beküldött készpénzmozgások
Submitted entries,Beküldött pályaművek
Successfully scanned:,Sikeresen beolvasva:
Suggested,Javasolt
Suggested Qty,Javasolt mennyiség
Supervisor Access,Felügyelő hozzáférés
Supervisor permissions unlock issuance and reloads,A felügyelői engedélyek feloldják a kiadást és az újratöltést
Supervisor Tools,Felügyelői eszközök
Supplier,Szállító
Supplier and dates are required.,A szállító és a dátumok megadása kötelező.
Supplier Invoices,Szállítói számlák
Supplier is required.,Szállító szükséges.
Supplier name is required,A szállító neve kötelező
Supplier Payments,Szállítói fizetések
Supplier Purchase Summary,Szállítói beszerzési összefoglaló
Suppliers,Szállítók
Suppliers not found,Szállítók nem találhatók
Switch Camera,Váltsunk kamerát
Switch Cashier,Pénztárváltás
Switch the POS appearance theme,Váltsa át a POS megjelenési témáját
Switched to:,Átváltott erre:
Sync All Invoices,Szinkronizálja az összes számlát
Sync Offline Cash Movements ({0}),Offline készpénzmozgások szinkronizálása ({0})
Sync Offline Sales,Offline értékesítés szinkronizálása
Synced {0} offline cash movement(s).,{0} offline készpénzmozgás szinkronizálva.
Syncing items in background,Elemek szinkronizálása a háttérben
System / Diagnostics,Rendszer / Diagnosztika
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","A rendszerműveletek alacsony frekvenciájú karbantartási vezérlők, például alkalmazásinformációk, támogatási diagnosztika és munkamenet-vezérlők."
System Information,Rendszerinformációk
System Status,Rendszer állapota
Tables:,Táblázatok:
Tap the button below to redeem a gift card during checkout.,Koppintson az alábbi gombra az ajándékutalvány beváltásához a fizetés során.
Target,Cél
Target Ex. Rate:,Célpont pl. Értékelés:
Target Rate:,Cél arány:
Tax,Adó
Tax / Charges Report,Adó-/költségjelentés
Tax Heads,Adófőnökök
Taxable Amount,Adóköteles összeg
Tendered,Pályázatban
Terminal,Terminál
Terminal & Devices,Terminál és eszközök
Terminal locked,Terminál zárva
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","A termináleszközök hatással vannak erre a pénztári állomásra, az ügyfelek felé néző kijelzőkre és a jövőbeni nyomtató-/eszközvezérlőkre."
Territory not found,Terület nem található
The amount paid is not complete,A kifizetett összeg nem teljes
The app stores data locally for offline use. This is called cache.,Az alkalmazás helyben tárolja az adatokat offline használatra. Ezt gyorsítótárnak hívják.
The invoice stayed in draft. Please review and submit it manually.,"A számla tervezetben maradt. Kérjük, tekintse át és küldje be manuálisan."
The maximum discount allowed is,Az engedélyezett maximális kedvezmény
The quantity for {0} has been adjusted to the maximum available stock.,A(z) {0} mennyisége a maximálisan elérhető készletre lett igazítva.
The system could not retrieve the item details. Please try again.,"A rendszer nem tudta lekérni a tétel részleteit. Kérjük, próbálja újra."
These invoices will be synced when connection is restored,"Ezeket a számlákat a rendszer szinkronizálja, amikor a kapcsolat helyreáll"
This action now opens inside the settings workspace.,Ez a művelet most megnyílik a beállítások munkaterületén.
This coupon already used !,Ez a kupon már felhasználva!
This invoice does not need change-allocation repair,Ez a számla nem igényel változtatási-kiosztási javítást
This invoice is already repaired,Ezt a számlát már javították
This is an item template. Please choose a variant.,"Ez egy tételsablon. Kérjük, válasszon egy változatot."
this item,ezt a tételt
This POS page could not be opened offline because its code was not cached on this terminal yet.,"Ez a POS oldal nem nyitható meg offline módban, mert a kódja még nincs gyorsítótárban ezen a terminálon."
This Serial Number {0} has already been added!,Ezt a sorozatszámot ({0}) már hozzáadták!
Threshold,Küszöb
Time,Idő
Tip: Clear cache regularly to free up space and keep the app fast.,"Tipp: Rendszeresen törölje a gyorsítótárat, hogy helyet szabadítson fel, és az alkalmazás gyors maradjon."
Tip: Close unused tabs or apps to reduce lag.,Tipp: Zárja be a nem használt lapokat vagy alkalmazásokat a késés csökkentése érdekében.
Tip: Monitor slow queries and table size for optimal performance.,Tipp: Figyelje a lassú lekérdezéseket és a táblázat méretét az optimális teljesítmény érdekében.
To Be Paid,Fizetni
To Date,A dátumig
Today,Ma
Today Profit,Ma Profit
Today Sales,Ma értékesítés
Toggle navigation drawer,A navigációs fiók be- és kikapcsolása
Toggle Theme,Téma váltása
Tools,Eszközök
Tools for customer-facing screens and terminal-specific actions.,Eszközök az ügyfelek felé néző képernyőkhöz és terminálspecifikus műveletekhez.
Top Brand,Top márka
Top Category,Felső kategória
Top Charge Head,Felső töltőfej
Top Customers,Legjobb vásárlók
Top Discount,Top kedvezmény
Top Items by Location,A legnépszerűbb termékek hely szerint
Top Margin,Felső margó
Top Pending,Top Függőben
Top Profit Item,Legjobb profittétel
Top Return Items,Legjobb visszáru tételek
Top Sales by Cashier,Legnagyobb eladások a pénztárostól
Top Supplier,Legjobb szállító
Top Suppliers by Spend,Legnépszerűbb beszállítók a ráfordítás alapján
Top Tables,Felső táblázatok
Top Tax Head,Legfelső adóvezető
Top Up Amount,Feltöltés összege
Top Up Card,Feltöltés kártya
Top Up Mode,Feltöltés mód
Top Variant,Top Variant
Total,Összesen
Total Amount,Teljes összeg
Total Change,Teljes változás
Total Charges,Teljes díjak
Total In,Összesen be
Total Invoices,Összes számla
Total Items,Összes tétel
Total Mpesa,Teljes Mpesa
Total Out,Total Out
Total Payments,Összes kifizetés
Total Purchase,Teljes vásárlás
Total Selected :,Összesen kiválasztott:
Total Size,Teljes méret
Total Stock Qty,Teljes készletmennyiség
Total:,Összesen:
Totals by Invoice Currency,Összegek a számla pénzneme szerint
Track how much cash was handed back to customers,"Kövesse nyomon, hogy mennyi készpénzt adtak vissza az ügyfeleknek"
"Track recent sales, collect unpaid balances, and reopen saved work","Kövesse nyomon a legutóbbi eladásokat, gyűjtse össze a kifizetetlen egyenlegeket, és nyissa meg újra a mentett munkát"
Transaction ID,Tranzakcióazonosító
Transfer,Átadás
Try a different search term or clear the cart search.,"Próbálkozzon másik keresési kifejezéssel, vagy törölje a kosár keresését."
Try adjusting your search or filters,Próbálja módosítani a keresést vagy a szűrőket
Try another source or refresh the list.,"Próbáljon ki egy másik forrást, vagy frissítse a listát."
Try changing the date range or status filter.,Próbálja meg módosítani a dátumtartományt vagy az állapotszűrőt.
Type,Írja be
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,"Alapbeállításokkal sem lehet hozzáférni a kamerához. Kérjük, ellenőrizze a kamera engedélyeit és az eszköz kompatibilitását."
Unable to add offer item {0}. Please refresh and try again.,"Nem sikerült hozzáadni a(z) {0} ajánlattételt. Kérjük, frissítse, és próbálja újra."
Unable to add offer item. Please refresh and try again.,"Nem sikerült hozzáadni az ajánlattételt. Kérjük, frissítse, és próbálja újra."
Unable to add scanned item.,Nem sikerült hozzáadni a beolvasott elemet.
Unable to create purchase order,Nem sikerült létrehozni a beszerzési rendelést
Unable to delete draft invoice,A számlavázlat nem törölhető
Unable to fetch documents,Nem lehet letölteni a dokumentumokat
Unable to fetch draft orders,Nem sikerült lekérni a rendelésvázlatokat
Unable to fetch invoice history,Nem sikerült lekérni a számlaelőzményeket
Unable to fetch M-Pesa payments,Nem sikerült lekérni az M-Pesa kifizetéseket
Unable to fetch sales orders,Nem sikerült lekérni az értékesítési rendeléseket
Unable to fetch unpaid invoices,Nem sikerült lekérni a kifizetetlen számlákat
Unable to generate scale barcode,Nem lehet méretarányos vonalkódot generálni
Unable to issue gift card.,Nem sikerült kiállítani az ajándékutalványt.
Unable to load cashier PIN status.,Nem sikerült betölteni a pénztáros PIN-kód állapotát.
Unable to load document,Nem lehet betölteni a dokumentumot
Unable to load draft invoice,Nem sikerült betölteni a számlavázlatot
Unable to load gift card balance.,Nem sikerült betölteni az ajándékkártya egyenlegét.
Unable to load invoice details,Nem sikerült betölteni a számla részleteit
Unable to load parked order,Nem sikerült betölteni a parkoló rendelést
Unable to load the selected sales order,Nem sikerült betölteni a kiválasztott értékesítési rendelést
Unable to prepare document,Nem sikerült elkészíteni a dokumentumot
Unable to prepare return invoice,Visszaküldési számlát nem lehet elkészíteni
Unable to print draft invoice,Nem lehet kinyomtatni a számlavázlatot
Unable to print submitted invoice,Nem lehet kinyomtatni a benyújtott számlát
Unable to process document action,Nem lehet feldolgozni a dokumentumműveletet
Unable to repair change allocation,Nem sikerült kijavítani a változáskiosztást
Unable to save cashier PIN.,Nem sikerült menteni a pénztáros PIN-kódot.
Unable to save the rate to the backend price list,Az árfolyam nem menthető a háttérárlistába
Unable to submit invoice,Nem sikerült benyújtani a számlát
Unable to submit the selected payment,Nem sikerült elküldeni a kiválasztott fizetést
Unable to top up gift card.,Nem sikerült feltölteni az ajándékutalványt.
Unable to verify cashier PIN.,A pénztáros PIN kódja nem ellenőrizhető.
Unallocated,Kiosztatlan
Unallocated:,Nem allokált:
Unavailable,Nem elérhető
Unknown,Ismeretlen
Unknown Item,Ismeretlen tétel
Unknown Warehouse,Ismeretlen raktár
Unlock POS,POS feloldása
Unpaid,Kifizetetlen
"Unselected payments stay unallocated first, then auto reconcile after submit.","A ki nem választott kifizetések először felosztatlanok maradnak, majd az elküldés után automatikusan egyeztethetők."
UOM,UOM
UOM not found,UOM nem található
Update available,Frissítés elérhető
Update Customer,Ügyfél frissítése
Update PIN,Frissítse a PIN-kódot
Update Price List Rate,Árlista frissítése
Updated,Frissítve
Updates and app info that stay out of the cashier flow.,"Frissítések és alkalmazásinformációk, amelyek kimaradnak a pénztárakból."
Updates automatically,Automatikusan frissül
Usage,Használat
Usage Stats,Használati statisztikák
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Használjon 4–8 számjegyű PIN-kódot a pénztáros váltáshoz és a terminál feloldásához.
Use Cashier,Használja a Pénztárat
Use date range to search for older invoices,Régebbi számlák kereséséhez használja a dátumtartományt
"Use one field for manual code entry, barcode scans, or QR scans.","Használjon egy mezőt kézi kódbevitelhez, vonalkód-leolvasáshoz vagy QR-beolvasáshoz."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Használjon egyetlen munkafolyamatot az egyenlegellenőrzéshez, az új kibocsátáshoz és a feltöltéshez anélkül, hogy elhagyná a POS-t."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Ezt a szakaszt akkor használja, ha a gyorsítótárazott előfeltételadatok frissítést, újraépítést vagy diagnosztikai felülvizsgálatot igényelnek."
Use Western numerals,Használjon nyugati számokat
Used:,Használt:
Using basic camera settings due to device limitations,Alapvető kamerabeállítások használata az eszköz korlátai miatt
Using cached customer balance,Gyorsítótárazott ügyfélegyenleg használata
Valid until,ig érvényes
Variance %,Szórás %
Variants,Változatok
Variant-wise,Változatosan
Verify closing amounts for each payment method,Ellenőrizze az egyes fizetési módok záró összegét
View all,Az összes megtekintése
View app information and current build details,Tekintse meg az alkalmazás adatait és az aktuális build részleteit
View Data Diagnostics,Adatdiagnosztika megtekintése
View Details,Részletek megtekintése
View invoice details,Számla részleteinek megtekintése
View notifications,Értesítések megtekintése
View offline invoices,Offline számlák megtekintése
View restricted POS insights,Tekintse meg a korlátozott POS statisztikákat
Void Amount,Érvénytelen összeg
Void Count,Érvénytelen szám
Voids,Ürességek
Waiting for cart items,Várjuk a kosár tételeit
Waiting for payment...,Fizetésre vár...
Walk-in Customer,Belépő Ügyfél
Warehouse,Raktár
Warning: High cache usage may affect performance.,Figyelmeztetés: A gyorsítótár magas használata befolyásolhatja a teljesítményt.
Warning: High lag may indicate heavy processing or browser slowness.,Figyelmeztetés: A nagy késés súlyos feldolgozást vagy a böngésző lassúságát jelezheti.
Week ?,hét ?
Week-wise,Heti szempontból
Weight (g),Súly (g)
Weight (grams),Súly (gramm)
We'll let you know if an invoice fails to submit,"Értesítjük, ha a számlát nem sikerül elküldeni"
Workflow,Munkafolyamat
Write off amount cannot exceed the POS profile maximum of {0},A leírás összege nem haladhatja meg a POS-profil maximális értékét ({0})
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,"A leírás összege meghaladja a megengedett határértéket ({0}). Kérjük, adja meg a fennmaradó összeget."
Yes,Igen
"Yes, Cancel sale","Igen, törli az eladást"
"Yes, Close","Igen, bezár"
You are not allowed to print draft invoices,Tilos számlatervezetet nyomtatni
You are offline. Add Payment will work again when the connection is restored.,"Ön offline állapotban van. Az Add Payment újra működni fog, ha a kapcsolat helyreáll."
You have no notifications right now,Jelenleg nincsenek értesítései
Your Cart,Az Ön kosara
