POS Awesome,POS Lieliski
Search an invoice and continue the return flow without extra steps.,Meklējiet rēķinu un turpiniet atgriešanās plūsmu bez papildu darbībām.
Search customer,Meklēt klientu
Search invoices or customers,Meklējiet rēķinus vai klientus
Search item,Meklēt vienumu
Search item / code,Meklēt preci / kodu
Search items or barcode,Meklējiet vienumus vai svītrkodu
Search Mpesa Payments,Meklēt Mpesa Payments
Search return invoices or customers,Meklēt atgriešanas rēķinus vai klientus
Search supplier,Meklēt piegādātāju
Search unpaid invoices or customers,Meklējiet neapmaksātus rēķinus vai klientus
Secure context (HTTPS or localhost) is required for camera access.,"Lai piekļūtu kamerai, ir nepieciešams drošs konteksts (HTTPS vai localhost)."
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,"Lai piekļūtu kamerai, ir nepieciešams drošs konteksts (HTTPS). Lūdzu, izmantojiet HTTPS, lai piekļūtu kamerai."
Select,Izvēlieties
Select a cashier first.,Vispirms izvēlieties kasieri.
Select a customer,Izvēlieties klientu
Select a customer to use coupon,"Izvēlieties klientu, kuram izmantot kuponu"
Select a printer to use QZ silent printing.,"Izvēlieties printeri, lai izmantotu QZ kluso drukāšanu."
Select Batch,Atlasiet Pakete
Select Columns to Display,Atlasiet Parādāmās kolonnas
Select items to sell,"Izvēlieties preces, ko pārdot"
Select Payment,Atlasiet Maksājums
Select Payment Account,Atlasiet Maksājumu konts
Select printer,Izvēlieties printeri
Select Return Invoice,Atlasiet Atgriešanas rēķins
Select S.O,Atlasiet S.O
Select Sales Orders,Atlasiet Pārdošanas pasūtījumi
Select the cashier who is taking over this terminal.,"Izvēlieties kasieri, kurš pārņem šo termināli."
Selected,Atlasīts
Selected movement type is not allowed by POS Profile.,Atlasītais kustības veids nav atļauts POS profilā.
Selected Payments,Atlasītie maksājumi
Sensitive actions kept away from quick taps.,Sensitīvas darbības tiek novērstas no ātriem pieskārieniem.
Serial,Seriāls
Serial Numbers,Sērijas numuri
Server CPU Usage:,Servera CPU lietojums:
Server Health,Servera veselība
Server Memory Usage:,Servera atmiņas lietojums:
Server Metrics,Servera metrika
Server Uptime:,Servera darbības laiks:
Service Charges,Maksa par pakalpojumu
Session,Sesija
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,"Iestatiet katru kases PIN veidlapā Lietotājs un saglabājiet termināļa dalībniekus, kas ir piešķirti POS profila lietotājs."
Settings,Iestatījumi
Settings in this section update the POS workspace without changing the current route.,"Šīs sadaļas iestatījumi atjaunina POS darbvietu, nemainot pašreizējo maršrutu."
Setup complete!,Iestatīšana pabeigta!
Share,Dalīties
Shared terminal,Kopīgs terminālis
Shift Closed Snapshot,Shift Closed Snapshot
Shift Overview,Maiņu pārskats
Show,Rādīt
Show cart on customer-facing screen,Rādīt grozu uz klienta ekrāna
Show last invoice rate,Rādīt pēdējā rēķina likmi
Show rate info,Rādīt cenu informāciju
Show Repair Candidates,Rādīt remonta kandidātus
Show search tools,Rādīt meklēšanas rīkus
Show the active cart on a customer-facing screen,Rādīt aktīvo grozu uz klientu vērstā ekrānā
Showing {0}-{1} of {2},Rāda {0}-{1} no {2}
Showing 0 of 0,Rāda 0 no 0
Shows the distribution of invoices per currency,Parāda rēķinu sadalījumu pa valūtām
Sign out of the current POS session,Izrakstieties no pašreizējās POS sesijas
Size:,Izmērs:
Skipped Payments,Izlaistie maksājumi
Skipping items without barcodes,Vienumu izlaišana bez svītrkodiem
Slow Moving,Lēna kustība
Slow Moving Items,Lēni kustīgi vienumi
Slow Queries:,Lēni vaicājumi:
Sold,Pārdots
Source,Avots
Source Cash Account (Optional Override),Avota naudas konts (neobligāta ignorēšana)
Source Ex. Rate:,Avots Piem. Novērtēt:
Source Rate:,Avota likme:
Specific Profile,Konkrēts profils
Split Invoices,Sadalītie rēķini
Staff / Cashier Performance Report,Darbinieku/kasiera darbības pārskats
Status,Statuss
Stock,Krājumi
Stock Information,Krājuma informācija
Stock is lower than requested,Krājumi ir mazāki nekā pieprasīts
Stock is lower than requested:\n{0},Krājumi ir mazāki nekā pieprasīts:\n{0}
Stock Movement Report,Pārskats par krājumu kustību
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,"Krājumu atjauninājums: {0} ir pieejams {1}. Pievienojot {2}, krājumi būs zem nulles."
Submit,Iesniegt
Submit & Print,Iesniegt un izdrukāt
Submit Deposit,Iesniegt depozītu
Submit Expense,Iesniegt izdevumus
Submitted,Iesniegts
Submitted Cash Movements,Iesniegtās naudas kustības
Submitted entries,Iesniegtie ieraksti
Successfully scanned:,Veiksmīgi skenēts:
Suggested,Ieteikts
Suggested Qty,Ieteicamais daudzums
Supervisor Access,Piekļuve vadītājam
Supervisor permissions unlock issuance and reloads,Pārrauga atļaujas atbloķē izdošanu un atkārtotu ielādi
Supervisor Tools,Uzraudzītāja rīki
Supplier,Piegādātājs
Supplier and dates are required.,Nepieciešams piegādātājs un datumi.
Supplier Invoices,Piegādātāju rēķini
Supplier is required.,Nepieciešams piegādātājs.
Supplier name is required,Nepieciešams piegādātāja nosaukums
Supplier Payments,Piegādātāju maksājumi
Supplier Purchase Summary,Piegādātāja pirkuma kopsavilkums
Suppliers,Piegādātāji
Suppliers not found,Piegādātāji nav atrasti
Switch Camera,Pārslēgt kameru
Switch Cashier,Mainiet kasieri
Switch the POS appearance theme,Pārslēdziet POS izskata motīvu
Switched to:,Pārslēgts uz:
Sync All Invoices,Sinhronizēt visus rēķinus
Sync Offline Cash Movements ({0}),Sinhronizēt bezsaistes naudas kustības ({0})
Sync Offline Sales,Sinhronizējiet bezsaistes pārdošanu
Synced {0} offline cash movement(s).,Sinhronizēta(-as) {0} bezsaistes skaidras naudas kustība(-as).
Syncing items in background,Vienumu sinhronizēšana fonā
System / Diagnostics,Sistēma / Diagnostika
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Sistēmas darbības ir zemas frekvences uzturēšanas vadīklas, piemēram, lietotņu informācija, atbalsta diagnostika un sesijas vadīklas."
System Information,Sistēmas informācija
System Status,Sistēmas statuss
Tables:,Tabulas:
Tap the button below to redeem a gift card during checkout.,"Pieskarieties tālāk esošajai pogai, lai norēķināšanās laikā izpirktu dāvanu karti."
Target,Mērķis
Target Ex. Rate:,Mērķis Piem. Novērtēt:
Target Rate:,Mērķa likme:
Tax,Nodoklis
Tax / Charges Report,Nodokļu/nodevu pārskats
Tax Heads,Nodokļu vadītāji
Taxable Amount,Ar nodokli apliekamā summa
Tendered,Izsolīts
Terminal,Terminālis
Terminal & Devices,Terminālis un ierīces
Terminal locked,Terminālis ir bloķēts
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Termināļa rīki ietekmē šo norēķinu staciju, uz klientu vērstos displejus un turpmākās printera/ierīces vadīklas."
Territory not found,Teritorija nav atrasta
The amount paid is not complete,Samaksātā summa nav pilnīga
The app stores data locally for offline use. This is called cache.,Lietotne lokāli saglabā datus lietošanai bezsaistē. To sauc par kešatmiņu.
The invoice stayed in draft. Please review and submit it manually.,"Rēķins palika melnrakstā. Lūdzu, pārskatiet un iesniedziet to manuāli."
The maximum discount allowed is,Maksimālā pieļaujamā atlaide ir
The quantity for {0} has been adjusted to the maximum available stock.,{0} daudzums ir pielāgots maksimālajam pieejamajam krājumam.
The system could not retrieve the item details. Please try again.,"Sistēma nevarēja izgūt preces informāciju. Lūdzu, mēģiniet vēlreiz."
These invoices will be synced when connection is restored,"Šie rēķini tiks sinhronizēti, kad savienojums tiks atjaunots"
This action now opens inside the settings workspace.,Šī darbība tagad tiek atvērta iestatījumu darbvietā.
This coupon already used !,Šis kupons jau izmantots!
This invoice does not need change-allocation repair,Šim rēķinam nav nepieciešams izmaiņu-piešķiršanas remonts
This invoice is already repaired,Šis rēķins jau ir salabots
This is an item template. Please choose a variant.,"Šī ir vienuma veidne. Lūdzu, izvēlieties variantu."
this item,šo vienumu
This POS page could not be opened offline because its code was not cached on this terminal yet.,"Šo POS lapu nevarēja atvērt bezsaistē, jo tās kods vēl nebija kešatmiņā šajā terminālī."
This Serial Number {0} has already been added!,Šis sērijas numurs {0} jau ir pievienots!
Threshold,Slieksnis
Time,Laiks
Tip: Clear cache regularly to free up space and keep the app fast.,"Padoms. Regulāri notīriet kešatmiņu, lai atbrīvotu vietu un nodrošinātu lietotnes ātruma darbību."
Tip: Close unused tabs or apps to reduce lag.,"Padoms. Lai samazinātu aizkavi, aizveriet neizmantotās cilnes vai lietotnes."
Tip: Monitor slow queries and table size for optimal performance.,"Padoms. Pārraugiet lēnus vaicājumus un tabulas lielumu, lai nodrošinātu optimālu veiktspēju."
To Be Paid,Jāmaksā
To Date,Līdz datumam
Today,Šodien
Today Profit,Šodien peļņa
Today Sales,Šodien pārdošana
Toggle navigation drawer,Pārslēgt navigācijas atvilktni
Toggle Theme,Pārslēgt motīvu
Tools,Rīki
Tools for customer-facing screens and terminal-specific actions.,Rīki klientiem vērstiem ekrāniem un terminālim specifiskām darbībām.
Top Brand,Top zīmols
Top Category,Augstākā kategorija
Top Charge Head,Augšējā uzlādes galva
Top Customers,Labākie klienti
Top Discount,Galvenā atlaide
Top Items by Location,Populārākās preces pēc atrašanās vietas
Top Margin,Augšējā piemale
Top Pending,Augšējā gaida
Top Profit Item,Labākā peļņas pozīcija
Top Return Items,Populārākās atgriešanas preces
Top Sales by Cashier,Visvairāk pārdotās kases
Top Supplier,Labākais piegādātājs
Top Suppliers by Spend,Labākie piegādātāji pēc tēriņiem
Top Tables,Top tabulas
Top Tax Head,Augstākais nodokļu vadītājs
Top Up Amount,Papildināšanas summa
Top Up Card,Papildināšanas karte
Top Up Mode,Papildināšanas režīms
Top Variant,Augšējais variants
Total,Kopā
Total Amount,Kopējā summa
Total Change,Kopējās izmaiņas
Total Charges,Kopējās maksas
Total In,Kopā
Total Invoices,Kopējais rēķinu skaits
Total Items,Preču kopskaits
Total Mpesa,Kopā Mpesa
Total Out,Total Out
Total Payments,Kopējie maksājumi
Total Purchase,Kopējais pirkums
Total Selected :,Kopā atlasītie:
Total Size,Kopējais izmērs
Total Stock Qty,Kopējais krājumu daudzums
Total:,Kopā:
Totals by Invoice Currency,Kopsummas pēc rēķina valūtas
Track how much cash was handed back to customers,"Izsekojiet, cik daudz skaidras naudas tika atdots klientiem"
"Track recent sales, collect unpaid balances, and reopen saved work","Sekojiet jaunākajiem pārdošanas apjomiem, savāciet neapmaksātos atlikumus un atkārtoti atveriet saglabātos darbus"
Transaction ID,Darījuma ID
Transfer,Pārsūtīšana
Try a different search term or clear the cart search.,Izmēģiniet citu meklēšanas vienumu vai notīriet groza meklēšanu.
Try adjusting your search or filters,Mēģiniet pielāgot meklēšanu vai filtrus
Try another source or refresh the list.,Izmēģiniet citu avotu vai atsvaidziniet sarakstu.
Try changing the date range or status filter.,Mēģiniet mainīt datumu diapazonu vai statusa filtru.
Type,Tips
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,"Nevar piekļūt kamerai pat ar pamata iestatījumiem. Lūdzu, pārbaudiet kameras atļaujas un ierīces saderību."
Unable to add offer item {0}. Please refresh and try again.,"Nevar pievienot piedāvājuma vienumu {0}. Lūdzu, atsvaidziniet un mēģiniet vēlreiz."
Unable to add offer item. Please refresh and try again.,"Nevar pievienot piedāvājuma vienumu. Lūdzu, atsvaidziniet un mēģiniet vēlreiz."
Unable to add scanned item.,Nevar pievienot skenēto vienumu.
Unable to create purchase order,Nevar izveidot pirkuma pasūtījumu
Unable to delete draft invoice,Nevar izdzēst rēķina melnrakstu
Unable to fetch documents,Nevar ienest dokumentus
Unable to fetch draft orders,Nevar ienest pasūtījumu melnrakstus
Unable to fetch invoice history,Nevar ienest rēķinu vēsturi
Unable to fetch M-Pesa payments,Nevar ienest M-Pesa maksājumus
Unable to fetch sales orders,Nevar ienest pārdošanas pasūtījumus
Unable to fetch unpaid invoices,Nevar ienest neapmaksātus rēķinus
Unable to generate scale barcode,Nevar ģenerēt mēroga svītrkodu
Unable to issue gift card.,Nevar izsniegt dāvanu karti.
Unable to load cashier PIN status.,Nevar ielādēt kases PIN statusu.
Unable to load document,Nevar ielādēt dokumentu
Unable to load draft invoice,Nevar ielādēt rēķina projektu
Unable to load gift card balance.,Nevar ielādēt dāvanu kartes atlikumu.
Unable to load invoice details,Nevar ielādēt rēķina informāciju
Unable to load parked order,Nevar ielādēt stāvošu pasūtījumu
Unable to load the selected sales order,Nevar ielādēt atlasīto pārdošanas pasūtījumu
Unable to prepare document,Nevar sagatavot dokumentu
Unable to prepare return invoice,Nevar sagatavot atgriešanas rēķinu
Unable to print draft invoice,Nevar izdrukāt rēķina melnrakstu
Unable to print submitted invoice,Nevar izdrukāt iesniegto rēķinu
Unable to process document action,Nevar apstrādāt dokumenta darbību
Unable to repair change allocation,Nevar labot izmaiņu piešķiršanu
Unable to save cashier PIN.,Nevar saglabāt kases PIN.
Unable to save the rate to the backend price list,Nevar saglabāt likmi aizmugursistēmas cenrādī
Unable to submit invoice,Nevar iesniegt rēķinu
Unable to submit the selected payment,Nevar iesniegt atlasīto maksājumu
Unable to top up gift card.,Nevar papildināt dāvanu karti.
Unable to verify cashier PIN.,Nevar pārbaudīt kases PIN.
Unallocated,Nepiešķirts
Unallocated:,Nepiešķirts:
Unavailable,Nav pieejams
Unknown,Nezināms
Unknown Item,Nezināms vienums
Unknown Warehouse,Nezināma noliktava
Unlock POS,Atbloķēt POS
Unpaid,Neapmaksāts
"Unselected payments stay unallocated first, then auto reconcile after submit.","Neatlasītie maksājumi vispirms paliek nepiešķirti, pēc tam tie tiek automātiski saskaņoti pēc iesniegšanas."
UOM,UOM
UOM not found,UOM nav atrasts
Update available,Pieejams atjauninājums
Update Customer,Atjauniniet klientu
Update PIN,Atjauniniet PIN
Update Price List Rate,Atjaunināt cenrāža likmi
Updated,Atjaunināts
Updates and app info that stay out of the cashier flow.,"Atjauninājumi un lietotņu informācija, kas neietilpst kasē."
Updates automatically,Atjaunina automātiski
Usage,Lietošana
Usage Stats,Lietošanas statistika
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,"Izmantojiet 4–8 ciparu PIN kodu, lai pārslēgtu kasieri un atbloķētu termināli."
Use Cashier,Izmantojiet kasi
Use date range to search for older invoices,"Izmantojiet datumu diapazonu, lai meklētu vecākus rēķinus"
"Use one field for manual code entry, barcode scans, or QR scans.","Izmantojiet vienu lauku manuālai koda ievadīšanai, svītrkoda skenēšanai vai QR skenēšanai."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Izmantojiet vienu darbplūsmu bilances pārbaudēm, jaunai emisijai un papildināšanai, neizejot no POS."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Izmantojiet šo sadaļu, ja kešatmiņā saglabātie priekšnosacījumu dati ir jāatsvaidzina, jāpārbūvē vai jāpārskata diagnostikai."
Use Western numerals,Izmantojiet rietumu ciparus
Used:,Lietots:
Using basic camera settings due to device limitations,Kameras pamata iestatījumu izmantošana ierīces ierobežojumu dēļ
Using cached customer balance,Kešatmiņā saglabātā klienta bilances izmantošana
Valid until,Derīgs līdz
Variance %,Novirze %
Variants,Varianti
Variant-wise,Variantu ziņā
Verify closing amounts for each payment method,Pārbaudiet katra maksājuma veida noslēguma summas
View all,Skatīt visu
View app information and current build details,Skatiet informāciju par lietotni un pašreizējo būvējuma informāciju
View Data Diagnostics,Skatīt datu diagnostiku
View Details,Skatīt detaļas
View invoice details,Skatīt rēķina informāciju
View notifications,Skatīt paziņojumus
View offline invoices,Skatiet bezsaistes rēķinus
View restricted POS insights,Skatiet ierobežotos POS ieskatus
Void Amount,Nederīgā summa
Void Count,Nederīgo skaits
Voids,Tukšumi
Waiting for cart items,Gaida groza preces
Waiting for payment...,Gaida maksājumu...
Walk-in Customer,Ieejas klients
Warehouse,Noliktava
Warning: High cache usage may affect performance.,Brīdinājums: liels kešatmiņas lietojums var ietekmēt veiktspēju.
Warning: High lag may indicate heavy processing or browser slowness.,Brīdinājums: liela aizkave var liecināt par intensīvu apstrādi vai pārlūkprogrammas lēnu darbību.
Week ?,nedēļa?
Week-wise,Nedēļas ziņā
Weight (g),Svars (g)
Weight (grams),Svars (gramos)
We'll let you know if an invoice fails to submit,"Ja rēķinu neizdosies iesniegt, mēs jūs informēsim"
Workflow,Darbplūsma
Write off amount cannot exceed the POS profile maximum of {0},Norakstīšanas summa nedrīkst pārsniegt POS profila maksimālo {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,"Norakstīšanas summa pārsniedz atļauto ierobežojumu ({0}). Lūdzu, pievienojiet maksājumu par atlikušo summu."
Yes,Jā
"Yes, Cancel sale","Jā, atcelt izpārdošanu"
"Yes, Close","Jā, aizvērt"
You are not allowed to print draft invoices,Jums nav atļauts drukāt rēķinu melnrakstus
You are offline. Add Payment will work again when the connection is restored.,"Jūs esat bezsaistē. Pievienot maksājumu atkal darbosies, kad savienojums tiks atjaunots."
You have no notifications right now,Jums pašlaik nav paziņojumu
Your Cart,Jūsu grozs
