POS Awesome,POS æðislegt
Showing 0 of 0,Sýnir 0 af 0
Shows the distribution of invoices per currency,Sýnir dreifingu reikninga á gjaldmiðil
Sign out of the current POS session,Skráðu þig út af núverandi POS lotu
Size:,Stærð:
Skipped Payments,Sleppt greiðslum
Skipping items without barcodes,Sleppir hlutum án strikamerkja
Slow Moving,Slow Moving
Slow Moving Items,Hægvirkir hlutir
Slow Queries:,Hægar fyrirspurnir:
Sold,Seldur
Source,Heimild
Source Cash Account (Optional Override),Upprunasjóðsreikningur (valfrjáls hnekking)
Source Ex. Rate:,Heimild Ex. Verð:
Source Rate:,Upprunahlutfall:
Specific Profile,Sérstakur prófíll
Split Invoices,Skiptir reikningum
Staff / Cashier Performance Report,Árangursskýrsla starfsfólks / gjaldkera
Status,Staða
Stock,Stock
Stock Information,Upplýsingar um hlutabréf
Stock is lower than requested,Birgðir eru minni en óskað var eftir
Stock is lower than requested:\n{0},Birgðir eru minni en beðið var um:\n{0}
Stock Movement Report,Hlutabréfahreyfingarskýrsla
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Lageruppfærsla: {0} hefur {1} tiltækt. Með því að bæta við {2} verður hlutabréfið undir núll.
Submit,Sendu inn
Submit & Print,Senda og prenta
Submit Deposit,Leggðu fram innborgun
Submit Expense,Sendu inn kostnað
Submitted,Lagt fram
Submitted Cash Movements,Lagðar fram peningahreyfingar
Submitted entries,Innsendar færslur
Successfully scanned:,Tókst að skanna:
Suggested,Lagt til
Suggested Qty,Ráðlagt magn
Supervisor Access,Aðgangur umsjónarmanns
Supervisor permissions unlock issuance and reloads,Leyfi umsjónarmanns opnar útgáfu og endurhleðsla
Supervisor Tools,Verkfæri umsjónarmanns
Supplier,Birgir
Supplier and dates are required.,Birgir og dagsetningar eru nauðsynlegar.
Supplier Invoices,Reikningar birgja
Supplier is required.,Birgir er krafist.
Supplier name is required,Nafn birgja er áskilið
Supplier Payments,Greiðslur birgja
Supplier Purchase Summary,Yfirlit birgjakaupa
Suppliers,Birgjar
Suppliers not found,Birgjar fundust ekki
Switch Camera,Skiptu um myndavél
Switch Cashier,Skiptu um gjaldkera
Switch the POS appearance theme,Skiptu um POS útlitsþema
Switched to:,Skipt yfir í:
Sync All Invoices,Samstilla alla reikninga
Sync Offline Cash Movements ({0}),Samstilla peningahreyfingar án nettengingar ({0})
Sync Offline Sales,Samstilltu sölu án nettengingar
Synced {0} offline cash movement(s).,Samstillt {0} ónettengda peningahreyfingar.
Syncing items in background,Samstillir atriði í bakgrunni
System / Diagnostics,Kerfi / Greining
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Kerfisaðgerðir eru lágtíðniviðhaldsstýringar eins og forritaupplýsingar, stuðningsgreiningar og lotustýringar."
System Information,Kerfisupplýsingar
System Status,Kerfisstaða
Tables:,Töflur:
Tap the button below to redeem a gift card during checkout.,Ýttu á hnappinn hér að neðan til að innleysa gjafakort við greiðslu.
Target,Markmið
Target Ex. Rate:,Markmið Ex. Verð:
Target Rate:,Markhlutfall:
Tax,Skattur
Tax / Charges Report,Skýrsla um skatta/gjöld
Tax Heads,Skattstjórar
Taxable Amount,Skattskyld upphæð
Tendered,Boðið út
Terminal,Flugstöð
Terminal & Devices,Flugstöð og tæki
Terminal locked,Flugstöð læst
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Útstöðvarverkfæri hafa áhrif á þessa afgreiðslustöð, skjái sem snúa að viðskiptavinum og framtíðarstýringar prentara/tækja."
Territory not found,Landsvæði fannst ekki
The amount paid is not complete,Upphæðin sem greidd er er ekki tæmandi
The app stores data locally for offline use. This is called cache.,Forritið geymir gögn á staðnum til notkunar án nettengingar. Þetta er kallað skyndiminni.
The invoice stayed in draft. Please review and submit it manually.,Reikningurinn stóð í drögum. Vinsamlegast skoðaðu og sendu það handvirkt.
The maximum discount allowed is,Leyfilegur hámarksafsláttur er
The quantity for {0} has been adjusted to the maximum available stock.,Magnið fyrir {0} hefur verið stillt að hámarksbirgðum.
The system could not retrieve the item details. Please try again.,Kerfið gat ekki sótt atriðisupplýsingarnar. Vinsamlegast reyndu aftur.
These invoices will be synced when connection is restored,Þessir reikningar verða samstilltir þegar tenging er endurheimt
This action now opens inside the settings workspace.,Þessi aðgerð opnast nú inni í stillingarvinnusvæðinu.
This coupon already used !,Þessi afsláttarmiði þegar notaður!
This invoice does not need change-allocation repair,Þessi reikningur þarfnast ekki breytinga-úthlutunarviðgerðar
This invoice is already repaired,Þessi reikningur hefur þegar verið lagfærður
This is an item template. Please choose a variant.,Þetta er vörusniðmát. Vinsamlegast veldu afbrigði.
this item,þetta atriði
This POS page could not be opened offline because its code was not cached on this terminal yet.,Ekki var hægt að opna þessa POS-síðu án nettengingar vegna þess að kóði hennar var ekki enn í skyndiminni á þessari flugstöð.
This Serial Number {0} has already been added!,Þessu raðnúmeri {0} hefur þegar verið bætt við!
Threshold,Þröskuldur
Time,Tími
Tip: Clear cache regularly to free up space and keep the app fast.,Ábending: Hreinsaðu skyndiminni reglulega til að losa um pláss og halda forritinu hratt.
Tip: Close unused tabs or apps to reduce lag.,Ábending: Lokaðu ónotuðum flipum eða forritum til að draga úr töf.
Tip: Monitor slow queries and table size for optimal performance.,Ábending: Fylgstu með hægum fyrirspurnum og töflustærð til að ná sem bestum árangri.
To Be Paid,Að fá greitt
To Date,Hingað til
Today,Í dag
Today Profit,Hagnaður í dag
Today Sales,Sala í dag
Toggle navigation drawer,Skiptu um leiðsöguskúffu
Toggle Theme,Skipta um þema
Tools,Verkfæri
Tools for customer-facing screens and terminal-specific actions.,Verkfæri fyrir skjái sem snúa að viðskiptavinum og sértækar aðgerðir fyrir flugstöðvar.
Top Brand,Topp vörumerki
Top Category,Efsti flokkur
Top Charge Head,Top Charge Head
Top Customers,Topp viðskiptavinir
Top Discount,Topp afsláttur
Top Items by Location,Helstu atriði eftir staðsetningu
Top Margin,Efsta framlegð
Top Pending,Efst í bið
Top Profit Item,Efsta hagnaðarhlutur
Top Return Items,Efstu skilavörur
Top Sales by Cashier,Toppsala hjá gjaldkera
Top Supplier,Topp birgir
Top Suppliers by Spend,Helstu birgjar eftir Spend
Top Tables,Efstu töflur
Top Tax Head,Efsti skattstjóri
Top Up Amount,Uppfyllingarupphæð
Top Up Card,Toppkort
Top Up Mode,Top Up Mode
Top Variant,Topp afbrigði
Total,Samtals
Total Amount,Heildarupphæð
Total Change,Heildarbreyting
Total Charges,Heildargjöld
Total In,Samtals inn
Total Invoices,Heildarreikningar
Total Items,Heildarhlutir
Total Mpesa,Heildar Mpesa
Total Out,Total Out
Total Payments,Heildargreiðslur
Total Purchase,Heildarkaup
Total Selected :,Samtals valið:
Total Size,Heildarstærð
Total Stock Qty,Heildarlagermagn
Total:,Samtals:
Totals by Invoice Currency,Samtölur eftir gjaldmiðli reiknings
Track how much cash was handed back to customers,Fylgstu með hversu mikið reiðufé var skilað til viðskiptavina
"Track recent sales, collect unpaid balances, and reopen saved work","Fylgstu með nýlegum sölum, safnaðu ógreiddum innistæðum og opnaðu vistað vinnu aftur"
Transaction ID,Auðkenni færslu
Transfer,Flytja
Try a different search term or clear the cart search.,Prófaðu annað leitarorð eða hreinsaðu körfuleitina.
Try adjusting your search or filters,Prófaðu að stilla leitina þína eða síur
Try another source or refresh the list.,Prófaðu aðra heimild eða endurnýjaðu listann.
Try changing the date range or status filter.,Prófaðu að breyta dagsetningarbilinu eða stöðusíu.
Type,Tegund
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,Ekki hægt að nálgast myndavélina jafnvel með grunnstillingum. Athugaðu heimildir myndavélarinnar og samhæfni tækisins.
Unable to add offer item {0}. Please refresh and try again.,Ekki er hægt að bæta við tilboðsvöru {0}. Endurnýjaðu og reyndu aftur.
Unable to add offer item. Please refresh and try again.,Ekki er hægt að bæta við tilboðsvöru. Endurnýjaðu og reyndu aftur.
Unable to add scanned item.,Ekki er hægt að bæta við skönnuðu atriði.
Unable to create purchase order,Ekki tókst að búa til innkaupapöntun
Unable to delete draft invoice,Ekki tókst að eyða reikningsdrögum
Unable to fetch documents,Ekki er hægt að sækja skjöl
Unable to fetch draft orders,Ekki er hægt að sækja drög að pöntunum
Unable to fetch invoice history,Ekki er hægt að sækja reikningsferil
Unable to fetch M-Pesa payments,Ekki er hægt að sækja M-Pesa greiðslur
Unable to fetch sales orders,Ekki er hægt að sækja sölupantanir
Unable to fetch unpaid invoices,Ekki er hægt að sækja ógreidda reikninga
Unable to generate scale barcode,Ekki tókst að búa til mælikvarða strikamerki
Unable to issue gift card.,Ekki er hægt að gefa út gjafakort.
Unable to load cashier PIN status.,Ekki tókst að hlaða PIN-númer gjaldkera.
Unable to load document,Ekki tókst að hlaða skjalinu
Unable to load draft invoice,Ekki tókst að hlaða reikningsdrögum
Unable to load gift card balance.,Ekki tókst að hlaða inneign gjafakorts.
Unable to load invoice details,Ekki tókst að hlaða reikningsupplýsingum
Unable to load parked order,Ekki er hægt að hlaða niður pöntun
Unable to load the selected sales order,Ekki tókst að hlaða valda sölupöntun
Unable to prepare document,Ekki hægt að útbúa skjal
Unable to prepare return invoice,Ekki er hægt að útbúa skilareikning
Unable to print draft invoice,Ekki er hægt að prenta reikningsdrög
Unable to print submitted invoice,Ekki er hægt að prenta innsendan reikning
Unable to process document action,Ekki tókst að vinna úr skjalaaðgerð
Unable to repair change allocation,Ekki er hægt að gera við breytingarúthlutun
Unable to save cashier PIN.,Ekki tókst að vista PIN-númer gjaldkera.
Unable to save the rate to the backend price list,Ekki tókst að vista verðið í verðskrá bakenda
Unable to submit invoice,Ekki er hægt að leggja fram reikning
Unable to submit the selected payment,Ekki tókst að senda inn valda greiðslu
Unable to top up gift card.,Ekki er hægt að fylla á gjafakort.
Unable to verify cashier PIN.,Ekki er hægt að staðfesta PIN-númer gjaldkera.
Unallocated,Óúthlutað
Unallocated:,Óúthlutað:
Unavailable,Ekki tiltækt
Unknown,Óþekkt
Unknown Item,Óþekkt atriði
Unknown Warehouse,Óþekkt vöruhús
Unlock POS,Opnaðu POS
Unpaid,Ógreitt
"Unselected payments stay unallocated first, then auto reconcile after submit.","Óvöldum greiðslum er óúthlutað fyrst, síðan samræmast sjálfkrafa eftir sendingu."
UOM,UOM
UOM not found,UOM fannst ekki
Update available,Uppfærsla í boði
Update Customer,Uppfærðu viðskiptavin
Update PIN,Uppfærðu PIN-númerið
Update Price List Rate,Uppfærðu verðskrárverð
Updated,Uppfært
Updates and app info that stay out of the cashier flow.,Uppfærslur og appupplýsingar sem haldast utan við gjaldkeraflæðið.
Updates automatically,Uppfærir sjálfkrafa
Usage,Notkun
Usage Stats,Notkunartölfræði
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Notaðu 4 til 8 stafa PIN-númer til að skipta um gjaldkera og opna flugstöðina.
Use Cashier,Notaðu gjaldkera
Use date range to search for older invoices,Notaðu tímabil til að leita að eldri reikningum
"Use one field for manual code entry, barcode scans, or QR scans.","Notaðu einn reit fyrir handvirka innslátt kóða, strikamerkjaskannanir eða QR skannanir."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Notaðu eitt verkflæði fyrir jafnvægisathugun, nýja útgáfu og áfyllingu án þess að fara úr POS."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Notaðu þennan hluta þegar skyndiminni forsenda gagna þarfnast endurnýjunar, endurbyggingar eða greiningarskoðunar."
Use Western numerals,Notaðu vestræna tölustafi
Used:,Notað:
Using basic camera settings due to device limitations,Notar grunnstillingar myndavélar vegna takmarkana á tækinu
Using cached customer balance,Notar inneign viðskiptavinar í skyndiminni
Valid until,Gildir til kl
Variance %,Frávik %
Variants,Afbrigði
Variant-wise,Afbrigðilega séð
Verify closing amounts for each payment method,Staðfestu lokaupphæðir fyrir hvern greiðslumáta
View all,Skoða allt
View app information and current build details,Skoðaðu upplýsingar um forrit og núverandi byggingarupplýsingar
View Data Diagnostics,Skoða gagnagreiningu
View Details,Skoða upplýsingar
View invoice details,Skoða reikningsupplýsingar
View notifications,Skoða tilkynningar
View offline invoices,Skoða reikninga án nettengingar
View restricted POS insights,Skoða takmarkaða POS innsýn
Void Amount,Ógild upphæð
Void Count,Ógild talning
Voids,Tómar
Waiting for cart items,Beðið eftir vörukörfu
Waiting for payment...,Beðið eftir greiðslu...
Walk-in Customer,Gangandi viðskiptavinur
Warehouse,Vöruhús
Warning: High cache usage may affect performance.,Viðvörun: Mikil skyndiminninotkun getur haft áhrif á frammistöðu.
Warning: High lag may indicate heavy processing or browser slowness.,Viðvörun: Mikil töf getur bent til mikillar vinnslu eða hægfara vafra.
Week ?,Vika?
Week-wise,Vikulega séð
Weight (g),Þyngd (g)
Weight (grams),Þyngd (grömm)
We'll let you know if an invoice fails to submit,Við látum þig vita ef reikningur mistekst
Workflow,Verkflæði
Write off amount cannot exceed the POS profile maximum of {0},Afskriftarupphæð má ekki fara yfir hámark POS prófíls sem er {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,Afskriftarupphæð fer yfir leyfilegt hámark ({0}). Vinsamlegast bættu við greiðslu fyrir þá upphæð sem eftir er.
Yes,Já
"Yes, Cancel sale","Já, hætta við sölu"
"Yes, Close","Já, Loka"
You are not allowed to print draft invoices,Ekki er heimilt að prenta drög að reikningum
You are offline. Add Payment will work again when the connection is restored.,Þú ert ótengdur. Bæta við greiðslu virkar aftur þegar tengingin er endurheimt.
You have no notifications right now,Þú hefur engar tilkynningar núna
Your Cart,Karfan þín
