POS Awesome,POS Чудово
Tip: Clear cache regularly to free up space and keep the app fast.,"Порада: регулярно очищайте кеш, щоб звільнити місце та забезпечити швидку роботу програми."
Tip: Close unused tabs or apps to reduce lag.,"Порада: закрийте невикористані вкладки або програми, щоб зменшити затримку."
Tip: Monitor slow queries and table size for optimal performance.,Порада: відстежуйте повільні запити та розмір таблиці для оптимальної продуктивності.
To Be Paid,На оплату
To Date,На сьогоднішній день
Today,Сьогодні
Today Profit,Сьогодні прибуток
Today Sales,Сьогодні Продажі
Toggle navigation drawer,Перемкнути панель навігації
Toggle Theme,Перемкнути тему
Tools,Інструменти
Tools for customer-facing screens and terminal-specific actions.,"Інструменти для екранів, які дивляться клієнти, і специфічних для терміналу дій."
Top Brand,Кращий бренд
Top Category,Верхня категорія
Top Charge Head,Верхня зарядна головка
Top Customers,Найкращі клієнти
Top Discount,Топ Знижка
Top Items by Location,Найпопулярніші товари за місцем розташування
Top Margin,Верхнє поле
Top Pending,Топ в очікуванні
Top Profit Item,Найвищий прибуток
Top Return Items,Найкращі товари для повернення
Top Sales by Cashier,Топ продажів за касиром
Top Supplier,Кращий постачальник
Top Suppliers by Spend,Найпопулярніші постачальники за витратами
Top Tables,Верхні таблиці
Top Tax Head,Головний керівник податкової
Top Up Amount,Сума поповнення
Top Up Card,Картка поповнення
Top Up Mode,Режим поповнення
Top Variant,Топовий варіант
Total,Всього
Total Amount,Загальна сума
Total Change,Повна зміна
Total Charges,Загальні витрати
Total In,Всього в
Total Invoices,Загальна кількість рахунків-фактур
Total Items,Всього елементів
Total Mpesa,Всього Мпеса
Total Out,Total Out
Total Payments,Загальна сума платежів
Total Purchase,Загальна покупка
Total Selected :,Усього вибрано:
Total Size,Загальний розмір
Total Stock Qty,Загальна кількість запасів
Total:,Всього:
Totals by Invoice Currency,Підсумки за валютою рахунку-фактури
Track how much cash was handed back to customers,"Відстежуйте, скільки готівки було повернуто клієнтам"
"Track recent sales, collect unpaid balances, and reopen saved work","Відстежуйте останні продажі, збирайте несплачені залишки та повторно відкривайте збережену роботу"
Transaction ID,Ідентифікатор транзакції
Transfer,Трансфер
Try a different search term or clear the cart search.,Спробуйте інший термін пошуку або очистіть пошук кошика.
Try adjusting your search or filters,Спробуйте налаштувати пошук або фільтри
Try another source or refresh the list.,Спробуйте інше джерело або оновіть список.
Try changing the date range or status filter.,Спробуйте змінити діапазон дат або фільтр статусу.
Type,Тип
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,Неможливо отримати доступ до камери навіть із базовими налаштуваннями. Перевірте дозволи камери та сумісність пристрою.
Unable to add offer item {0}. Please refresh and try again.,"Неможливо додати елемент пропозиції {0}. Будь ласка, оновіть і повторіть спробу."
Unable to add offer item. Please refresh and try again.,"Неможливо додати товар пропозиції. Будь ласка, оновіть і повторіть спробу."
Unable to add scanned item.,Не вдалося додати сканований елемент.
Unable to create purchase order,Неможливо створити замовлення на купівлю
Unable to delete draft invoice,Не вдалося видалити чернетку рахунка-фактури
Unable to fetch documents,Не вдалося отримати документи
Unable to fetch draft orders,Неможливо отримати проекти замовлень
Unable to fetch invoice history,Не вдалося отримати історію рахунків-фактур
Unable to fetch M-Pesa payments,Не вдалося отримати платежі M-Pesa
Unable to fetch sales orders,Не вдалося отримати замовлення на продаж
Unable to fetch unpaid invoices,Не вдалося отримати неоплачені рахунки-фактури
Unable to generate scale barcode,Не вдалося створити штрих-код ваги
Unable to issue gift card.,Неможливо випустити подарункову картку.
Unable to load cashier PIN status.,Неможливо завантажити PIN-код касира.
Unable to load document,Не вдалося завантажити документ
Unable to load draft invoice,Не вдалося завантажити чернетку рахунка-фактури
Unable to load gift card balance.,Не вдалося завантажити баланс подарункової картки.
Unable to load invoice details,Неможливо завантажити деталі рахунку-фактури
Unable to load parked order,Не вдалося завантажити припарковане замовлення
Unable to load the selected sales order,Не вдалося завантажити вибране замовлення на продаж
Unable to prepare document,Неможливо підготувати документ
Unable to prepare return invoice,Не вдалося підготувати рахунок-фактуру для повернення
Unable to print draft invoice,Неможливо надрукувати чернетку рахунка-фактури
Unable to print submitted invoice,Неможливо роздрукувати надісланий рахунок-фактуру
Unable to process document action,Неможливо обробити дію документа
Unable to repair change allocation,Неможливо відновити розподіл змін
Unable to save cashier PIN.,Не вдалося зберегти PIN-код касира.
Unable to save the rate to the backend price list,Не вдається зберегти курс у прайс-лист серверної частини
Unable to submit invoice,Неможливо надіслати рахунок-фактуру
Unable to submit the selected payment,Не вдалося здійснити вибраний платіж
Unable to top up gift card.,Не вдалося поповнити подарункову картку.
Unable to verify cashier PIN.,Не вдалося підтвердити PIN-код касира.
Unallocated,Нерозподілений
Unallocated:,Нерозподілений:
Unavailable,Недоступний
Unknown,Невідомий
Unknown Item,Невідомий предмет
Unknown Warehouse,Невідомий склад
Unlock POS,Розблокувати POS
Unpaid,Неоплачений
"Unselected payments stay unallocated first, then auto reconcile after submit.","Невибрані платежі спочатку залишаються нерозподіленими, а потім автоматично узгоджуються після надсилання."
UOM,УОМ
UOM not found,UOM не знайдено
Update available,Доступне оновлення
Update Customer,Оновити клієнта
Update PIN,Оновіть PIN-код
Update Price List Rate,Оновити ціну
Updated,Оновлено
Updates and app info that stay out of the cashier flow.,"Оновлення та інформація про програми, які залишаються поза касовим потоком."
Updates automatically,Оновлюється автоматично
Usage,Використання
Usage Stats,Статистика використання
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Використовуйте PIN-код від 4 до 8 цифр для перемикання касира та розблокування терміналу.
Use Cashier,Використовуйте Касу
Use date range to search for older invoices,Використовуйте діапазон дат для пошуку старіших рахунків-фактур
"Use one field for manual code entry, barcode scans, or QR scans.","Використовуйте одне поле для введення коду вручну, сканування штрих-коду або QR-сканування."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Використовуйте один робочий процес для перевірки балансу, нової видачі та поповнення, не виходячи з POS."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Використовуйте цей розділ, якщо кешовані попередні дані потребують оновлення, перебудови або перевірки діагностики."
Use Western numerals,Використовуйте західні цифри
Used:,Використовується:
Using basic camera settings due to device limitations,Використання основних налаштувань камери через обмеження пристрою
Using cached customer balance,Використання кешованого балансу клієнта
Valid until,Дійсний до
Variance %,Відхилення %
Variants,Варіанти
Variant-wise,Варіантно
Verify closing amounts for each payment method,Перевірте кінцеві суми для кожного способу оплати
View all,Переглянути всі
View app information and current build details,Перегляньте інформацію про програму та поточні деталі збірки
View Data Diagnostics,Переглянути діагностику даних
View Details,Переглянути деталі
View invoice details,Переглянути деталі рахунку-фактури
View notifications,Перегляд сповіщень
View offline invoices,Перегляд офлайн-рахунків-фактур
View restricted POS insights,Перегляд обмеженої статистики POS
Void Amount,Недійсна сума
Void Count,Підрахунок пустот
Voids,Пустоти
Waiting for cart items,Очікування товарів у кошику
Waiting for payment...,Очікування оплати...
Walk-in Customer,Вхідний клієнт
Warehouse,Склад
Warning: High cache usage may affect performance.,Попередження: велике використання кешу може вплинути на продуктивність.
Warning: High lag may indicate heavy processing or browser slowness.,Попередження: висока затримка може вказувати на важку обробку або повільність браузера.
Week ?,тиждень ?
Week-wise,Щотижня
Weight (g),Вага (г)
Weight (grams),Вага (грами)
We'll let you know if an invoice fails to submit,"Ми повідомимо вас, якщо не вдасться надіслати рахунок-фактуру"
Workflow,робочий процес
Write off amount cannot exceed the POS profile maximum of {0},Сума списання не може перевищувати максимум {0} для профілю POS
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,"Сума списання перевищує дозволений ліміт ({0}). Будь ласка, додайте платіж на решту суми."
Yes,так
"Yes, Cancel sale","Так, скасувати продаж"
"Yes, Close","Так, Закрити"
You are not allowed to print draft invoices,Ви не маєте права друкувати проекти рахунків-фактур
You are offline. Add Payment will work again when the connection is restored.,"Ви офлайн. Додати платіж знову запрацює, коли з’єднання буде відновлено."
You have no notifications right now,У вас зараз немає сповіщень
Your Cart,Ваш кошик
