POS Awesome,POS Igitangaje
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Imiterere itekanye (HTTPS) isabwa kugirango kamera igerweho. Nyamuneka koresha HTTPS kugirango ugere kuri kamera.
Select,Hitamo
Select a cashier first.,Banza uhitemo kashiire.
Select a customer,Hitamo umukiriya
Select a customer to use coupon,Hitamo umukiriya kugirango akoreshe coupon
Select a printer to use QZ silent printing.,Hitamo printer kugirango ukoreshe QZ icapiro ryicecekeye.
Select Batch,Hitamo Batch
Select Columns to Display,Hitamo Inkingi Kugaragaza
Select items to sell,Hitamo ibintu byo kugurisha
Select Payment,Hitamo Kwishura
Select Payment Account,Hitamo Konti yo Kwishura
Select printer,Hitamo printer
Select Return Invoice,Hitamo Inyemezabuguzi
Select S.O,Hitamo S.O.
Select Sales Orders,Hitamo amabwiriza yo kugurisha
Select the cashier who is taking over this terminal.,Hitamo kashi ufata iyi terminal.
Selected,Byahiswemo
Selected movement type is not allowed by POS Profile.,Ubwoko bwimodoka bwatoranijwe ntabwo byemewe na POS Umwirondoro.
Selected Payments,Ubwishyu bwatoranijwe
Sensitive actions kept away from quick taps.,Ibikorwa byiyumvo byirinze gukanda vuba.
Serial,Urukurikirane
Serial Numbers,Imibare ikurikirana
Server CPU Usage:,Seriveri CPU Ikoreshwa:
Server Health,Ubuzima bwa Serveri
Server Memory Usage:,Seriveri Yibukwa:
Server Metrics,Ibipimo bya seriveri
Server Uptime:,Seriveri Uptime:
Service Charges,Amafaranga ya serivisi
Session,Isomo
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,Shiraho buri mucungamutungo PIN muburyo bwabakoresha kandi ugumane abanyamuryango ba terminal bashinzwe muri POS Umwirondoro.
Settings,Igenamiterere
Settings in this section update the POS workspace without changing the current route.,Igenamiterere muri iki gice rivugurura umwanya wa POS udahinduye inzira igezweho.
Setup complete!,Gushiraho byuzuye!
Share,Sangira
Shared terminal,Igice gisangiwe
Shift Closed Snapshot,Hindura Ifoto Ifunze
Shift Overview,Incamake
Show,Erekana
Show cart on customer-facing screen,Erekana igare kuri ecran-ireba abakiriya
Show last invoice rate,Erekana igipimo cya fagitire yanyuma
Show rate info,Erekana igipimo cyamakuru
Show Repair Candidates,Erekana Abakandida Basana
Show search tools,Erekana ibikoresho by'ishakisha
Show the active cart on a customer-facing screen,Erekana igare rikora kuri ecran-ireba abakiriya
Showing {0}-{1} of {2},Kwerekana {0} - {1} ya {2}
Showing 0 of 0,Kwerekana 0 ya 0
Shows the distribution of invoices per currency,Erekana ikwirakwizwa rya fagitire ku ifaranga
Sign out of the current POS session,Sohora hanze ya POS isomo
Size:,Ingano:
Skipped Payments,Yasibye Kwishura
Skipping items without barcodes,Gusiba ibintu bidafite kode
Slow Moving,Buhoro Buhoro
Slow Moving Items,Buhoro Buhoro Ibintu
Slow Queries:,Buhoro Buhoro:
Sold,Igurishwa
Source,Inkomoko
Source Cash Account (Optional Override),Inkomoko y'amafaranga ya konte (Birenzeho)
Source Ex. Rate:,Inkomoko Ex. Igipimo:
Source Rate:,Igipimo cy'inkomoko:
Specific Profile,Umwirondoro wihariye
Split Invoices,Gutandukanya inyemezabuguzi
Staff / Cashier Performance Report,Raporo y'imikorere y'abakozi / Cashier
Status,Imiterere
Stock,Ububiko
Stock Information,Amakuru yimigabane
Stock is lower than requested,Ububiko buri munsi yibisabwa
Stock is lower than requested:\n{0},Ububiko buri munsi yibisabwa: \ n {0}
Stock Movement Report,Raporo yimigabane
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Kuvugurura ububiko: {0} ifite {1} irahari. Ongeraho {2} bizazana ububiko munsi ya zeru.
Submit,Tanga
Submit & Print,Tanga & Icapa
Submit Deposit,Tanga Kubitsa
Submit Expense,Tanga amafaranga
Submitted,Yatanzwe
Submitted Cash Movements,Kohereza amafaranga
Submitted entries,Byoherejwe
Successfully scanned:,Gusikana neza:
Suggested,Igitekerezo
Suggested Qty,Igitekerezo Qty
Supervisor Access,Kugenzura
Supervisor permissions unlock issuance and reloads,Uruhushya rwumugenzuzi rufungura itangwa na reloads
Supervisor Tools,Ibikoresho byo kugenzura
Supplier,Utanga isoko
Supplier and dates are required.,Utanga amatariki n'amatariki arakenewe.
Supplier Invoices,Inyemezabuguzi
Supplier is required.,Utanga isoko arakenewe.
Supplier name is required,Izina ryabatanga rirakenewe
Supplier Payments,Kwishura ibicuruzwa
Supplier Purchase Summary,Incamake yo kugura ibicuruzwa
Suppliers,Abatanga isoko
Suppliers not found,Abatanga isoko ntibabonetse
Switch Camera,Hindura Kamera
Switch Cashier,Hindura Cashier
Switch the POS appearance theme,Hindura insanganyamatsiko ya POS
Switched to:,Yahinduwe kuri:
Sync All Invoices,Guhuza inyemezabuguzi zose
Sync Offline Cash Movements ({0}),Guhuza Offline Amafaranga Yimuka ({0})
Sync Offline Sales,Guhuza kugurisha kumurongo
Synced {0} offline cash movement(s).,Guhuza {0} kumurongo wamafaranga (s).
Syncing items in background,Guhuza ibintu inyuma
System / Diagnostics,Sisitemu / Gusuzuma
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Ibikorwa bya sisitemu nubushobozi buke bwo kugenzura nkibisobanuro bya porogaramu, gushyigikira gusuzuma, no kugenzura amasomo."
System Information,Sisitemu Amakuru
System Status,Imiterere ya Sisitemu
Tables:,Imbonerahamwe:
Tap the button below to redeem a gift card during checkout.,Kanda buto hepfo kugirango ucungure ikarita yimpano mugihe cyo kugenzura.
Target,Intego
Target Ex. Rate:,Intego Ex. Igipimo:
Target Rate:,Igipimo cy'intego:
Tax,Umusoro
Tax / Charges Report,Raporo y'Imisoro / Amafaranga
Tax Heads,Abayobozi b'Imisoro
Taxable Amount,Amafaranga asoreshwa
Tendered,Amasoko
Terminal,Terminal
Terminal & Devices,Terminal & Ibikoresho
Terminal locked,Terminal ifunze
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Ibikoresho bya terefone bigira ingaruka kuri sitasiyo yo kugenzura, abakiriya-bareba ibyerekanwa, hamwe na printer / igikoresho kizaza."
Territory not found,Ifasi ntiyabonetse
The amount paid is not complete,Amafaranga yishyuwe ntabwo yuzuye
The app stores data locally for offline use. This is called cache.,Porogaramu ibika amakuru mugace kugirango ikoreshwe kumurongo. Ibi byitwa cache.
The invoice stayed in draft. Please review and submit it manually.,Inyemezabuguzi yagumye mu mbanzirizamushinga. Nyamuneka subiremo kandi utange intoki.
The maximum discount allowed is,Igabanywa ntarengwa ryemewe ni
The quantity for {0} has been adjusted to the maximum available stock.,Ingano ya {0} yahinduwe kuri stock ntarengwa iboneka.
The system could not retrieve the item details. Please try again.,Sisitemu ntishobora kugarura amakuru arambuye. Nyamuneka gerageza.
These invoices will be synced when connection is restored,Inyemezabuguzi zizahuzwa mugihe ihuza ryagaruwe
This action now opens inside the settings workspace.,Igikorwa noneho gifungura imbere mumikorere yumwanya.
This coupon already used !,Iyi talon imaze gukoreshwa!
This invoice does not need change-allocation repair,Inyemezabuguzi ntikeneye gusanwa-kugabana
This invoice is already repaired,Inyemezabuguzi yamaze gusanwa
This is an item template. Please choose a variant.,Nicyitegererezo. Nyamuneka hitamo impinduka.
this item,iyi ngingo
This POS page could not be opened offline because its code was not cached on this terminal yet.,Uru rupapuro rwa POS ntirushobora gufungurwa kumurongo kubera ko code yarwo itigeze ibikwa kuri iyi terminal.
This Serial Number {0} has already been added!,Iyi Serial Numero {0} yamaze kongerwaho!
Threshold,Imipaka
Time,Igihe
Tip: Clear cache regularly to free up space and keep the app fast.,Inama: Kuraho cache buri gihe kugirango ubone umwanya kandi ukomeze porogaramu vuba.
Tip: Close unused tabs or apps to reduce lag.,Inama: Funga tabs cyangwa porogaramu zidakoreshwa kugirango ugabanye gutinda.
Tip: Monitor slow queries and table size for optimal performance.,Impanuro: Kurikirana ibibazo bitinda nubunini bwimbonerahamwe kugirango bikore neza.
To Be Paid,Kwishyurwa
To Date,Itariki
Today,Uyu munsi
Today Profit,Uyu munsi Inyungu
Today Sales,Uyu munsi Kugurisha
Toggle navigation drawer,Toggle yogushushanya
Toggle Theme,Toggle Insanganyamatsiko
Tools,Ibikoresho
Tools for customer-facing screens and terminal-specific actions.,Ibikoresho kubakiriya-bareba ecran hamwe nibikorwa byihariye.
Top Brand,Ikirango cyo hejuru
Top Category,Icyiciro cyo hejuru
Top Charge Head,Umutwe wo hejuru
Top Customers,Abakiriya bo hejuru
Top Discount,Kugabanuka hejuru
Top Items by Location,Ibintu byo hejuru ukurikije aho biherereye
Top Margin,Hejuru
Top Pending,Hejuru
Top Profit Item,Ikintu cyo hejuru cyunguka
Top Return Items,Ibintu byo kugaruka hejuru
Top Sales by Cashier,Igurishwa rya mbere na Cashier
Top Supplier,Isoko ryo hejuru
Top Suppliers by Spend,Abatanga Isoko rya mbere ukoresheje
Top Tables,Imbonerahamwe yo hejuru
Top Tax Head,Umuyobozi mukuru wimisoro
Top Up Amount,Hejuru Hejuru Amafaranga
Top Up Card,Ikarita yo hejuru
Top Up Mode,Uburyo bwo hejuru
Top Variant,Impinduka zo hejuru
Total,Igiteranyo
Total Amount,Umubare wose
Total Change,Impinduka zose
Total Charges,Amafaranga yose
Total In,Byose Muri
Total Invoices,Inyemezabuguzi zose
Total Items,Ibintu byose
Total Mpesa,Mpesa yose
Total Out,Byose
Total Payments,Amafaranga yose yishyuwe
Total Purchase,Kugura Byose
Total Selected :,Byose byatoranijwe:
Total Size,Ingano yose
Total Stock Qty,Umubare wuzuye Qty
Total:,Igiteranyo:
Totals by Invoice Currency,Amafaranga yose hamwe na fagitire
Track how much cash was handed back to customers,Kurikirana umubare w'amafaranga yasubijwe abakiriya
"Track recent sales, collect unpaid balances, and reopen saved work","Kurikirana ibicuruzwa biherutse, gukusanya amafaranga atishyuwe, no gufungura imirimo wabitswe"
Transaction ID,Indangamuntu
Transfer,Kwimura
Try a different search term or clear the cart search.,Gerageza ijambo ritandukanye cyangwa ushakishe igare.
Try adjusting your search or filters,Gerageza guhindura ubushakashatsi bwawe cyangwa muyungurura
Try another source or refresh the list.,Gerageza indi soko cyangwa kuvugurura urutonde.
Try changing the date range or status filter.,Gerageza guhindura itariki urwego cyangwa imiterere ya filteri.
Type,Andika
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,Ntushobora kugera kuri kamera niyo igenamiterere ryibanze. Nyamuneka reba uruhushya rwa kamera hamwe nibikoresho bihuye.
Unable to add offer item {0}. Please refresh and try again.,Ntushobora kongeramo ibintu {0}. Nyamuneka reba kandi ugerageze.
Unable to add offer item. Please refresh and try again.,Ntushobora kongeramo ikintu. Nyamuneka reba kandi ugerageze.
Unable to add scanned item.,Ntushobora kongeramo ikintu cyerekanwe.
Unable to create purchase order,Ntibishobora gukora gahunda yo kugura
Unable to delete draft invoice,Ntushobora gusiba inyemezabuguzi
Unable to fetch documents,Ntibishobora kuzana inyandiko
Unable to fetch draft orders,Ntibishobora kuzana umushinga wibyateganijwe
Unable to fetch invoice history,Ntibishobora kuzana amateka ya fagitire
Unable to fetch M-Pesa payments,Ntibishobora kuzana ubwishyu bwa M-Pesa
Unable to fetch sales orders,Ntibishobora kuzana ibicuruzwa byo kugurisha
Unable to fetch unpaid invoices,Ntushobora kuzana inyemezabuguzi zitishyuwe
Unable to generate scale barcode,Ntibishobora kubyara igipimo kode
Unable to issue gift card.,Ntushobora gutanga ikarita yimpano.
Unable to load cashier PIN status.,Ntushobora gupakira kashi ya PIN imiterere.
Unable to load document,Ntushobora gupakira inyandiko
Unable to load draft invoice,Ntushobora gupakira inyemezabuguzi
Unable to load gift card balance.,Ntushobora gupakira ikarita yimpano.
Unable to load invoice details,Ntushobora gupakira inyemezabuguzi
Unable to load parked order,Ntushobora gupakira gahunda ihagaze
Unable to load the selected sales order,Ntushobora gupakira ibicuruzwa byatoranijwe
Unable to prepare document,Ntushobora gutegura inyandiko
Unable to prepare return invoice,Ntushobora gutegura inyemezabuguzi yo kugaruka
Unable to print draft invoice,Ntushobora gucapa inyemezabuguzi
Unable to print submitted invoice,Ntushobora gucapa inyemezabuguzi yatanzwe
Unable to process document action,Ntibishobora gutunganya inyandiko yibikorwa
Unable to repair change allocation,Ntibishobora gusana impinduka zagabanijwe
Unable to save cashier PIN.,Ntushobora kuzigama amafaranga PIN.
Unable to save the rate to the backend price list,Ntushobora kubika igipimo kurutonde rwibiciro byinyuma
Unable to submit invoice,Ntushobora gutanga inyemezabuguzi
Unable to submit the selected payment,Ntushobora gutanga ubwishyu bwatoranijwe
Unable to top up gift card.,Ntushobora kuzuza ikarita yimpano.
Unable to verify cashier PIN.,Ntibishobora kugenzura cashier PIN.
Unallocated,Ntibagabanijwe
Unallocated:,Ntibagabanijwe:
Unavailable,Ntibishoboka
Unknown,Ntazwi
Unknown Item,Ikintu kitazwi
Unknown Warehouse,Ububiko butazwi
Unlock POS,Fungura POS
Unpaid,Yishyuwe
"Unselected payments stay unallocated first, then auto reconcile after submit.","Ubwishyu butatoranijwe bugumaho mbere, hanyuma imodoka yiyunge nyuma yo gutanga."
UOM,UOM
UOM not found,UOM ntabwo yabonetse
Update available,Kuvugurura birahari
Update Customer,Kuvugurura umukiriya
Update PIN,Kuvugurura PIN
Update Price List Rate,Kuvugurura Igiciro Urutonde
Updated,Yavuguruwe
Updates and app info that stay out of the cashier flow.,Kuvugurura hamwe namakuru ya porogaramu ataguma hanze ya cashier.
Updates automatically,Kuvugurura mu buryo bwikora
Usage,Ikoreshwa
Usage Stats,Imibare ikoreshwa
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Koresha imibare 4 kugeza kuri 8 PIN kugirango uhindure cashier no gufungura terminal.
Use Cashier,Koresha Cashier
Use date range to search for older invoices,Koresha itariki kugirango ushakishe inyemezabuguzi zishaje
"Use one field for manual code entry, barcode scans, or QR scans.","Koresha umurima umwe kugirango wandike intoki, scan ya barcode, cyangwa QR scan."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Koresha urujya n'uruza rw'akazi kuringaniza igenzura, gusohora gushya, no hejuru hejuru utaretse POS."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Koresha iki gice mugihe cashe yamakuru asabwa akeneye gusubirwamo, kwiyubaka, cyangwa gusuzuma."
Use Western numerals,Koresha imibare y'Iburengerazuba
Used:,Byakoreshejwe:
Using basic camera settings due to device limitations,Gukoresha kamera yibanze ya kamera kubera ubushobozi bwibikoresho
Using cached customer balance,Gukoresha uburinganire bwabakiriya
Valid until,Byemewe kugeza
Variance %,Itandukaniro%
Variants,Ibihinduka
Variant-wise,Binyuranye
Verify closing amounts for each payment method,Kugenzura amafaranga yo gufunga kuri buri buryo bwo kwishyura
View all,Reba byose
View app information and current build details,Reba amakuru ya porogaramu nibisobanuro byubaka
View Data Diagnostics,Reba Gusuzuma Ibyatanzwe
View Details,Reba Ibisobanuro
View invoice details,Reba inyemezabuguzi
View notifications,Reba imenyesha
View offline invoices,Reba inyemezabuguzi zo kuri interineti
View restricted POS insights,Reba ubushishozi bwa POS
Void Amount,Umubare wubusa
Void Count,Kubara ubusa
Voids,Ubusa
Waiting for cart items,Gutegereza ibintu byikarita
Waiting for payment...,Gutegereza kwishyura ...
Walk-in Customer,Kugenda-Umukiriya
Warehouse,Ububiko
Warning: High cache usage may affect performance.,Icyitonderwa: Gukoresha cache nyinshi bishobora guhindura imikorere.
Warning: High lag may indicate heavy processing or browser slowness.,Icyitonderwa: Gutinda cyane birashobora kwerekana gutunganya cyane cyangwa gutinda kwa mushakisha.
Week ?,Icyumweru?
Week-wise,Icyumweru
Weight (g),Ibiro (g)
Weight (grams),Uburemere (garama)
We'll let you know if an invoice fails to submit,Tuzakumenyesha niba inyemezabuguzi yananiwe gutanga
Workflow,Urupapuro rw'akazi
Write off amount cannot exceed the POS profile maximum of {0},Andika amafaranga ntashobora kurenza umwirondoro wa POS ntarengwa {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,Kwandika amafaranga arenze imipaka yemerewe ({0}). Nyamuneka ongeraho ubwishyu kumafaranga asigaye.
Yes,Yego
"Yes, Cancel sale","Nibyo, Hagarika kugurisha"
"Yes, Close","Yego, Funga"
You are not allowed to print draft invoices,Ntiwemerewe gucapa inyemezabuguzi
You are offline. Add Payment will work again when the connection is restored.,Nturi kumurongo. Ongeraho Kwishura bizongera gukora mugihe ihuza ryagaruwe.
You have no notifications right now,Nta matangazo ufite ubu
Your Cart,Igare ryawe
