POS Awesome,POS Świetne
Setup complete!,Konfiguracja ukończona!
Share,Udostępnij
Shared terminal,Wspólny terminal
Shift Closed Snapshot,Shift Zamknięta migawka
Shift Overview,Przegląd zmian
Show,Pokaż
Show cart on customer-facing screen,Pokaż koszyk na ekranie skierowanym do klienta
Show last invoice rate,Pokaż stawkę z ostatniej faktury
Show rate info,Pokaż informacje o stawkach
Show Repair Candidates,Pokaż kandydatów do naprawy
Show search tools,Pokaż narzędzia wyszukiwania
Show the active cart on a customer-facing screen,Pokaż aktywny koszyk na ekranie skierowanym do klienta
Showing {0}-{1} of {2},Wyświetlanie {0}-{1} z {2}
Showing 0 of 0,Wyświetlanie 0 z 0
Shows the distribution of invoices per currency,Pokazuje rozkład faktur według waluty
Sign out of the current POS session,Wyloguj się z bieżącej sesji punktu sprzedaży
Size:,Rozmiar:
Skipped Payments,Pominięte płatności
Skipping items without barcodes,Pomijanie pozycji bez kodów kreskowych
Slow Moving,Powolne poruszanie się
Slow Moving Items,Wolno poruszające się przedmioty
Slow Queries:,Powolne zapytania:
Sold,Sprzedane
Source,Źródło
Source Cash Account (Optional Override),Źródłowe konto pieniężne (opcjonalne zastąpienie)
Source Ex. Rate:,Źródło np. Oceń:
Source Rate:,Szybkość źródłowa:
Specific Profile,Konkretny profil
Split Invoices,Podzielone faktury
Staff / Cashier Performance Report,Raport wydajności personelu/kasjera
Status,Stan
Stock,Zapas
Stock Information,Informacje o zapasach
Stock is lower than requested,Zapasy są mniejsze niż żądano
Stock is lower than requested:\n{0},Zapasy są mniejsze niż wymagane:\n{0}
Stock Movement Report,Raport o ruchu zapasów
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Aktualizacja zapasów: {0} ma dostępne {1}. Dodanie {2} spowoduje spadek zapasów poniżej zera.
Submit,Składać
Submit & Print,Prześlij i wydrukuj
Submit Deposit,Prześlij depozyt
Submit Expense,Prześlij wydatek
Submitted,Przesłane
Submitted Cash Movements,Przesłane przepływy pieniężne
Submitted entries,Przesłane wpisy
Successfully scanned:,Pomyślnie przeskanowano:
Suggested,Sugerowane
Suggested Qty,Sugerowana ilość
Supervisor Access,Dostęp nadzorcy
Supervisor permissions unlock issuance and reloads,Uprawnienia nadzorcy odblokowują wydawanie i przeładowania
Supervisor Tools,Narzędzia nadzorcy
Supplier,Dostawca
Supplier and dates are required.,Dostawca i daty są wymagane.
Supplier Invoices,Faktury dostawcy
Supplier is required.,Dostawca jest wymagany.
Supplier name is required,Nazwa dostawcy jest wymagana
Supplier Payments,Płatności Dostawców
Supplier Purchase Summary,Podsumowanie zakupów dostawcy
Suppliers,Dostawcy
Suppliers not found,Nie znaleziono dostawców
Switch Camera,Przełącz kamerę
Switch Cashier,Zmień kasjera
Switch the POS appearance theme,Zmień motyw wyglądu POS
Switched to:,Przełączono na:
Sync All Invoices,Synchronizuj wszystkie faktury
Sync Offline Cash Movements ({0}),Synchronizuj przepływy pieniężne offline ({0})
Sync Offline Sales,Synchronizuj sprzedaż offline
Synced {0} offline cash movement(s).,Zsynchronizowano przepływy pieniężne w trybie offline ({0}).
Syncing items in background,Synchronizowanie elementów w tle
System / Diagnostics,System/Diagnostyka
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Działania systemowe to kontrole konserwacji o niskiej częstotliwości, takie jak informacje o aplikacji, diagnostyka pomocy technicznej i kontrola sesji."
System Information,Informacje o systemie
System Status,Stan systemu
Tables:,Tabele:
Tap the button below to redeem a gift card during checkout.,"Naciśnij poniższy przycisk, aby zrealizować kartę podarunkową podczas realizacji transakcji."
Target,Cel
Target Ex. Rate:,Celuj np. Oceń:
Target Rate:,Docelowa stawka:
Tax,Podatek
Tax / Charges Report,Raport dotyczący podatków/opłat
Tax Heads,Szefowie podatków
Taxable Amount,Kwota podlegająca opodatkowaniu
Tendered,Przetarg
Terminal,Terminal
Terminal & Devices,Terminale i urządzenia
Terminal locked,Terminal zablokowany
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Narzędzia terminalowe wpływają na stanowisko kasowe, wyświetlacze skierowane do klienta i przyszłe elementy sterujące drukarkami/urządzeniami."
Territory not found,Nie znaleziono terytorium
The amount paid is not complete,Zapłacona kwota nie jest kompletna
The app stores data locally for offline use. This is called cache.,Aplikacja przechowuje dane lokalnie do użytku w trybie offline. Nazywa się to pamięcią podręczną.
The invoice stayed in draft. Please review and submit it manually.,Faktura pozostała w wersji roboczej. Sprawdź i prześlij go ręcznie.
The maximum discount allowed is,Maksymalna dozwolona zniżka wynosi
The quantity for {0} has been adjusted to the maximum available stock.,Ilość dla {0} została dostosowana do maksymalnego dostępnego zapasu.
The system could not retrieve the item details. Please try again.,System nie mógł pobrać szczegółów pozycji. Spróbuj ponownie.
These invoices will be synced when connection is restored,Faktury te zostaną zsynchronizowane po przywróceniu połączenia
This action now opens inside the settings workspace.,Ta akcja otwiera się teraz w obszarze roboczym ustawień.
This coupon already used !,Ten kupon został już wykorzystany!
This invoice does not need change-allocation repair,Ta faktura nie wymaga naprawy alokacji zmian
This invoice is already repaired,Ta faktura została już naprawiona
This is an item template. Please choose a variant.,To jest szablon elementu. Proszę wybrać wariant.
this item,ten przedmiot
This POS page could not be opened offline because its code was not cached on this terminal yet.,"Nie można otworzyć tej strony punktu sprzedaży w trybie offline, ponieważ jej kod nie został jeszcze zapisany w pamięci podręcznej na tym terminalu."
This Serial Number {0} has already been added!,Ten numer seryjny {0} został już dodany!
Threshold,Próg
Time,Czas
Tip: Clear cache regularly to free up space and keep the app fast.,"Wskazówka: regularnie czyść pamięć podręczną, aby zwolnić miejsce i zapewnić szybkość działania aplikacji."
Tip: Close unused tabs or apps to reduce lag.,"Wskazówka: zamknij nieużywane karty lub aplikacje, aby zmniejszyć opóźnienia."
Tip: Monitor slow queries and table size for optimal performance.,"Wskazówka: Monitoruj powolne zapytania i rozmiar tabeli, aby uzyskać optymalną wydajność."
To Be Paid,Do zapłaty
To Date,Do tej pory
Today,Dzisiaj
Today Profit,Dziś Zysk
Today Sales,Dzisiaj sprzedaż
Toggle navigation drawer,Przełącz szufladę nawigacji
Toggle Theme,Przełącz motyw
Tools,Narzędzia
Tools for customer-facing screens and terminal-specific actions.,Narzędzia do ekranów skierowanych do klienta i działań specyficznych dla terminala.
Top Brand,Najlepsza marka
Top Category,Najlepsza kategoria
Top Charge Head,Górna głowica ładująca
Top Customers,Najlepsi klienci
Top Discount,Najwyższy rabat
Top Items by Location,Najpopularniejsze pozycje według lokalizacji
Top Margin,Górny margines
Top Pending,Najlepsze oczekujące
Top Profit Item,Pozycja generująca największy zysk
Top Return Items,Najczęściej zwracane przedmioty
Top Sales by Cashier,Najlepsza sprzedaż według kasjera
Top Supplier,Najlepszy dostawca
Top Suppliers by Spend,Najlepsi dostawcy według wydatków
Top Tables,Najlepsze stoły
Top Tax Head,Najwyższy szef podatków
Top Up Amount,Kwota doładowania
Top Up Card,Doładuj kartę
Top Up Mode,Tryb doładowania
Top Variant,Najlepszy wariant
Total,Razem
Total Amount,Całkowita kwota
Total Change,Całkowita zmiana
Total Charges,Suma opłat
Total In,Razem w
Total Invoices,Suma faktur
Total Items,Łączna liczba elementów
Total Mpesa,Razem Mpesa
Total Out,Całkowite wyjście
Total Payments,Suma płatności
Total Purchase,Całkowity zakup
Total Selected :,Razem wybrane:
Total Size,Całkowity rozmiar
Total Stock Qty,Całkowita ilość zapasów
Total:,Razem:
Totals by Invoice Currency,Sumy według waluty faktury
Track how much cash was handed back to customers,"Śledź, ile gotówki zostało zwróconych klientom"
"Track recent sales, collect unpaid balances, and reopen saved work","Śledź ostatnią sprzedaż, zbieraj niezapłacone salda i ponownie otwieraj zapisaną pracę"
Transaction ID,Identyfikator transakcji
Transfer,Przeniesienie
Try a different search term or clear the cart search.,Wypróbuj inne wyszukiwane hasło lub wyczyść wyszukiwanie w koszyku.
Try adjusting your search or filters,Spróbuj dostosować wyszukiwanie lub filtry
Try another source or refresh the list.,Wypróbuj inne źródło lub odśwież listę.
Try changing the date range or status filter.,Spróbuj zmienić zakres dat lub filtr stanu.
Type,Wpisz
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,Nie można uzyskać dostępu do kamery nawet przy podstawowych ustawieniach. Sprawdź uprawnienia aparatu i kompatybilność urządzenia.
Unable to add offer item {0}. Please refresh and try again.,Nie można dodać pozycji oferty {0}. Odśwież i spróbuj ponownie.
Unable to add offer item. Please refresh and try again.,Nie można dodać pozycji oferty. Odśwież i spróbuj ponownie.
Unable to add scanned item.,Nie można dodać zeskanowanego elementu.
Unable to create purchase order,Nie można utworzyć zamówienia zakupu
Unable to delete draft invoice,Nie można usunąć wersji roboczej faktury
Unable to fetch documents,Nie można pobrać dokumentów
Unable to fetch draft orders,Nie można pobrać wersji roboczej zamówień
Unable to fetch invoice history,Nie można pobrać historii faktur
Unable to fetch M-Pesa payments,Nie można pobrać płatności M-Pesa
Unable to fetch sales orders,Nie można pobrać zamówień sprzedaży
Unable to fetch unpaid invoices,Nie można pobrać niezapłaconych faktur
Unable to generate scale barcode,Nie można wygenerować kodu kreskowego skali
Unable to issue gift card.,Nie można wystawić karty upominkowej.
Unable to load cashier PIN status.,Nie można wczytać statusu PIN-u kasjera.
Unable to load document,Nie można załadować dokumentu
Unable to load draft invoice,Nie można wczytać wersji roboczej faktury
Unable to load gift card balance.,Nie można załadować salda karty podarunkowej.
Unable to load invoice details,Nie można wczytać szczegółów faktury
Unable to load parked order,Nie można załadować zaparkowanego zamówienia
Unable to load the selected sales order,Nie można załadować wybranego zamówienia sprzedaży
Unable to prepare document,Nie można przygotować dokumentu
Unable to prepare return invoice,Nie można przygotować faktury zwrotnej
Unable to print draft invoice,Nie można wydrukować wersji roboczej faktury
Unable to print submitted invoice,Nie można wydrukować przesłanej faktury
Unable to process document action,Nie można przetworzyć akcji dotyczącej dokumentu
Unable to repair change allocation,Nie można naprawić alokacji zmian
Unable to save cashier PIN.,Nie można zapisać kodu PIN kasjera.
Unable to save the rate to the backend price list,Nie można zapisać stawki w cenniku zaplecza
Unable to submit invoice,Nie można przesłać faktury
Unable to submit the selected payment,Nie można przesłać wybranej płatności
Unable to top up gift card.,Nie można doładować karty upominkowej.
Unable to verify cashier PIN.,Nie można zweryfikować kodu PIN kasjera.
Unallocated,Nieprzydzielone
Unallocated:,Nieprzydzielone:
Unavailable,Niedostępne
Unknown,Nieznany
Unknown Item,Nieznany element
Unknown Warehouse,Nieznany magazyn
Unlock POS,Odblokuj punkt sprzedaży
Unpaid,Niezapłacone
"Unselected payments stay unallocated first, then auto reconcile after submit.","Niewybrane płatności pozostają najpierw nieprzydzielone, a następnie są automatycznie uzgadniane po przesłaniu."
UOM,UOM
UOM not found,Nie znaleziono UOM
Update available,Dostępna aktualizacja
Update Customer,Zaktualizuj klienta
Update PIN,Zaktualizuj PIN
Update Price List Rate,Aktualizuj stawkę cennika
Updated,Zaktualizowano
Updates and app info that stay out of the cashier flow.,"Aktualizacje i informacje o aplikacjach, które pozostają poza przepływem kasjera."
Updates automatically,Aktualizuje się automatycznie
Usage,Użycie
Usage Stats,Statystyki użytkowania
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Do przełączania kasjerów i odblokowywania terminala używaj kodu PIN o długości od 4 do 8 cyfr.
Use Cashier,Skorzystaj z Kasjera
Use date range to search for older invoices,"Użyj zakresu dat, aby wyszukać starsze faktury"
"Use one field for manual code entry, barcode scans, or QR scans.","Użyj jednego pola do ręcznego wprowadzania kodu, skanowania kodów kreskowych lub skanów QR."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Użyj jednego przepływu pracy do sprawdzania salda, nowych wydań i doładowań bez opuszczania punktu sprzedaży."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Skorzystaj z tej sekcji, jeśli buforowane dane wymagań wstępnych wymagają odświeżenia, przebudowania lub przeglądu diagnostycznego."
Use Western numerals,Użyj cyfr zachodnich
Used:,Używane:
Using basic camera settings due to device limitations,Korzystanie z podstawowych ustawień aparatu ze względu na ograniczenia urządzenia
Using cached customer balance,Korzystanie z buforowanego salda klienta
Valid until,Ważne do
Variance %,Wariancja%
Variants,Warianty
Variant-wise,Wariantowo
Verify closing amounts for each payment method,Sprawdź kwoty zamknięcia dla każdej metody płatności
View all,Zobacz wszystkie
View app information and current build details,Wyświetl informacje o aplikacji i szczegóły bieżącej kompilacji
View Data Diagnostics,Wyświetl diagnostykę danych
View Details,Zobacz szczegóły
View invoice details,Wyświetl szczegóły faktury
View notifications,Wyświetl powiadomienia
View offline invoices,Przeglądaj faktury offline
View restricted POS insights,Wyświetl ograniczone statystyki punktów sprzedaży
Void Amount,Nieważna kwota
Void Count,Liczba pustych miejsc
Voids,Pustki
Waiting for cart items,Czekam na produkty z koszyka
Waiting for payment...,Oczekiwanie na płatność...
Walk-in Customer,Klient stacjonarny
Warehouse,Magazyn
Warning: High cache usage may affect performance.,Ostrzeżenie: duże użycie pamięci podręcznej może mieć wpływ na wydajność.
Warning: High lag may indicate heavy processing or browser slowness.,Ostrzeżenie: duże opóźnienie może wskazywać na intensywne przetwarzanie lub powolność przeglądarki.
Week ?,Tydzień ?
Week-wise,Tygodniowo
Weight (g),Waga (g)
Weight (grams),Waga (gramy)
We'll let you know if an invoice fails to submit,"Jeśli faktura nie zostanie przesłana, powiadomimy Cię"
Workflow,Przepływ pracy
Write off amount cannot exceed the POS profile maximum of {0},Kwota odpisu nie może przekroczyć maksymalnej wartości profilu POS wynoszącej {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,Kwota odpisu przekracza dozwolony limit ({0}). Proszę o doliczenie pozostałej kwoty.
Yes,Tak
"Yes, Cancel sale","Tak, anuluj sprzedaż"
"Yes, Close","Tak, Zamknij"
You are not allowed to print draft invoices,Nie wolno drukować wersji roboczych faktur
You are offline. Add Payment will work again when the connection is restored.,Jesteś offline. Dodaj płatność będzie działać ponownie po przywróceniu połączenia.
You have no notifications right now,W tej chwili nie masz żadnych powiadomień
Your Cart,Twój koszyk
