POS Awesome,POS Hebat
Supervisor Tools,Alatan Penyelia
Supplier,Pembekal
Supplier and dates are required.,Pembekal dan tarikh diperlukan.
Supplier Invoices,Invois Pembekal
Supplier is required.,Pembekal diperlukan.
Supplier name is required,Nama pembekal diperlukan
Supplier Payments,Bayaran Pembekal
Supplier Purchase Summary,Ringkasan Pembelian Pembekal
Suppliers,Pembekal
Suppliers not found,Pembekal tidak ditemui
Switch Camera,Tukar Kamera
Switch Cashier,Tukar Juruwang
Switch the POS appearance theme,Tukar tema penampilan POS
Switched to:,Bertukar kepada:
Sync All Invoices,Segerakkan Semua Invois
Sync Offline Cash Movements ({0}),Segerakkan Pergerakan Tunai Luar Talian ({0})
Sync Offline Sales,Segerakkan Jualan Luar Talian
Synced {0} offline cash movement(s).,{0} pergerakan tunai luar talian disegerakkan.
Syncing items in background,Menyegerakkan item di latar belakang
System / Diagnostics,Sistem / Diagnostik
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Tindakan sistem ialah kawalan penyelenggaraan frekuensi rendah seperti maklumat apl, diagnostik sokongan dan kawalan sesi."
System Information,Maklumat Sistem
System Status,Status Sistem
Tables:,Jadual:
Tap the button below to redeem a gift card during checkout.,Ketik butang di bawah untuk menebus kad hadiah semasa daftar keluar.
Target,Sasaran
Target Ex. Rate:,Sasaran Cth. Kadar:
Target Rate:,Kadar Sasaran:
Tax,Cukai
Tax / Charges Report,Laporan Cukai / Caj
Tax Heads,Ketua Cukai
Taxable Amount,Amaun Bercukai
Tendered,Tender
Terminal,Terminal
Terminal & Devices,Terminal & Peranti
Terminal locked,Terminal dikunci
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Alat terminal mempengaruhi stesen pembayaran ini, paparan menghadap pelanggan dan kawalan pencetak/peranti masa hadapan."
Territory not found,Wilayah tidak ditemui
The amount paid is not complete,Jumlah yang dibayar tidak lengkap
The app stores data locally for offline use. This is called cache.,Apl ini menyimpan data secara setempat untuk kegunaan luar talian. Ini dipanggil cache.
The invoice stayed in draft. Please review and submit it manually.,Invois kekal dalam draf. Sila semak dan serahkan secara manual.
The maximum discount allowed is,Diskaun maksimum yang dibenarkan ialah
The quantity for {0} has been adjusted to the maximum available stock.,Kuantiti untuk {0} telah dilaraskan kepada stok maksimum yang tersedia.
The system could not retrieve the item details. Please try again.,Sistem tidak dapat mendapatkan butiran item. Sila cuba lagi.
These invoices will be synced when connection is restored,Invois ini akan disegerakkan apabila sambungan dipulihkan
This action now opens inside the settings workspace.,Tindakan ini kini dibuka di dalam ruang kerja tetapan.
This coupon already used !,Kupon ini sudah digunakan!
This invoice does not need change-allocation repair,Invois ini tidak memerlukan pembaikan peruntukan perubahan
This invoice is already repaired,Invois ini telah pun dibaiki
This is an item template. Please choose a variant.,Ini adalah templat item. Sila pilih varian.
this item,item ini
This POS page could not be opened offline because its code was not cached on this terminal yet.,Halaman POS ini tidak dapat dibuka di luar talian kerana kodnya belum dicache pada terminal ini lagi.
This Serial Number {0} has already been added!,Nombor Siri {0} ini telah ditambahkan!
Threshold,Ambang
Time,Masa
Tip: Clear cache regularly to free up space and keep the app fast.,Petua: Kosongkan cache dengan kerap untuk mengosongkan ruang dan memastikan apl pantas.
Tip: Close unused tabs or apps to reduce lag.,Petua: Tutup tab atau apl yang tidak digunakan untuk mengurangkan ketinggalan.
Tip: Monitor slow queries and table size for optimal performance.,Petua: Pantau pertanyaan perlahan dan saiz jadual untuk prestasi optimum.
To Be Paid,Untuk Dibayar
To Date,Sehingga Kini
Today,Hari ini
Today Profit,Untung Hari Ini
Today Sales,Jualan Hari Ini
Toggle navigation drawer,Togol laci navigasi
Toggle Theme,Togol Tema
Tools,Alatan
Tools for customer-facing screens and terminal-specific actions.,Alat untuk skrin menghadap pelanggan dan tindakan khusus terminal.
Top Brand,Jenama Teratas
Top Category,Kategori Teratas
Top Charge Head,Ketua Caj Atas
Top Customers,Pelanggan Teratas
Top Discount,Diskaun Teratas
Top Items by Location,Item Teratas mengikut Lokasi
Top Margin,Margin Atas
Top Pending,Menunggu Atas
Top Profit Item,Item Keuntungan Teratas
Top Return Items,Item Pulangan Teratas
Top Sales by Cashier,Jualan Teratas oleh Juruwang
Top Supplier,Pembekal Teratas
Top Suppliers by Spend,Pembekal Teratas mengikut Perbelanjaan
Top Tables,Jadual Teratas
Top Tax Head,Ketua Cukai Tertinggi
Top Up Amount,Jumlah Tambah Nilai
Top Up Card,Kad Tambah Nilai
Top Up Mode,Mod Tambah Nilai
Top Variant,Varian Teratas
Total,Jumlah
Total Amount,Jumlah Jumlah
Total Change,Jumlah Perubahan
Total Charges,Jumlah Caj
Total In,Jumlah Masuk
Total Invoices,Jumlah Invois
Total Items,Jumlah Item
Total Mpesa,Jumlah Mpesa
Total Out,Jumlah Keluar
Total Payments,Jumlah Bayaran
Total Purchase,Jumlah Pembelian
Total Selected :,Jumlah yang Dipilih :
Total Size,Jumlah Saiz
Total Stock Qty,Jumlah Kuantiti Stok
Total:,Jumlah:
Totals by Invoice Currency,Jumlah mengikut Mata Wang Invois
Track how much cash was handed back to customers,Jejaki jumlah wang tunai yang telah diserahkan semula kepada pelanggan
"Track recent sales, collect unpaid balances, and reopen saved work","Jejaki jualan baru-baru ini, kumpulkan baki yang belum dibayar dan buka semula kerja yang disimpan"
Transaction ID,ID Transaksi
Transfer,Pemindahan
Try a different search term or clear the cart search.,Cuba istilah carian lain atau kosongkan carian troli.
Try adjusting your search or filters,Cuba laraskan carian atau penapis anda
Try another source or refresh the list.,Cuba sumber lain atau muat semula senarai.
Try changing the date range or status filter.,Cuba tukar julat tarikh atau penapis status.
Type,taip
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,Tidak dapat mengakses kamera walaupun dengan tetapan asas. Sila semak kebenaran kamera anda dan keserasian peranti.
Unable to add offer item {0}. Please refresh and try again.,Tidak dapat menambah item tawaran {0}. Sila muat semula dan cuba lagi.
Unable to add offer item. Please refresh and try again.,Tidak dapat menambah item tawaran. Sila muat semula dan cuba lagi.
Unable to add scanned item.,Tidak dapat menambah item yang diimbas.
Unable to create purchase order,Tidak dapat membuat pesanan pembelian
Unable to delete draft invoice,Tidak dapat memadamkan draf invois
Unable to fetch documents,Tidak dapat mengambil dokumen
Unable to fetch draft orders,Tidak dapat mengambil draf pesanan
Unable to fetch invoice history,Tidak dapat mengambil sejarah invois
Unable to fetch M-Pesa payments,Tidak dapat mengambil pembayaran M-Pesa
Unable to fetch sales orders,Tidak dapat mengambil pesanan jualan
Unable to fetch unpaid invoices,Tidak dapat mengambil invois yang belum dibayar
Unable to generate scale barcode,Tidak dapat menjana kod bar skala
Unable to issue gift card.,Tidak dapat mengeluarkan kad hadiah.
Unable to load cashier PIN status.,Tidak dapat memuatkan status PIN juruwang.
Unable to load document,Tidak dapat memuatkan dokumen
Unable to load draft invoice,Tidak dapat memuatkan draf invois
Unable to load gift card balance.,Tidak dapat memuatkan baki kad hadiah.
Unable to load invoice details,Tidak dapat memuatkan butiran invois
Unable to load parked order,Tidak dapat memuatkan pesanan yang diletakkan
Unable to load the selected sales order,Tidak dapat memuatkan pesanan jualan yang dipilih
Unable to prepare document,Tidak dapat menyediakan dokumen
Unable to prepare return invoice,Tidak dapat menyediakan invois pemulangan
Unable to print draft invoice,Tidak dapat mencetak draf invois
Unable to print submitted invoice,Tidak dapat mencetak invois yang diserahkan
Unable to process document action,Tidak dapat memproses tindakan dokumen
Unable to repair change allocation,Tidak dapat membaiki peruntukan perubahan
Unable to save cashier PIN.,Tidak dapat menyimpan PIN juruwang.
Unable to save the rate to the backend price list,Tidak dapat menyimpan kadar ke senarai harga bahagian belakang
Unable to submit invoice,Tidak dapat menyerahkan invois
Unable to submit the selected payment,Tidak dapat menyerahkan pembayaran yang dipilih
Unable to top up gift card.,Tidak dapat menambah nilai kad hadiah.
Unable to verify cashier PIN.,Tidak dapat mengesahkan PIN juruwang.
Unallocated,Tidak diperuntukkan
Unallocated:,Tidak diperuntukkan:
Unavailable,Tidak tersedia
Unknown,Tidak diketahui
Unknown Item,Item Tidak Diketahui
Unknown Warehouse,Gudang Tidak Dikenali
Unlock POS,Buka kunci POS
Unpaid,Tak bergaji
"Unselected payments stay unallocated first, then auto reconcile after submit.","Pembayaran yang tidak dipilih kekal tidak diperuntukkan dahulu, kemudian diselaraskan secara automatik selepas diserahkan."
UOM,UOM
UOM not found,UOM tidak ditemui
Update available,Kemas kini tersedia
Update Customer,Kemas kini Pelanggan
Update PIN,Kemas kini PIN
Update Price List Rate,Kemas kini Kadar Senarai Harga
Updated,dikemas kini
Updates and app info that stay out of the cashier flow.,Kemas kini dan maklumat apl yang tidak termasuk dalam aliran juruwang.
Updates automatically,Kemas kini secara automatik
Usage,Penggunaan
Usage Stats,Statistik Penggunaan
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Gunakan PIN 4 hingga 8 digit untuk penukaran juruwang dan buka kunci terminal.
Use Cashier,Gunakan Juruwang
Use date range to search for older invoices,Gunakan julat tarikh untuk mencari invois lama
"Use one field for manual code entry, barcode scans, or QR scans.","Gunakan satu medan untuk kemasukan kod manual, imbasan kod bar atau imbasan QR."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Gunakan satu aliran kerja untuk semakan baki, pengeluaran baharu dan tambah nilai tanpa meninggalkan POS."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Gunakan bahagian ini apabila data prasyarat cache memerlukan muat semula, bina semula atau semakan diagnostik."
Use Western numerals,Gunakan angka Barat
Used:,Digunakan:
Using basic camera settings due to device limitations,Menggunakan tetapan kamera asas kerana had peranti
Using cached customer balance,Menggunakan baki pelanggan cache
Valid until,Sah sehingga
Variance %,% varians
Variants,Varian
Variant-wise,Dari segi varian
Verify closing amounts for each payment method,Sahkan jumlah penutupan untuk setiap kaedah pembayaran
View all,Lihat semua
View app information and current build details,Lihat maklumat apl dan butiran binaan semasa
View Data Diagnostics,Lihat Diagnostik Data
View Details,Lihat Butiran
View invoice details,Lihat butiran invois
View notifications,Lihat pemberitahuan
View offline invoices,Lihat invois luar talian
View restricted POS insights,Lihat cerapan POS terhad
Void Amount,Jumlah Tidak Sah
Void Count,Kiraan Kosong
Voids,Kekosongan
Waiting for cart items,Menunggu barang troli
Waiting for payment...,Menunggu pembayaran...
Walk-in Customer,Pelanggan Walk-in
Warehouse,Gudang
Warning: High cache usage may affect performance.,Amaran: Penggunaan cache yang tinggi boleh menjejaskan prestasi.
Warning: High lag may indicate heavy processing or browser slowness.,Amaran: Lag yang tinggi mungkin menunjukkan pemprosesan yang berat atau kelembapan penyemak imbas.
Week ?,Minggu ?
Week-wise,Dari segi minggu
Weight (g),Berat (g)
Weight (grams),Berat (gram)
We'll let you know if an invoice fails to submit,Kami akan memberitahu anda jika invois gagal diserahkan
Workflow,Aliran kerja
Write off amount cannot exceed the POS profile maximum of {0},Jumlah hapus kira tidak boleh melebihi maksimum profil POS sebanyak {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,Jumlah hapus kira melebihi had yang dibenarkan ({0}). Sila tambah bayaran untuk jumlah yang tinggal.
Yes,ya
"Yes, Cancel sale","Ya, Batalkan jualan"
"Yes, Close","Ya, Tutup"
You are not allowed to print draft invoices,Anda tidak dibenarkan mencetak draf invois
You are offline. Add Payment will work again when the connection is restored.,Anda berada di luar talian. Tambah Pembayaran akan berfungsi semula apabila sambungan dipulihkan.
You have no notifications right now,Anda tiada pemberitahuan sekarang
Your Cart,Troli Anda
