POS Awesome,POS Гайхалтай
Price list rate updated locally only,Үнийн жагсаалтын үнийг зөвхөн орон нутагт шинэчилсэн
Pricing & Discounts,Үнэ болон хөнгөлөлт
Pricing Rule,Үнийн дүрэм
Print,Хэвлэх
Print Draft,Ноорог хэвлэх
Print Format (Invoice),Хэвлэх формат (Нэхэмжлэх)
Print Format (Order),Хэвлэх формат (Захиалга)
Print invoice,Нэхэмжлэх хэвлэх
Print Purchase Invoice instead of PO,PO-ийн оронд Худалдан авалтын нэхэмжлэх хэвлэх
Printer,Принтер
Processed returns impacting the shift totals,Боловсруулсан өгөөж нь ээлжийн нийлбэрт нөлөөлдөг
Processing Payment,Төлбөрийг боловсруулж байна
Processing payment entries for Invoice {0},{0} нэхэмжлэхийн төлбөрийн бичилтийг боловсруулж байна
Profile,Профайл
Profiles,Профайлууд
Profit,Ашиг
Profit: Invoice Item Estimate,Ашиг: Нэхэмжлэлийн зүйлийн тооцоо
Profit: Stock Ledger (COGS),Ашиг: Хувьцааны дэвтэр (COGS)
Profitability Report,Ашигт ажиллагааны тайлан
Prorated return discount,Буцах хөнгөлөлт
Purchase Amount,Худалдан авалтын дүн
Purchase Invoices,Худалдан авалтын нэхэмжлэх
Purchase Order created,Худалдан авах захиалга үүсгэсэн
Qty,Тоо ширхэг
Qualified,Мэргэшсэн
Quantity,Тоо хэмжээ
Quantity exceeds available stock,Тоо хэмжээ бэлэн нөөцөөс хэтэрсэн байна
Quick Actions,Шуурхай үйлдэл
Quotation {0} is Submitted,{0} үнийн санал ирүүлсэн
Quotation submitted,Үнийн санал ирүүлсэн
QZ Tray connected.,QZ тавиур холбогдсон.
QZ Tray is manually disconnected. Press Connect to enable it again.,QZ тавиурыг гараар салгасан. Дахин идэвхжүүлэхийн тулд Холболтыг дарна уу.
QZ Tray is not connected.,QZ тавиур холбогдоогүй байна.
QZ Tray Setup,QZ тавиурын тохиргоо
Rate,Үнэлгээ
Rate adjusted to maximum allowed discount,Хамгийн их зөвшөөрөгдөх хөнгөлөлтөд тохируулсан ханш
Ready,Бэлэн
Ready to resume,Үргэлжлүүлэхэд бэлэн байна
Ready!,Бэлэн!
Real-time POS insights for retail operations.,Жижиглэн худалдааны үйл ажиллагааны бодит цагийн ПОС-ын мэдээлэл.
Rebuild Offline Data,Офлайн өгөгдлийг дахин бүтээх
Receive,Хүлээн авах
Receive now,Яг одоо хүлээн авна уу
Received,Хүлээн авсан
Received:,Хүлээн авсан:
Recent Movement Entries,Сүүлийн үеийн хөдөлгөөний оруулгууд
Recent updates about your invoices,Таны нэхэмжлэхийн талаарх сүүлийн үеийн шинэчлэлтүүд
Recently Active Customers,Саяхан идэвхтэй үйлчлүүлэгчид
Rechecking connection,Холболтыг дахин шалгаж байна
Reconcile payment methods and close shift,"Төлбөрийн аргуудыг нэгтгэж, ээлжийг хаа"
Reconciling Payments,Төлбөрийг нэгтгэх
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Онлайн байх үедээ энэ хуудсыг нэг удаа холбож, нээвэл офлайн шинэчлэлтүүд үүнийг сэргээх боломжтой болно."
Reconnect online to refresh cached offline data from the server.,Серверээс кэш хийгдсэн офлайн өгөгдлийг сэргээхийн тулд онлайнаар дахин холбогдоно уу.
Recreate local offline prerequisites from scratch,Орон нутгийн офлайн урьдчилсан нөхцөлүүдийг эхнээс нь дахин үүсгээрэй
Recv:,Recv:
Redeem,Эргүүлэх
Redeem / Scan,Эргүүлэх / сканнердах
Redeem Amount,Хэмжээг эргүүлэн авах
Redeem Mode,Зарцуулах горим
Redeemed Amount,Зарсан дүн
Redeemed credit cannot be greater than its total.,Зээл авсан зээлийн нийт хэмжээнээс их байж болохгүй.
Redemption and Totals,Эргэн төлөлт ба нийт дүн
Reference,Лавлагаа
Refresh,Сэргээх
Refresh Exchange Rate,Валютын ханшийг шинэчлэх
Refresh Offline Data,Офлайн өгөгдлийг сэргээх
Refresh Printers,Принтерүүдийг шинэчлэх
Refund,Буцаан олголт
Release Notes,Хувилбарын тэмдэглэл
Reload,Дахин ачаалах
Reload customers,Харилцагчдыг дахин ачаална уу
Reload Items,Зүйлүүдийг дахин ачаалах
Reload Now,Одоо дахин ачаална уу
Reload to apply the latest changes. Your current session will be refreshed.,Хамгийн сүүлийн өөрчлөлтийг хэрэгжүүлэхийн тулд дахин ачаална уу. Таны одоогийн сесс шинэчлэгдэх болно.
Reload Workflow,Ажлын урсгалыг дахин ачаалах
Remarks,Тайлбар
Remarks are required.,Тайлбар оруулах шаардлагатай.
Remove,Устгах
Remove barcode item,Баркодын зүйлийг устгана уу
Remove cached data and reload the POS app,Кэш хийсэн өгөгдлийг устгаад POS програмыг дахин ачаална уу
Remove item,Зүйлийг устгах
Remove Offer,Саналыг устгах
Reorder / Purchase Suggestions,Дахин захиалах / худалдан авах санал
Repair Candidate,Засварчин
Repair Change Allocation,Өөрчлөлтийн хуваарилалтыг засах
Repair requires an online connection,Засвар хийхэд онлайн холболт шаардлагатай
Repaired,Зассан
Repairing change allocation,Өөрчлөлтийн хуваарилалтыг засаж байна
Repeat Customers,Давтан үйлчлүүлэгчид
Repeat Rate,Давталтын хурд
Request,Хүсэлт
Request ID: {0},Хүсэлтийн ID: {0}
Request Payment,Төлбөрийг хүсэх
Requested route: {0},Хүссэн маршрут: {0}
Required columns cannot be hidden,Шаардлагатай багануудыг нуух боломжгүй
Reset,Дахин тохируулах
Reset item name,Зүйлийн нэрийг дахин тохируулах
Reset to Default,Өгөгдмөл рүү дахин тохируулах
Resource Health,Нөөцийн эрүүл мэнд
Restricted,Хязгаарлагдмал
Restricted operational controls for supervisors only.,Зөвхөн хянагчдад зориулсан хязгаарлагдмал үйл ажиллагааны хяналт.
Retry,Дахин оролдоно уу
Retry route,Маршрутыг дахин оролдоно уу
Return,Буцах
Return Amount,Буцаах дүн
Return Count,Буцах тоо
Return items must have negative quantities,Буцаах зүйлс сөрөг тоотой байх ёстой
Return total must be negative,Нийт өгөөж нь сөрөг байх ёстой
Return Valid Until,Буцах хугацаа хүчинтэй
Return window passed,Буцах цонх өнгөрлөө
Return without Invoice,Нэхэмжлэхгүйгээр буцаах
Returns,Буцах
Returns / Voids / Discounts,Буцаах / хүчингүй болгох / хөнгөлөлт
Returns by Currency,Валютын нэгжээр буцаана
Revenue,Орлого
Review shift totals before submitting the closing entry,Хаалтын бичлэгийг оруулахын өмнө ээлжийн нийлбэр дүнг шалгана уу
Round Off,Round Off
Rows,Мөр
Rows:,Мөр:
Rule,Дүрэм
Sale,Борлуулалт
Sales,Борлуулалт
Sales Order {0} is Submitted,Борлуулалтын захиалга {0}-г илгээсэн
Sales Person and Print,Борлуулалтын ажилтан ба хэвлэх
Sales Person not found,Борлуулалтын ажилтан олдсонгүй
Sales processed,Борлуулалтыг боловсруулсан
Sales Return,Борлуулалтын өгөөж
Sales Trend Report,Борлуулалтын чиг хандлагын тайлан
Save,Хадгалах
Save & Clear,"Хадгалах, арилгах"
Save as POS Profile Default,POS профайлын өгөгдмөл байдлаар хадгалах
Save Settings,Тохиргоог хадгалах
Save the selected printer as the POS Profile default so it shows automatically on this setup.,Сонгосон принтерийг POS профайлын өгөгдмөл болгож хадгалснаар энэ тохиргоонд автоматаар харагдах болно.
Saved as draft because: {0},Ноорог болгон хадгалсан учир нь: {0}
Saving...,Хадгалж байна...
Scale barcode detected. Quantity here is the number of labels to print.,Хэмжээний бар код илэрсэн. Энд байгаа тоо хэмжээ нь хэвлэх шошгоны тоо юм.
Scale barcode settings are not configured. Using item barcode only.,Баркодын масштабын тохиргоо хийгдээгүй байна. Зөвхөн баркод ашиглах.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Энэ зүйл/UOM-д масштабын загварын бар код байхгүй байна. Зөвхөн баркод ашиглах.
Scan an existing card and top it up without leaving the payment flow.,"Одоо байгаа картыг сканнердаж, төлбөрийн урсгалыг орхихгүйгээр цэнэглэ."
Scan Error,Сканнерийн алдаа
Scan or enter a gift card code to check balance or redeem.,Үлдэгдэл шалгах эсвэл эргүүлэн авахын тулд бэлгийн картын кодыг сканнердах эсвэл оруулна уу.
Scan or paste the card code below.,Доорх картын кодыг сканнердаж эсвэл буулгана уу.
Scan QR Code/Barcode,QR код/баркод сканнердах
Scan with camera,Камераар сканнердах
Scan-First Flow,Scan-First Flow
Scanned Code:,Сканнердсан код:
Scanning for: {0},Скан хийж байна: {0}
Scanning items,Зүйлүүдийг сканнердаж байна
Scan-Ready,Скан хийхэд бэлэн
Scope,Хамрах хүрээ
Scope: All Profiles,Хамрах хүрээ: Бүх профайл
Scope: Current Profile,Хамрах хүрээ: Одоогийн профайл
Scope: Specific Profile,Хамрах хүрээ: Тусгай профайл
Search,Хайх
Search Account,Бүртгэл хайх
Search an invoice and continue the return flow without extra steps.,"Нэхэмжлэхийг хайж, нэмэлт алхамгүйгээр буцаах урсгалыг үргэлжлүүлээрэй."
Search customer,Үйлчлүүлэгч хайх
Search invoices or customers,Нэхэмжлэх эсвэл үйлчлүүлэгч хайх
Search item,Хайлтын зүйл
Search item / code,Зүйл / код хайх
Search items or barcode,Зүйлс эсвэл бар код хайх
Search Mpesa Payments,Mpesa төлбөр хайх
Search return invoices or customers,Буцаах нэхэмжлэх эсвэл үйлчлүүлэгч хайх
Search supplier,Нийлүүлэгч хайх
Search unpaid invoices or customers,Төлбөргүй нэхэмжлэх эсвэл үйлчлүүлэгчдийг хайх
Secure context (HTTPS or localhost) is required for camera access.,Камерт хандахын тулд аюулгүй контекст (HTTPS эсвэл localhost) шаардлагатай.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Камерт хандахад аюулгүй контекст (HTTPS) шаардлагатай. Камерт хандахын тулд HTTPS ашиглана уу.
Select,Сонго
Select a cashier first.,Эхлээд кассчин сонгоно уу.
Select a customer,Үйлчлүүлэгч сонгох
Select a customer to use coupon,Купон ашиглах хэрэглэгчээ сонгоно уу
Select a printer to use QZ silent printing.,QZ чимээгүй хэвлэхийг ашиглахын тулд хэвлэгчээ сонгоно уу.
Select Batch,Багцыг сонгоно уу
Select Columns to Display,Харуулах баганыг сонгоно уу
Select items to sell,Борлуулах зүйлсийг сонго
Select Payment,Төлбөрийг сонгоно уу
Select Payment Account,Төлбөрийн дансыг сонгоно уу
Select printer,Принтер сонгоно уу
Select Return Invoice,Нэхэмжлэхийг буцаахыг сонгоно уу
Select S.O,S.O-г сонгоно уу
Select Sales Orders,Борлуулалтын захиалгыг сонгоно уу
Select the cashier who is taking over this terminal.,Энэ терминалыг хүлээж авах кассчинийг сонгоно уу.
Selected,Сонгосон
Selected movement type is not allowed by POS Profile.,Сонгосон хөдөлгөөний төрлийг POS профайл зөвшөөрөөгүй.
Selected Payments,Сонгосон төлбөрүүд
Sensitive actions kept away from quick taps.,Мэдрэмжтэй үйлдлүүдийг хурдан товшихоос хол байлга.
Serial,Цуврал
Serial Numbers,Серийн дугаарууд
Server CPU Usage:,Серверийн CPU-ийн хэрэглээ:
Server Health,Серверийн эрүүл мэнд
Server Memory Usage:,Серверийн санах ойн хэрэглээ:
Server Metrics,Серверийн хэмжигдэхүүн
Server Uptime:,Серверийн ажиллах хугацаа:
Service Charges,Үйлчилгээний төлбөр
Session,Сессия
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,"Хэрэглэгчийн маягт дээр кассын ПИН код тус бүрийг тохируулж, терминалын гишүүдийг ПОС-ын профайл Хэрэглэгчийн хэсэгт үлдээнэ үү."
Settings,Тохиргоо
Settings in this section update the POS workspace without changing the current route.,Энэ хэсгийн тохиргоо нь одоогийн маршрутыг өөрчлөхгүйгээр ПОС-ын ажлын талбарыг шинэчилнэ.
Setup complete!,Тохиргоо дууссан!
Share,Хуваалцах
Shared terminal,Хуваалцсан терминал
Shift Closed Snapshot,Shift хаалттай хормын хувилбар
Shift Overview,Shift тойм
Show,Үзүүлэх
Show cart on customer-facing screen,Хэрэглэгч рүү чиглэсэн дэлгэц дээр сагсыг харуул
Show last invoice rate,Сүүлийн нэхэмжлэхийн үнийг харуулах
Show rate info,Үнийн мэдээллийг харуулах
Show Repair Candidates,Засварын ажил горилогчдыг харуулах
Show search tools,Хайлтын хэрэгслүүдийг харуулах
Show the active cart on a customer-facing screen,Үйлчлүүлэгч рүү чиглэсэн дэлгэц дээр идэвхтэй сагсыг харуул
Showing {0}-{1} of {2},{2}-н {0}-{1}-г харуулж байна
Showing 0 of 0,0-ийн 0-г харуулж байна
Shows the distribution of invoices per currency,Валютын нэгжээр нэхэмжлэхийн хуваарилалтыг харуулна
Sign out of the current POS session,Одоогийн POS сессээс гарна уу
Size:,Хэмжээ:
Skipped Payments,Алгассан төлбөрүүд
Skipping items without barcodes,Бар кодгүй зүйлсийг алгасах
Slow Moving,Удаан хөдөлж байна
Slow Moving Items,Удаан хөдөлж буй зүйлс
Slow Queries:,Удаан асуулга:
Sold,Борлуулсан
Source,Эх сурвалж
Source Cash Account (Optional Override),Бэлэн мөнгөний эх үүсвэрийн данс (заавал биш)
Source Ex. Rate:,Эх сурвалж Ex. Үнэлгээ:
Source Rate:,Эх сурвалжийн хувь:
Specific Profile,Тодорхой профайл
Split Invoices,Нэхэмжлэх хуваах
Staff / Cashier Performance Report,Ажилтнууд / Кассын ажлын тайлан
Status,Статус
Stock,Хувьцаа
Stock Information,Хувьцааны мэдээлэл
Stock is lower than requested,Хувьцаа хүссэн хэмжээнээс бага байна
Stock is lower than requested:\n{0},Хувьцаа хүссэн хэмжээнээс бага байна:\n{0}
Stock Movement Report,Хувьцааны хөдөлгөөний тайлан
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Хувьцааны шинэчлэлт: {0}-д {1} байгаа. {2}-г нэмбэл хувьцаа тэгээс доош болно.
Submit,Илгээх
Submit & Print,"Илгээх, хэвлэх"
Submit Deposit,Хадгаламж илгээх
Submit Expense,Зардал оруулах
Submitted,Илгээсэн
Submitted Cash Movements,Оруулсан бэлэн мөнгөний хөдөлгөөн
Submitted entries,Оруулсан бичлэгүүд
Successfully scanned:,Амжилттай сканнердсан:
Suggested,Санал болгосон
Suggested Qty,Санал болгож буй тоо хэмжээ
Supervisor Access,Супервайзер хандалт
Supervisor permissions unlock issuance and reloads,Хянагчийн зөвшөөрөл нь олгох болон дахин ачаалах түгжээг тайлж байна
Supervisor Tools,Хянагч хэрэгсэл
Supplier,Нийлүүлэгч
Supplier and dates are required.,Нийлүүлэгч болон огноо шаардлагатай.
Supplier Invoices,Нийлүүлэгчийн нэхэмжлэх
Supplier is required.,Нийлүүлэгч шаардлагатай.
Supplier name is required,Нийлүүлэгчийн нэр шаардлагатай
Supplier Payments,Нийлүүлэгчийн төлбөр
Supplier Purchase Summary,Нийлүүлэгчийн худалдан авалтын хураангуй
Suppliers,Нийлүүлэгчид
Suppliers not found,Нийлүүлэгч олдсонгүй
Switch Camera,Камер солих
Switch Cashier,Касс солих
Switch the POS appearance theme,ПОС-ын харагдах сэдвийг солих
Switched to:,Дараах руу шилжсэн:
Sync All Invoices,Бүх нэхэмжлэхийг синк хийх
Sync Offline Cash Movements ({0}),Офлайн бэлэн мөнгөний хөдөлгөөнийг синк хийх ({0})
Sync Offline Sales,Офлайн борлуулалтыг синк хийх
Synced {0} offline cash movement(s).,Синк хийгдсэн {0} офлайн бэлэн мөнгөний хөдөлгөөн(үүд).
Syncing items in background,Арын дэвсгэр дээрх зүйлсийг синк хийж байна
System / Diagnostics,Систем / Оношлогоо
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Системийн үйлдлүүд нь програмын мэдээлэл, тусламжийн оношлогоо, сессийн хяналт зэрэг бага давтамжийн засвар үйлчилгээний хяналтууд юм."
System Information,Системийн мэдээлэл
System Status,Системийн төлөв
Tables:,Хүснэгтүүд:
Tap the button below to redeem a gift card during checkout.,Тооцоо хийх явцад бэлгийн карт авахын тулд доорх товчийг товшино уу.
Target,Зорилтот
Target Ex. Rate:,Зорилтот Ex. Үнэлгээ:
Target Rate:,Зорилтот ханш:
Tax,Татвар
Tax / Charges Report,Татвар / хураамжийн тайлан
Tax Heads,Татварын дарга нар
Taxable Amount,Татвар ногдох хэмжээ
Tendered,Тендер зарласан
Terminal,Терминал
Terminal & Devices,Терминал ба төхөөрөмжүүд
Terminal locked,Терминал түгжигдсэн
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Терминал хэрэгслүүд нь энэ тооцооны станц, үйлчлүүлэгчдэд зориулсан дэлгэц, ирээдүйн хэвлэгч/төхөөрөмжийн удирдлагад нөлөөлдөг."
Territory not found,Нутаг дэвсгэр олдсонгүй
The amount paid is not complete,Төлсөн дүн нь дуусаагүй байна
The app stores data locally for offline use. This is called cache.,Аппликешн нь офлайн хэрэглээнд зориулж өгөгдлийг дотооддоо хадгалдаг. Үүнийг кэш гэж нэрлэдэг.
The invoice stayed in draft. Please review and submit it manually.,"Нэхэмжлэх нь ноорог дээр үлдсэн. Үүнийг хянаж, гараар оруулна уу."
The maximum discount allowed is,Зөвшөөрөгдсөн хөнгөлөлтийн дээд хэмжээ
The quantity for {0} has been adjusted to the maximum available stock.,{0}-н хэмжээг боломжит нөөцийн дээд хэмжээнд тохируулсан.
The system could not retrieve the item details. Please try again.,Систем тухайн зүйлийн дэлгэрэнгүй мэдээллийг авч чадсангүй. Дахин оролдоно уу.
These invoices will be synced when connection is restored,Холболт сэргээгдэх үед эдгээр нэхэмжлэхийг синк хийнэ
This action now opens inside the settings workspace.,Энэ үйлдэл одоо тохиргооны ажлын талбар дотор нээгдэнэ.
This coupon already used !,Энэ купоныг аль хэдийн ашигласан!
This invoice does not need change-allocation repair,Энэ нэхэмжлэх нь өөрчлөлтийн хуваарилалтыг засах шаардлагагүй
This invoice is already repaired,Энэ нэхэмжлэхийг аль хэдийн зассан
This is an item template. Please choose a variant.,Энэ бол зүйлийн загвар юм. Хувилбараа сонгоно уу.
this item,энэ зүйл
This POS page could not be opened offline because its code was not cached on this terminal yet.,"Энэ POS хуудсыг офлайнаар нээх боломжгүй, учир нь түүний кодыг энэ терминал дээр хараахан хадгалаагүй байна."
This Serial Number {0} has already been added!,Энэ серийн дугаар {0} аль хэдийн нэмэгдсэн байна!
Threshold,Босго
Time,Цаг хугацаа
Tip: Clear cache regularly to free up space and keep the app fast.,"Зөвлөмж: Зай чөлөөлж, програмыг хурдан ажиллуулахын тулд кэшийг тогтмол цэвэрлэж байгаарай."
Tip: Close unused tabs or apps to reduce lag.,Зөвлөмж: Хоцролтыг багасгахын тулд ашиглагдаагүй таб эсвэл програмыг хаа.
Tip: Monitor slow queries and table size for optimal performance.,Зөвлөмж: Хамгийн оновчтой гүйцэтгэлтэй байхын тулд удаан асуулга болон хүснэгтийн хэмжээг хянах.
To Be Paid,Төлбөр төлөх
To Date,Өнөөг хүртэл
Today,Өнөөдөр
Today Profit,Өнөөдрийн ашиг
Today Sales,Өнөөдөр борлуулалт
Toggle navigation drawer,Навигацийн шүүгээг сэлгэх
Toggle Theme,Загварыг асаах/унтраах
Tools,Багаж хэрэгсэл
Tools for customer-facing screens and terminal-specific actions.,Үйлчлүүлэгчдэд зориулсан дэлгэц болон терминалын тусгай үйлдэлд зориулсан хэрэгслүүд.
Top Brand,Шилдэг брэнд
Top Category,Топ ангилал
Top Charge Head,Дээд цэнэглэгч толгой
Top Customers,Шилдэг үйлчлүүлэгчид
Top Discount,Шилдэг хөнгөлөлт
Top Items by Location,Байршлаар нь шилдэг зүйлс
Top Margin,Дээд захын зай
Top Pending,Шилдэг хүлээгдэж буй
Top Profit Item,Шилдэг ашгийн зүйл
Top Return Items,Хамгийн их буцаах зүйлс
Top Sales by Cashier,Кассын шилдэг борлуулалт
Top Supplier,Шилдэг нийлүүлэгч
Top Suppliers by Spend,Зардлаар тэргүүлэгч нийлүүлэгчид
Top Tables,Шилдэг хүснэгтүүд
Top Tax Head,Татварын дээд дарга
Top Up Amount,Цэнэглэх дүн
Top Up Card,Карт цэнэглэх
Top Up Mode,Цэнэглэх горим
Top Variant,Топ хувилбар
Total,Нийт
Total Amount,Нийт дүн
Total Change,Нийт өөрчлөлт
Total Charges,Нийт төлбөр
Total In,Нийт
Total Invoices,Нийт нэхэмжлэх
Total Items,Нийт зүйлс
Total Mpesa,Нийт Mpesa
Total Out,Нийт гарсан
Total Payments,Нийт төлбөр
Total Purchase,Нийт худалдан авалт
Total Selected :,Нийт сонгосон:
Total Size,Нийт хэмжээ
Total Stock Qty,Нийт хувьцааны тоо
Total:,Нийт:
Totals by Invoice Currency,Нэхэмжлэлийн валютаар нийт дүн
Track how much cash was handed back to customers,Үйлчлүүлэгчдэд хэдий хэмжээний бэлэн мөнгө буцааж өгснийг хянах
"Track recent sales, collect unpaid balances, and reopen saved work","Сүүлийн үеийн борлуулалтыг хянаж, төлөөгүй үлдэгдлийг цуглуулж, хадгалсан ажлыг дахин нээнэ үү"
Transaction ID,Гүйлгээний ID
Transfer,Дамжуулах
Try a different search term or clear the cart search.,Хайлтын өөр нэр томъёог туршиж үзээрэй эсвэл сагсан дээрх хайлтыг арилгана уу.
Try adjusting your search or filters,Хайлт эсвэл шүүлтүүрээ тохируулаад үзээрэй
Try another source or refresh the list.,Өөр эх сурвалжийг туршиж үзэх эсвэл жагсаалтыг шинэчилнэ үү.
Try changing the date range or status filter.,Огнооны муж эсвэл статус шүүлтүүрийг өөрчлөхийг оролдоно уу.
Type,Төрөл
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,Үндсэн тохиргоотой байсан ч камер руу нэвтрэх боломжгүй. Камерын зөвшөөрөл болон төхөөрөмжийн нийцтэй байдлыг шалгана уу.
Unable to add offer item {0}. Please refresh and try again.,{0} саналын зүйлийг нэмэх боломжгүй. Дахин сэргээгээд дахин оролдоно уу.
Unable to add offer item. Please refresh and try again.,Санал болгож буй зүйлийг нэмэх боломжгүй. Дахин сэргээгээд дахин оролдоно уу.
Unable to add scanned item.,Сканнердсан зүйлийг нэмэх боломжгүй.
Unable to create purchase order,Худалдан авах захиалга үүсгэх боломжгүй
Unable to delete draft invoice,Нэхэмжлэхийн ноорог устгах боломжгүй
Unable to fetch documents,Баримт бичгийг татах боломжгүй
Unable to fetch draft orders,Захиалгын төслийг дуудах боломжгүй
Unable to fetch invoice history,Нэхэмжлэлийн түүхийг дуудах боломжгүй
Unable to fetch M-Pesa payments,M-Pesa төлбөрийг авах боломжгүй
Unable to fetch sales orders,Борлуулалтын захиалгыг татах боломжгүй байна
Unable to fetch unpaid invoices,Төлөгдөөгүй нэхэмжлэхийг авах боломжгүй
Unable to generate scale barcode,Хэмжээний бар код үүсгэх боломжгүй
Unable to issue gift card.,Бэлгийн карт гаргах боломжгүй.
Unable to load cashier PIN status.,Кассын ПИН статусыг ачаалах боломжгүй байна.
Unable to load document,Баримт бичгийг ачаалах боломжгүй
Unable to load draft invoice,Нэхэмжлэхийн ноорог ачаалах боломжгүй
Unable to load gift card balance.,Бэлгийн картын үлдэгдлийг ачаалах боломжгүй.
Unable to load invoice details,Нэхэмжлэхийн дэлгэрэнгүйг ачаалах боломжгүй
Unable to load parked order,Зогсоосон захиалгыг ачаалах боломжгүй
Unable to load the selected sales order,Сонгосон борлуулалтын захиалгыг ачаалах боломжгүй байна
Unable to prepare document,Баримт бичгийг бэлтгэх боломжгүй байна
Unable to prepare return invoice,Буцаах нэхэмжлэхийг бэлтгэх боломжгүй байна
Unable to print draft invoice,Нэхэмжлэхийн ноорог хэвлэх боломжгүй
Unable to print submitted invoice,Илгээсэн нэхэмжлэхийг хэвлэх боломжгүй
Unable to process document action,Баримт бичгийн үйлдлийг боловсруулах боломжгүй
Unable to repair change allocation,Өөрчлөлтийн хуваарилалтыг засах боломжгүй
Unable to save cashier PIN.,Кассын ПИН кодыг хадгалах боломжгүй.
Unable to save the rate to the backend price list,Арын үнийн жагсаалтад ханшийг хадгалах боломжгүй
Unable to submit invoice,Нэхэмжлэхийг илгээх боломжгүй
Unable to submit the selected payment,Сонгосон төлбөрийг илгээх боломжгүй
Unable to top up gift card.,Бэлгийн картыг цэнэглэх боломжгүй байна.
Unable to verify cashier PIN.,Кассын ПИН кодыг баталгаажуулах боломжгүй байна.
Unallocated,Хуваарилагдаагүй
Unallocated:,Хуваарилагдаагүй:
Unavailable,Боломжгүй
Unknown,Тодорхойгүй
Unknown Item,Үл мэдэгдэх зүйл
Unknown Warehouse,Үл мэдэгдэх агуулах
Unlock POS,ПОС-ын түгжээг тайлах
Unpaid,Төлбөргүй
"Unselected payments stay unallocated first, then auto reconcile after submit.","Сонгогдоогүй төлбөрүүд эхлээд хуваарилагдаагүй, дараа нь илгээсний дараа автоматаар тохирно."
UOM,UOM
UOM not found,UOM олдсонгүй
Update available,Шинэчлэлт боломжтой
Update Customer,Хэрэглэгчийг шинэчлэх
Update PIN,ПИН кодоо шинэчилнэ үү
Update Price List Rate,Үнийн жагсаалтын үнийг шинэчлэх
Updated,Шинэчлэгдсэн
Updates and app info that stay out of the cashier flow.,Шинэчлэлтүүд болон програмын мэдээлэл кассын урсгалаас гадуур байдаг.
Updates automatically,Автоматаар шинэчлэгддэг
Usage,Хэрэглээ
Usage Stats,Хэрэглээний статистик
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Касс солих болон терминалын түгжээг тайлахад 4-8 оронтой ПИН код ашиглана уу.
Use Cashier,Кассчин ашиглана уу
Use date range to search for older invoices,Хуучны нэхэмжлэхийг хайхын тулд огнооны мужийг ашиглана уу
"Use one field for manual code entry, barcode scans, or QR scans.","Гараар код оруулах, бар код скан хийх эсвэл QR скан хийхэд нэг талбарыг ашиглана уу."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","ПОС-оос гарахгүйгээр үлдэгдэл шалгах, шинээр олгох, цэнэглэхэд нэг ажлын урсгалыг ашиглаарай."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Кэшд хадгалагдсан урьдчилсан өгөгдлүүдийг шинэчлэх, дахин бүтээх, оношлох шаардлагатай үед энэ хэсгийг ашиглана уу."
Use Western numerals,Баруун тоонуудыг ашигла
Used:,Ашигласан:
Using basic camera settings due to device limitations,Төхөөрөмжийн хязгаарлалтын улмаас камерын үндсэн тохиргоог ашиглаж байна
Using cached customer balance,Хэрэглэгчийн хадгалсан үлдэгдлийг ашиглах
Valid until,хүртэл хүчинтэй
Variance %,Өөрчлөлт %
Variants,Хувилбарууд
Variant-wise,Хувилбарын хувьд
Verify closing amounts for each payment method,Төлбөрийн хэрэгсэл бүрийн хаалтын дүнг баталгаажуулна уу
View all,Бүгдийг харах
View app information and current build details,Аппликешны мэдээлэл болон одоогийн бүтээх дэлгэрэнгүй мэдээллийг харах
View Data Diagnostics,Өгөгдлийн оношлогоог харах
View Details,Дэлгэрэнгүйг харах
View invoice details,Нэхэмжлэлийн дэлгэрэнгүй мэдээллийг харах
View notifications,Мэдэгдэл харах
View offline invoices,Офлайн нэхэмжлэхийг харах
View restricted POS insights,Хязгаарлагдмал ПОС-ын мэдээллийг харах
Void Amount,Хүчингүй дүн
Void Count,Хүчингүй тоо
Voids,Хоосон зай
Waiting for cart items,Сагсны бараа хүлээж байна
Waiting for payment...,Төлбөрийг хүлээж байна...
Walk-in Customer,Хүлээн авагч
Warehouse,Агуулах
Warning: High cache usage may affect performance.,Анхааруулга: Өндөр кэш ашиглах нь гүйцэтгэлд нөлөөлж болзошгүй.
Warning: High lag may indicate heavy processing or browser slowness.,Анхааруулга: Өндөр хоцрогдол нь боловсруулалт ихтэй эсвэл хөтөч удаашралтай байгааг илтгэнэ.
Week ?,Долоо хоног уу?
Week-wise,Долоо хоногоор
Weight (g),Жин (г)
Weight (grams),Жин (грамм)
