POS Awesome,POS အရမ်းကောင်းတယ်။
Net,ပိုက်ကွန်
Net Qty,Net Qty
Net Sales,အသားတင် အရောင်း
Net Value,အသားတင်တန်ဖိုး
Never,ဘယ်တော့မှ
New changes are ready to load,အပြောင်းအလဲအသစ်များကို တင်ရန် အသင့်ဖြစ်နေပါပြီ။
New Item,ပစ္စည်းအသစ်
New Offer Available,ကမ်းလှမ်းချက်အသစ် ရနိုင်ပါသည်။
New PIN,ပင်နံပါတ်အသစ်
New rate,အသစ်နှုန်း
Next unit of measure,နောက်တစ်ခုက အတိုင်းအတာယူနစ်
No attribute data found.,ရည်ညွှန်းချက်ဒေတာ မတွေ့ပါ။
No Barcode,ဘားကုဒ်မရှိပါ။
No barcode found for UOM '{0}',UOM '{0}' အတွက် ဘားကုဒ်မတွေ့ပါ
No branch/location data found.,ဌာနခွဲ/တည်နေရာဒေတာကို ရှာမတွေ့ပါ။
No brand data found.,အမှတ်တံဆိပ်ဒေတာမတွေ့ပါ။
No cached gift card balance is available offline.,သိမ်းဆည်းထားသော လက်ဆောင်ကတ် လက်ကျန်ကို အော့ဖ်လိုင်းတွင် မရနိုင်ပါ။
No camera found on this device. Please ensure your device has a working camera.,ဤစက်ပစ္စည်းတွင် ကင်မရာမတွေ့ပါ။ သင့်စက်တွင် အလုပ်လုပ်သော ကင်မရာပါရှိကြောင်း သေချာပါစေ။
No capability warnings recorded yet.,လုပ်ဆောင်နိုင်စွမ်းသတိပေးချက်များကို မှတ်တမ်းတင်ထားခြင်းမရှိသေးပါ။
No cash expected for this shift.,ဤအပြောင်းအရွှေ့အတွက် မျှော်မှန်းထားသော ငွေကြေးမရှိပါ။
No cash mode configured,ငွေသားမုဒ်ကို ပြင်ဆင်သတ်မှတ်ထားခြင်းမရှိပါ။
No cash movement type is allowed for this POS Profile.,ဤ POS ပရိုဖိုင်အတွက် ငွေသားလှုပ်ရှားမှုအမျိုးအစားကို ခွင့်မပြုပါ။
No cashier PIN is set yet. Create one now.,ငွေကိုင် PIN ကို မသတ်မှတ်ရသေးပါ။ ယခုတစ်ခုဖန်တီးပါ။
No cashier profiles are available for this POS profile yet.,ဤ POS ပရိုဖိုင်အတွက် ငွေကိုင်ပရိုဖိုင်များကို မရရှိနိုင်သေးပါ။
No cashier-wise discount/void/return activity.,ငွေကိုင်ဖြင့် လျှော့စျေး/ပျက်ပြယ်/ပြန်ပေးသည့် လုပ်ဆောင်ချက်မရှိပါ။
No category data found.,အမျိုးအစားဒေတာမတွေ့ပါ။
No category profitability data found.,အမျိုးအစားအလိုက် အမြတ်အစွန်းရရှိမှုဒေတာကို ရှာမတွေ့ပါ။
No change returned recorded for this shift.,ဤအပြောင်းအရွှေ့အတွက် မှတ်တမ်းတင်ထားသော အပြောင်းအလဲမရှိပါ။
No change-allocation invoices match the current filters.,လက်ရှိ စစ်ထုတ်မှုများနှင့် ကိုက်ညီသော ပြောင်းလဲမှု-ခွဲဝေပေးချေမှု မရှိပါ။
No charge head breakdown found.,အခကြေးငွေ ပြတ်တောက်မှု မတွေ့ရှိရပါ။
No Company Selected,မည်သည့်ကုမ္ပဏီမှ ရွေးချယ်ထားခြင်းမရှိပါ။
No customer sales data found.,ဖောက်သည်အရောင်းဒေတာကို ရှာမတွေ့ပါ။
No day-wise discount/void/return trend.,နေ့အလိုက် လျှော့စျေး/ပျက်ပြယ်/ပြန်သွားမည့် လမ်းကြောင်းမရှိပါ။
No day-wise payment data found.,နေ့အလိုက် ငွေပေးချေမှုဒေတာ မတွေ့ပါ။
No day-wise profitability trend found.,နေ့အလိုက် အမြတ်အစွန်းထွက်နိုင်မှုလမ်းကြောင်းကို ရှာမတွေ့ပါ။
No day-wise purchase data found.,နေ့အလိုက် ဝယ်ယူမှုဒေတာ မတွေ့ပါ။
No day-wise sales trend found.,နေ့အလိုက် အရောင်းလမ်းကြောင်း မတွေ့ပါ။
No day-wise tax/charges trend found.,နေ့အလိုက် အခွန်/ကောက်ခံမှုများ လမ်းကြောင်းကို ရှာမတွေ့ပါ။
No dead stock items.,အသေအပျောက်ပစ္စည်းများမရှိပါ။
No due date,သတ်မှတ်ရက် မရှိပါ။
No exact repair match found for this invoice,ဤငွေတောင်းခံလွှာအတွက် ပြုပြင်ရန် အတိအကျကိုက်ညီမှု မတွေ့ပါ။
No hourly sales trend found for today.,ယနေ့အတွက် နာရီအလိုက် အရောင်းလမ်းကြောင်းကို ရှာမတွေ့ပါ။
No invoice activity found.,ပြေစာ လုပ်ဆောင်ချက် မတွေ့ပါ။
No invoices found,ပြေစာမတွေ့ပါ။
No invoices found. Try different search criteria.,ပြေစာမတွေ့ပါ။ မတူညီသော ရှာဖွေမှုစံနှုန်းများကို စမ်းကြည့်ပါ။
No invoices recorded for this shift.,ဤအပြောင်းအရွှေ့အတွက် ငွေတောင်းခံလွှာများကို မှတ်တမ်းတင်ထားခြင်းမရှိပါ။
No item profitability data found.,မည်သည့်အရာမှ အမြတ်အစွန်းရရှိမှုဒေတာကို ရှာမတွေ့ပါ။
No item sales data found for this period.,ဤကာလအတွက် ကုန်ပစ္စည်းအရောင်းဒေတာကို ရှာမတွေ့ပါ။
No items found,မည်သည့်အရာမှ ရှာမတွေ့ပါ။
No items in cart,လှည်းထဲတွင် ပစ္စည်းမရှိပါ။
No items with barcodes to print,ပရင့်ထုတ်ရန် ဘားကုဒ်များပါသည့် အရာများမရှိပါ။
No location-wise top item data found.,တည်နေရာအလိုက် ထိပ်တန်းအရာဒေတာကို ရှာမတွေ့ပါ။
No low stock alerts right now.,လောလောဆယ် စတော့နည်းသော သတိပေးချက်များ မရှိပါ။
No low stock items.,စျေးနည်းသောပစ္စည်းများမရှိပါ။
No matching items in cart,လှည်းထဲတွင် ကိုက်ညီသည့်အရာများမရှိပါ။
No month-wise sales trend found.,လအလိုက် အရောင်းလမ်းကြောင်း မတွေ့ပါ။
No negative stock items.,အနုတ်လက္ခဏာစတော့ရှယ်ယာပစ္စည်းများမရှိပါ။
No notifications yet,အကြောင်းကြားချက်များ မရှိသေးပါ။
No offline cash movement synced.,အော့ဖ်လိုင်းငွေသားလှုပ်ရှားမှုကို စင့်ခ်လုပ်ထားခြင်းမရှိပါ။
No offline invoices pending synchronization,အော့ဖ်လိုင်း ပြေစာများ ထပ်တူပြုခြင်း ဆိုင်းငံ့ထားခြင်း မရှိပါ။
No offline sync issues recorded yet.,အော့ဖ်လိုင်းစင့်ခ်လုပ်ခြင်းပြဿနာများကို မှတ်တမ်းတင်ထားခြင်းမရှိသေးပါ။
No out-of-stock items.,လက်ကျန်ပစ္စည်းများမရှိပါ။
No outstanding credit invoices for this shift.,ဤအပြောင်းအရွှေ့အတွက် ထူးခြားသော ခရက်ဒစ်ပြေစာများ မရှိပါ။
No payment collection data found.,ငွေပေးချေမှု ကောက်ခံမှုဒေတာ မတွေ့ပါ။
No payment rows available on this invoice.,ဤငွေတောင်းခံလွှာတွင် ငွေပေးချေမှုအတန်းများ မရရှိနိုင်ပါ။
No payments registered for this shift.,ဤအပြောင်းအရွှေ့အတွက် ငွေပေးချေမှုစာရင်းသွင်းထားခြင်းမရှိပါ။
No pending balances in this period.,ဤကာလအတွင်း ဆိုင်းငံ့ထားသော လက်ကျန်ငွေများ မရှိပါ။
No pending offline invoices,အော့ဖ်လိုင်း ဆိုင်းငံ့ထားသော ငွေတောင်းခံလွှာများ မရှိပါ။
No Print Formats Found,ပရင့်ဖော်မတ်များ မတွေ့ပါ။
No profiles found for selected scope. Falling back to current profile failed.,ရွေးချယ်ထားသော နယ်ပယ်အတွက် ပရိုဖိုင်များကို ရှာမတွေ့ပါ။ လက်ရှိပရိုဖိုင်သို့ ပြန်သွားရန် မအောင်မြင်ပါ။
No recent customer activity found.,မကြာသေးမီက ဖောက်သည် လုပ်ဆောင်ချက်ကို ရှာမတွေ့ပါ။
No recent stock entries found.,လတ်တလော စတော့ရှယ်ယာများ မတွေ့ပါ။
No records found,မှတ်တမ်းများ မတွေ့ပါ။
No reorder suggestions right now.,ယခု ပြန်လည်မှာယူရန် အကြံပြုချက်များ မရှိပါ။
No repeat customers in this period.,ဤကာလတွင် ထပ်ခါတလဲလဲ ဖောက်သည်မရှိ။
No response from server,ဆာဗာမှ တုံ့ပြန်မှုမရှိပါ။
No return invoices found,ပြန်ပေးသည့် ပြေစာမတွေ့ပါ။
No return item trend found.,ပြန်လာမည့်အရာလမ်းကြောင်းကို ရှာမတွေ့ပါ။
No returnable items found for this invoice,ဤငွေတောင်းခံလွှာအတွက် ပြန်နိုင်သော အရာများ မတွေ့ပါ။
No returns were processed in this shift.,ဤအပြောင်းအရွှေ့တွင် ပြန်အမ်းငွေ မလုပ်ဆောင်ခဲ့ပါ။
No risk activity found.,အန္တရာယ်ရှိသော လုပ်ဆောင်ချက်ကို မတွေ့ပါ။
No sales activity found for this period.,ဤကာလအတွင်း အရောင်းလှုပ်ရှားမှု မတွေ့ပါ။
No slow moving items.,နှေးကွေးသော ရွေ့လျားနေသော အရာများ မရှိပါ။
No staff sales activity found.,ဝန်ထမ်းများ အရောင်းလှုပ်ရှားမှု မတွေ့ပါ။
No stock movement for this period.,ဤကာလအတွင်း စတော့ရှယ်ယာလှုပ်ရှားမှုမရှိပါ။
No submitted cash movements in this shift.,ဤအပြောင်းအရွှေ့တွင် တင်သွင်းထားသော ငွေသားလှုပ်ရှားမှုမရှိပါ။
No supplier purchases found in this month.,ပေးသွင်းသူ ဝယ်ယူမှုများကို ယခုလတွင် မတွေ့ပါ။
No suppliers found for this period.,ဤကာလအတွင်း ပေးသွင်းသူများကို မတွေ့ပါ။
No sync trigger has run yet in this session.,ဤစက်ရှင်တွင် စင့်ခ်လုပ်ခြင်း အစပျိုးခြင်း မရှိသေးပါ။
No tax head breakdown found.,အခွန်စည်းကြပ်မှု ပျက်ပြားမှု မတွေ့ရ။
No top items found for this location.,ဤတည်နေရာအတွက် ထိပ်တန်းအရာများ မတွေ့ပါ။
No unpaid invoices,အခကြေးငွေမယူရသေးသော ငွေတောင်းခံလွှာများ မရှိပါ။
No variant data found.,မူကွဲဒေတာမတွေ့ပါ။
No week-wise sales trend found.,ရက်သတ္တပတ်အလိုက် အရောင်းလမ်းကြောင်း မတွေ့ပါ။
No.,မရှိ
Nobile Number,Nobile Number
Not available,မရရှိနိုင်ပါ။
Not checked,မစစ်ဆေးပါ။
Not selected,မရွေးချယ်ပါ။
Not Set,မသတ်မှတ်ပါ။
Notifications,အသိပေးချက်များ
Offer,ဝေငှခြင်း။
Offer Applied,ကမ်းလှမ်းချက်ကို အသုံးပြုထားသည်။
Offer criteria exceeded,ကမ်းလှမ်းချက်သတ်မှတ်ချက်ကို ကျော်လွန်သွားပါပြီ။
Offer Item,ကမ်းလှမ်းချက်
Offer item unavailable,ကမ်းလှမ်းချက်ကို မရနိုင်ပါ။
Offer Removed,ကမ်းလှမ်းချက်ကို ဖယ်ရှားခဲ့သည်။
Offer UOM cannot be changed,ကမ်းလှမ်းချက် UOM ကို ပြောင်းလဲ၍မရပါ။
Offer?,ကမ်းလှမ်းမှုလား?
Offers,ကမ်းလှမ်းမှုများ
Offline,အော့ဖ်လိုင်း
Offline & Sync,အော့ဖ်လိုင်းနှင့် စင့်ခ်လုပ်ခြင်း။
Offline Capabilities,အော့ဖ်လိုင်းစွမ်းဆောင်ရည်များ
Offline data status refreshed,အော့ဖ်လိုင်းဒေတာအခြေအနေကို ပြန်လည်စတင်ခဲ့သည်။
Offline diagnostics,အော့ဖ်လိုင်းရောဂါရှာဖွေမှုများ
Offline Invoices,အော့ဖ်လိုင်း ပြေစာများ
Offline invoices status,အော့ဖ်လိုင်း ငွေတောင်းခံလွှာ အခြေအနေ
Offline invoices synced,အော့ဖ်လိုင်း ပြေစာများကို စင့်ခ်လုပ်ထားသည်။
Offline Queue: {0},အော့ဖ်လိုင်းစာရင်း- {0}
Offline rebuild guidance,အော့ဖ်လိုင်း ပြန်လည်တည်ဆောက်ရန် လမ်းညွှန်ချက်
Offline restore is unavailable for this session.,အော့ဖ်လိုင်းပြန်လည်ရယူခြင်းကို ဤစက်ရှင်အတွက် မရနိုင်ပါ။
Offline selling is available with degraded capabilities.,အော့ဖ်လိုင်းရောင်းချခြင်းကို ယုတ်ညံ့သောစွမ်းရည်များဖြင့် ရရှိနိုင်သည်။
Offline snapshot does not match the current POS state.,အော့ဖ်လိုင်းလျှပ်တစ်ပြက်ရိုက်ချက်သည် လက်ရှိ POS အခြေအနေနှင့် မကိုက်ညီပါ။
Offline Status,အော့ဖ်လိုင်းအခြေအနေ
"Offline, terminal, and system controls",အော့ဖ်လိုင်း၊ Terminal နှင့် စနစ်ထိန်းချုပ်မှုများ
OK,အိုကေ
Online,အွန်လိုင်း
Open actions menu,လုပ်ဆောင်ချက်များမီနူးကိုဖွင့်ပါ။
Open balance to collect,စုဆောင်းရန် လက်ကျန်ကို ဖွင့်ပါ။
Open Customer Display,Customer Display ကိုဖွင့်ပါ။
Open drawer,အံဆွဲဖွင့်ပါ။
Open invoices,ငွေတောင်းခံလွှာများကို ဖွင့်ပါ။
Open Payments?,ငွေပေးချေမှုများကို ဖွင့်မလား။
Open POS home,POS home ကိုဖွင့်ပါ။
Open this screen from POS Menu -> Open Customer Display.,POS Menu -> Open Customer Display မှ ဤစခရင်ကိုဖွင့်ပါ။
OpenCV image processing enabled - Enhanced barcode detection,OpenCV ရုပ်ပုံလုပ်ဆောင်ခြင်းကို ဖွင့်ထားသည် - အဆင့်မြှင့်တင်ထားသော ဘားကုဒ်ထောက်လှမ်းခြင်း။
OpenCV image processing unavailable on this device,OpenCV ရုပ်ပုံလုပ်ဆောင်ခြင်းကို ဤစက်ပစ္စည်းတွင် မရရှိနိုင်ပါ။
OpenCV Off,OpenCV Off
OpenCV On,OpenCV ကိုဖွင့်ပါ။
OpenCV processing disabled,OpenCV လုပ်ဆောင်ခြင်းကို ပိတ်ထားသည်။
Opening Amount,အဖွင့်ပမာဏ
Opening Cash,ငွေသားဖွင့်ခြင်း။
options,ရွေးချယ်စရာများ
Order,အော်
Original,မူရင်း
Other,တခြား
Out,အဲ
Out of Stock,ပစ္စည်းပြတ်သွားပြီ
Out of Stock Items,ပစ္စည်းပြတ်သွားပြီ
Outstanding,ထူးချွန်သည်။
Outstanding Credit by Currency,ငွေကြေးအားဖြင့် ထူးချွန်သော ခရက်ဒစ်
Overdue,ရက်လွန်ပြီ။
Overpayment Change,ငွေပိုပေးချေမှု ပြောင်းလဲခြင်း။
Overpayment change deducted: {0},ငွေပိုပေးချေမှု အပြောင်းအလဲကို နုတ်ယူထားသည်- {0}
Packing List,ထုပ်ပိုးမှုစာရင်း
Page Format,စာမျက်နှာပုံစံ
Page unavailable offline,စာမျက်နှာကို အော့ဖ်လိုင်း မရနိုင်ပါ။
Paid,အခကြေးငွေ
Paid (orig):,ပေးချေသည် (ရင်းမြစ်):
Paid Amount,ပေးဆောင်သည့်ပမာဏ
Paid change cannot be greater than total change!,အခပေး အပြောင်းအလဲသည် စုစုပေါင်းပြောင်းလဲမှုထက် မကြီးနိုင်ပါ။
Paid:,ပေးဆောင်သည်-
Parent Item,မိဘအရာ
Partial,တပိုင်းတစ
Partly Paid,တစ်စိတ်တစ်ပိုင်းပေးချေသည်။
Party Account,ပါတီအကောင့်
Party Type,ပါတီအမျိုးအစား
Pause terminal until next cashier,နောက် ငွေကိုင်သည်အထိ ဂိတ်ကို ခဏရပ်ပါ။
PAY,ငွေပေးချေပါ။
Payment,ငွေပေးချေမှု
Payment Account,ငွေပေးချေမှုအကောင့်
Payment entries processed for Invoice {0},ပြေစာ {0} အတွက် ငွေပေးချေမှု ထည့်သွင်းမှုများကို လုပ်ဆောင်ပြီးပါပြီ
Payment Entry Type,ငွေပေးချေမှု အမျိုးအစား
Payment History,ငွေပေးချေမှုမှတ်တမ်း
Payment ID,ငွေပေးချေမှု ID
Payment Method Report,ငွေပေးချေမှုနည်းလမ်းအစီရင်ခံစာ
Payment Methods,ငွေပေးချေမှုနည်းလမ်းများ
Payment of {0} received successfully.,{0} ၏ပေးချေမှုကို အောင်မြင်စွာလက်ခံရရှိခဲ့သည်။
Payment Progress,ငွေပေးချေမှု တိုးတက်မှု
Payment Reconciliation,ငွေပေးချေမှု ပြန်လည်ညှိနှိုင်းရေး
Payment request status could not be retrieved. Please try again,ငွေပေးချေမှုတောင်းဆိုမှု အခြေအနေအား ပြန်လည်ရယူ၍မရပါ။ ထပ်စမ်းကြည့်ပါ။
Payment Request took too long to respond. Please try requesting for payment again,ငွေပေးချေမှုတောင်းဆိုမှုကို တုံ့ပြန်ရန် အလွန်ကြာပါသည်။ ကျေးဇူးပြု၍ ငွေပေးချေရန် ထပ်မံတောင်းဆိုကြည့်ပါ။
Payment saved offline,ငွေပေးချေမှုကို အော့ဖ်လိုင်းတွင် သိမ်းဆည်းထားသည်။
Payment State,ငွေပေးချေမှုအခြေအနေ
Payment Status,ငွေပေးချေမှုအခြေအနေ
Payment submitted but print function could not be executed. Payment name not found.,ငွေပေးချေမှုကို တင်ပြသော်လည်း ပရင့်လုပ်ဆောင်ချက်ကို လုပ်ဆောင်၍မရပါ။ ငွေပေးချေမှုအမည်ကို ရှာမတွေ့ပါ။
Payment submitted.,ပေးသွင်းပြီးပါပြီ။
Payment Summary,ငွေပေးချေမှု အကျဉ်းချုပ်
Payments,ငွေပေးချေမှုများ
Payments are not open. Do you want to open payments and submit?,ငွေပေးချေမှုများကို မဖွင့်ပါ။ ငွေပေးချေမှုများကို ဖွင့်ပြီး တင်သွင်းလိုပါသလား။
Payments by Mode of Payment,ငွေပေးချေမှုပုံစံဖြင့် ငွေပေးချေမှုများ
PDF,PDF
Peak Hour,အမြင့်ဆုံးနာရီ
Peak Memory:,အမြင့်ဆုံးမှတ်ဉာဏ်-
Peak Server:,Peak ဆာဗာ-
Peak:,အထွတ်အထိပ်-
Pending,ဆိုင်းငံ့ထားသည်။
Pending Amount,စောင့်ဆိုင်းနေသော ပမာဏ
Pending count updated from {0} to {1},စောင့်ဆိုင်းနေသော အရေအတွက်ကို {0} မှ {1} သို့ အပ်ဒိတ်လုပ်ထားသည်
Pending Exposure,အလင်းဝင်မှုကို ဆိုင်းငံ့ထားသည်။
Pending Invoices,ဆိုင်းငံ့ထားသော ငွေတောင်းခံလွှာများ
Pending Ratio,Pending Ratio
Pending Sales,ဆိုင်းငံ့ထားသော အရောင်း
Pending sales: {0} | Cache usage: {1}%,ဆိုင်းငံ့ရောင်းချမှု- {0} | ကက်ရှ်အသုံးပြုမှု- {1}%
Pending Sync,စင့်ခ်လုပ်ခြင်းကို ဆိုင်းငံ့ထားသည်။
Pending: {0},ဆိုင်းငံ့ထားသည်- {0}
Pending: {0} | Synced: {1} | Draft: {2},ဆိုင်းငံ့ထားသည်- {0} | စင့်ခ်လုပ်ထားသည်- {1} | မူကြမ်း- {2}
Per Page,စာမျက်နှာတစ်ခုစီ
Personal,ပုဂ္ဂိုလ်ရေး
Personal preferences adjust the current cashier experience without changing the active POS route.,လက်ရှိ POS လမ်းကြောင်းကို မပြောင်းလဲဘဲ ကိုယ်ရေးကိုယ်တာ ဦးစားပေးမှုများသည် လက်ရှိ ငွေကိုင်အတွေ့အကြုံကို ချိန်ညှိပါသည်။
PIN confirmation does not match.,ပင်နံပါတ်အတည်ပြုချက်နှင့် မကိုက်ညီပါ။
PIN must be 4 to 8 digits.,ပင်နံပါတ်သည် ဂဏန်း ၄ လုံးမှ ၈ လုံးဖြစ်ရမည်။
Please add at least one item.,ကျေးဇူးပြု၍ အနည်းဆုံးတစ်ခုထည့်ပါ။
Please allow camera access to scan codes,ကျေးဇူးပြု၍ ကုဒ်များကို စကင်န်ဖတ်ရန် ကင်မရာဝင်ရောက်ခွင့်ကို ခွင့်ပြုပါ။
Please enter payment amount,ကျေးဇူးပြု၍ ငွေပေးချေမှုပမာဏကို ထည့်သွင်းပါ။
Please fill all required fields,လိုအပ်သောအကွက်များအားလုံးကို ဖြည့်စွက်ပါ။
Please make a payment or select a payment,ကျေးဇူးပြု၍ ငွေပေးချေမှုပြုလုပ်ပါ သို့မဟုတ် ငွေပေးချေမှုတစ်ခုကို ရွေးချယ်ပါ။
Please request phone payment or use another payment method,ကျေးဇူးပြု၍ ဖုန်းငွေပေးချေမှုကို တောင်းဆိုပါ သို့မဟုတ် အခြားငွေပေးချေမှုနည်းလမ်းကို အသုံးပြုပါ။
Please select a customer first,ကျေးဇူးပြု၍ ဖောက်သည်တစ်ဦးကို ဦးစွာရွေးချယ်ပါ။
Please select a party,ပါတီတစ်ခုကို ရွေးချယ်ပါ။
Please select a party before reconciling.,ပြန်လည်သင့်မြတ်ခြင်းမပြုမီ ပါတီတစ်ခုကို ရွေးချယ်ပါ။
Please select a valid movement type.,ကျေးဇူးပြု၍ မှန်ကန်သော လှုပ်ရှားမှုအမျိုးအစားကို ရွေးချယ်ပါ။
Please select an invoice,ငွေတောင်းခံလွှာကို ရွေးချယ်ပါ။
Please select company before reconciling.,မညှိနှိုင်းမီ ကုမ္ပဏီကို ရွေးချယ်ပါ။
Please set the customer's mobile number,ကျေးဇူးပြု၍ သုံးစွဲသူ၏ မိုဘိုင်းနံပါတ်ကို သတ်မှတ်ပါ။
Please try again or enter the item manually.,ကျေးဇူးပြု၍ ထပ်စမ်းကြည့်ပါ သို့မဟုတ် ၎င်းကို ကိုယ်တိုင်ထည့်ပါ။
Please verify the barcode or check the item's availability.,ကျေးဇူးပြု၍ ဘားကုဒ်ကို အတည်ပြုပါ သို့မဟုတ် ပစ္စည်း၏ရရှိနိုင်မှုကို စစ်ဆေးပါ။
Points,အမှတ်များ
Popup blocked. Please allow popups.,ပေါ့ပ်အပ်ကို ပိတ်ဆို့ထားသည်။ ပေါ့ပ်အပ်များကို ခွင့်ပြုပါ။
POS,POS
POS controls and maintenance,POS ထိန်းချုပ်မှုနှင့် ပြုပြင်ထိန်းသိမ်းမှု
POS Expense is disabled for this POS Profile.,ဤ POS ပရိုဖိုင်အတွက် POS ကုန်ကျစရိတ်ကို ပိတ်ထားသည်။
POS is running with limited offline prerequisites.,အကန့်အသတ်ရှိသော အော့ဖ်လိုင်းကြိုတင်လိုအပ်ချက်များဖြင့် POS ကို လုပ်ဆောင်နေပါသည်။
POS Profile,POS Profile
Position the QR code or barcode within the scanning area,စကင်န်ဖတ်ဧရိယာအတွင်း QR ကုဒ် သို့မဟုတ် ဘားကုဒ်ကို နေရာချပါ။
Posting,တင်လိုက်တယ်။
Posting and Price List,တင်ခြင်းနှင့်စျေးနှုန်းစာရင်း
Posting Date,ပို့စ်တင်ရက်စွဲ
Preparing background sync,နောက်ခံစင့်ခ်လုပ်ခြင်းကို ပြင်ဆင်နေသည်။
"Press OK to continue offline with a warning, or Cancel to retry.",သတိပေးချက်ဖြင့် အော့ဖ်လိုင်းဆက်လုပ်ရန် OK ကိုနှိပ်ပါ သို့မဟုတ် ထပ်ကြိုးစားရန် Cancel။
Previous unit of measure,ယခင်တိုင်းတာမှုယူနစ်
Price List,စျေးနှုန်းစာရင်း
Price List Rate,စျေးနှုန်းစာရင်းနှုန်း
Price list rate updated locally only,ဈေးနှုန်းစာရင်း နှုန်းထားများကို ပြည်တွင်း၌သာ အပ်ဒိတ်လုပ်ထားသည်။
Pricing & Discounts,စျေးနှုန်းနှင့် လျှော့စျေးများ
Pricing Rule,စျေးနှုန်းစည်းမျဉ်း
Print,ညောင်ပင်
Print Draft,ပုံနှိပ်မူကြမ်း
Print Format (Invoice),ပရင့်ဖော်မတ် (ပြေစာ)
Print Format (Order),ပရင့်ဖော်မတ် (အမှာစာ)
Print invoice,ပြေစာထုတ်ယူပါ။
Print Purchase Invoice instead of PO,PO အစား ဝယ်ယူမှုပြေစာအား ပရင့်ထုတ်ပါ။
Printer,ပုံနှိပ်စက်
Processed returns impacting the shift totals,အပြောင်းအရွှေ့ စုစုပေါင်းအပေါ် သက်ရောက်မှုရှိသော စီမံပြီးသော ရလဒ်များ
Processing Payment,ငွေပေးချေမှုကို လုပ်ဆောင်နေသည်။
Processing payment entries for Invoice {0},ပြေစာ {0} အတွက် ငွေပေးချေမှု ထည့်သွင်းမှုများကို လုပ်ဆောင်နေသည်
Profile,ကိုယ်ရေးအကျဉ်း
Profiles,ကိုယ်ရေးအကျဉ်းများ
Profit,အမြတ်
Profit: Invoice Item Estimate,အမြတ်- ပြေစာ ပစ္စည်း ခန့်မှန်းခြေ
Profit: Stock Ledger (COGS),အမြတ်- စတော့စာရင်းရှင်းတမ်း (COGS)
Profitability Report,အမြတ်အစွန်းအစီရင်ခံစာ
Prorated return discount,အချိုးကျ ပြန်လျှော့စျေး
Purchase Amount,ဝယ်ယူမှုပမာဏ
Purchase Invoices,ငွေတောင်းခံလွှာများ ဝယ်ယူပါ။
Purchase Order created,အဝယ်အမှာစာ ဖန်တီးထားသည်။
Qty,အရေအတွက်
Qualified,အရည်အချင်းပြည့်မီသည်။
Quantity,အရေအတွက်
Quantity exceeds available stock,အရေအတွက်သည် ရနိုင်သောစတော့ရှယ်ယာထက် ကျော်လွန်နေပါသည်။
Quick Actions,အမြန်လုပ်ဆောင်မှုများ
Quotation {0} is Submitted,ကိုးကားချက် {0} ကို တင်ပြထားပါသည်။
Quotation submitted,ကိုးကားတင်သွင်းခဲ့သည်။
QZ Tray connected.,QZ Tray ချိတ်ဆက်ထားသည်။
QZ Tray is manually disconnected. Press Connect to enable it again.,QZ Tray ကို ကိုယ်တိုင် ဖြုတ်ထားသည်။ ပြန်ဖွင့်ရန် ချိတ်ဆက်ရန် နှိပ်ပါ။
QZ Tray is not connected.,QZ Tray ကို မချိတ်ဆက်ပါ။
QZ Tray Setup,QZ Tray စနစ်ထည့်သွင်းခြင်း။
Rate,နှုန်းထား
Rate adjusted to maximum allowed discount,နှုန်းထားကို အများဆုံးခွင့်ပြုထားသော လျှော့စျေးသို့ ချိန်ညှိထားသည်။
Ready,အဆင်သင့်
Ready to resume,ပြန်လည်စတင်ရန် အဆင်သင့်ဖြစ်နေပါပြီ။
Ready!,အဆင်သင့်။
Real-time POS insights for retail operations.,လက်လီလုပ်ငန်းများအတွက် အချိန်နှင့်တပြေးညီ POS ထိုးထွင်းသိမြင်မှု။
Rebuild Offline Data,အော့ဖ်လိုင်းဒေတာကို ပြန်လည်တည်ဆောက်ပါ။
Receive,လက်ခံသည်။
Receive now,ယခုလက်ခံပါ။
Received,ရရှိခဲ့သည်။
Received:,လက်ခံရရှိသည်-
Recent Movement Entries,လတ်တလော လှုပ်ရှားမှုများ
Recent updates about your invoices,သင့်ငွေတောင်းခံလွှာများအကြောင်း မကြာသေးမီက အပ်ဒိတ်များ
Recently Active Customers,လတ်တလော အသုံးပြုနေသော Customers
Rechecking connection,ချိတ်ဆက်မှုကို ပြန်လည်စစ်ဆေးနေသည်။
Reconcile payment methods and close shift,ငွေပေးချေမှုနည်းလမ်းများကို ပြန်လည်ညှိနှိုင်းပြီး အပြောင်းအရွှေ့ကို ပိတ်ပါ။
Reconciling Payments,ပေးချေမှုများ ပြန်လည်ညှိနှိုင်းခြင်း။
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.",အွန်လိုင်းတွင် တစ်ကြိမ် ပြန်လည်ချိတ်ဆက်ပြီး ဤစာမျက်နှာကို ဖွင့်ပါ၊ ထို့နောက် အော့ဖ်လိုင်း ပြန်လည်ဆန်းသစ်မှုများက ၎င်းကို ပြန်လည်ရယူနိုင်မည်ဖြစ်သည်။
Reconnect online to refresh cached offline data from the server.,ဆာဗာမှ သိမ်းဆည်းထားသော အော့ဖ်လိုင်းဒေတာကို ပြန်လည်စတင်ရန်အတွက် အွန်လိုင်းကို ပြန်လည်ချိတ်ဆက်ပါ။
