POS Awesome,POS Fantastiskt
Top Tables,Toppbord
Top Tax Head,Högsta skattechefen
Top Up Amount,Påfyllningsmängd
Top Up Card,Påfyllningskort
Top Up Mode,Påfyllningsläge
Top Variant,Toppvariant
Total,Totalt
Total Amount,Totalt belopp
Total Change,Total förändring
Total Charges,Totala avgifter
Total In,Totalt in
Total Invoices,Totala fakturor
Total Items,Totalt antal artiklar
Total Mpesa,Totalt Mpesa
Total Out,Totalt ut
Total Payments,Totala betalningar
Total Purchase,Totalt köp
Total Selected :,Totalt valda:
Total Size,Total storlek
Total Stock Qty,Totalt lager
Total:,Totalt:
Totals by Invoice Currency,Summor per fakturavaluta
Track how much cash was handed back to customers,Spåra hur mycket pengar som lämnades tillbaka till kunderna
"Track recent sales, collect unpaid balances, and reopen saved work","Spåra senaste försäljningar, samla in obetalda saldon och öppna sparat arbete igen"
Transaction ID,Transaktions-ID
Transfer,Överföring
Try a different search term or clear the cart search.,Prova en annan sökterm eller rensa kundvagnssökningen.
Try adjusting your search or filters,Prova att justera din sökning eller dina filter
Try another source or refresh the list.,Försök med en annan källa eller uppdatera listan.
Try changing the date range or status filter.,Prova att ändra datumintervallet eller statusfiltret.
Type,Typ
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,Det går inte att komma åt kameran även med grundläggande inställningar. Kontrollera dina kamerabehörigheter och enhetskompatibilitet.
Unable to add offer item {0}. Please refresh and try again.,Det gick inte att lägga till erbjudandeobjektet {0}. Uppdatera och försök igen.
Unable to add offer item. Please refresh and try again.,Det gick inte att lägga till erbjudandeobjekt. Uppdatera och försök igen.
Unable to add scanned item.,Det gick inte att lägga till skannat objekt.
Unable to create purchase order,Det gick inte att skapa inköpsorder
Unable to delete draft invoice,Det gick inte att ta bort fakturautkast
Unable to fetch documents,Det går inte att hämta dokument
Unable to fetch draft orders,Det gick inte att hämta utkast till beställningar
Unable to fetch invoice history,Det gick inte att hämta fakturahistorik
Unable to fetch M-Pesa payments,Det går inte att hämta M-Pesa-betalningar
Unable to fetch sales orders,Det går inte att hämta försäljningsorder
Unable to fetch unpaid invoices,Det går inte att hämta obetalda fakturor
Unable to generate scale barcode,Det gick inte att generera skalstreckkod
Unable to issue gift card.,Det gick inte att utfärda presentkort.
Unable to load cashier PIN status.,Det gick inte att ladda kassans PIN-status.
Unable to load document,Det gick inte att ladda dokumentet
Unable to load draft invoice,Det gick inte att ladda utkast till faktura
Unable to load gift card balance.,Det gick inte att ladda presentkortssaldo.
Unable to load invoice details,Det gick inte att ladda fakturainformation
Unable to load parked order,Det gick inte att ladda parkerad beställning
Unable to load the selected sales order,Det gick inte att ladda den valda försäljningsordern
Unable to prepare document,Det gick inte att förbereda dokumentet
Unable to prepare return invoice,Det gick inte att förbereda returfaktura
Unable to print draft invoice,Det gick inte att skriva ut fakturautkast
Unable to print submitted invoice,Det gick inte att skriva ut skickad faktura
Unable to process document action,Det gick inte att bearbeta dokumentåtgärden
Unable to repair change allocation,Det gick inte att reparera ändringstilldelningen
Unable to save cashier PIN.,Det gick inte att spara kassörens PIN-kod.
Unable to save the rate to the backend price list,Det gick inte att spara priset i backend-prislistan
Unable to submit invoice,Det gick inte att skicka in faktura
Unable to submit the selected payment,Det gick inte att skicka den valda betalningen
Unable to top up gift card.,Det går inte att fylla på presentkort.
Unable to verify cashier PIN.,Det gick inte att verifiera kassans pinkod.
Unallocated,Ej allokerad
Unallocated:,Ej allokerad:
Unavailable,Ej tillgänglig
Unknown,Okänd
Unknown Item,Okänt föremål
Unknown Warehouse,Okänt lager
Unlock POS,Lås upp POS
Unpaid,Obetald
"Unselected payments stay unallocated first, then auto reconcile after submit.","Omarkerade betalningar förblir otilldelade först, sedan automatiskt avstämda efter inlämnande."
UOM,UOM
UOM not found,UOM hittades inte
Update available,Uppdatering tillgänglig
Update Customer,Uppdatera kund
Update PIN,Uppdatera PIN-kod
Update Price List Rate,Uppdatera prislista
Updated,Uppdaterad
Updates and app info that stay out of the cashier flow.,Uppdateringar och appinformation som håller sig utanför kassaflödet.
Updates automatically,Uppdateras automatiskt
Usage,Användning
Usage Stats,Användningsstatistik
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Använd en 4- till 8-siffrig PIN-kod för att byta kassa och låsa upp terminalen.
Use Cashier,Använd Kassa
Use date range to search for older invoices,Använd datumintervall för att söka efter äldre fakturor
"Use one field for manual code entry, barcode scans, or QR scans.","Använd ett fält för manuell kodinmatning, streckkodsskanning eller QR-skanning."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Använd ett arbetsflöde för saldokontroller, nya emissioner och påfyllningar utan att lämna POS."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Använd det här avsnittet när cachad förutsättningsdata behöver en uppdatering, ombyggnad eller diagnostikgranskning."
Use Western numerals,Använd västerländska siffror
Used:,Används:
Using basic camera settings due to device limitations,Använder grundläggande kamerainställningar på grund av enhetsbegränsningar
Using cached customer balance,Använder cachelagrat kundsaldo
Valid until,Gäller till kl
Variance %,Varians %
Variants,Varianter
Variant-wise,Variantmässigt
Verify closing amounts for each payment method,Verifiera avslutande belopp för varje betalningsmetod
View all,Visa alla
View app information and current build details,Visa appinformation och aktuella byggdetaljer
View Data Diagnostics,Visa datadiagnostik
View Details,Visa detaljer
View invoice details,Visa fakturadetaljer
View notifications,Visa aviseringar
View offline invoices,Visa offlinefakturor
View restricted POS insights,Visa begränsade POS-insikter
Void Amount,Ogiltigt belopp
Void Count,Tomräkning
Voids,Tomrum
Waiting for cart items,Väntar på varukorgsartiklar
Waiting for payment...,Väntar på betalning...
Walk-in Customer,Walk-in kund
Warehouse,Lager
Warning: High cache usage may affect performance.,Varning: Hög cacheanvändning kan påverka prestandan.
Warning: High lag may indicate heavy processing or browser slowness.,Varning: Hög fördröjning kan indikera tung bearbetning eller långsamhet i webbläsaren.
Week ?,Vecka?
Week-wise,Veckomässigt
Weight (g),Vikt (g)
Weight (grams),Vikt (gram)
We'll let you know if an invoice fails to submit,Vi meddelar dig om en faktura inte skickas
Workflow,Arbetsflöde
Write off amount cannot exceed the POS profile maximum of {0},Avskrivningsbeloppet får inte överstiga POS-profilens maximala {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,Avskrivningsbeloppet överskrider den tillåtna gränsen ({0}). Lägg till betalning för det återstående beloppet.
Yes,Ja
"Yes, Cancel sale","Ja, avbryt försäljningen"
"Yes, Close","Ja, nära"
You are not allowed to print draft invoices,Du får inte skriva ut utkast till fakturor
You are offline. Add Payment will work again when the connection is restored.,Du är offline. Lägg till betalning kommer att fungera igen när anslutningen är återställd.
You have no notifications right now,Du har inga aviseringar just nu
Your Cart,Din varukorg
