POS Awesome,PDV génial
These invoices will be synced when connection is restored,Ces factures seront synchronisées lorsque la connexion sera rétablie
This action now opens inside the settings workspace.,Cette action s'ouvre désormais dans l'espace de travail des paramètres.
This coupon already used !,Ce coupon déjà utilisé !
This invoice does not need change-allocation repair,Cette facture ne nécessite pas de réparation de modification-allocation
This invoice is already repaired,Cette facture est déjà réparée
This is an item template. Please choose a variant.,Il s'agit d'un modèle d'élément. Veuillez choisir une variante.
this item,cet article
This POS page could not be opened offline because its code was not cached on this terminal yet.,Cette page POS n'a pas pu être ouverte hors ligne car son code n'était pas encore mis en cache sur ce terminal.
This Serial Number {0} has already been added!,Ce numéro de série {0} a déjà été ajouté !
Threshold,Seuil
Time,Temps
Tip: Clear cache regularly to free up space and keep the app fast.,Astuce : videz régulièrement le cache pour libérer de l'espace et maintenir l'application rapide.
Tip: Close unused tabs or apps to reduce lag.,Astuce : Fermez les onglets ou les applications inutilisés pour réduire le décalage.
Tip: Monitor slow queries and table size for optimal performance.,Astuce : Surveillez les requêtes lentes et la taille des tables pour des performances optimales.
To Be Paid,À payer
To Date,À ce jour
Today,Aujourd'hui
Today Profit,Bénéfice d'aujourd'hui
Today Sales,Ventes d'aujourd'hui
Toggle navigation drawer,Basculer le tiroir de navigation
Toggle Theme,Basculer le thème
Tools,Outils
Tools for customer-facing screens and terminal-specific actions.,Outils pour les écrans orientés client et les actions spécifiques au terminal.
Top Brand,Marque supérieure
Top Category,Catégorie supérieure
Top Charge Head,Tête de charge supérieure
Top Customers,Meilleurs clients
Top Discount,Meilleure remise
Top Items by Location,Meilleurs articles par emplacement
Top Margin,Marge supérieure
Top Pending,Haut en attente
Top Profit Item,Article le plus lucratif
Top Return Items,Articles les plus retournés
Top Sales by Cashier,Meilleures ventes par caissier
Top Supplier,Meilleur fournisseur
Top Suppliers by Spend,Principaux fournisseurs par dépense
Top Tables,Tables du haut
Top Tax Head,Tête fiscale supérieure
Top Up Amount,Montant de recharge
Top Up Card,Carte de recharge
Top Up Mode,Mode de recharge
Top Variant,Variante supérieure
Total,Total
Total Amount,Montant total
Total Change,Changement total
Total Charges,Frais totaux
Total In,Entrée totale
Total Invoices,Total des factures
Total Items,Total des articles
Total Mpesa,Total Mpesa
Total Out,Sortie totale
Total Payments,Paiements totaux
Total Purchase,Achat total
Total Selected :,Total sélectionné :
Total Size,Taille totale
Total Stock Qty,Quantité totale en stock
Total:,Total :
Totals by Invoice Currency,Totaux par devise de facturation
Track how much cash was handed back to customers,Suivez le montant d’argent restitué aux clients
"Track recent sales, collect unpaid balances, and reopen saved work","Suivez les ventes récentes, collectez les soldes impayés et rouvrez le travail enregistré"
Transaction ID,ID de transaction
Transfer,Transfert
Try a different search term or clear the cart search.,Essayez un autre terme de recherche ou effacez la recherche du panier.
Try adjusting your search or filters,Essayez d'ajuster votre recherche ou vos filtres
Try another source or refresh the list.,Essayez une autre source ou actualisez la liste.
Try changing the date range or status filter.,Essayez de modifier la plage de dates ou le filtre d'état.
Type,Tapez
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,Impossible d'accéder à la caméra même avec les paramètres de base. Veuillez vérifier les autorisations de votre caméra et la compatibilité de vos appareils.
Unable to add offer item {0}. Please refresh and try again.,Impossible d'ajouter l'élément d'offre {0}. Veuillez actualiser et réessayer.
Unable to add offer item. Please refresh and try again.,Impossible d'ajouter un élément d'offre. Veuillez actualiser et réessayer.
Unable to add scanned item.,Impossible d'ajouter l'élément numérisé.
Unable to create purchase order,Impossible de créer un bon de commande
Unable to delete draft invoice,Impossible de supprimer le brouillon de facture
Unable to fetch documents,Impossible de récupérer les documents
Unable to fetch draft orders,Impossible de récupérer les brouillons de commandes
Unable to fetch invoice history,Impossible de récupérer l'historique des factures
Unable to fetch M-Pesa payments,Impossible de récupérer les paiements M-Pesa
Unable to fetch sales orders,Impossible de récupérer les commandes client
Unable to fetch unpaid invoices,Impossible de récupérer les factures impayées
Unable to generate scale barcode,Impossible de générer le code-barres de la balance
Unable to issue gift card.,Impossible d'émettre une carte cadeau.
Unable to load cashier PIN status.,Impossible de charger le statut du code PIN du caissier.
Unable to load document,Impossible de charger le document
Unable to load draft invoice,Impossible de charger le brouillon de facture
Unable to load gift card balance.,Impossible de charger le solde de la carte-cadeau.
Unable to load invoice details,Impossible de charger les détails de la facture
Unable to load parked order,Impossible de charger la commande garée
Unable to load the selected sales order,Impossible de charger la commande client sélectionnée
Unable to prepare document,Impossible de préparer le document
Unable to prepare return invoice,Impossible de préparer la facture de retour
Unable to print draft invoice,Impossible d'imprimer le brouillon de facture
Unable to print submitted invoice,Impossible d'imprimer la facture soumise
Unable to process document action,Impossible de traiter l'action sur le document
Unable to repair change allocation,Impossible de réparer l'allocation des modifications
Unable to save cashier PIN.,Impossible d'enregistrer le code PIN du caissier.
Unable to save the rate to the backend price list,Impossible d'enregistrer le tarif dans la liste de prix backend
Unable to submit invoice,Impossible de soumettre la facture
Unable to submit the selected payment,Impossible de soumettre le paiement sélectionné
Unable to top up gift card.,Impossible de recharger la carte cadeau.
Unable to verify cashier PIN.,Impossible de vérifier le code PIN du caissier.
Unallocated,Non alloué
Unallocated:,Non alloué :
Unavailable,Indisponible
Unknown,Inconnu
Unknown Item,Objet inconnu
Unknown Warehouse,Entrepôt inconnu
Unlock POS,Débloquez le point de vente
Unpaid,Impayé
"Unselected payments stay unallocated first, then auto reconcile after submit.","Les paiements non sélectionnés restent d'abord non alloués, puis sont automatiquement réconciliés après soumission."
UOM,UdM
UOM not found,UdM introuvable
Update available,Mise à jour disponible
Update Customer,Mettre à jour le client
Update PIN,Mettre à jour le code PIN
Update Price List Rate,Mettre à jour le tarif de la liste de prix
Updated,Mis à jour
Updates and app info that stay out of the cashier flow.,Mises à jour et informations sur les applications qui restent en dehors du flux de caisse.
Updates automatically,Mises à jour automatiquement
Usage,Utilisation
Usage Stats,Statistiques d'utilisation
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Utilisez un code PIN de 4 à 8 chiffres pour changer de caisse et déverrouiller le terminal.
Use Cashier,Utiliser le caissier
Use date range to search for older invoices,Utiliser une plage de dates pour rechercher des factures plus anciennes
"Use one field for manual code entry, barcode scans, or QR scans.","Utilisez un champ pour la saisie manuelle du code, les analyses de codes-barres ou les analyses QR."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Utilisez un seul flux de travail pour les vérifications de solde, les nouvelles émissions et les recharges sans quitter le point de vente."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Utilisez cette section lorsque les données prérequises mises en cache nécessitent une actualisation, une reconstruction ou un examen des diagnostics."
Use Western numerals,Utiliser des chiffres occidentaux
Used:,Utilisé :
Using basic camera settings due to device limitations,Utilisation des paramètres de base de l'appareil photo en raison des limitations de l'appareil
Using cached customer balance,Utiliser le solde client mis en cache
Valid until,Valable jusqu'au
Variance %,Écart %
Variants,Variantes
Variant-wise,En termes de variantes
Verify closing amounts for each payment method,Vérifier les montants de clôture pour chaque mode de paiement
View all,Voir tout
View app information and current build details,Afficher les informations sur l'application et les détails de la version actuelle
View Data Diagnostics,Afficher les diagnostics des données
View Details,Afficher les détails
View invoice details,Afficher les détails de la facture
View notifications,Afficher les notifications
View offline invoices,Afficher les factures hors ligne
View restricted POS insights,Afficher les informations sur les points de vente restreints
Void Amount,Montant annulé
Void Count,Nombre nul
Voids,Vides
Waiting for cart items,En attente des articles du panier
Waiting for payment...,En attente de paiement...
Walk-in Customer,Client sans rendez-vous
Warehouse,Entrepôt
Warning: High cache usage may affect performance.,Avertissement : Une utilisation élevée du cache peut affecter les performances.
Warning: High lag may indicate heavy processing or browser slowness.,Avertissement : un décalage élevé peut indiquer un traitement lourd ou une lenteur du navigateur.
Week ?,Semaine ?
Week-wise,Par semaine
Weight (g),Poids (g)
Weight (grams),Poids (grammes)
We'll let you know if an invoice fails to submit,Nous vous informerons si une facture ne parvient pas à être soumise
Workflow,Flux de travail
Write off amount cannot exceed the POS profile maximum of {0},Le montant de la radiation ne peut pas dépasser le maximum du profil PDV de {0}.
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,Le montant radié dépasse la limite autorisée ({0}). Veuillez ajouter le paiement pour le montant restant.
Yes,Oui
"Yes, Cancel sale","Oui, annuler la vente"
"Yes, Close","Oui, fermer"
You are not allowed to print draft invoices,Vous n'êtes pas autorisé à imprimer des projets de factures
You are offline. Add Payment will work again when the connection is restored.,Vous êtes hors ligne. Ajouter un paiement fonctionnera à nouveau lorsque la connexion sera rétablie.
You have no notifications right now,Vous n'avez aucune notification pour le moment
Your Cart,Votre panier
