POS Awesome,POS Geweldig
Syncing items in background,Items op de achtergrond synchroniseren
System / Diagnostics,Systeem / Diagnostiek
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Systeemacties zijn laagfrequente onderhoudscontroles, zoals app-info, ondersteuningsdiagnostiek en sessiecontroles."
System Information,Systeeminformatie
System Status,Systeemstatus
Tables:,Tabellen:
Tap the button below to redeem a gift card during checkout.,Tik op de onderstaande knop om een cadeaubon in te wisselen tijdens het afrekenen.
Target,Doel
Target Ex. Rate:,Doel bijv. Tarief:
Target Rate:,Doeltarief:
Tax,Belasting
Tax / Charges Report,Belasting-/lastenrapport
Tax Heads,Belastinghoofden
Taxable Amount,Belastbaar bedrag
Tendered,Aanbesteed
Terminal,Terminal
Terminal & Devices,Terminals en apparaten
Terminal locked,Terminal vergrendeld
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Terminaltools zijn van invloed op dit kassastation, klantgerichte displays en toekomstige printer-/apparaatbedieningen."
Territory not found,Territorium niet gevonden
The amount paid is not complete,Het betaalde bedrag is niet volledig
The app stores data locally for offline use. This is called cache.,De app slaat gegevens lokaal op voor offline gebruik. Dit heet cache.
The invoice stayed in draft. Please review and submit it manually.,De factuur bleef in concept. Controleer het en dien het handmatig in.
The maximum discount allowed is,De maximaal toegestane korting is
The quantity for {0} has been adjusted to the maximum available stock.,Het aantal voor {0} is aangepast aan de maximaal beschikbare voorraad.
The system could not retrieve the item details. Please try again.,Het systeem kan de artikelgegevens niet ophalen. Probeer het opnieuw.
These invoices will be synced when connection is restored,Deze facturen worden gesynchroniseerd zodra de verbinding is hersteld
This action now opens inside the settings workspace.,Deze actie wordt nu geopend in de werkruimte Instellingen.
This coupon already used !,Deze coupon is al gebruikt!
This invoice does not need change-allocation repair,Voor deze factuur is geen reparatie met wijzigingstoewijzing nodig
This invoice is already repaired,Deze factuur is al gerepareerd
This is an item template. Please choose a variant.,Dit is een itemsjabloon. Kies een variant.
this item,dit artikel
This POS page could not be opened offline because its code was not cached on this terminal yet.,Deze POS-pagina kon niet offline worden geopend omdat de code nog niet in de cache op deze terminal was opgeslagen.
This Serial Number {0} has already been added!,Dit serienummer {0} is al toegevoegd!
Threshold,Drempel
Time,Tijd
Tip: Clear cache regularly to free up space and keep the app fast.,Tip: Wis het cachegeheugen regelmatig om ruimte vrij te maken en de app snel te houden.
Tip: Close unused tabs or apps to reduce lag.,Tip: Sluit ongebruikte tabbladen of apps om vertraging te verminderen.
Tip: Monitor slow queries and table size for optimal performance.,Tip: Houd langzame query's en tabelgrootte in de gaten voor optimale prestaties.
To Be Paid,Te betalen
To Date,Tot op heden
Today,Vandaag
Today Profit,Vandaag winst
Today Sales,Vandaag verkoop
Toggle navigation drawer,Schakel de navigatielade in
Toggle Theme,Thema wisselen
Tools,Gereedschap
Tools for customer-facing screens and terminal-specific actions.,Tools voor klantgerichte schermen en terminalspecifieke acties.
Top Brand,Topmerk
Top Category,Topcategorie
Top Charge Head,Bovenste laadkop
Top Customers,Topklanten
Top Discount,Topkorting
Top Items by Location,Topartikelen per locatie
Top Margin,Bovenste marge
Top Pending,Bovenaan in behandeling
Top Profit Item,Topwinstartikel
Top Return Items,Top retourartikelen
Top Sales by Cashier,Topverkopen per kassier
Top Supplier,Topleverancier
Top Suppliers by Spend,Topleveranciers op basis van uitgaven
Top Tables,Toptafels
Top Tax Head,Top belastinghoofd
Top Up Amount,Opwaardeerbedrag
Top Up Card,Opwaardeerkaart
Top Up Mode,Opwaardeermodus
Top Variant,Topvariant
Total,Totaal
Total Amount,Totaal bedrag
Total Change,Totale verandering
Total Charges,Totale kosten
Total In,Totaal In
Total Invoices,Totaal facturen
Total Items,Totaal aantal artikelen
Total Mpesa,Totaal Mpesa
Total Out,Totaal uit
Total Payments,Totaal betalingen
Total Purchase,Totale aankoop
Total Selected :,Totaal geselecteerd:
Total Size,Totale grootte
Total Stock Qty,Totaal voorraadaantal
Total:,Totaal:
Totals by Invoice Currency,Totalen per factuurvaluta
Track how much cash was handed back to customers,Houd bij hoeveel geld er aan klanten is teruggegeven
"Track recent sales, collect unpaid balances, and reopen saved work","Houd recente verkopen bij, verzamel onbetaalde saldi en heropen opgeslagen werk"
Transaction ID,Transactie-ID
Transfer,Overdracht
Try a different search term or clear the cart search.,Probeer een andere zoekterm of wis de winkelwagenzoekopdracht.
Try adjusting your search or filters,Probeer uw zoekopdracht of filters aan te passen
Try another source or refresh the list.,Probeer een andere bron of vernieuw de lijst.
Try changing the date range or status filter.,Probeer het datumbereik of statusfilter te wijzigen.
Type,Typ
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,"Geen toegang tot de camera, zelfs niet met basisinstellingen. Controleer uw camerarechten en apparaatcompatibiliteit."
Unable to add offer item {0}. Please refresh and try again.,Kan aanbiedingsitem {0} niet toevoegen. Vernieuw de pagina en probeer het opnieuw.
Unable to add offer item. Please refresh and try again.,Kan aanbiedingsitem niet toevoegen. Vernieuw de pagina en probeer het opnieuw.
Unable to add scanned item.,Kan gescand item niet toevoegen.
Unable to create purchase order,Kan inkooporder niet aanmaken
Unable to delete draft invoice,Kan conceptfactuur niet verwijderen
Unable to fetch documents,Kan documenten niet ophalen
Unable to fetch draft orders,Kan conceptbestellingen niet ophalen
Unable to fetch invoice history,Kan factuurgeschiedenis niet ophalen
Unable to fetch M-Pesa payments,Kan M-Pesa-betalingen niet ophalen
Unable to fetch sales orders,Kan verkooporders niet ophalen
Unable to fetch unpaid invoices,Kan onbetaalde facturen niet ophalen
Unable to generate scale barcode,Kan schaalbarcode niet genereren
Unable to issue gift card.,Kan de cadeaukaart niet uitgeven.
Unable to load cashier PIN status.,Kan de pincode van de kassier niet laden.
Unable to load document,Kan document niet laden
Unable to load draft invoice,Kan conceptfactuur niet laden
Unable to load gift card balance.,Kan het saldo van de cadeaukaart niet laden.
Unable to load invoice details,Kan factuurgegevens niet laden
Unable to load parked order,Kan geparkeerde bestelling niet laden
Unable to load the selected sales order,Kan de geselecteerde verkooporder niet laden
Unable to prepare document,Kan document niet voorbereiden
Unable to prepare return invoice,Kan de retourfactuur niet opmaken
Unable to print draft invoice,Kan conceptfactuur niet afdrukken
Unable to print submitted invoice,Kan ingediende factuur niet afdrukken
Unable to process document action,Kan documentactie niet verwerken
Unable to repair change allocation,Kan de wijzigingstoewijzing niet herstellen
Unable to save cashier PIN.,Kan de pincode van de kassier niet opslaan.
Unable to save the rate to the backend price list,Kan het tarief niet opslaan in de backend-prijslijst
Unable to submit invoice,Kan factuur niet indienen
Unable to submit the selected payment,Kan de geselecteerde betaling niet indienen
Unable to top up gift card.,Kan de cadeaukaart niet opwaarderen.
Unable to verify cashier PIN.,Kan de pincode van de kassamedewerker niet verifiëren.
Unallocated,Niet toegewezen
Unallocated:,Niet toegewezen:
Unavailable,Niet beschikbaar
Unknown,Onbekend
Unknown Item,Onbekend artikel
Unknown Warehouse,Onbekend magazijn
Unlock POS,Ontgrendel POS
Unpaid,Onbetaald
"Unselected payments stay unallocated first, then auto reconcile after submit.",Niet-geselecteerde betalingen blijven eerst niet-toegewezen en worden vervolgens automatisch afgestemd nadat ze zijn verzonden.
UOM,Eenheid
UOM not found,Maateenheid niet gevonden
Update available,Update beschikbaar
Update Customer,Klant bijwerken
Update PIN,Pincode bijwerken
Update Price List Rate,Prijslijsttarief bijwerken
Updated,Bijgewerkt
Updates and app info that stay out of the cashier flow.,Updates en app-info die buiten de kassastroom blijven.
Updates automatically,Wordt automatisch bijgewerkt
Usage,Gebruik
Usage Stats,Gebruiksstatistieken
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Gebruik een pincode van 4 tot 8 cijfers voor het wisselen van kassier en het ontgrendelen van de terminal.
Use Cashier,Gebruik kassier
Use date range to search for older invoices,Gebruik datumbereik om naar oudere facturen te zoeken
"Use one field for manual code entry, barcode scans, or QR scans.","Gebruik één veld voor handmatige code-invoer, barcodescans of QR-scans."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Gebruik één workflow voor saldocontroles, nieuwe uitgiften en opwaarderingen zonder het POS te verlaten."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Gebruik deze sectie wanneer in de cache opgeslagen vereiste gegevens moeten worden vernieuwd, opnieuw moeten worden opgebouwd of een diagnostische beoordeling moet worden uitgevoerd."
Use Western numerals,Gebruik westerse cijfers
Used:,Gebruikt:
Using basic camera settings due to device limitations,Basiscamera-instellingen gebruiken vanwege apparaatbeperkingen
Using cached customer balance,Gebruik van in de cache opgeslagen klantensaldo
Valid until,Geldig tot
Variance %,Variantie %
Variants,Varianten
Variant-wise,Variantgewijs
Verify closing amounts for each payment method,Controleer de eindbedragen voor elke betaalmethode
View all,Bekijk alles
View app information and current build details,Bekijk app-informatie en huidige builddetails
View Data Diagnostics,Gegevensdiagnostiek bekijken
View Details,Details bekijken
View invoice details,Factuurgegevens bekijken
View notifications,Bekijk meldingen
View offline invoices,Offline facturen bekijken
View restricted POS insights,Bekijk beperkte POS-inzichten
Void Amount,Ongeldig bedrag
Void Count,Ongeldige telling
Voids,Leegtes
Waiting for cart items,Wachten op winkelwagenitems
Waiting for payment...,Wachten op betaling...
Walk-in Customer,Inloop klant
Warehouse,Magazijn
Warning: High cache usage may affect performance.,Waarschuwing: Een hoog cachegebruik kan de prestaties beïnvloeden.
Warning: High lag may indicate heavy processing or browser slowness.,Waarschuwing: een hoge vertraging kan duiden op zware verwerking of browsertraagheid.
Week ?,Week ?
Week-wise,Weekgewijs
Weight (g),Gewicht (g)
Weight (grams),Gewicht (gram)
We'll let you know if an invoice fails to submit,"Als een factuur niet wordt ingediend, laten wij u dit weten"
Workflow,Werkstroom
Write off amount cannot exceed the POS profile maximum of {0},Het afgeschreven bedrag mag het POS-profielmaximum van {0} niet overschrijden
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,Het afgeschreven bedrag overschrijdt de toegestane limiet ({0}). Voeg de betaling toe voor het resterende bedrag.
Yes,Ja
"Yes, Cancel sale","Ja, verkoop annuleren"
"Yes, Close","Ja, dichtbij"
You are not allowed to print draft invoices,Het is niet toegestaan conceptfacturen af te drukken
You are offline. Add Payment will work again when the connection is restored.,Je bent offline. Toevoegen Betaling werkt weer zodra de verbinding is hersteld.
You have no notifications right now,Je hebt momenteel geen meldingen
Your Cart,Uw winkelwagen
