POS Awesome,POS Skvělé
Tap the button below to redeem a gift card during checkout.,Klepnutím na tlačítko níže uplatníte dárkovou kartu při placení.
Target,Cíl
Target Ex. Rate:,Cíl Př. sazba:
Target Rate:,Cílová sazba:
Tax,daň
Tax / Charges Report,Zpráva o daních / poplatcích
Tax Heads,Daňové hlavy
Taxable Amount,Zdanitelná částka
Tendered,Nabízeno
Terminal,Terminál
Terminal & Devices,Terminál a zařízení
Terminal locked,Terminál uzamčen
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Terminálové nástroje ovlivňují tuto pokladní stanici, displeje pro zákazníky a budoucí ovládací prvky tiskárny/zařízení."
Territory not found,Území nenalezeno
The amount paid is not complete,Vyplacená částka není úplná
The app stores data locally for offline use. This is called cache.,Aplikace ukládá data lokálně pro použití offline. Tomu se říká cache.
The invoice stayed in draft. Please review and submit it manually.,Faktura zůstala v návrhu. Zkontrolujte a odešlete jej ručně.
The maximum discount allowed is,Maximální povolená sleva je
The quantity for {0} has been adjusted to the maximum available stock.,Množství pro {0} bylo upraveno na maximální dostupné zásoby.
The system could not retrieve the item details. Please try again.,Systém nemohl získat podrobnosti o položce. Zkuste to prosím znovu.
These invoices will be synced when connection is restored,Tyto faktury budou synchronizovány po obnovení připojení
This action now opens inside the settings workspace.,Tato akce se nyní otevře v pracovním prostoru nastavení.
This coupon already used !,Tento kupón je již použit!
This invoice does not need change-allocation repair,Tato faktura nevyžaduje opravu změny alokace
This invoice is already repaired,Tato faktura je již opravena
This is an item template. Please choose a variant.,Toto je šablona položky. Vyberte prosím variantu.
this item,tuto položku
This POS page could not be opened offline because its code was not cached on this terminal yet.,"Tuto stránku POS nelze otevřít offline, protože její kód ještě nebyl uložen v mezipaměti tohoto terminálu."
This Serial Number {0} has already been added!,Toto sériové číslo {0} již bylo přidáno!
Threshold,Práh
Time,Čas
Tip: Clear cache regularly to free up space and keep the app fast.,"Tip: Pravidelně vymazávejte mezipaměť, abyste uvolnili místo a udrželi aplikaci rychlou."
Tip: Close unused tabs or apps to reduce lag.,"Tip: Zavřete nepoužívané karty nebo aplikace, abyste zkrátili zpoždění."
Tip: Monitor slow queries and table size for optimal performance.,Tip: Pro optimální výkon sledujte pomalé dotazy a velikost tabulky.
To Be Paid,Být zaplacen
To Date,K dnešnímu dni
Today,dnes
Today Profit,Dnes Zisk
Today Sales,Dnes Prodeje
Toggle navigation drawer,Přepnout navigační vysouvací panel
Toggle Theme,Přepnout motiv
Tools,Nástroje
Tools for customer-facing screens and terminal-specific actions.,Nástroje pro zákaznické obrazovky a akce specifické pro terminál.
Top Brand,Top Značka
Top Category,Nejlepší kategorie
Top Charge Head,Horní nabíjecí hlava
Top Customers,Nejlepší zákazníci
Top Discount,Top sleva
Top Items by Location,Nejlepší položky podle umístění
Top Margin,Horní okraj
Top Pending,Nahoru Nevyřízeno
Top Profit Item,Nejvyšší zisková položka
Top Return Items,Top položky pro vrácení
Top Sales by Cashier,Nejlepší prodeje od pokladny
Top Supplier,Top dodavatel
Top Suppliers by Spend,Nejlepší dodavatelé podle útraty
Top Tables,Top tabulky
Top Tax Head,Nejvyšší daňový vedoucí
Top Up Amount,Částka dobití
Top Up Card,Dobíjejte kartu
Top Up Mode,Režim dobíjení
Top Variant,Top Varianta
Total,Celkem
Total Amount,Celková částka
Total Change,Celková změna
Total Charges,Celkové poplatky
Total In,Celkem In
Total Invoices,Celkem faktur
Total Items,Celkem položek
Total Mpesa,Celkem Mpesa
Total Out,Total Out
Total Payments,Celkové platby
Total Purchase,Celkový nákup
Total Selected :,Celkem vybrané:
Total Size,Celková velikost
Total Stock Qty,Celkové skladové množství
Total:,Celkem:
Totals by Invoice Currency,Součty podle měny faktury
Track how much cash was handed back to customers,"Sledujte, kolik hotovosti bylo předáno zpět zákazníkům"
"Track recent sales, collect unpaid balances, and reopen saved work","Sledujte nedávné prodeje, sbírejte nezaplacené zůstatky a znovu otevřete uloženou práci"
Transaction ID,ID transakce
Transfer,Přenést
Try a different search term or clear the cart search.,Zkuste jiný hledaný výraz nebo vymažte vyhledávání v košíku.
Try adjusting your search or filters,Zkuste upravit vyhledávání nebo filtry
Try another source or refresh the list.,Zkuste jiný zdroj nebo obnovte seznam.
Try changing the date range or status filter.,Zkuste změnit období nebo filtr stavu.
Type,Typ
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,Nelze přistupovat k fotoaparátu ani se základním nastavením. Zkontrolujte prosím oprávnění k fotoaparátu a kompatibilitu zařízení.
Unable to add offer item {0}. Please refresh and try again.,Nelze přidat položku nabídky {0}. Obnovte stránku a zkuste to znovu.
Unable to add offer item. Please refresh and try again.,Nelze přidat položku nabídky. Obnovte stránku a zkuste to znovu.
Unable to add scanned item.,Nelze přidat naskenovanou položku.
Unable to create purchase order,Nelze vytvořit nákupní objednávku
Unable to delete draft invoice,Koncept faktury nelze smazat
Unable to fetch documents,Nelze načíst dokumenty
Unable to fetch draft orders,Nelze načíst koncepty objednávek
Unable to fetch invoice history,Nelze načíst historii faktur
Unable to fetch M-Pesa payments,Nelze načíst platby M-Pesa
Unable to fetch sales orders,Nelze načíst prodejní objednávky
Unable to fetch unpaid invoices,Nelze načíst nezaplacené faktury
Unable to generate scale barcode,Nelze vygenerovat čárový kód váhy
Unable to issue gift card.,Nelze vydat dárkovou kartu.
Unable to load cashier PIN status.,Nelze načíst stav PIN pokladníka.
Unable to load document,Dokument nelze načíst
Unable to load draft invoice,Koncept faktury nelze načíst
Unable to load gift card balance.,Nelze načíst zůstatek dárkové karty.
Unable to load invoice details,Nelze načíst podrobnosti faktury
Unable to load parked order,Nelze načíst zaparkovanou objednávku
Unable to load the selected sales order,Nelze načíst vybranou prodejní objednávku
Unable to prepare document,Nelze připravit dokument
Unable to prepare return invoice,Nelze připravit zpětnou fakturu
Unable to print draft invoice,Koncept faktury nelze vytisknout
Unable to print submitted invoice,Odeslanou fakturu nelze vytisknout
Unable to process document action,Nelze zpracovat akci dokumentu
Unable to repair change allocation,Nelze opravit přidělení změn
Unable to save cashier PIN.,PIN pokladníka nelze uložit.
Unable to save the rate to the backend price list,Sazbu nelze uložit do backendového ceníku
Unable to submit invoice,Nelze odeslat fakturu
Unable to submit the selected payment,Vybranou platbu nelze odeslat
Unable to top up gift card.,Nelze dobít dárkovou kartu.
Unable to verify cashier PIN.,Nelze ověřit PIN pokladníka.
Unallocated,Nepřiděleno
Unallocated:,Nepřiděleno:
Unavailable,Není k dispozici
Unknown,Neznámý
Unknown Item,Neznámá položka
Unknown Warehouse,Neznámý sklad
Unlock POS,Odemkněte POS
Unpaid,Nezaplaceno
"Unselected payments stay unallocated first, then auto reconcile after submit.","Nevybrané platby zůstanou nejprve nepřiděleny, poté se po odeslání automaticky odsouhlasí."
UOM,UOM
UOM not found,UOM nebyl nalezen
Update available,Aktualizace k dispozici
Update Customer,Aktualizovat zákazníka
Update PIN,Aktualizujte PIN
Update Price List Rate,Aktualizovat sazbu ceníku
Updated,Aktualizováno
Updates and app info that stay out of the cashier flow.,"Aktualizace a informace o aplikacích, které zůstávají mimo tok pokladny."
Updates automatically,Aktualizace automaticky
Usage,Využití
Usage Stats,Statistiky použití
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Pro přepínání pokladního a odemykání terminálu použijte 4 až 8místný PIN.
Use Cashier,Použijte Pokladnu
Use date range to search for older invoices,K vyhledání starších faktur použijte časové období
"Use one field for manual code entry, barcode scans, or QR scans.","Pro ruční zadávání kódu, skenování čárových kódů nebo skenování QR použijte jedno pole."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Použijte jeden pracovní postup pro kontrolu zůstatků, nové vydání a dobíjení, aniž byste museli opustit POS."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Tuto část použijte, když data nezbytných předpokladů uložená v mezipaměti potřebují aktualizaci, nové sestavení nebo kontrolu diagnostiky."
Use Western numerals,Používejte západní číslice
Used:,Použité:
Using basic camera settings due to device limitations,Použití základního nastavení fotoaparátu kvůli omezením zařízení
Using cached customer balance,Pomocí mezipaměti zůstatku zákazníků
Valid until,Platí do
Variance %,% rozptylu
Variants,Varianty
Variant-wise,Variantně
Verify closing amounts for each payment method,Ověřte konečné částky pro každý způsob platby
View all,Zobrazit vše
View app information and current build details,Zobrazte informace o aplikaci a podrobnosti o aktuálním sestavení
View Data Diagnostics,Zobrazit diagnostiku dat
View Details,Zobrazit podrobnosti
View invoice details,Zobrazit podrobnosti faktury
View notifications,Zobrazit oznámení
View offline invoices,Zobrazit offline faktury
View restricted POS insights,Zobrazit omezené statistiky POS
Void Amount,Prázdná částka
Void Count,Prázdný počet
Voids,Prázdniny
Waiting for cart items,Čekání na položky košíku
Waiting for payment...,Čekání na platbu...
Walk-in Customer,Příchozí zákazník
Warehouse,Skladiště
Warning: High cache usage may affect performance.,Upozornění: Vysoké využití mezipaměti může ovlivnit výkon.
Warning: High lag may indicate heavy processing or browser slowness.,Varování: Vysoká prodleva může znamenat náročné zpracování nebo pomalost prohlížeče.
Week ?,týden?
Week-wise,Týdně
Weight (g),Hmotnost (g)
Weight (grams),Hmotnost (gramy)
We'll let you know if an invoice fails to submit,"Pokud se nepodaří odeslat fakturu, dáme vám vědět"
Workflow,Pracovní postup
Write off amount cannot exceed the POS profile maximum of {0},Odepsaná částka nesmí překročit maximální hodnotu profilu POS {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,Odepsaná částka překračuje povolený limit ({0}). Přidejte prosím platbu za zbývající částku.
Yes,Ano
"Yes, Cancel sale","Ano, zrušit prodej"
"Yes, Close","Ano, zavřít"
You are not allowed to print draft invoices,Nemáte povoleno tisknout návrhy faktur
You are offline. Add Payment will work again when the connection is restored.,Jste offline. Po obnovení připojení bude funkce Add Payment znovu fungovat.
You have no notifications right now,Momentálně nemáte žádná oznámení
Your Cart,Váš košík
