POS Awesome,POS-терминал
Top Profit Item,Самая прибыльная статья
Top Return Items,Наиболее часто возвращаемые товары
Top Sales by Cashier,Топ продаж по кассиру
Top Supplier,Лучший поставщик
Top Suppliers by Spend,Лучшие поставщики по расходам
Top Tables,Лучшие столы
Top Tax Head,Главный налоговый директор
Top Up Amount,Сумма пополнения
Top Up Card,Карта пополнения счета
Top Up Mode,Режим пополнения счета
Top Variant,Лучший вариант
Total,Итого
Total Amount,Общая сумма
Total Change,Полное изменение
Total Charges,Общая сумма сборов
Total In,Всего в
Total Invoices,Всего счетов
Total Items,Всего предметов
Total Mpesa,Всего Мпеса
Total Out,Тотал аут
Total Payments,Итого платежей
Total Purchase,Общая сумма покупки
Total Selected :,Всего выбрано:
Total Size,Общий размер
Total Stock Qty,Общее количество на складе
Total:,Итого:
Totals by Invoice Currency,Итоги по валюте счета
Track how much cash was handed back to customers,"Отслеживайте, сколько денег было возвращено клиентам"
"Track recent sales, collect unpaid balances, and reopen saved work","Отслеживайте недавние продажи, собирайте неоплаченные остатки и повторно открывайте сохраненную работу."
Transaction ID,Идентификатор транзакции
Transfer,Трансфер
Try a different search term or clear the cart search.,Попробуйте другой поисковый запрос или очистите поиск в корзине.
Try adjusting your search or filters,Попробуйте настроить поиск или фильтры.
Try another source or refresh the list.,Попробуйте другой источник или обновите список.
Try changing the date range or status filter.,Попробуйте изменить диапазон дат или фильтр статуса.
Type,Тип
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,"Невозможно получить доступ к камере даже с базовыми настройками. Пожалуйста, проверьте разрешения вашей камеры и совместимость устройства."
Unable to add offer item {0}. Please refresh and try again.,"Невозможно добавить элемент предложения {0}. Пожалуйста, обновите и повторите попытку."
Unable to add offer item. Please refresh and try again.,"Невозможно добавить элемент предложения. Пожалуйста, обновите и повторите попытку."
Unable to add scanned item.,Невозможно добавить отсканированный элемент.
Unable to create purchase order,Невозможно создать заказ на покупку
Unable to delete draft invoice,Невозможно удалить черновик счета.
Unable to fetch documents,Не удалось получить документы
Unable to fetch draft orders,Не удалось получить черновики заказов.
Unable to fetch invoice history,Не удалось получить историю счетов.
Unable to fetch M-Pesa payments,Не удалось получить платежи M-Pesa.
Unable to fetch sales orders,Не удалось получить заказы на продажу
Unable to fetch unpaid invoices,Не удалось получить неоплаченные счета.
Unable to generate scale barcode,Невозможно создать масштабный штрих-код
Unable to issue gift card.,Невозможно выдать подарочную карту.
Unable to load cashier PIN status.,Невозможно загрузить статус PIN-кода кассира.
Unable to load document,Невозможно загрузить документ
Unable to load draft invoice,Не удалось загрузить черновик счета.
Unable to load gift card balance.,Невозможно пополнить баланс подарочной карты.
Unable to load invoice details,Не удалось загрузить данные счета-фактуры.
Unable to load parked order,Невозможно загрузить припаркованный заказ
Unable to load the selected sales order,Невозможно загрузить выбранный заказ на продажу.
Unable to prepare document,Невозможно подготовить документ
Unable to prepare return invoice,Невозможно подготовить счет на возврат
Unable to print draft invoice,Невозможно распечатать черновик счета
Unable to print submitted invoice,Невозможно распечатать отправленный счет
Unable to process document action,Невозможно обработать действие документа
Unable to repair change allocation,Невозможно исправить распределение изменений.
Unable to save cashier PIN.,Не удалось сохранить PIN-код кассира.
Unable to save the rate to the backend price list,Невозможно сохранить тариф в прайс-листе на сервере.
Unable to submit invoice,Невозможно отправить счет
Unable to submit the selected payment,Невозможно отправить выбранный платеж
Unable to top up gift card.,Невозможно пополнить подарочную карту.
Unable to verify cashier PIN.,Не удалось проверить PIN-код кассира.
Unallocated,Нераспределенный
Unallocated:,Нераспределенный:
Unavailable,Недоступно
Unknown,Неизвестно
Unknown Item,Неизвестный предмет
Unknown Warehouse,Неизвестный склад
Unlock POS,Разблокировать POS
Unpaid,Неоплачиваемый
"Unselected payments stay unallocated first, then auto reconcile after submit.","Невыбранные платежи сначала остаются нераспределенными, а после отправки автоматически сверяются."
UOM,Единица измерения
UOM not found,Единица измерения не найдена
Update available,Доступно обновление
Update Customer,Обновить клиента
Update PIN,Обновить PIN-код
Update Price List Rate,Обновление прайс-листа
Updated,Обновлено
Updates and app info that stay out of the cashier flow.,"Обновления и информация о приложениях, которые не попадают в поток кассира."
Updates automatically,Обновляется автоматически
Usage,Использование
Usage Stats,Статистика использования
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Используйте PIN-код длиной от 4 до 8 цифр для переключения кассы и разблокировки терминала.
Use Cashier,Используйте кассу
Use date range to search for older invoices,Используйте диапазон дат для поиска старых счетов-фактур.
"Use one field for manual code entry, barcode scans, or QR scans.","Используйте одно поле для ввода кода вручную, сканирования штрих-кода или QR-кода."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Используйте один рабочий процесс для проверки баланса, нового выпуска и пополнения баланса, не покидая POS."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Используйте этот раздел, если кэшированные необходимые данные требуют обновления, перестроения или диагностической проверки."
Use Western numerals,Используйте западные цифры
Used:,Использовано:
Using basic camera settings due to device limitations,Использование основных настроек камеры из-за ограничений устройства
Using cached customer balance,Использование кэшированного баланса клиента
Valid until,Действительно до
Variance %,Отклонение %
Variants,Варианты
Variant-wise,Вариант-мудрый
Verify closing amounts for each payment method,Проверка итоговых сумм для каждого способа оплаты
View all,Посмотреть все
View app information and current build details,Просмотр информации о приложении и сведений о текущей сборке
View Data Diagnostics,Просмотр диагностики данных
View Details,Посмотреть детали
View invoice details,Посмотреть детали счета
View notifications,Просмотр уведомлений
View offline invoices,Просмотр офлайн-счетов
View restricted POS insights,Просмотр ограниченной информации о POS-терминалах
Void Amount,Аннулировать сумму
Void Count,Пустотный счетчик
Voids,Пустоты
Waiting for cart items,Ожидание товаров в корзине
Waiting for payment...,Ожидание оплаты...
Walk-in Customer,Приходящий клиент
Warehouse,Склад
Warning: High cache usage may affect performance.,Предупреждение. Высокое использование кэша может повлиять на производительность.
Warning: High lag may indicate heavy processing or browser slowness.,Предупреждение. Высокая задержка может указывать на тяжелую обработку или медленную работу браузера.
Week ?,Неделя ?
Week-wise,по неделям
Weight (g),Вес (г)
Weight (grams),Вес (граммы)
We'll let you know if an invoice fails to submit,"Мы сообщим вам, если счет не будет отправлен"
Workflow,Рабочий процесс
Write off amount cannot exceed the POS profile maximum of {0},Сумма списания не может превышать максимум профиля POS ({0}).
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,"Сумма списания превышает разрешенный лимит ({0}). Пожалуйста, добавьте оплату на оставшуюся сумму."
Yes,Да
"Yes, Cancel sale","Да, отменить продажу"
"Yes, Close","Да, Закрыть"
You are not allowed to print draft invoices,Вам не разрешено распечатывать черновики счетов-фактур.
You are offline. Add Payment will work again when the connection is restored.,Вы не в сети. Добавление платежа снова заработает после восстановления соединения.
You have no notifications right now,У вас сейчас нет уведомлений
Your Cart,Ваша корзина
