POS Awesome,POS Nuostabus
Scan or enter a gift card code to check balance or redeem.,"Nuskaitykite arba įveskite dovanų kortelės kodą, kad patikrintumėte likutį arba išpirktumėte."
Scan or paste the card code below.,Nuskaitykite arba įklijuokite toliau pateiktą kortelės kodą.
Scan QR Code/Barcode,Nuskaitykite QR kodą / brūkšninį kodą
Scan with camera,Nuskaitymas fotoaparatu
Scan-First Flow,Nuskaitymo pirmasis srautas
Scanned Code:,Nuskaitytas kodas:
Scanning for: {0},Nuskaitoma: {0}
Scanning items,Elementų nuskaitymas
Scan-Ready,Nuskaitymui paruošta
Scope,Taikymo sritis
Scope: All Profiles,Taikymo sritis: visi profiliai
Scope: Current Profile,Taikymo sritis: dabartinis profilis
Scope: Specific Profile,Taikymo sritis: konkretus profilis
Search,Ieškoti
Search Account,Ieškoti paskyros
Search an invoice and continue the return flow without extra steps.,Ieškokite sąskaitos faktūros ir tęskite grąžinimo srautą be papildomų veiksmų.
Search customer,Ieškokite kliento
Search invoices or customers,Ieškokite sąskaitų faktūrų ar klientų
Search item,Ieškokite elemento
Search item / code,Ieškokite prekės / kodo
Search items or barcode,Ieškokite elementų arba brūkšninio kodo
Search Mpesa Payments,Ieškoti Mpesa Payments
Search return invoices or customers,Ieškokite grąžinimo sąskaitų faktūrų arba klientų
Search supplier,Ieškokite tiekėjo
Search unpaid invoices or customers,Ieškokite neapmokėtų sąskaitų faktūrų arba klientų
Secure context (HTTPS or localhost) is required for camera access.,"Norint pasiekti kamerą, reikalingas saugus kontekstas (HTTPS arba localhost)."
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,"Norint pasiekti fotoaparatą, reikalingas saugus kontekstas (HTTPS). Norėdami pasiekti kamerą, naudokite HTTPS."
Select,Pasirinkite
Select a cashier first.,Pirmiausia pasirinkite kasininką.
Select a customer,Pasirinkite klientą
Select a customer to use coupon,"Pasirinkite klientą, kuris naudos kuponą"
Select a printer to use QZ silent printing.,"Pasirinkite spausdintuvą, kad galėtumėte naudoti tylųjį QZ spausdinimą."
Select Batch,Pasirinkite Paketas
Select Columns to Display,Pasirinkite rodytini stulpeliai
Select items to sell,"Pasirinkite prekes, kurias norite parduoti"
Select Payment,Pasirinkite Mokėjimas
Select Payment Account,Pasirinkite Mokėjimo sąskaita
Select printer,Pasirinkite spausdintuvą
Select Return Invoice,Pasirinkite Grąžinti sąskaitą faktūrą
Select S.O,Pasirinkite S.O
Select Sales Orders,Pasirinkite Pardavimo užsakymai
Select the cashier who is taking over this terminal.,"Pasirinkite kasininką, kuris perima šį terminalą."
Selected,Pasirinkta
Selected movement type is not allowed by POS Profile.,Pasirinkto judėjimo tipo neleidžia POS profilis.
Selected Payments,Pasirinkti mokėjimai
Sensitive actions kept away from quick taps.,Jautrūs veiksmai buvo apsaugoti nuo greito bakstelėjimo.
Serial,Serialas
Serial Numbers,Serijos numeriai
Server CPU Usage:,Serverio procesoriaus naudojimas:
Server Health,Serverio sveikata
Server Memory Usage:,Serverio atminties naudojimas:
Server Metrics,Serverio metrika
Server Uptime:,Serverio veikimo laikas:
Service Charges,Paslaugos mokesčiai
Session,Sesija
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,"Vartotojo formoje nustatykite kiekvieną kasininko PIN kodą ir išsaugokite terminalo narius, priskirtus POS profilio naudotojui."
Settings,Nustatymai
Settings in this section update the POS workspace without changing the current route.,Šio skyriaus nustatymai atnaujina POS darbo sritį nekeičiant dabartinio maršruto.
Setup complete!,Sąranka baigta!
Share,Dalintis
Shared terminal,Bendras terminalas
Shift Closed Snapshot,Shift Uždarytas momentinis vaizdas
Shift Overview,„Shift“ apžvalga
Show,Rodyti
Show cart on customer-facing screen,Rodyti krepšelį į klientą nukreiptame ekrane
Show last invoice rate,Rodyti paskutinės sąskaitos faktūros įkainį
Show rate info,Rodyti tarifų informaciją
Show Repair Candidates,Rodyti kandidatus į remontą
Show search tools,Rodyti paieškos įrankius
Show the active cart on a customer-facing screen,Rodyti aktyvų krepšelį į klientą nukreiptame ekrane
Showing {0}-{1} of {2},Rodoma {0}-{1} iš {2}
Showing 0 of 0,Rodoma 0 iš 0
Shows the distribution of invoices per currency,Rodo sąskaitų faktūrų pasiskirstymą pagal valiutą
Sign out of the current POS session,Atsijunkite nuo dabartinės POS sesijos
Size:,Dydis:
Skipped Payments,Praleisti mokėjimai
Skipping items without barcodes,Elementų praleidimas be brūkšninių kodų
Slow Moving,Lėtas judėjimas
Slow Moving Items,Lėtai judantys elementai
Slow Queries:,Lėtos užklausos:
Sold,Parduota
Source,Šaltinis
Source Cash Account (Optional Override),Šaltinio grynųjų pinigų sąskaita (pasirenkamas nepaisymas)
Source Ex. Rate:,Šaltinis Pvz. Įvertinkite:
Source Rate:,Šaltinio rodiklis:
Specific Profile,Konkretus profilis
Split Invoices,Išskaidytos sąskaitos faktūros
Staff / Cashier Performance Report,Darbuotojų / kasos veiklos ataskaita
Status,Būsena
Stock,Atsargos
Stock Information,Atsargų informacija
Stock is lower than requested,Atsargos mažesnės nei prašoma
Stock is lower than requested:\n{0},Atsargos mažesnės nei prašoma:\n{0}
Stock Movement Report,Akcijų judėjimo ataskaita
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Atsargų naujinys: {0} yra {1}. Pridėjus {2} atsargos bus žemiau nulio.
Submit,Pateikti
Submit & Print,Pateikti ir spausdinti
Submit Deposit,Pateikti indėlį
Submit Expense,Pateikite išlaidas
Submitted,Pateikta
Submitted Cash Movements,Pateikti pinigų pervedimai
Submitted entries,Pateikti įrašai
Successfully scanned:,Sėkmingai nuskaityta:
Suggested,Siūloma
Suggested Qty,Siūlomas kiekis
Supervisor Access,Prižiūrėtojo prieiga
Supervisor permissions unlock issuance and reloads,Prižiūrėtojo leidimai atrakina išdavimą ir įkėlimą iš naujo
Supervisor Tools,Prižiūrėtojo įrankiai
Supplier,Tiekėjas
Supplier and dates are required.,Būtina nurodyti tiekėją ir datas.
Supplier Invoices,Tiekėjo sąskaitos faktūros
Supplier is required.,Reikalingas tiekėjas.
Supplier name is required,Reikalingas tiekėjo pavadinimas
Supplier Payments,Tiekėjo mokėjimai
Supplier Purchase Summary,Tiekėjo pirkimo suvestinė
Suppliers,Tiekėjai
Suppliers not found,Tiekėjai nerasta
Switch Camera,Perjungti fotoaparatą
Switch Cashier,Perjungti kasą
Switch the POS appearance theme,Perjunkite POS išvaizdos temą
Switched to:,Perjungta į:
Sync All Invoices,Sinchronizuoti visas sąskaitas faktūras
Sync Offline Cash Movements ({0}),Sinchronizuoti grynųjų pinigų judėjimą neprisijungus ({0})
Sync Offline Sales,Sinchronizuoti pardavimą neprisijungus
Synced {0} offline cash movement(s).,Sinchronizuotas (-i) grynųjų pinigų judėjimas neprisijungus: {0}.
Syncing items in background,Elementų sinchronizavimas fone
System / Diagnostics,Sistema / Diagnostika
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Sistemos veiksmai yra žemo dažnio priežiūros valdikliai, pvz., programos informacija, palaikymo diagnostika ir seanso valdikliai."
System Information,Sistemos informacija
System Status,Sistemos būsena
Tables:,Lentelės:
Tap the button below to redeem a gift card during checkout.,"Norėdami išpirkti dovanų kortelę, bakstelėkite toliau esantį mygtuką."
Target,Tikslas
Target Ex. Rate:,Tikslas Pvz. Įvertinkite:
Target Rate:,Tikslinė norma:
Tax,Mokesčiai
Tax / Charges Report,Mokesčių / rinkliavų ataskaita
Tax Heads,Mokesčių vadovai
Taxable Amount,Apmokestinamoji suma
Tendered,Konkursas
Terminal,Terminalas
Terminal & Devices,Terminalas ir įrenginiai
Terminal locked,Terminalas užrakintas
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Terminalo įrankiai veikia šią kasos stotį, į klientą nukreiptus ekranus ir būsimus spausdintuvo / įrenginio valdiklius."
Territory not found,Teritorija nerasta
The amount paid is not complete,Sumokėta suma nėra pilna
The app stores data locally for offline use. This is called cache.,"Programa saugo duomenis vietoje, kad būtų galima naudoti neprisijungus. Tai vadinama talpykla."
The invoice stayed in draft. Please review and submit it manually.,Sąskaita liko juodraštyje. Peržiūrėkite ir pateikite rankiniu būdu.
The maximum discount allowed is,Didžiausia leistina nuolaida yra
The quantity for {0} has been adjusted to the maximum available stock.,Kiekis {0} buvo pakoreguotas iki didžiausios turimos atsargos.
The system could not retrieve the item details. Please try again.,Sistema negalėjo nuskaityti išsamios prekės informacijos. Bandykite dar kartą.
These invoices will be synced when connection is restored,"Šios sąskaitos faktūros bus sinchronizuojamos, kai ryšys bus atkurtas"
This action now opens inside the settings workspace.,Šis veiksmas dabar atidaromas nustatymų darbo srityje.
This coupon already used !,Šis kuponas jau panaudotas!
This invoice does not need change-allocation repair,Šios sąskaitos faktūros keitimo-paskirstymo taisymo nereikia
This invoice is already repaired,Ši sąskaita faktūra jau pataisyta
This is an item template. Please choose a variant.,Tai yra elemento šablonas. Prašome pasirinkti variantą.
this item,šį elementą
This POS page could not be opened offline because its code was not cached on this terminal yet.,"Šio POS puslapio nepavyko atidaryti neprisijungus, nes jo kodas dar nebuvo talpykloje šiame terminale."
This Serial Number {0} has already been added!,Šis serijos numeris {0} jau pridėtas!
Threshold,Slenkstis
Time,Laikas
Tip: Clear cache regularly to free up space and keep the app fast.,"Patarimas: reguliariai išvalykite talpyklą, kad atlaisvintumėte vietos ir programa veiktų greitai."
Tip: Close unused tabs or apps to reduce lag.,"Patarimas: uždarykite nenaudojamus skirtukus ar programas, kad sumažintumėte delsą."
Tip: Monitor slow queries and table size for optimal performance.,"Patarimas: stebėkite lėtas užklausas ir lentelės dydį, kad užtikrintumėte optimalų našumą."
To Be Paid,Kad būtų sumokėta
To Date,Iki datos
Today,Šiandien
Today Profit,Šiandien pelnas
Today Sales,Šiandien pardavimai
Toggle navigation drawer,Perjungti naršymo stalčių
Toggle Theme,Perjungti temą
Tools,Įrankiai
Tools for customer-facing screens and terminal-specific actions.,"Įrankiai, skirti į klientą nukreiptiems ekranams ir konkrečiam terminalui atlikti."
Top Brand,Populiariausias prekės ženklas
Top Category,Aukščiausia kategorija
Top Charge Head,Viršutinė įkrovimo galvutė
Top Customers,Geriausi klientai
Top Discount,Aukščiausia nuolaida
Top Items by Location,Populiariausios prekės pagal vietą
Top Margin,Viršutinė marža
Top Pending,Į viršų Laukiama
Top Profit Item,Geriausias pelno elementas
Top Return Items,Populiariausios grąžinamos prekės
Top Sales by Cashier,Populiariausi kasos pardavimai
Top Supplier,Geriausias tiekėjas
Top Suppliers by Spend,Geriausi tiekėjai pagal išlaidas
Top Tables,Viršutinės lentelės
Top Tax Head,Aukščiausias mokesčių vadovas
Top Up Amount,Papildymo suma
Top Up Card,Papildymo kortelė
Top Up Mode,Papildymo režimas
Top Variant,Aukščiausias variantas
Total,Iš viso
Total Amount,Bendra suma
Total Change,Visiškas pasikeitimas
Total Charges,Bendri mokesčiai
Total In,Iš viso In
Total Invoices,Iš viso sąskaitų faktūrų
Total Items,Iš viso prekių
Total Mpesa,Iš viso Mpesa
Total Out,Total Out
Total Payments,Iš viso mokėjimų
Total Purchase,Visas pirkimas
Total Selected :,Iš viso pasirinkta:
Total Size,Bendras dydis
Total Stock Qty,Bendras atsargų kiekis
Total:,Iš viso:
Totals by Invoice Currency,Sumos pagal sąskaitos faktūros valiutą
Track how much cash was handed back to customers,"Stebėkite, kiek grynųjų buvo grąžinta klientams"
"Track recent sales, collect unpaid balances, and reopen saved work","Stebėkite naujausius pardavimus, rinkkite neapmokėtus likučius ir vėl atidarykite išsaugotus darbus"
Transaction ID,Operacijos ID
Transfer,Perdavimas
Try a different search term or clear the cart search.,Išbandykite kitą paieškos terminą arba išvalykite krepšelio paiešką.
Try adjusting your search or filters,Pabandykite pakoreguoti paiešką arba filtrus
Try another source or refresh the list.,Išbandykite kitą šaltinį arba atnaujinkite sąrašą.
Try changing the date range or status filter.,Pabandykite pakeisti dienų seką arba būsenos filtrą.
Type,Tipas
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,Neįmanoma pasiekti fotoaparato net su pagrindiniais nustatymais. Patikrinkite fotoaparato leidimus ir įrenginio suderinamumą.
Unable to add offer item {0}. Please refresh and try again.,Nepavyko pridėti pasiūlymo elemento {0}. Atnaujinkite ir bandykite dar kartą.
Unable to add offer item. Please refresh and try again.,Nepavyko pridėti pasiūlymo elemento. Atnaujinkite ir bandykite dar kartą.
Unable to add scanned item.,Nepavyko pridėti nuskaityto elemento.
Unable to create purchase order,Nepavyko sukurti pirkimo užsakymo
Unable to delete draft invoice,Nepavyko ištrinti sąskaitos faktūros juodraščio
Unable to fetch documents,Nepavyko gauti dokumentų
Unable to fetch draft orders,Nepavyko gauti užsakymų juodraščių
Unable to fetch invoice history,Nepavyko gauti sąskaitų faktūrų istorijos
Unable to fetch M-Pesa payments,Nepavyko gauti M-Pesa mokėjimų
Unable to fetch sales orders,Nepavyko gauti pardavimo užsakymų
Unable to fetch unpaid invoices,Nepavyko gauti neapmokėtų sąskaitų faktūrų
Unable to generate scale barcode,Nepavyko sugeneruoti mastelio brūkšninio kodo
Unable to issue gift card.,Nepavyko išduoti dovanų kortelės.
Unable to load cashier PIN status.,Nepavyko įkelti kasininko PIN būsenos.
Unable to load document,Nepavyko įkelti dokumento
Unable to load draft invoice,Nepavyko įkelti sąskaitos faktūros juodraščio
Unable to load gift card balance.,Nepavyko įkelti dovanų kortelės balanso.
Unable to load invoice details,Nepavyko įkelti išsamios sąskaitos faktūros
Unable to load parked order,Nepavyko įkelti palikto užsakymo
Unable to load the selected sales order,Nepavyko įkelti pasirinkto pardavimo užsakymo
Unable to prepare document,Nepavyko parengti dokumento
Unable to prepare return invoice,Nepavyko parengti grąžinimo sąskaitos
Unable to print draft invoice,Nepavyko atspausdinti sąskaitos faktūros juodraščio
Unable to print submitted invoice,Nepavyko atspausdinti pateiktos sąskaitos faktūros
Unable to process document action,Nepavyko apdoroti dokumento veiksmo
Unable to repair change allocation,Nepavyko pataisyti pakeitimo paskirstymo
Unable to save cashier PIN.,Nepavyko išsaugoti kasininko PIN kodo.
Unable to save the rate to the backend price list,Nepavyko išsaugoti kurso užpakaliniame kainoraštyje
Unable to submit invoice,Nepavyko pateikti sąskaitos faktūros
Unable to submit the selected payment,Nepavyko pateikti pasirinkto mokėjimo
Unable to top up gift card.,Nepavyko papildyti dovanų kortelės.
Unable to verify cashier PIN.,Nepavyko patvirtinti kasininko PIN kodo.
Unallocated,Nepaskirstyta
Unallocated:,Nepaskirstyta:
Unavailable,Nepasiekiamas
Unknown,Nežinoma
Unknown Item,Nežinomas daiktas
Unknown Warehouse,Nežinomas sandėlis
Unlock POS,Atrakinkite POS
Unpaid,Neapmokėta
"Unselected payments stay unallocated first, then auto reconcile after submit.","Nepasirinkti mokėjimai pirmiausia lieka nepaskirstyti, o po to automatiškai suderinami."
UOM,UOM
UOM not found,UOM nerastas
Update available,Galimas atnaujinimas
Update Customer,Atnaujinkite klientą
Update PIN,Atnaujinkite PIN kodą
Update Price List Rate,Atnaujinti kainoraštį
Updated,Atnaujinta
Updates and app info that stay out of the cashier flow.,"Atnaujinimai ir programų informacija, kurios nepatenka į kasos srautą."
Updates automatically,Atnaujina automatiškai
Usage,Naudojimas
Usage Stats,Naudojimo statistika
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,"Naudokite 4–8 skaitmenų PIN kodą, kad perjungtumėte kasą ir atrakintumėte terminalą."
Use Cashier,Naudokite kasą
Use date range to search for older invoices,"Jei norite ieškoti senesnių sąskaitų faktūrų, naudokite dienų seką"
"Use one field for manual code entry, barcode scans, or QR scans.","Naudokite vieną lauką kodo įvedimui rankiniu būdu, brūkšninio kodo nuskaitymui arba QR nuskaitymui."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Naudokite vieną darbo eigą likučiui tikrinti, naujai išleisti ir papildyti neišeidami iš POS."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Naudokite šį skyrių, kai reikia atnaujinti, perdaryti arba atlikti diagnostikos peržiūrą talpykloje saugomus būtinų sąlygų duomenis."
Use Western numerals,Naudokite vakarietiškus skaitmenis
Used:,Naudota:
Using basic camera settings due to device limitations,Naudojant pagrindinius fotoaparato nustatymus dėl įrenginio apribojimų
Using cached customer balance,Talpykloje saugomo kliento balanso naudojimas
Valid until,Galioja iki
Variance %,Nuokrypis %
Variants,Variantai
Variant-wise,Variantų požiūriu
Verify closing amounts for each payment method,Patikrinkite kiekvieno mokėjimo metodo uždarymo sumas
View all,Žiūrėti viską
View app information and current build details,Peržiūrėkite programos informaciją ir dabartinę kūrimo informaciją
View Data Diagnostics,Peržiūrėkite duomenų diagnostiką
View Details,Peržiūrėti išsamią informaciją
View invoice details,Peržiūrėkite išsamią sąskaitos faktūros informaciją
View notifications,Peržiūrėkite pranešimus
View offline invoices,Peržiūrėkite sąskaitas faktūras neprisijungus
View restricted POS insights,Peržiūrėkite apribotas POS įžvalgas
Void Amount,Tuščia suma
Void Count,Tuščiųjų skaičius
Voids,Tuštumos
Waiting for cart items,Laukiama krepšelio prekių
Waiting for payment...,Laukiama apmokėjimo...
Walk-in Customer,„Walk-in“ klientas
Warehouse,Sandėlis
Warning: High cache usage may affect performance.,Įspėjimas: didelis talpyklos naudojimas gali turėti įtakos našumui.
Warning: High lag may indicate heavy processing or browser slowness.,Įspėjimas: didelė delsa gali rodyti sunkų apdorojimą arba lėtą naršyklę.
Week ?,Savaitė?
Week-wise,Savaitės požiūriu
Weight (g),Svoris (g)
Weight (grams),Svoris (gramais)
We'll let you know if an invoice fails to submit,"Informuosime, jei sąskaitos faktūros pateikti nepavyks"
Workflow,Darbo eiga
Write off amount cannot exceed the POS profile maximum of {0},Nurašymo suma negali viršyti maksimalios POS profilio {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,Nurašymo suma viršija leistiną limitą ({0}). Prašome pridėti mokėjimą už likusią sumą.
Yes,Taip
"Yes, Cancel sale","Taip, atšaukti pardavimą"
"Yes, Close","Taip, Uždaryti"
You are not allowed to print draft invoices,Jums neleidžiama spausdinti sąskaitų faktūrų juodraščio
You are offline. Add Payment will work again when the connection is restored.,"Esate neprisijungęs. Pridėti mokėjimą vėl veiks, kai ryšys bus atkurtas."
You have no notifications right now,Šiuo metu neturite jokių pranešimų
Your Cart,Jūsų krepšelis
