POS Awesome,POS tuyệt vời
Save as POS Profile Default,Lưu làm mặc định hồ sơ POS
Save Settings,Lưu cài đặt
Save the selected printer as the POS Profile default so it shows automatically on this setup.,Lưu máy in đã chọn làm mặc định cho Cấu hình POS để nó tự động hiển thị trên thiết lập này.
Saved as draft because: {0},Đã lưu dưới dạng bản nháp vì: {0}
Saving...,Đang lưu...
Scale barcode detected. Quantity here is the number of labels to print.,Mã vạch quy mô được phát hiện. Số lượng ở đây chính là số lượng nhãn cần in.
Scale barcode settings are not configured. Using item barcode only.,Cài đặt mã vạch tỷ lệ không được định cấu hình. Chỉ sử dụng mã vạch mặt hàng.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Thiếu mã vạch mẫu tỷ lệ cho mục/UOM này. Chỉ sử dụng mã vạch mặt hàng.
Scan an existing card and top it up without leaving the payment flow.,Quét thẻ hiện có và nạp tiền mà không cần rời khỏi luồng thanh toán.
Scan Error,Lỗi quét
Scan or enter a gift card code to check balance or redeem.,Quét hoặc nhập mã thẻ quà tặng để kiểm tra số dư hoặc đổi quà.
Scan or paste the card code below.,Quét hoặc dán mã thẻ bên dưới.
Scan QR Code/Barcode,Quét mã QR/mã vạch
Scan with camera,Quét bằng máy ảnh
Scan-First Flow,Luồng quét đầu tiên
Scanned Code:,Mã được quét:
Scanning for: {0},Đang quét tìm: {0}
Scanning items,Quét các mục
Scan-Ready,Sẵn sàng quét
Scope,Phạm vi
Scope: All Profiles,Phạm vi: Tất cả hồ sơ
Scope: Current Profile,Phạm vi: Hồ sơ hiện tại
Scope: Specific Profile,Phạm vi: Hồ sơ cụ thể
Search,Tìm kiếm
Search Account,Tìm kiếm tài khoản
Search an invoice and continue the return flow without extra steps.,Tìm kiếm hóa đơn và tiếp tục quy trình trả lại mà không cần thực hiện thêm bước nào.
Search customer,Tìm kiếm khách hàng
Search invoices or customers,Tìm kiếm hóa đơn hoặc khách hàng
Search item,Mục tìm kiếm
Search item / code,Tìm kiếm mục/mã
Search items or barcode,Tìm kiếm mặt hàng hoặc mã vạch
Search Mpesa Payments,Tìm kiếm thanh toán Mpesa
Search return invoices or customers,Tìm kiếm hóa đơn trả lại hoặc khách hàng
Search supplier,Tìm kiếm nhà cung cấp
Search unpaid invoices or customers,Tìm kiếm hóa đơn hoặc khách hàng chưa thanh toán
Secure context (HTTPS or localhost) is required for camera access.,Cần có bối cảnh bảo mật (HTTPS hoặc localhost) để truy cập máy ảnh.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Cần có bối cảnh bảo mật (HTTPS) để truy cập máy ảnh. Vui lòng sử dụng HTTPS để truy cập máy ảnh.
Select,chọn
Select a cashier first.,Chọn một nhân viên thu ngân đầu tiên.
Select a customer,Chọn một khách hàng
Select a customer to use coupon,Chọn khách hàng sử dụng phiếu giảm giá
Select a printer to use QZ silent printing.,Chọn máy in để sử dụng tính năng in im lặng QZ.
Select Batch,Chọn lô
Select Columns to Display,Chọn cột để hiển thị
Select items to sell,Chọn mặt hàng để bán
Select Payment,Chọn thanh toán
Select Payment Account,Chọn tài khoản thanh toán
Select printer,Chọn máy in
Select Return Invoice,Chọn Trả lại hóa đơn
Select S.O,Chọn S.O
Select Sales Orders,Chọn đơn bán hàng
Select the cashier who is taking over this terminal.,Chọn nhân viên thu ngân đang tiếp quản thiết bị đầu cuối này.
Selected,Đã chọn
Selected movement type is not allowed by POS Profile.,Loại chuyển động đã chọn không được Hồ sơ POS cho phép.
Selected Payments,Thanh toán đã chọn
Sensitive actions kept away from quick taps.,Những hành động nhạy cảm tránh xa những cú chạm nhanh.
Serial,nối tiếp
Serial Numbers,Số sê-ri
Server CPU Usage:,Sử dụng CPU máy chủ:
Server Health,Tình trạng máy chủ
Server Memory Usage:,Sử dụng bộ nhớ máy chủ:
Server Metrics,Số liệu máy chủ
Server Uptime:,Thời gian hoạt động của máy chủ:
Service Charges,Phí dịch vụ
Session,Phiên
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,Đặt từng mã PIN thu ngân trong biểu mẫu Người dùng và giữ các thành viên đầu cuối được chỉ định trong Người dùng Hồ sơ POS.
Settings,Cài đặt
Settings in this section update the POS workspace without changing the current route.,Các cài đặt trong phần này sẽ cập nhật không gian làm việc POS mà không thay đổi lộ trình hiện tại.
Setup complete!,Thiết lập hoàn tất!
Share,Chia sẻ
Shared terminal,Thiết bị đầu cuối dùng chung
Shift Closed Snapshot,Shift đã đóng ảnh chụp nhanh
Shift Overview,Tổng quan về ca làm việc
Show,Hiển thị
Show cart on customer-facing screen,Hiển thị giỏ hàng trên màn hình hướng tới khách hàng
Show last invoice rate,Hiển thị tỷ lệ hóa đơn cuối cùng
Show rate info,Hiển thị thông tin giá
Show Repair Candidates,Hiển thị ứng viên sửa chữa
Show search tools,Hiển thị công cụ tìm kiếm
Show the active cart on a customer-facing screen,Hiển thị giỏ hàng đang hoạt động trên màn hình hướng tới khách hàng
Showing {0}-{1} of {2},Đang hiển thị {0}-{1} trong số {2}
Showing 0 of 0,Hiển thị 0 trên 0
Shows the distribution of invoices per currency,Hiển thị phân bổ hóa đơn theo loại tiền tệ
Sign out of the current POS session,Đăng xuất khỏi phiên POS hiện tại
Size:,Kích thước:
Skipped Payments,Thanh toán bị bỏ qua
Skipping items without barcodes,Bỏ qua các mục không có mã vạch
Slow Moving,Di chuyển chậm
Slow Moving Items,Vật phẩm di chuyển chậm
Slow Queries:,Truy vấn chậm:
Sold,đã bán
Source,Nguồn
Source Cash Account (Optional Override),Tài khoản tiền mặt nguồn (Ghi đè tùy chọn)
Source Ex. Rate:,Nguồn Ex. Tỷ lệ:
Source Rate:,Tỷ lệ nguồn:
Specific Profile,Hồ sơ cụ thể
Split Invoices,Chia hóa đơn
Staff / Cashier Performance Report,Báo cáo hiệu suất nhân viên / thu ngân
Status,Trạng thái
Stock,kho
Stock Information,Thông tin chứng khoán
Stock is lower than requested,Hàng tồn kho thấp hơn yêu cầu
Stock is lower than requested:\n{0},Hàng còn ít hơn yêu cầu:\n{0}
Stock Movement Report,Báo cáo biến động chứng khoán
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Cập nhật chứng khoán: {0} có sẵn {1}. Thêm {2} sẽ đưa cổ phiếu xuống dưới 0.
Submit,Nộp
Submit & Print,Gửi & In
Submit Deposit,Gửi tiền gửi
Submit Expense,Gửi chi phí
Submitted,Đã gửi
Submitted Cash Movements,Chuyển động tiền mặt đã gửi
Submitted entries,Bài dự thi đã gửi
Successfully scanned:,Đã quét thành công:
Suggested,được đề xuất
Suggested Qty,Số lượng đề xuất
Supervisor Access,Quyền truy cập của người giám sát
Supervisor permissions unlock issuance and reloads,Quyền của người giám sát mở khóa phát hành và tải lại
Supervisor Tools,Công cụ giám sát
Supplier,nhà cung cấp
Supplier and dates are required.,Nhà cung cấp và ngày tháng là bắt buộc.
Supplier Invoices,Hóa đơn nhà cung cấp
Supplier is required.,Nhà cung cấp là bắt buộc.
Supplier name is required,Tên nhà cung cấp là bắt buộc
Supplier Payments,Thanh toán của nhà cung cấp
Supplier Purchase Summary,Tóm tắt mua hàng của nhà cung cấp
Suppliers,nhà cung cấp
Suppliers not found,Không tìm thấy nhà cung cấp
Switch Camera,Chuyển đổi máy ảnh
Switch Cashier,Chuyển đổi nhân viên thu ngân
Switch the POS appearance theme,Chuyển chủ đề giao diện POS
Switched to:,Đã chuyển sang:
Sync All Invoices,Đồng bộ hóa tất cả hóa đơn
Sync Offline Cash Movements ({0}),Đồng bộ hóa các chuyển động tiền mặt ngoại tuyến ({0})
Sync Offline Sales,Đồng bộ hóa doanh số ngoại tuyến
Synced {0} offline cash movement(s).,Đã đồng bộ hóa {0} chuyển động tiền mặt ngoại tuyến.
Syncing items in background,Đồng bộ hóa các mục ở chế độ nền
System / Diagnostics,Hệ thống/Chẩn đoán
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Hành động của hệ thống là các biện pháp kiểm soát bảo trì tần suất thấp như thông tin ứng dụng, chẩn đoán hỗ trợ và kiểm soát phiên."
System Information,Thông tin hệ thống
System Status,Trạng thái hệ thống
Tables:,Bàn:
Tap the button below to redeem a gift card during checkout.,Nhấn vào nút bên dưới để đổi thẻ quà tặng khi thanh toán.
Target,Mục tiêu
Target Ex. Rate:,Mục tiêu cũ. Tỷ lệ:
Target Rate:,Tỷ lệ mục tiêu:
Tax,Thuế
Tax / Charges Report,Báo cáo thuế/phí
Tax Heads,người đứng đầu thuế
Taxable Amount,Số tiền chịu thuế
Tendered,Đã đấu thầu
Terminal,thiết bị đầu cuối
Terminal & Devices,Thiết bị đầu cuối & Thiết bị
Terminal locked,Thiết bị đầu cuối bị khóa
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Các công cụ đầu cuối ảnh hưởng đến trạm thanh toán này, màn hình hướng tới khách hàng và các điều khiển máy in/thiết bị trong tương lai."
Territory not found,Không tìm thấy lãnh thổ
The amount paid is not complete,Số tiền thanh toán chưa đầy đủ
The app stores data locally for offline use. This is called cache.,Ứng dụng lưu trữ dữ liệu cục bộ để sử dụng ngoại tuyến. Điều này được gọi là bộ đệm.
The invoice stayed in draft. Please review and submit it manually.,Hóa đơn vẫn ở dạng dự thảo. Vui lòng xem lại và gửi nó theo cách thủ công.
The maximum discount allowed is,Mức giảm giá tối đa được phép là
The quantity for {0} has been adjusted to the maximum available stock.,Số lượng cho {0} đã được điều chỉnh theo lượng hàng tối đa hiện có.
The system could not retrieve the item details. Please try again.,Hệ thống không thể truy xuất chi tiết mặt hàng. Vui lòng thử lại.
These invoices will be synced when connection is restored,Các hóa đơn này sẽ được đồng bộ hóa khi kết nối được khôi phục
This action now opens inside the settings workspace.,Hành động này bây giờ sẽ mở ra bên trong không gian làm việc cài đặt.
This coupon already used !,Phiếu giảm giá này đã được sử dụng!
This invoice does not need change-allocation repair,Hóa đơn này không cần sửa chữa phân bổ thay đổi
This invoice is already repaired,Hóa đơn này đã được sửa chữa
This is an item template. Please choose a variant.,Đây là một mẫu vật phẩm. Vui lòng chọn một biến thể.
this item,mặt hàng này
This POS page could not be opened offline because its code was not cached on this terminal yet.,Không thể mở trang POS này ngoại tuyến vì mã của nó chưa được lưu vào bộ nhớ đệm trên thiết bị đầu cuối này.
This Serial Number {0} has already been added!,Số sê-ri {0} này đã được thêm vào!
Threshold,Ngưỡng
Time,thời gian
Tip: Clear cache regularly to free up space and keep the app fast.,Mẹo: Xóa bộ nhớ đệm thường xuyên để giải phóng dung lượng và giữ cho ứng dụng chạy nhanh.
Tip: Close unused tabs or apps to reduce lag.,Mẹo: Đóng các tab hoặc ứng dụng không sử dụng để giảm độ trễ.
Tip: Monitor slow queries and table size for optimal performance.,Mẹo: Giám sát các truy vấn chậm và kích thước bảng để có hiệu suất tối ưu.
To Be Paid,được trả tiền
To Date,Đến ngày
Today,hôm nay
Today Profit,Lợi nhuận hôm nay
Today Sales,Bán hàng hôm nay
Toggle navigation drawer,Chuyển đổi ngăn điều hướng
Toggle Theme,Chuyển đổi chủ đề
Tools,Công cụ
Tools for customer-facing screens and terminal-specific actions.,Công cụ dành cho màn hình hướng tới khách hàng và các hành động dành riêng cho thiết bị đầu cuối.
Top Brand,Thương hiệu hàng đầu
Top Category,Danh mục hàng đầu
Top Charge Head,Đầu sạc hàng đầu
Top Customers,Khách hàng hàng đầu
Top Discount,Giảm giá hàng đầu
Top Items by Location,Các mục hàng đầu theo vị trí
Top Margin,Ký quỹ trên cùng
Top Pending,Đang chờ xử lý hàng đầu
Top Profit Item,Mục lợi nhuận cao nhất
Top Return Items,Các mặt hàng trả lại hàng đầu
Top Sales by Cashier,Doanh số bán hàng cao nhất theo thu ngân
Top Supplier,Nhà cung cấp hàng đầu
Top Suppliers by Spend,Nhà cung cấp hàng đầu theo mức chi tiêu
Top Tables,Bảng hàng đầu
Top Tax Head,Người đứng đầu thuế hàng đầu
Top Up Amount,Số tiền nạp thêm
Top Up Card,Nạp thẻ
Top Up Mode,Chế độ nạp tiền
Top Variant,Biến thể hàng đầu
Total,Tổng cộng
Total Amount,Tổng số tiền
Total Change,Tổng số thay đổi
Total Charges,Tổng phí
Total In,Tổng số tiền
Total Invoices,Tổng hóa đơn
Total Items,Tổng số mặt hàng
Total Mpesa,Tổng số tiền Mpesa
Total Out,Tổng số tiền ra
Total Payments,Tổng số tiền thanh toán
Total Purchase,Tổng số tiền mua
Total Selected :,Tổng số đã chọn :
Total Size,Tổng kích thước
Total Stock Qty,Tổng số lượng hàng tồn kho
Total:,Tổng số:
Totals by Invoice Currency,Tổng số theo đơn vị tiền tệ hóa đơn
Track how much cash was handed back to customers,Theo dõi số tiền mặt đã được trả lại cho khách hàng
"Track recent sales, collect unpaid balances, and reopen saved work","Theo dõi doanh số bán hàng gần đây, thu thập số dư chưa thanh toán và mở lại công việc đã lưu"
Transaction ID,ID giao dịch
Transfer,Chuyển khoản
Try a different search term or clear the cart search.,Hãy thử cụm từ tìm kiếm khác hoặc xóa tìm kiếm giỏ hàng.
Try adjusting your search or filters,Hãy thử điều chỉnh tìm kiếm hoặc bộ lọc của bạn
Try another source or refresh the list.,Hãy thử nguồn khác hoặc làm mới danh sách.
Try changing the date range or status filter.,Hãy thử thay đổi phạm vi ngày hoặc bộ lọc trạng thái.
Type,loại
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,Không thể truy cập máy ảnh ngay cả với các cài đặt cơ bản. Vui lòng kiểm tra quyền truy cập máy ảnh và khả năng tương thích thiết bị của bạn.
Unable to add offer item {0}. Please refresh and try again.,Không thể thêm mặt hàng ưu đãi {0}. Vui lòng làm mới và thử lại.
Unable to add offer item. Please refresh and try again.,Không thể thêm mặt hàng ưu đãi. Vui lòng làm mới và thử lại.
Unable to add scanned item.,Không thể thêm mục được quét.
Unable to create purchase order,Không thể tạo đơn đặt hàng
Unable to delete draft invoice,Không thể xóa hóa đơn nháp
Unable to fetch documents,Không thể tìm nạp tài liệu
Unable to fetch draft orders,Không thể tìm nạp đơn hàng nháp
Unable to fetch invoice history,Không thể tìm nạp lịch sử hóa đơn
Unable to fetch M-Pesa payments,Không thể lấy khoản thanh toán M-Pesa
Unable to fetch sales orders,Không thể lấy đơn đặt hàng bán hàng
Unable to fetch unpaid invoices,Không thể tìm nạp hóa đơn chưa thanh toán
Unable to generate scale barcode,Không thể tạo mã vạch cân
Unable to issue gift card.,Không thể phát hành thẻ quà tặng.
Unable to load cashier PIN status.,Không thể tải trạng thái mã PIN của nhân viên thu ngân.
Unable to load document,Không thể tải tài liệu
Unable to load draft invoice,Không thể tải hóa đơn nháp
Unable to load gift card balance.,Không thể tải số dư thẻ quà tặng.
Unable to load invoice details,Không thể tải chi tiết hóa đơn
Unable to load parked order,Không thể tải đơn hàng chưa đỗ
Unable to load the selected sales order,Không thể tải đơn hàng đã chọn
Unable to prepare document,Không thể chuẩn bị tài liệu
Unable to prepare return invoice,Không thể chuẩn bị hóa đơn trả lại
Unable to print draft invoice,Không in được hóa đơn nháp
Unable to print submitted invoice,Không in được hóa đơn đã gửi
Unable to process document action,Không thể xử lý hành động tài liệu
Unable to repair change allocation,Không thể sửa chữa phân bổ thay đổi
Unable to save cashier PIN.,Không thể lưu mã PIN thu ngân.
Unable to save the rate to the backend price list,Không thể lưu giá vào bảng giá phụ trợ
Unable to submit invoice,Không thể gửi hóa đơn
Unable to submit the selected payment,Không thể gửi khoản thanh toán đã chọn
Unable to top up gift card.,Không thể nạp thẻ quà tặng.
Unable to verify cashier PIN.,Không thể xác minh mã PIN của nhân viên thu ngân.
Unallocated,Chưa phân bổ
Unallocated:,Chưa được phân bổ:
Unavailable,Không có sẵn
Unknown,Không xác định
Unknown Item,Mục không xác định
Unknown Warehouse,Kho không xác định
Unlock POS,Mở khóa POS
Unpaid,Chưa thanh toán
"Unselected payments stay unallocated first, then auto reconcile after submit.","Các khoản thanh toán không được chọn trước tiên sẽ không được phân bổ, sau đó tự động điều chỉnh sau khi gửi."
UOM,UOM
UOM not found,Không tìm thấy UOM
Update available,Đã có bản cập nhật
Update Customer,Cập nhật khách hàng
Update PIN,Cập nhật mã PIN
Update Price List Rate,Cập Nhật Bảng Giá Tỷ Lệ
Updated,Đã cập nhật
Updates and app info that stay out of the cashier flow.,Các cập nhật và thông tin ứng dụng nằm ngoài luồng thu ngân.
Updates automatically,Cập nhật tự động
Usage,Cách sử dụng
Usage Stats,Thống kê sử dụng
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Sử dụng mã PIN gồm 4 đến 8 chữ số để chuyển đổi nhân viên thu ngân và mở khóa thiết bị đầu cuối.
Use Cashier,Sử dụng nhân viên thu ngân
Use date range to search for older invoices,Sử dụng phạm vi ngày để tìm kiếm hóa đơn cũ hơn
"Use one field for manual code entry, barcode scans, or QR scans.","Sử dụng một trường để nhập mã thủ công, quét mã vạch hoặc quét QR."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Sử dụng một quy trình làm việc để kiểm tra số dư, phát hành mới và nạp tiền mà không cần rời khỏi POS."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Sử dụng phần này khi dữ liệu tiên quyết được lưu trong bộ nhớ đệm cần được làm mới, xây dựng lại hoặc xem xét chẩn đoán."
Use Western numerals,Sử dụng chữ số phương Tây
Used:,Đã sử dụng:
Using basic camera settings due to device limitations,Sử dụng cài đặt camera cơ bản do hạn chế của thiết bị
Using cached customer balance,Sử dụng số dư khách hàng đã lưu trong bộ nhớ đệm
Valid until,Có hiệu lực cho đến khi
Variance %,% phương sai
Variants,Biến thể
Variant-wise,Biến thể khôn ngoan
Verify closing amounts for each payment method,Xác minh số tiền đóng cho mỗi phương thức thanh toán
View all,Xem tất cả
View app information and current build details,Xem thông tin ứng dụng và chi tiết bản dựng hiện tại
View Data Diagnostics,Xem chẩn đoán dữ liệu
View Details,Xem chi tiết
View invoice details,Xem chi tiết hoá đơn
View notifications,Xem thông báo
View offline invoices,Xem hóa đơn ngoại tuyến
View restricted POS insights,Xem thông tin chi tiết về POS bị hạn chế
Void Amount,Số tiền vô hiệu
Void Count,Số lượng trống
Voids,khoảng trống
Waiting for cart items,Đang chờ các mặt hàng trong giỏ hàng
Waiting for payment...,Đang chờ thanh toán...
Walk-in Customer,Khách hàng tham gia
Warehouse,Kho
Warning: High cache usage may affect performance.,Cảnh báo: Việc sử dụng bộ nhớ đệm cao có thể ảnh hưởng đến hiệu suất.
Warning: High lag may indicate heavy processing or browser slowness.,Cảnh báo: Độ trễ cao có thể cho thấy quá trình xử lý nặng hoặc trình duyệt chậm.
Week ?,Tuần ?
Week-wise,Hàng tuần
Weight (g),Trọng lượng (g)
Weight (grams),Trọng lượng (gram)
We'll let you know if an invoice fails to submit,Chúng tôi sẽ cho bạn biết nếu hóa đơn không được gửi
Workflow,Quy trình làm việc
Write off amount cannot exceed the POS profile maximum of {0},Số tiền xóa nợ không được vượt quá hồ sơ POS tối đa là {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,Số tiền xóa vượt quá giới hạn cho phép ({0}). Vui lòng thêm khoản thanh toán cho số tiền còn lại.
Yes,Có
"Yes, Cancel sale","Có, Hủy bán"
"Yes, Close","Có, Đóng"
You are not allowed to print draft invoices,Bạn không được phép in hóa đơn nháp
You are offline. Add Payment will work again when the connection is restored.,Bạn đang ngoại tuyến. Thêm Thanh toán sẽ hoạt động trở lại khi kết nối được khôi phục.
You have no notifications right now,Hiện tại bạn không có thông báo nào
Your Cart,Giỏ hàng của bạn
