POS Awesome,POS Genial
The maximum discount allowed is,El descompte màxim permès és
The quantity for {0} has been adjusted to the maximum available stock.,La quantitat de {0} s'ha ajustat a l'estoc màxim disponible.
The system could not retrieve the item details. Please try again.,"El sistema no ha pogut recuperar els detalls de l'element. Si us plau, torna-ho a provar."
These invoices will be synced when connection is restored,Aquestes factures es sincronitzaran quan es restableixi la connexió
This action now opens inside the settings workspace.,Aquesta acció ara s'obre a l'espai de treball de configuració.
This coupon already used !,Aquest cupó ja s'ha utilitzat!
This invoice does not need change-allocation repair,Aquesta factura no necessita reparació d'assignació de canvis
This invoice is already repaired,Aquesta factura ja està reparada
This is an item template. Please choose a variant.,"Aquesta és una plantilla d'element. Si us plau, trieu una variant."
this item,aquest article
This POS page could not be opened offline because its code was not cached on this terminal yet.,Aquesta pàgina de TPV no s'ha pogut obrir fora de línia perquè el seu codi encara no s'ha guardat a la memòria cau en aquest terminal.
This Serial Number {0} has already been added!,Aquest número de sèrie {0} ja s'ha afegit!
Threshold,Llindar
Time,Temps
Tip: Clear cache regularly to free up space and keep the app fast.,Consell: esborra la memòria cau regularment per alliberar espai i mantenir l'aplicació ràpida.
Tip: Close unused tabs or apps to reduce lag.,Consell: tanqueu les pestanyes o aplicacions no utilitzades per reduir el retard.
Tip: Monitor slow queries and table size for optimal performance.,Consell: superviseu les consultes lentes i la mida de la taula per obtenir un rendiment òptim.
To Be Paid,A Pagar
To Date,Fins a la data
Today,Avui
Today Profit,Avui guany
Today Sales,Vendes d'avui
Toggle navigation drawer,Canvia el calaix de navegació
Toggle Theme,Canvia el tema
Tools,Eines
Tools for customer-facing screens and terminal-specific actions.,Eines per a pantalles orientades al client i accions específiques del terminal.
Top Brand,Marca Top
Top Category,Categoria superior
Top Charge Head,Cap de càrrega superior
Top Customers,Clients principals
Top Discount,Descompte superior
Top Items by Location,Elements principals per ubicació
Top Margin,Marge superior
Top Pending,Top Pendent
Top Profit Item,Element de benefici superior
Top Return Items,Articles de tornada superiors
Top Sales by Cashier,Màximes vendes per caixer
Top Supplier,Proveïdor superior
Top Suppliers by Spend,Principals proveïdors per despesa
Top Tables,Taules superiors
Top Tax Head,Cap superior fiscal
Top Up Amount,Import de recàrrega
Top Up Card,Targeta de recàrrega
Top Up Mode,Mode de recàrrega
Top Variant,Variant superior
Total,Total
Total Amount,Import total
Total Change,Canvi total
Total Charges,Càrregues totals
Total In,Total d'entrada
Total Invoices,Total de factures
Total Items,Total d'articles
Total Mpesa,Total Mpesa
Total Out,Total de sortida
Total Payments,Pagaments totals
Total Purchase,Compra total
Total Selected :,Total seleccionats:
Total Size,Mida total
Total Stock Qty,Quantitat total d'estoc
Total:,Total:
Totals by Invoice Currency,Totals per moneda de factura
Track how much cash was handed back to customers,Feu un seguiment de la quantitat d'efectiu retornat als clients
"Track recent sales, collect unpaid balances, and reopen saved work","Feu un seguiment de les vendes recents, recolliu els saldos impagats i torneu a obrir el treball desat"
Transaction ID,Identificador de transacció
Transfer,Transferència
Try a different search term or clear the cart search.,Prova un terme de cerca diferent o esborra la cerca del carretó.
Try adjusting your search or filters,Proveu d'ajustar la cerca o els filtres
Try another source or refresh the list.,Proveu una altra font o actualitzeu la llista.
Try changing the date range or status filter.,Proveu de canviar l'interval de dates o el filtre d'estat.
Type,Tipus
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,No es pot accedir a la càmera fins i tot amb la configuració bàsica. Comproveu els permisos de la càmera i la compatibilitat del dispositiu.
Unable to add offer item {0}. Please refresh and try again.,No es pot afegir l'element d'oferta {0}. Actualitzeu i torneu-ho a provar.
Unable to add offer item. Please refresh and try again.,No es pot afegir l'element de l'oferta. Actualitzeu i torneu-ho a provar.
Unable to add scanned item.,No es pot afegir l'element escanejat.
Unable to create purchase order,No es pot crear la comanda de compra
Unable to delete draft invoice,No es pot suprimir l'esborrany de la factura
Unable to fetch documents,No es poden recuperar els documents
Unable to fetch draft orders,No es poden obtenir esborranys de comandes
Unable to fetch invoice history,No es pot obtenir l'historial de factures
Unable to fetch M-Pesa payments,No es poden recuperar els pagaments de M-Pesa
Unable to fetch sales orders,No es poden recuperar les comandes de venda
Unable to fetch unpaid invoices,No s'han pogut recuperar les factures no pagades
Unable to generate scale barcode,No es pot generar el codi de barres d'escala
Unable to issue gift card.,No es pot emetre la targeta regal.
Unable to load cashier PIN status.,No es pot carregar l'estat del PIN del caixer.
Unable to load document,No es pot carregar el document
Unable to load draft invoice,No es pot carregar l'esborrany de la factura
Unable to load gift card balance.,No es pot carregar el saldo de la targeta regal.
Unable to load invoice details,No es poden carregar els detalls de la factura
Unable to load parked order,No es pot carregar la comanda aparcada
Unable to load the selected sales order,No es pot carregar la comanda de venda seleccionada
Unable to prepare document,No es pot preparar el document
Unable to prepare return invoice,No es pot preparar la factura de devolució
Unable to print draft invoice,No es pot imprimir l'esborrany de la factura
Unable to print submitted invoice,No es pot imprimir la factura enviada
Unable to process document action,No es pot processar l'acció del document
Unable to repair change allocation,No es pot reparar l'assignació de canvis
Unable to save cashier PIN.,No es pot desar el PIN del caixer.
Unable to save the rate to the backend price list,No es pot desar la tarifa a la llista de preus de fons
Unable to submit invoice,No s'ha pogut enviar la factura
Unable to submit the selected payment,No es pot enviar el pagament seleccionat
Unable to top up gift card.,No es pot recarregar la targeta regal.
Unable to verify cashier PIN.,No es pot verificar el PIN del caixer.
Unallocated,No assignat
Unallocated:,No assignat:
Unavailable,No disponible
Unknown,Desconegut
Unknown Item,Element desconegut
Unknown Warehouse,Magatzem desconegut
Unlock POS,Desbloqueja el TPV
Unpaid,Sense pagar
"Unselected payments stay unallocated first, then auto reconcile after submit.",Els pagaments no seleccionats no s'assignen primer i després es reconcilien automàticament després d'enviar-los.
UOM,UOM
UOM not found,No s'ha trobat UOM
Update available,Actualització disponible
Update Customer,Actualitzar el client
Update PIN,Actualitza el PIN
Update Price List Rate,Actualitza la tarifa de la llista de preus
Updated,Actualitzat
Updates and app info that stay out of the cashier flow.,Actualitzacions i informació d'aplicacions que es mantenen fora del flux de caixa.
Updates automatically,Actualitzacions automàticament
Usage,Ús
Usage Stats,Estadístiques d'ús
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Utilitzeu un PIN de 4 a 8 dígits per canviar el caixer i desbloquejar el terminal.
Use Cashier,Utilitzeu el caixer
Use date range to search for older invoices,Utilitzeu l'interval de dates per cercar factures més antigues
"Use one field for manual code entry, barcode scans, or QR scans.","Utilitzeu un camp per introduir codi manualment, escanejar codis de barres o escanejar QR."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Utilitzeu un flux de treball per a comprovacions de saldo, emissió nova i recàrregues sense sortir del TPV."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Utilitzeu aquesta secció quan les dades de requisits previs emmagatzemades a la memòria cau necessiten una actualització, una reconstrucció o una revisió de diagnòstic."
Use Western numerals,Utilitzeu números occidentals
Used:,Usat:
Using basic camera settings due to device limitations,Ús de la configuració bàsica de la càmera a causa de les limitacions del dispositiu
Using cached customer balance,Utilitzant el saldo del client en memòria cau
Valid until,Vàlid fins a
Variance %,% de variància
Variants,Variants
Variant-wise,En termes de variants
Verify closing amounts for each payment method,Verifiqueu els imports de tancament per a cada forma de pagament
View all,Veure-ho tot
View app information and current build details,Consulta la informació de l'aplicació i els detalls de la compilació actual
View Data Diagnostics,Visualitza el diagnòstic de dades
View Details,Veure detalls
View invoice details,Veure els detalls de la factura
View notifications,Veure notificacions
View offline invoices,Veure les factures fora de línia
View restricted POS insights,Consulta les estadístiques de TPV restringits
Void Amount,Import nul
Void Count,Recompte de buits
Voids,Buits
Waiting for cart items,Esperant els articles del carretó
Waiting for payment...,Esperant el pagament...
Walk-in Customer,Client d'entrada
Warehouse,Magatzem
Warning: High cache usage may affect performance.,Avís: l'ús elevat de la memòria cau pot afectar el rendiment.
Warning: High lag may indicate heavy processing or browser slowness.,Avís: un alt retard pot indicar un processament intens o una lentitud del navegador.
Week ?,Setmana?
Week-wise,Per setmana
Weight (g),Pes (g)
Weight (grams),Pes (grams)
We'll let you know if an invoice fails to submit,T'informarem si no s'envia una factura
Workflow,Flux de treball
Write off amount cannot exceed the POS profile maximum of {0},L'import de la cancel·lació no pot superar el màxim del perfil de TPV de {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,La quantitat de cancel·lació supera el límit permès ({0}). Afegiu el pagament per l'import restant.
Yes,Sí
"Yes, Cancel sale","Sí, cancel·la la venda"
"Yes, Close","Sí, a prop"
You are not allowed to print draft invoices,No teniu permís per imprimir esborranys de factures
You are offline. Add Payment will work again when the connection is restored.,Estàs fora de línia. Add Payment tornarà a funcionar quan es restableixi la connexió.
You have no notifications right now,No tens notificacions ara mateix
Your Cart,El teu carretó
