POS Awesome,POS Sjajno
Suppliers not found,Dobavljači nisu pronađeni
Switch Camera,Promjena kamere
Switch Cashier,Promijeni blagajnu
Switch the POS appearance theme,Promijenite temu izgleda POS-a
Switched to:,Prebačeno na:
Sync All Invoices,Sinkroniziraj sve fakture
Sync Offline Cash Movements ({0}),Sinkronizacija izvanmrežnih gotovinskih kretanja ({0})
Sync Offline Sales,Sinkronizacija izvanmrežne prodaje
Synced {0} offline cash movement(s).,Sinkronizirano {0} izvanmrežnih kretanja gotovine.
Syncing items in background,Sinkronizacija stavki u pozadini
System / Diagnostics,Sustav / Dijagnostika
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Radnje sustava su kontrole održavanja niske frekvencije kao što su informacije o aplikaciji, dijagnostika podrške i kontrole sesije."
System Information,Informacije o sustavu
System Status,Status sustava
Tables:,Stolovi:
Tap the button below to redeem a gift card during checkout.,Dodirnite gumb u nastavku da biste iskoristili darovnu karticu tijekom naplate.
Target,cilj
Target Ex. Rate:,Target Ex. Ocijenite:
Target Rate:,Ciljana stopa:
Tax,porez
Tax / Charges Report,Izvješće o porezima/pristojbama
Tax Heads,Porezne glave
Taxable Amount,Oporezivi iznos
Tendered,Natječaj
Terminal,Terminal
Terminal & Devices,Terminal i uređaji
Terminal locked,Terminal zaključan
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Terminalski alati utječu na ovu blagajnu, zaslone okrenute prema kupcima i buduće kontrole pisača/uređaja."
Territory not found,Teritorij nije pronađen
The amount paid is not complete,Plaćeni iznos nije potpun
The app stores data locally for offline use. This is called cache.,Aplikacija pohranjuje podatke lokalno za izvanmrežnu upotrebu. To se zove predmemorija.
The invoice stayed in draft. Please review and submit it manually.,Faktura je ostala u skici. Pregledajte i pošaljite ga ručno.
The maximum discount allowed is,Maksimalni dopušteni popust je
The quantity for {0} has been adjusted to the maximum available stock.,Količina za {0} prilagođena je maksimalnoj dostupnoj zalihi.
The system could not retrieve the item details. Please try again.,Sustav nije mogao dohvatiti detalje stavke. Molimo pokušajte ponovo.
These invoices will be synced when connection is restored,Ove fakture će se sinkronizirati kada se veza uspostavi
This action now opens inside the settings workspace.,Ova se radnja sada otvara unutar radnog prostora postavki.
This coupon already used !,Ovaj kupon je već iskorišten!
This invoice does not need change-allocation repair,Ova faktura ne treba popravak promjene dodjele
This invoice is already repaired,Ova je faktura već popravljena
This is an item template. Please choose a variant.,Ovo je predložak stavke. Odaberite varijantu.
this item,ovu stavku
This POS page could not be opened offline because its code was not cached on this terminal yet.,Ovu POS stranicu nije bilo moguće otvoriti izvan mreže jer njezin kod još nije predmemoriran na ovom terminalu.
This Serial Number {0} has already been added!,Ovaj serijski broj {0} već je dodan!
Threshold,Prag
Time,Vrijeme
Tip: Clear cache regularly to free up space and keep the app fast.,Savjet: Redovito čistite predmemoriju kako biste oslobodili prostor i održali aplikaciju brzom.
Tip: Close unused tabs or apps to reduce lag.,Savjet: zatvorite nekorištene kartice ili aplikacije kako biste smanjili kašnjenje.
Tip: Monitor slow queries and table size for optimal performance.,Savjet: Pratite spore upite i veličinu tablice za optimalnu izvedbu.
To Be Paid,Biti plaćen
To Date,Do danas
Today,Danas
Today Profit,Današnji profit
Today Sales,Današnja prodaja
Toggle navigation drawer,Uključi/isključi ladicu za navigaciju
Toggle Theme,Uključi/isključi temu
Tools,Alati
Tools for customer-facing screens and terminal-specific actions.,Alati za zaslone okrenute prema korisnicima i radnje specifične za terminal.
Top Brand,Vrhunski brand
Top Category,Vrhunska kategorija
Top Charge Head,Top Charge Head
Top Customers,Najbolji kupci
Top Discount,Vrhunski popust
Top Items by Location,Najpopularnije stavke po lokaciji
Top Margin,Gornja margina
Top Pending,Vrh na čekanju
Top Profit Item,Vrhunska profitna stavka
Top Return Items,Vrhunski povratni artikli
Top Sales by Cashier,Najbolja prodaja na blagajni
Top Supplier,Vrhunski dobavljač
Top Suppliers by Spend,Najbolji dobavljači po potrošnji
Top Tables,Gornji stolovi
Top Tax Head,Vrhunski šef porezne uprave
Top Up Amount,Iznos dopune
Top Up Card,Kartica za dopunu
Top Up Mode,Način nadopunjavanja
Top Variant,Vrhunska varijanta
Total,Ukupno
Total Amount,Ukupni iznos
Total Change,Potpuna promjena
Total Charges,Ukupni troškovi
Total In,Ukupno In
Total Invoices,Ukupne fakture
Total Items,Ukupno stavki
Total Mpesa,Ukupna Mpesa
Total Out,Total Out
Total Payments,Ukupna plaćanja
Total Purchase,Ukupna kupnja
Total Selected :,Ukupno odabrano:
Total Size,Ukupna veličina
Total Stock Qty,Ukupna količina zaliha
Total:,Ukupno:
Totals by Invoice Currency,Ukupni iznosi prema valuti fakture
Track how much cash was handed back to customers,Pratite koliko je gotovine vraćeno kupcima
"Track recent sales, collect unpaid balances, and reopen saved work","Pratite nedavne prodaje, prikupite neplaćena dugovanja i ponovno otvorite spremljeni rad"
Transaction ID,ID transakcije
Transfer,Prijenos
Try a different search term or clear the cart search.,Pokušajte s drugim pojmom za pretraživanje ili izbrišite pretraživanje košarice.
Try adjusting your search or filters,Pokušajte prilagoditi pretraživanje ili filtre
Try another source or refresh the list.,Pokušajte s drugim izvorom ili osvježite popis.
Try changing the date range or status filter.,Pokušajte promijeniti datumski raspon ili filtar statusa.
Type,Vrsta
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,Nije moguće pristupiti kameri čak ni uz osnovne postavke. Provjerite dopuštenja svoje kamere i kompatibilnost uređaja.
Unable to add offer item {0}. Please refresh and try again.,Nije moguće dodati stavku ponude {0}. Molimo osvježite i pokušajte ponovno.
Unable to add offer item. Please refresh and try again.,Nije moguće dodati stavku ponude. Molimo osvježite i pokušajte ponovno.
Unable to add scanned item.,Nije moguće dodati skeniranu stavku.
Unable to create purchase order,Nije moguće izraditi narudžbenicu
Unable to delete draft invoice,Nije moguće izbrisati nacrt fakture
Unable to fetch documents,Nije moguće dohvatiti dokumente
Unable to fetch draft orders,Nije moguće dohvatiti nacrte naloga
Unable to fetch invoice history,Nije moguće dohvatiti povijest faktura
Unable to fetch M-Pesa payments,Nije moguće dohvatiti M-Pesa plaćanja
Unable to fetch sales orders,Nije moguće dohvatiti prodajne narudžbe
Unable to fetch unpaid invoices,Nije moguće dohvatiti neplaćene fakture
Unable to generate scale barcode,Nije moguće generirati crtični kod vage
Unable to issue gift card.,Nije moguće izdati darovnu karticu.
Unable to load cashier PIN status.,Nije moguće učitati status PIN-a blagajnika.
Unable to load document,Nije moguće učitati dokument
Unable to load draft invoice,Nije moguće učitati nacrt fakture
Unable to load gift card balance.,Nije moguće učitati saldo darovne kartice.
Unable to load invoice details,Nije moguće učitati podatke o fakturi
Unable to load parked order,Nije moguće učitati parkirani nalog
Unable to load the selected sales order,Nije moguće učitati odabrani prodajni nalog
Unable to prepare document,Nije moguće pripremiti dokument
Unable to prepare return invoice,Nije moguće pripremiti fakturu za povrat
Unable to print draft invoice,Nije moguće ispisati nacrt fakture
Unable to print submitted invoice,Ispis dostavljene fakture nije moguć
Unable to process document action,Nije moguće obraditi radnju dokumenta
Unable to repair change allocation,Nije moguće popraviti dodjelu promjena
Unable to save cashier PIN.,Nije moguće spremiti PIN blagajnika.
Unable to save the rate to the backend price list,Nije moguće spremiti cijenu u pozadinski cjenik
Unable to submit invoice,Nije moguće poslati fakturu
Unable to submit the selected payment,Nije moguće izvršiti odabrano plaćanje
Unable to top up gift card.,Nije moguće nadopuniti darovnu karticu.
Unable to verify cashier PIN.,Nije moguće potvrditi PIN blagajnika.
Unallocated,Neraspoređeno
Unallocated:,Nedodijeljeno:
Unavailable,Nedostupan
Unknown,Nepoznato
Unknown Item,Nepoznata stavka
Unknown Warehouse,Nepoznato skladište
Unlock POS,Otključaj POS
Unpaid,Neplaćeno
"Unselected payments stay unallocated first, then auto reconcile after submit.","Neodabrana plaćanja prvo ostaju nedodijeljena, a zatim se automatski usklađuju nakon slanja."
UOM,UOM
UOM not found,UOM nije pronađen
Update available,Ažuriranje dostupno
Update Customer,Ažurirajte klijenta
Update PIN,Ažurirajte PIN
Update Price List Rate,Ažuriraj cijenu cjenika
Updated,Ažurirano
Updates and app info that stay out of the cashier flow.,Ažuriranja i informacije o aplikacijama koje ostaju izvan toka blagajne.
Updates automatically,Ažurira se automatski
Usage,Korištenje
Usage Stats,Statistika korištenja
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Koristite PIN od 4 do 8 znamenki za promjenu blagajne i otključavanje terminala.
Use Cashier,Koristite blagajnu
Use date range to search for older invoices,Koristite datumski raspon za traženje starijih faktura
"Use one field for manual code entry, barcode scans, or QR scans.","Koristite jedno polje za ručni unos koda, skeniranje crtičnog koda ili QR skeniranje."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Koristite jedan tijek rada za provjere stanja, novo izdavanje i nadoplate bez napuštanja POS-a."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Koristite ovaj odjeljak kada predmemorirane preduvjetne podatke treba osvježiti, ponovno izgraditi ili pregledati dijagnostiku."
Use Western numerals,Koristite zapadne brojeve
Used:,korišteno:
Using basic camera settings due to device limitations,Korištenje osnovnih postavki kamere zbog ograničenja uređaja
Using cached customer balance,Korištenje predmemoriranog stanja klijenta
Valid until,Vrijedi do
Variance %,% odstupanja
Variants,Varijante
Variant-wise,Varijantno
Verify closing amounts for each payment method,Provjerite završne iznose za svaki način plaćanja
View all,Pogledaj sve
View app information and current build details,Pogledajte informacije o aplikaciji i trenutne pojedinosti o izradi
View Data Diagnostics,Pregledajte Data Diagnostics
View Details,Prikaži pojedinosti
View invoice details,Pregledajte detalje fakture
View notifications,Pregledajte obavijesti
View offline invoices,Pregledajte izvanmrežne fakture
View restricted POS insights,Pregledajte ograničene POS uvide
Void Amount,Iznos poništenja
Void Count,Broj praznina
Voids,Praznine
Waiting for cart items,Čekanje stavki u košarici
Waiting for payment...,Čeka se isplata...
Walk-in Customer,Ulazni kupac
Warehouse,Skladište
Warning: High cache usage may affect performance.,Upozorenje: velika upotreba predmemorije može utjecati na performanse.
Warning: High lag may indicate heavy processing or browser slowness.,Upozorenje: veliko kašnjenje može ukazivati ​​na tešku obradu ili sporost preglednika.
Week ?,tjedan ?
Week-wise,Tjedno gledano
Weight (g),Težina (g)
Weight (grams),Težina (grami)
We'll let you know if an invoice fails to submit,Obavijestit ćemo vas ako se faktura ne podnese
Workflow,Tijek rada
Write off amount cannot exceed the POS profile maximum of {0},Iznos otpisa ne može premašiti maksimum POS profila od {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,Iznos otpisa premašuje dopušteno ograničenje ({0}). Dodajte uplatu za preostali iznos.
Yes,da
"Yes, Cancel sale","Da, odustani od prodaje"
"Yes, Close","Da, Zatvori"
You are not allowed to print draft invoices,Ne smijete ispisivati nacrte faktura
You are offline. Add Payment will work again when the connection is restored.,Vi ste izvan mreže. Dodavanje plaćanja ponovno će raditi kada se veza ponovno uspostavi.
You have no notifications right now,Trenutno nemate obavijesti
Your Cart,Vaša košarica
