POS Awesome,POS すごい
Unable to save cashier PIN.,レジ暗証番号を保存できません。
Unable to save the rate to the backend price list,バックエンド価格リストにレートを保存できません
Unable to submit invoice,請求書を提出できません
Unable to submit the selected payment,選択した支払いを送信できません
Unable to top up gift card.,ギフトカードにチャージできません。
Unable to verify cashier PIN.,レジの暗証番号を確認できません。
Unallocated,未割り当て
Unallocated:,未割り当て:
Unavailable,利用不可
Unknown,不明
Unknown Item,不明なアイテム
Unknown Warehouse,未知の倉庫
Unlock POS,POSのロックを解除する
Unpaid,未払い
"Unselected payments stay unallocated first, then auto reconcile after submit.",選択されていない支払いは最初は割り当てられないままになり、送信後に自動的に調整されます。
UOM,単位
UOM not found,単位が見つかりません
Update available,利用可能なアップデート
Update Customer,顧客の更新
Update PIN,PIN を更新する
Update Price List Rate,価格表レートの更新
Updated,更新されました
Updates and app info that stay out of the cashier flow.,レジの流れから外れるアップデートとアプリ情報。
Updates automatically,自動的に更新されます
Usage,使用法
Usage Stats,使用状況統計
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,レジの切り替えや端末のロック解除には4〜8桁の暗証番号を使用します。
Use Cashier,キャッシャーを使用する
Use date range to search for older invoices,日付範囲を使用して古い請求書を検索します
"Use one field for manual code entry, barcode scans, or QR scans.",手動コード入力、バーコード スキャン、または QR スキャンには 1 つのフィールドを使用します。
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.",POS を離れることなく、残高確認、新規発行、チャージを 1 つのワークフローで実行できます。
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.",キャッシュされた前提条件データの更新、再構築、または診断レビューが必要な場合は、このセクションを使用します。
Use Western numerals,欧文数字を使用する
Used:,使用:
Using basic camera settings due to device limitations,デバイスの制限により基本的なカメラ設定を使用する
Using cached customer balance,キャッシュされた顧客残高の使用
Valid until,まで有効
Variance %,分散%
Variants,バリエーション
Variant-wise,バリアントごと
Verify closing amounts for each payment method,各支払い方法の最終金額を確認する
View all,すべて見る
View app information and current build details,アプリ情報と現在のビルドの詳細を表示する
View Data Diagnostics,データ診断の表示
View Details,詳細を見る
View invoice details,請求書の詳細を表示する
View notifications,通知を表示する
View offline invoices,オフラインの請求書を表示する
View restricted POS insights,制限された POS の分析情報を表示する
Void Amount,ボイド量
Void Count,ボイド数
Voids,ボイド
Waiting for cart items,カートの商品を待っています
Waiting for payment...,支払いを待っています...
Walk-in Customer,ウォークインのお客様
Warehouse,倉庫
Warning: High cache usage may affect performance.,警告: キャッシュの使用率が高くなると、パフォーマンスに影響を与える可能性があります。
Warning: High lag may indicate heavy processing or browser slowness.,警告: 遅延が大きい場合は、処理が重いかブラウザが遅いことを示している可能性があります。
Week ?,週 ？
Week-wise,週ごと
Weight (g),重量(g)
Weight (grams),重量 (グラム)
We'll let you know if an invoice fails to submit,請求書が送信されない場合は通知されます
Workflow,ワークフロー
Write off amount cannot exceed the POS profile maximum of {0},償却額は POS プロファイルの最大値 {0} を超えることはできません
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,償却額が許容限度 ({0}) を超えています。残額を追加でお支払い下さい。
Yes,はい
"Yes, Cancel sale",はい、販売をキャンセルします
"Yes, Close",はい、閉じます
You are not allowed to print draft invoices,請求書の下書きを印刷することはできません
You are offline. Add Payment will work again when the connection is restored.,あなたはオフラインです。接続が復元されると、支払いの追加は再び機能します。
You have no notifications right now,現在通知はありません
Your Cart,あなたのカート
