POS Awesome,POS Φοβερό
Payments are not open. Do you want to open payments and submit?,Οι πληρωμές δεν είναι ανοιχτές. Θέλετε να ανοίξετε πληρωμές και να υποβάλετε;
Payments by Mode of Payment,Πληρωμές κατά τρόπο πληρωμής
PDF,PDF
Peak Hour,Ώρα αιχμής
Peak Memory:,Μέγιστη μνήμη:
Peak Server:,Διακομιστής κορυφής:
Peak:,Κορυφή:
Pending,Σε εκκρεμότητα
Pending Amount,Ποσό σε εκκρεμότητα
Pending count updated from {0} to {1},Ο αριθμός σε εκκρεμότητα ενημερώθηκε από {0} σε {1}
Pending Exposure,Έκθεση σε εκκρεμότητα
Pending Invoices,Εκκρεμή τιμολόγια
Pending Ratio,Αναλογία σε εκκρεμότητα
Pending Sales,Εκκρεμείς πωλήσεις
Pending sales: {0} | Cache usage: {1}%,Εκκρεμείς εκπτώσεις: {0} | Χρήση προσωρινής μνήμης: {1}%
Pending Sync,Συγχρονισμός σε εκκρεμότητα
Pending: {0},Σε εκκρεμότητα: {0}
Pending: {0} | Synced: {1} | Draft: {2},Σε εκκρεμότητα: {0} | Συγχρονίστηκε: {1} | Πρόχειρο: {2}
Per Page,Ανά σελίδα
Personal,Προσωπικά
Personal preferences adjust the current cashier experience without changing the active POS route.,Οι προσωπικές προτιμήσεις προσαρμόζουν την τρέχουσα εμπειρία ταμείου χωρίς να αλλάξετε την ενεργή διαδρομή POS.
PIN confirmation does not match.,Η επιβεβαίωση PIN δεν ταιριάζει.
PIN must be 4 to 8 digits.,Το PIN πρέπει να είναι 4 έως 8 ψηφία.
Please add at least one item.,Προσθέστε τουλάχιστον ένα στοιχείο.
Please allow camera access to scan codes,Επιτρέψτε την πρόσβαση της κάμερας στους κωδικούς σάρωσης
Please enter payment amount,Εισαγάγετε το ποσό πληρωμής
Please fill all required fields,Συμπληρώστε όλα τα υποχρεωτικά πεδία
Please make a payment or select a payment,Κάντε μια πληρωμή ή επιλέξτε μια πληρωμή
Please request phone payment or use another payment method,Ζητήστε πληρωμή μέσω τηλεφώνου ή χρησιμοποιήστε άλλη μέθοδο πληρωμής
Please select a customer first,Επιλέξτε πρώτα έναν πελάτη
Please select a party,Επιλέξτε ένα πάρτι
Please select a party before reconciling.,Επιλέξτε ένα μέρος πριν συμφιλιωθείτε.
Please select a valid movement type.,Επιλέξτε έναν έγκυρο τύπο κίνησης.
Please select an invoice,Επιλέξτε ένα τιμολόγιο
Please select company before reconciling.,Επιλέξτε εταιρεία πριν από τη συμφωνία.
Please set the customer's mobile number,Ορίστε τον αριθμό κινητού του πελάτη
Please try again or enter the item manually.,Δοκιμάστε ξανά ή εισαγάγετε το στοιχείο μη αυτόματα.
Please verify the barcode or check the item's availability.,Επαληθεύστε τον γραμμωτό κώδικα ή ελέγξτε τη διαθεσιμότητα του προϊόντος.
Points,Πόντοι
Popup blocked. Please allow popups.,Αποκλείστηκε το αναδυόμενο παράθυρο. Επιτρέψτε τα αναδυόμενα παράθυρα.
POS,POS
POS controls and maintenance,Έλεγχοι και συντήρηση POS
POS Expense is disabled for this POS Profile.,Το POS Expense είναι απενεργοποιημένο για αυτό το προφίλ POS.
POS is running with limited offline prerequisites.,Το POS λειτουργεί με περιορισμένες προϋποθέσεις εκτός σύνδεσης.
POS Profile,Προφίλ POS
Position the QR code or barcode within the scanning area,Τοποθετήστε τον κωδικό QR ή τον γραμμωτό κώδικα μέσα στην περιοχή σάρωσης
Posting,Ανάρτηση
Posting and Price List,Ανάρτηση και Τιμοκατάλογος
Posting Date,Ημερομηνία δημοσίευσης
Preparing background sync,Προετοιμασία συγχρονισμού φόντου
"Press OK to continue offline with a warning, or Cancel to retry.",Πατήστε OK για να συνεχίσετε εκτός σύνδεσης με μια προειδοποίηση ή Άκυρο για να προσπαθήσετε ξανά.
Previous unit of measure,Προηγούμενη μονάδα μέτρησης
Price List,Τιμοκατάλογος
Price List Rate,Τιμή καταλόγου
Price list rate updated locally only,Η τιμή του τιμοκαταλόγου ενημερώνεται μόνο τοπικά
Pricing & Discounts,Τιμές & Εκπτώσεις
Pricing Rule,Κανόνας τιμολόγησης
Print,Εκτύπωση
Print Draft,Εκτύπωση προσχέδιο
Print Format (Invoice),Μορφή εκτύπωσης (τιμολόγιο)
Print Format (Order),Μορφή εκτύπωσης (παραγγελία)
Print invoice,Εκτύπωση τιμολογίου
Print Purchase Invoice instead of PO,Εκτύπωση Τιμολογίου Αγοράς αντί PO
Printer,Εκτυπωτής
Processed returns impacting the shift totals,Επεξεργασμένες επιστροφές που επηρεάζουν τα σύνολα βάρδιας
Processing Payment,Επεξεργασία πληρωμής
Processing payment entries for Invoice {0},Επεξεργασία εγγραφών πληρωμής για το τιμολόγιο {0}
Profile,Προφίλ
Profiles,Προφίλ
Profit,Κέρδος
Profit: Invoice Item Estimate,Κέρδος: Εκτίμηση είδους τιμολογίου
Profit: Stock Ledger (COGS),Κέρδος: Καθολικό Αποθεμάτων (COGS)
Profitability Report,Έκθεση Κερδοφορίας
Prorated return discount,Αναλογική έκπτωση επιστροφής
Purchase Amount,Ποσό Αγοράς
Purchase Invoices,Τιμολόγια αγορών
Purchase Order created,Δημιουργήθηκε η εντολή αγοράς
Qty,Ποσ
Qualified,Πιστοποιημένος
Quantity,Ποσότητα
Quantity exceeds available stock,Η ποσότητα υπερβαίνει το διαθέσιμο απόθεμα
Quick Actions,Γρήγορες Ενέργειες
Quotation {0} is Submitted,Η προσφορά {0} υποβλήθηκε
Quotation submitted,Η προσφορά υποβλήθηκε
QZ Tray connected.,Συνδέθηκε ο δίσκος QZ.
QZ Tray is manually disconnected. Press Connect to enable it again.,Ο δίσκος QZ αποσυνδέεται χειροκίνητα. Πατήστε Σύνδεση για να το ενεργοποιήσετε ξανά.
QZ Tray is not connected.,Ο δίσκος QZ δεν είναι συνδεδεμένος.
QZ Tray Setup,Ρύθμιση δίσκου QZ
Rate,Βαθμολογήστε
Rate adjusted to maximum allowed discount,Η τιμή προσαρμόστηκε στη μέγιστη επιτρεπόμενη έκπτωση
Ready,Έτοιμοι
Ready to resume,Έτοιμο για συνέχιση
Ready!,Έτοιμοι!
Real-time POS insights for retail operations.,Πληροφορίες POS σε πραγματικό χρόνο για εργασίες λιανικής.
Rebuild Offline Data,Αναδημιουργία δεδομένων εκτός σύνδεσης
Receive,Λήψη
Receive now,Λάβετε τώρα
Received,Ελήφθη
Received:,Λήφθηκε:
Recent Movement Entries,Εγγραφές πρόσφατων κινήσεων
Recent updates about your invoices,Πρόσφατες ενημερώσεις σχετικά με τα τιμολόγιά σας
Recently Active Customers,Πρόσφατα ενεργοί πελάτες
Rechecking connection,Επανέλεγχος σύνδεσης
Reconcile payment methods and close shift,Εναρμονίστε τους τρόπους πληρωμής και κλείστε τη βάρδια
Reconciling Payments,Συμφωνία πληρωμών
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","Επανασυνδεθείτε και ανοίξτε αυτήν τη σελίδα μία φορά ενώ είστε συνδεδεμένοι και, στη συνέχεια, οι ανανεώσεις εκτός σύνδεσης θα μπορούν να την επαναφέρουν."
Reconnect online to refresh cached offline data from the server.,Συνδεθείτε ξανά στο διαδίκτυο για να ανανεώσετε τα αποθηκευμένα δεδομένα εκτός σύνδεσης από το διακομιστή.
Recreate local offline prerequisites from scratch,Δημιουργήστε εκ νέου τοπικές προϋποθέσεις εκτός σύνδεσης από την αρχή
Recv:,Recv:
Redeem,Εξαργύρωση
Redeem / Scan,Εξαργύρωση / Σάρωση
Redeem Amount,Εξαργυρώστε το ποσό
Redeem Mode,Λειτουργία εξαργύρωσης
Redeemed Amount,Εξαγορασμένο Ποσό
Redeemed credit cannot be greater than its total.,Η εξαργυρωμένη πίστωση δεν μπορεί να είναι μεγαλύτερη από το σύνολο της.
Redemption and Totals,Εξαγορά και Σύνολα
Reference,Αναφορά
Refresh,Ανανέωση
Refresh Exchange Rate,Ανανέωση συναλλαγματικής ισοτιμίας
Refresh Offline Data,Ανανέωση δεδομένων εκτός σύνδεσης
Refresh Printers,Ανανέωση εκτυπωτών
Refund,Επιστροφή χρημάτων
Release Notes,Σημειώσεις Έκδοσης
Reload,Επαναφόρτωση
Reload customers,Επαναφόρτωση πελατών
Reload Items,Επαναφόρτωση αντικειμένων
Reload Now,Επανάληψη φόρτωσης τώρα
Reload to apply the latest changes. Your current session will be refreshed.,Επαναλάβετε τη φόρτωση για να εφαρμόσετε τις τελευταίες αλλαγές. Η τρέχουσα συνεδρία σας θα ανανεωθεί.
Reload Workflow,Επαναφόρτωση ροής εργασίας
Remarks,Παρατηρήσεις
Remarks are required.,Απαιτούνται παρατηρήσεις.
Remove,Αφαίρεση
Remove barcode item,Αφαιρέστε το στοιχείο γραμμικού κώδικα
Remove cached data and reload the POS app,Καταργήστε τα αποθηκευμένα δεδομένα και φορτώστε ξανά την εφαρμογή POS
Remove item,Αφαίρεση στοιχείου
Remove Offer,Κατάργηση προσφοράς
Reorder / Purchase Suggestions,Αναπαραγγελία / Προτάσεις αγοράς
Repair Candidate,Υποψήφιος επισκευής
Repair Change Allocation,Επιδιόρθωση Κατανομής Αλλαγών
Repair requires an online connection,Η επισκευή απαιτεί σύνδεση στο διαδίκτυο
Repaired,Επισκευασμένο
Repairing change allocation,Επισκευή κατανομής αλλαγών
Repeat Customers,Επαναλαμβανόμενοι πελάτες
Repeat Rate,Ρυθμός επανάληψης
Request,Αίτημα
Request ID: {0},Αναγνωριστικό αιτήματος: {0}
Request Payment,Αίτημα πληρωμής
Requested route: {0},Ζητούμενη διαδρομή: {0}
Required columns cannot be hidden,Δεν είναι δυνατή η απόκρυψη των απαιτούμενων στηλών
Reset,Επαναφορά
Reset item name,Επαναφορά ονόματος στοιχείου
Reset to Default,Επαναφορά στην προεπιλογή
Resource Health,Υγεία Πόρων
Restricted,Περιορισμένη
Restricted operational controls for supervisors only.,Περιορισμένοι λειτουργικοί έλεγχοι μόνο για επόπτες.
Retry,Επανάληψη
Retry route,Δοκιμάστε ξανά τη διαδρομή
Return,Επιστροφή
Return Amount,Ποσό Επιστροφής
Return Count,Καταμέτρηση επιστροφών
Return items must have negative quantities,Τα επιστρεφόμενα είδη πρέπει να έχουν αρνητικές ποσότητες
Return total must be negative,Το σύνολο της επιστροφής πρέπει να είναι αρνητικό
Return Valid Until,Επιστροφή Ισχύει μέχρι
Return window passed,Το παράθυρο επιστροφής πέρασε
Return without Invoice,Επιστροφή χωρίς τιμολόγιο
Returns,Επιστροφές
Returns / Voids / Discounts,Επιστροφές / Ακυρώσεις / Εκπτώσεις
Returns by Currency,Επιστροφές ανά νόμισμα
Revenue,Έσοδα
Review shift totals before submitting the closing entry,Ελέγξτε τα σύνολα βάρδιων πριν υποβάλετε την καταχώριση κλεισίματος
Round Off,Στρογγυλοποίηση
Rows,Σειρές
Rows:,Σειρές:
Rule,Κανόνας
Sale,Πώληση
Sales,Πωλήσεις
Sales Order {0} is Submitted,Η παραγγελία πώλησης {0} έχει υποβληθεί
Sales Person and Print,Πωλητής και Εκτύπωση
Sales Person not found,Ο πωλητής δεν βρέθηκε
Sales processed,Οι πωλήσεις υποβλήθηκαν σε επεξεργασία
Sales Return,Επιστροφή πωλήσεων
Sales Trend Report,Αναφορά τάσης πωλήσεων
Save,Αποθήκευση
Save & Clear,Αποθήκευση & Εκκαθάριση
Save as POS Profile Default,Αποθήκευση ως Προεπιλογή Προφίλ POS
Save Settings,Αποθήκευση ρυθμίσεων
Save the selected printer as the POS Profile default so it shows automatically on this setup.,"Αποθηκεύστε τον επιλεγμένο εκτυπωτή ως το προεπιλεγμένο προφίλ POS, ώστε να εμφανίζεται αυτόματα σε αυτήν τη ρύθμιση."
Saved as draft because: {0},Αποθηκεύτηκε ως πρόχειρο επειδή: {0}
Saving...,Αποθήκευση...
Scale barcode detected. Quantity here is the number of labels to print.,Εντοπίστηκε γραμμωτός κώδικας κλίμακας. Η ποσότητα εδώ είναι ο αριθμός των ετικετών που θα εκτυπωθούν.
Scale barcode settings are not configured. Using item barcode only.,Οι ρυθμίσεις γραμμικού κώδικα κλίμακας δεν έχουν διαμορφωθεί. Χρησιμοποιώντας μόνο γραμμωτό κώδικα.
Scale template barcode is missing for this item/UOM. Using item barcode only.,Ο γραμμωτός κώδικας προτύπου κλίμακας λείπει για αυτό το στοιχείο/UOM. Χρησιμοποιώντας μόνο γραμμωτό κώδικα.
Scan an existing card and top it up without leaving the payment flow.,Σαρώστε μια υπάρχουσα κάρτα και συμπληρώστε την χωρίς να αποχωρήσετε από τη ροή πληρωμών.
Scan Error,Σφάλμα σάρωσης
Scan or enter a gift card code to check balance or redeem.,Σαρώστε ή εισαγάγετε έναν κωδικό δωροκάρτας για να ελέγξετε το υπόλοιπο ή να εξαργυρώσετε.
Scan or paste the card code below.,Σαρώστε ή επικολλήστε τον κωδικό της κάρτας παρακάτω.
Scan QR Code/Barcode,Σάρωση QR Code/Barcode
Scan with camera,Σάρωση με κάμερα
Scan-First Flow,Σάρωση-Πρώτη ροή
Scanned Code:,Σαρωμένος κώδικας:
Scanning for: {0},Σάρωση για: {0}
Scanning items,Σάρωση στοιχείων
Scan-Ready,Έτοιμο για σάρωση
Scope,Πεδίο εφαρμογής
Scope: All Profiles,Πεδίο εφαρμογής: Όλα τα προφίλ
Scope: Current Profile,Πεδίο εφαρμογής: Τρέχον προφίλ
Scope: Specific Profile,Πεδίο εφαρμογής: Ειδικό προφίλ
Search,Αναζήτηση
Search Account,Αναζήτηση λογαριασμού
Search an invoice and continue the return flow without extra steps.,Αναζητήστε ένα τιμολόγιο και συνεχίστε τη ροή επιστροφής χωρίς επιπλέον βήματα.
Search customer,Αναζήτηση πελάτη
Search invoices or customers,Αναζήτηση τιμολογίων ή πελατών
Search item,Αναζήτηση αντικειμένου
Search item / code,Αναζήτηση στοιχείου / κωδικού
Search items or barcode,Αναζήτηση στοιχείων ή γραμμικού κώδικα
Search Mpesa Payments,Αναζήτηση Mpesa Payments
Search return invoices or customers,Αναζήτηση τιμολογίων επιστροφής ή πελατών
Search supplier,Αναζήτηση προμηθευτή
Search unpaid invoices or customers,Αναζήτηση απλήρωτων τιμολογίων ή πελατών
Secure context (HTTPS or localhost) is required for camera access.,Απαιτείται ασφαλές περιβάλλον (HTTPS ή localhost) για πρόσβαση στην κάμερα.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,Απαιτείται ασφαλές περιβάλλον (HTTPS) για πρόσβαση στην κάμερα. Χρησιμοποιήστε το HTTPS για πρόσβαση στην κάμερα.
Select,Επιλέξτε
Select a cashier first.,Επιλέξτε πρώτα ένα ταμείο.
Select a customer,Επιλέξτε έναν πελάτη
Select a customer to use coupon,Επιλέξτε έναν πελάτη για χρήση κουπονιού
Select a printer to use QZ silent printing.,Επιλέξτε έναν εκτυπωτή για χρήση της αθόρυβης εκτύπωσης QZ.
Select Batch,Επιλέξτε Παρτίδα
Select Columns to Display,Επιλέξτε Στήλες για εμφάνιση
Select items to sell,Επιλέξτε αντικείμενα προς πώληση
Select Payment,Επιλέξτε Πληρωμή
Select Payment Account,Επιλέξτε Λογαριασμός πληρωμής
Select printer,Επιλέξτε εκτυπωτή
Select Return Invoice,Επιλέξτε Επιστροφή τιμολογίου
Select S.O,Επιλέξτε S.O
Select Sales Orders,Επιλέξτε Παραγγελίες Πωλήσεων
Select the cashier who is taking over this terminal.,Επιλέξτε τον ταμία που αναλαμβάνει αυτό το τερματικό.
Selected,Επιλεγμένο
Selected movement type is not allowed by POS Profile.,Ο επιλεγμένος τύπος κίνησης δεν επιτρέπεται από το προφίλ POS.
Selected Payments,Επιλεγμένες πληρωμές
Sensitive actions kept away from quick taps.,Οι ευαίσθητες ενέργειες κρατούνται μακριά από γρήγορα χτυπήματα.
Serial,Σειρά
Serial Numbers,Σειριακούς Αριθμούς
Server CPU Usage:,Χρήση CPU διακομιστή:
Server Health,Υγεία διακομιστή
Server Memory Usage:,Χρήση μνήμης διακομιστή:
Server Metrics,Μετρήσεις διακομιστή
Server Uptime:,Χρόνος λειτουργίας διακομιστή:
Service Charges,Χρεώσεις υπηρεσιών
Session,συνεδρία
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,Ορίστε κάθε PIN ταμείου στη φόρμα Χρήστη και διατηρήστε τα μέλη τερματικού που έχουν εκχωρηθεί στο προφίλ χρήστη POS.
Settings,Ρυθμίσεις
Settings in this section update the POS workspace without changing the current route.,Οι ρυθμίσεις σε αυτήν την ενότητα ενημερώνουν τον χώρο εργασίας του POS χωρίς να αλλάξουν την τρέχουσα διαδρομή.
Setup complete!,Η εγκατάσταση ολοκληρώθηκε!
Share,Κοινή χρήση
Shared terminal,Κοινόχρηστο τερματικό
Shift Closed Snapshot,Shift Κλειστό στιγμιότυπο
Shift Overview,Επισκόπηση Shift
Show,Εμφάνιση
Show cart on customer-facing screen,Εμφάνιση του καλαθιού στην οθόνη που βλέπει ο πελάτης
Show last invoice rate,Εμφάνιση τιμής τελευταίου τιμολογίου
Show rate info,Εμφάνιση πληροφοριών τιμής
Show Repair Candidates,Εμφάνιση υποψηφίων επισκευής
Show search tools,Εμφάνιση εργαλείων αναζήτησης
Show the active cart on a customer-facing screen,Εμφάνιση του ενεργού καλαθιού σε μια οθόνη που βλέπει τον πελάτη
Showing {0}-{1} of {2},Εμφάνιση {0}-{1} από {2}
Showing 0 of 0,Εμφάνιση 0 από 0
Shows the distribution of invoices per currency,Εμφανίζει την κατανομή των τιμολογίων ανά νόμισμα
Sign out of the current POS session,Αποσυνδεθείτε από την τρέχουσα περίοδο λειτουργίας POS
Size:,Μέγεθος:
Skipped Payments,Παράβλεψη πληρωμών
Skipping items without barcodes,Παράκαμψη αντικειμένων χωρίς γραμμωτούς κώδικες
Slow Moving,Αργή κίνηση
Slow Moving Items,Είδη αργής κίνησης
Slow Queries:,Αργή ερωτήματα:
Sold,Πουλήθηκε
Source,Πηγή
Source Cash Account (Optional Override),Λογαριασμός μετρητών προέλευσης (Προαιρετική παράκαμψη)
Source Ex. Rate:,Πηγή Εξ. Βαθμολογία:
Source Rate:,Πηγή Ποσοστό:
Specific Profile,Συγκεκριμένο προφίλ
Split Invoices,Διαίρεση Τιμολογίων
Staff / Cashier Performance Report,Έκθεση Απόδοσης Προσωπικού / Ταμείου
Status,Κατάσταση
Stock,απόθεμα
Stock Information,Πληροφορίες αποθέματος
Stock is lower than requested,Το απόθεμα είναι χαμηλότερο από το ζητούμενο
Stock is lower than requested:\n{0},Το απόθεμα είναι χαμηλότερο από το ζητούμενο:\n{0}
Stock Movement Report,Έκθεση κίνησης μετοχών
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Ενημέρωση αποθέματος: Η εταιρεία {0} διαθέτει {1}. Η προσθήκη του {2} θα φέρει το απόθεμα κάτω από το μηδέν.
Submit,Υποτάσσομαι
Submit & Print,Υποβολή & Εκτύπωση
Submit Deposit,Υποβολή κατάθεσης
Submit Expense,Υποβολή Δαπάνης
Submitted,Υποβλήθηκε
Submitted Cash Movements,Υποβλήθηκαν κινήσεις μετρητών
Submitted entries,Υποβλήθηκαν συμμετοχές
Successfully scanned:,Σαρώθηκε με επιτυχία:
Suggested,Προτεινόμενα
Suggested Qty,Προτεινόμενη Ποσότητα
Supervisor Access,Πρόσβαση επόπτη
Supervisor permissions unlock issuance and reloads,Τα δικαιώματα επόπτη ξεκλειδώνουν την έκδοση και τις επαναφορτώσεις
Supervisor Tools,Εργαλεία Επόπτη
Supplier,Προμηθευτής
Supplier and dates are required.,Απαιτείται προμηθευτής και ημερομηνίες.
Supplier Invoices,Τιμολόγια Προμηθευτών
Supplier is required.,Απαιτείται προμηθευτής.
Supplier name is required,Απαιτείται όνομα προμηθευτή
Supplier Payments,Πληρωμές προμηθευτών
Supplier Purchase Summary,Περίληψη αγορών προμηθευτή
Suppliers,Προμηθευτές
Suppliers not found,Δεν βρέθηκαν προμηθευτές
Switch Camera,Εναλλαγή κάμερας
Switch Cashier,Διακόπτης Ταμείου
Switch the POS appearance theme,Αλλάξτε το θέμα εμφάνισης POS
Switched to:,Έγινε εναλλαγή σε:
Sync All Invoices,Συγχρονισμός όλων των τιμολογίων
Sync Offline Cash Movements ({0}),Συγχρονισμός μετρητών εκτός σύνδεσης ({0})
Sync Offline Sales,Συγχρονισμός πωλήσεων εκτός σύνδεσης
Synced {0} offline cash movement(s).,Συγχρονίστηκαν {0} κινήσεις μετρητών εκτός σύνδεσης.
Syncing items in background,Συγχρονισμός στοιχείων στο παρασκήνιο
System / Diagnostics,Σύστημα / Διαγνωστικά
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Οι ενέργειες συστήματος είναι έλεγχοι συντήρησης χαμηλής συχνότητας, όπως πληροφορίες εφαρμογής, διαγνωστικά υποστήριξης και έλεγχοι συνεδρίας."
System Information,Πληροφορίες συστήματος
System Status,Κατάσταση συστήματος
Tables:,Πίνακες:
Tap the button below to redeem a gift card during checkout.,Πατήστε το κουμπί παρακάτω για να εξαργυρώσετε μια δωροκάρτα κατά την ολοκλήρωση της αγοράς.
Target,Στόχος
Target Ex. Rate:,Στόχος Ex. Βαθμολογία:
Target Rate:,Ποσοστό στόχος:
Tax,Φόρος
Tax / Charges Report,Έκθεση Φόρου / Χρεώσεων
Tax Heads,Προϊστάμενοι Εφορίας
Taxable Amount,Φορολογητέα Ποσό
Tendered,Προσφορά
Terminal,Τερματικό
Terminal & Devices,Τερματικό & Συσκευές
Terminal locked,Το τερματικό κλειδωμένο
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Τα εργαλεία τερματικού επηρεάζουν αυτόν τον σταθμό ολοκλήρωσης αγοράς, τις οθόνες που αντιμετωπίζουν οι πελάτες και τα μελλοντικά στοιχεία ελέγχου εκτυπωτή/συσκευής."
Territory not found,Η περιοχή δεν βρέθηκε
The amount paid is not complete,Το ποσό που καταβλήθηκε δεν είναι πλήρες
The app stores data locally for offline use. This is called cache.,Η εφαρμογή αποθηκεύει δεδομένα τοπικά για χρήση εκτός σύνδεσης. Αυτό ονομάζεται προσωρινή μνήμη.
The invoice stayed in draft. Please review and submit it manually.,Το τιμολόγιο παρέμεινε προσχέδιο. Ελέγξτε και υποβάλετέ το με μη αυτόματο τρόπο.
The maximum discount allowed is,Η μέγιστη επιτρεπόμενη έκπτωση είναι
The quantity for {0} has been adjusted to the maximum available stock.,Η ποσότητα για το {0} έχει προσαρμοστεί στο μέγιστο διαθέσιμο απόθεμα.
The system could not retrieve the item details. Please try again.,Το σύστημα δεν μπόρεσε να ανακτήσει τις λεπτομέρειες του στοιχείου. Δοκιμάστε ξανά.
These invoices will be synced when connection is restored,Αυτά τα τιμολόγια θα συγχρονιστούν όταν αποκατασταθεί η σύνδεση
This action now opens inside the settings workspace.,Αυτή η ενέργεια ανοίγει τώρα μέσα στο χώρο εργασίας των ρυθμίσεων.
This coupon already used !,Αυτό το κουπόνι έχει ήδη χρησιμοποιηθεί!
This invoice does not need change-allocation repair,Αυτό το τιμολόγιο δεν χρειάζεται επισκευή αλλαγής-κατανομής
This invoice is already repaired,Αυτό το τιμολόγιο έχει ήδη επισκευαστεί
This is an item template. Please choose a variant.,Αυτό είναι ένα πρότυπο στοιχείου. Επιλέξτε μια παραλλαγή.
this item,αυτό το στοιχείο
This POS page could not be opened offline because its code was not cached on this terminal yet.,Αυτή η σελίδα POS δεν ήταν δυνατό να ανοίξει εκτός σύνδεσης επειδή ο κώδικάς της δεν είχε αποθηκευτεί ακόμα προσωρινά σε αυτό το τερματικό.
This Serial Number {0} has already been added!,Αυτός ο σειριακός αριθμός {0} έχει ήδη προστεθεί!
Threshold,Κατώφλι
Time,Χρόνος
Tip: Clear cache regularly to free up space and keep the app fast.,Συμβουλή: Εκκαθαρίστε τακτικά την προσωρινή μνήμη για να ελευθερώσετε χώρο και να διατηρήσετε την εφαρμογή γρήγορη.
Tip: Close unused tabs or apps to reduce lag.,Συμβουλή: Κλείστε τις αχρησιμοποίητες καρτέλες ή εφαρμογές για να μειώσετε την καθυστέρηση.
Tip: Monitor slow queries and table size for optimal performance.,Συμβουλή: Παρακολουθήστε αργά ερωτήματα και μέγεθος πίνακα για βέλτιστη απόδοση.
To Be Paid,Να Πληρωθεί
To Date,Μέχρι σήμερα
Today,Σήμερα
Today Profit,Κέρδος σήμερα
Today Sales,Πωλήσεις σήμερα
Toggle navigation drawer,Εναλλαγή συρταριού πλοήγησης
Toggle Theme,Εναλλαγή θέματος
Tools,Εργαλεία
Tools for customer-facing screens and terminal-specific actions.,Εργαλεία για οθόνες που απευθύνονται σε πελάτες και ενέργειες για συγκεκριμένα τερματικά.
Top Brand,Κορυφαία μάρκα
Top Category,Κορυφαία Κατηγορία
Top Charge Head,Κορυφαία κεφαλή φόρτισης
Top Customers,Κορυφαίοι πελάτες
Top Discount,Κορυφαία Έκπτωση
Top Items by Location,Κορυφαία είδη ανά τοποθεσία
Top Margin,Κορυφαίο Περιθώριο
Top Pending,Κορυφή σε εκκρεμότητα
Top Profit Item,Κορυφαίο Στοιχείο Κέρδους
Top Return Items,Κορυφαία είδη επιστροφής
Top Sales by Cashier,Κορυφαίες πωλήσεις από ταμείο
Top Supplier,Κορυφαίος προμηθευτής
Top Suppliers by Spend,Κορυφαίοι προμηθευτές ανά δαπάνη
Top Tables,Κορυφαίοι πίνακες
Top Tax Head,Αρχηγός Φορολογίας
Top Up Amount,Ποσό Συμπλήρωσης
Top Up Card,Κάρτα ανανέωσης
Top Up Mode,Λειτουργία συμπλήρωσης
Top Variant,Κορυφαία παραλλαγή
Total,Σύνολο
Total Amount,Συνολικό Ποσό
Total Change,Συνολική Αλλαγή
Total Charges,Συνολικές Χρεώσεις
Total In,Σύνολο εισόδου
Total Invoices,Σύνολο τιμολογίων
Total Items,Σύνολο αντικειμένων
Total Mpesa,Σύνολο Mpesa
Total Out,Σύνολο Έξω
Total Payments,Σύνολο πληρωμών
Total Purchase,Συνολική Αγορά
Total Selected :,Σύνολο επιλεγμένων :
Total Size,Συνολικό μέγεθος
Total Stock Qty,Συνολικός αριθμός αποθεμάτων
Total:,Σύνολο:
Totals by Invoice Currency,Σύνολα ανά νόμισμα τιμολογίου
Track how much cash was handed back to customers,Παρακολουθήστε πόσα μετρητά επιστράφηκαν στους πελάτες
"Track recent sales, collect unpaid balances, and reopen saved work","Παρακολουθήστε πρόσφατες πωλήσεις, συλλέξτε απλήρωτα υπόλοιπα και ανοίξτε ξανά την αποθηκευμένη εργασία"
Transaction ID,Αναγνωριστικό συναλλαγής
Transfer,Μεταφορά
Try a different search term or clear the cart search.,Δοκιμάστε έναν διαφορετικό όρο αναζήτησης ή διαγράψτε την αναζήτηση στο καλάθι.
Try adjusting your search or filters,Δοκιμάστε να προσαρμόσετε την αναζήτηση ή τα φίλτρα σας
Try another source or refresh the list.,Δοκιμάστε άλλη πηγή ή ανανεώστε τη λίστα.
Try changing the date range or status filter.,Δοκιμάστε να αλλάξετε το εύρος ημερομηνιών ή το φίλτρο κατάστασης.
Type,Τύπος
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,Δεν είναι δυνατή η πρόσβαση στην κάμερα ακόμη και με βασικές ρυθμίσεις. Ελέγξτε τα δικαιώματα της κάμερας και τη συμβατότητα της συσκευής σας.
Unable to add offer item {0}. Please refresh and try again.,Δεν είναι δυνατή η προσθήκη του στοιχείου προσφοράς {0}. Κάντε ανανέωση και δοκιμάστε ξανά.
Unable to add offer item. Please refresh and try again.,Δεν είναι δυνατή η προσθήκη του στοιχείου προσφοράς. Κάντε ανανέωση και δοκιμάστε ξανά.
Unable to add scanned item.,Δεν είναι δυνατή η προσθήκη σαρωμένου στοιχείου.
Unable to create purchase order,Δεν είναι δυνατή η δημιουργία παραγγελίας
