POS Awesome,POS ಅದ್ಭುತವಾಗಿದೆ
Fixing payment amounts for return invoice...,ರಿಟರ್ನ್ ಇನ್‌ವಾಯ್ಸ್‌ಗಾಗಿ ಪಾವತಿ ಮೊತ್ತವನ್ನು ನಿಗದಿಪಡಿಸಲಾಗುತ್ತಿದೆ...
Flash Off,ಫ್ಲ್ಯಾಶ್ ಆಫ್
Flash On,ಫ್ಲ್ಯಾಶ್ ಆನ್
"For 'Product Bundle' items, Warehouse, Serial No and Batch No will be considered from the 'Packing List' table. If Warehouse and Batch No are same for all packing items for any 'Product Bundle' item, those values can be entered in the main Item table; values will be copied to 'Packing List' table.","'ಉತ್ಪನ್ನ ಬಂಡಲ್' ಐಟಂಗಳಿಗಾಗಿ, ಗೋದಾಮು, ಸರಣಿ ಸಂಖ್ಯೆ ಮತ್ತು ಬ್ಯಾಚ್ ಸಂಖ್ಯೆಯನ್ನು 'ಪ್ಯಾಕಿಂಗ್ ಪಟ್ಟಿ' ಕೋಷ್ಟಕದಿಂದ ಪರಿಗಣಿಸಲಾಗುತ್ತದೆ. ಯಾವುದೇ 'ಉತ್ಪನ್ನ ಬಂಡಲ್' ಐಟಂಗೆ ಎಲ್ಲಾ ಪ್ಯಾಕಿಂಗ್ ಐಟಂಗಳಿಗೆ ವೇರ್ಹೌಸ್ ಮತ್ತು ಬ್ಯಾಚ್ ಸಂಖ್ಯೆ ಒಂದೇ ಆಗಿದ್ದರೆ, ಆ ಮೌಲ್ಯಗಳನ್ನು ಮುಖ್ಯ ಐಟಂ ಕೋಷ್ಟಕದಲ್ಲಿ ನಮೂದಿಸಬಹುದು; ಮೌಲ್ಯಗಳನ್ನು 'ಪ್ಯಾಕಿಂಗ್ ಪಟ್ಟಿ' ಟೇಬಲ್‌ಗೆ ನಕಲಿಸಲಾಗುತ್ತದೆ."
Free,ಉಚಿತ
Free Qty,ಉಚಿತ ಕ್ಯೂಟಿ
Frequency,ಆವರ್ತನ
from,ನಿಂದ
From Date,ದಿನಾಂಕದಿಂದ
Fulfillment Details,ಪೂರೈಸುವಿಕೆಯ ವಿವರಗಳು
Full Name,ಪೂರ್ಣ ಹೆಸರು
Gain,ಲಾಭ
Generate a fresh prepaid card and start it with an opening balance.,ತಾಜಾ ಪ್ರಿಪೇಯ್ಡ್ ಕಾರ್ಡ್ ಅನ್ನು ರಚಿಸಿ ಮತ್ತು ಅದನ್ನು ಆರಂಭಿಕ ಬ್ಯಾಲೆನ್ಸ್‌ನೊಂದಿಗೆ ಪ್ರಾರಂಭಿಸಿ.
Generate and install the certificate to allow fully silent printing without trust prompts.,ವಿಶ್ವಾಸಾರ್ಹ ಪ್ರಾಂಪ್ಟ್‌ಗಳಿಲ್ಲದೆಯೇ ಸಂಪೂರ್ಣ ನಿಶ್ಯಬ್ದ ಮುದ್ರಣವನ್ನು ಅನುಮತಿಸಲು ಪ್ರಮಾಣಪತ್ರವನ್ನು ರಚಿಸಿ ಮತ್ತು ಸ್ಥಾಪಿಸಿ.
Generate Certificate,ಪ್ರಮಾಣಪತ್ರವನ್ನು ರಚಿಸಿ
Generated scale barcode: {0},ರಚಿಸಲಾದ ಪ್ರಮಾಣದ ಬಾರ್‌ಕೋಡ್: {0}
Get Payments,ಪಾವತಿಗಳನ್ನು ಪಡೆಯಿರಿ
Gift Card,ಉಡುಗೊರೆ ಕಾರ್ಡ್
Gift card amount must be greater than zero.,ಉಡುಗೊರೆ ಕಾರ್ಡ್ ಮೊತ್ತವು ಶೂನ್ಯಕ್ಕಿಂತ ಹೆಚ್ಚಾಗಿರಬೇಕು.
Gift Card Code,ಉಡುಗೊರೆ ಕಾರ್ಡ್ ಕೋಡ್
Gift card code is required for redemption,ರಿಡೆಂಪ್ಶನ್‌ಗಾಗಿ ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ಕೋಡ್ ಅಗತ್ಯವಿದೆ
Gift card code is required.,ಉಡುಗೊರೆ ಕಾರ್ಡ್ ಕೋಡ್ ಅಗತ್ಯವಿದೆ.
Gift card issued successfully.,ಉಡುಗೊರೆ ಕಾರ್ಡ್ ಅನ್ನು ಯಶಸ್ವಿಯಾಗಿ ನೀಡಲಾಗಿದೆ.
Gift card loaded successfully.,ಉಡುಗೊರೆ ಕಾರ್ಡ್ ಯಶಸ್ವಿಯಾಗಿ ಲೋಡ್ ಆಗಿದೆ.
Gift Card Management,ಉಡುಗೊರೆ ಕಾರ್ಡ್ ನಿರ್ವಹಣೆ
Gift card payment,ಉಡುಗೊರೆ ಕಾರ್ಡ್ ಪಾವತಿ
Gift card redemption requires an online connection,ಗಿಫ್ಟ್ ಕಾರ್ಡ್ ರಿಡೆಂಪ್ಶನ್‌ಗೆ ಆನ್‌ಲೈನ್ ಸಂಪರ್ಕದ ಅಗತ್ಯವಿದೆ
Gift card topped up successfully.,ಉಡುಗೊರೆ ಕಾರ್ಡ್ ಅನ್ನು ಯಶಸ್ವಿಯಾಗಿ ಟಾಪ್ ಅಪ್ ಮಾಡಲಾಗಿದೆ.
Gift Cards,ಉಡುಗೊರೆ ಕಾರ್ಡ್‌ಗಳು
Go to Frappe Desk,ಫ್ರಾಪ್ಪೆ ಡೆಸ್ಕ್‌ಗೆ ಹೋಗಿ
Grand Total,ಗ್ರ್ಯಾಂಡ್ ಟೋಟಲ್
Gross Margin,ಒಟ್ಟು ಅಂಚು
Gross Profit,ಒಟ್ಟು ಲಾಭ
Gross Sales,ಒಟ್ಟು ಮಾರಾಟ
Group not found,ಗುಂಪು ಕಂಡುಬಂದಿಲ್ಲ
"Grouped controls for terminal, UI, and session settings.","ಟರ್ಮಿನಲ್, UI ಮತ್ತು ಸೆಷನ್ ಸೆಟ್ಟಿಂಗ್‌ಗಳಿಗಾಗಿ ಗುಂಪು ನಿಯಂತ್ರಣಗಳು."
Grouped totals for each payment method and currency,ಪ್ರತಿ ಪಾವತಿ ವಿಧಾನ ಮತ್ತು ಕರೆನ್ಸಿಗೆ ಒಟ್ಟು ಮೊತ್ತವನ್ನು ಗುಂಪು ಮಾಡಲಾಗಿದೆ
Hide,ಮರೆಮಾಡಿ
Hide Gift Card,ಉಡುಗೊರೆ ಕಾರ್ಡ್ ಮರೆಮಾಡಿ
Hide Non Essential Fields,ಅಗತ್ಯವಲ್ಲದ ಕ್ಷೇತ್ರಗಳನ್ನು ಮರೆಮಾಡಿ
Hide quantity decimals,ಪ್ರಮಾಣ ದಶಮಾಂಶಗಳನ್ನು ಮರೆಮಾಡಿ
Hide search tools,ಹುಡುಕಾಟ ಪರಿಕರಗಳನ್ನು ಮರೆಮಾಡಿ
Hide zero rated items,ಶೂನ್ಯ ದರದ ಐಟಂಗಳನ್ನು ಮರೆಮಾಡಿ
High,ಹೆಚ್ಚು
History,ಇತಿಹಾಸ
Hourly (Today),ಗಂಟೆಗೆ (ಇಂದು)
How this section works,ಈ ವಿಭಾಗವು ಹೇಗೆ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತದೆ
"If stale data remains, open Settings > Offline & Sync and run Rebuild Offline Data again while online.","ಹಳೆಯ ಡೇಟಾ ಉಳಿದಿದ್ದರೆ, ಸೆಟ್ಟಿಂಗ್‌ಗಳು > ಆಫ್‌ಲೈನ್ ಮತ್ತು ಸಿಂಕ್ ಅನ್ನು ತೆರೆಯಿರಿ ಮತ್ತು ಆನ್‌ಲೈನ್‌ನಲ್ಲಿರುವಾಗ ಮರುನಿರ್ಮಾಣ ಆಫ್‌ಲೈನ್ ಡೇಟಾವನ್ನು ರನ್ ಮಾಡಿ."
"If the warning persists, open Settings > Offline & Sync, then run Refresh Offline Data or Rebuild Offline Data.","ಎಚ್ಚರಿಕೆಯು ಮುಂದುವರಿದರೆ, ಸೆಟ್ಟಿಂಗ್‌ಗಳು > ಆಫ್‌ಲೈನ್ ಮತ್ತು ಸಿಂಕ್ ತೆರೆಯಿರಿ, ನಂತರ ಆಫ್‌ಲೈನ್ ಡೇಟಾವನ್ನು ರಿಫ್ರೆಶ್ ಮಾಡಿ ಅಥವಾ ಆಫ್‌ಲೈನ್ ಡೇಟಾವನ್ನು ಮರುನಿರ್ಮಾಣ ಮಾಡಿ."
Import the certificate into QZ Tray and restart QZ Tray on each POS machine.,ಪ್ರಮಾಣಪತ್ರವನ್ನು QZ ಟ್ರೇಗೆ ಆಮದು ಮಾಡಿ ಮತ್ತು ಪ್ರತಿ POS ಯಂತ್ರದಲ್ಲಿ QZ ಟ್ರೇ ಅನ್ನು ಮರುಪ್ರಾರಂಭಿಸಿ.
In,ರಲ್ಲಿ
In stock: {0},ಸ್ಟಾಕ್‌ನಲ್ಲಿದೆ: {0}
Include Batch / Serial,ಬ್ಯಾಚ್ / ಸೀರಿಯಲ್ ಸೇರಿಸಿ
Include Price,ಬೆಲೆಯನ್ನು ಸೇರಿಸಿ
Increase quantity,ಪ್ರಮಾಣವನ್ನು ಹೆಚ್ಚಿಸಿ
IndexedDB,IndexedDB
Initial Amount,ಆರಂಭಿಕ ಮೊತ್ತ
Initialize your shift with opening balances,ಆರಂಭಿಕ ಬ್ಯಾಲೆನ್ಸ್‌ಗಳೊಂದಿಗೆ ನಿಮ್ಮ ಶಿಫ್ಟ್ ಅನ್ನು ಪ್ರಾರಂಭಿಸಿ
Initializing application...,ಅಪ್ಲಿಕೇಶನ್ ಅನ್ನು ಪ್ರಾರಂಭಿಸಲಾಗುತ್ತಿದೆ...
"Inspect cache, sync, and prerequisite status","ಸಂಗ್ರಹ, ಸಿಂಕ್ ಮತ್ತು ಪೂರ್ವಾಪೇಕ್ಷಿತ ಸ್ಥಿತಿಯನ್ನು ಪರೀಕ್ಷಿಸಿ"
Installed Applications,ಸ್ಥಾಪಿಸಲಾದ ಅಪ್ಲಿಕೇಶನ್‌ಗಳು
Insufficient stock:\n{0},ಸಾಕಷ್ಟಿಲ್ಲದ ಸ್ಟಾಕ್:\n{0}
Invalid rate,ಅಮಾನ್ಯ ದರ
Inventory Status Report,ಇನ್ವೆಂಟರಿ ಸ್ಥಿತಿ ವರದಿ
Invoice,ಸರಕುಪಟ್ಟಿ
Invoice {0} is Submitted,ಸರಕುಪಟ್ಟಿ {0} ಸಲ್ಲಿಸಲಾಗಿದೆ
Invoice {0} processed successfully,ಸರಕುಪಟ್ಟಿ {0} ಅನ್ನು ಯಶಸ್ವಿಯಾಗಿ ಪ್ರಕ್ರಿಯೆಗೊಳಿಸಲಾಗಿದೆ
Invoice {0} submission failed,ಸರಕುಪಟ್ಟಿ {0} ಸಲ್ಲಿಕೆ ವಿಫಲವಾಗಿದೆ
Invoice {0} was already submitted,ಸರಕುಪಟ್ಟಿ {0} ಅನ್ನು ಈಗಾಗಲೇ ಸಲ್ಲಿಸಲಾಗಿದೆ
Invoice Adjustments,ಸರಕುಪಟ್ಟಿ ಹೊಂದಾಣಿಕೆಗಳು
Invoice Change,ಸರಕುಪಟ್ಟಿ ಬದಲಾವಣೆ
Invoice Details,ಸರಕುಪಟ್ಟಿ ವಿವರಗಳು
Invoice is still in draft after background submission.,ಹಿನ್ನೆಲೆ ಸಲ್ಲಿಸಿದ ನಂತರ ಸರಕುಪಟ್ಟಿ ಇನ್ನೂ ಡ್ರಾಫ್ಟ್‌ನಲ್ಲಿದೆ.
Invoice Items,ಸರಕುಪಟ್ಟಿ ವಸ್ತುಗಳು
Invoice Management,ಸರಕುಪಟ್ಟಿ ನಿರ್ವಹಣೆ
Invoice Mgmt,ಸರಕುಪಟ್ಟಿ Mgmt
Invoice saved offline,ಇನ್‌ವಾಯ್ಸ್ ಅನ್ನು ಆಫ್‌ಲೈನ್‌ನಲ್ಲಿ ಉಳಿಸಲಾಗಿದೆ
Invoice submission failed,ಸರಕುಪಟ್ಟಿ ಸಲ್ಲಿಕೆ ವಿಫಲವಾಗಿದೆ
Invoice Submitted,ಸರಕುಪಟ್ಟಿ ಸಲ್ಲಿಸಲಾಗಿದೆ
"Invoice value settled by loyalty points, not cash collection","ಸರಕುಪಟ್ಟಿ ಮೌಲ್ಯವನ್ನು ಲಾಯಲ್ಟಿ ಪಾಯಿಂಟ್‌ಗಳಿಂದ ಹೊಂದಿಸಲಾಗಿದೆ, ನಗದು ಸಂಗ್ರಹಣೆಯಲ್ಲ"
Invoices,ಇನ್ವಾಯ್ಸ್ಗಳು
Invoices already past due date,ಇನ್‌ವಾಯ್ಸ್‌ಗಳು ಈಗಾಗಲೇ ನಿಗದಿತ ದಿನಾಂಕವನ್ನು ಮೀರಿವೆ
Invoices saved as POS Invoices,ಇನ್‌ವಾಯ್ಸ್‌ಗಳನ್ನು POS ಇನ್‌ವಾಯ್ಸ್‌ಗಳಾಗಿ ಉಳಿಸಲಾಗಿದೆ
Invoices still carrying balances,ಇನ್‌ವಾಯ್ಸ್‌ಗಳು ಇನ್ನೂ ಬ್ಯಾಲೆನ್ಸ್‌ಗಳನ್ನು ಹೊಂದಿವೆ
Issue Mode,ಸಂಚಿಕೆ ಮೋಡ್
Issue New Card,ಹೊಸ ಕಾರ್ಡ್ ನೀಡಿ
Issue Workflow,ಸಂಚಿಕೆ ಕೆಲಸದ ಹರಿವು
"Issue, top up, and check","ನೀಡಿ, ಟಾಪ್ ಅಪ್ ಮಾಡಿ ಮತ್ತು ಪರಿಶೀಲಿಸಿ"
Item,ಐಟಂ
Item / Product Sales Report,ಐಟಂ / ಉತ್ಪನ್ನ ಮಾರಾಟ ವರದಿ
Item {0} added to invoice,ಐಟಂ {0} ಅನ್ನು ಇನ್‌ವಾಯ್ಸ್‌ಗೆ ಸೇರಿಸಲಾಗಿದೆ
Item '{0}' has no barcode,ಐಟಂ '{0}' ಯಾವುದೇ ಬಾರ್‌ಕೋಡ್ ಹೊಂದಿಲ್ಲ
Item Code,ಐಟಂ ಕೋಡ್
Item created successfully,ಐಟಂ ಅನ್ನು ಯಶಸ್ವಿಯಾಗಿ ರಚಿಸಲಾಗಿದೆ
Item is out of stock,ಐಟಂ ಸ್ಟಾಕ್ ಇಲ್ಲ
Item Name,ಐಟಂ ಹೆಸರು
Item not found,ಐಟಂ ಕಂಡುಬಂದಿಲ್ಲ
Item order updated,ಐಟಂ ಆದೇಶವನ್ನು ನವೀಕರಿಸಲಾಗಿದೆ
Item Selector Settings,ಐಟಂ ಸೆಲೆಕ್ಟರ್ ಸೆಟ್ಟಿಂಗ್‌ಗಳು
Items,ವಸ್ತುಗಳು
Items added in POS will appear here automatically.,POS ನಲ್ಲಿ ಸೇರಿಸಲಾದ ಐಟಂಗಳು ಇಲ್ಲಿ ಸ್ವಯಂಚಾಲಿತವಾಗಿ ಗೋಚರಿಸುತ್ತವೆ.
Items added to invoice,ಸರಕುಪಟ್ಟಿಗೆ ಐಟಂಗಳನ್ನು ಸೇರಿಸಲಾಗಿದೆ
Items per page,ಪ್ರತಿ ಪುಟಕ್ಕೆ ಐಟಂಗಳು
Items Sold,ಮಾರಾಟವಾದ ವಸ್ತುಗಳು
Items/Invoice,ಐಟಂಗಳು/ಇನ್ವಾಯ್ಸ್
Item-wise Profitability,ಐಟಂ-ವಾರು ಲಾಭದಾಯಕತೆ
Journal Entry,ಜರ್ನಲ್ ಪ್ರವೇಶ
json,json
Just now,ಈಗಷ್ಟೇ
Keep offline prerequisites healthy and recover stale data safely.,ಆಫ್‌ಲೈನ್ ಪೂರ್ವಾಪೇಕ್ಷಿತಗಳನ್ನು ಆರೋಗ್ಯಕರವಾಗಿರಿಸಿ ಮತ್ತು ಹಳೆಯ ಡೇಟಾವನ್ನು ಸುರಕ್ಷಿತವಾಗಿ ಮರುಪಡೆಯಿರಿ.
Labels,ಲೇಬಲ್‌ಗಳು
"Language, theme, terminal tools, and session controls.","ಭಾಷೆ, ಥೀಮ್, ಟರ್ಮಿನಲ್ ಪರಿಕರಗಳು ಮತ್ತು ಅಧಿವೇಶನ ನಿಯಂತ್ರಣಗಳು."
Last,ಕೊನೆಯದು
Last 14 Days (Paid vs Pending),ಕಳೆದ 14 ದಿನಗಳು (ಪಾವತಿ ಮತ್ತು ಬಾಕಿ)
Last 14 Days Activity,ಕಳೆದ 14 ದಿನಗಳ ಚಟುವಟಿಕೆ
Last 14 Days Gross Profit,ಕಳೆದ 14 ದಿನಗಳ ಒಟ್ಟು ಲಾಭ
Last 14 Days Purchases,ಕಳೆದ 14 ದಿನಗಳ ಖರೀದಿಗಳು
Last 14 Days Tax/Charges,ಕಳೆದ 14 ದಿನಗಳ ತೆರಿಗೆ/ಶುಲ್ಕಗಳು
Last sync:,ಕೊನೆಯ ಸಿಂಕ್:
Last sync: {0} | ok: {1} | failed: {2} | skipped: {3},ಕೊನೆಯ ಸಿಂಕ್: {0} | ಸರಿ: {1} | ವಿಫಲವಾಗಿದೆ: {2} | ಸ್ಕಿಪ್ ಮಾಡಲಾಗಿದೆ: {3}
Latest entries for current shift,ಪ್ರಸ್ತುತ ಶಿಫ್ಟ್‌ಗಾಗಿ ಇತ್ತೀಚಿನ ನಮೂದುಗಳು
Lead Time,ಪ್ರಮುಖ ಸಮಯ
Limited,ಸೀಮಿತಗೊಳಿಸಲಾಗಿದೆ
lines,ಸಾಲುಗಳು
List,ಪಟ್ಟಿ
Live Snapshot,ಲೈವ್ ಸ್ನ್ಯಾಪ್‌ಶಾಟ್
Load a POS profile and cashier first.,ಮೊದಲು POS ಪ್ರೊಫೈಲ್ ಮತ್ತು ಕ್ಯಾಷಿಯರ್ ಅನ್ನು ಲೋಡ್ ಮಾಡಿ.
Load More Invoices,ಹೆಚ್ಚಿನ ಇನ್‌ವಾಯ್ಸ್‌ಗಳನ್ನು ಲೋಡ್ ಮಾಡಿ
Load previously saved invoices,ಹಿಂದೆ ಉಳಿಸಿದ ಇನ್‌ವಾಯ್ಸ್‌ಗಳನ್ನು ಲೋಡ್ ಮಾಡಿ
Load Sale,ಲೋಡ್ ಮಾರಾಟ
Load Sales Invoice,ಮಾರಾಟದ ಸರಕುಪಟ್ಟಿ ಲೋಡ್ ಮಾಡಿ
Loading app data...,ಅಪ್ಲಿಕೇಶನ್ ಡೇಟಾವನ್ನು ಲೋಡ್ ಮಾಡಲಾಗುತ್ತಿದೆ...
Loading customer database...,ಗ್ರಾಹಕರ ಡೇಟಾಬೇಸ್ ಅನ್ನು ಲೋಡ್ ಮಾಡಲಾಗುತ್ತಿದೆ...
Loading customers...,ಗ್ರಾಹಕರನ್ನು ಲೋಡ್ ಮಾಡಲಾಗುತ್ತಿದೆ...
Loading database stats...,ಡೇಟಾಬೇಸ್ ಅಂಕಿಅಂಶಗಳನ್ನು ಲೋಡ್ ಮಾಡಲಾಗುತ್ತಿದೆ...
Loading details...,ವಿವರಗಳನ್ನು ಲೋಡ್ ಮಾಡಲಾಗುತ್ತಿದೆ...
Loading invoice history...,ಸರಕುಪಟ್ಟಿ ಇತಿಹಾಸವನ್ನು ಲೋಡ್ ಮಾಡಲಾಗುತ್ತಿದೆ...
Loading items...,ಐಟಂಗಳನ್ನು ಲೋಡ್ ಮಾಡಲಾಗುತ್ತಿದೆ...
Loading product catalog...,ಉತ್ಪನ್ನ ಕ್ಯಾಟಲಾಗ್ ಲೋಡ್ ಆಗುತ್ತಿದೆ...
Loading return invoices...,ರಿಟರ್ನ್ ಇನ್‌ವಾಯ್ಸ್‌ಗಳನ್ನು ಲೋಡ್ ಮಾಡಲಾಗುತ್ತಿದೆ...
Loading server CPU/memory usage...,ಸರ್ವರ್ CPU/ಮೆಮೊರಿ ಬಳಕೆಯನ್ನು ಲೋಡ್ ಮಾಡಲಾಗುತ್ತಿದೆ...
Loading suppliers...,ಪೂರೈಕೆದಾರರನ್ನು ಲೋಡ್ ಮಾಡಲಾಗುತ್ತಿದೆ...
Loading unpaid invoices...,ಪಾವತಿಸದ ಇನ್‌ವಾಯ್ಸ್‌ಗಳನ್ನು ಲೋಡ್ ಮಾಡಲಾಗುತ್ತಿದೆ...
Loading view...,ವೀಕ್ಷಣೆಯನ್ನು ಲೋಡ್ ಮಾಡಲಾಗುತ್ತಿದೆ...
Loading...,ಲೋಡ್ ಆಗುತ್ತಿದೆ...
Local storage is unavailable. Switching to online-only mode.,ಸ್ಥಳೀಯ ಸಂಗ್ರಹಣೆ ಲಭ್ಯವಿಲ್ಲ. ಆನ್‌ಲೈನ್-ಮಾತ್ರ ಮೋಡ್‌ಗೆ ಬದಲಾಯಿಸಲಾಗುತ್ತಿದೆ.
localStorage,ಸ್ಥಳೀಯ ಸಂಗ್ರಹಣೆ
Location Performance,ಸ್ಥಳ ಕಾರ್ಯಕ್ಷಮತೆ
Locations,ಸ್ಥಳಗಳು
Lock Screen,ಲಾಕ್ ಸ್ಕ್ರೀನ್
Lookup Workflow,ಲುಕಪ್ ವರ್ಕ್‌ಫ್ಲೋ
Loss,ನಷ್ಟ
Low,ಕಡಿಮೆ
Low Stock,ಕಡಿಮೆ ಸ್ಟಾಕ್
Low Stock Alerts,ಕಡಿಮೆ ಸ್ಟಾಕ್ ಎಚ್ಚರಿಕೆಗಳು
Low Stock Items,ಕಡಿಮೆ ಸ್ಟಾಕ್ ವಸ್ತುಗಳು
Low Stock Threshold,ಕಡಿಮೆ ಸ್ಟಾಕ್ ಥ್ರೆಶೋಲ್ಡ್
Low Stock Total,ಕಡಿಮೆ ಸ್ಟಾಕ್ ಒಟ್ಟು
Lowest Margin,ಕಡಿಮೆ ಅಂಚು
Low-frequency maintenance and system details.,ಕಡಿಮೆ ಆವರ್ತನ ನಿರ್ವಹಣೆ ಮತ್ತು ಸಿಸ್ಟಮ್ ವಿವರಗಳು.
Loyalty Redeemed,ಲಾಯಲ್ಟಿ ರಿಡೀಮ್ ಮಾಡಲಾಗಿದೆ
Loyalty Redemption,ಲಾಯಲ್ಟಿ ರಿಡೆಂಪ್ಶನ್
Make New Payment,ಹೊಸ ಪಾವತಿ ಮಾಡಿ
Manage all,ಎಲ್ಲವನ್ನೂ ನಿರ್ವಹಿಸಿ
Manage and synchronize your offline transactions,ನಿಮ್ಮ ಆಫ್‌ಲೈನ್ ವಹಿವಾಟುಗಳನ್ನು ನಿರ್ವಹಿಸಿ ಮತ್ತು ಸಿಂಕ್ರೊನೈಸ್ ಮಾಡಿ
Manage Cashier PIN,ಕ್ಯಾಷಿಯರ್ ಪಿನ್ ನಿರ್ವಹಿಸಿ
"Manage offline tools, terminal controls, and maintenance from one workspace.","ಒಂದು ಕಾರ್ಯಸ್ಥಳದಿಂದ ಆಫ್‌ಲೈನ್ ಪರಿಕರಗಳು, ಟರ್ಮಿನಲ್ ನಿಯಂತ್ರಣಗಳು ಮತ್ತು ನಿರ್ವಹಣೆಯನ್ನು ನಿರ್ವಹಿಸಿ."
manual,ಕೈಪಿಡಿ
"Manual codes, barcode scans, and QR scans work in the same field","ಹಸ್ತಚಾಲಿತ ಕೋಡ್‌ಗಳು, ಬಾರ್‌ಕೋಡ್ ಸ್ಕ್ಯಾನ್‌ಗಳು ಮತ್ತು QR ಸ್ಕ್ಯಾನ್‌ಗಳು ಒಂದೇ ಕ್ಷೇತ್ರದಲ್ಲಿ ಕಾರ್ಯನಿರ್ವಹಿಸುತ್ತವೆ"
Manual offline mode is enabled,ಹಸ್ತಚಾಲಿತ ಆಫ್‌ಲೈನ್ ಮೋಡ್ ಅನ್ನು ಸಕ್ರಿಯಗೊಳಿಸಲಾಗಿದೆ
Margin,ಅಂಚು
Maximum available quantity is {0}. Quantity adjusted to match stock.,ಲಭ್ಯವಿರುವ ಗರಿಷ್ಠ ಪ್ರಮಾಣ {0}. ಹೊಂದಾಣಿಕೆಯ ಸ್ಟಾಕ್‌ಗೆ ಪ್ರಮಾಣವನ್ನು ಸರಿಹೊಂದಿಸಲಾಗಿದೆ.
Maximum discount amount for this offer item is {0}.,ಈ ಆಫರ್ ಐಟಂಗೆ ಗರಿಷ್ಠ ರಿಯಾಯಿತಿ ಮೊತ್ತವು {0} ಆಗಿದೆ.
Maximum discount percentage for this offer item is {0}%.,ಈ ಆಫರ್ ಐಟಂಗೆ ಗರಿಷ್ಠ ರಿಯಾಯಿತಿ ಶೇಕಡಾವಾರು {0}%.
Maximum offer quantity is {0}. Quantity adjusted to allowed limit.,ಆಫರ್‌ನ ಗರಿಷ್ಠ ಪ್ರಮಾಣ {0}. ಅನುಮತಿಸಲಾದ ಮಿತಿಗೆ ಪ್ರಮಾಣವನ್ನು ಸರಿಹೊಂದಿಸಲಾಗಿದೆ.
Medium,ಮಧ್ಯಮ
Method-wise Collections,ವಿಧಾನವಾರು ಸಂಗ್ರಹಣೆಗಳು
Minimum allowed rate for this offer item is {0}.,ಈ ಆಫರ್ ಐಟಂಗೆ ಅನುಮತಿಸಲಾದ ಕನಿಷ್ಠ ದರವು {0} ಆಗಿದೆ.
Minimum Qty,ಕನಿಷ್ಠ ಕ್ಯೂಟಿ
Mobile No,ಮೊಬೈಲ್ ನಂ
Mode,ಮೋಡ್
Mode of Payment,ಪಾವತಿ ವಿಧಾನ
Month,ತಿಂಗಳು
Month ?,ತಿಂಗಳು ?
Monthly Profit,ಮಾಸಿಕ ಲಾಭ
Monthly Sales,ಮಾಸಿಕ ಮಾರಾಟ
Monthly Sales Summary,ಮಾಸಿಕ ಮಾರಾಟದ ಸಾರಾಂಶ
Month-wise,ಮಾಸಿಕವಾಗಿ
Most Active Cashiers,ಅತ್ಯಂತ ಸಕ್ರಿಯ ಕ್ಯಾಷಿಯರ್ಗಳು
Movement Type,ಚಲನೆಯ ಪ್ರಕಾರ
Movements,ಚಳುವಳಿಗಳು
Multi Currency,ಬಹು ಕರೆನ್ಸಿ
N/A,ಎನ್/ಎ
Name,ಹೆಸರು
Negative Stock,ಋಣಾತ್ಮಕ ಸ್ಟಾಕ್
Negative Stock Items,ನಕಾರಾತ್ಮಕ ಸ್ಟಾಕ್ ವಸ್ತುಗಳು
Negative values not allowed,ನಕಾರಾತ್ಮಕ ಮೌಲ್ಯಗಳನ್ನು ಅನುಮತಿಸಲಾಗುವುದಿಲ್ಲ
Net,ನಿವ್ವಳ
Net Qty,ನೆಟ್ ಕ್ಯೂಟಿ
Net Sales,ನಿವ್ವಳ ಮಾರಾಟ
Net Value,ನಿವ್ವಳ ಮೌಲ್ಯ
Never,ಎಂದಿಗೂ ಇಲ್ಲ
New changes are ready to load,ಹೊಸ ಬದಲಾವಣೆಗಳು ಲೋಡ್ ಆಗಲು ಸಿದ್ಧವಾಗಿವೆ
New Item,ಹೊಸ ಐಟಂ
New Offer Available,ಹೊಸ ಕೊಡುಗೆ ಲಭ್ಯವಿದೆ
New PIN,ಹೊಸ ಪಿನ್
New rate,ಹೊಸ ದರ
Next unit of measure,ಅಳತೆಯ ಮುಂದಿನ ಘಟಕ
No attribute data found.,ಯಾವುದೇ ಗುಣಲಕ್ಷಣ ಡೇಟಾ ಕಂಡುಬಂದಿಲ್ಲ.
No Barcode,ಬಾರ್‌ಕೋಡ್ ಇಲ್ಲ
No barcode found for UOM '{0}',UOM '{0}' ಗಾಗಿ ಯಾವುದೇ ಬಾರ್‌ಕೋಡ್ ಕಂಡುಬಂದಿಲ್ಲ
No branch/location data found.,ಯಾವುದೇ ಶಾಖೆ/ಸ್ಥಳ ಡೇಟಾ ಕಂಡುಬಂದಿಲ್ಲ.
No brand data found.,ಯಾವುದೇ ಬ್ರ್ಯಾಂಡ್ ಡೇಟಾ ಕಂಡುಬಂದಿಲ್ಲ.
No cached gift card balance is available offline.,ಯಾವುದೇ ಕ್ಯಾಶ್ ಮಾಡಿದ ಉಡುಗೊರೆ ಕಾರ್ಡ್ ಬ್ಯಾಲೆನ್ಸ್ ಆಫ್‌ಲೈನ್‌ನಲ್ಲಿ ಲಭ್ಯವಿಲ್ಲ.
