POS Awesome,POS Fantastisk
Tip: Close unused tabs or apps to reduce lag.,Tips: Lukk ubrukte faner eller apper for å redusere etterslep.
Tip: Monitor slow queries and table size for optimal performance.,Tips: Overvåk trege spørringer og tabellstørrelse for optimal ytelse.
To Be Paid,Å bli betalt
To Date,Til dags dato
Today,I dag
Today Profit,Dagens overskudd
Today Sales,Salg i dag
Toggle navigation drawer,Veksle på navigasjonsskuffen
Toggle Theme,Bytt tema
Tools,Verktøy
Tools for customer-facing screens and terminal-specific actions.,Verktøy for kundevendte skjermer og terminalspesifikke handlinger.
Top Brand,Topp merke
Top Category,Toppkategori
Top Charge Head,Topp ladehode
Top Customers,Toppkunder
Top Discount,Topp rabatt
Top Items by Location,Toppartikler etter plassering
Top Margin,Toppmargin
Top Pending,Topp Venter
Top Profit Item,Toppfortjenesteelement
Top Return Items,Topp returvarer
Top Sales by Cashier,Toppsalg av kasserer
Top Supplier,Topp leverandør
Top Suppliers by Spend,Toppleverandører etter Spend
Top Tables,Topp tabeller
Top Tax Head,Topp skattesjef
Top Up Amount,Påfyllingsbeløp
Top Up Card,Toppkort
Top Up Mode,Påfyllingsmodus
Top Variant,Toppvariant
Total,Totalt
Total Amount,Totalt beløp
Total Change,Total endring
Total Charges,Totale kostnader
Total In,Totalt inn
Total Invoices,Totale fakturaer
Total Items,Totalt antall varer
Total Mpesa,Totalt Mpesa
Total Out,Totalt ut
Total Payments,Totale betalinger
Total Purchase,Totalt kjøp
Total Selected :,Totalt valgt:
Total Size,Total størrelse
Total Stock Qty,Totalt lagerantall
Total:,Totalt:
Totals by Invoice Currency,Totaler etter fakturavaluta
Track how much cash was handed back to customers,Spor hvor mye kontanter som ble levert tilbake til kundene
"Track recent sales, collect unpaid balances, and reopen saved work","Spor nylige salg, samle inn ubetalte saldoer og åpne lagret arbeid på nytt"
Transaction ID,Transaksjons-ID
Transfer,Overføring
Try a different search term or clear the cart search.,Prøv et annet søkeord eller tøm handlekurvsøket.
Try adjusting your search or filters,Prøv å justere søket eller filtrene
Try another source or refresh the list.,Prøv en annen kilde eller oppdater listen.
Try changing the date range or status filter.,Prøv å endre datoperioden eller statusfilteret.
Type,Type
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,Får ikke tilgang til kameraet selv med grunnleggende innstillinger. Vennligst sjekk kameratillatelsene og enhetskompatibiliteten.
Unable to add offer item {0}. Please refresh and try again.,Kan ikke legge til tilbudselementet {0}. Vennligst oppdater og prøv igjen.
Unable to add offer item. Please refresh and try again.,Kan ikke legge til tilbudselement. Vennligst oppdater og prøv igjen.
Unable to add scanned item.,Kan ikke legge til skannet element.
Unable to create purchase order,Kan ikke opprette innkjøpsordre
Unable to delete draft invoice,Kan ikke slette utkast til faktura
Unable to fetch documents,Kan ikke hente dokumenter
Unable to fetch draft orders,Kan ikke hente utkast til bestillinger
Unable to fetch invoice history,Kan ikke hente fakturahistorikk
Unable to fetch M-Pesa payments,Kan ikke hente M-Pesa-betalinger
Unable to fetch sales orders,Kan ikke hente salgsordrer
Unable to fetch unpaid invoices,Kan ikke hente ubetalte fakturaer
Unable to generate scale barcode,Kan ikke generere skaleringsstrekkode
Unable to issue gift card.,Kan ikke utstede gavekort.
Unable to load cashier PIN status.,Kan ikke laste inn kasserers PIN-status.
Unable to load document,Kan ikke laste dokumentet
Unable to load draft invoice,Kan ikke laste utkast til faktura
Unable to load gift card balance.,Kan ikke laste gavekortsaldoen.
Unable to load invoice details,Kan ikke laste inn fakturadetaljer
Unable to load parked order,Kan ikke laste inn parkert ordre
Unable to load the selected sales order,Kan ikke laste den valgte salgsordren
Unable to prepare document,Kan ikke klargjøre dokumentet
Unable to prepare return invoice,Kan ikke utarbeide returfaktura
Unable to print draft invoice,Kan ikke skrive ut fakturautkast
Unable to print submitted invoice,Kan ikke skrive ut innsendt faktura
Unable to process document action,Kan ikke behandle dokumenthandlingen
Unable to repair change allocation,Kan ikke reparere endringstildeling
Unable to save cashier PIN.,Kan ikke lagre PIN-koden til kassereren.
Unable to save the rate to the backend price list,Kan ikke lagre prisen i backend-prislisten
Unable to submit invoice,Kan ikke sende inn faktura
Unable to submit the selected payment,Kan ikke sende inn den valgte betalingen
Unable to top up gift card.,Kan ikke fylle på gavekort.
Unable to verify cashier PIN.,Kan ikke bekrefte PIN-koden til kassereren.
Unallocated,Ikke tildelt
Unallocated:,Ikke tildelt:
Unavailable,Utilgjengelig
Unknown,Ukjent
Unknown Item,Ukjent element
Unknown Warehouse,Ukjent lager
Unlock POS,Lås opp POS
Unpaid,Ubetalt
"Unselected payments stay unallocated first, then auto reconcile after submit.","Ikke-valgte betalinger forblir uallokerte først, og deretter automatisk avstemming etter innsending."
UOM,UOM
UOM not found,UOM ikke funnet
Update available,Oppdatering tilgjengelig
Update Customer,Oppdater kunde
Update PIN,Oppdater PIN-koden
Update Price List Rate,Oppdater prisliste
Updated,Oppdatert
Updates and app info that stay out of the cashier flow.,Oppdateringer og appinformasjon som holder seg utenfor kassestrømmen.
Updates automatically,Oppdaterer automatisk
Usage,Bruk
Usage Stats,Bruksstatistikk
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Bruk en 4- til 8-sifret PIN-kode for å bytte kasse og låse opp terminalen.
Use Cashier,Bruk Cashier
Use date range to search for older invoices,Bruk datoperiode for å søke etter eldre fakturaer
"Use one field for manual code entry, barcode scans, or QR scans.","Bruk ett felt for manuell kodeinntasting, strekkodeskanning eller QR-skanning."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Bruk én arbeidsflyt for saldokontroller, nye utstedelser og påfyll uten å forlate POS."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Bruk denne delen når bufrede forutsetningsdata trenger en oppdatering, ombygging eller diagnostikkgjennomgang."
Use Western numerals,Bruk vestlige tall
Used:,Brukt:
Using basic camera settings due to device limitations,Bruker grunnleggende kamerainnstillinger på grunn av enhetsbegrensninger
Using cached customer balance,Bruker bufret kundesaldo
Valid until,Gyldig til kl
Variance %,varians %
Variants,Varianter
Variant-wise,Variantmessig
Verify closing amounts for each payment method,Bekreft avsluttende beløp for hver betalingsmåte
View all,Se alle
View app information and current build details,Se appinformasjon og gjeldende byggedetaljer
View Data Diagnostics,Se datadiagnostikk
View Details,Se detaljer
View invoice details,Se fakturadetaljer
View notifications,Se varsler
View offline invoices,Se offline-fakturaer
View restricted POS insights,Se begrenset POS-innsikt
Void Amount,Ugyldig beløp
Void Count,Tomtall
Voids,Tomrom
Waiting for cart items,Venter på varer i handlekurven
Waiting for payment...,Venter på betaling...
Walk-in Customer,Inngående kunde
Warehouse,Lager
Warning: High cache usage may affect performance.,Advarsel: Høy hurtigbufferbruk kan påvirke ytelsen.
Warning: High lag may indicate heavy processing or browser slowness.,Advarsel: Høy etterslep kan indikere tung prosessering eller treg nettleser.
Week ?,Uke?
Week-wise,Ukemessig
Weight (g),Vekt (g)
Weight (grams),Vekt (gram)
We'll let you know if an invoice fails to submit,Vi gir deg beskjed hvis en faktura ikke sendes inn
Workflow,Arbeidsflyt
Write off amount cannot exceed the POS profile maximum of {0},Avskrivningsbeløpet kan ikke overstige POS-profilens maksimum på {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,Avskrivningsbeløpet overskrider den tillatte grensen ({0}). Vennligst legg til betaling for det resterende beløpet.
Yes,Ja
"Yes, Cancel sale","Ja, avbryt salg"
"Yes, Close","Ja, Lukk"
You are not allowed to print draft invoices,Du har ikke lov til å skrive ut fakturautkast
You are offline. Add Payment will work again when the connection is restored.,Du er frakoblet. Legg til betaling vil fungere igjen når tilkoblingen er gjenopprettet.
You have no notifications right now,Du har ingen varsler akkurat nå
Your Cart,Din handlekurv
