POS Awesome,POS מדהים
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,עדכון מלאי: ל-{0} יש {1} זמין. הוספת {2} תביא את המניה מתחת לאפס.
Submit,לְהַגִישׁ
Submit & Print,שלח והדפס
Submit Deposit,הגשת הפקדה
Submit Expense,שלח הוצאה
Submitted,הוגש
Submitted Cash Movements,תנועות מזומנים שהוגשו
Submitted entries,ערכים שהוגשו
Successfully scanned:,נסרק בהצלחה:
Suggested,מוצע
Suggested Qty,כמות מוצעת
Supervisor Access,גישת מפקח
Supervisor permissions unlock issuance and reloads,הרשאות מפקח פותחות הנפקה וטעינות מחדש
Supervisor Tools,כלי מפקח
Supplier,ספק
Supplier and dates are required.,ספק ותאריכים נדרשים.
Supplier Invoices,חשבוניות ספקים
Supplier is required.,נדרש ספק.
Supplier name is required,נדרש שם הספק
Supplier Payments,תשלומי ספקים
Supplier Purchase Summary,סיכום רכישת ספקים
Suppliers,ספקים
Suppliers not found,ספקים לא נמצאו
Switch Camera,החלף מצלמה
Switch Cashier,החלף קופאית
Switch the POS appearance theme,החלף את נושא הופעת ה-POS
Switched to:,עבר ל:
Sync All Invoices,סנכרן את כל החשבוניות
Sync Offline Cash Movements ({0}),סנכרן תנועות מזומנים לא מקוונות ({0})
Sync Offline Sales,סנכרון מכירות לא מקוונות
Synced {0} offline cash movement(s).,סונכרן {0} תנועות מזומנים לא מקוונות.
Syncing items in background,מסנכרן פריטים ברקע
System / Diagnostics,מערכת / אבחון
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","פעולות מערכת הן בקרות תחזוקה בתדירות נמוכה כגון מידע על אפליקציה, אבחון תמיכה ובקרות הפעלה."
System Information,מידע מערכת
System Status,מצב מערכת
Tables:,טבלאות:
Tap the button below to redeem a gift card during checkout.,הקש על הלחצן למטה כדי לממש כרטיס מתנה במהלך התשלום.
Target,יעד
Target Ex. Rate:,אקס היעד תעריף:
Target Rate:,שיעור יעד:
Tax,מס
Tax / Charges Report,דוח מסים/היטלים
Tax Heads,ראשי מס
Taxable Amount,סכום חייב במס
Tendered,במכרז
Terminal,טרמינל
Terminal & Devices,מסוף והתקנים
Terminal locked,המסוף נעול
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","כלי מסוף משפיעים על עמדת התשלום הזו, על תצוגות מול לקוחות ובקרות עתידיות של מדפסת/מכשיר."
Territory not found,הטריטוריה לא נמצאה
The amount paid is not complete,הסכום ששולם אינו שלם
The app stores data locally for offline use. This is called cache.,האפליקציה מאחסנת נתונים באופן מקומי לשימוש לא מקוון. זה נקרא מטמון.
The invoice stayed in draft. Please review and submit it manually.,החשבונית נשארה בטיוטה. אנא עיין ושלח אותו באופן ידני.
The maximum discount allowed is,ההנחה המקסימלית המותרת היא
The quantity for {0} has been adjusted to the maximum available stock.,הכמות עבור {0} הותאמה למלאי המרבי הזמין.
The system could not retrieve the item details. Please try again.,המערכת לא הצליחה לאחזר את פרטי הפריט. אנא נסה שוב.
These invoices will be synced when connection is restored,חשבוניות אלו יסונכרנו כאשר החיבור ישוחזר
This action now opens inside the settings workspace.,פעולה זו נפתחת כעת בתוך סביבת העבודה של ההגדרות.
This coupon already used !,קופון זה כבר בשימוש!
This invoice does not need change-allocation repair,חשבונית זו אינה זקוקה לתיקון שינוי-הקצאה
This invoice is already repaired,חשבונית זו כבר תוקנה
This is an item template. Please choose a variant.,זוהי תבנית פריט. אנא בחר גרסה.
this item,פריט זה
This POS page could not be opened offline because its code was not cached on this terminal yet.,לא ניתן היה לפתוח דף קופה זה במצב לא מקוון מכיוון שהקוד שלו עדיין לא נשמר במסוף זה.
This Serial Number {0} has already been added!,המספר הסידורי הזה {0} כבר נוסף!
Threshold,סף
Time,זמן
Tip: Clear cache regularly to free up space and keep the app fast.,טיפ: נקה את המטמון באופן קבוע כדי לפנות מקום ולשמור על האפליקציה מהירה.
Tip: Close unused tabs or apps to reduce lag.,טיפ: סגור כרטיסיות או אפליקציות שאינן בשימוש כדי להפחית את ההשהיה.
Tip: Monitor slow queries and table size for optimal performance.,טיפ: עקוב אחר שאילתות איטיות וגודל טבלה לביצועים מיטביים.
To Be Paid,לקבל תשלום
To Date,עד היום
Today,היום
Today Profit,היום רווח
Today Sales,היום מכירות
Toggle navigation drawer,החלף את מגירת הניווט
Toggle Theme,החלף נושא
Tools,כלים
Tools for customer-facing screens and terminal-specific actions.,כלים למסכים מול לקוחות ולפעולות ספציפיות למסוף.
Top Brand,מותג מוביל
Top Category,קטגוריה עליונה
Top Charge Head,ראש טעינה עליון
Top Customers,לקוחות מובילים
Top Discount,הנחה מובילה
Top Items by Location,פריטים מובילים לפי מיקום
Top Margin,שוליים עליונים
Top Pending,למעלה בהמתנה
Top Profit Item,פריט רווח מוביל
Top Return Items,פריטי החזרה למעלה
Top Sales by Cashier,מכירות מובילות על ידי קופאי
Top Supplier,ספק מוביל
Top Suppliers by Spend,ספקים מובילים לפי Spend
Top Tables,טבלאות למעלה
Top Tax Head,ראש המס העליון
Top Up Amount,כמות הטעינה
Top Up Card,כרטיס טעינה
Top Up Mode,מצב טעינה
Top Variant,גרסה עליונה
Total,סך הכל
Total Amount,סכום כולל
Total Change,שינוי מוחלט
Total Charges,סך חיובים
Total In,סך הכל אין
Total Invoices,סך החשבוניות
Total Items,סך הכל פריטים
Total Mpesa,סך הכל Mpesa
Total Out,Total Out
Total Payments,סך התשלומים
Total Purchase,סך הרכישה
Total Selected :,סך הכל נבחר:
Total Size,גודל כולל
Total Stock Qty,כמות מלאי כוללת
Total:,סך הכל:
Totals by Invoice Currency,סיכומים לפי מטבע החשבונית
Track how much cash was handed back to customers,עקוב אחר כמה כסף מזומן הוחזר ללקוחות
"Track recent sales, collect unpaid balances, and reopen saved work","עקוב אחר מכירות אחרונות, אסוף יתרות שטרם שולמו ופתח מחדש עבודה שנשמרה"
Transaction ID,מזהה עסקה
Transfer,העברה
Try a different search term or clear the cart search.,נסה מונח חיפוש אחר או נקה את החיפוש בעגלה.
Try adjusting your search or filters,נסה להתאים את החיפוש או המסננים שלך
Try another source or refresh the list.,נסה מקור אחר או רענן את הרשימה.
Try changing the date range or status filter.,נסה לשנות את טווח התאריכים או מסנן הסטטוס.
Type,הקלד
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,אין אפשרות לגשת למצלמה אפילו עם הגדרות בסיסיות. אנא בדוק את הרשאות המצלמה שלך ואת תאימות המכשיר.
Unable to add offer item {0}. Please refresh and try again.,לא ניתן להוסיף פריט הצעה {0}. אנא רענן ונסה שוב.
Unable to add offer item. Please refresh and try again.,לא ניתן להוסיף פריט הצעה. אנא רענן ונסה שוב.
Unable to add scanned item.,לא ניתן להוסיף פריט סרוק.
Unable to create purchase order,לא ניתן ליצור הזמנת רכש
Unable to delete draft invoice,לא ניתן למחוק טיוטת חשבונית
Unable to fetch documents,לא ניתן להביא מסמכים
Unable to fetch draft orders,לא ניתן להביא טיוטת הזמנות
Unable to fetch invoice history,לא ניתן להביא היסטוריית חשבוניות
Unable to fetch M-Pesa payments,לא ניתן להביא תשלומי M-Pesa
Unable to fetch sales orders,לא ניתן להביא הזמנות מכירה
Unable to fetch unpaid invoices,לא ניתן להביא חשבוניות שלא שולמו
Unable to generate scale barcode,לא ניתן ליצור ברקוד בקנה מידה
Unable to issue gift card.,לא ניתן להנפיק כרטיס מתנה.
Unable to load cashier PIN status.,לא ניתן לטעון את סטטוס ה-PIN של הקופאי.
Unable to load document,לא ניתן לטעון את המסמך
Unable to load draft invoice,לא ניתן לטעון טיוטת חשבונית
Unable to load gift card balance.,לא ניתן לטעון את יתרת כרטיס המתנה.
Unable to load invoice details,לא ניתן לטעון את פרטי החשבונית
Unable to load parked order,לא ניתן לטעון את ההזמנה החונה
Unable to load the selected sales order,לא ניתן לטעון את הזמנת המכירה שנבחרה
Unable to prepare document,לא ניתן להכין מסמך
Unable to prepare return invoice,לא ניתן להכין חשבונית החזרה
Unable to print draft invoice,לא ניתן להדפיס טיוטת חשבונית
Unable to print submitted invoice,לא ניתן להדפיס חשבונית שנשלחה
Unable to process document action,לא ניתן לעבד את פעולת המסמך
Unable to repair change allocation,לא ניתן לתקן הקצאת שינוי
Unable to save cashier PIN.,לא ניתן לשמור את ה-PIN של הקופאי.
Unable to save the rate to the backend price list,לא ניתן לשמור את התעריף למחירון העורפי
Unable to submit invoice,לא ניתן להגיש חשבונית
Unable to submit the selected payment,לא ניתן להגיש את התשלום שנבחר
Unable to top up gift card.,לא ניתן לטעון כרטיס מתנה.
Unable to verify cashier PIN.,לא ניתן לאמת את ה-PIN של הקופאי.
Unallocated,לא מוקצה
Unallocated:,לא מוקצה:
Unavailable,לא זמין
Unknown,לא ידוע
Unknown Item,פריט לא ידוע
Unknown Warehouse,מחסן לא ידוע
Unlock POS,פתח את הנעילה של POS
Unpaid,ללא תשלום
"Unselected payments stay unallocated first, then auto reconcile after submit.","תשלומים שלא נבחרו יישארו לא מוקצים תחילה, ולאחר מכן מתאימים אוטומטית לאחר השליחה."
UOM,UOM
UOM not found,UOM לא נמצא
Update available,עדכון זמין
Update Customer,עדכן את הלקוח
Update PIN,עדכן את ה-PIN
Update Price List Rate,עדכן את תעריף המחירון
Updated,עודכן
Updates and app info that stay out of the cashier flow.,עדכונים ומידע על אפליקציה שנשארים מחוץ לתזרים הקופאי.
Updates automatically,מתעדכן אוטומטית
Usage,שימוש
Usage Stats,סטטיסטיקות שימוש
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,השתמש ב-PIN בן 4 עד 8 ספרות עבור החלפת קופאים ופתיחת המסוף.
Use Cashier,השתמש בקופאי
Use date range to search for older invoices,השתמש בטווח תאריכים כדי לחפש חשבוניות ישנות יותר
"Use one field for manual code entry, barcode scans, or QR scans.","השתמש בשדה אחד להזנת קוד ידנית, סריקות ברקוד או סריקות QR."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","השתמש בזרימת עבודה אחת לבדיקות יתרה, הנפקה חדשה והעלאות מבלי לעזוב את הקופה."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","השתמש בסעיף זה כשנתונים מוקדמים בקובץ שמור זקוקים לרענון, בנייה מחדש או סקירת אבחון."
Use Western numerals,השתמש בספרות מערביות
Used:,בשימוש:
Using basic camera settings due to device limitations,שימוש בהגדרות מצלמה בסיסיות עקב מגבלות המכשיר
Using cached customer balance,שימוש ביתרת לקוח במטמון
Valid until,תקף עד
Variance %,שונות %
Variants,גרסאות
Variant-wise,מבחינת וריאציות
Verify closing amounts for each payment method,אמת את סכומי הסגירה עבור כל אמצעי תשלום
View all,הצג הכל
View app information and current build details,הצג מידע על האפליקציה ופרטי הבנייה הנוכחיים
View Data Diagnostics,הצג את אבחון הנתונים
View Details,הצג פרטים
View invoice details,צפה בפרטי החשבונית
View notifications,הצג התראות
View offline invoices,הצג חשבוניות לא מקוונות
View restricted POS insights,הצג תובנות POS מוגבלות
Void Amount,סכום בטל
Void Count,ספירת ריק
Voids,חללים
Waiting for cart items,מחכה לפריטי עגלה
Waiting for payment...,מחכה לתשלום...
Walk-in Customer,לקוח נכנס
Warehouse,מחסן
Warning: High cache usage may affect performance.,אזהרה: שימוש גבוה במטמון עלול להשפיע על הביצועים.
Warning: High lag may indicate heavy processing or browser slowness.,אזהרה: פיגור גבוה עשוי להצביע על עיבוד כבד או איטיות בדפדפן.
Week ?,שבוע?
Week-wise,מבחינה שבועית
Weight (g),משקל (ג)
Weight (grams),משקל (גרם)
We'll let you know if an invoice fails to submit,אנו נודיע לך אם חשבונית לא תוגש
Workflow,זרימת עבודה
Write off amount cannot exceed the POS profile maximum of {0},סכום המחיקה לא יכול לחרוג מפרופיל הקופה המקסימלי של {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,סכום המחיקה חורג מהמגבלה המותרת ({0}). נא הוסף תשלום עבור הסכום הנותר.
Yes,כן
"Yes, Cancel sale","כן, בטל מכירה"
"Yes, Close","כן, סגור"
You are not allowed to print draft invoices,אינך רשאי להדפיס טיוטות חשבוניות
You are offline. Add Payment will work again when the connection is restored.,אתה במצב לא מקוון. הוסף תשלום יפעל שוב כאשר החיבור ישוחזר.
You have no notifications right now,אין לך התראות כרגע
Your Cart,העגלה שלך
