POS Awesome,POS عالی
Search unpaid invoices or customers,فاکتورهای پرداخت نشده یا مشتریان را جستجو کنید
Secure context (HTTPS or localhost) is required for camera access.,زمینه ایمن (HTTPS یا میزبان محلی) برای دسترسی به دوربین مورد نیاز است.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,زمینه امن (HTTPS) برای دسترسی به دوربین مورد نیاز است. لطفاً برای دسترسی به دوربین از HTTPS استفاده کنید.
Select,انتخاب کنید
Select a cashier first.,ابتدا یک صندوقدار انتخاب کنید.
Select a customer,یک مشتری انتخاب کنید
Select a customer to use coupon,مشتری را برای استفاده از کوپن انتخاب کنید
Select a printer to use QZ silent printing.,چاپگری را برای استفاده از چاپ بی صدا QZ انتخاب کنید.
Select Batch,دسته را انتخاب کنید
Select Columns to Display,ستون ها را برای نمایش انتخاب کنید
Select items to sell,مواردی را برای فروش انتخاب کنید
Select Payment,پرداخت را انتخاب کنید
Select Payment Account,حساب پرداخت را انتخاب کنید
Select printer,چاپگر را انتخاب کنید
Select Return Invoice,بازگشت فاکتور را انتخاب کنید
Select S.O,S.O را انتخاب کنید
Select Sales Orders,سفارشات فروش را انتخاب کنید
Select the cashier who is taking over this terminal.,صندوقدار را انتخاب کنید که این ترمینال را تحویل می گیرد.
Selected,انتخاب شده است
Selected movement type is not allowed by POS Profile.,نوع حرکت انتخابی توسط نمایه POS مجاز نیست.
Selected Payments,پرداخت های انتخاب شده
Sensitive actions kept away from quick taps.,اقدامات حساس به دور از ضربه سریع.
Serial,سریال
Serial Numbers,شماره های سریال
Server CPU Usage:,استفاده از CPU سرور:
Server Health,سلامت سرور
Server Memory Usage:,میزان استفاده از حافظه سرور:
Server Metrics,معیارهای سرور
Server Uptime:,Uptime سرور:
Service Charges,هزینه های خدمات
Session,جلسه
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,هر پین صندوقدار را در فرم کاربر تنظیم کنید و اعضای ترمینال را در پروفایل کاربری POS اختصاص دهید.
Settings,تنظیمات
Settings in this section update the POS workspace without changing the current route.,تنظیمات این بخش فضای کاری POS را بدون تغییر مسیر فعلی به روز می کند.
Setup complete!,راه اندازی کامل شد!
Share,به اشتراک بگذارید
Shared terminal,ترمینال مشترک
Shift Closed Snapshot,Shift Closed Snapshot
Shift Overview,Shift Overview
Show,نمایش دهید
Show cart on customer-facing screen,نمایش سبد خرید روی صفحه نمایش مشتری
Show last invoice rate,نمایش آخرین نرخ فاکتور
Show rate info,نمایش اطلاعات نرخ
Show Repair Candidates,نمایش نامزدهای تعمیر
Show search tools,نمایش ابزارهای جستجو
Show the active cart on a customer-facing screen,سبد خرید فعال را در یک صفحه رو به مشتری نشان دهید
Showing {0}-{1} of {2},نمایش {0}-{1} از {2}
Showing 0 of 0,نمایش 0 از 0
Shows the distribution of invoices per currency,توزیع فاکتورها را در هر ارز نشان می دهد
Sign out of the current POS session,از جلسه فعلی POS خارج شوید
Size:,اندازه:
Skipped Payments,پرداخت های رد شده
Skipping items without barcodes,رد شدن از اقلام بدون بارکد
Slow Moving,حرکت آهسته
Slow Moving Items,اقلام با حرکت آهسته
Slow Queries:,پرسش های آهسته:
Sold,فروخته شد
Source,منبع
Source Cash Account (Optional Override),منبع حساب نقدی (نسخ اختیاری)
Source Ex. Rate:,منبع سابق امتیاز:
Source Rate:,نرخ منبع:
Specific Profile,نمایه خاص
Split Invoices,تقسیم فاکتورها
Staff / Cashier Performance Report,گزارش عملکرد کارکنان / صندوقدار
Status,وضعیت
Stock,سهام
Stock Information,اطلاعات سهام
Stock is lower than requested,موجودی کمتر از حد درخواستی است
Stock is lower than requested:\n{0},سهام کمتر از درخواستی است:\n{0}
Stock Movement Report,گزارش حرکت سهام
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,به‌روزرسانی سهام: {0} {1} را در دسترس دارد. با افزودن {2} سهام به زیر صفر می رسد.
Submit,ارسال کنید
Submit & Print,ارسال و چاپ
Submit Deposit,ارسال سپرده
Submit Expense,ارسال هزینه
Submitted,ارسال شد
Submitted Cash Movements,تحرکات نقدی ارسال شده
Submitted entries,ورودی های ارسال شده
Successfully scanned:,با موفقیت اسکن شد:
Suggested,پیشنهاد شده است
Suggested Qty,تعداد پیشنهادی
Supervisor Access,دسترسی ناظر
Supervisor permissions unlock issuance and reloads,مجوزهای ناظر قفل صدور و بارگیری مجدد را باز می کند
Supervisor Tools,ابزارهای ناظر
Supplier,تامین کننده
Supplier and dates are required.,تامین کننده و تاریخ مورد نیاز است.
Supplier Invoices,فاکتورهای تامین کننده
Supplier is required.,تامین کننده مورد نیاز است.
Supplier name is required,نام تامین کننده الزامی است
Supplier Payments,پرداخت های تامین کننده
Supplier Purchase Summary,خلاصه خرید تامین کننده
Suppliers,تامین کنندگان
Suppliers not found,تامین کنندگان پیدا نشد
Switch Camera,دوربین را تغییر دهید
Switch Cashier,تعویض صندوقدار
Switch the POS appearance theme,تم ظاهر POS را تغییر دهید
Switched to:,تغییر به:
Sync All Invoices,همگام سازی همه فاکتورها
Sync Offline Cash Movements ({0}),همگام سازی حرکت های نقدی آفلاین ({0})
Sync Offline Sales,همگام سازی فروش آفلاین
Synced {0} offline cash movement(s).,{0} حرکت پول نقد آفلاین همگام‌سازی شد.
Syncing items in background,همگام سازی موارد در پس زمینه
System / Diagnostics,سیستم / تشخیص
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.",کنش‌های سیستم کنترل‌های نگهداری با فرکانس پایین مانند اطلاعات برنامه، تشخیص پشتیبانی و کنترل‌های جلسه هستند.
System Information,اطلاعات سیستم
System Status,وضعیت سیستم
Tables:,جداول:
Tap the button below to redeem a gift card during checkout.,برای بازخرید کارت هدیه در حین تسویه حساب، روی دکمه زیر ضربه بزنید.
Target,هدف
Target Ex. Rate:,هدف قبلی امتیاز:
Target Rate:,نرخ هدف:
Tax,مالیات
Tax / Charges Report,گزارش مالیات / هزینه ها
Tax Heads,رؤسای مالیاتی
Taxable Amount,مبلغ مشمول مالیات
Tendered,مناقصه شد
Terminal,ترمینال
Terminal & Devices,ترمینال و دستگاه ها
Terminal locked,ترمینال قفل شده
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.",ابزارهای پایانه روی ایستگاه پرداخت، نمایشگرهای رو به مشتری و کنترل‌های چاپگر/دستگاه آینده تأثیر می‌گذارند.
Territory not found,قلمرو پیدا نشد
The amount paid is not complete,مبلغ پرداختی کامل نیست
The app stores data locally for offline use. This is called cache.,این برنامه داده ها را به صورت محلی برای استفاده آفلاین ذخیره می کند. این کش نامیده می شود.
The invoice stayed in draft. Please review and submit it manually.,فاکتور در پیش نویس باقی ماند. لطفا بررسی کنید و به صورت دستی ارسال کنید.
The maximum discount allowed is,حداکثر تخفیف مجاز است
The quantity for {0} has been adjusted to the maximum available stock.,مقدار برای {0} با حداکثر موجودی موجود تنظیم شده است.
The system could not retrieve the item details. Please try again.,سیستم نمی تواند جزئیات مورد را بازیابی کند. لطفا دوباره امتحان کنید.
These invoices will be synced when connection is restored,این فاکتورها با بازیابی اتصال همگام‌سازی می‌شوند
This action now opens inside the settings workspace.,این عمل اکنون در فضای کاری تنظیمات باز می شود.
This coupon already used !,این کوپن قبلاً استفاده شده است!
This invoice does not need change-allocation repair,این فاکتور نیازی به تعمیر تخصیص تغییر ندارد
This invoice is already repaired,این فاکتور قبلا تعمیر شده است
This is an item template. Please choose a variant.,این یک الگوی آیتم است. لطفا یک نوع را انتخاب کنید.
this item,این مورد
This POS page could not be opened offline because its code was not cached on this terminal yet.,این صفحه POS را نمی توان به صورت آفلاین باز کرد زیرا کد آن هنوز در این پایانه ذخیره نشده است.
This Serial Number {0} has already been added!,این شماره سریال {0} قبلاً اضافه شده است!
Threshold,آستانه
Time,زمان
Tip: Clear cache regularly to free up space and keep the app fast.,نکته: حافظه پنهان را مرتباً پاک کنید تا فضا آزاد شود و برنامه سریع بماند.
Tip: Close unused tabs or apps to reduce lag.,نکته: برای کاهش تاخیر، برگه‌ها یا برنامه‌های استفاده نشده را ببندید.
Tip: Monitor slow queries and table size for optimal performance.,نکته: برای عملکرد بهینه، پرس و جوهای کند و اندازه جدول را بررسی کنید.
To Be Paid,پرداخت شود
To Date,به تاریخ
Today,امروز
Today Profit,سود امروز
Today Sales,فروش امروز
Toggle navigation drawer,کشوی پیمایش را تغییر دهید
Toggle Theme,تغییر موضوع
Tools,ابزار
Tools for customer-facing screens and terminal-specific actions.,ابزارهایی برای نمایشگرهای رو به مشتری و اقدامات خاص ترمینال.
Top Brand,برند برتر
Top Category,دسته برتر
Top Charge Head,سر شارژ بالا
Top Customers,مشتریان برتر
Top Discount,تخفیف برتر
Top Items by Location,موارد برتر بر اساس مکان
Top Margin,حاشیه بالا
Top Pending,بالا در انتظار
Top Profit Item,مورد سود برتر
Top Return Items,اقلام بازگشتی برتر
Top Sales by Cashier,فروش برتر توسط صندوقدار
Top Supplier,تامین کننده برتر
Top Suppliers by Spend,تامین کنندگان برتر توسط اسپند
Top Tables,جداول بالا
Top Tax Head,رئیس مالیات
Top Up Amount,مبلغ بالا
Top Up Card,کارت شارژ
Top Up Mode,حالت بالا
Top Variant,نوع برتر
Total,مجموع
Total Amount,مقدار کل
Total Change,کل تغییر
Total Charges,مجموع هزینه ها
Total In,مجموع در
Total Invoices,مجموع فاکتورها
Total Items,مجموع اقلام
Total Mpesa,مجموع Mpesa
Total Out,کل خارج شد
Total Payments,کل پرداخت ها
Total Purchase,کل خرید
Total Selected :,مجموع انتخاب شده:
Total Size,اندازه کل
Total Stock Qty,تعداد کل سهام
Total:,مجموع:
Totals by Invoice Currency,مجموع بر اساس ارز فاکتور
Track how much cash was handed back to customers,پیگیری کنید که چقدر پول نقد به مشتریان بازگردانده شده است
"Track recent sales, collect unpaid balances, and reopen saved work",فروش های اخیر را ردیابی کنید، مانده های پرداخت نشده را جمع آوری کنید و کار ذخیره شده را دوباره باز کنید
Transaction ID,شناسه تراکنش
Transfer,انتقال
Try a different search term or clear the cart search.,عبارت جستجوی دیگری را امتحان کنید یا جستجوی سبد خرید را پاک کنید.
Try adjusting your search or filters,جستجو یا فیلترهای خود را تنظیم کنید
Try another source or refresh the list.,منبع دیگری را امتحان کنید یا لیست را بازخوانی کنید.
Try changing the date range or status filter.,محدوده تاریخ یا فیلتر وضعیت را تغییر دهید.
Type,تایپ کنید
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,دسترسی به دوربین حتی با تنظیمات اولیه امکان پذیر نیست. لطفاً مجوزهای دوربین و سازگاری دستگاه خود را بررسی کنید.
Unable to add offer item {0}. Please refresh and try again.,امکان افزودن مورد پیشنهاد {0} وجود ندارد. لطفاً بازخوانی کنید و دوباره امتحان کنید.
Unable to add offer item. Please refresh and try again.,امکان افزودن مورد پیشنهاد وجود ندارد. لطفاً بازخوانی کنید و دوباره امتحان کنید.
Unable to add scanned item.,امکان افزودن مورد اسکن شده وجود ندارد.
Unable to create purchase order,امکان ایجاد سفارش خرید وجود ندارد
Unable to delete draft invoice,پیش نویس فاکتور حذف نشد
Unable to fetch documents,امکان واکشی اسناد وجود ندارد
Unable to fetch draft orders,واکشی پیش‌نویس سفارش‌ها ممکن نیست
Unable to fetch invoice history,واکشی سابقه فاکتور ممکن نیست
Unable to fetch M-Pesa payments,واکشی پرداخت های M-Pesa امکان پذیر نیست
Unable to fetch sales orders,واکشی سفارشات فروش ممکن نیست
Unable to fetch unpaid invoices,فاکتورهای پرداخت نشده واکشی نشد
Unable to generate scale barcode,قادر به تولید بارکد مقیاس نیست
Unable to issue gift card.,امکان صدور کارت هدیه وجود ندارد.
Unable to load cashier PIN status.,وضعیت پین صندوقدار بارگیری نشد.
Unable to load document,سند بارگیری نمی شود
Unable to load draft invoice,پیش نویس فاکتور بارگیری نشد
Unable to load gift card balance.,موجودی کارت هدیه بارگیری نشد.
Unable to load invoice details,جزئیات فاکتور بارگیری نشد
Unable to load parked order,بارگیری سفارش پارک شده ممکن نیست
Unable to load the selected sales order,بارگیری سفارش فروش انتخابی ممکن نیست
Unable to prepare document,امکان تهیه سند وجود ندارد
Unable to prepare return invoice,امکان تهیه فاکتور برگشتی وجود ندارد
Unable to print draft invoice,چاپ پیش نویس فاکتور ممکن نیست
Unable to print submitted invoice,چاپ فاکتور ارسالی ممکن نیست
Unable to process document action,پردازش سند امکان پذیر نیست
Unable to repair change allocation,امکان تعمیر تخصیص تغییر وجود ندارد
Unable to save cashier PIN.,پین صندوقدار ذخیره نشد.
Unable to save the rate to the backend price list,امکان ذخیره نرخ در لیست قیمت باطن وجود ندارد
Unable to submit invoice,امکان ارسال فاکتور وجود ندارد
Unable to submit the selected payment,پرداخت انتخابی ارسال نشد
Unable to top up gift card.,شارژ کارت هدیه ممکن نیست.
Unable to verify cashier PIN.,پین صندوقدار تأیید نشد.
Unallocated,تخصیص نیافته است
Unallocated:,تخصیص نیافته:
Unavailable,در دسترس نیست
Unknown,ناشناس
Unknown Item,مورد ناشناس
Unknown Warehouse,انبار ناشناخته
Unlock POS,باز کردن قفل POS
Unpaid,پرداخت نشده
"Unselected payments stay unallocated first, then auto reconcile after submit.",پرداخت‌های انتخاب‌نشده ابتدا تخصیص داده نمی‌شوند، سپس پس از ارسال، به‌طور خودکار تطبیق داده می‌شوند.
UOM,UOM
UOM not found,UOM پیدا نشد
Update available,به روز رسانی موجود است
Update Customer,به روز رسانی مشتری
Update PIN,پین را به روز کنید
Update Price List Rate,به روز رسانی نرخ لیست قیمت
Updated,به روز شد
Updates and app info that stay out of the cashier flow.,به‌روزرسانی‌ها و اطلاعات برنامه‌ای که از جریان صندوق‌دار خارج می‌شوند.
Updates automatically,به طور خودکار به روز رسانی می شود
Usage,استفاده
Usage Stats,آمار استفاده
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,برای تعویض صندوقدار و باز کردن قفل ترمینال از یک پین 4 تا 8 رقمی استفاده کنید.
Use Cashier,از صندوقدار استفاده کنید
Use date range to search for older invoices,از محدوده تاریخ برای جستجوی فاکتورهای قدیمی استفاده کنید
"Use one field for manual code entry, barcode scans, or QR scans.",از یک فیلد برای وارد کردن دستی کد، اسکن بارکد یا اسکن QR استفاده کنید.
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.",از یک گردش کار برای بررسی موجودی، صدور جدید، و شارژ بدون خروج از POS استفاده کنید.
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.",از این بخش زمانی استفاده کنید که داده‌های پیش‌نیاز ذخیره‌شده در حافظه پنهان نیاز به بازنگری، بازسازی یا بررسی عیب‌یابی دارند.
Use Western numerals,از اعداد غربی استفاده کنید
Used:,مورد استفاده:
Using basic camera settings due to device limitations,استفاده از تنظیمات اولیه دوربین به دلیل محدودیت های دستگاه
Using cached customer balance,استفاده از موجودی ذخیره شده مشتری
Valid until,معتبر است تا
Variance %,درصد واریانس
Variants,انواع
Variant-wise,از نظر متغیر
Verify closing amounts for each payment method,مبالغ بسته شدن هر روش پرداخت را تأیید کنید
View all,مشاهده همه
View app information and current build details,اطلاعات برنامه و جزئیات ساخت فعلی را مشاهده کنید
View Data Diagnostics,مشاهده عیب‌یابی داده‌ها
View Details,مشاهده جزئیات
View invoice details,مشاهده جزئیات فاکتور
View notifications,مشاهده اطلاعیه ها
View offline invoices,فاکتورهای آفلاین را مشاهده کنید
View restricted POS insights,مشاهده اطلاعات POS محدود شده
Void Amount,مقدار باطل
Void Count,تعداد خالی
Voids,فضاهای خالی
Waiting for cart items,در انتظار اقلام سبد خرید
Waiting for payment...,در انتظار پرداخت...
Walk-in Customer,مشتری متحرک
Warehouse,انبار
Warning: High cache usage may affect performance.,هشدار: استفاده زیاد از حافظه پنهان ممکن است بر عملکرد تأثیر بگذارد.
Warning: High lag may indicate heavy processing or browser slowness.,هشدار: تاخیر زیاد ممکن است نشان دهنده پردازش زیاد یا کندی مرورگر باشد.
Week ?,هفته؟
Week-wise,از نظر هفته
Weight (g),وزن (گرم)
Weight (grams),وزن (گرم)
We'll let you know if an invoice fails to submit,اگر فاکتوری ارسال نشد، به شما اطلاع خواهیم داد
Workflow,گردش کار
Write off amount cannot exceed the POS profile maximum of {0},مبلغ حذف نمی‌تواند از حداکثر {0} نمایه POS تجاوز کند.
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,مبلغ انصراف از حد مجاز ({0}) بیشتر است. لطفاً مبلغ باقیمانده را اضافه کنید.
Yes,بله
"Yes, Cancel sale",بله، لغو فروش
"Yes, Close",بله، ببند
You are not allowed to print draft invoices,شما مجاز به چاپ پیش نویس فاکتورها نیستید
You are offline. Add Payment will work again when the connection is restored.,شما آفلاین هستید. وقتی اتصال بازیابی شد، Add Payment دوباره کار خواهد کرد.
You have no notifications right now,در حال حاضر هیچ اعلانی ندارید
Your Cart,سبد خرید شما
