POS Awesome,பிஓஎஸ் அருமை
No tax head breakdown found.,வரித் தலையீடு எதுவும் கண்டறியப்படவில்லை.
No top items found for this location.,இந்த இருப்பிடத்திற்கான சிறந்த உருப்படிகள் எதுவும் இல்லை.
No unpaid invoices,செலுத்தப்படாத இன்வாய்ஸ்கள் இல்லை
No variant data found.,மாறுபாடு தரவு எதுவும் இல்லை.
No week-wise sales trend found.,வார வாரியான விற்பனைப் போக்கு காணப்படவில்லை.
No.,இல்லை
Nobile Number,நோபல் எண்
Not available,கிடைக்கவில்லை
Not checked,சரிபார்க்கப்படவில்லை
Not selected,தேர்ந்தெடுக்கப்படவில்லை
Not Set,அமைக்கப்படவில்லை
Notifications,அறிவிப்புகள்
Offer,சலுகை
Offer Applied,சலுகை பயன்படுத்தப்பட்டது
Offer criteria exceeded,சலுகை அளவுகோல் மீறப்பட்டுள்ளது
Offer Item,சலுகை பொருள்
Offer item unavailable,சலுகை உருப்படி கிடைக்கவில்லை
Offer Removed,சலுகை அகற்றப்பட்டது
Offer UOM cannot be changed,சலுகை UOM ஐ மாற்ற முடியாது
Offer?,சலுகையா?
Offers,சலுகைகள்
Offline,ஆஃப்லைன்
Offline & Sync,ஆஃப்லைன் & ஒத்திசைவு
Offline Capabilities,ஆஃப்லைன் திறன்கள்
Offline data status refreshed,ஆஃப்லைன் தரவு நிலை புதுப்பிக்கப்பட்டது
Offline diagnostics,ஆஃப்லைன் கண்டறிதல்
Offline Invoices,ஆஃப்லைன் இன்வாய்ஸ்கள்
Offline invoices status,ஆஃப்லைன் இன்வாய்ஸ் நிலை
Offline invoices synced,ஆஃப்லைன் இன்வாய்ஸ்கள் ஒத்திசைக்கப்பட்டது
Offline Queue: {0},ஆஃப்லைன் வரிசை: {0}
Offline rebuild guidance,ஆஃப்லைன் மறுகட்டமைப்பு வழிகாட்டுதல்
Offline restore is unavailable for this session.,இந்த அமர்வுக்கு ஆஃப்லைன் மீட்டமைப்பு கிடைக்கவில்லை.
Offline selling is available with degraded capabilities.,குறைக்கப்பட்ட திறன்களுடன் ஆஃப்லைன் விற்பனை கிடைக்கிறது.
Offline snapshot does not match the current POS state.,ஆஃப்லைன் ஸ்னாப்ஷாட் தற்போதைய பிஓஎஸ் நிலையுடன் பொருந்தவில்லை.
Offline Status,ஆஃப்லைன் நிலை
"Offline, terminal, and system controls","ஆஃப்லைன், டெர்மினல் மற்றும் சிஸ்டம் கட்டுப்பாடுகள்"
OK,சரி
Online,ஆன்லைன்
Open actions menu,செயல்கள் மெனுவைத் திறக்கவும்
Open balance to collect,வசூலிக்க இருப்பைத் திறக்கவும்
Open Customer Display,வாடிக்கையாளர் காட்சியைத் திறக்கவும்
Open drawer,அலமாரியைத் திறக்கவும்
Open invoices,இன்வாய்ஸ்களைத் திறக்கவும்
Open Payments?,பேமெண்ட்டுகளைத் திறக்கவா?
Open POS home,POS வீட்டைத் திறக்கவும்
Open this screen from POS Menu -> Open Customer Display.,POS மெனுவிலிருந்து இந்தத் திரையைத் திறக்கவும் -> வாடிக்கையாளர் காட்சியைத் திறக்கவும்.
OpenCV image processing enabled - Enhanced barcode detection,OpenCV பட செயலாக்கம் இயக்கப்பட்டது - மேம்படுத்தப்பட்ட பார்கோடு கண்டறிதல்
OpenCV image processing unavailable on this device,இந்தச் சாதனத்தில் OpenCV படச் செயலாக்கம் இல்லை
OpenCV Off,OpenCV ஆஃப்
OpenCV On,OpenCV ஆன்
OpenCV processing disabled,OpenCV செயலாக்கம் முடக்கப்பட்டது
Opening Amount,தொடக்கத் தொகை
Opening Cash,பணத்தைத் திறக்கிறது
options,விருப்பங்கள்
Order,ஆர்டர்
Original,அசல்
Other,மற்றவை
Out,வெளியே
Out of Stock,கையிருப்பில் இல்லை
Out of Stock Items,கையிருப்பில் இல்லாத பொருட்கள்
Outstanding,சிறப்பானது
Outstanding Credit by Currency,நாணயத்தின் மூலம் சிறந்த கடன்
Overdue,காலாவதியானது
Overpayment Change,அதிக கட்டணம் மாற்றம்
Overpayment change deducted: {0},அதிக கட்டண மாற்றம் கழிக்கப்பட்டது: {0}
Packing List,பேக்கிங் பட்டியல்
Page Format,பக்க வடிவம்
Page unavailable offline,பக்கம் ஆஃப்லைனில் இல்லை
Paid,செலுத்தப்பட்டது
Paid (orig):,செலுத்தப்பட்டது (orig):
Paid Amount,செலுத்திய தொகை
Paid change cannot be greater than total change!,கட்டண மாற்றம் மொத்த மாற்றத்தை விட அதிகமாக இருக்க முடியாது!
Paid:,செலுத்தப்பட்டது:
Parent Item,பெற்றோர் பொருள்
Partial,பகுதி
Partly Paid,ஓரளவு செலுத்தப்பட்டது
Party Account,கட்சி கணக்கு
Party Type,கட்சி வகை
Pause terminal until next cashier,அடுத்த காசாளர் வரை முனையத்தை இடைநிறுத்தவும்
PAY,செலுத்து
Payment,பணம் செலுத்துதல்
Payment Account,பணம் செலுத்தும் கணக்கு
Payment entries processed for Invoice {0},விலைப்பட்டியல் {0}க்கான கட்டண உள்ளீடுகள் செயலாக்கப்பட்டன
Payment Entry Type,கட்டண நுழைவு வகை
Payment History,கட்டண வரலாறு
Payment ID,கட்டண ஐடி
Payment Method Report,கட்டண முறை அறிக்கை
Payment Methods,பணம் செலுத்தும் முறைகள்
Payment of {0} received successfully.,{0} பணம் செலுத்தப்பட்டது.
Payment Progress,பணம் செலுத்தும் முன்னேற்றம்
Payment Reconciliation,பணம் சமரசம்
Payment request status could not be retrieved. Please try again,கட்டண கோரிக்கையின் நிலையை மீட்டெடுக்க முடியவில்லை. மீண்டும் முயற்சிக்கவும்
Payment Request took too long to respond. Please try requesting for payment again,கட்டணக் கோரிக்கை பதிலளிக்க அதிக நேரம் எடுத்தது. மீண்டும் கட்டணத்தைக் கோர முயற்சிக்கவும்
Payment saved offline,கட்டணம் ஆஃப்லைனில் சேமிக்கப்பட்டது
Payment State,கட்டணம் செலுத்தும் நிலை
Payment Status,கட்டண நிலை
Payment submitted but print function could not be executed. Payment name not found.,"கட்டணம் சமர்ப்பிக்கப்பட்டது, ஆனால் அச்சு செயல்பாட்டைச் செயல்படுத்த முடியவில்லை. கட்டணத்தின் பெயர் கிடைக்கவில்லை."
Payment submitted.,பணம் சமர்ப்பிக்கப்பட்டது.
Payment Summary,கட்டணச் சுருக்கம்
Payments,கொடுப்பனவுகள்
Payments are not open. Do you want to open payments and submit?,கொடுப்பனவுகள் திறக்கப்படவில்லை. கட்டணத்தைத் திறந்து சமர்ப்பிக்க விரும்புகிறீர்களா?
Payments by Mode of Payment,பணம் செலுத்தும் முறை மூலம் பணம் செலுத்துதல்
PDF,PDF
Peak Hour,பீக் ஹவர்
Peak Memory:,உச்ச நினைவகம்:
Peak Server:,உச்ச சேவையகம்:
Peak:,உச்சம்:
Pending,நிலுவையில் உள்ளது
Pending Amount,நிலுவையில் உள்ள தொகை
Pending count updated from {0} to {1},நிலுவையிலுள்ள எண்ணிக்கை {0} இலிருந்து {1} ஆக புதுப்பிக்கப்பட்டது
Pending Exposure,நிலுவையில் உள்ள வெளிப்பாடு
Pending Invoices,நிலுவையில் உள்ள இன்வாய்ஸ்கள்
Pending Ratio,நிலுவையிலுள்ள விகிதம்
Pending Sales,நிலுவையில் உள்ள விற்பனை
Pending sales: {0} | Cache usage: {1}%,நிலுவையில் உள்ள விற்பனை: {0} | தற்காலிக சேமிப்பு பயன்பாடு: {1}%
Pending Sync,நிலுவையில் உள்ள ஒத்திசைவு
Pending: {0},நிலுவையில் உள்ளது: {0}
Pending: {0} | Synced: {1} | Draft: {2},நிலுவையில் உள்ளது: {0} | ஒத்திசைக்கப்பட்டது: {1} | வரைவு: {2}
Per Page,ஒரு பக்கத்திற்கு
Personal,தனிப்பட்ட
Personal preferences adjust the current cashier experience without changing the active POS route.,"செயலில் உள்ள பிஓஎஸ் வழியை மாற்றாமல், தனிப்பட்ட விருப்பத்தேர்வுகள் தற்போதைய காசாளர் அனுபவத்தைச் சரிசெய்யும்."
PIN confirmation does not match.,பின் உறுதிப்படுத்தல் பொருந்தவில்லை.
PIN must be 4 to 8 digits.,பின் 4 முதல் 8 இலக்கங்கள் வரை இருக்க வேண்டும்.
Please add at least one item.,குறைந்தபட்சம் ஒரு பொருளைச் சேர்க்கவும்.
Please allow camera access to scan codes,குறியீடுகளை ஸ்கேன் செய்ய கேமரா அணுகலை அனுமதிக்கவும்
Please enter payment amount,கட்டணத் தொகையை உள்ளிடவும்
Please fill all required fields,தேவையான அனைத்து புலங்களையும் நிரப்பவும்
Please make a payment or select a payment,பணம் செலுத்தவும் அல்லது கட்டணத்தைத் தேர்ந்தெடுக்கவும்
Please request phone payment or use another payment method,ஃபோன் கட்டணத்தைக் கோரவும் அல்லது வேறு கட்டண முறையைப் பயன்படுத்தவும்
Please select a customer first,முதலில் வாடிக்கையாளரைத் தேர்ந்தெடுக்கவும்
Please select a party,தயவுசெய்து ஒரு கட்சியைத் தேர்ந்தெடுக்கவும்
Please select a party before reconciling.,சமரசம் செய்வதற்கு முன் ஒரு கட்சியைத் தேர்ந்தெடுக்கவும்.
Please select a valid movement type.,சரியான இயக்க வகையைத் தேர்ந்தெடுக்கவும்.
Please select an invoice,விலைப்பட்டியலைத் தேர்ந்தெடுக்கவும்
Please select company before reconciling.,சமரசம் செய்வதற்கு முன் நிறுவனத்தைத் தேர்ந்தெடுக்கவும்.
Please set the customer's mobile number,வாடிக்கையாளரின் மொபைல் எண்ணை அமைக்கவும்
Please try again or enter the item manually.,மீண்டும் முயற்சிக்கவும் அல்லது உருப்படியை கைமுறையாக உள்ளிடவும்.
Please verify the barcode or check the item's availability.,பார்கோடைச் சரிபார்க்கவும் அல்லது உருப்படியின் இருப்பைச் சரிபார்க்கவும்.
Points,புள்ளிகள்
Popup blocked. Please allow popups.,பாப்அப் தடுக்கப்பட்டது. பாப்அப்களை அனுமதிக்கவும்.
POS,பிஓஎஸ்
POS controls and maintenance,பிஓஎஸ் கட்டுப்பாடுகள் மற்றும் பராமரிப்பு
POS Expense is disabled for this POS Profile.,இந்த POS சுயவிவரத்திற்கு POS செலவு முடக்கப்பட்டுள்ளது.
POS is running with limited offline prerequisites.,POS வரையறுக்கப்பட்ட ஆஃப்லைன் முன்நிபந்தனைகளுடன் இயங்குகிறது.
POS Profile,பிஓஎஸ் சுயவிவரம்
Position the QR code or barcode within the scanning area,ஸ்கேனிங் பகுதிக்குள் QR குறியீடு அல்லது பார்கோடு வைக்கவும்
Posting,இடுகையிடுகிறது
Posting and Price List,இடுகை மற்றும் விலை பட்டியல்
Posting Date,இடுகையிடும் தேதி
Preparing background sync,பின்னணி ஒத்திசைவைத் தயாரிக்கிறது
"Press OK to continue offline with a warning, or Cancel to retry.",எச்சரிக்கையுடன் ஆஃப்லைனில் தொடர சரி என்பதை அழுத்தவும் அல்லது மீண்டும் முயற்சிக்க ரத்துசெய்.
Previous unit of measure,முந்தைய அளவீட்டு அலகு
Price List,விலை பட்டியல்
Price List Rate,விலை பட்டியல் விகிதம்
Price list rate updated locally only,விலை பட்டியல் விகிதம் உள்நாட்டில் மட்டுமே புதுப்பிக்கப்பட்டது
Pricing & Discounts,விலை மற்றும் தள்ளுபடிகள்
Pricing Rule,விலை விதி
Print,அச்சிடுக
Print Draft,வரைவை அச்சிடுங்கள்
Print Format (Invoice),அச்சு வடிவம் (விலைப்பட்டியல்)
Print Format (Order),அச்சு வடிவம் (ஆர்டர்)
Print invoice,அச்சு விலைப்பட்டியல்
Print Purchase Invoice instead of PO,PO க்கு பதிலாக கொள்முதல் விலைப்பட்டியல் அச்சிடவும்
Printer,பிரிண்டர்
Processed returns impacting the shift totals,ஷிப்ட் மொத்தத்தை பாதிக்கும் செயலாக்கப்பட்ட வருமானம்
Processing Payment,செலுத்துதல் செயலாக்கம்
Processing payment entries for Invoice {0},இன்வாய்ஸ் {0}க்கான கட்டண உள்ளீடுகளைச் செயலாக்குகிறது
Profile,சுயவிவரம்
Profiles,சுயவிவரங்கள்
Profit,லாபம்
Profit: Invoice Item Estimate,லாபம்: விலைப்பட்டியல் பொருள் மதிப்பீடு
Profit: Stock Ledger (COGS),லாபம்: ஸ்டாக் லெட்ஜர் (COGS)
Profitability Report,லாப அறிக்கை
Prorated return discount,கணக்கிடப்பட்ட திரும்பும் தள்ளுபடி
Purchase Amount,கொள்முதல் தொகை
Purchase Invoices,விலைப்பட்டியல்களை வாங்கவும்
Purchase Order created,கொள்முதல் ஆர்டர் உருவாக்கப்பட்டது
Qty,Qty
Qualified,தகுதி பெற்றவர்
Quantity,அளவு
Quantity exceeds available stock,கிடைக்கும் இருப்பை விட அளவு அதிகமாக உள்ளது
Quick Actions,விரைவான செயல்கள்
Quotation {0} is Submitted,மேற்கோள் {0} சமர்ப்பிக்கப்பட்டது
Quotation submitted,மேற்கோள் சமர்ப்பிக்கப்பட்டது
QZ Tray connected.,QZ தட்டு இணைக்கப்பட்டுள்ளது.
QZ Tray is manually disconnected. Press Connect to enable it again.,"QZ தட்டு கைமுறையாக துண்டிக்கப்பட்டது. அதை மீண்டும் இயக்க, இணைப்பை அழுத்தவும்."
QZ Tray is not connected.,QZ தட்டு இணைக்கப்படவில்லை.
QZ Tray Setup,QZ தட்டு அமைப்பு
Rate,மதிப்பிடவும்
Rate adjusted to maximum allowed discount,அனுமதிக்கப்பட்ட அதிகபட்ச தள்ளுபடிக்கு விகிதம் சரி செய்யப்பட்டது
Ready,தயார்
Ready to resume,மீண்டும் தொடங்கத் தயார்
Ready!,தயார்!
Real-time POS insights for retail operations.,சில்லறை விற்பனை நடவடிக்கைகளுக்கான நிகழ்நேர பிஓஎஸ் நுண்ணறிவு.
Rebuild Offline Data,ஆஃப்லைன் தரவை மீண்டும் உருவாக்கவும்
Receive,பெறு
Receive now,இப்போது பெறுங்கள்
Received,பெற்றது
Received:,பெறப்பட்டது:
Recent Movement Entries,சமீபத்திய இயக்கம் உள்ளீடுகள்
Recent updates about your invoices,உங்கள் இன்வாய்ஸ்கள் பற்றிய சமீபத்திய புதுப்பிப்புகள்
Recently Active Customers,சமீபத்தில் செயலில் உள்ள வாடிக்கையாளர்கள்
Rechecking connection,இணைப்பை மீண்டும் சரிபார்க்கிறது
Reconcile payment methods and close shift,பணம் செலுத்தும் முறைகள் மற்றும் நெருக்கமான மாற்றத்தை சரிசெய்யவும்
Reconciling Payments,கொடுப்பனவுகளை சீரமைத்தல்
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.","ஆன்லைனில் இருக்கும் போது இந்தப் பக்கத்தை மீண்டும் இணைத்து திறக்கவும், பிறகு ஆஃப்லைன் புதுப்பிப்புகள் அதை மீட்டெடுக்க முடியும்."
Reconnect online to refresh cached offline data from the server.,சேவையகத்திலிருந்து தற்காலிகமாகச் சேமிக்கப்பட்ட ஆஃப்லைன் தரவைப் புதுப்பிக்க ஆன்லைனில் மீண்டும் இணைக்கவும்.
Recreate local offline prerequisites from scratch,புதிதாக உள்ளூர் ஆஃப்லைன் முன்நிபந்தனைகளை மீண்டும் உருவாக்கவும்
Recv:,Recv:
Redeem,மீட்டுக்கொள்ளுங்கள்
Redeem / Scan,மீட்டுக்கொள்ளவும் / ஸ்கேன் செய்யவும்
Redeem Amount,ரிடீம் தொகை
Redeem Mode,ரிடீம் பயன்முறை
Redeemed Amount,மீட்டெடுக்கப்பட்ட தொகை
Redeemed credit cannot be greater than its total.,மீட்டெடுக்கப்பட்ட கடன் அதன் மொத்தத்தை விட அதிகமாக இருக்கக்கூடாது.
Redemption and Totals,மீட்பு மற்றும் மொத்தங்கள்
Reference,குறிப்பு
Refresh,புதுப்பிக்கவும்
Refresh Exchange Rate,மாற்று விகிதத்தைப் புதுப்பிக்கவும்
Refresh Offline Data,ஆஃப்லைன் தரவைப் புதுப்பிக்கவும்
Refresh Printers,அச்சுப்பொறிகளைப் புதுப்பிக்கவும்
Refund,பணத்தைத் திரும்பப்பெறுதல்
Release Notes,வெளியீட்டு குறிப்புகள்
Reload,மீண்டும் ஏற்றவும்
Reload customers,வாடிக்கையாளர்களை மீண்டும் ஏற்றவும்
Reload Items,பொருட்களை மீண்டும் ஏற்றவும்
Reload Now,இப்போது மீண்டும் ஏற்றவும்
Reload to apply the latest changes. Your current session will be refreshed.,"சமீபத்திய மாற்றங்களைப் பயன்படுத்த, மீண்டும் ஏற்றவும். உங்கள் தற்போதைய அமர்வு புதுப்பிக்கப்படும்."
Reload Workflow,பணிப்பாய்வுகளை மீண்டும் ஏற்றவும்
Remarks,கருத்துக்கள்
Remarks are required.,குறிப்புகள் தேவை.
Remove,அகற்று
Remove barcode item,பார்கோடு உருப்படியை அகற்று
Remove cached data and reload the POS app,"தற்காலிக சேமிப்பில் உள்ள தரவை அகற்றி, பிஓஎஸ் பயன்பாட்டை மீண்டும் ஏற்றவும்"
Remove item,உருப்படியை அகற்று
Remove Offer,சலுகையை அகற்று
Reorder / Purchase Suggestions,மறுவரிசைப்படுத்துதல் / கொள்முதல் பரிந்துரைகள்
Repair Candidate,பழுதுபார்க்கும் வேட்பாளர்
Repair Change Allocation,பழுது மாற்ற ஒதுக்கீடு
Repair requires an online connection,பழுதுபார்ப்பதற்கு ஆன்லைன் இணைப்பு தேவை
Repaired,பழுதுபட்டது
Repairing change allocation,மாற்ற ஒதுக்கீட்டை சரிசெய்தல்
Repeat Customers,மீண்டும் வாடிக்கையாளர்கள்
Repeat Rate,மீண்டும் விகிதம்
Request,கோரிக்கை
Request ID: {0},கோரிக்கை ஐடி: {0}
Request Payment,கட்டணத்தை கோருங்கள்
Requested route: {0},கோரிய வழி: {0}
Required columns cannot be hidden,தேவையான நெடுவரிசைகளை மறைக்க முடியாது
Reset,மீட்டமை
Reset item name,பொருளின் பெயரை மீட்டமைக்கவும்
Reset to Default,இயல்புநிலைக்கு மீட்டமைக்கவும்
Resource Health,வள ஆரோக்கியம்
Restricted,கட்டுப்படுத்தப்பட்டது
Restricted operational controls for supervisors only.,மேற்பார்வையாளர்களுக்கு மட்டுமே கட்டுப்படுத்தப்பட்ட செயல்பாட்டுக் கட்டுப்பாடுகள்.
Retry,மீண்டும் முயற்சிக்கவும்
Retry route,பாதையை மீண்டும் முயற்சிக்கவும்
Return,திரும்பு
Return Amount,திரும்பும் தொகை
Return Count,திரும்ப எண்ணிக்கை
Return items must have negative quantities,திரும்பப் பெறும் பொருட்கள் எதிர்மறை அளவுகளைக் கொண்டிருக்க வேண்டும்
Return total must be negative,மொத்த வருமானம் எதிர்மறையாக இருக்க வேண்டும்
Return Valid Until,வரை செல்லுபடியாகும்
Return window passed,திரும்பும் சாளரம் கடந்துவிட்டது
Return without Invoice,விலைப்பட்டியல் இல்லாமல் திரும்பவும்
Returns,திரும்புகிறது
Returns / Voids / Discounts,வருமானம் / வெற்றிடங்கள் / தள்ளுபடிகள்
Returns by Currency,நாணயத்தின் மூலம் திரும்பும்
Revenue,வருவாய்
Review shift totals before submitting the closing entry,இறுதிப் பதிவைச் சமர்ப்பிக்கும் முன் ஷிப்ட் மொத்தத்தை மதிப்பாய்வு செய்யவும்
Round Off,ரவுண்ட் ஆஃப்
Rows,வரிசைகள்
Rows:,வரிசைகள்:
Rule,விதி
Sale,விற்பனை
Sales,விற்பனை
Sales Order {0} is Submitted,விற்பனை ஆணை {0} சமர்ப்பிக்கப்பட்டது
Sales Person and Print,விற்பனை நபர் மற்றும் அச்சு
Sales Person not found,விற்பனையாளரைக் காணவில்லை
Sales processed,விற்பனை செயலாக்கப்பட்டது
Sales Return,விற்பனை வருவாய்
Sales Trend Report,விற்பனை போக்கு அறிக்கை
Save,சேமிக்கவும்
Save & Clear,சேமி & அழி
Save as POS Profile Default,பிஓஎஸ் சுயவிவர இயல்புநிலையாக சேமிக்கவும்
Save Settings,அமைப்புகளைச் சேமிக்கவும்
Save the selected printer as the POS Profile default so it shows automatically on this setup.,"தேர்ந்தெடுக்கப்பட்ட அச்சுப்பொறியை பிஓஎஸ் சுயவிவர இயல்புநிலையாக சேமிக்கவும், அது இந்த அமைப்பில் தானாகவே காண்பிக்கப்படும்."
Saved as draft because: {0},வரைவாக சேமிக்கப்பட்டது ஏனெனில்: {0}
Saving...,சேமிக்கிறது...
Scale barcode detected. Quantity here is the number of labels to print.,அளவு பார்கோடு கண்டறியப்பட்டது. இங்கே அளவு என்பது அச்சிட வேண்டிய லேபிள்களின் எண்ணிக்கை.
Scale barcode settings are not configured. Using item barcode only.,அளவு பார்கோடு அமைப்புகள் உள்ளமைக்கப்படவில்லை. உருப்படி பார்கோடு மட்டும் பயன்படுத்துகிறது.
Scale template barcode is missing for this item/UOM. Using item barcode only.,இந்த உருப்படி/UOMக்கான அளவுகோல் டெம்ப்ளேட் பார்கோடு இல்லை. உருப்படி பார்கோடு மட்டும் பயன்படுத்துகிறது.
Scan an existing card and top it up without leaving the payment flow.,"ஏற்கனவே உள்ள கார்டை ஸ்கேன் செய்து, பணம் செலுத்தும் முறையை விட்டுவிடாமல் டாப் அப் செய்யவும்."
Scan Error,ஸ்கேன் பிழை
Scan or enter a gift card code to check balance or redeem.,இருப்பைச் சரிபார்க்க அல்லது ரிடீம் செய்ய பரிசு அட்டைக் குறியீட்டை ஸ்கேன் செய்யவும் அல்லது உள்ளிடவும்.
Scan or paste the card code below.,கீழே உள்ள கார்டு குறியீட்டை ஸ்கேன் செய்யவும் அல்லது ஒட்டவும்.
Scan QR Code/Barcode,QR குறியீடு/பார்கோடு ஸ்கேன் செய்யவும்
Scan with camera,கேமரா மூலம் ஸ்கேன் செய்யவும்
Scan-First Flow,ஸ்கேன்-முதல் ஓட்டம்
Scanned Code:,ஸ்கேன் செய்யப்பட்ட குறியீடு:
Scanning for: {0},இதற்கு ஸ்கேன் செய்கிறது: {0}
Scanning items,பொருட்களை ஸ்கேன் செய்கிறது
Scan-Ready,ஸ்கேன் தயார்
Scope,நோக்கம்
Scope: All Profiles,நோக்கம்: அனைத்து சுயவிவரங்கள்
Scope: Current Profile,நோக்கம்: தற்போதைய சுயவிவரம்
Scope: Specific Profile,நோக்கம்: குறிப்பிட்ட சுயவிவரம்
Search,தேடு
Search Account,தேடல் கணக்கு
Search an invoice and continue the return flow without extra steps.,"விலைப்பட்டியலைத் தேடி, கூடுதல் படிகள் இல்லாமல் திரும்பப் பெறுவதைத் தொடரவும்."
Search customer,வாடிக்கையாளரைத் தேடுங்கள்
Search invoices or customers,இன்வாய்ஸ்கள் அல்லது வாடிக்கையாளர்களைத் தேடுங்கள்
Search item,தேடல் உருப்படி
Search item / code,தேடல் உருப்படி / குறியீடு
Search items or barcode,உருப்படிகள் அல்லது பார்கோடு தேடல்
Search Mpesa Payments,Mpesa கொடுப்பனவுகளைத் தேடுங்கள்
Search return invoices or customers,திரும்பிய இன்வாய்ஸ்கள் அல்லது வாடிக்கையாளர்களைத் தேடுங்கள்
Search supplier,தேடல் சப்ளையர்
Search unpaid invoices or customers,செலுத்தப்படாத இன்வாய்ஸ்கள் அல்லது வாடிக்கையாளர்களைத் தேடுங்கள்
Secure context (HTTPS or localhost) is required for camera access.,கேமரா அணுகலுக்கு பாதுகாப்பான சூழல் (HTTPS அல்லது லோக்கல் ஹோஸ்ட்) தேவை.
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,கேமரா அணுகலுக்கு பாதுகாப்பான சூழல் (HTTPS) தேவை. கேமராவை அணுக HTTPSஐப் பயன்படுத்தவும்.
Select,தேர்ந்தெடு
Select a cashier first.,முதலில் ஒரு காசாளரைத் தேர்ந்தெடுக்கவும்.
Select a customer,வாடிக்கையாளரைத் தேர்ந்தெடுக்கவும்
Select a customer to use coupon,கூப்பனைப் பயன்படுத்த வாடிக்கையாளரைத் தேர்ந்தெடுக்கவும்
Select a printer to use QZ silent printing.,QZ அமைதியான அச்சிடலைப் பயன்படுத்த அச்சுப்பொறியைத் தேர்ந்தெடுக்கவும்.
Select Batch,தொகுப்பைத் தேர்ந்தெடுக்கவும்
Select Columns to Display,காட்ட வேண்டிய நெடுவரிசைகளைத் தேர்ந்தெடுக்கவும்
Select items to sell,விற்க வேண்டிய பொருட்களைத் தேர்ந்தெடுக்கவும்
Select Payment,கட்டணத்தைத் தேர்ந்தெடுக்கவும்
Select Payment Account,கட்டணக் கணக்கைத் தேர்ந்தெடுக்கவும்
Select printer,அச்சுப்பொறியைத் தேர்ந்தெடுக்கவும்
Select Return Invoice,ரிட்டர்ன் இன்வாய்ஸைத் தேர்ந்தெடுக்கவும்
Select S.O,எஸ்.ஓ
Select Sales Orders,விற்பனை ஆர்டர்களைத் தேர்ந்தெடுக்கவும்
Select the cashier who is taking over this terminal.,இந்த டெர்மினலைக் கைப்பற்றும் காசாளரைத் தேர்ந்தெடுக்கவும்.
Selected,தேர்ந்தெடுக்கப்பட்டது
Selected movement type is not allowed by POS Profile.,POS சுயவிவரத்தால் தேர்ந்தெடுக்கப்பட்ட இயக்க வகை அனுமதிக்கப்படவில்லை.
Selected Payments,தேர்ந்தெடுக்கப்பட்ட கொடுப்பனவுகள்
Sensitive actions kept away from quick taps.,உணர்திறன் செயல்கள் விரைவான தட்டுதல்களிலிருந்து விலக்கி வைக்கப்படுகின்றன.
Serial,தொடர்
Serial Numbers,வரிசை எண்கள்
Server CPU Usage:,சர்வர் CPU பயன்பாடு:
Server Health,சேவையக ஆரோக்கியம்
Server Memory Usage:,சர்வர் நினைவக பயன்பாடு:
Server Metrics,சேவையக அளவீடுகள்
Server Uptime:,சேவையக இயக்க நேரம்:
Service Charges,சேவை கட்டணங்கள்
Session,அமர்வு
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,"ஒவ்வொரு காசாளர் பின்னையும் பயனர் படிவத்தில் அமைத்து, டெர்மினல் உறுப்பினர்களை POS சுயவிவரப் பயனரில் ஒதுக்கி வைக்கவும்."
Settings,அமைப்புகள்
Settings in this section update the POS workspace without changing the current route.,இந்தப் பிரிவில் உள்ள அமைப்புகள் தற்போதைய வழியை மாற்றாமல் பிஓஎஸ் பணியிடத்தைப் புதுப்பிக்கும்.
Setup complete!,அமைவு முடிந்தது!
Share,பகிரவும்
Shared terminal,பகிரப்பட்ட முனையம்
Shift Closed Snapshot,ஷிப்ட் மூடப்பட்ட ஸ்னாப்ஷாட்
Shift Overview,ஷிப்ட் மேலோட்டம்
Show,காட்டு
Show cart on customer-facing screen,வாடிக்கையாளர் எதிர்கொள்ளும் திரையில் வண்டியைக் காட்டு
Show last invoice rate,கடைசி விலைப்பட்டியல் விகிதத்தைக் காட்டு
Show rate info,கட்டணத் தகவலைக் காட்டு
Show Repair Candidates,பழுதுபார்ப்பு வேட்பாளர்களைக் காட்டு
Show search tools,தேடல் கருவிகளைக் காட்டு
Show the active cart on a customer-facing screen,வாடிக்கையாளர் எதிர்கொள்ளும் திரையில் செயலில் உள்ள கார்ட்டைக் காட்டு
Showing {0}-{1} of {2},{2} இல் {0}-{1} ஐக் காட்டுகிறது
Showing 0 of 0,0 இல் 0 ஐக் காட்டுகிறது
Shows the distribution of invoices per currency,ஒரு நாணயத்திற்கு இன்வாய்ஸ்களின் விநியோகத்தைக் காட்டுகிறது
Sign out of the current POS session,தற்போதைய பிஓஎஸ் அமர்விலிருந்து வெளியேறவும்
Size:,அளவு:
Skipped Payments,தவிர்க்கப்பட்ட பணம்
Skipping items without barcodes,பார்கோடுகள் இல்லாமல் பொருட்களைத் தவிர்த்தல்
Slow Moving,மெதுவாக நகரும்
Slow Moving Items,மெதுவாக நகரும் பொருட்கள்
Slow Queries:,மெதுவான கேள்விகள்:
Sold,விற்கப்பட்டது
Source,ஆதாரம்
Source Cash Account (Optional Override),மூல பணக் கணக்கு (விரும்பினால் மேலெழுதுதல்)
Source Ex. Rate:,ஆதாரம் முன்னாள். விகிதம்:
Source Rate:,ஆதார விகிதம்:
