POS Awesome,POS بہت اچھے
Please select a valid movement type.,براہ کرم ایک درست حرکت کی قسم منتخب کریں۔
Please select an invoice,براہ کرم ایک رسید منتخب کریں۔
Please select company before reconciling.,مصالحت کرنے سے پہلے براہ کرم کمپنی کا انتخاب کریں۔
Please set the customer's mobile number,براہ کرم کسٹمر کا موبائل نمبر سیٹ کریں۔
Please try again or enter the item manually.,براہ کرم دوبارہ کوشش کریں یا دستی طور پر آئٹم درج کریں۔
Please verify the barcode or check the item's availability.,براہ کرم بارکوڈ کی تصدیق کریں یا آئٹم کی دستیابی کو چیک کریں۔
Points,پوائنٹس
Popup blocked. Please allow popups.,پاپ اپ مسدود ہے۔ براہ کرم پاپ اپ کی اجازت دیں۔
POS,پی او ایس
POS controls and maintenance,POS کنٹرول اور دیکھ بھال
POS Expense is disabled for this POS Profile.,اس POS پروفائل کے لیے POS اخراجات کو غیر فعال کر دیا گیا ہے۔
POS is running with limited offline prerequisites.,POS محدود آف لائن شرائط کے ساتھ چل رہا ہے۔
POS Profile,POS پروفائل
Position the QR code or barcode within the scanning area,کیو آر کوڈ یا بارکوڈ کو اسکیننگ ایریا میں رکھیں
Posting,پوسٹنگ
Posting and Price List,پوسٹنگ اور قیمت کی فہرست
Posting Date,پوسٹنگ کی تاریخ
Preparing background sync,پس منظر کی مطابقت پذیری کی تیاری
"Press OK to continue offline with a warning, or Cancel to retry.",انتباہ کے ساتھ آف لائن جاری رکھنے کے لیے OK دبائیں، یا دوبارہ کوشش کرنے کے لیے منسوخ کریں۔
Previous unit of measure,پیمائش کی پچھلی اکائی
Price List,قیمت کی فہرست
Price List Rate,قیمت کی فہرست کی شرح
Price list rate updated locally only,قیمت کی فہرست کی شرح صرف مقامی طور پر اپ ڈیٹ کی جاتی ہے۔
Pricing & Discounts,قیمتوں کا تعین اور چھوٹ
Pricing Rule,قیمتوں کا قاعدہ
Print,پرنٹ
Print Draft,ڈرافٹ پرنٹ کریں۔
Print Format (Invoice),پرنٹ فارمیٹ (انوائس)
Print Format (Order),پرنٹ فارمیٹ (آرڈر)
Print invoice,انوائس پرنٹ کریں۔
Print Purchase Invoice instead of PO,پی او کی بجائے پرچیز انوائس پرنٹ کریں۔
Printer,پرنٹر
Processed returns impacting the shift totals,شفٹ کے مجموعوں کو متاثر کرنے والے پراسیس شدہ ریٹرن
Processing Payment,ادائیگی پر کارروائی ہو رہی ہے۔
Processing payment entries for Invoice {0},انوائس {0} کے لیے ادائیگی کے اندراجات پر کارروائی ہو رہی ہے
Profile,پروفائل
Profiles,پروفائلز
Profit,منافع
Profit: Invoice Item Estimate,منافع: انوائس آئٹم کا تخمینہ
Profit: Stock Ledger (COGS),منافع: اسٹاک لیجر (COGS)
Profitability Report,منافع کی رپورٹ
Prorated return discount,متناسب واپسی کی رعایت
Purchase Amount,خریداری کی رقم
Purchase Invoices,رسیدیں خریدیں۔
Purchase Order created,پرچیز آرڈر بنایا گیا۔
Qty,مقدار
Qualified,اہل
Quantity,مقدار
Quantity exceeds available stock,مقدار دستیاب اسٹاک سے زیادہ ہے۔
Quick Actions,فوری اقدامات
Quotation {0} is Submitted,اقتباس {0} جمع کرایا گیا ہے۔
Quotation submitted,اقتباس جمع کرایا
QZ Tray connected.,QZ ٹرے منسلک ہے۔
QZ Tray is manually disconnected. Press Connect to enable it again.,QZ ٹرے دستی طور پر منقطع ہے۔ اسے دوبارہ فعال کرنے کے لیے کنیکٹ کو دبائیں۔
QZ Tray is not connected.,QZ ٹرے منسلک نہیں ہے۔
QZ Tray Setup,کیو زیڈ ٹرے سیٹ اپ
Rate,شرح
Rate adjusted to maximum allowed discount,شرح کو زیادہ سے زیادہ اجازت شدہ رعایت پر ایڈجسٹ کیا گیا۔
Ready,تیار
Ready to resume,دوبارہ شروع کرنے کے لیے تیار ہیں۔
Ready!,تیار!
Real-time POS insights for retail operations.,ریٹیل آپریشنز کے لیے ریئل ٹائم POS بصیرت۔
Rebuild Offline Data,آف لائن ڈیٹا کو دوبارہ بنائیں
Receive,وصول کریں۔
Receive now,ابھی وصول کریں۔
Received,موصول ہوا۔
Received:,موصول:
Recent Movement Entries,حالیہ تحریک کے اندراجات
Recent updates about your invoices,آپ کی رسیدوں کے بارے میں حالیہ اپ ڈیٹس
Recently Active Customers,حال ہی میں فعال صارفین
Rechecking connection,کنکشن کی دوبارہ جانچ ہو رہی ہے۔
Reconcile payment methods and close shift,ادائیگی کے طریقوں اور قریبی شفٹ میں مصالحت کریں۔
Reconciling Payments,ادائیگیوں کو ملانا
"Reconnect and open this page once while online, then offline refreshes will be able to restore it.",آن لائن رہتے ہوئے ایک بار اس صفحہ کو دوبارہ جوڑیں اور کھولیں، پھر آف لائن ریفریش اسے بحال کر سکیں گے۔
Reconnect online to refresh cached offline data from the server.,سرور سے کیشڈ آف لائن ڈیٹا کو ریفریش کرنے کے لیے آن لائن دوبارہ جڑیں۔
Recreate local offline prerequisites from scratch,شروع سے مقامی آف لائن شرائط کو دوبارہ بنائیں
Recv:,Recv:
Redeem,چھڑانا
Redeem / Scan,چھڑانا / اسکین کرنا
Redeem Amount,رقم چھڑانا
Redeem Mode,ریڈیم موڈ
Redeemed Amount,چھڑائی گئی رقم
Redeemed credit cannot be greater than its total.,ریڈیم کریڈٹ اس کی کل سے زیادہ نہیں ہو سکتا۔
Redemption and Totals,چھٹکارا اور ٹوٹل
Reference,حوالہ
Refresh,ریفریش کریں۔
Refresh Exchange Rate,شرح تبادلہ تازہ کریں۔
Refresh Offline Data,آف لائن ڈیٹا ریفریش کریں۔
Refresh Printers,پرنٹرز کو ریفریش کریں۔
Refund,رقم کی واپسی
Release Notes,ریلیز نوٹس
Reload,دوبارہ لوڈ کریں۔
Reload customers,صارفین کو دوبارہ لوڈ کریں۔
Reload Items,آئٹمز کو دوبارہ لوڈ کریں۔
Reload Now,ابھی دوبارہ لوڈ کریں۔
Reload to apply the latest changes. Your current session will be refreshed.,تازہ ترین تبدیلیاں لاگو کرنے کے لیے دوبارہ لوڈ کریں۔ آپ کا موجودہ سیشن ریفریش ہو جائے گا۔
Reload Workflow,ورک فلو کو دوبارہ لوڈ کریں۔
Remarks,ریمارکس
Remarks are required.,ریمارکس درکار ہیں۔
Remove,ہٹا دیں۔
Remove barcode item,بارکوڈ آئٹم کو ہٹا دیں۔
Remove cached data and reload the POS app,کیشڈ ڈیٹا کو ہٹائیں اور POS ایپ کو دوبارہ لوڈ کریں۔
Remove item,آئٹم کو ہٹا دیں۔
Remove Offer,آفر کو ہٹا دیں۔
Reorder / Purchase Suggestions,دوبارہ ترتیب دیں / خریداری کی تجاویز
Repair Candidate,مرمت کا امیدوار
Repair Change Allocation,مرمت کی تبدیلی مختص
Repair requires an online connection,مرمت کے لیے آن لائن کنکشن درکار ہے۔
Repaired,مرمت شدہ
Repairing change allocation,تبدیلی مختص کی مرمت
Repeat Customers,صارفین کو دہرائیں۔
Repeat Rate,ریپیٹ ریٹ
Request,درخواست
Request ID: {0},درخواست ID: {0}
Request Payment,ادائیگی کی درخواست کریں۔
Requested route: {0},درخواست کردہ راستہ: {0}
Required columns cannot be hidden,مطلوبہ کالم چھپائے نہیں جا سکتے
Reset,دوبارہ ترتیب دیں۔
Reset item name,آئٹم کا نام ری سیٹ کریں۔
Reset to Default,ڈیفالٹ پر ری سیٹ کریں۔
Resource Health,وسائل صحت
Restricted,محدود
Restricted operational controls for supervisors only.,صرف سپروائزرز کے لیے محدود آپریشنل کنٹرول۔
Retry,دوبارہ کوشش کریں۔
Retry route,راستے کی دوبارہ کوشش کریں۔
Return,واپسی
Return Amount,واپسی کی رقم
Return Count,واپسی کی گنتی
Return items must have negative quantities,واپسی اشیاء میں منفی مقدار ہونی چاہیے۔
Return total must be negative,ریٹرن کل منفی ہونا چاہیے۔
Return Valid Until,واپسی تک درست ہے۔
Return window passed,واپسی کی کھڑکی گزر گئی۔
Return without Invoice,انوائس کے بغیر واپسی
Returns,واپسی
Returns / Voids / Discounts,واپسی / باطل / چھوٹ
Returns by Currency,کرنسی کے لحاظ سے واپسی
Revenue,آمدنی
Review shift totals before submitting the closing entry,اختتامی اندراج جمع کرانے سے پہلے شفٹ کے ٹوٹل کا جائزہ لیں۔
Round Off,راؤنڈ آف
Rows,قطاریں
Rows:,قطاریں:
Rule,قاعدہ
Sale,فروخت
Sales,سیلز
Sales Order {0} is Submitted,سیلز آرڈر {0} جمع کر دیا گیا ہے۔
Sales Person and Print,سیلز پرسن اور پرنٹ
Sales Person not found,سیلز پرسن نہیں ملا
Sales processed,فروخت پر کارروائی کی گئی۔
Sales Return,سیلز ریٹرن
Sales Trend Report,سیلز ٹرینڈ رپورٹ
Save,محفوظ کریں۔
Save & Clear,محفوظ کریں اور صاف کریں۔
Save as POS Profile Default,POS پروفائل کو بطور ڈیفالٹ محفوظ کریں۔
Save Settings,ترتیبات کو محفوظ کریں۔
Save the selected printer as the POS Profile default so it shows automatically on this setup.,منتخب پرنٹر کو POS پروفائل ڈیفالٹ کے طور پر محفوظ کریں تاکہ یہ اس سیٹ اپ پر خود بخود ظاہر ہو۔
Saved as draft because: {0},بطور مسودہ محفوظ کیا گیا کیونکہ: {0}
Saving...,محفوظ کر رہا ہے...
Scale barcode detected. Quantity here is the number of labels to print.,اسکیل بار کوڈ کا پتہ چلا۔ یہاں مقدار پرنٹ کرنے کے لیے لیبلز کی تعداد ہے۔
Scale barcode settings are not configured. Using item barcode only.,اسکیل بارکوڈ سیٹنگز کنفیگر نہیں ہیں۔ صرف آئٹم بارکوڈ استعمال کرنا۔
Scale template barcode is missing for this item/UOM. Using item barcode only.,اس آئٹم/UOM کے لیے اسکیل ٹیمپلیٹ بارکوڈ غائب ہے۔ صرف آئٹم بارکوڈ استعمال کرنا۔
Scan an existing card and top it up without leaving the payment flow.,موجودہ کارڈ کو اسکین کریں اور ادائیگی کے بہاؤ کو چھوڑے بغیر اسے ٹاپ اپ کریں۔
Scan Error,اسکین کی خرابی۔
Scan or enter a gift card code to check balance or redeem.,بیلنس چیک کرنے یا چھڑانے کے لیے گفٹ کارڈ کا کوڈ اسکین کریں یا درج کریں۔
Scan or paste the card code below.,ذیل میں کارڈ کوڈ کو اسکین یا پیسٹ کریں۔
Scan QR Code/Barcode,کیو آر کوڈ/بار کوڈ اسکین کریں۔
Scan with camera,کیمرے سے اسکین کریں۔
Scan-First Flow,اسکین - پہلا بہاؤ
Scanned Code:,اسکین شدہ کوڈ:
Scanning for: {0},اسکیننگ برائے: {0}
Scanning items,اسکیننگ آئٹمز
Scan-Ready,اسکین کے لیے تیار
Scope,دائرہ کار
Scope: All Profiles,دائرہ کار: تمام پروفائلز
Scope: Current Profile,دائرہ کار: موجودہ پروفائل
Scope: Specific Profile,دائرہ کار: مخصوص پروفائل
Search,تلاش کریں۔
Search Account,اکاؤنٹ تلاش کریں۔
Search an invoice and continue the return flow without extra steps.,انوائس تلاش کریں اور اضافی اقدامات کے بغیر واپسی کا بہاؤ جاری رکھیں۔
Search customer,کسٹمر تلاش کریں۔
Search invoices or customers,رسیدیں یا صارفین تلاش کریں۔
Search item,آئٹم تلاش کریں۔
Search item / code,آئٹم / کوڈ تلاش کریں۔
Search items or barcode,آئٹمز یا بارکوڈ تلاش کریں۔
Search Mpesa Payments,Mpesa ادائیگیاں تلاش کریں۔
Search return invoices or customers,واپسی کی رسیدیں یا صارفین تلاش کریں۔
Search supplier,سپلائر تلاش کریں۔
Search unpaid invoices or customers,بلا معاوضہ رسیدیں یا صارفین تلاش کریں۔
Secure context (HTTPS or localhost) is required for camera access.,کیمرے تک رسائی کے لیے محفوظ سیاق و سباق (HTTPS یا لوکل ہوسٹ) درکار ہے۔
Secure context (HTTPS) required for camera access. Please use HTTPS to access the camera.,کیمرے تک رسائی کے لیے محفوظ سیاق و سباق (HTTPS) درکار ہے۔ براہ کرم کیمرے تک رسائی کے لیے HTTPS استعمال کریں۔
Select,منتخب کریں۔
Select a cashier first.,پہلے ایک کیشیئر کا انتخاب کریں۔
Select a customer,ایک گاہک منتخب کریں۔
Select a customer to use coupon,کوپن استعمال کرنے کے لیے ایک گاہک کا انتخاب کریں۔
Select a printer to use QZ silent printing.,QZ خاموش پرنٹنگ استعمال کرنے کے لیے ایک پرنٹر منتخب کریں۔
Select Batch,بیچ منتخب کریں۔
Select Columns to Display,ڈسپلے کے لیے کالم منتخب کریں۔
Select items to sell,فروخت کرنے کے لیے آئٹمز منتخب کریں۔
Select Payment,ادائیگی کو منتخب کریں۔
Select Payment Account,ادائیگی اکاؤنٹ منتخب کریں۔
Select printer,پرنٹر منتخب کریں۔
Select Return Invoice,انوائس واپس کریں کو منتخب کریں۔
Select S.O,S.O کو منتخب کریں۔
Select Sales Orders,سیلز آرڈرز کو منتخب کریں۔
Select the cashier who is taking over this terminal.,اس ٹرمینل کو سنبھالنے والے کیشیئر کو منتخب کریں۔
Selected,منتخب
Selected movement type is not allowed by POS Profile.,POS پروفائل کے ذریعہ منتخب کردہ نقل و حرکت کی قسم کی اجازت نہیں ہے۔
Selected Payments,منتخب ادائیگیاں
Sensitive actions kept away from quick taps.,حساس اعمال کو فوری نلکوں سے دور رکھا گیا۔
Serial,سیریل
Serial Numbers,سیریل نمبرز
Server CPU Usage:,سرور CPU استعمال:
Server Health,سرور کی صحت
Server Memory Usage:,سرور میموری کا استعمال:
Server Metrics,سرور میٹرکس
Server Uptime:,سرور اپ ٹائم:
Service Charges,سروس چارجز
Session,سیشن
Set each cashier PIN in the User form and keep terminal members assigned in POS Profile User.,ہر کیشئر پن کو صارف کے فارم میں سیٹ کریں اور ٹرمینل ممبران کو POS پروفائل صارف میں تفویض رکھیں۔
Settings,ترتیبات
Settings in this section update the POS workspace without changing the current route.,اس سیکشن میں سیٹنگز موجودہ روٹ کو تبدیل کیے بغیر POS ورک اسپیس کو اپ ڈیٹ کرتی ہیں۔
Setup complete!,سیٹ اپ مکمل!
Share,شیئر کریں۔
Shared terminal,مشترکہ ٹرمینل
Shift Closed Snapshot,بند سنیپ شاٹ شفٹ کریں۔
Shift Overview,شفٹ کا جائزہ
Show,دکھائیں۔
Show cart on customer-facing screen,کسٹمر کا سامنا کرنے والی اسکرین پر کارٹ دکھائیں۔
Show last invoice rate,آخری رسید کی شرح دکھائیں۔
Show rate info,شرح کی معلومات دکھائیں۔
Show Repair Candidates,مرمت کے امیدوار دکھائیں۔
Show search tools,تلاش کے اوزار دکھائیں۔
Show the active cart on a customer-facing screen,فعال کارٹ کو کسٹمر کے سامنے آنے والی اسکرین پر دکھائیں۔
Showing {0}-{1} of {2},دکھا رہا ہے {0}-{1} از {2}
Showing 0 of 0,0 میں سے 0 دکھا رہا ہے۔
Shows the distribution of invoices per currency,فی کرنسی رسیدوں کی تقسیم دکھاتا ہے۔
Sign out of the current POS session,موجودہ POS سیشن سے سائن آؤٹ کریں۔
Size:,سائز:
Skipped Payments,چھوڑی گئی ادائیگیاں
Skipping items without barcodes,بار کوڈ کے بغیر آئٹمز کو چھوڑنا
Slow Moving,سست حرکت
Slow Moving Items,آہستہ حرکت پذیر اشیاء
Slow Queries:,سست سوالات:
Sold,فروخت
Source,ماخذ
Source Cash Account (Optional Override),ماخذ کیش اکاؤنٹ (اختیاری اوور رائڈ)
Source Ex. Rate:,ماخذ سابق شرح:
Source Rate:,ماخذ کی شرح:
Specific Profile,مخصوص پروفائل
Split Invoices,رسیدیں تقسیم کریں۔
Staff / Cashier Performance Report,اسٹاف/کیشیئر کی کارکردگی کی رپورٹ
Status,حیثیت
Stock,اسٹاک
Stock Information,اسٹاک کی معلومات
Stock is lower than requested,اسٹاک درخواست سے کم ہے۔
Stock is lower than requested:\n{0},اسٹاک درخواست سے کم ہے:\n{0}
Stock Movement Report,اسٹاک موومنٹ رپورٹ
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,اسٹاک اپ ڈیٹ: {0} کے پاس {1} دستیاب ہے۔ {2} کو شامل کرنے سے اسٹاک صفر سے نیچے آجائے گا۔
Submit,جمع کروائیں۔
Submit & Print,جمع کروائیں اور پرنٹ کریں۔
Submit Deposit,جمع کروائیں۔
Submit Expense,خرچ جمع کروائیں۔
Submitted,جمع کرایا
Submitted Cash Movements,کیش کی نقل و حرکت جمع کرائی
Submitted entries,جمع کرائے گئے اندراجات
Successfully scanned:,کامیابی سے اسکین کیا گیا:
Suggested,تجویز کردہ
Suggested Qty,تجویز کردہ مقدار
Supervisor Access,سپروائزر تک رسائی
Supervisor permissions unlock issuance and reloads,سپروائزر کی اجازتیں جاری کرنے اور دوبارہ لوڈ کرنے کو غیر مقفل کرتی ہیں۔
Supervisor Tools,سپروائزر ٹولز
Supplier,فراہم کنندہ
Supplier and dates are required.,فراہم کنندہ اور تاریخیں درکار ہیں۔
Supplier Invoices,سپلائر انوائسز
Supplier is required.,فراہم کنندہ کی ضرورت ہے۔
Supplier name is required,فراہم کنندہ کا نام درکار ہے۔
Supplier Payments,فراہم کنندہ کی ادائیگی
Supplier Purchase Summary,سپلائر کی خریداری کا خلاصہ
Suppliers,سپلائرز
Suppliers not found,سپلائرز نہیں ملے
Switch Camera,کیمرہ سوئچ کریں۔
Switch Cashier,کیشئر کو تبدیل کریں۔
Switch the POS appearance theme,POS ظاہری تھیم کو تبدیل کریں۔
Switched to:,پر سوئچ کیا گیا:
Sync All Invoices,تمام رسیدیں ہم آہنگ کریں۔
Sync Offline Cash Movements ({0}),آف لائن کیش موومنٹس کو سنک کریں ({0})
Sync Offline Sales,آف لائن سیلز کو سنک کریں۔
Synced {0} offline cash movement(s).,مطابقت پذیر {0} آف لائن کیش موومنٹ
Syncing items in background,پس منظر میں آئٹمز کی مطابقت پذیری
System / Diagnostics,نظام/تشخیص
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.",سسٹم ایکشنز کم فریکوئنسی مینٹیننس کنٹرولز ہیں جیسے کہ ایپ کی معلومات، معاون تشخیص، اور سیشن کنٹرولز۔
System Information,سسٹم کی معلومات
System Status,سسٹم کی حیثیت
Tables:,میزیں:
Tap the button below to redeem a gift card during checkout.,چیک آؤٹ کے دوران گفٹ کارڈ کو بھنانے کے لیے نیچے دیئے گئے بٹن کو تھپتھپائیں۔
Target,ہدف
Target Ex. Rate:,ہدف سابق شرح:
Target Rate:,ہدف کی شرح:
Tax,ٹیکس
Tax / Charges Report,ٹیکس / چارجز کی رپورٹ
Tax Heads,ٹیکس سربراہان
Taxable Amount,قابل ٹیکس رقم
Tendered,ٹینڈر کیا گیا۔
Terminal,ٹرمینل
Terminal & Devices,ٹرمینل اور آلات
Terminal locked,ٹرمینل مقفل ہے۔
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.",ٹرمینل ٹولز اس چیک آؤٹ سٹیشن، گاہک کا سامنا کرنے والے ڈسپلے، اور مستقبل کے پرنٹر/ڈیوائس کنٹرولز کو متاثر کرتے ہیں۔
Territory not found,علاقہ نہیں ملا
The amount paid is not complete,ادا کی گئی رقم مکمل نہیں ہے۔
The app stores data locally for offline use. This is called cache.,ایپ آف لائن استعمال کے لیے مقامی طور پر ڈیٹا اسٹور کرتی ہے۔ اسے کیشے کہتے ہیں۔
The invoice stayed in draft. Please review and submit it manually.,انوائس ڈرافٹ میں رہی۔ براہ کرم جائزہ لیں اور اسے دستی طور پر جمع کرائیں۔
The maximum discount allowed is,زیادہ سے زیادہ رعایت کی اجازت ہے۔
The quantity for {0} has been adjusted to the maximum available stock.,{0} کی مقدار کو زیادہ سے زیادہ دستیاب اسٹاک میں ایڈجسٹ کر دیا گیا ہے۔
The system could not retrieve the item details. Please try again.,سسٹم آئٹم کی تفصیلات بازیافت نہیں کر سکا۔ براہ کرم دوبارہ کوشش کریں۔
These invoices will be synced when connection is restored,کنکشن بحال ہونے پر یہ رسیدیں مطابقت پذیر ہو جائیں گی۔
This action now opens inside the settings workspace.,یہ کارروائی اب سیٹنگز ورک اسپیس کے اندر کھلتی ہے۔
This coupon already used !,یہ کوپن پہلے ہی استعمال کیا جاتا ہے!
This invoice does not need change-allocation repair,اس انوائس کو تبدیلی-مختص کی مرمت کی ضرورت نہیں ہے۔
This invoice is already repaired,یہ رسید پہلے ہی ٹھیک ہو چکی ہے۔
This is an item template. Please choose a variant.,یہ ایک آئٹم ٹیمپلیٹ ہے۔ براہ کرم مختلف قسم کا انتخاب کریں۔
this item,یہ آئٹم
This POS page could not be opened offline because its code was not cached on this terminal yet.,اس POS صفحہ کو آف لائن نہیں کھولا جا سکتا کیونکہ اس کا کوڈ ابھی تک اس ٹرمینل پر کیش نہیں ہوا تھا۔
This Serial Number {0} has already been added!,یہ سیریل نمبر {0} پہلے ہی شامل کیا جا چکا ہے!
Threshold,حد
Time,وقت
Tip: Clear cache regularly to free up space and keep the app fast.,ٹپ: جگہ خالی کرنے اور ایپ کو تیز رکھنے کے لیے باقاعدگی سے کیشے صاف کریں۔
Tip: Close unused tabs or apps to reduce lag.,مشورہ: وقفہ کم کرنے کے لیے غیر استعمال شدہ ٹیبز یا ایپس کو بند کریں۔
Tip: Monitor slow queries and table size for optimal performance.,مشورہ: بہترین کارکردگی کے لیے سست سوالات اور ٹیبل کے سائز کی نگرانی کریں۔
To Be Paid,ادا کرنا
To Date,آج تک
Today,آج
Today Profit,آج منافع
Today Sales,آج سیلز
Toggle navigation drawer,نیویگیشن دراز کو ٹوگل کریں۔
Toggle Theme,تھیم کو ٹوگل کریں۔
Tools,اوزار
Tools for customer-facing screens and terminal-specific actions.,گاہک کا سامنا کرنے والی اسکرینوں اور ٹرمینل سے متعلق مخصوص کارروائیوں کے لیے ٹولز۔
Top Brand,ٹاپ برانڈ
Top Category,ٹاپ کیٹیگری
Top Charge Head,ٹاپ چارج ہیڈ
Top Customers,سرفہرست صارفین
Top Discount,ٹاپ ڈسکاؤنٹ
Top Items by Location,مقام کے لحاظ سے سرفہرست آئٹمز
Top Margin,ٹاپ مارجن
Top Pending,اوپر زیر التواء
Top Profit Item,سب سے اوپر منافع آئٹم
Top Return Items,سب سے اوپر واپسی اشیاء
Top Sales by Cashier,کیشئر کی طرف سے سب سے اوپر فروخت
Top Supplier,ٹاپ سپلائر
Top Suppliers by Spend,خرچ کے لحاظ سے سرفہرست سپلائرز
Top Tables,ٹاپ ٹیبلز
Top Tax Head,ٹاپ ٹیکس ہیڈ
Top Up Amount,ٹاپ اپ رقم
Top Up Card,ٹاپ اپ کارڈ
Top Up Mode,ٹاپ اپ موڈ
Top Variant,ٹاپ ویریئنٹ
Total,کل
Total Amount,کل رقم
Total Change,مکمل تبدیلی
Total Charges,کل چارجز
Total In,کل میں
Total Invoices,کل رسیدیں
Total Items,کل آئٹمز
Total Mpesa,کل میپیسا
Total Out,ٹوٹل آؤٹ
Total Payments,کل ادائیگیاں
Total Purchase,کل خریداری
Total Selected :,کل منتخب کردہ:
Total Size,کل سائز
Total Stock Qty,کل اسٹاک کی مقدار
Total:,کل:
Totals by Invoice Currency,انوائس کرنسی کے حساب سے ٹوٹل
Track how much cash was handed back to customers,معلوم کریں کہ صارفین کو کتنی رقم واپس دی گئی۔
"Track recent sales, collect unpaid balances, and reopen saved work",حالیہ فروخت کا سراغ لگائیں، غیر ادا شدہ بیلنس جمع کریں، اور محفوظ کردہ کام کو دوبارہ کھولیں۔
Transaction ID,ٹرانزیکشن ID
Transfer,منتقلی
Try a different search term or clear the cart search.,تلاش کی ایک مختلف اصطلاح آزمائیں یا کارٹ کی تلاش کو صاف کریں۔
Try adjusting your search or filters,اپنی تلاش یا فلٹرز کو ایڈجسٹ کرنے کی کوشش کریں۔
Try another source or refresh the list.,کوئی دوسرا ذریعہ آزمائیں یا فہرست کو تازہ کریں۔
Try changing the date range or status filter.,تاریخ کی حد یا اسٹیٹس فلٹر کو تبدیل کرنے کی کوشش کریں۔
Type,قسم
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,بنیادی ترتیبات کے ساتھ بھی کیمرے تک رسائی سے قاصر۔ براہ کرم اپنے کیمرے کی اجازت اور ڈیوائس کی مطابقت کو چیک کریں۔
Unable to add offer item {0}. Please refresh and try again.,پیشکش آئٹم {0} شامل کرنے سے قاصر۔ براہ کرم ریفریش کریں اور دوبارہ کوشش کریں۔
Unable to add offer item. Please refresh and try again.,پیشکش آئٹم شامل کرنے سے قاصر۔ براہ کرم ریفریش کریں اور دوبارہ کوشش کریں۔
Unable to add scanned item.,اسکین شدہ آئٹم شامل کرنے سے قاصر۔
Unable to create purchase order,خریداری کا آرڈر بنانے سے قاصر
Unable to delete draft invoice,ڈرافٹ انوائس کو حذف کرنے سے قاصر
Unable to fetch documents,دستاویزات حاصل کرنے سے قاصر
Unable to fetch draft orders,ڈرافٹ آرڈرز حاصل کرنے سے قاصر
Unable to fetch invoice history,انوائس کی سرگزشت بازیافت کرنے سے قاصر
Unable to fetch M-Pesa payments,M-Pesa ادائیگیاں حاصل کرنے سے قاصر
Unable to fetch sales orders,سیلز آرڈرز حاصل کرنے سے قاصر
Unable to fetch unpaid invoices,بلا معاوضہ رسیدیں حاصل کرنے سے قاصر
Unable to generate scale barcode,اسکیل بار کوڈ بنانے سے قاصر
Unable to issue gift card.,گفٹ کارڈ جاری کرنے سے قاصر۔
Unable to load cashier PIN status.,کیشئر PIN کی حیثیت لوڈ کرنے سے قاصر۔
Unable to load document,دستاویز لوڈ کرنے سے قاصر
Unable to load draft invoice,ڈرافٹ انوائس لوڈ کرنے سے قاصر
Unable to load gift card balance.,گفٹ کارڈ بیلنس لوڈ کرنے سے قاصر۔
Unable to load invoice details,انوائس کی تفصیلات لوڈ کرنے سے قاصر
Unable to load parked order,پارک کردہ آرڈر لوڈ کرنے سے قاصر
Unable to load the selected sales order,منتخب سیلز آرڈر لوڈ کرنے سے قاصر
Unable to prepare document,دستاویز تیار کرنے سے قاصر
Unable to prepare return invoice,واپسی کی رسید تیار کرنے سے قاصر
Unable to print draft invoice,ڈرافٹ انوائس پرنٹ کرنے سے قاصر
Unable to print submitted invoice,جمع کرائی گئی رسید پرنٹ کرنے سے قاصر
Unable to process document action,دستاویز کی کارروائی پر کارروائی کرنے سے قاصر
Unable to repair change allocation,تبدیلی مختص کی مرمت کرنے سے قاصر
Unable to save cashier PIN.,کیشئر PIN محفوظ کرنے سے قاصر۔
Unable to save the rate to the backend price list,بیک اینڈ پرائس لسٹ میں ریٹ کو محفوظ کرنے سے قاصر ہے۔
Unable to submit invoice,رسید جمع کرنے سے قاصر
Unable to submit the selected payment,منتخب ادائیگی جمع کرنے سے قاصر
Unable to top up gift card.,گفٹ کارڈ کو ٹاپ اپ کرنے سے قاصر۔
Unable to verify cashier PIN.,کیشئر PIN کی تصدیق کرنے سے قاصر۔
Unallocated,غیر مختص
Unallocated:,غیر مختص:
Unavailable,دستیاب نہیں۔
Unknown,نامعلوم
Unknown Item,نامعلوم آئٹم
Unknown Warehouse,نامعلوم گودام
Unlock POS,POS کو غیر مقفل کریں۔
Unpaid,بلا معاوضہ
"Unselected payments stay unallocated first, then auto reconcile after submit.",غیر منتخب شدہ ادائیگیاں پہلے غیر مختص رہتی ہیں، پھر جمع کرانے کے بعد خودکار طور پر صلح ہوجاتی ہیں۔
UOM,UOM
UOM not found,UOM نہیں ملا
Update available,اپ ڈیٹ دستیاب ہے۔
Update Customer,کسٹمر کو اپ ڈیٹ کریں۔
Update PIN,پن اپ ڈیٹ کریں۔
Update Price List Rate,قیمت کی فہرست کی شرح کو اپ ڈیٹ کریں۔
Updated,تازہ کاری
Updates and app info that stay out of the cashier flow.,اپ ڈیٹس اور ایپ کی معلومات جو کیشئر کے بہاؤ سے باہر رہتی ہیں۔
Updates automatically,خود بخود اپڈیٹس
Usage,استعمال
Usage Stats,استعمال کے اعدادوشمار
