POS Awesome,POS Mahtavaa
Slow Moving Items,Hitaasti liikkuvat kohteet
Slow Queries:,Hitaat kyselyt:
Sold,myyty
Source,lähde
Source Cash Account (Optional Override),Lähdekassatili (valinnainen ohitus)
Source Ex. Rate:,Lähde esim. Arvostele:
Source Rate:,Lähteen hinta:
Specific Profile,Tietty profiili
Split Invoices,Jaetut laskut
Staff / Cashier Performance Report,Henkilökunnan/kassan suoritusraportti
Status,Tila
Stock,Stock
Stock Information,Varastotiedot
Stock is lower than requested,Varasto on pyydettyä pienempi
Stock is lower than requested:\n{0},Varasto on pyydettyä pienempi:\n{0}
Stock Movement Report,Osakeliikeraportti
Stock update: {0} has {1} available. Adding {2} will bring the stock below zero.,Varastopäivitys: {0} on saatavilla {1}. Lisäämällä {2} osakkeen arvo alle nollan.
Submit,Lähetä
Submit & Print,Lähetä ja tulosta
Submit Deposit,Lähetä talletus
Submit Expense,Lähetä kulut
Submitted,Lähetetty
Submitted Cash Movements,Lähetetyt kassasiirrot
Submitted entries,Lähetetyt merkinnät
Successfully scanned:,Skannattu onnistuneesti:
Suggested,Ehdotettu
Suggested Qty,Suositeltu määrä
Supervisor Access,Valvojan pääsy
Supervisor permissions unlock issuance and reloads,Valvojan käyttöoikeudet vapauttavat myöntämisen ja uudelleenlataukset
Supervisor Tools,Valvojan työkalut
Supplier,Toimittaja
Supplier and dates are required.,Toimittaja ja päivämäärät vaaditaan.
Supplier Invoices,Toimittajan laskut
Supplier is required.,Toimittaja vaaditaan.
Supplier name is required,Toimittajan nimi vaaditaan
Supplier Payments,Toimittajan maksut
Supplier Purchase Summary,Toimittajan ostoyhteenveto
Suppliers,Toimittajat
Suppliers not found,Toimittajia ei löydy
Switch Camera,Vaihda kameraa
Switch Cashier,Vaihda kassaa
Switch the POS appearance theme,Vaihda POS-ulkoasuteemaa
Switched to:,Vaihdettu:
Sync All Invoices,Synkronoi kaikki laskut
Sync Offline Cash Movements ({0}),Synkronoi offline-käteisliikkeet ({0})
Sync Offline Sales,Synkronoi offline-myynti
Synced {0} offline cash movement(s).,Synkronoitu {0} offline-käteisliikettä.
Syncing items in background,Synkronoidaan kohteita taustalla
System / Diagnostics,Järjestelmä / Diagnostiikka
"System actions are low-frequency maintenance controls such as app info, support diagnostics, and session controls.","Järjestelmätoiminnot ovat matalataajuisia ylläpitoohjaimia, kuten sovellustietoja, tukidiagnostiikkaa ja istunnon hallintaa."
System Information,Järjestelmätiedot
System Status,Järjestelmän tila
Tables:,Taulukot:
Tap the button below to redeem a gift card during checkout.,Napauta alla olevaa painiketta lunastaaksesi lahjakortin kassalla.
Target,Kohde
Target Ex. Rate:,Kohde esim. Arvostele:
Target Rate:,Tavoiteprosentti:
Tax,Tax
Tax / Charges Report,Vero-/maksuraportti
Tax Heads,Veropäälliköt
Taxable Amount,Verotettava määrä
Tendered,Tarjottu
Terminal,Terminaali
Terminal & Devices,Pääte ja laitteet
Terminal locked,Pääte lukittu
"Terminal tools affect this checkout station, customer-facing displays, and future printer/device controls.","Päätetyökalut vaikuttavat tähän kassaasemaan, asiakkaisiin päin oleviin näyttöihin ja tuleviin tulostimien/laitteiden ohjaimiin."
Territory not found,Aluetta ei löydy
The amount paid is not complete,Maksettu summa ei ole täydellinen
The app stores data locally for offline use. This is called cache.,Sovellus tallentaa tiedot paikallisesti offline-käyttöä varten. Tätä kutsutaan välimuistiksi.
The invoice stayed in draft. Please review and submit it manually.,Lasku jäi luonnokseen. Tarkista ja lähetä se manuaalisesti.
The maximum discount allowed is,Suurin sallittu alennus on
The quantity for {0} has been adjusted to the maximum available stock.,Tuotteen {0} määrä on säädetty enimmäismäärään.
The system could not retrieve the item details. Please try again.,Järjestelmä ei voinut hakea tuotteen tietoja. Yritä uudelleen.
These invoices will be synced when connection is restored,"Nämä laskut synkronoidaan, kun yhteys palautetaan"
This action now opens inside the settings workspace.,Tämä toiminto avautuu nyt asetusten työtilaan.
This coupon already used !,Tämä kuponki on jo käytetty!
This invoice does not need change-allocation repair,Tämä lasku ei vaadi muutos-allokointikorjausta
This invoice is already repaired,Tämä lasku on jo korjattu
This is an item template. Please choose a variant.,Tämä on esinemalli. Valitse vaihtoehto.
this item,tämä kohde
This POS page could not be opened offline because its code was not cached on this terminal yet.,"Tätä POS-sivua ei voitu avata offline-tilassa, koska sen koodia ei ole vielä tallennettu tämän päätteen välimuistiin."
This Serial Number {0} has already been added!,Tämä sarjanumero {0} on jo lisätty!
Threshold,Kynnys
Time,Aika
Tip: Clear cache regularly to free up space and keep the app fast.,Vinkki: Tyhjennä välimuisti säännöllisesti vapauttaaksesi tilaa ja pitääksesi sovelluksen nopeana.
Tip: Close unused tabs or apps to reduce lag.,Vinkki: Sulje käyttämättömät välilehdet tai sovellukset vähentääksesi viivettä.
Tip: Monitor slow queries and table size for optimal performance.,Vinkki: Tarkkaile hitaita kyselyitä ja taulukon kokoa optimaalisen suorituskyvyn saavuttamiseksi.
To Be Paid,Maksettava
To Date,Päivämäärään
Today,Tänään
Today Profit,Tänään voitto
Today Sales,Tänään myynti
Toggle navigation drawer,Vaihda navigointilaatikkoa
Toggle Theme,Vaihda teema
Tools,Työkalut
Tools for customer-facing screens and terminal-specific actions.,Työkaluja asiakaskohtaisiin näyttöihin ja päätekohtaisiin toimintoihin.
Top Brand,Huippumerkki
Top Category,Huippuluokka
Top Charge Head,Ylälatauspää
Top Customers,Huippuasiakkaat
Top Discount,Huippualennus
Top Items by Location,Suosituimmat tuotteet sijainnin mukaan
Top Margin,Ylämarginaali
Top Pending,Yläosa Odottaa
Top Profit Item,Paras voittoerä
Top Return Items,Parhaat palautustuotteet
Top Sales by Cashier,Parhaat myynnit kassalta
Top Supplier,Huipputoimittaja
Top Suppliers by Spend,Parhaat toimittajat kulutuksen mukaan
Top Tables,Top taulukot
Top Tax Head,Ylin veropäällikkö
Top Up Amount,Täydennysmäärä
Top Up Card,Täyttökortti
Top Up Mode,Täyttötila
Top Variant,Huippuvariantti
Total,Yhteensä
Total Amount,Kokonaismäärä
Total Change,Kokonaismuutos
Total Charges,Kokonaiskulut
Total In,Yhteensä sisään
Total Invoices,Laskut yhteensä
Total Items,Tuotteita yhteensä
Total Mpesa,Yhteensä Mpesa
Total Out,Total Out
Total Payments,Maksut yhteensä
Total Purchase,Kokonaisosto
Total Selected :,Valitut yhteensä:
Total Size,Kokonaiskoko
Total Stock Qty,Varastomäärä yhteensä
Total:,Yhteensä:
Totals by Invoice Currency,Loppusummat laskun valuutan mukaan
Track how much cash was handed back to customers,"Seuraa, kuinka paljon käteistä palautettiin asiakkaille"
"Track recent sales, collect unpaid balances, and reopen saved work","Seuraa viimeaikaisia myyntiä, kerää maksamattomat saldot ja avaa tallennetut työt uudelleen"
Transaction ID,Tapahtumatunnus
Transfer,Siirto
Try a different search term or clear the cart search.,Kokeile toista hakutermiä tai tyhjennä ostoskorin haku.
Try adjusting your search or filters,Yritä säätää hakuasi tai suodattimia
Try another source or refresh the list.,Kokeile toista lähdettä tai päivitä luettelo.
Try changing the date range or status filter.,Yritä muuttaa ajanjaksoa tai tilasuodatinta.
Type,Kirjoita
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,Kameraan ei pääse edes perusasetuksista. Tarkista kameran käyttöoikeudet ja laitteen yhteensopivuus.
Unable to add offer item {0}. Please refresh and try again.,Tarjouskohdetta {0} ei voi lisätä. Päivitä ja yritä uudelleen.
Unable to add offer item. Please refresh and try again.,Tarjouskohdetta ei voi lisätä. Päivitä ja yritä uudelleen.
Unable to add scanned item.,Skannatun kohteen lisääminen ei onnistu.
Unable to create purchase order,Ostotilauksen luominen epäonnistui
Unable to delete draft invoice,Laskuluonnosta ei voi poistaa
Unable to fetch documents,Asiakirjoja ei voi noutaa
Unable to fetch draft orders,Tilausluonnoksia ei voi noutaa
Unable to fetch invoice history,Laskuhistorian nouto epäonnistui
Unable to fetch M-Pesa payments,M-Pesa-maksuja ei voi noutaa
Unable to fetch sales orders,Myyntitilauksia ei voi noutaa
Unable to fetch unpaid invoices,Maksamattomia laskuja ei voi noutaa
Unable to generate scale barcode,Mittakaavaviivakoodin luominen ei onnistu
Unable to issue gift card.,Lahjakortin myöntäminen ei onnistu.
Unable to load cashier PIN status.,Kassan PIN-koodin tilaa ei voi ladata.
Unable to load document,Asiakirjaa ei voi ladata
Unable to load draft invoice,Laskuluonnosta ei voi ladata
Unable to load gift card balance.,Lahjakortin saldon lataaminen epäonnistui.
Unable to load invoice details,Laskun tietoja ei voi ladata
Unable to load parked order,Pysäköityä tilausta ei voi ladata
Unable to load the selected sales order,Valittua myyntitilausta ei voi ladata
Unable to prepare document,Asiakirjaa ei voi valmistella
Unable to prepare return invoice,Palautuslaskua ei voi laatia
Unable to print draft invoice,Laskuluonnosta ei voi tulostaa
Unable to print submitted invoice,Lähetettyä laskua ei voi tulostaa
Unable to process document action,Asiakirjan toimintoa ei voida käsitellä
Unable to repair change allocation,Muutoksen kohdistusta ei voida korjata
Unable to save cashier PIN.,Kassan PIN-koodia ei voi tallentaa.
Unable to save the rate to the backend price list,Hintaa ei voi tallentaa taustahinnastoon
Unable to submit invoice,Laskua ei voi lähettää
Unable to submit the selected payment,Valittua maksua ei voi lähettää
Unable to top up gift card.,Lahjakorttia ei voi ladata.
Unable to verify cashier PIN.,Kassan PIN-koodia ei voi vahvistaa.
Unallocated,Kohdistamaton
Unallocated:,Kohdistamaton:
Unavailable,Ei saatavilla
Unknown,Tuntematon
Unknown Item,Tuntematon kohde
Unknown Warehouse,Tuntematon varasto
Unlock POS,Avaa POS
Unpaid,Maksamaton
"Unselected payments stay unallocated first, then auto reconcile after submit.","Valitsemattomat maksut jäävät ensin kohdentamattomiksi, minkä jälkeen ne täsmäytetään automaattisesti lähetyksen jälkeen."
UOM,UOM
UOM not found,UOM ei löytynyt
Update available,Päivitys saatavilla
Update Customer,Päivitä asiakas
Update PIN,Päivitä PIN-koodi
Update Price List Rate,Päivitä hinnaston hinta
Updated,Päivitetty
Updates and app info that stay out of the cashier flow.,"Päivitykset ja sovellustiedot, jotka pysyvät poissa kassavirrasta."
Updates automatically,Päivittyy automaattisesti
Usage,Käyttö
Usage Stats,Käyttötilastot
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Käytä 4–8-numeroista PIN-koodia kassan vaihtamiseen ja päätteen lukituksen avaamiseen.
Use Cashier,Käytä kassaa
Use date range to search for older invoices,Käytä ajanjaksoa vanhempien laskujen etsimiseen
"Use one field for manual code entry, barcode scans, or QR scans.","Käytä yhtä kenttää manuaaliseen koodin syöttämiseen, viivakoodiskannaukseen tai QR-skannaukseen."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Käytä yhtä työnkulkua saldon tarkastamiseen, uusiin liikkeeseenlaskuihin ja lisäyksiin poistumatta myyntipisteestä."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Käytä tätä osaa, kun välimuistiin tallennetut ennakkotiedot tarvitsevat päivityksen, uudelleenmuodostuksen tai diagnostiikkatarkistuksen."
Use Western numerals,Käytä länsimaisia numeroita
Used:,Käytetty:
Using basic camera settings due to device limitations,Kameran perusasetusten käyttäminen laiterajoitusten vuoksi
Using cached customer balance,Välimuistissa olevan asiakassaldon käyttö
Valid until,Voimassa asti
Variance %,Varianssi %
Variants,Vaihtoehdot
Variant-wise,Variantin kannalta
Verify closing amounts for each payment method,Tarkista kunkin maksutavan loppusummat
View all,Näytä kaikki
View app information and current build details,Näytä sovelluksen tiedot ja nykyiset koontitiedot
View Data Diagnostics,Näytä Data Diagnostics
View Details,Näytä tiedot
View invoice details,Katso laskun tiedot
View notifications,Näytä ilmoitukset
View offline invoices,Tarkastele offline-laskuja
View restricted POS insights,Tarkastele rajoitettuja myyntipistetietoja
Void Amount,Mitätön määrä
Void Count,Void Count
Voids,Tyhjiöt
Waiting for cart items,Ostoskori tuotteita odotellessa
Waiting for payment...,Maksua odotellessa...
Walk-in Customer,Kävelevä asiakas
Warehouse,Varasto
Warning: High cache usage may affect performance.,Varoitus: Runsas välimuistin käyttö voi vaikuttaa suorituskykyyn.
Warning: High lag may indicate heavy processing or browser slowness.,Varoitus: Suuri viive voi tarkoittaa raskasta käsittelyä tai selaimen hitautta.
Week ?,Viikko?
Week-wise,Viikoittain
Weight (g),Paino (g)
Weight (grams),Paino (grammaa)
We'll let you know if an invoice fails to submit,"Ilmoitamme sinulle, jos laskua ei lähetetä"
Workflow,Työnkulku
Write off amount cannot exceed the POS profile maximum of {0},Poistosumma ei voi ylittää POS-profiilin enimmäismäärää {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,Poiston määrä ylittää sallitun rajan ({0}). Lisää maksu jäljellä olevalle summalle.
Yes,Kyllä
"Yes, Cancel sale","Kyllä, peruuta myynti"
"Yes, Close","Kyllä, Sulje"
You are not allowed to print draft invoices,Et saa tulostaa laskuluonnoksia
You are offline. Add Payment will work again when the connection is restored.,"Olet offline-tilassa. Lisää maksu toimii uudelleen, kun yhteys palautuu."
You have no notifications right now,Sinulla ei ole tällä hetkellä ilmoituksia
Your Cart,Ostoskorisi
