POS Awesome,POS fantastisk
Tip: Close unused tabs or apps to reduce lag.,Tip: Luk ubrugte faner eller apps for at reducere forsinkelsen.
Tip: Monitor slow queries and table size for optimal performance.,Tip: Overvåg langsomme forespørgsler og tabelstørrelse for optimal ydeevne.
To Be Paid,At blive betalt
To Date,Til dato
Today,I dag
Today Profit,Dagens overskud
Today Sales,Salg i dag
Toggle navigation drawer,Skift navigationsskuffen
Toggle Theme,Skift tema
Tools,Værktøjer
Tools for customer-facing screens and terminal-specific actions.,Værktøjer til kundevendte skærme og terminalspecifikke handlinger.
Top Brand,Top mærke
Top Category,Top kategori
Top Charge Head,Top Charge Head
Top Customers,Topkunder
Top Discount,Top rabat
Top Items by Location,Topvarer efter placering
Top Margin,Topmargin
Top Pending,Top Afventer
Top Profit Item,Topprofittemne
Top Return Items,Top Returvarer
Top Sales by Cashier,Topsalg af kasserer
Top Supplier,Top leverandør
Top Suppliers by Spend,Topleverandører efter Spend
Top Tables,Øverste borde
Top Tax Head,Top Skattechef
Top Up Amount,Top Up beløb
Top Up Card,Top-up kort
Top Up Mode,Top Up Mode
Top Variant,Topvariant
Total,I alt
Total Amount,Samlet beløb
Total Change,Total ændring
Total Charges,Samlede gebyrer
Total In,Samlet ind
Total Invoices,Samlede fakturaer
Total Items,Varer i alt
Total Mpesa,Samlet Mpesa
Total Out,Total ud
Total Payments,Samlede betalinger
Total Purchase,Samlet køb
Total Selected :,Samlet udvalgt:
Total Size,Samlet størrelse
Total Stock Qty,Samlet lagermængde
Total:,I alt:
Totals by Invoice Currency,Totaler efter fakturavaluta
Track how much cash was handed back to customers,"Spor, hvor mange kontanter der blev givet tilbage til kunderne"
"Track recent sales, collect unpaid balances, and reopen saved work","Spor seneste salg, indsaml ubetalte saldi, og genåbn gemt arbejde"
Transaction ID,Transaktions-id
Transfer,Overførsel
Try a different search term or clear the cart search.,"Prøv en anden søgeterm, eller ryd kurvsøgningen."
Try adjusting your search or filters,Prøv at justere din søgning eller dine filtre
Try another source or refresh the list.,"Prøv en anden kilde, eller opdater listen."
Try changing the date range or status filter.,Prøv at ændre datointervallet eller statusfilteret.
Type,Type
Unable to access camera even with basic settings. Please check your camera permissions and device compatibility.,"Kan ikke få adgang til kameraet, selv med grundlæggende indstillinger. Tjek venligst dine kameratilladelser og enhedskompatibilitet."
Unable to add offer item {0}. Please refresh and try again.,Kan ikke tilføje tilbuddet {0}. Opdater venligst og prøv igen.
Unable to add offer item. Please refresh and try again.,Kan ikke tilføje tilbudsvare. Opdater venligst og prøv igen.
Unable to add scanned item.,Kan ikke tilføje scannet element.
Unable to create purchase order,Kan ikke oprette indkøbsordre
Unable to delete draft invoice,Kan ikke slette udkast til faktura
Unable to fetch documents,Kan ikke hente dokumenter
Unable to fetch draft orders,Kan ikke hente kladdeordrer
Unable to fetch invoice history,Fakturahistorik kunne ikke hentes
Unable to fetch M-Pesa payments,Kan ikke hente M-Pesa-betalinger
Unable to fetch sales orders,Kan ikke hente salgsordrer
Unable to fetch unpaid invoices,Kan ikke hente ubetalte fakturaer
Unable to generate scale barcode,Kan ikke generere skaleringsstregkode
Unable to issue gift card.,Kan ikke udstede gavekort.
Unable to load cashier PIN status.,Kan ikke indlæse status for kassererens pinkode.
Unable to load document,Dokumentet kunne ikke indlæses
Unable to load draft invoice,Kan ikke indlæse udkast til faktura
Unable to load gift card balance.,Gavekortsaldoen kunne ikke indlæses.
Unable to load invoice details,Fakturaoplysninger kunne ikke indlæses
Unable to load parked order,Kan ikke indlæse parkeret ordre
Unable to load the selected sales order,Kan ikke indlæse den valgte salgsordre
Unable to prepare document,Kan ikke forberede dokumentet
Unable to prepare return invoice,Kan ikke udarbejde returfaktura
Unable to print draft invoice,Kan ikke udskrive fakturakladde
Unable to print submitted invoice,Kan ikke udskrive indsendt faktura
Unable to process document action,Dokumenthandlingen kunne ikke behandles
Unable to repair change allocation,Kan ikke reparere ændringstildeling
Unable to save cashier PIN.,Kassererens pinkode kunne ikke gemmes.
Unable to save the rate to the backend price list,Prisen kunne ikke gemmes i backend-prislisten
Unable to submit invoice,Kan ikke indsende faktura
Unable to submit the selected payment,Den valgte betaling kunne ikke indsendes
Unable to top up gift card.,Kan ikke fylde gavekort op.
Unable to verify cashier PIN.,Kan ikke bekræfte kassererens pinkode.
Unallocated,Ikke tildelt
Unallocated:,Ikke-allokeret:
Unavailable,Ikke tilgængelig
Unknown,Ukendt
Unknown Item,Ukendt vare
Unknown Warehouse,Ukendt lager
Unlock POS,Lås POS op
Unpaid,Ubetalt
"Unselected payments stay unallocated first, then auto reconcile after submit.","Ikke-valgte betalinger forbliver uallokerede først, derefter automatisk afstemmes efter indsendelse."
UOM,UOM
UOM not found,UOM ikke fundet
Update available,Opdatering tilgængelig
Update Customer,Opdater kunde
Update PIN,Opdater pinkoden
Update Price List Rate,Opdater prisliste
Updated,Opdateret
Updates and app info that stay out of the cashier flow.,"Opdateringer og appinfo, der holder sig uden for kassestrømmen."
Updates automatically,Opdaterer automatisk
Usage,Brug
Usage Stats,Brugsstatistik
Use a 4 to 8 digit PIN for cashier switching and terminal unlock.,Brug en 4- til 8-cifret PIN-kode til kasseskift og oplåsning af terminal.
Use Cashier,Brug Cashier
Use date range to search for older invoices,Brug datointerval til at søge efter ældre fakturaer
"Use one field for manual code entry, barcode scans, or QR scans.","Brug ét felt til manuel kodeindtastning, stregkodescanning eller QR-scanning."
"Use one workflow for balance checks, new issuance, and top ups without leaving POS.","Brug én arbejdsgang til saldokontrol, ny udstedelse og opfyldninger uden at forlade POS."
"Use this section when cached prerequisite data needs a refresh, rebuild, or diagnostics review.","Brug dette afsnit, når cachelagrede forudsætningsdata skal opdateres, genopbygges eller diagnosticeres."
Use Western numerals,Brug vestlige tal
Used:,Brugt:
Using basic camera settings due to device limitations,Brug af grundlæggende kameraindstillinger på grund af enhedsbegrænsninger
Using cached customer balance,Bruger cachelagret kundesaldo
Valid until,Gælder indtil kl
Variance %,Varians %
Variants,Varianter
Variant-wise,Variantmæssigt
Verify closing amounts for each payment method,Bekræft afsluttende beløb for hver betalingsmetode
View all,Se alle
View app information and current build details,Se appoplysninger og aktuelle byggedetaljer
View Data Diagnostics,Se datadiagnostik
View Details,Se detaljer
View invoice details,Se fakturaoplysninger
View notifications,Se notifikationer
View offline invoices,Se offline fakturaer
View restricted POS insights,Se begrænset POS-indsigt
Void Amount,Ugyldigt beløb
Void Count,Tomme optælling
Voids,Tomrum
Waiting for cart items,Venter på varer i kurven
Waiting for payment...,Venter på betaling...
Walk-in Customer,Walk-in kunde
Warehouse,Lager
Warning: High cache usage may affect performance.,Advarsel: Høj cachebrug kan påvirke ydeevnen.
Warning: High lag may indicate heavy processing or browser slowness.,Advarsel: Høj forsinkelse kan indikere tung behandling eller langsom browser.
Week ?,uge?
Week-wise,Ugemæssigt
Weight (g),Vægt (g)
Weight (grams),Vægt (gram)
We'll let you know if an invoice fails to submit,"Vi giver dig besked, hvis en faktura ikke indsendes"
Workflow,Arbejdsgang
Write off amount cannot exceed the POS profile maximum of {0},Afskrivningsbeløbet må ikke overstige POS-profilens maksimum på {0}
Write off amount exceeds the allowed limit ({0}). Please add payment for the remaining amount.,Afskrivningsbeløbet overstiger den tilladte grænse ({0}). Tilføj venligst betaling for det resterende beløb.
Yes,Ja
"Yes, Cancel sale","Ja, annuller salget"
"Yes, Close","Ja, tæt på"
You are not allowed to print draft invoices,Du må ikke udskrive udkast til fakturaer
You are offline. Add Payment will work again when the connection is restored.,"Du er offline. Tilføj betaling fungerer igen, når forbindelsen er genoprettet."
You have no notifications right now,Du har ingen notifikationer lige nu
Your Cart,Din kurv
